"no","fileName","filePath","institution","institutionKind","type","reason","lastWriteTime","fileSize"
"1","[공개본]+학교법인+서강학원+및+서영대학교+종합감사+결과+보고서.최종본.pdf","C:\antigravity\audit_files\[공개본]+학교법인+서강학원+및+서영대학교+종합감사+결과+보고서.최종본.pdf","서영대학교","학교법인","종합감사","OCR 실패: Upstage 오류(413): {""error"":{""code"":""invalid_document"",""message"":""The uploaded document exceeds the page limit. The maximum allowed is 100, but the current document has 183 pages."",""param"":""document"",""type"":""invalid_request_error""}}","2026-04-10T06:34:12.529Z","1861592"
"2","[붙임1]+학교법인+김포대학+및+김포대학교+종합감사+결과+공개(홈페이지).pdf","C:\antigravity\audit_files\[붙임1]+학교법인+김포대학+및+김포대학교+종합감사+결과+공개(홈페이지).pdf","김포대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:36:31.115Z","1207365"
"3","[붙임1]+학교법인+아신학원+및+고구려대학교+특정감사+처분서_홈페이지+공개★★.pdf","C:\antigravity\audit_files\[붙임1]+학교법인+아신학원+및+고구려대학교+특정감사+처분서_홈페이지+공개★★.pdf","고구려대학교","학교법인","특정감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:40:33.847Z","1264319"
"4","[홈페이지+탑재]+청강문화산업대학교+종합감사+결과.pdf","C:\antigravity\audit_files\[홈페이지+탑재]+청강문화산업대학교+종합감사+결과.pdf","청강문화산업대학교","사립대학","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:47:18.815Z","396857"
"5","180528+대구가톨릭대+종합감사+결과+및+처분내용.pdf","C:\antigravity\audit_files\180528+대구가톨릭대+종합감사+결과+및+처분내용.pdf","대구가톨릭대","사립대학","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:56.867Z","341083"
"6","붙임]학교법인+경복대학교+및+경복대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+경복대학교+및+경복대학교+회계부분감사+결과.pdf","경복대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:15.761Z","173281"
"7","붙임]학교법인+경영교육재단+및+경북전문대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+경영교육재단+및+경북전문대학교+회계부분감사+결과.pdf","경북전문대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:46:50.517Z","139830"
"8","붙임]학교법인+계명대학교+및+계명대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+계명대학교+및+계명대학교+회계부분감사+결과.pdf","계명대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:46:41.748Z","171690"
"9","붙임]학교법인+광암학원+및+수원가톨릭대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+광암학원+및+수원가톨릭대학교+회계부분감사+결과.pdf","수원가톨릭대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:25.598Z","208881"
"10","붙임]학교법인+상명학원+및+상명대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+상명학원+및+상명대학교+회계부분감사+결과.pdf","상명대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:20.115Z","197088"
"11","붙임]학교법인+세기학원+및+대구예술대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+세기학원+및+대구예술대학교+회계부분감사+결과.pdf","대구예술대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:30.086Z","207945"
"12","붙임]학교법인+영신학원+및+목포과학대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+영신학원+및+목포과학대학교+회계부분감사+결과.pdf","목포과학대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:11.662Z","169518"
"13","붙임]학교법인+한별학숙+및+대구과학대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\붙임]학교법인+한별학숙+및+대구과학대학교+회계부분감사+결과.pdf","대구과학대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:47:06.728Z","136193"
"14","첨부]학교법인+청심학원+및+선학유피대학원대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\첨부]학교법인+청심학원+및+선학유피대학원대학교+회계부분감사+결과.pdf","선학유피대학원대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:46:45.365Z","162649"
"15","학교법인+감리교신학원+및+감리교신학대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+감리교신학원+및+감리교신학대학교+회계부분감사+결과.pdf","감리교신학대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:52:27.512Z","148423"
