"연번","지적사항","주요내용(요약)","처분요구"
"1","법인부담 비용 교비회계 집행 부당","- 학교법인 일현학원과 극동대학교는 2019. 3. 현재 서울 특별시 ㄱ 소재 ○○ 빌딩에 대해 지분 50% 씩 수익용 기본재산 * 과 교육용기본재산 * 으로 보유하고 있으나 , 수익용공간과 교육용공간을 구분하지 않고 실제 교육용 으로 사용하지 않으면서 임대목적으로 위 빌딩을 운영 하고 있음에도 , 극동대학교 A 를 겸직 발령 등 별도 인사 처리도 없이 일자 미상일 (2019. 3. 이전 ) 부터 위 ○○ 빌딩 ( 전체 ) 의 임차인 관리 등 학교교육과 직접 관련 없는 업무를 전담시키고 이에 대한 2019. 3 월분 인건비 5,516,000 원 전액을 교비회계에서 집...","경고(2명); 시정 - ○○빌딩 지분 비율이 교육용·수익용 각 50%임에도 교비회계에서 전액 집행한 직원인건비·경비용역료·감정평가수수료 합계 306,784,060원의 50%(153,392,030원) 및 법인회계 임대수입 583,960,000원의 50%(291,980,000원) 등 합계 445,372,030원을 교비회계로 전출(정산)할 것"
"2","범죄처분 통보자 징계의결 미요구","- 극동대학교는 2021. 8. 20. ♧♧ 경찰서로부터 B 가 교통 사고처리특례법 위반 ( 치상 ) 으로 □□ 지방검찰청에 송치 ( 구약식 ) 되었다는 사실을 통보받고도 2021. 9. 6. 교원 인사위원회에서 ‘ 불문경고 ’ 처분하는 것으로 의결하고 , 교원징계회원회에 징계의결을 요구하지 않는 등 【 붙임 】 “ 범죄처분 통보자 징계의결 미요구 현황 ” 과 같이 2021. 8. 부터 2021. 10. 까지 위 B 등 교수 2 명에 대한 범죄처분 결과를 통보 받고도 2022. 7. 감사일 현재까지 징계 의결을 요구하지 않은","경고 (1 명 ); 주의 (1 명 ); 통보 - 범죄처분 통보된 B, C 에 대해 관련 규정에 따라 조치 하기 바람"
"3","결격사유 조회 미실시","- 극동대학교는 2019. 3. 1. M 을 직원으로 임용하면서 결격사유 조회를 실시하지 않는 등 【 붙임 】“ 결격사유 조회 미실시 현황 ” 과 같이 2019. 3. 부터 2022. 7. 감사일 현재까지 위 M 등 360 명을 직원 등으로 임용하면서 결격사유 조회를 실시하지 않은","기관경고; 통보 - 결격사유 조회를 실시하지 않은 재직자에 대해 결격사유 조회를 실 시 하 여 그 결 과 에 따라 임용 취소 등 적정한 조치를 취하기 바람"
"4","의원면직 제한사유 미확인","- 극동대학교는 2019. 6. 17. 의원면직을 신청한 D 에 대해 의원면직 제한대상에 해당하는지 여부를 감사원에 확인하지 않고 2019. 6. 30. 의원면직 처리하는 등 【 붙임 】“ 의원면직 제한대상 해당 여부 미확인 현황 ” 과 같이 2019. 6. 부터 2022. 7. 감사일 현재까지 위 D 등 교원 7 명에 대해 의원면직 제한대상에 해당하는지 여부를 감사원과 검찰 · 경찰 , 그 밖의 수사기관에 확인 하지 않고 의원면직 처리한","기관주의"
"5","교육시설 유상 대부 재산 미활용","- 극동대학교는 2021. 6. 14. ‘ 지역 주민과 함께하는 교육 · 복지 · 문화 활성화 ’ 를 위한 교육용 시설로 활용할 목적 으로 충북 ㄴ 소재 △△ 초등학교 ‘☆☆ 학교부지 (11,506㎡) 및 건물 (1,594.34㎡) ’ 을 5 년간 (’21. 6. 21. ~ ’26. 6. 20.) 유상 대부 하는 계약을 체결하고 , 대부료 합계 24,506,710 원 (1 차 년도 11,956,740 원 , 2 차 년도 12,549,970 원 ) 을 ▷▷ 교육지원청에 납부하고도 2022. 7. 감사일 현재까지 대부 목적으로 활용하지 않고 있는","기관경고; 통보 - 교육 활용 목적 으로 유상 대부한 시설에 대해 활용 방안을 강구하기 바람 감사결과 처분서 기관명 : 극동대학교"
"6","F 비서업무 수행 관련 직원 출장비 집행 부당","- 극동대학교는 2015. 12. 2. E 를 서울시 ○○ 빌딩 6 층 소재 F 의 개인사무실에서 비서업무를 수행하도록 출장 조치하는 등 【 붙임 】“F 비서업무 수행 관련 직원 출장비 지급 부적정 현황 ” 과 같이 2015. 12. 부터 2020. 11. 까지 위 E 에게 F 의 개인 비서업무를 수행하도록 총 654 회 출장 조치하고 출장비로 합계 19,329,600 원을 집행한","경징계 (2 명 ); 경고 (2 명 )"
"7","국가연구개발사업 연구개발능률성과급 지급 부적정","- 극동대학교 산학협력단 ◦ 개선 - ｢ 연 구 개 발 능 률 성 과 급 지 급 지 침 ｣ 을 ｢ 국 가 연구개발사업 연구 개발비 사용 기준 ｣ 등 에 부 합 하 게 개 정 하 고 , 국 가 연 구 개 발 사업 연구개발능률 성 과 급 지 급 시 성 과 평가를 실시한 후 지급하기 바람 ◦ 시정 ( 회수 ) - ｢ 산업기술혁신사업 사업비 산정 , 관리 및 사용 , 정산에 관한 요령 ｣ 개정 (`22.1.4.) 전 산업 기 술 혁 신 사 업 연구책임자에게 지급한 연구개발 능률성과급 합계 7 , 5 2 6 , 0 0 0 원 을 연 번 지 적 사 항 처 분 ** 2022. 1...","※ 2021년부터 관련 예산 부족으로 연구개발능률성과급 미지급 관 련 자 로 부 터 회수하여 관련 회계에 세입조치 하기 바람"
"8","연구개발비 부당 집행","- 극동대학교 I 는 2019. 9. 24. 양주 등 주류를 주로 판매 하는 업소인 ‘▽▽’ 에서 “ ㅁ ” 연구비 카드로 280,000 원을 집행하는 등 【 붙임 1】“ 주류 등 유흥성 경비 연구비 카드 집행 현황 ” 과 같이 2019. 9. 부터 2020. 3. 까지 위 I 등 2 명은 양주 등 주류를 주로 판매하는 업소인 ‘▽▽’ 에서 총 12 차례에 걸쳐 연구비 카드로 합계 3,060,000 원을 집행한 사실이 있고 , ※ 2019. 12.경 산학협력단의 문제제기로 위 ‘▽▽’ 집행분 2건 (합계 780,000원)을 반납한 이후에도 지속 집행(7회) 【 내부...","* 일부 이미지 파일은 검수대상 물품의 수량과 일치시키기 위해 복사-붙여넣기 하여 첨부 【 붙임 1】 주류 등 유흥성 경비 연구비 카드 집행 현황"
"9","입시관리위원회 회의 운영 부적정","- 극동대학교는 2020. 1. 31. 개최한 2020 년도 제 2 차 입시 관리위원회에서 재적위원 6 명 중 3 명이 참석하여 회의 개의 정족수가 미달함에도 ‘2020 학년도 정시 신입학 성적사정 ’ 안건을 의결하는 등 【 붙임 】“2020 년도 입시 관리위원회 회의 정족수 미달 현황 ” 과 같이 2020. 1. 부터 2020. 12. 까지 총 9 차례에 걸쳐 입시관리위원회 회의 개의 정족수가 미달하였는데도 ‘2020 학년도 정시 신입학 성적 사정 ’ 등 9 건의 안건을 의결한","기관주의"
"10","미등록자 제적ᆞ휴학 지연 처리 및 재학생 충원율 공시 부적정","- 극동대학교 교학처는 2019 학년도 1 학기 K 가 재학생 등록기간 (2019. 2. 25. ~ 3. 1.) 내 등록을 하지 않았음에도 , 정당한 이유 없이 ‘ 재학생 충원율 ’ 산정 기준일 (4. 1. 자 ) 이후인 2019. 5. 28. 제적 처리하고 ‘ 재학생 충원율 ’ ◦ 경고 (4 명 ) 연 번 지 적 사 항 처 분 정보공시에 포함 · 공시하는 등 【 붙임 1】“ 미등록 학생 제적 처리 지연 충원율 반영 현황 ” 과 같이 2019 학년도 부터 2021 학년도까지 등록기간 내 등록하지 아니한 위 K 등 59 명에 대하여 정당한 이유 없이 ‘ 재학생 충원율...","【 붙임 1】 미등록 학생 제적 처리 지연 충원율 반영 현황"
