연번,지적사항,주요내용(요약),처분요구
1,"수익용 기본재산 수익 관리 부적정 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 한다고 되어 있고, 대학설립·운영규정 제7조 제3항에 따르면 연간 학교회계 운영수익총액에 해당하는 가액의 수익용 기본재산은 그 총액에 한국은행이 발표하는 전년도의 예금은행 가중평균금리 중 저축성 수신 금리를 곱하여 산출한 금액 이상의 연간 수익이 발생하여야 한다고 되어 있는데도, - 학교법인 의담학회는 2019회계연도 수익용 기본재산의 연간 수익으로 기준연간수익 (141,307천원) 보다 105,199천원 부족한 36,108천원을 확보하는 등","- 학교법인 의담학회는 2019회계연도 수익용 기본재산의 연간 수익으로 기준연간수익 (141,307천원) 보다 105,199천원 부족한 36,108천원을 확보하는 등【붙임1】“연도별 수익용 기본재산 수익 확보 현황”과 같이 2019회계 연도부터 2021회계연도까지 수익용 기본재산의 연간 수익으로 기준연간수익 (355,030천원) 보다 266,848천원 부족한 88,182천원을 확보한 사실이 있고, ▪특히, 2019회계연도부터 2021회계연도까지 경상남도 ㄱ 소재 수익용 기본재산에 대하여 수익 창출 없이 관련 재산세만 3,922천원을 부담하는 등【붙임2】“수익 미발생...","기관경고; 통보 - 경상남도 ㄱ 등 수익이 없는 수익용 기본재 산 2건에 대하 여 매각 등을 포함하여 수익 창출 방안을 마련하기 바람 【붙임1】 연도별 수익용 기본재산 수익 확보 현황 (단위 : 천원) 【붙임2】 수익 미발생 수익용 기본재산 재산세 부담 현황 연번 구분 지목 면적 (㎡) 취득일 소재지 운용수익 (‘19〜’21) 재산세액 (‘19〜‘21) 1 토지 답 4,069 1954.05.18. (증여) 경상남도 ㄱ - 3,922 2 토지 임야 72,298 1969.12.30. (증여) 충청남도 ㄴ - 1,199 합 계 - 5,121 (단위 : 천원) 회계연도 연간 수익 기준 실제 연간수익 총액 연간 수익 기준 대비 부족액 (C-F) 학교회계 운영수익 총액 (A) 저축성 수신 금리 (B) 기준 연간 수익 (C=A×B) 예금이자 (D) 임대료 수입 (E) 합계 (F=D+E) 2019 7,556,502 1.87% 141,307 31,408 4,700 36,108 105,199 2020 7,651,586 1.75% 133,903 25,310 - 25,310 108,593 2021 7,601,862 1.05% 79,820 21,604 5,160 26,764 53,056 합 계 355,030 78,322 9,860 88,182 266,848 감사결과 처분서 기관명 : 학교법인 의담학회, 서울여자간호대학교"
2,평의원회 구성 부당 및 대학 기본역량진단 허위실적 제출,"- 서울여자간호대학교는 2013. 12. 1. A 취임 이후부터 2021. 11. 1. 교수회의가 추천한 교원 평의원 4명이 【 학 교 법 인 의 담 학 회 】 <① 관련> ◦ 고 등 직 업 교 육 정책과 별도조치 (3명) 【 서 울 여 자 간 호 대 학 교 】 <①, ② 관련> ◦중징계(2명) ◦경징계(1명) <② 관련> ◦경고(8명) ◦주의(4명) <별도조치> ◦ 통 보 (관련기관) - 대학기본역량진단 자체보고서 관련 허위실적 제출 사례를 통보하니 업무에 참고하시기 바람 ◦고발 연 번 지 적 사 항 처 분 위촉되기 전까지 대학평의원회의 교원 평의원을 교수 회의 추...",
3,"직무관련 금품등 수수 부당 ◦ 사립학교법 제55조 제1항에 따라 준용되는 국가 공무원법 제61조에 따르면 공무원은 직무와 관련하여 직접적이든 간접적이든 사례·증여 또는 향응을 주거나 받을 수 없고, 공무원은 직무상의 관계가 있든 없든 그 소속 상관에게 증여하거나 소속 공무원으로부터 증여를 받아서는 아니 되며, 부정청탁 및 금품등 수수의 금지에 관한 법률 제8조 제2항 및 제5항에 따르면 공직자등은 직무와 관련하여 대가성 여부를 불문하고 금품등을 받거나 요구 또는 약속해서는 아니되고, 누구든지 공직자등에게 수수 금지 금품등을 제공해서는 아니된다고 되어 있는데도, - 서울여자간호대학교 A는 2017. 1. 23. 교내에서 교수 경조회* E로부터 135,000원 상당의 홍삼추출액을 수수 하는 등","- 서울여자간호대학교 A는 2017. 1. 23. 교내에서 교수 경조회* E로부터 135,000원 상당의 홍삼추출액을 수수 하는 등【붙임】“금품등 수수 현황”과 같이 2017. 1. 부터 2022. 3. 감사일 현재까지 총 34차례에 걸쳐 위 교수경조회 등 구성원들로부터 합계 3,363,200원 상당의 금품등을 수수한","* 서울여자간호대 전임교원들의 경조 지원을 위한 친목회이며, A는 교수경조회원이 아님; 2번에 포함조치 (중징계(1명)); 기관경고; 통보 - 금품등을 수수한 A를 청탁금지법 제8조 제2항 위반 으로 같은 법 제23조 제7항에 따라 과태료 재판 관할법원에 통보 하기 바람"
4,강사 임용 부적정 ◦ 고등교육법 시행령 제4조의11 제1항에 따르면 강사를 임용할 때에는 고등교육법 제16조 및 대학교원 자격기준 등에 관한 규정 제2조에 따른 강사의 자격 기준을 충족하는 사람을 대상으로 위원 임명,"- 서울여자간호대학교는 2019학년도 2학기 강사초빙을 실시 (2019. 7. 26. 공고) 하면서 ‘ㄷ’ 교과목에 지원한 F가 당초 서류접수 기간 (2019. 7. 26. ~ 7. 30.) 내에 산업체 경력 증빙서류를 제출하지 않았음에도, 2019. 8. 5. H가 위 심사결과 초안을 I에게 보고한 이후, I의 지시로 위 F에게만 증빙서류 추가 제출의 기회를 부여하여 ◦경고(2명) ◦주의(3명) 연 번 지 적 사 항 처 분 2019. 8. 7. J가 위 F에게 이메일로 제출받은 ‘□□ 재직 확인서’상의 재직기간 4년 6개월을 2019. 8. 5. 강사임용 심사위원회...",* 산업체경력 점수 ‘0점’ 부여시 합계점수 63점으로 해당교과목 지원자 총 6명 중 5위에 해당 감사결과 처분서 기관명 : 서울여자간호대학교
5,전임교원 신규 임용 부적정,"- 서울여자간호대학교는 ‘2019학년도 2학기 ㄹ학과 전임 교원’을 공개채용 (채용계획 확정 및 공고 2019. 7. 16.) 하면서 채용계획과 채용공고 상에 채용인원을 명시하지 않는 등 【붙임】“전임교원 신규 채용 부적정 현황”과 같이 2019. 7.부터 2022. 3. 감사일 현재까지 위 채용 건 등 총 4회의 채용을 추진하면서 채용계획 및 채용공고 상에 채용인원을 명시하지 않은 사실이 있음 【서류심사 시 출신대학 차등 평정에 관한 사항】--② ◦ 고용정책기본법 제7조 제1항에 따르면 사업주는 근로자를 모집·채용할 때에는 합리적인 이유 없이 성별, 신앙, 연령,...",※ 서울여자간호대학교 교원 신규임용 시행세칙 제10조에 따르면 교원인사위원회의 임용 후보자 확정 이후 이사장이 면접하여 최종합격자를 확정토록 규정하고 있음 【붙임】 전임교원 신규 채용 부적정 현황 ※ 참고 감사결과 처분서 기관명 : 서울여자간호대학교
6,교원 등 신규임용시 성범죄경력 및 결격사유 미조회,"- 서울여자간호대학교는 2019. 5. 2. K를 직원으로 임용 하면서 성범죄 경력 조회를 실시하지 않는 등【붙임1】 “성범죄 경력 조회 미실시 현황”과 같이 2019. 5.부터 2021. 3.까지 위 K 등 10명을 교직원 등으로 임용하면서 성범죄 경력 조회를 실시하지 않은 사실이 있음 【결격사유 미조회】---------------------------------------------② ◦ 사립학교법 제54조의3 제5항, 고등교육법 제14조의2 제2항 제2호 나목 및 제17조 제2항에 따라 준용되는 국가공무원법 제33조에 의하면 각호의 결격사유에 해당하는 자는 교원...",
7,"의원면직 제한사유 미확인 ◦ 사립학교법 제61조의2에 따르면 각급학교 교원의 임용권자는 교원이 의원면직을 신청한 경우 징계사유가 있는지 여부와 비위와 관련하여 형사사건으로 기소 중인 경우, 교원징계위원회에 중징계 의결을 요구 중인 경우, 감사원·검찰·경찰 및 그 밖의 수사기관에서 비위와 관련하여 조사 또는 수사 중인 경우, 관할청의 감사 부서 등에서 비위와 관련하여 감사 또는 조사 중인 경우 등 의원면직 제한대상에 해당하는지 여부에 대하여 감사원과 검찰·경찰, 그 밖의 수사기관에 확인하여야 한다고 되어 있는데도, - 서울여자간호대학교는 2019. 7. 16. 의원면직을 신청한 L에 대해 의원면직 제한대상에 해당하는지 여부를 감사원과 검찰·경찰, 그 밖의 수사기관에 확인하지 않고 2019. 8. 31. 의원면직 처리하는 등","- 서울여자간호대학교는 2019. 7. 16. 의원면직을 신청한 L에 대해 의원면직 제한대상에 해당하는지 여부를 감사원과 검찰·경찰, 그 밖의 수사기관에 확인하지 않고 2019. 8. 31. 의원면직 처리하는 등【붙임】 “의원면직 제한대상 해당 여부 미확인 현황”과 같이 2019.부터 2022. 3. 감사일 현재까지 위 L 등 교원 3명에 대해 의원면직 제한대상에 해당하는지 여부를 감사원과 검찰·경찰, 그 밖의 수사기관에 확인하지 않고 의원 면직 처리한",기관주의
8,"범죄처분 통보자 징계의결 미요구 ◦ 사립학교법 제55조, 제61조 제1항 및 제64조에 따르면 사립학교의 교원의 복무에 관하여는 국·공립학교의 교원에 관한 규정을 준용하고, 사립학교의 교원이 사립 학교법과 기타 교육","- 서울여자간호대학교는 2019. 10.29. △△지방검찰청으 로부터 M이 ‘교통사고처리특례법 위반(치상)’으로 ‘구약식(벌금 : 2,000천원)’ 처분을 받았다는 사실을 통보받고도 2022. 3. 감사일 현재까지 징계의결을 요구 하지 아니한",경고(2명); 통보 - 범죄처분 통보된 M에 대해 정 관등 관 련 규 정 에 따라 조치하기 바람 감사결과 처분서 기관명 : 서울여자간호대학교
9,"교직원 4대 폭력예방교육 미이수 ◦ 양성평등기본법 시행령 제20조, 성폭력방지 및 피해자 보호 등에 관한 법률 시행령 제2조, 성매매방지 및 피해자보호 등에 관한 법률 시행령 제2조, 가정폭력 방지 및 피해자보호 등에 관한 법률 시행령 제1조의2에 따르면 국가기관의 장은 기관에 소속된 사람을 대상 으로 매년 1회 이상 성희롱·성폭력·성매매·가정폭력 예방교육 (이하 ‘4대 폭력 예방교육’) 을 각 1시간 이상 실시 하고, 신규 임용된 사람에 대해서는 임용된 날부터 2개월 이내에 4대 폭력 예방교육을 실시하도록 되어 있는데도, - 서울여자간호대학교 N은 2019. 7. 22. 신규 임용된 날부터 2개월을 초과한 2019. 12. 26. 4대 폭력 예방교육을 이수하는 등","- 서울여자간호대학교 N은 2019. 7. 22. 신규 임용된 날부터 2개월을 초과한 2019. 12. 26. 4대 폭력 예방교육을 이수하는 등【붙임 1】“신규 임용 직원 4대 폭력 예방 교육 지연 또는 미이수 현황”과 같이 2019. 7부터 2022. 3 감사일 현재까지 위 N 등 신규 임용 직원 26명은 4대 폭력 예방교육을 이수하지 않거나 임용 일로부터 2개월을 초과하여 이수한 사실이 있고, - 또한, 서울여자간호대학교 O 등 23명은 2019년도에 4대 폭력 예방교육을 이수하지 않는 등【붙임 2】“4대 폭력 예방교육 미이수 현황”과 같이 2019년도부터 202...",기관주의
10,"교직원 복무처리 부적정 ◦ 사립학교법 제55조에 따라 준용되는 국가공무원법 제58조에 따르면 교원은 소속 상관의 허가 또는 정당한 사유가 없으면 직장을 이탈하지 못한다고 되어있고, 국가공무원 복무규정 및 국가공무원 복무·징계 관련 예규 에 따르면 출장이란 상사의 명에 의하여 정규 근무지 이외의 장소에서 공무를 수행하는 것으로 정의 되어 있어, 정규근무지 이외의 장소에서 공무를 수행 하는 경우 출장처리하여야 하며, 서울여자간호대학교 교원복무 규정 제26조에 따르면 교원이 공무로 출장할 때에는 사전에 총장의 명을 받아야 한다고 되어 있고, 서울여자간호대학교 직원 복무 규정 제18조 및 제37조에 따르면 직원은 근무시간 중 소속부서장의 허가 없이 무단 이석을 하여서는 아니 되고, 공무로 출장할 때에는 사전에 출장명령부에 의하여 총장의 명을 받아야 한다고 되어 있는데도, - 서울여자간호대학교 P는 2020. 6. 17. 출장처리 없이 ▷▷에서 실습 관련 회의에 참석하는 등",- 서울여자간호대학교 P는 2020. 6. 17. 출장처리 없이 ▷▷에서 실습 관련 회의에 참석하는 등【붙임】 “현장실습 관련 출장 미처리 참석 현황”과 같이 2020. 6.부터 2022. 2.까지 위 P 등 교직원 29명은 총 157회에 걸쳐 출장처리 없이 학교 이외의 장소에서 현장실습 관련 업무를 수행한,기관경고; 통보 - 공무 출장 시 사전 출장 명령부 작성 등 관련 규정에 따라 복무관리를 철저히 하기 바람
