연번,지적사항,주요내용(요약),처분요구
1,간호학과 조교수 E 2020.08.30. ~ 2021.06.30. (10개월),간호학과 조교수 E 2020.08.30. ~ 2021.06.30. (10개월),원문 본문 OCR 필요
2,"생활과학부 부교수 F 2020.09.01. ~ 2020.12.31. (4개월) ※ 자료 : 울산대학교 제출자료 재구성 2. 관계법령 및 판단기준 ｢ 사립학교법｣ (시행 2020. 9. 25.) 제59조 제1항 제7호, 제3항 및 제4항에 따르면 사립학교 교원의 임용권자는 여성 교원이 임신 또는 출산하게 된 경우에는 본인이 원하면 휴직을 명하여야 하고, 해당 사유에 따른 휴직을 이유로 인사상 불리한 처우를 하여서는 아니 되며, 같은 호의 휴직기간은 근속기간에 포함하고, 그 밖에 같은 호에 따른 휴직자의 신분 및 처우 등에 관하여 필요한 사항은 대통령령으로 정하며, 제1항부터 제3항까지에서 규정한 사항 외에 휴직기간과 휴직자의 신분 및 처우 등에 관하여는 정관으로 정한다고 되어 있다. 또한, ｢ 사립학교법 시행령｣ 제24조의6에 따르면 법 제59조 제1항 제7호 및 제7호의2에 따른 사유로 휴직 (육아휴직) 하는 교원의 신분 및 처우에 관하여는 ｢ 공무원 보수규정｣ 제15조 제6호 및 ｢ 공무원수당 등에 관한 규정｣ 제11조의3 등 국립·공립 학교의 교원이 해당 사유로 휴직하는 경우에 적용되는 규정을 준용한다고 되어 있고, ｢ 공무원수당 등에 관한 규정｣ 제11조의3에 따르면 ｢ 국가공무원법｣ 제71조 제2항 제4호에 따른 사유 (만 8세 이하 또는 초등학교 2학년 이하의 자녀를 양육하기 위하여 필요하거나 여성공무원이 임신 또는 출산하게 된 때) 로 30일 이상 휴직한 공무원의 육아 휴직수당은 육아휴직 시작일을 기준으로 한 월봉급액의 80퍼센트에 해당하는 금액 등으로 한다고 되어 있다. < ｢ 공무원수당 등에 관한 규정 ｣ > 제11조의3(육아휴직수당) ① ｢ 국가공무원법｣ 제71조 제2항 제4호에 따른 사유로 30일 이상 휴직한 공무원의 육아휴직수당은 육아휴직 시작일을 기준으로 한 월봉급액의 80퍼센트에 해당하는 금액으로 한다. 다만, 해당 금액이 150만원을 넘는 경우에는 150만원으로 하고, 해당 금액이 70만원보다 적은 경우에는 70만원으로 한다. ② 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 공무원이 육아휴직을 한 경우에는 육아 휴직수당을 다음 각 호의 구분에 따른 금액으로 한다. 1. 같은 자녀에 대하여 부모가 모두 육아휴직을 한 경우로서 두 번째 육아휴직을 한 사람이 공무원인 경우 해당 공무원: 다음 각 목의 구분에 따라 산정한 금액 가. 육아휴직 시작일부터 3개월째까지 : 육아휴직 시작일을 기준으로 한 월봉급액에 해당하는 금액. 이 경우 그 상한액은 250만원으로 한다. 나. 육아휴직 4개월째부터 12개월째까지: 제1항에 따른 금액 2. ｢ 한부모가족지원법｣ 에 따른 모 또는 부에 해당하는 공무원: 다음 각 목의 구분에 따라 산정한 금액 가. 육아휴직 시작일부터 3개월째까지 : 육아휴직 시작일을 기준으로 한 월봉급액에 해당하는 금액. 이 경우 그 상한액은 250만원으로 한다. 나. 육아휴직 4개월째부터 12개월째까지: 제1항에 따른 금액 그리고, ｢ 울산대학교 교원 보수 규정 (개정 2020.11.1., 시행 2020.12.1.) ｣ 제15조의2 및 부칙에 따르면 육아휴직 교원에 대하여 ｢ 사립학교법 시행령｣ 제24조의6을 준용하여 육아휴직수당 (자녀양육수당) 을 지급하고, 해당 규정은 2020. 9.","생활과학부 부교수 F 2020.09.01. ~ 2020.12.31. (4개월) ※ 자료 : 울산대학교 제출자료 재구성 2. 관계법령 및 판단기준 ｢ 사립학교법｣ (시행 2020. 9. 25.) 제59조 제1항 제7호, 제3항 및 제4항에 따르면 사립학교 교원의 임용권자는 여성 교원이 임신 또는 출산하게 된 경우에는 본인이 원하면 휴직을 명하여야 하고, 해당 사유에 따른 휴직을 이유로 인사상 불리한 처우를 하여서는 아니 되며, 같은 호의 휴직기간은 근속기간에 포함하고, 그 밖에 같은 호에 따른 휴직자의 신분 및 처우 등에 관하여 필요한 사항은 대통령령으로 정하며, 제1...","생활과학부 부교수 F 2020.09.01. ~ 2020.12.31. (4개월) ※ 자료 : 울산대학교 제출자료 재구성 2. 관계법령 및 판단기준 ｢ 사립학교법｣ (시행 2020. 9. 25.) 제59조 제1항 제7호, 제3항 및 제4항에 따르면 사립학교 교원의 임용권자는 여성 교원이 임신 또는 출산하게 된 경우에는 본인이 원하면 휴직을 명하여야 하고, 해당 사유에 따른 휴직을 이유로 인사상 불리한 처우를 하여서는 아니 되며, 같은 호의 휴직기간은 근속기간에 포함하고, 그 밖에 같은 호에 따른 휴직자의 신분 및 처우 등에 관하여 필요한 사항은 대통령령으로 정하며, 제1항부터 제3항까지에서 규정한 사항 외에 휴직기간과 휴직자의 신분 및 처우 등에 관하여는 정관으로 정한다고 되어 있다. 또한, ｢ 사립학교법 시행령｣ 제24조의6에 따르면 법 제5…"
25,"부터 소급하여 적용한다고 되어 있다. 따라서, 학교법인 울산공업학원은 ｢ 사립학교법｣ 제59조 제1항부터 제3항 까지 규정한 사항의 휴직기간, 휴직자의 신분 및 처우에 관하여는 ｢ 사립학교법｣ 을 따르고, 그 외 사항에 대해서는 정관으로 정하여야 한다. 또한, 학교법인 울산공업학원 및 울산대학교는 육아휴직 교원의 신분보장 및 처우에 대하여 ｢ 사립학교법 시행령｣ 에 규정된 바에 따라 업무를 처리해야 한다. 3. 감사결과 확인된 문제점 1) 정관(육아휴직 교원 신분보장 및 처우 관련) 미개정 관련 그런데, 학교법인 울산공업학원은 2020. 9. 25. 육아휴직 교원의 신분보장 및 처우에 대하여 ｢ 사립학교법 시행령｣ 을 따르도록 ｢ 사립학교법｣ 이 시행 (개정 2020. 3. 24.) 되었는데도, ‘육아휴직 교원에 대하여 봉급을 지급하지 아니한다.’라고 정한 ｢ 학교법인 울산공업학원 정관｣ 제47조 제3항을 2023. 6. 감사일 현재까지도 개정하지 아니 하였다. < ｢ 학교법인 울산공업학원 정관 ｣ > 제44조 (휴직) 교원이 다음 각호의 어느 하나에 해당하는 사유로 휴직을 원하는 경우에는 당해 교원의 임용권자는 휴직을 명할 수 있다. 다만, 제1호 내지 제4호의 경우에는 본인의 의사에도 불구하고 휴직을 명하여야 하고, 제7호 및 7호의2의 경우에는 본인이 원하는 경우 휴직을 명하여야 한다. 7. 만 8세 이하 또는 초등학교 2학년 이하의 자녀를 양육하기 위하여 필요하거나 여성 교원이 임신 또는 출산하게 된 때 제47조 (휴직교원의 처우) ⓛ 제44조 제1호의 규정에 의하여 휴직된 교원에 대하여는 그 휴직기간 중 봉급의 7할을 지급한다. 다만, 결핵성 질환으로 인한 휴직의 경우에는 그 휴직기간 중 봉급의 8할을 지급하며, 공무상 질병으로 휴직한 경우에는 그 기간 중 봉급의 전액을 지급한다. ② 제44조 제5호에 의하여 휴직한 교원에 대해서는 봉급의 5할을 지급할 수 있다. ③ 제1항 및 제2항에 규정되지 아니한 휴직의 경우에는 봉급을 지급하지 아니한다. 그 결과, “사립학교 교원의 육아휴직 등을 안정적으로 보장하기 위하여 그 동안 학교법인의 정관으로 규율하고 있던 사립학교 교원의 육아휴직 기간 및 처우에 관한 사항을 법률에 직접 규정”하려는 ｢ 사립학교법｣ 의 개정 취지에 위배되는 결과를 초래하였다. < ｢ 사립학교법 ｣ 개정 전·후 비교> ｢ 사립학교법 ｣ (~2020.9.24.) ｢ 사립학교법 ｣ (2020.9.25.~) 제59조(휴직의 사유) ① - 생 략 - ②제1항의 휴직의 기간과 휴직자의 신분 및 처우 등에 관하여는 정관으로 정한다. ③임용권자는 제1항제7호 및 제7호의2의 규정에 의한 휴직을 이유로 인사상 불리한 처우를 하여 서는 아니되며, 동호의 휴직기간은 근속기간에 산입한다. 제59조(휴직의 사유) ① - 생 략 - ②제1항 제7호의 사유로 인한 휴직기간은 자녀 1명에 대하여 3년 이내로 하되 분할하여 휴직할 수 있고, 같은 항 제7호의2의 사유로 인한 휴직 기간은 입양자녀 1명에 대하여 6개월 이내로 한다. ③임용권자는 제1항 제7호 및 제7호의2에 따른 휴직을 이유로 인사상 불리한 처우를 하여서는 아니 되고, 같은 호의 휴직기간은 근속기간에 포함하며, 그 밖에 같은 호에 따른 휴직자의 신분 및 처우 등에 관하여 필요한 사항은 대통령령으로 정한다. ④제1항부터 제3항까지에서 규정한 사항 외에 휴직기간과 휴직자의 신분 및 처우 등에 관하여는 정관으로 정한다. 2) 육아휴직수당 과소 지급 관련 그리고, 울산대학교는 2020. 8. 부터 2020.","부터 소급하여 적용한다고 되어 있다. 따라서, 학교법인 울산공업학원은 ｢ 사립학교법｣ 제59조 제1항부터 제3항 까지 규정한 사항의 휴직기간, 휴직자의 신분 및 처우에 관하여는 ｢ 사립학교법｣ 을 따르고, 그 외 사항에 대해서는 정관으로 정하여야 한다. 또한, 학교법인 울산공업학원 및 울산대학교는 육아휴직 교원의 신분보장 및 처우에 대하여 ｢ 사립학교법 시행령｣ 에 규정된 바에 따라 업무를 처리해야 한다. 3. 감사결과 확인된 문제점 1) 정관(육아휴직 교원 신분보장 및 처우 관련) 미개정 관련 그런데, 학교법인 울산공업학원은 2020. 9. 25. 육아휴직 교원의...","부터 소급하여 적용한다고 되어 있다. 따라서, 학교법인 울산공업학원은 ｢ 사립학교법｣ 제59조 제1항부터 제3항 까지 규정한 사항의 휴직기간, 휴직자의 신분 및 처우에 관하여는 ｢ 사립학교법｣ 을 따르고, 그 외 사항에 대해서는 정관으로 정하여야 한다. 또한, 학교법인 울산공업학원 및 울산대학교는 육아휴직 교원의 신분보장 및 처우에 대하여 ｢ 사립학교법 시행령｣ 에 규정된 바에 따라 업무를 처리해야 한다. 3. 감사결과 확인된 문제점 1) 정관(육아휴직 교원 신분보장 및 처우 관련) 미개정 관련 그런데, 학교법인 울산공업학원은 2020. 9. 25. 육아휴직 교원의 신분보장 및 처우에 대하여 ｢ 사립학교법 시행령｣ 을 따르도록 ｢ 사립학교법｣ 이 시행 (개정 2020. 3. 24.) 되었는데도, ‘육아휴직 교원에 대하여 봉급을 지급하지 아니…"
9,"까지 [표 2]와 같이 E 등 2명에게 육아휴직을 명하고도, 2020. 11. 1. ｢ 교원 보수 규정｣ 개정 전 자녀양육수당으로 정한 500,000원만 지급하였다.","까지 [표 2]와 같이 E 등 2명에게 육아휴직을 명하고도, 2020. 11. 1. ｢ 교원 보수 규정｣ 개정 전 자녀양육수당으로 정한 500,000원만 지급하였다. 【표 2】육아휴직수당 과소 지급 현황 (단위 : 원) 연번 소 속 직 성 명 휴직기간 2020. 9. 2020. 10. 계 (a+b) 기지급액 정당지급액 차액(a) 기지급액 정당지급액 차액(b) 1 ◀학과 조교수 E - - - - - - - - 2 ◆학부 부교수 F - - - - - - - - 계 2명 - - - - - - 2,400,000 ※ 자료 : 울산대학교 제출자료 재구성(2020.11.부터는 정...","까지 [표 2]와 같이 E 등 2명에게 육아휴직을 명하고도, 2020. 11. 1. ｢ 교원 보수 규정｣ 개정 전 자녀양육수당으로 정한 500,000원만 지급하였다. 【표 2】육아휴직수당 과소 지급 현황 (단위 : 원) 연번 소 속 직 성 명 휴직기간 2020. 9. 2020. 10. 계 (a+b) 기지급액 정당지급액 차액(a) 기지급액 정당지급액 차액(b) 1 ◀학과 조교수 E - - - - - - - - 2 ◆학부 부교수 F - - - - - - - - 계 2명 - - - - - - 2,400,000 ※ 자료 : 울산대학교 제출자료 재구성(2020.11.부터는 정상 지급) 그 결과, E 등 2명은 ｢ 사립학교법 시행령｣ 등에 규정되어 있는 육아휴직 수당 합계 2,400,000원 (1,200,000원/인) 을 덜 지급받게 되었다. 4. 관…"
18,부터 4.,부터 4.,원문 본문 OCR 필요
20,"까지 총 6회에 걸쳐 기자재 대금 합계 302,896천원을 지급하였다. * 계약체결 현황(6건/302,896천원) : 2022.12.13.(1건/63,140천원), 2022.12.14.(1건/66,330천원), 2023.1.3. (1건/137,500천원), 2023.1.4.(2건/6,776천원), 2023.1.12.(1건/29,150천원) 2. 관계법령 및 판단기준 ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, ｢ 사학기관 재무·회계 규칙에 대한 특례규칙｣ 제15조 제2항에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하도록 되어 있다. 또한, ｢ 사학기관 재무·회계 규칙｣ 제40조에 따르면 법인과 학교는 공사·제조 또는 물품구입 등의 대가를 지급할 경우에 그 대가가 ｢ 국가를 당사자로 하는 계약에 관한 법률 시행령｣ 제56조 제1호의 규정에 의한 금액 (계약 금액 3천만원) 을 초과하는 때에는 계약상대자의 계약이행을 확인하기 위하여 계약서·설계서 기타 관계 서류에 의하여 검사하여야 하고, 검사를 하는 자는 검사 조서를 작성하여야 하며, 계약 금액이 3천만원 이하인 경우에는 검사 조서 작성을 생략할 수 있다고 되어 있다. 한편, ｢ 울산대학교 구매 계약 규정｣ 제41조에 따르면 구매한 물품·용역에 대한 검수는 ｢ 울산대학교 검수 규정｣ 에 따라 검수를 받아야 하며, ｢ 울산대학교 검수 규정｣ 제10조 및 제12조에 따르면 기계기구·비품·연구장비 등의 구입에 대한 검수는 품목단가당 1백만원 이상은 구매관재팀 (산학구매팀) 에서 실시하고, 품목 단가당 1백만원 미만은 요구부서에서 자체적으로 검수를 할 수 있으며, 검수자는 금액에 관계 없이 검수조서를 작성하도록 되어 있다. 그리고, ｢ 울산대학교 구매 계약 규정｣ 제42조 제1항 및 제45조에 따르면 물품 검수가 완료된 후 계약 상대자의 요청에 의하여 대가를 지급하여야 하며, 만약 계약 상대자가 계약의 이행을 지체하면 지체상금을 부과하도록 되어 있다.","까지 총 6회에 걸쳐 기자재 대금 합계 302,896천원을 지급하였다. * 계약체결 현황(6건/302,896천원) : 2022.12.13.(1건/63,140천원), 2022.12.14.(1건/66,330천원), 2023.1.3. (1건/137,500천원), 2023.1.4.(2건/6,776천원), 2023.1.12.(1건/29,150천원) 2. 관계법령 및 판단기준 ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, ｢ 사학기관 재무·회계 규칙에 대한 특례규칙｣ 제15조 제2항에 따르면 회계처리는 신뢰할 수 있도록 객...","까지 총 6회에 걸쳐 기자재 대금 합계 302,896천원을 지급하였다. * 계약체결 현황(6건/302,896천원) : 2022.12.13.(1건/63,140천원), 2022.12.14.(1건/66,330천원), 2023.1.3. (1건/137,500천원), 2023.1.4.(2건/6,776천원), 2023.1.12.(1건/29,150천원) 2. 관계법령 및 판단기준 ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, ｢ 사학기관 재무·회계 규칙에 대한 특례규칙｣ 제15조 제2항에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하도록 되어 있다. 또한, ｢ 사학기관 재무·회계 규칙｣ 제40조에 따르면 법인과 학교는 공사·제조 또는 물품구입 등의 대가를 지급할 경…"
31,"로 지출행위는 연차별 사업기간 종료 후 20일 (2023.4.20.) 이내에 완료하여야 하고, 계약 등 지출원인행위를 하였으나 불가피한 사유로 인하여 사업기간 내에 예산을 지출하지 못한 경우에는 한국연구재단의 승인을 받아 해당연도 전체 사업비와 이자의 15% 이내에서 예산을 이월하여 다음 사업기간에서 지출하도록 되어 있다. 따라서, 계약담당자 (사업담당자) 등은 계약 관련 지출원인행위를 하였으나 회계 연도 내에 지출이 불가능한 경우에는 세출예산을 승인 받아 이월하여 다음 회계 연도에서 지출하여야 하며, 계약한 물품이 납품이 되지 않았는데도 납품이 된 것처럼 물품 사진을 UWIN 시스템 (대학 자체 전산시스템) 에 등록하고 검수조서를 작성하여 지급의무가 없는 구매대금을 지급해서는 아니 된다. 3. 감사결과 확인된 문제점 기자재 구매요구부서인","로 지출행위는 연차별 사업기간 종료 후 20일 (2023.4.20.) 이내에 완료하여야 하고, 계약 등 지출원인행위를 하였으나 불가피한 사유로 인하여 사업기간 내에 예산을 지출하지 못한 경우에는 한국연구재단의 승인을 받아 해당연도 전체 사업비와 이자의 15% 이내에서 예산을 이월하여 다음 사업기간에서 지출하도록 되어 있다. 따라서, 계약담당자 (사업담당자) 등은 계약 관련 지출원인행위를 하였으나 회계 연도 내에 지출이 불가능한 경우에는 세출예산을 승인 받아 이월하여 다음 회계 연도에서 지출하여야 하며, 계약한 물품이 납품이 되지 않았는데도 납품이 된 것처럼 물품 사진...","로 지출행위는 연차별 사업기간 종료 후 20일 (2023.4.20.) 이내에 완료하여야 하고, 계약 등 지출원인행위를 하였으나 불가피한 사유로 인하여 사업기간 내에 예산을 지출하지 못한 경우에는 한국연구재단의 승인을 받아 해당연도 전체 사업비와 이자의 15% 이내에서 예산을 이월하여 다음 사업기간에서 지출하도록 되어 있다. 따라서, 계약담당자 (사업담당자) 등은 계약 관련 지출원인행위를 하였으나 회계 연도 내에 지출이 불가능한 경우에는 세출예산을 승인 받아 이월하여 다음 회계 연도에서 지출하여야 하며, 계약한 물품이 납품이 되지 않았는데도 납품이 된 것처럼 물품 사진을 UWIN 시스템 (대학 자체 전산시스템) 에 등록하고 검수조서를 작성하여 지급의무가 없는 구매대금을 지급해서는 아니 된다. 3. 감사결과 확인된 문제점 기자재 구매요구부서인;…"
14,부터 같은 해 4.,부터 같은 해 4.,원문 본문 OCR 필요
18,"까지 기자재가 납품 되지 않았음에도 완료된 것처럼 총 6건의 허위로 작성한 검수조서 (1차 검수) 를 구매 관재팀 (5건) 과 산학구매팀 (1건) 에 제출하였으며, 구매관재팀 (산학구매팀) 의 검수자 M (2차 검수) 은 실제 납품여부를 확인하지 않고 구매요구부서에서 제출한 검수조서의 자필서명과 UWIN 시스템에 등록된 기자재 사진을 근거로 2023. 4.","까지 기자재가 납품 되지 않았음에도 완료된 것처럼 총 6건의 허위로 작성한 검수조서 (1차 검수) 를 구매 관재팀 (5건) 과 산학구매팀 (1건) 에 제출하였으며, 구매관재팀 (산학구매팀) 의 검수자 M (2차 검수) 은 실제 납품여부를 확인하지 않고 구매요구부서에서 제출한 검수조서의 자필서명과 UWIN 시스템에 등록된 기자재 사진을 근거로 2023. 4.",원문 본문 OCR 필요
17,부터 같은 해 4.,부터 같은 해 4.,원문 본문 OCR 필요
