연번,지적사항,주요내용(요약),처분요구
13,,【표 1】“우암학원 및 소속 학교 태양광발전시설 설치 임대계약 현황”과 같이 ○○ 4) 과 건물 옥상 등에 태양광 발전시설을 설치하고 15년간 전기생산 판매수입의 5%(부가세 포함)를 임대료로 지급하는 태양광발전시설 설치 임대 계약을 체결하여 2023. 3. 감사일 현재까지 임대계약을 유지해 오고 있다. 【표 1】우암학원 및 소속 학교 태양광발전시설 설치 임대계약 현황 발전 소명 계약현황 설치장소 계약 일자 계약 방식 임대 기간 사용전 검사일 발전량 (KW) 소재지 법인(학교) 업체 1호 남부대학교 ○○ (대표 E) - 2014. 06.13 수의 계약 15년 2014...,", ㄴ 소재 수익용 건물의 경우 임대계약자인 □□이 건물 옥상에 조립식판넬 위반건축물을 임의 축조한 사실이 적발되어 2020. 6. 4. 광주광역시로부터 철거명령을 받고도 2023. 3. 감사일 현재까지 철거 되지 않고 있다. 4. 관계기관 의견 학교법인 우암학원은 앞으로 재산관리에 철저를 기하겠다며, 감사에서 확인된 법인 수익용기본재산 5개소에 대하여는 관련규정에 따라 적정한 조치를 취하겠다는 의견을 제시하였다. 5. 조치할 사항 학교법인 우암학원 이사장은 향후 동일한 사례가 발생하지 않도록 재산관리 업무에 철저를 기하기 바라며, 건축물 대장에 등재하지 않은 기본재산은 건축물대장에 등재·관리하는 등 관련 규정에 따라 조치하시기 바랍니다. (기관주의) 교 육 부 경고·주의·개선 제 목 상임이사 복무 및 보수 지급 부적정 소 관 기 관 학교법…"
3,"부터 2023. 3. 감사일 현재까지 보수 (2,500천원/월) 를 지급해오고 있다. 2. 관계법령 및 판단기준 ｢ 사립학교법｣ 제26조에 따르면 정관으로 정한 상근 임원을 제외한 임원에 대하여는 보수를 지급하지 아니한다고 되어 있고, ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하도록 되어 있다. 따라서, 이사회 임원이 학교법인으로부터 보수를 지급 받으려면 상근 2) 하여야 하고, 학교법인이 상근하는 임원에게 보수를 지급하고자 할 경우 출근 여부 등을 확인 하여야 한다. 3. 감사결과 확인된 문제점 그런데도, 학교법인 우암학원은 2022.","부터 2023. 3. 감사일 현재까지 보수 (2,500천원/월) 를 지급해오고 있다. 2. 관계법령 및 판단기준 ｢ 사립학교법｣ 제26조에 따르면 정관으로 정한 상근 임원을 제외한 임원에 대하여는 보수를 지급하지 아니한다고 되어 있고, ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하도록 되어 있다. 따라서, 이사회 임원이 학교법인으로부터 보수를 지급 받으려면 상근 2) 하여야 하고, 학교법인이 상근하는 임원에게 보수를 지급하고자 할 경우 출근 여부 등을 확인 하여야 한다. 3. 감사결과 확인된 문제점 그런데도, 학교법인 우암...",원문 본문 OCR 필요
3,부터 2023.,부터 2023.,원문 본문 OCR 필요
2,"까지 D의 법인사무실 출근 여부 등을 확인하지 않고,","까지 D의 법인사무실 출근 여부 등을 확인하지 않고,【표】“D 근무 확인 현황”과 같이 법인사무실에 상근하지 않은 D에게 매월 보수 전액 2,500천원, 합계 30,000천원 (2500천원×12개월) 을 지급하였다. 1) D는 전 남부대학교 총장으로 학교법인 우암학원 이사직을 맡고 있음 2) (표준국어대사전) 날마다 일정한 시간에 출근하여 정해진 시간 동안 근무함. 또는 그런 근무 【표】D 근무 확인 현황 (단위 : 일, 천원) 연번 연 월 출근일수 보수지급액 연번 연월 출근일수 보수지급액 1 2022.03. 3 2,500 7 2022.09. 8 2,500 2 202...","을 인정하며 출근하지 않은 일자에 대해 일할 계산하여 법인에 반납하겠다는 의견을 제출하였다. (H) 상임이사는 상근하여야 함을 알고 있으나, 상임이사실이 별도 공간에 있어 출근 확인이 어렵고, 외부인사 방문 등으로 출근을 하지 아니한 경우도 있기 때문에 상근 여부를 확인하지 못하였으며, 이러한 사유로 출근일수에 따른 월급액 조정 없이 전액을 지급하였다고 소명하였다. (학교법인 우암학원) D의 급여지급 기간인 2022. 3. ~ 2023."
3,"까지 상근하지 않았던 출근기록을 근거로 급여를 일할계산하여 환수 조치하고, 현재까지 직원 근무상황부만 작성하였지만, 앞으로는 상임이사 근무상황부 작성을 통해 상임 이사 근태관리의 객관성을 확보하겠다는 의견을 제출하였다. 5. 조치할 사항 학교법인 우암학원 이사장은 ① 상근 여부를 확인하지 아니하고 보수를 지급한 B, H 등 2명에게 ’주의‘를, 상근하지 아니하고도 보수를 수령한 D에게 ’경고‘ 조치하기 바랍니다. (주의·경고) ② 상임이사 보수 지급을 위한 근무일수 등 명확한 기준을 마련하고, 구체적 운영방안을 마련·시행하시기 바랍니다. (개선) 교 육 부 주의·통보 제 목 소송비용 징수 관리 부적정 소 관 기 관 학교법인 우암학원 조 치 기 관 학교법인 우암학원 내 용 1. 업무개요 학교법인 우암학원은 ｢ 사학기관 재무·회계 규칙｣ 에 따라 법인회계의 수입과 지출을 처리하고 있고, ｢ 민사소송법｣ 에 따라 관련 소송 절차를 진행하고 있으며, 소송에 승소하였을 경우 소송비용액을 확정 받아 법인회계로 세입처리하고 있다. 2. 관계법령 및 판단기준 ｢ 민사소송법｣ 제110조 제1항에 따르면 소송비용의 부담을 정하는 재판에서 그 액수가 정하여지지 아니한 경우에 제1심 법원은 그 재판이 확정되거나, 소송 비용부담의 재판이 집행력을 갖게 된 후에 당사자의 신청을 받아 결정으로 그 소송 비용액을 확정한다고 되어 있고, ｢ 민법｣ 제165조 제1항에 따르면 판결에 의하여 확정된 채권은 단기의 소멸시효에 해당한 것이라도 그 소멸시효는 10년으로 하며, ｢ 사학기관 재무·회계 규칙｣ 제4조, 제10조 및 제28조 제2항에 따르면 법인의 재무와 회계는 건전하게 운영하여야 하고, 1회계연도의 모든 수입을 세입으로 하며, 세입 징수자는 납부의무자에게 기일을 정하여 문서로서 납입의 고지를 하여야 한다고 되어 있다. 따라서, 학교법인 우암학원은 법인회계 지출을 통해 승소된 소송의 비용이 법원 으로부터 확정되었다면 10년의 채권 소멸시효를 인지하고 정당한 절차를 통해 채무자에게 채권의사를 표명하여야 하며, 소송비용이 징수된 경우 법인회계에 세입 처리 하여야 한다. 3. 감사결과 확인된 문제점 그런데도, 학교법인 우암학원은 M이 학교법인을 상대로 제기한 ‘해고무효확인’ 소송을 승소 (`21. 1. 14., 대법원) 하여 2021. 9. 30. 광주지방법원으로부터 소송비용을 확정 (10,704,464원) 통보받았음에도 1년 5개월이 지난 ‘23. 3. 감사일 현재까지 위 M에게 관련 소송비용을 청구하지 않아 법인회계에 세입되어야 할 소송 관련 경비 합계 10,704,464원이 징수되지 아니하는 결과를 초래하였다.","까지 상근하지 않았던 출근기록을 근거로 급여를 일할계산하여 환수 조치하고, 현재까지 직원 근무상황부만 작성하였지만, 앞으로는 상임이사 근무상황부 작성을 통해 상임 이사 근태관리의 객관성을 확보하겠다는 의견을 제출하였다. 5. 조치할 사항 학교법인 우암학원 이사장은 ① 상근 여부를 확인하지 아니하고 보수를 지급한 B, H 등 2명에게 ’주의‘를, 상근하지 아니하고도 보수를 수령한 D에게 ’경고‘ 조치하기 바랍니다. (주의·경고) ② 상임이사 보수 지급을 위한 근무일수 등 명확한 기준을 마련하고, 구체적 운영방안을 마련·시행하시기 바랍니다. (개선) 교 육 부 주의·통보...","까지 상근하지 않았던 출근기록을 근거로 급여를 일할계산하여 환수 조치하고, 현재까지 직원 근무상황부만 작성하였지만, 앞으로는 상임이사 근무상황부 작성을 통해 상임 이사 근태관리의 객관성을 확보하겠다는 의견을 제출하였다. 5. 조치할 사항 학교법인 우암학원 이사장은 ① 상근 여부를 확인하지 아니하고 보수를 지급한 B, H 등 2명에게 ’주의‘를, 상근하지 아니하고도 보수를 수령한 D에게 ’경고‘ 조치하기 바랍니다. (주의·경고) ② 상임이사 보수 지급을 위한 근무일수 등 명확한 기준을 마련하고, 구체적 운영방안을 마련·시행하시기 바랍니다. (개선) 교 육 부 주의·통보 제 목 소송비용 징수 관리 부적정 소 관 기 관 학교법인 우암학원 조 치 기 관 학교법인 우암학원 내 용 1. 업무개요 학교법인 우암학원은 ｢ 사학기관 재무·회계 규칙｣ 에 따…"
6,부터 2022.,부터 2022.,원문 본문 OCR 필요
6,"까지 [표 2]와 같이 P 등 3명에게 질병휴직을 명하고도, ｢ 학교법인 우암학원 정관｣ 에 따라 봉급의 7할 (연봉제의 경우 6할) 등을 지급하도록 되어 있는 봉급을 지급하지 아니하였다.","까지 [표 2]와 같이 P 등 3명에게 질병휴직을 명하고도, ｢ 학교법인 우암학원 정관｣ 에 따라 봉급의 7할 (연봉제의 경우 6할) 등을 지급하도록 되어 있는 봉급을 지급하지 아니하였다. 【표 2】질병휴직자 봉급 미지급 현황 연번 구분 소 속 직 성 명 질병휴직 기간 (개월) 연봉월액 (원) 미지급액 (지급비율) 비고",원문 본문 OCR 필요
1,"연봉제 - - P - 4,984,500 5,288,300 (60%)","연봉제 - - P - 4,984,500 5,288,300 (60%)",원문 본문 OCR 필요
2,"연봉제 - - Q - 5,497,150 33,720,050 (60%)","연봉제 - - Q - 5,497,150 33,720,050 (60%)",원문 본문 OCR 필요
3,"연봉제 - - R - 2,360,000 8,192,000 (60%) 퇴직 합 계 3명 47,200,350 ※ 자료 : 전남과학대학교 제출자료 재구성(미지급액의 경우 정근수당을 제외 한 금액임) 그 결과, P 등 3명은 학교법인 ｢ 정관｣ 에 규정되어 있는 질병휴직 기간 동안의 봉급 합계 47,200,350원을 지급받지 못하게 되었다. 4. 관계기관 의견 1) 정관(육아휴직수당 지급 규정) 미개정 관련 학교법인 우암학원은 감사결과 확인된 문제점에 동의하면서 육아휴직 교원에 대해 수당을 지급하는 정관 변경안(제43조)을 차기 이사회에 상정하여 심의·의결 받은 후 교육부에 정관변경 승인신청을 하겠다는 의견을 제시하였다. 2) 질병휴직자 봉급 미지급 관련 전남과학대학교는 감사결과 확인된 문제점에 동의하면서 질병휴직 교직원에 대하여 지급하지 않은 봉급을 지급하도록 하겠다는 의견을 제시하였다. 5. 조치할 사항 학교법인 우암학원 이사장은 ① 앞으로 ｢ 정관｣ 등 자체 규정에 ｢ 사립학교법｣ 등 상위법령과 위반되는 내용이 포함되지 않도록 관련 업무를 철저히 하시기 바랍니다. (기관주의) ② 또한, ｢ 사립학교법｣ 과 다른 내용으로 규정된 ｢ 정관｣ 의 내용을 조속히 개정하시기 바랍니다. (개선) 전남과학대학교 총장은 ① ｢ 정관｣ 등을 위반하여 질병휴직자들에게 봉급을 지급하지 아니한 I, S 등 2명에 대해 자체 규정에 따라 적의 조치하시기 바랍니다. (통보) ② 또한, P 등 3명에게 질병휴직 기간 동안 지급하지 아니한 봉급에 대해 관련 규정에 따라 지급하시기 바랍니다. (시정) 교 육 부 경고·통보 제 목 물품 구매 증빙자료 제출 부적정 소 관 기 관 전남과학대학교 조 치 기 관 전남과학대학교 내 용 1. 업무개요 전남과학대학교는 ｢ 사학기관 재무·회계 규칙｣ 등 관련 규정에 따라 회계를 처리 하고, 전남과학대학교 교·직원들은 물품 구매 시 ｢ 전남과학대학교 구매 규정｣ 등에 따라 검수조서 및 사진조서 등을 증빙자료로 제출하고 있다. 2. 관계법령 및 판단기준 ｢ 사립학교법｣ 제55조에 따라 준용되는 ｢ 국가공무원법｣ 제56조에 따르면 모든 공무원은 법령을 준수하며 성실히 직무를 수행하여야 한다고 되어 있고, ｢ 전남 과학대학교 교직원 복무규정｣ 제2조 및 제3조에 따르면 교직원은 일반사무 처리를 능률적으로 수행하기 위하여 창의와 성실로써 맡은 바 책임을 다하여야 하며, 법령, 제규정 및 직무상의 명령을 준수하며 근무기강을 확립하고 질서를 준수하여야 한다고 되어 있다. 또한, ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 학교의 재무와 회계는 건전 하게 운영하여야 하고, ｢ 사학기관 재무·회계 규칙에 대한 특례규칙｣ 제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 하며, ｢ 전남과학대학교 구매 규정｣ 제30조 및 [별표]에 따르면 물품 등 구매 시 관련 필요 서류로 사진대지 및 검수조서 등을 구비한다고 되어 있다. 따라서, 전남과학대학교 교직원은 법령을 준수하며 성실히 직무를 수행하여야 하고, 물품 등을 구매할 때에는 관련 규정에 따라 검수조서 및 사진대지 등을 근거자료로 첨부하여 제출하여야 한다. 3. 감사결과 확인된 문제점 그런데도, T는 [표 2]와 같이 2021. 1. 8. “ ㄷ 지원사업 구입”건의 구매 (금액 합계 15,162,030원) 증빙자료로 이미 학교에 제출한 사진 중 ‘트레이닝복-단체복’ 사진을 왼쪽으로 회전하여 2021. 1. 19. “ ㄹ 용품 구입”건의 구매 (트레이닝복 3,000,000원) 증빙 자료로 다시 제출하였다. 또한, 위 T는 2021. 1. 8. “ ㄷ 지원사업 구입”건의 구매 증빙자료로 기 제출한 사진 중 ‘유니폼-주 (2,250,000원) , 유니폼-보조 (2,250,000원) , 트레이닝복-단체복 (3,000,000원) , 트레이닝복-훈련복 (3,000,000원) 및 부심기 (40,000원) ’ 등 5건의 사진을 자르거나 회전하는 등의 방법으로 2022. 1. 11. “ ㅁ 구입”건의 구매 증명자료로 다시 제출 하였고, U 및 V는 위 유니폼 등의 구매에 대한 물품검수조서에 검수자 및 입회자로 각각 서명하였다.","연봉제 - - R - 2,360,000 8,192,000 (60%) 퇴직 합 계 3명 47,200,350 ※ 자료 : 전남과학대학교 제출자료 재구성(미지급액의 경우 정근수당을 제외 한 금액임) 그 결과, P 등 3명은 학교법인 ｢ 정관｣ 에 규정되어 있는 질병휴직 기간 동안의 봉급 합계 47,200,350원을 지급받지 못하게 되었다. 4. 관계기관 의견 1) 정관(육아휴직수당 지급 규정) 미개정 관련 학교법인 우암학원은 감사결과 확인된 문제점에 동의하면서 육아휴직 교원에 대해 수당을 지급하는 정관 변경안(제43조)을 차기 이사회에 상정하여 심의·의결 받은 후 교육부에...","연봉제 - - R - 2,360,000 8,192,000 (60%) 퇴직 합 계 3명 47,200,350 ※ 자료 : 전남과학대학교 제출자료 재구성(미지급액의 경우 정근수당을 제외 한 금액임) 그 결과, P 등 3명은 학교법인 ｢ 정관｣ 에 규정되어 있는 질병휴직 기간 동안의 봉급 합계 47,200,350원을 지급받지 못하게 되었다. 4. 관계기관 의견 1) 정관(육아휴직수당 지급 규정) 미개정 관련 학교법인 우암학원은 감사결과 확인된 문제점에 동의하면서 육아휴직 교원에 대해 수당을 지급하는 정관 변경안(제43조)을 차기 이사회에 상정하여 심의·의결 받은 후 교육부에 정관변경 승인신청을 하겠다는 의견을 제시하였다. 2) 질병휴직자 봉급 미지급 관련 전남과학대학교는 감사결과 확인된 문제점에 동의하면서 질병휴직 교직원에 대하여 지급하지 않은 봉…"
