연번,지적사항,주요내용(요약),처분요구
1,부터 2018. 12.,부터 2018. 12.,원문 본문 OCR 필요
31,까지 □□시 요청으로 ‘□□맞춤박물관’ 부지로 무상 사용하게 하고 2018. 6.,까지 □□시 요청으로 ‘□□맞춤박물관’ 부지로 무상 사용하게 하고 2018. 6.,원문 본문 OCR 필요
4,에는 이사회 심의·의결 없이 2031. 12.,에는 이사회 심의·의결 없이 2031. 12.,통보
18,"까지 연장하여 □□시에 무상 으로 사용하도록 하였으며, 수익용 기본재산인 경기도 ㄴ 등 2필지 토지 4,830㎡에 대하여도 이사회 심의･ 의결 없이 2019. 6.","까지 연장하여 □□시에 무상 으로 사용하도록 하였으며, 수익용 기본재산인 경기도 ㄴ 등 2필지 토지 4,830㎡에 대하여도 이사회 심의･ 의결 없이 2019. 6.",통보
1,부터 2024. 5.,부터 2024. 5.,원문 본문 OCR 필요
31,"까지 □□시 요청으로 ’임시공용주차장’ 부지로 무상 사용하게 한 것으로 확인되었다. 그 결과 학교법인 중앙대학교는 기본재산을 지방자치단체에 공익 목적으로 무상 사용하게 하였지만, 재산의 일반적인 운영･ 관리에 관한 사항을 이사회 심의･ 의결 없이 처리함으로써 학교법인의 책무성을 저해하는 결과를 초래하였다. 4. 관계기관 의견 및 검토 결과 ① 관계기관 의견 학교법인 중앙대학교는 □□맞춤박물관과 임시공영주차장의 토지는 지역주 민들을 위한 공익목적으로 □□시에 무상 임대한 것으로 직접적인 재산의 취득･ 처분에 관한 사항도 아니고, □□시와 임대차 계약을 통해 제공 토지의 지목을 기존 ‘임야’, ‘농지’에서 건물을 지을 수 있는 ‘대지’로 변경하는 조건을 부여함에 따라 임대기간 만료 후에는 임대료 이상의 실질적인 이익이 발생할 수 있다고 판단되어 이사회 심의·의결 없이 무상으로 임대하였다고 주장하고 있다. ② 검토결과 그러나 ｢ 사립학교법｣ 과 ｢ 학교법인 중앙대학교 정관｣ 에는 재산의 취득·처분 뿐 아니라 관리에 관한 사항도 이사회 심의를 통하여 결정하게 되어 있고, 학교법인의 기본재산인 토지의 무상 임대 여부는 임대보증금 관리 등 재산의 일반운영·관리의 범위에 해당되므로 위 주장은 인정하기 어렵다. 5. 조치할 사항 학교법인 중앙대학교 이사장은 ① 감사에 지적된 □□시에 무상으로 임대 중인 토지에 대하여 이사회 심의· 의결을 거치시기 바랍니다. (통보) ② 앞으로 학교법인 기본재산 운영·관리에 관한 사항은 관련 규정에 따라 이사회 심의·의결 절차를 준수할 수 있도록 관련 업무를 철저히 하고 (기관경고)","까지 □□시 요청으로 ’임시공용주차장’ 부지로 무상 사용하게 한 것으로 확인되었다. 그 결과 학교법인 중앙대학교는 기본재산을 지방자치단체에 공익 목적으로 무상 사용하게 하였지만, 재산의 일반적인 운영･ 관리에 관한 사항을 이사회 심의･ 의결 없이 처리함으로써 학교법인의 책무성을 저해하는 결과를 초래하였다. 4. 관계기관 의견 및 검토 결과 ① 관계기관 의견 학교법인 중앙대학교는 □□맞춤박물관과 임시공영주차장의 토지는 지역주 민들을 위한 공익목적으로 □□시에 무상 임대한 것으로 직접적인 재산의 취득･ 처분에 관한 사항도 아니고, □□시와 임대차 계약을 통해 제공 토지의...","까지 □□시 요청으로 ’임시공용주차장’ 부지로 무상 사용하게 한 것으로 확인되었다. 그 결과 학교법인 중앙대학교는 기본재산을 지방자치단체에 공익 목적으로 무상 사용하게 하였지만, 재산의 일반적인 운영･ 관리에 관한 사항을 이사회 심의･ 의결 없이 처리함으로써 학교법인의 책무성을 저해하는 결과를 초래하였다. 4. 관계기관 의견 및 검토 결과 ① 관계기관 의견 학교법인 중앙대학교는 □□맞춤박물관과 임시공영주차장의 토지는 지역주 민들을 위한 공익목적으로 □□시에 무상 임대한 것으로 직접적인 재산의 취득･ 처분에 관한 사항도 아니고, □□시와 임대차 계약을 통해 제공 토지의 지목을 기존 ‘임야’, ‘농지’에서 건물을 지을 수 있는 ‘대지’로 변경하는 조건을 부여함에 따라 임대기간 만료 후에는 임대료 이상의 실질적인 이익이 발생할 수 있다고 판단되어…"
3,"부터 2021. 4. 감사일 현재까지 3) 특수목적차량 중 1대 4) 를 공적 목적 외 출·퇴근 5) 을 위해 사적으로 사용하고 학교에서 지정한 차고지에 보관하지도 않았다. 또한 중앙대학교는 위 K가 사적 사용한 유류비 총액 금2,324,500원 6) 을 아무런 검토 없이 그대로 교비회계에서 집행하였다. 1) 업무용 차량 차량운행 일지 작성 요청(중앙대 총무팀-744, 2021. 4. 7.) 전산개발 완료(2021. 4. 19.)에 따른 종합관리시스템을 활용한 차량운행 일지 작성 2) 부서 운영차량 관리 철저 요청(중앙대 총무팀-4860, 2022. 10. 7.) 특수목적 차량 개인용도 사용 금지 3) 2020. 3월 ~ 2021. 3월까지 차량운행일지 미 작성으로 인해 해당기간 중 차량 사용내역 확인 불가해 제외하고, 총무처 ‘업무용 차량 차량운행일지 작성요청(’21.4.7.) 이후에 K가 작성한 차량운행일지에 공무 목적으로 사용한 일자의 출‧ 퇴근은 개인용도 사용에서 제외하고 산출 4) ㄹ 차량(계약기간: ’19.10.25.~’21.10.25.), ㅁ 차량(계약기간: ’21.10.26.~’24.11.1.) 5) 포털에서 이동거리 확인할 수 있는 앱을 활용하여 출‧ 퇴근에 따른 최단거리(편도 29㎞)로 산정 6) 개인용도 사용기간 중 오피넷(한국석유공사 유가정보 제공) 휘발유 평균 단가 적용하여 산출, 그랜저 하이브리드 차량으로 연비는 차량 등록증에 기재된 16.2㎞/리터로 계산 4. 관계기관 의견 및 검토 결과 ① 관계기관 의견 중앙대학교는 감사결과를 수용하면서","부터 2021. 4. 감사일 현재까지 3) 특수목적차량 중 1대 4) 를 공적 목적 외 출·퇴근 5) 을 위해 사적으로 사용하고 학교에서 지정한 차고지에 보관하지도 않았다. 또한 중앙대학교는 위 K가 사적 사용한 유류비 총액 금2,324,500원 6) 을 아무런 검토 없이 그대로 교비회계에서 집행하였다. 1) 업무용 차량 차량운행 일지 작성 요청(중앙대 총무팀-744, 2021. 4. 7.) 전산개발 완료(2021. 4. 19.)에 따른 종합관리시스템을 활용한 차량운행 일지 작성 2) 부서 운영차량 관리 철저 요청(중앙대 총무팀-4860, 2022. 10. 7.) 특...",원문 본문 OCR 필요
3,"부터 2023. 4. 감사일 현재까지 법인카드를 개인용 약품 구입 등 사적으로 사용하고 청구한 금액 (카드사 명세서) 을 별다른 검토 없이 그대로 병원회계에서 지출하였다. 소속 직 성명 건수 금액 반납일 자신 반납현황 중앙대학교 병원 - L 51 8,641,800 2023. 6. 2. 감사기간(‘23.05.23 ~06.02.) 중 반납 - M 149 2,533,250 - N 21 411,430 - O 1 150,000 2023. 6. 21. 자체조사 후 반납 - P 10 2,368,260 소계 232 14,104,740 중앙대학교 광명병원 - Q 2 112,000 2023. 6. 22. 자체조사 후 반납 - R 1 31,000 - O 5 975,000 - S 2 441,500 - T 1 50,000 소계 11 1,609,500 합계 243 15,714,240 [표] 부속병원 보직자 업무추진비(법인카드) 사적 사용 현황 ※ 중앙대학교 제출자료 재구성, 법인카드 제한업종에서 사용한 건은 없음 4. 관계기관 의견 및 검토 결과 ① 관계기관 의견 중앙대학교 의료원은 부족한 행정인력으로 매월 법인카드 사용명세서로 업종, 금액, 결제일자, 지역 등을 전반적으로 검토하는데 어려움이 있었음을 인정하며, 감사 기간에 감사반이 사적 사용으로 의심되는 건을 포함해 2020년부터 2023년 감사일 현재까지 내역을 자체 전수 조사하여 위","부터 2023. 4. 감사일 현재까지 법인카드를 개인용 약품 구입 등 사적으로 사용하고 청구한 금액 (카드사 명세서) 을 별다른 검토 없이 그대로 병원회계에서 지출하였다. 소속 직 성명 건수 금액 반납일 자신 반납현황 중앙대학교 병원 - L 51 8,641,800 2023. 6. 2. 감사기간(‘23.05.23 ~06.02.) 중 반납 - M 149 2,533,250 - N 21 411,430 - O 1 150,000 2023. 6. 21. 자체조사 후 반납 - P 10 2,368,260 소계 232 14,104,740 중앙대학교 광명병원 - Q 2 112,000 2...","부터 2023. 4. 감사일 현재까지 법인카드를 개인용 약품 구입 등 사적으로 사용하고 청구한 금액 (카드사 명세서) 을 별다른 검토 없이 그대로 병원회계에서 지출하였다. 소속 직 성명 건수 금액 반납일 자신 반납현황 중앙대학교 병원 - L 51 8,641,800 2023. 6. 2. 감사기간(‘23.05.23 ~06.02.) 중 반납 - M 149 2,533,250 - N 21 411,430 - O 1 150,000 2023. 6. 21. 자체조사 후 반납 - P 10 2,368,260 소계 232 14,104,740 중앙대학교 광명병원 - Q 2 112,000 2023. 6. 22. 자체조사 후 반납 - R 1 31,000 - O 5 975,000 - S 2 441,500 - T 1 50,000 소계 11 1,609,500 합계 243…"
15,부터 2022. 6.,부터 2022. 6.,원문 본문 OCR 필요
27,"까지 참여연구자 163명에게 연구개발능률성과급 합계 815,567천원을 지급하면서, 연구지원 인력을 배제한 채 연구책임자 및 공동연구자에게만 연구개발능률성과급을 지급하였다. 4. 관계기관 의견 중앙대학교는 국가연구개발혁신법 상 연구개발능률성과급에 대한 지급대상에 연구지원인력을 포함하는 것이 의무화 되어있지 않은 것으로 판단해 현재까지 성과급을 지급하였나, 이번 감사로 계기로 잘못을 인지하여 조속한 시일 내 성과급 지급 지준 등 절차를 개선하여 연구에 기여한 모든 구성원이 공정한 평가와 적정한 보상을 받을 수 있게 하겠다는 의견을 제시하였다. 5. 조치할 사항 중앙대학교 총장은 ① 연구개발능률성과급을 지급할 때에는 참여연구자와 연구지원인력을 모두 포함하여 자체적으로 성과평가를 실시한 후 지급하기 바랍니다. (통보) ② 앞으로 ｢ 국가연구개발혁신법 ｣ 및 ｢ 국가연구개발사업 연구개발비 사용 기준 ｣ 등을 위반하여 연구개발능률성과급이 지급되는 없도록 관련 업무를 철저히 하기 바랍니다. (기관경고)","까지 참여연구자 163명에게 연구개발능률성과급 합계 815,567천원을 지급하면서, 연구지원 인력을 배제한 채 연구책임자 및 공동연구자에게만 연구개발능률성과급을 지급하였다. 4. 관계기관 의견 중앙대학교는 국가연구개발혁신법 상 연구개발능률성과급에 대한 지급대상에 연구지원인력을 포함하는 것이 의무화 되어있지 않은 것으로 판단해 현재까지 성과급을 지급하였나, 이번 감사로 계기로 잘못을 인지하여 조속한 시일 내 성과급 지급 지준 등 절차를 개선하여 연구에 기여한 모든 구성원이 공정한 평가와 적정한 보상을 받을 수 있게 하겠다는 의견을 제시하였다. 5. 조치할 사항 중앙대학...","까지 참여연구자 163명에게 연구개발능률성과급 합계 815,567천원을 지급하면서, 연구지원 인력을 배제한 채 연구책임자 및 공동연구자에게만 연구개발능률성과급을 지급하였다. 4. 관계기관 의견 중앙대학교는 국가연구개발혁신법 상 연구개발능률성과급에 대한 지급대상에 연구지원인력을 포함하는 것이 의무화 되어있지 않은 것으로 판단해 현재까지 성과급을 지급하였나, 이번 감사로 계기로 잘못을 인지하여 조속한 시일 내 성과급 지급 지준 등 절차를 개선하여 연구에 기여한 모든 구성원이 공정한 평가와 적정한 보상을 받을 수 있게 하겠다는 의견을 제시하였다. 5. 조치할 사항 중앙대학교 총장은 ① 연구개발능률성과급을 지급할 때에는 참여연구자와 연구지원인력을 모두 포함하여 자체적으로 성과평가를 실시한 후 지급하기 바랍니다. (통보) ② 앞으로 ｢ 국가연구개발혁…"
