연번,지적사항,주요내용(요약),처분요구
1,"정규직원 신규채용시 연령·학력 차별 ◦ ｢ 고용정책 기본법 ｣ 제 7 조 제 1 항에 따르면 사업주는 근로자를 모집 · 채용할 때에 합리적인 이유 없이 성별 , 신앙 , 연령 , 신체조건 , 사회적 신분 , 출신지역 , 학력 , 출신학교 , 혼인 · 임신 또는 병력 (病歷) 등을 이유로 차별을 하여서는 아니 되며 균등한 취업기회를 보장하도록 되어 있고 , ｢ 고용상 연령차별금지 및 고령자고용촉진에 관한 법률 ｣ 제 4 조의 4 제 1 항에 따르면 사업주는 모집 · 채용 등의 분야에서 합리적인 이유 없이 연령을 이유로 근로자 또는 근로자가 되려는 자를 차별하여서는 아니 된다고 되어 있으며 , ｢ 학교법인 한국산업기술대학 정관 ｣ 제 68 조 제 2 항 및 제 69 조 제 1 항에 따르면 일반직원의 신규임용에 있어서는 학력에 제한을 두지 아니하고 , 신규채용 , 승진 , 전보 등은 임용권자가 공개채용 · 전형 또는 근무성적 기타 능력의 실증에 의하여 행함을 원칙 으로 한다고 되어 있는데도 , - 경기과학기술대학교는 2020. 8. 21. “ 일반행정 정규직 직원 채용 ( 안 )” 을 수립하여 채용공고 후 , 채용 절차를 진행하면서 지원자가 많다는 이유로 임의로 지원자 596 명 중 연령 만 30 세 이상 (’90.8.25. 이전 출생자 ) 지원자 262 명을 서류심사 대상에서 제외하여 취업기회를 부여 하지 않은 사실이 있고 , - 또한 , 인터넷을 통해 찾은 심사기준표를 참고하여 별도로 만든 심사기준에 따라 나머지 지원자 334 명만 ( 만 30 세 ◦ 경징계 (2 명 ) < 별도조치 > ◦ 통보 ( 관련기관 ) 연번 지 적 사 항 처분 미만 ) 을 대상으로 서류심사를 하면서 지원자 출신대학을 5 개 등급 ( 최상위 ~ 하위 ) 으로 구분하여 학교 등급별 점수를 최고 25 점에서 13 점까지 차등 부여하는 등","- 경기과학기술대학교는 2020. 8. 21. “ 일반행정 정규직 직원 채용 ( 안 )” 을 수립하여 채용공고 후 , 채용 절차를 진행하면서 지원자가 많다는 이유로 임의로 지원자 596 명 중 연령 만 30 세 이상 (’90.8.25. 이전 출생자 ) 지원자 262 명을 서류심사 대상에서 제외하여 취업기회를 부여 하지 않은 사실이 있고 , - 또한 , 인터넷을 통해 찾은 심사기준표를 참고하여 별도로 만든 심사기준에 따라 나머지 지원자 334 명만 ( 만 30 세 ◦ 경징계 (2 명 ) < 별도조치 > ◦ 통보 ( 관련기관 ) 연번 지 적 사 항 처분 미만 ) 을 대상...",
2,"임시직원 채용 부적정 ◦ ｢ 경기과학기술대학교 임시직 임용요령 ｣ 제 4 조에 따르면 임시직의 임용자격 기준은 임용예정 직무를 수행할 수 있는 능력이 있는 자 , 임용예정업무의 성질에 따라 특별한 자격을 필요로 하는 경우에는 해당 자격증 소지자로 되어 있고 , “ 경기과학기술대학교",- 경기과학기술대학교는 2019.10.7. “○○ 센터 회계 및 행정 담당직원 ” 채용을 진행하면서 채용공고와 달리 ㅅ 전공자가 아닌 ㅇ 전문학사 소지자인 A 를 최종합격자로 선발하여 임용한,경고 (2 명 ) 감사결과 처분서 기관명 : 경기과학기술대학교
3,심사위원 결격사유 대상자 채용심사 미회피 ◦ ｢ 사립학교법 ｣ 제 53 조의 5 에 따라 준용되는 ｢ 교육공무원법 ｣ 제 11 조의 3 제 2 항에 따르면 대학의 교원을 신규채용할 때에는 심사위원을 임명하거나 위촉하,"- 경기과학기술대학교 B 는 2020 학년도 1 학기 ㄱ학과 전임교원 신규채용 과정에서 자신이 졸업한 □□ 대 출신이자 박사학위 지도교수가 동일하고 친분 관계가 있는 C 가 지원하였는데도 , 심사위원 회피 등의 조치 없이 전임교원 신규채용 전공심사위원으로 참여하였으며 , 경기과학기술대학교는 심사위원의 회피 절차 등을 관리 하지 않은",경고 (1 명 ); 주의 (1 명 ); 통보 - 교 원 채 용 심 사 과 정 이 관련 규정에 따라 공정하게 실시될 수 있 도 록 관 리 하 기 바 람 감사결과 처분서 기관명 : 경기과학기술대학교
4,"범죄처분 통보자 미조치 ◦ ｢ 사립학교법 ｣ 제 61 조 제 1 항 및 제 64 조에 따르면 사립 학교 교원이 사립학교법과 그 밖의 교육 관계 법령을 위반하여 교원의 본분에 어긋나는 행위를 하였을 때 , 직무상의 의",- 경기과학기술대학교는 2020.10.5. △△ 지방검찰청으로 부터 D 의 ‘ 특수폭행 ’ 에 대한 ‘ 기소유예 ’ 처분 (‘20.9.29.) 결과를 통보받고도 교원징계위원회에 징계의결을 요구 ( 징계의결 등 시효 : ’23.9.28.) 하지 않고 구두 경고 (‘20.10.8. 총장 내부결재 ) 만 한,경고 (1 명 ); 통보 - 범죄사실 통보자에 대 하 여 관련 규 정 에 따라 조치하기 바람 감사결과 처분서 기관명 : 경기과학기술대학교
5,"교직원 4대 폭력 예방교육 지연 및 미이수 ◦ ｢ 양성평등기본법 시행령 ｣ 제 20 조 , ｢ 성폭력방지 및 피해자 보호 등에 관한 법률 시행령 ｣ 제 2 조 , ｢ 성매매방지 및 피해자보호 등에 관한 법률 시행령 ｣ 제 2 조 , ｢ 가정폭력 방지 및 피해자보호 등에 관한 법률 시행령 ｣ 제 1 조의 2 에 따르면 국가기관 등 * 의 장은 기관에 소속된 사람을 대상 으로 매년 1 회 이상 성희롱 · 성폭력 · 성매매 · 가정폭력 예방교육 ( 이하 ’4 대 폭력 예방교육 ‘) 을 각 1 시간 이상 실시 하고 , 신규 임용된 사람에 대해서는 임용된 날로부터 2 개월 이내에 4 대 폭력 예방교육을 실시하도록 되어 있으며 , ｢ 경기과학기술대학교 성희롱 · 성폭력 예방과 처리에 관한 규정 ｣ 제 3 조의 3 에 따르면 신규 임용된 교직원에 대해서는 임용된 날로부터 2 개월 이내에 성희롱 · 성폭력 예방교육을 실시하도록 되어 있는데도 , * ｢ 초·중등교육법｣ , ｢ 고등교육법｣ 및 그 밖의 다른 법률에 따라 설치된 각급학교 포함 - 경기과학기술대학교는 2019 년도에 소속 교직원 36 명에 대해 4 대 폭력 예방교육을 실시하지 않는 등","- 경기과학기술대학교는 2019 년도에 소속 교직원 36 명에 대해 4 대 폭력 예방교육을 실시하지 않는 등 【 붙임 1】 “4 대 폭력 예방교육 미이수 현황 ” 과 같이 2019 년부터 2021 년까지 교직원 290 명 ( 중복포함 ) 에 대해 4 대 폭력 예방교육을 실시하지 않은 사실이 있고 , - 또한 , E 에 대해 신규 임용된 2019.9.1. 로부터 2 개월 이후인 2021.10.25. (725 일 경과 ) 4 대 폭력 예방교육을 실시하는 등 【 붙임 2】“ 신규 임용 교원 4 대 폭력 예방 교육 지연 현황 ” 과 같이 2019 년부터 2022 년까지 위...",기관경고; 통보 - 4 대 폭력 예방교육 미이수자들에 대한 교 육 이 수 방 안 을 마 련 · 시 행 하 기 바람
6,"기록물 폐기절차 부적정 ◦ ｢ 공공기록물 관리에 관한 법률 ｣ 제 27 조 제 1 항에 따르면 공공기관 * 이 기록물을 폐기하려는 경우에는 대통령령 으로 정하는 바에 따라 제 41 조 제 1 항에 따른 기록물 관리 전문요원의 심사와 제 27 조의 2 에 따른 기록물평가 심의회의 심의를 거쳐야 하며 , ｢ 같은 법 시행령 ｣ 제 43 조 제 1 항에 따르면 ( 공공기관의 ) 기록관 또는 특수기록관의 장은 보존중인 기록물 중 보존기간이 경과한 기록물에 대하여는 법 제 27 조 제 1 항에 따라 생산부서 의견조회 , 법 제 41 조 제 1 항에 따른 기록물관리 전문요원 ( 해당 기록관 또는 특수기록관 소속 기록물관리 전문요원을 말한다 ) 의 심사 및 제 5 항에 따른 기록물평가심의회의 심의를 거쳐 보존기간 재책정 , 폐기 또는 보류로 구분 하여 처리하도록 되어 있는데도 , * ｢ 공공기록물 관리에 관한 법률 시행령｣ 제3조에 따라 ｢ 유아 교육법｣ , ｢ 초 ㆍ 중등교육법｣ 및 ｢ 고등교육법｣ , 그 밖에 다른 법률에 따라 설립된 각급학교 포함 - 경기과학기술대학교는 1996 년 4 월분 결의서철을 폐기 하면서 자체 보존기간이 경과하였다는 이유로 생산 부서 의견조회 , 기록물관리 전문요원의 심사 및 기록물 평가심의회의 심의 등 폐기절차를 거치지 않고 내부 결재만으로 2019.8.7. 폐기하는 등","- 경기과학기술대학교는 1996 년 4 월분 결의서철을 폐기 하면서 자체 보존기간이 경과하였다는 이유로 생산 부서 의견조회 , 기록물관리 전문요원의 심사 및 기록물 평가심의회의 심의 등 폐기절차를 거치지 않고 내부 결재만으로 2019.8.7. 폐기하는 등 【 붙임 】“ 기록물 폐기 절차 미준수 현황 ” 과 같이 보존기간이 경과한 총 718 권의 기록물을 자체 보존기간이 경과하였다는 이유로 생산부서 의견조회 , 기록물관리 전문요원의 심사 및 기록물평가심의회의 심의 등 폐기절차를 거치지 않고 내부결재만으로 2019.8.7. 폐기한",기관경고; 통보 - 기 록 물 폐 기 시 관 련 심 사 및 심 의 를 거 쳐 운 영 하 는 등 기록물 관리 관련 규정을 준수하기 바람 < 별도조치 >; 통보 ( 관련기관 )
7,"물품관리 부적정 ◦ ｢ 경기과학기술대학교 자산관리규정 ｣ 제 39 조에 따르면 자산관리담당자는 소관자산에 대하여 홀수 년도의 2 월 말일을 기준으로 정기 재물조사를 실시하고 , 자산의 과부족 , 망실 , 파손 , 마모 , 성능저하 등 변동사항을 파악하여 필요한 조치를 취하도록 되어 있고 , ｢ 같은 규정 ｣ 제 44 조에 따르면 재물조사결과 자산의 증감이 발생되어 그 원인이 사무상 착오임이 명백한 때에는 이사장 또는 총장의 승인을 받아 소관자산에 대한 재물조정을 하여야 하고 , 자산증감 조정을 행할 수 없는 사유가 명백하거나 자산의 실제량이 장부의 기록과 차이가 있는 경우에는 증감조정을 행하지 아니하고 손ㆍ망실 처리에 관한 규정에 의거 손ㆍ망실품으로 처리하도록 되어 있는데도 , - 경기과학기술대학교는 1999. 3. 30. 120,000 원에 구입한 물품 ( 교직원 의자 ) 이 내용연수가 도과하고 감사일 현재 존재하지 않는데도 재물조사 및 장부 증감조정 등을 하지 않은 채 등재하는 등","- 경기과학기술대학교는 1999. 3. 30. 120,000 원에 구입한 물품 ( 교직원 의자 ) 이 내용연수가 도과하고 감사일 현재 존재하지 않는데도 재물조사 및 장부 증감조정 등을 하지 않은 채 등재하는 등 【 붙임 】“ 물품 부존재 현황 ” 과 같이 1999 년부터 2016 년까지 구입한 위 교직원 의자 등 1,601 건의 물품 ( 구입금액 합계 1,010,113 천원 ) 이 내용 연수가 도과하고 감사일 현재 존재하지 않는데도 재물 조사 및 장부 증감조정 등을 하지 않은 채 등재한",기관경고; 통보 - 재물조사 후 자산 증감조정 혹은 손 · 망실 처리 등 관련 규정에 따라 물품 현황을 현행화 하기 바람
8,"교직원 성과급 지급 부적정 ◦ ｢ 사학기관 재무 · 회계 규칙 ｣ 제 4 조에 따르면 학교의 재무와 회계는 건전하게 운영하여야 하고 , ｢ 경기과학기술 대학교 급여규정 ｣ 제 3 조 제 4 호에 따르면 “ 성과급 ” 이라 함은 실적에 따라 지급하는 급여를 말한다고 되어 있으며 , ｢ 경기과학기술대학교 대학헌장 ｣ 제 16 조 제 3 항에 따르면 교수의 업적을 객관적 기준으로 평가하여 이에 상응하는 성과급을 차등적으로 지급하고 공개하여 선의의 경쟁을 유도한다고 되어 있고 , ｢ 경기과학기술대학교 직원 다면 평가요령 ｣ 제 1 조에 따르면 직원의 다면평가는 승진임용 , 성과급 지급 등에 있어서 상급자뿐만 아니라 동료 및 하급자의 평가결과를 반영하여 객관적인 인사관리를 위한 기초 자료로 활용함을 목적으로 한다고 되어 있는데도 , - 경기과학기술대학교는 2020. 1. 10. ‘2019 년 교직원 성과급 ’ 을 지급하면서 별도의 성과평가 없이 정규 교직원에게는 ‘ 해당연도 12 월 봉급액의 100%’, 기타 비정규 교직원 에게는 ‘ 정액 지급 ’ 이라는 기준을 총장 내부결재를 통해 일괄 적용하여 총 191 명에게 성과급 합계 647,459,100 원을 지급하는 등","- 경기과학기술대학교는 2020. 1. 10. ‘2019 년 교직원 성과급 ’ 을 지급하면서 별도의 성과평가 없이 정규 교직원에게는 ‘ 해당연도 12 월 봉급액의 100%’, 기타 비정규 교직원 에게는 ‘ 정액 지급 ’ 이라는 기준을 총장 내부결재를 통해 일괄 적용하여 총 191 명에게 성과급 합계 647,459,100 원을 지급하는 등 【 붙임 】“ 성과평가 미실시 교직원 성과급 지급 현황 ” 과 같이 2020. 1. 부터 2021. 12. 까지 교직원 전체를 대상으로 성과급을 지급하면서 별도의 성과 평가 없이 총장 내부결재를 통해 지급기준을 일괄 적용하여 총 57...",기관경고; 통보 - 성과급은 교직원의 성과평가 결과에 따라 차등 지급 하기 바람
9,"직무발명 미신고 ◦ ｢ 발명진흥법 ｣ 제 10 조 제 1 항 및 제 12 조에 따르면 직무 발명에 대하여 종업원 등이 특허 , 실용신안등록 , 디자인 등록을 받으면 사용자 등은 그 특허권 , 실용신안권 , 디자인권에 대하여 통상실시권을 가지고 , 종업원 등이 직무발명을 완성한 경우에는 지체 없이 그 사실을 사용자 등에게 문서로 알려야 한다고 되어 있으며 , ｢ 경기과학 기술대학교 지식재산권 관리 규정 ｣ 제 5 조 제 1 항 , 제 6 조 , 제 7 조 제 1 항 및 제 8 조에 따르면 지식재산 출원 , 등록 및 유지 등 지식재산에 관한 중요 사항을 심의하기 위하여 지식재산권심의위원회를 두고 , 대학의 직무발명으로 창출된 지식재산은 관련법률에 따라 산학협력단이 승계하며 , 교직원 등이 직무발명을 한 경우 관련 서류를 첨부하여 지체 없이 그 발명의 내용을 산학협력단에 신고하여야 한다고 되어 있는데도 , - 경기과학기술대학교 F 는 2008. 2. 5. ‘ ㄴ ’ 직무발명을 산학협력단에 신고하지 않고 개인 명의로 출원 ․ 등록 하는 등",- 경기과학기술대학교 F 는 2008. 2. 5. ‘ ㄴ ’ 직무발명을 산학협력단에 신고하지 않고 개인 명의로 출원 ․ 등록 하는 등 【 붙임 】 “ 직무발명 개인명의 특허 출원 ․ 등록 현황 ” 과 같이 2008. 2. 부터 2020. 2. 까지 위 F 등 교수 4 명은 6 건의 직무발명을 산학협력단에 신고하지 않고 개인 명의로 출원 ․ 등록한,주의 (4 명 ); 통보 - 개인 명의로 출원 ･ 등 록 된 지 식 재 산 권 에 대하여 관련 법령 및 규 정 에 따 라 자 체 심 의 등 을 거 쳐 산 학 협력단 명의로의 변경여부를 결정 하기 바람
10,"학교기업 미수금 관리 부적정 ◦ ｢ 사학기관 재무 · 회계 규칙 ｣ 제 4 조에 따르면 학교의 재무와 회계는 건전하게 운영하여야 하고 , ｢ 사학기관 재무 · 회계 규칙에 대한 특례규칙 ｣ 제 15 조 제 2 호 및 ｢ 경기과학기술대학교 학교기업운영세칙 ｣ 제 10 조 제 1 항에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 한다고 되어 있으며 , ｢ 경기과학기술대학교 회계규정 ｣ 제 40 조 및 제 86 조에 따르면 이사장 및 총장은 학교회계의 자산 중 회수 불가능한 것으로 추정되는 부실 채권이나 사용이 불가능한 고정자산이 있는 경우에는 이사회의 승인을 얻어 대손 상각하거나 폐기할 수 있다고 되어 있고 , 대학의 수입 지출 , 물품 및 재산의 수급 , 보관 또는 관리를 담당한 직원은 선량한 관리자로서의 주의 의무를 다하지 못하여 손해를 끼쳤을 경우에는 그 정도에 따라 각각 변상 책임을 진다고 되어 있는데도 , - 경기과학기술대학교","- 경기과학기술대학교 ○○ 센터는 2011. 11. 30. ▷▷ 에 ㅈ 용역을 제공하고 그 대가로 해당업체에 청구한 외상매출금 1,672,000 원에 대하여 수납을 위한 별도의 노력 없이 2022. 8 월 감사일 현재까지 수납하지 못한 채 미수금으로 관리하는 등 【 붙임 】 “ 학교기업 장기 미수금 관리 현황 ” 과 같이 2022. 8 월 감사일 현재 기준 3 년 이상 장기 미수납되고 있는 외상매출금이 43 건 합계 11,291,540 원에 달함에도 객관적인 증빙자료에 의거한 납부독촉 , 회수가능 여부에 대한 검토 등 관련 후속 조치를 실시하지 않은","기관주의; 시정 ( 회수 ) - 미 수 납 된 외 상 매 출 금 합계 11,291,540 원을 미납 거래처들로 부터 납부받아 관련 회계에 세입조치 하기 바람"
