연번,지적사항,주요내용(요약),처분요구
2,"부터 2015. 6. 까지 경주대학교 교비회계에서 266,000 천원만 상환하고 2017. 12. 감사일 현재 나머지 234,000천원 未 상환","부터 2015. 6. 까지 경주대학교 교비회계에서 266,000 천원만 상환하고 2017. 12. 감사일 현재 나머지 234,000천원 未 상환 【사립학교법 제16조, 제27조 및 제28조, 사학기관 재무 ･ 회계 규칙 제8조】 ◦ 경고 - 전 이사 OOO 9. 직인 부당 사용 ◦ OOO장 OOO은 OOO의 개인적 요청 에 따라 ‘경주대학교 본관 개보수 및 스 파인 조성공사’를 맡아하던 OO건설 (주) 대표이사 OOO으로부터 70,000천원을 빌리면서 2013. 5. 10. 연리 9%의 이자를 매월 10일에 지급하기로 차용증서를 작성 하고, 그 차용증서 상 채무자인...","부터 2015. 6. 까지 경주대학교 교비회계에서 266,000 천원만 상환하고 2017. 12. 감사일 현재 나머지 234,000천원 未 상환 【사립학교법 제16조, 제27조 및 제28조, 사학기관 재무 ･ 회계 규칙 제8조】; 경고 - 전 이사 OOO 9. 직인 부당 사용; OOO장 OOO은 OOO의 개인적 요청 에 따라 ‘경주대학교 본관 개보수 및 스 파인 조성공사’를 맡아하던 OO건설 (주) 대표이사 OOO으로부터 70,000천원을 빌리면서 2013. 5. 10. 연리 9%의 이자를 매월 10일에 지급하기로 차용증서를 작성 하고, 그 차용증서 상 채무자인 ‘OOO’ 이름 옆에 OOO장 직인 임의 날인; 나아가, 명예퇴직 하루 전인 2016. 8. 31. 위 차용증서의 내용을 변경하여 다시 작 【 경주대학교 】; 2번에 포함조치 - 1명; 통보(문책) - 1명 성하면서 채무자 ‘경주대학교 OOO장 OOO’ 이름 옆에 OOO장 직인 임의 날인 【경주대학교 직인규정 제6조 및 제7조】 10. 법인회계 복리 후 생 비집 행부 적 정; 학교법인 원석학원은 2013. 12. 두 차례 에 걸쳐 총장 겸 법인 이사 OOO의 지시에 따라 객관적인 증빙 없이 이사장 결재만 으로 법인회계 복리후생비에서 피복구입비 합계 10,114,800원 집행 【사립학교법 제29조 제1항, 사학기관 재무 ･ 회계 규칙 제4조 및 제36조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조】 【 학교법인 원석학원 】; 경고 - 3명 11. 소송비용 未 청구; 2011. 1. 25. OOO이 제기한 ‘면직무효 확인’ 소송에서 2012. 10. 16. 대법원 에서 승소가 확정되었는데도, 2017. 12. 감사일 현재까지 소송비용액 확정신 청을 하지 않아 위 OOO이 부담하여야 할 소송비용 未 징수 【민사소송법 제110조 제1항, 사학기관 재무 ･ 회계 규칙 제4조 및 제28조 제2항】 【 학교법인 원석학원 】; 경고 - 2명; 통보 - OOO이 학 교 법 인 을 상 대 로 제 기 한 ‘면 직 무효확인’ 소송의 소 송 비 용 액확 정 신 청 을 하여 지급받기 바람 12. 이사회 회의비 지급 부적정; 경주대학교 교내에서 개최된 이사회에 41회 참석한 이사 OOO에게 합계금 4,200천원, 서라벌대학교 교내에서 개최된 【 학교법인 원석학원 】; 경고 - 5명 이사회에 6회 참석한 이사 OOO에게 합 계 600천원을 각각 회의비 명목으로 지급 【사립학교법 제26조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제4조】; 시정(회수) - 부적정하게 지급한 이사회 회의비 합계 4,800천원을 당사자 들로부터 회수하여 법인회계에 세입조 치 하기 바람 【교직원인사】 13. 총장 영리업무 ･ 겸직 금지 위반; OOO는 2011. 6."
9,부터 2017. 5.,부터 2017. 5.,부터 2017. 5.
9,"까지 영리법인인 ㈜ OO의 사내이사로 재직하 였고, 2014. 1.","까지 영리법인인 ㈜ OO의 사내이사로 재직하 였고, 2014. 1.","까지 영리법인인 ㈜ OO의 사내이사로 재직하 였고, 2014. 1."
31,부터 2017. 5. 9. 까지는 학교법인 원석학원 이사장의 사전 허가를 받지 않고 학교법인 OO학원 이사장 직무 겸직,"부터 2017. 5. 9. 까지는 학교법인 원석학원 이사장의 사전 허가를 받지 않고 학교법인 OO학원 이사장 직무 겸직 【사립학교법 제55조, 국가공무원법 제64조, 국가공무원 복무규정 제25조 및 제26조】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 14. OO 면직처리 부적정 ◦ 학교법인은 2017. 5. 10. 의원면직 제한 대상에 해당하는지 여부를 확인하지 않고 OOO 의원면직 처리 【사립학교법 제54조의5】 【 학교법인 원석학원 】 ◦ 경고 - 2명 15. 범죄처분 통보자 징계 未 제청 ◦ 교원 2명에 대한 범죄처분 결과를 통보 받고도 2017. 12....","부터 2017. 5. 9. 까지는 학교법인 원석학원 이사장의 사전 허가를 받지 않고 학교법인 OO학원 이사장 직무 겸직 【사립학교법 제55조, 국가공무원법 제64조, 국가공무원 복무규정 제25조 및 제26조】 【 경주대학교 】; 2번에 포함조치 - 1명 14. OO 면직처리 부적정; 학교법인은 2017. 5. 10. 의원면직 제한 대상에 해당하는지 여부를 확인하지 않고 OOO 의원면직 처리 【사립학교법 제54조의5】 【 학교법인 원석학원 】; 경고 - 2명 15. 범죄처분 통보자 징계 未 제청; 교원 2명에 대한 범죄처분 결과를 통보 받고도 2017. 12. 감사일 현재까지 징계 未 제청 【사립학교법 제61조 제1항 및 제64조, 경주대학교 교원인사규정 제2조 및 제13조】 【 경주대학교 】; 경고 - 5명 16. 외부강의 등 신고 부적정; 교원 6명이 10건의 외부강의 등을 신고하지 않거나 외부강의 등 실시 이후 지연 신고 【 부 정 청 탁 및 금 품 등 수 수 의 금 지 에 관 한 법 률 제 10조 , 부 정 청 탁 및 금 품 등 수 수 의 금 지 에 관 한 법 률 시 행 령 제 26조 】 【 경주대학교 】; 주의 - 6명 17. 전임교원 신규 임용 부적정 【 외국인 전임교원 임용에 관한 사항 】 - ①; 경주대학교 외국인교원임용심의회는 체류자격이 회화지도(E-2)인 외국인 교원 임용후보자 4명의 자격 적격처리; 또한, 위원정수(5명)에 미달된 4명의 위원으로 외국인교원 임용심의위원회를 구성 ․ 개최하여 2017학년도 1학기에 외국인교원 3명의 자격요건 심의 【 전임교원 신규채용에 관한 사항 】 - ②; 외식 ․ 조리학부는 2017학년도 1학기 전임 교원(정년계열) 기초심사에서 박사수료자 이며 비전임교원 경력 9년 5월로 자격미달 인 OOO를 통과시켜 신규전임 교원으로 최종 임용되게 함; 또한, 2017학년도 1학기 전임교원(강의전담) 기초심사에서 박사학위 과정 3학기 재학 중인자로 자격미달인 OOO을 통과 시켜 신규전임 교원으로 최종 임용되게 함 【출입국관리법 제10조 및 출입국관리법 시행령 제12조, 경주대학교 외국인교원 임용규정 제8조 및 제9조】 【 경주대학교 】 《① 관련 》; 경고 - 5명 <별도조치>; 통보 《② 관련 》; 경고 - 3명 18. 교직원 명예 ･ 희망퇴직수당 등 지급 부당; 퇴직 교직원 14명의 명예퇴직수당을 기준 보다 합계 306,115,060원 초과 지급; 정관의 위임없이 퇴직 교직원 37명에게 희망퇴직수당 합계 1,348,083,590원 지급; 정관의 위임없이 퇴직 교직원 23명에게 특별위로금 합계 1,130,060,600원 지급 【사립학교법 제29조, 제55조, 제60조의3 및 제70조의2, 국가공무원 명예퇴직수당 등 지급 규정 제4조, 학교법인 원석학원 정관 제45조, 제46조의3, 제67조 및 제68조, 사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 16명; 통보 - 정관에서 위임하지 않 거 나 위 임 한 기 준 과 다르게 시행되고 있는 「 경주대학교 교직원 명예 ․ 희망퇴 직 규정 」 을 정비하 기 바람 19. 전임교원 재임용 제청 부적정; OOO가 재임용 대상 요건을 갖추지 못한 교원 총 77명(연인원)을 재임용 대상으로 심의하게 하여 제청 【사립학교법 제53조의2, 경주대학교 교원인사규정 제31조 , 경주 대 학교 산 학 협력 중 점교 원 임 용규 정 제 8조】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 13명 【예산 ․ 회계 ･ 연구비】 20. 연구비 목적 외 사용 【 연구비 허위 신청 및 정산에 관한 사항 】 - ①; OOO는 OOO로 하여금 ‘OOOO 조리, 현장실습을 통한 전공교육 활성화 방안‘ 【 경주대학교 】 《① , ② 관련 》; 2번에 포함조치 연구과제의 연구비에서 공동연구원 OOO 과 OOO의 ’국제교류협정 체결 및 해외 협정 대학 교류 협의를 위한 방문 경비 를 충당하도록 지시하여 여비 합계 9,730,953원을 연구비에서 지출하고, 위 OOO, OOO가 위 연구과제 수행을 위하 여 공무상 국외여행을 실시한 것처럼 연 구비 정산서를 작성하게 함 【 연 구 과 제허 위신 청및여 비초 과지 급 에관 한사 항 】 - ②; OOO는 2016년 OOOO 축제 만찬 행사 경비를 마련하려고 2016. 9. 12. 전기에 너지컴퓨터공학과 OOO로 하여금 ‘해외 OOOOO를 통한 경주대학교 국제화 경 쟁력 강화 연구‘를 수행하는 것처럼 가장 하게 하고, 2016.9.15.~9.23. OOO, OOO 등이 참가한 위 행사 및 관광 경비 합계 12,200천원을 위 OOO 등 에게 지급된 연구비에서 충당 【사학기관 재무 ･ 회계 규칙 제4조 및 제21조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조, 경주대학교 학술연구비 규정 제10조 및 제12조, 경주대학교 교직원 국내 ･ 외 여비규정 제4조 및 제8조】 - 1명; 시정(회수) - 목적 외로 사용한 연 구 비 합 계 21,930,953 원을 관 련 자 들 로부터 회수하여 교 비 회 계 에 세 입 조치하기 바람 《① 관련 》; 주의 - 1명 《② 관련 》; 경징계 - 1명 21. 적자예산 편성 ･ 집행 및 미허가 차입; 매년 재정적자상태가 지속되고 있음에도 이에 대한 대책을 마련하지 아니한 채 2016, 2017회계연도에는 적자예산을 편성 【 학교법인 원석학원 】; 1번에 포함조치 - 6명 하였고, 2017회계연도 결산 기준 재정 적자규모는 - 4,512백만원에 이를 것으로 추정되며, 이로 인해 사학연금부담금 등 12건에 대한 연체료 합계 10,820,250 원까지 교비회계에서 납부; 이사회 의결 및 교육부 허가 없이 전 교직원 OOO 등 19명으로부터 합계 5,541,742천원 차입 【 사 립 학 교 법 제 16조 , 제 27조 및 제 28조 , 사 학 기 관 재 무 ･ 회 계 규 칙 제 4조 , 제 8조 , 제 43조 및 제 55조 , 사 학 기 관 재 무 ･ 회 계 규 칙 에 대 한 특 례 규 칙 제 4조 제 3항 】; 경고 - 5명; 통보 - 교비회계 재정여건 개선 및 건전성 확 보를 위한 방안을 마련하기 바람 【 경주대학교 】; 2번에 포함조치 - 1명; 42번에 포함조치 - 1명; 통보(문책) - 2명 22. 홍보비 부당 집행; 고등학교 입학홍보용 선물제공 목적 으로 총 39회 합계 121,271,979원 상당 의 홍삼선물세트 등을 홍보비로 구매 ․ 나아가, 2016. 5. 4. OOO의 딸이 운영 하는 OO호텔 숙박권 200매를 홍보비로 구매한 후, 2017."
7,"경 호텔이 영업을 중단하여 10,164,000원 상당의 잔여 숙 박권 132매를 사용할 수 없게 되었음 에도 환불 등 피해 최소화를 위한 조 치 未 실시","- 학교법인으로 기부 된 OO투어 청산금 43,997,941원을 법인 회계에서 산학협력단 회계 로 전 출하 기 바 람 【 경주대학교 】 ◦ 42번에 포함조치 - 1명 26. 미인가 학습장 운영 ◦ 교원 19명이 교육부의 위치 변경 인가를 받지 않고 위 OOOO호텔 등에서 외식 조리학부 및 호텔경영학과 학생 541명을 대상으로 25개 과목 수업 실시 【고등교육법 제4조 제3항, 고등교육법 시행령 제2조 제2항 및 제5항】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 42번에 포함조치 - 1명 ◦ 경징계 - 1명 ◦ 경고 - 4명 27. 경주관광호텔 관련 교비집행...","경 호텔이 영업을 중단하여 10,164,000원 상당의 잔여 숙 박권 132매를 사용할 수 없게 되었음 에도 환불 등 피해 최소화를 위한 조 치 未 실시 【 경주대학교 】; 2번에 포함조치 - 1명; 42번에 포함조치 - 1명; 경징계 - 4명; 통보(문책) - 1명; 시정(회수) - 잔여숙박권 구매금액 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제17조 제1항 관련 별표1】 10,164,000원을 경주 관광호텔로부터 환불 받거나 관련자로부터 변상받아 교비회계에 세입조치하기 바람 23. 사학연금 연체료 납부 부적정; 해임되었다가 소송을 통해 복직한 교원 10명에 대한 복직발령 관련부서 통보 등 후속조치를 지연하여 사학연금소급분에 대한 연체료 합계 28,094,250원 납부 【사립학교교직원연금법 제51조, 사립학교교직원연금법 시행령 제75조, 사학기관 재무 ･ 회계 규칙 제4조】 【 경주대학교 】; 경고 - 4명 24. 퇴직자 대출도서 미반납 등; OOO는 재직 중 본교 학술정보원에서 대출받은 도서 등 368점 (정가 합계 7,345,450원) 을 반납하지 아니하고 퇴직; 학술정보원은 위 미반납 도서에 대한 변상액이 퇴직급여액에서 공제처리 되도록 관련부서에 未 통보 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 학술정보원규정 제30조 및 제32조】 【 경주대학교 】; 경고 - 1명; 주의 - 2명; 시정 - OOO로부터 미반납 도서 등 368점을 회 수하거나 현 시가 의 배액으로 변상받 기 바람 25. 학교기업 관리 부적정; 경주대학교 산학협력단 산하 학교기업 OO투어는 2016. 5. 10. 영업을 종료하면서 청산금 43,997,941원 전액을 학교법인에 기부; 또한, OO투어의 회계관련 증빙서류 (영 수증 등) 보존을 위해 해당서류를 산학협 력단에 인수인계 하는 등 조치 未 실시 【산업교육진흥 및 산학연협력촉진에 관한 법률 제36조 제2항, 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 제39조, 학교기업회계처리규칙 제20조】 【 학교법인 원석학원 】; 시정 - 학교법인으로 기부 된 OO투어 청산금 43,997,941원을 법인 회계에서 산학협력단 회계 로 전 출하 기 바 람 【 경주대학교 】; 42번에 포함조치 - 1명 26. 미인가 학습장 운영; 교원 19명이 교육부의 위치 변경 인가를 받지 않고 위 OOOO호텔 등에서 외식 조리학부 및 호텔경영학과 학생 541명을 대상으로 25개 과목 수업 실시 【고등교육법 제4조 제3항, 고등교육법 시행령 제2조 제2항 및 제5항】 【 경주대학교 】; 2번에 포함조치 - 1명; 42번에 포함조치 - 1명; 경징계 - 1명; 경고 - 4명 27. 경주관광호텔 관련 교비집행 부당 등 【 실 습 실 리 모 델 링 공 사 비 등 집 행 에 관 한 사 항 】 - ①; OOOO호텔이 부담해야 하는 조리실습실 리모델링공사비 합계 214,980천원을 전액 학교부담으로 교비회계에서 집행 【 경주대학교 】 ≪① 관련 ≫; 2번에 포함조치 - 1명; OO호텔이 구비해야 하는 김치냉장고 등 기자재 구입비 합계 140,542천원을 교비회계에서 집행 - 특히, 학생들의 실습수업과 무관한 호텔 자체 행사 및 투숙객을 위한 식사준비에 임의 사용하도록 방임 【 실습실 기자재 관리에 관한 사항 】 - ②; 2017. 4. OO호텔의 실습과정을 사실상 중단하고 교내강의로 변경하여 수업을 진행하였으며 2017. 10. 31. OOOO호텔 과의 실습호텔 임차계약이 해지되었 음에도 OOOO호텔의 조리실습실 기자재 를 2017. 12. 감사일 현재까지 未 회수 【사립학교법 제29조, 사학기관 재무 ･ 회계 규칙 제4조 및 제21조】; 통보(문책) - 1명 <별도조치>; 수사의뢰 ≪② 관련 ≫; 기관경고 28. OO 부당업무 지시 등; 교원 2명이 OOO의 지시에 따라 영리 업체인 OO호텔의 총지배인 및 영업부 장으로 근무 【 고 등 교 육 법 제 15조 제 2항 , 학 교 법 인 원 석 학 원 정 관 제 71조 , 경주대학교 교원 복무규정 제6조, 제7조 및 제15조】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 2명 29. 교비회계 세입 누락 등; OO호텔 실습실로 운영하는 커피숍의 수 입금액 합계 3,696,500원을 교비회계에 세입처리하지 아니하고 OOOO팀 【 경주대학교 】; 경고 - 2명 OOO이 금고에 넣어 보관; OOO은 2016. 9월경 위 커피숍 수입금 3,696,500원 중 3,096,500원을 위 OOO으 로부터 받아 용도불명으로 사용 【사학기관 재무 ･ 회계 규칙 제4조, 제6조 및 제32조 제1항】; 통보(문책) - 1명; 시정(회수) - 용도불명으로 집행한 3,096,500원을 관련자 로부터 회 수 하 여 교 비 회 계 에 세입조치하기 바람 <별도조치>; 수사의뢰 30. 임차보증금 관리 부적정; 2017. 4. 11. OOOO호 텔 에 서 진 행 한 외 부 실습 과정을 교내 강의수업으로 전환하기로 결정하였음에도 실습호텔 임차계약 해지 요청 등 후속조치를 취하지 아니한 채"
5,개월이 경과한 2017. 9.,개월이 경과한 2017. 9.,개월이 경과한 2017. 9.
28,에야 OOOO호텔 에 임차계약 해지를 요청하여 임차보증금 회수,"에야 OOOO호텔 에 임차계약 해지를 요청하여 임차보증금 회수 【사학기관 재무 ･ 회계 규칙 제4조】 【 경주대학교 】 ◦ 경고 - 3명 31. OO 보수 과다 지급 ◦ ‘교원보수 책정기준’을 OO OOO에게 는 적용하지 아니하고 보수 합계 140,607,860원 과다 지급 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 경고 - 5명 【경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조】 ◦ 시정(회수) - 과다 지급한 보 수 합 계 140,607,860원 을 OOO로부터 회수 하여 교비회계에 세 입조치하기 바람 32. OO 업무추진비 집행 부적정 ◦ O...","에야 OOOO호텔 에 임차계약 해지를 요청하여 임차보증금 회수 【사학기관 재무 ･ 회계 규칙 제4조】 【 경주대학교 】; 경고 - 3명 31. OO 보수 과다 지급; ‘교원보수 책정기준’을 OO OOO에게 는 적용하지 아니하고 보수 합계 140,607,860원 과다 지급 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 5명 【경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조】; 시정(회수) - 과다 지급한 보 수 합 계 140,607,860원 을 OOO로부터 회수 하여 교비회계에 세 입조치하기 바람 32. OO 업무추진비 집행 부적정; OOO 개인이 부담해야 할 KTX이용 료 합계 25,617,500원을 업무추진비에 서 집행 【사학기관 재무 ･ 회계 규칙 제4조 및 제21조 제2항, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조 관련 별표1】 【 경주대학교 】; 경고 - 1명; 주의 - 3명; 시정(회수) - 부적정하게 집행한 KTX이용료 합계 2 5 , 6 1 7 , 5 0"
0,원 을 OOO로부터 회수하여 교비회계에 세입 조치하기 바람 33. 연구장려금 지급 부적정,"원 을 OOO로부터 회수하여 교비회계에 세입 조치하기 바람 33. 연구장려금 지급 부적정 ◦ 교원보수 추가 감액분 보전 목적으로 교원 46명에 게 연 구장려 금 합계 610,679,000원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조, 경주대학교 교원업적평가규정 제17조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제17조 관련 별표1】 【 학교법인 원석학원 】 ◦ 경고 - 4명 【 경주대학교 】 ◦ 경고 - 4명 34. 업무용 차 량설 립 자 제 공및유 류 비등 지원 ◦ 2010. 1. 12. ‘교내외...","원 을 OOO로부터 회수하여 교비회계에 세입 조치하기 바람 33. 연구장려금 지급 부적정; 교원보수 추가 감액분 보전 목적으로 교원 46명에 게 연 구장려 금 합계 610,679,000원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조, 경주대학교 교원업적평가규정 제17조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제17조 관련 별표1】 【 학교법인 원석학원 】; 경고 - 4명 【 경주대학교 】; 경고 - 4명 34. 업무용 차 량설 립 자 제 공및유 류 비등 지원; 2010. 1. 12. ‘교내외 내빈 의전 및 업무용’ 목적으 로 업무용 차량 1대를 구입하여 OOO의 개인용으로 2017."
8,까지 제공,"까지 제공 ◦ 위 에쿠스 차량의 법인카드 유류비 결제 금액 합계 12,637,000원과 차량수리비 합계 3,389,130원 등 총 16,026,130원을 교비회계에서 집행 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 명예총장에 관한 규정 제5조 제2항 및 제6조, 경주대학교 차량관리규정 제3조】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 경고 - 3명 ◦ 시정(회수) - OOOO 에 게제 공 한업 무 용 차 량 유 류 비 등 합계 16,026,130원 을 관 련 자 로 부 터 회 수하 여 교 비 회 계 에세 입 조 치 하 기 바 람 35. 지식재산권 관리...","까지 제공; 위 에쿠스 차량의 법인카드 유류비 결제 금액 합계 12,637,000원과 차량수리비 합계 3,389,130원 등 총 16,026,130원을 교비회계에서 집행 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 명예총장에 관한 규정 제5조 제2항 및 제6조, 경주대학교 차량관리규정 제3조】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 3명; 시정(회수) - OOOO 에 게제 공 한업 무 용 차 량 유 류 비 등 합계 16,026,130원 을 관 련 자 로 부 터 회 수하 여 교 비 회 계 에세 입 조 치 하 기 바 람 35. 지식재산권 관리 부적정; 교원 2명이 4건의 직무발명에 대하여 산학협력단에 신고하지 아니하고 개인 명의로 특허 출원 ‧ 등록 【발명진흥법 제10조 제1항 및 제12조, 경주대학교 지식재산권 관리규정 제4조】 【 경주대학교 】; 경고 - 2명; 통보 - 개 인명 의 로출 원 ･ 등록된 직 무 관 련 지 식 재 산 권을 관련 법령 및 규정에 따라 조치하기 바람 36. 교육용 임차건물 관리 부당; 2012. 3. 13. OOO의 배우자로 경주대 학교 설립자인 OOO 소유 4층 건물 중 3층을 ‘경주대 서울사무소’ 용도로 임대차보증금 2억원을 지급하고 임대 차계약을 체결하고도, 2017. 12."
8,까지 용도대로 사용하지 아니하고 방치,"까지 용도대로 사용하지 아니하고 방치 【사학기관 재무 ･ 회계 규칙 제4조 및 제43조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 경고 - 5명 <별도조치> ◦ 고발 37. 교외연구비 취득 연 구 용비 품 未 이 관 (귀속) ◦ 교수 3명이 산학협력단 연구비로 구입한 비품 25종에 대하여 이관 신고를 하지 아니하고 연구종료 후 귀속시키지 않았 음에도 후속 조치 未 실시 【경주대학교 교외연구비 관리규정 제26조 제1항 및 제2항】 【 경주대학교 】 ◦ 경고 - 1명 ◦ 주의 - 4명 ◦ 시정 - 교...","까지 용도대로 사용하지 아니하고 방치 【사학기관 재무 ･ 회계 규칙 제4조 및 제43조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 5명 <별도조치>; 고발 37. 교외연구비 취득 연 구 용비 품 未 이 관 (귀속); 교수 3명이 산학협력단 연구비로 구입한 비품 25종에 대하여 이관 신고를 하지 아니하고 연구종료 후 귀속시키지 않았 음에도 후속 조치 未 실시 【경주대학교 교외연구비 관리규정 제26조 제1항 및 제2항】 【 경주대학교 】; 경고 - 1명; 주의 - 4명; 시정 - 교 외 연 구 비 로 취 득 한 연구용 비품을 산학협 력단 재산으로 귀속 시키기 바람 38. 가족수당 부적정 수령; 교직원 5명이 부양가족 변동신고를 하지 않아 가족수당 합계 5,250천원 수령 【경주대학교 교직원수당규칙 제7조 및 별표4의1 】 【 경주대학교 】; 경고 - 5명; 시정(회수) - 부적정하게 수령한 가족수당 합계 5,250 천원을 교수 OOO 등 5명으로부터 각각 회 수하 여 교 비 회 계 에 세 입 조치하기 바람 (기 반 납 한 경 우 별 도 의 회 수 처 분 불 요 ) 39. 과태료 교비회계 집행; OOO와 OOO이 교통법규 위반으로 부 과받은 과태료 총 18건 합계 857천원을 교비회계에서 집행; 법률 위반으로 부과받은 과태료 총 2건 합계 7,550천원을 교비회계에서 집행 【 경주대학교 】; 경고 - 5명; 시정(회수) - 교비회계에서 납부한 교통 법 규 위반 과태료 【사립학교법 시행령 제13조 제2항, 사학기관 재무 ･ 회계 규칙 제4조 및 제21조 제2항, 학교법인 원석학원 직원 복무규정 제4조 】 합계 857천원을 OOO 등 2명으로 부터 각각 회수하여 교비회계에 세입조치 하기 바람 40. 골프회원권 관리 부적정; 2011. 2. OO클럽 회원권을 66,430천원에 매입하여 2017."
