연번,지적사항,주요내용(요약),처분요구
1,"수익용기본재산(토지) 관리 부적정 ◦ 사립학교법 ｣ 제28조 제1항, 제29조 제1항 및 제6항에 따르면 학교법인이 그 기본재산을 매도·증여·교환 또는 용도변경하거나 담보에 제공하고자 할 때 또는 의무의 부담이나 권리의 포기를 하고자 할 때에는 관할청의 허가를 받아야 하고, 학교법인의 회계는 그가 설치· 경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하며, 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없다고 되어 있고, 2007. 5. 21. 교육부가 학교법인 경희학원이 경희대학교 교육용기본재산인 토지 5필지*를 민자유치사업 (가칭 “경희 수원병원” 건설사업) 추진을 위해 수익용기본재산 으로 사용하겠다며 용도변경 신청을 한 것에 대해 허가하면서 동 허가사항을 위반할 경우 허가를 취소 할 수 있다고 하였는데도, * 경기도 용인시 기흥구 소재, 면적합계 32,244㎡, ‘07 공시지가 기준 18,441,384천원 상당","- 학교법인 경희학원은 2012. 10. 23. 이사회 심의·의결을 통해 위 민자유치사업을 추진하지 않기로 결정하고 2020. 5. 감사일 현재까지 교육용기본재산에서 수익용 기본재산으로 용도변경한 위 5필지를 용도변경 목적 대로 사용하지 아니한 채 방치하고 있는 사실이 있음 【학교법인 경희학원 및 경희대학교】 ◦기관경고 ◦통보 - 수익용기본재산 재 산세를 교비회계에 서 선납하는 일이 없도록 하고, - 수익용으로 용도변 경한 경기도 용인 시 기흥구 소재 5 필지에 대한 관리 실태를 교육부에 보고하기 바람 연 번 지 적 사 항 처 분 【재산세 납부에 관한 사항】 - 또한...","【붙임】 수익용기본재산(토지) 재산세 교비회계 선납 현황 (단위 : 천원) 연번 소재지 면적 재산세 부과 현황 교비회계 납부 현황 법인→교비 보전 현황 경과 일수 부과일 부과액 납부일 납부액 전출일 전출액 1 경기도 용인시 기흥구 하갈동 (-) 10,254 2017.09.13. 13,736 2017.09.26. 13,736 2017.10.18. 13,736 22 2018.09.10. 13,736 2018.09.18. 13,736 2018.10.08. 13,736 20 2019.09.06. 14,217 2019.09.30. 14,217 2019.10.28. 14,217 28 2 경기도 용인시 기흥구 하갈동 (-) 11,013 2017.09.13. 14,753 2017.09.26. 14,753 2017.10.18. 14,753 22 2018.09.10. 14,753 2018.09.18. 14,753 2018.10.08. 14,753 20 2019.09.06. 15,269 2019.09.30. 15,269 2019.10.28. 15,269 28 합 계 21,267 86,464 86,464 86,464 ※ 재산세에 교육세 포함 감사결과 처분서 기관명 : 학교법인 경희학원"
2,"법인 수익사업 운영 부당 ◦ ｢ 사립학교법 ｣ 제6조 제1항 및 제2항, 제10조 제1항, 제16조, 제45조 제1항 및 제2항에 따르면 학교법인은 그가 설치한 사립학교의 교육에 지장이 없는 범위 안 에서 그 수익을 사립학교의 경영에 충당하기 위하여 수익을 목적으로 하는 사업을 할 수 있고, 수익사업을 할 때에는 지체없이 사업의 명칭과 그 사무소의 소재지, 사업의 종류, 사업경영에 관한 자본금, 사업경영의 대표자의 성명·주소, 사업의 시기 및 그 기간, 기타 필요한 사항을 공고하여야 하며, 학교법인을 설립 하고자 하는 자가 수익사업을 경영하고자 할 때에는 그 사업의 종류 기타 사업에 관한 사항 등을 기재한 정관을 작성하여 대통령령이 정하는 바에 의하여 교육부 장관의 허가를 받아야 하고, 수익사업에 관한 사항은 이사회 심의·의결사항으로 되어 있는데도, - 학교법인 경희학원은 2020. 1. 24. 교육사업을 추진할 목적으로 ‘","- 학교법인 경희학원은 2020. 1. 24. 교육사업을 추진할 목적으로 ‘○○㈜’*와 ‘글로벌 혁신 포럼’** 운영에 대한 업무협약을 체결한 후 2020. 1. 2. ~ 2.5.기간 동안 제1기 수강생 24명을 모집하여 2020. 5.경부터 감사일 현재 까지 위 포럼을 수익사업으로 운영하면서 해당사업에 대해 이사회 심의·의결을 거치지 않고 일간지 등에 공고하지 아니하였으며, 정관에도 기재하지 않은","* 법인 수익사업체인 주식회사 □□가 ’12. 6. 19. 자본금 2억원을 출자 (지분 100%)하여 설립한 자회사 (사업내용 : 교육부대사업, 성인교육, 외국인교육, 주니어교육 등) ** 성인을 대상으로 4차 산업혁명 기반기술의 실무와 이론을 교육하여 현실적이고 창조적인 경영인 양성을 목표로 하는 비학위과정 - 제1기 : (1학기) ’20.2.6.부터 12주, (2학기) ’20.8.6.부터 12주, (강의 시간) 매주 목요일 18:00 ～ 21:00 - 등록금 : 학기당 400만원; 경고(1명); 통보(문책 2명); 통보 - 수익사업으로 운영 하고 있는 ‘글로벌 혁신 포럼’ 과정을 합당한 절차를 거쳐 수익사업으로 운영 하 거 나폐 지 하 기바 람 감사결과 처분서 기관명 : 학교법인 경희학원"
3,"법인자금 대여 부당 ◦ ｢ 사학기관 재무·회계 규칙 ｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국 가의 정책과 사회의 공공기관으로서의 의무와 그 설 립목적에 반하여서는 아니되고, ｢ 사",- 학교법인 경희학원 A는 2019. 1. 9. 목적을 명시하지 아니하고 채권확보조치도 없이 본인 전결로 일시 대여금 명목으로 회계처리하여 법인회계에서 300만원을 본인명의 계좌 (우리 ****-***-******) 로 이체한,※ 2019. 2. 21. 전액 법인회계로 입금; 통보 (문책 1명) <별도조치>; 고발 감사결과 처분서 기관명 : 학교법인 경희학원
4,이사회 운영 부적정,"- 학교법인 경희학원은 2019. 9. 30. 이사 B의 임기가 만료 된 후 이사보충 기한으로부터 180일이 지난 2020. 5. 감사일 현재까지 후임이사를 보충하지 않고 있는 등 【붙임1】“결원 이사 미보충 현황”과 같이 보충기한 으로부터 짧게는 48일 길게는 180일이 지난 2020. 5. 감사일 현재 결원인 이사 2명을 보충하지 않고 있는 사실이 있음 【이사회 회의록 공개 지연에 관한 사항】----------------- ② ◦「사립학교법」제18조의2 제4항,「같은 법 시행령」제8조 의3에 따르면 이사회 회의록은 회의일로부터 10일 안에 당해 학교의 인터넷 홈페...",<① 관련>; 경고(1명) <② 관련>; 주의(3명) 【 붙임1 】 결원 이사 미보충 현황 직위 성명 임기 임원 미선임 현황 비고 결원 보충기한 선임 지연 기간 이사 B 2015.10.1.~2019.9.30. 2019.11.30 180일 임기만료 이사 - 2016.2.12.~2020.2.11. 2020.4.11. 48일 임기만료 【 붙임2 】 이사회 회의록 공개 지연 현황 연번 회차 이사회 개최일자 회의록 공개내역 공개기한 (회의일로부터 10일) 공개일자 지연일수 1 2019학년도 1차 2019.5.3. 2019.5.13. 2019.6.28. 46 2 2019학년도 2차 2019.8.28. 2019.9.7. 2019.9.20. 13 3 2019학년도 3차 2019.9.11. 2019.9.21. 2019.10.14. 23 4 2019학년도 4차 2019.10.18. 2019.10.28. 2019.12.24. 26 5 2019학년도 5차 2019.12.18. 2019.12.28. 2020.1.17. 20 6 2019학년도 6차 2020.2.4. 2020.2.14. 2020.3.19. 33 7 2020학년도 1차 2020.4.24. 2020.5.4. 2020.5.14. 10 감사결과 처분서 기관명 : 학교법인 경희학원
5,예 ․ 결산안 제출 및 심의 ․ 확정 기한 미준수 ◦,- 학교법인 경희학원은 2017회계연도 법인회계 예산안을 법정 제출기한 (2017. 1. 10.) 을 13일 도과한 2017. 1. 23. 이사회에 제출하는 등【붙임】“예·결산 이사회 제출 및 확정 기한 미준수 현황”과 같이 위 경희학원은 2017회계연도부터 2020회계연도까지 예산안 및 결산서를 법정제출기한보다 짧게는 2일 길게는 32일 도과하여 이사회에 제출하거나 이사회에서 이를 심의·확정한,기관경고 【 붙임 】 예·결산 이사회 제출 및 확정 기한 미준수 현황 회계 회계연도 예․결산 이사회 제출 이사회 심의․확정 이사회 제출기한 이사회 제출일 초과 일수 이사회 심의․확정기한 이사회 심의․확정일 초과 일수 법인 회계 2017 예산 2017.01.10. 2017.01.23. 13 2017.01.20. 2017.01.31. 11 2018 예산 2018.01.10. 2018.02.12. 32 2018.01.20. 2018.02.20. 31 결산 2019.04.19. 2019.04.25. 6 2019.04.30. 2019.05.03. 3 2019 예산 2019.01.10. 2019.02.01 22 2019.01.20. 2020.02.12. 23 2020 예산 2020.1.11. 2020.02.04. 25 2020.01.21. 2020.02.12. 22 교비 회계 2018 예산 2018.01.30. 2018.01.26. 0 2018.02.09. 2018.02.20. 11 결산 2019.04.19. 2019.04.18. 0 2019.04.30. 2019.05.03. 3 2019 예산 2019.01.30. 2019.01.29. 0 2019.02.09. 2020.02.12. 3 2020 예산 2020.01.31. 2020.01.22. 0 2020.02.10. 2020.02.12. 2 감사결과 처분서 기관명 : 학교법인 경희학원
6,병설학교 교장 및 교감 임용 지연,"- 학교법인 경희학원은 2019. 8. 31. 경희초등학교 교장 C가 명예퇴직한 후 2019. 11. 21. 병설학교장 후보추천 위원회를 구성하여 추천기한으로부터 160일이 지난 2020. 1. 8. 교장 후보를 추천하는 등【붙임1】“병설 학교장 임용후보자 추천 지연 현황”과 같이 2019. 9. 1. 부터 2020. 5. 감사일 현재까지 위 경희초등학교 등 2개 병설학교의 교장 임용후보자를 추천기한으로부터 160일을 지연하여 추천하거나, 교장추천기한이 도과하였는데도 병설학교장 후보추천위원회를 구성하지 않은 사실이 있음 ◦경고(1명) 연 번 지 적 사 항 처 분 【교...",【 붙임1 】 병설학교장 임용후보자 추천 지연 현황 연번 학교명 교장 공석기간 교장 추천기한 병설학교장 후보추천위원회 추천 지연일수 위원회 구성일 교장 추천일 1 경희초등학교 2019.9.1.~2020.2.28. (명예퇴직) 2019.7.31. 2019.11.21. 2020.1.8. 160 2 경희여자고등학교 2020.4.24.~현재 (발령) 2020.5.24. 미구성 - - 【 붙임2 】 병설학교 교감 직무대리 기간 초과 현황 구분 교감 공석 기간 직무대리 기간 초과 현황 직무대리자 직무대리 기간 직무대리 초과기간 경희고등학교 2017.3.1.~2018.8.31. D 2017.4.27.~2018.8.31.(1년4월) *2017.3.1.~4.26.(57일) 공석 278일 경희초등학교 2017.9.1.~2018.8.31. - 2017.9.1.~2018.8.31.(1년) 184일 감사결과 처분서 기관명 : 학교법인 경희학원
7,일반경쟁 입찰대상 용역 수의계약 체결 ◦,"- 학교법인 경희학원은 2018. 5. 23. 일반경쟁 입찰대상인 “ ▷▷ 시설관리 업무 위탁 계약 (계약금액 58,080천원) ”을 △△ (대표 E) 과 수의계약으로 체결하는 등【붙임】“일반 경쟁 입찰대상 용역 수의계약 현황”과 같이 2018. 5.부터 2020. 5. 감사일 현재까지 위 “ ▷▷ 시설관리 업무 위탁 계약” 등 일반경쟁 입찰대상 용역 8건 (계약금액 합계 2,754,927천원) 을 수의계약으로 체결한","경고(5명); 통보(문책 3명) 【 붙임1 】 일반경쟁입찰대상 용역 수의계약 현황 (단위 : 천원) 연 번 계약일 계약건명 계약 구분 계약기간 계약금액 계약업체 (대표자) 비고 (담당자) 1 2018.5.23. ▷▷ 시설관리 업무위탁 계약 용역 ‘18. 5. 1. ∼ ’19. 4. 30. 58,080 △△ (E) - 2 2019. 5. 1. ▷▷ 시설관리 업무위탁 계약 용역 ‘19. 5. 1. ∼ ’20. 4. 30. 60,216 △△ (E) - 3 2020. 5. 1. ▷▷ 시설관리 업무위탁 계약 용역 ‘20. 5. 1. ∼ ’21. 4. 30. 60,216 △△ (E) - 4 2018. 1. 1. - 용역 ‘18. 1. 1. ∼ ’19. 12. 31. 467,280 - - 5 2018. 6. 1. - 용역 ‘18. 6. 1. ∼ ’20. 5. 31. 308,640 - - 6 2020. 1. 1. - 용역 ‘20. 1. 1. ∼ ’22. 12. 31. 773,175 - - 7 2018. 12. 31. - 용역 ‘19. 1. 1. ∼ ’21. 12. 31. 639,264 - - 8 2019. 1. 1. - 용역 ‘19. 1. 1. ∼ ’21. 12. 31. 388,056 - - 합계 2,754,927 감사결과 처분서 기관명 : 경희대학교"
8,외국인 전임교원 재임용 부적정 ◦,- 경희대학교는 2017. 3. 1. 후마니타스칼리지 (서울캠퍼스) 외국인 교원 재임용 예정자 F (출신 영국) 의 체류자격이 회화지도 (E-2)임에도 적격 처리하여 전임교원으로 재임용되게 하는 등【붙임】“외국인교원 체류자격 미달자 재임용 현황”과 같이 2017학년도 1학기부터 2020학년도 1학기 까지 체류자격이 회화지도(E-2)인 외국인교원 재임용 예정자 2명의 자격을 적격 처리하여 전임교원으로 재임용 되게 한,경고(6명) 【 붙임 】 외국인교원 체류자격 미달자 재임용 현황 연번 소속 직급 성명 성별 외국인 등록번호 국적 최초 임용일 재임용일 체류 자격 1차 2차 1 후마니타스칼리지 (서울캠퍼스) 조교수 (A) F 남 ****** -******* 영국 2011.03.01. 2017.03.01. 2019.03.01. E-2 2 후마니타스칼리지 (국제캠퍼스) 조교수 (A) - - - 미국 2007.04.01. 2018.03.01. 2020.03.01. E-2 감사결과 처분서 기관명 : 경희대학교
9,범죄처분 통보자 징계의결 미요구 ◦,- 경희대학교는 2017. 9. 18. 수원지방검찰청 안양지청 으로부터 H가 도로교통법위반 (음주운전) 으로 ‘구약식’ 처분을 받았다는 사실을 통보받고도 징계의결을 요구 하지 않는 등【붙임】“범죄처분 통보자 징계의결 미요구 현황”과 같이 2017. 9월부터 2019. 8월까지 위 H 등 교원 5명에 대한 범죄처분 결과를 통보 받고도 2020. 5월 감사일 현재까지 징계의결 을 요 구하지 않은,경고(9명); 통보 - 징계시효 미도과자 에 대하여 관련 규 정에 따라 조치하기 바람 【 붙임 】 범죄처분 통보자 징계의결 미요구 현황 구분 사건번호 대상자 통보기관 범죄사실 처분일 처분 접수일 죄명 처분 내용 소속 직 성명 서울 캠퍼스 - - - H 수원지방 검찰청 안양지청 2017.09.13. 2017.09.18. 도로교통법위반 (음주운전) 구약식 - - - - 서울중앙 지방검찰청 2018.03.14. 2018.03.19. 교통사고처리특례법 위반(치상) 구약식 국제 캠퍼스 - - - - 수원지방 검찰청 2015.06.15. 2017.04.18. 폭행 구약식 - - - - 수원지방 검찰청 2018.05.24. 2018.05.25. 국회에서의 증언 감정 등에 관한 법률 위반 구약식 - - - - 서울중앙 지방검찰청 2019.08.26. 2019.08.29. 학원의 설립 운영 및 과외교습에 관한 법률위반 기소 유예 감사결과 처분서 기관명 : 경희대학교
10,교원 신원조사 미실시 및 성범죄 경력 미확인 ◦,"- 경희대학교는 2017. 3. 1. I에 대한 신원조사 및 결격 사유 조회를 실시하지 않은 채 신규 임용 하는 등 【붙임1】“신원조사 등 미실시 교원 임용 현황”과 같이 2017학년도 1학기부터 2020학년도 1학기까지 위 I 등 교원 171명을 신규 임용하면서 신원조사 및 결격사유 조회를 하지 않거나 결과 회보 전에 임용한 사실이 있으며, - 경희대학교는 2018. 10. 1. J에 대한 성범죄의 경력을 확인 하지 않는 채 신규 채용하는 등【붙임2】“성범죄 경력 미확인 교원 채용 현황”과 같이 2018. 10월부터 2020. 4월까지 위 J 등 교원 11명을 채용...","경고(14명); 통보 - 신원조사 및 결격 사유 조회, 성범죄 관련 규정에 따라 조치하기 바람 【 붙임 1】 신원조사 등 미실시 교원 임용 현황 연번 캠퍼스 소속 직급 성명 임용일 신원조사 여부 결격사유 조회내역 요청일 회신일 요청일 회신일 1 서울 - - I 2017.03.01. Ⅹ Ⅹ Ⅹ Ⅹ 2 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 3 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 4 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 5 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 6 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 7 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 8 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 9 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 10 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 11 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 12 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ 13 서울 - - - 2017.03.01. 2017.03.24. 2017.05.11. Ⅹ Ⅹ ... 중략 160 국제 - - - 2019.09.01. 2019.05.16 2019.05.20. Ⅹ Ⅹ 161 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 162 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 163 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 164 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 165 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 166 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 167 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 168 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 169 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 170 국제 - - - 2020.03.01. Ⅹ Ⅹ 2019.11.15. 2019.11.18. 171 국제 - - - 2020.03.01. Ⅹ Ⅹ Ⅹ Ⅹ 【붙임2】 성범죄 경력 미확인 교원 채용 현황 연번 캠퍼스 소속 직급 성명 채용일 성범죄 경력 확인 여부 1 서울 - - J 2018.10.01. × 2 국제 - - - 2019.09.01. × 3 국제 - - - 2019.09.01. × 4 국제 - - - 2019.10.01. × 5 국제 - - - 2019.11.01. × 6 국제 - - - 2019.12.01. × 7 국제 - - - 2020.03.01. × 8 국제 - - - 2020.03.01. × 9 국제 - - - 2020.03.01. × 10 국제 - - - 2020.04.01. × 11 국제 - - - 2020.04.01. × 감사결과 처분서 기관명 : 경희대학교"
