연번,지적사항,주요내용(요약),처분요구
1,"기부금 업무처리 부적정 ◦ 사립학교법」제29조 제1항에 따르면 학교법인의 회계는 그가 설치·경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 같은 법 시행령」 제13조 제1항 제8의2호에 따르면 학교가 학교교육에 사용할 목적으로 받은 기부금은 교비회계의 세입으로 하도록 되어 있으며, 법인세법」제24조 및","- 학교법인 서강대학교는 2017회계연도 A 등 3,977명이 교육 시설 건립, 학생 장학금 및 생활비 지원 (기부금명 ㄱ) 을 위해 기부한 162,290천원을 법인회계로 세입처리하는 등 【 붙임1 】 “학교교육 사용목적 기부금 법인회계 세입 처리 현황”과 같이 2017회계연도부터 2019회계연도까지 위 A 등 11,898명 (누적인원) 이 기부한 교육시설 건립, 학생 장학금 및 생활비 지원 등 학교교육 사용목적 기부금 합계 776,753천원을 법인회계로 세입처리한 사실이 있음. ※ 위 법인세입처리 기부금 776,753천원 중 263,813천원 교비회계로 전출 【기부...",". 【 붙임1 】 학교교육 사용목적 기부금 법인회계 세입처리 현황 (단위 : 천원) 회계 연도 기부자 기부목적 기부금 기부금명 2017 A 등 3,977명 교육시설 건립, 학생 장학금 및 생활비 지원 162,920 ㄱ - 학생 장학금 지원 10,000 - - 학사지원, 결식학생 지원, 학생 생활비 지원 55,390 - - 학생 장학금 지원 20,000 교육시설 건립, 학생 장학금 및 생활비 지원 201,455 ㄱ - 학사지원, 결식학생 지원, 학생 생활비 지원 47,599 - - 학생 장학금 지원 20,000 교육시설 건립, 학생 장학금 및 생활비 지원 103,097 ㄱ - 학생 장학금 지원 15,000 - - 인성교육원 지원(교육용기본재산) 100,000 교육시설 건립, 학생 장학금 및 생활비 지원 26,292 ㄱ - 학생 장학금 지원 15,000 - 합계 11,898명(누적인원) 776,753 【 붙임2 】 지정기부금에 대한 법정기부금 발급 현황 (단위 : 천원) 연번 지정기부금 내역 법정기부금 영수증 발행 비 고 기부자 세입 처리일 기부자 (주민등록번호, 사업자등록번호) 금액 발행일 발행액 1 B 2017.6.30. - 5,000 2017.07.18 5,000 2 B 2017.6.30 - 5,000 2017.07.18 5,000 3 - 2017.8.1 - 765 2018.01.05 765 2017.8.10 - 400 2017.8.24 400 - ... 중략 53 - 2019.10.18 - 4,293 2020.01.06 4,293 2019.11.20 - 4,293 2020.01.06 4,293 2019.12.20 - 4,293 2020.01.06 4,293 2019.12.31 - 70,000 2020.04.16 70,000 57 - 2020.1.20 - 4,293 2020.07.15 4,293 2020.2.13 - 100,000 2020.07.15 100,000 59 - 2020.2.20 - 4,293 2020.07.15 4,293 2020.2.28 - 30,000 2020.07.15 30,000 61 - 2020.3.3 - 3,000 2020.03.09 3,000 62 - 2020.3.10 - 17,000 2020.07.15 17,000 2020.3.31 - 4,293 2020.07.15 4,293 2020.4.20 - 4,293 2020.07.15 4,293 2020.6.5 - 4,397 2020.07.15 4,397 2020.6.19 - 4,094 2020.07.15 4,094 - 합계 2,115,007 2,115,007 감사결과 처분서 기관명 : 학교법인 서강대학교"
2,"수익사업체 교육훈련비 지급 부적정 ◦ 사학기관 재무·회계 규칙 제4조 및 제43조 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, 국가의 정책과 공공기관으로서의 의무와 그 설립 목적에 반하여서는 아니 되는데도, - 학교법인 서강대학교 수익사입체","- 학교법인 서강대학교 수익사입체 ○○은 2019. 1 .30. C의 ㄴ대학원 원우회비 200천원을 수익사업회계 교육훈련비로 지출하는 등 【 붙임 】 “원우회비 지급 내역”과 같이 2019. 1.부터 2020. 6.까지 총 5차례에 걸쳐 위 C의 ㄴ대학원 원우회비 합계 5,700천원을 수익사업회계 교육훈련비로 지출한",".; 통보 - 수입사업체; ; 의 C, D, E를 관련 인사규정 등에 따라 신분상 조치하기 바람; 시정(회수) - 부적정하게 지급된 교육훈련비 합계 5,700천원을 당사자 로부터 회수하여 수익사업회계에 세입조치하기 바람 【 붙임 】 C 원우회비 지급 내역 (단위 : 천원) 연번 지출일 적요 금액 1 2019.1.30. C ㄴ대학원 1학기 원우회비 200 2 2019.4.18. C ㄴ대학원 10기 원우회비 2,000 3 2019.10.16. C ㄴ대학원원우회비(산행대회) 300 4 2020.2.24. C ㄴ대학원 1학기 원우회비 200 5 2020.6.29. C ㄴ대학원10기 원우회비 3,000 합 계 5,700 감사결과 처분서 기관명 : 학교법인 서강대학교"
3,"승소채권 관리 부적정 ◦ 사학기관 재무·회계 규칙 제4조 및 제43조 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, 국가의 정책과 공공기관으로서의 의무와 그 설립 목적에 반하여서는 아니 되는데도, - 학교법인 서강대학교는 2016. 1. 29. 서강대학교가 부담한 관리 및 운영 경비 합계 1,419,792천원을 서강대학교 ㄷ의 교육시설운영권을 가진 □□ * 로부터 지급 받는 법원의 화해권고결정 (2016. 1. 15, 서울서부지방법원 2015가합*****) 이 확정 되었음에도 2020. 7. 감사일 현재까지 회수하지 않은 사실이 있음. * 2007년 경부터 학교법인 서강대학교가 지분 49%, △△이 지분 51% 보유하고 있었고, 2018. 9. 13. △△의 지분 51%를 학교법인의 수익사업체","- 학교법인 서강대학교는 2016. 1. 29. 서강대학교가 부담한 관리 및 운영 경비 합계 1,419,792천원을 서강대학교 ㄷ의 교육시설운영권을 가진 □□ * 로부터 지급 받는 법원의 화해권고결정 (2016. 1. 15, 서울서부지방법원 2015가합*****) 이 확정 되었음에도 2020. 7. 감사일 현재까지 회수하지 않은",". * 2007년 경부터 학교법인 서강대학교가 지분 49%, △△이 지분 51% 보유하고 있었고, 2018. 9. 13. △△의 지분 51%를 학교법인의 수익사업체; ; 이 인수; 기관경고; 통보 - 학교법인은 확정된 소송채권 합계 1,419,792천원에 대한 보전계획을 마 련 하 고 , 동 금 액 을 교비회계로 전출 하기 바람 감사결과 처분서 기관명 : 학교법인 서강대학교"
4,"명의신탁 재산관리 부적정 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되고, 부동산실권리자명의 등기에 관한 법률 (약칭 : 부동산실명제법) 제3조에 따르면 누구든지 부동산에 관한 물권을 명의신탁약정에 따라 명의수탁자의 명의로 등기 하여서는 아니 되는데도, - 학교법인 서강대학교는 부동산실명제법 시행 (1995.7.1.) 이후인 2007. 11. 29. 농지인 경상북도 문경시 영순면 오룡리 소재 토지 (지목 전, 면적 458㎡) 를 법인 회계에서 F (법인 상임이사 2008. 7.~ 2013. 7, 수익사업체 ▷▷ 대표 2007. 11.~ 2010.11.) 명의로 매입 (9,874천원) 하여 2020. 7. 감사일 현재까지 차명으로 관리하는 등","- 학교법인 서강대학교는 부동산실명제법 시행 (1995.7.1.) 이후인 2007. 11. 29. 농지인 경상북도 문경시 영순면 오룡리 소재 토지 (지목 전, 면적 458㎡) 를 법인 회계에서 F (법인 상임이사 2008. 7.~ 2013. 7, 수익사업체 ▷▷ 대표 2007. 11.~ 2010.11.) 명의로 매입 (9,874천원) 하여 2020. 7. 감사일 현재까지 차명으로 관리하는 등 【붙임】 “학교법인 토지 차명 관리 현황”과 같이 2007. 11.과 2008. 3. 위 경상북도 문경시 영순면 오룡리 소재 토지 등 농지 9필지 (면적 6,479㎡) 를 법인회...",". ※ 학교법인은 수익사업체 ▷▷의 태양광 발전사업을 위해 2007. 11.과 2008. 3. 경상북도 문경시 영순면 오룡리 소재 토지 등 14필지(면적 27,987㎡)를 F 명의로 매입 후, 2009. 6. 토지 5필지(면적 21,508㎡)를 학교법인 수익사업체 ▷▷로 명의 변경(잔여 9필지, 면적 6,479㎡); 기관경고; 통보 - 법인회계 재원으로 매입하여 차명으로 관리하고 있는 미 등 기 토 지 9필 지 에 대해 학교법인 서강대학교 명의로 소유권을 이전하는 등 부동산에 대한 권리를 확보하는 조치를 취하기 바람 【 붙임 】 학교법인 토지 차명 관리 현황 (단위 : 천원) 연번 소재지 번지 지목 면적(㎡) 매입일 매입금액 명의 수탁자 1 경상북도 문경시 영순면 오룡리 - 전 458 2007. 11. 29. 9,874 F 2 - 전 2,474 53,337 3 - 답 1,530 32,957 4 - 답 98 1,507 5 - 답 276 4,245 6 경상북도 문경시 영순면 의곡리 - 답 92 2008. 3. 4. 8,428 F 7 - 전 161 56,979 8 - 전 1,326 85,085 9 - 전 64 합계 6,479 252,412 감사결과 처분서 기관명 : 학교법인 서강대학교"
5,"수익용기본재산 임대보증금 관리 부적정 ◦ 사학기관 재무ㆍ회계 규칙 제21조에 따르면 법인의 업무에 속하는 회계의 세출예산은 목적외에 이를 사용 하지 못하며, ‘사립대학(법인) 기본재산 관리 안내서’ (사립 대학정책과, 2019. 12.) 에 따르면 임대보증금은 기타 고정 부채로서 별도 예금으로 예치하지 않고 임의 사용할 경우 교비회계 손실 및 불필요한 분쟁 등을 야기하므로 반드시 임대료, 관리비 등과 구분하여 별도 계좌로 관리 하도록 되어 있는데도, - 학교법인 서강대학교는 일자 미상일부터 수익용기본재산 ▽▽ (서울시 마포구 소재) 을 임대하면서 수령한 임대보증금 1,340,000천원 중 674,000천원을 2020. 7. 감사일 현재 금융기관에 예치하지 않고 법정부담금 전출 등으로 사용 하는 등","- 학교법인 서강대학교는 일자 미상일부터 수익용기본재산 ▽▽ (서울시 마포구 소재) 을 임대하면서 수령한 임대보증금 1,340,000천원 중 674,000천원을 2020. 7. 감사일 현재 금융기관에 예치하지 않고 법정부담금 전출 등으로 사용 하는 등 【 붙임 】 “수익용기본재산 임대보증금 사용 현황”과 같이 일자 미상일부터 위 ▽▽ 등 수익용기본재산 3곳을 임대하면서 수령한 임대보증금 합계 11,254,750천원 중 10,363,255천원을 2020. 7. 감사일 현재 금융기관에 예치 하지 않고 법정부담금 전출 등으로 사용한",".; 기관경고; 통보 - 금융기관에 예치 하지 않고 있는 수익용기본재산 3곳의 임대보증금 합계 10,363,255 천원 상당액을 확보하여 별도 관리하기 바람 【 붙임 】 수익용기본재산 임대보증금 사용 현황 (단위 : 천원) 연번 수익용기본재산 (소재) 임대보증금 수령액 임대보증금 사용액 임대보증금 잔액 (2020. 7. 기준) 1 ▽▽ (서울시 마포구 소재) 1,340,000 674,000 666,000 2 - (서울시 마포구 소재) 8,809,750 8,584,255 225,495 3 - (서울시 마포구 소재) 1,105,000 1,105,000 - 합계 11,254,750 10,363,255 891,495 감사결과 처분서 기관명 : 학교법인 서강대학교"
6,"교원 신규채용 시 법인 이사장 참여 부적정 ◦ 사립학교법 제53조의2 및 제70조의2에 따르면 교원 및 사무직원의 임용은 학교장의 제청으로 이사회의 의결을 거쳐야 하고, 사립학교법 제19조 및 학교법인 서강 대학교 정관 제27조 제2항에 따르면 이사는 이사회에 출석하여 법인의 업무에 관한 사항을 심의 결정하며 이사회 또는 이사장으로부터 위임받은 사항을 처리하도록 되어 있고, 서강대학교 교원인사규정 제9조 제2항 제17호에 따르면 총장은 학과, 위원회 등의 검토를 거쳐 추천된 후보자를 대상으로 면접을 진행한 후 신규임용 교원 최종 후보자를 결정하여 임용을 제청하도록 되어 있는데도, - 학교법인 서강대학교는 2019. 11. 28. ‘2020학년도 1학기 교원 신규 임용 관련 절차 준수 통보‘ (학법 제19-149) 문서를 통해 교원 임용 시 규정에도 없는 이사장 및 상임이사의 면접을 총장의 임용제청 전에 추진하도록 교무처에 요청 하는 등","- 학교법인 서강대학교는 2019. 11. 28. ‘2020학년도 1학기 교원 신규 임용 관련 절차 준수 통보‘ (학법 제19-149) 문서를 통해 교원 임용 시 규정에도 없는 이사장 및 상임이사의 면접을 총장의 임용제청 전에 추진하도록 교무처에 요청 하는 등 【붙임1】 “교원 신규채용 면접심사 시 법인 이사장 참석 요구 공문 통보 현황”과 같이 2019. 11. 28. 부터 2019. 12. 10.까지 총 3건의 문서를 통해 교원 임용 시 규정에도 없는 이사장 및 상임이사의 면접을 총장의 임용제청 전에 추진하도록 서강대학교 교무처에 요청한 사실이 있으며, - 또한,...",. 【붙임1】 교원 신규채용 면접심사 시 법인 이사장 참석 요구 공문 통보 현황 연번 문서번호 문서 시행일 발신자 수신자 문서제목 1 학법 제19-149 2019. 11. 28. 이사장 총장 2020학년도 1학기 교원 신규 임용 관련 절차 준수 통보 2 학법 제19-153 2019. 12. 5. 이사장 총장 2020학년도 1학기 교원 신규 임용 관련 절차 준수 재촉구 3 학법 제19-156 2019. 12. 10. 이사장 총장 2020학년도 1학기 교원 신규 임용 관련 이사장 면접 추진 3차 지시 【붙임2】 교원 신규채용 면접심사 시 법인 이사장 참석 현황 연번 면접일 임용일 임용 직위 채용 학과 성 명 이사장 면접 참여 및 질문 여부 1 2017 12 2017 01 조교수 미국문화전공 -; 2 2017 12 2017 01 부교수 경제학전공 -; 3 2017 04 2018 01 조교수 국어국문학전공 -; 4 2017 04 2018 01 조교수 국제대학원 -; 5 2017 04 2018 01 조교수 글로벌한국학전공 -; 6 2018 19 2018 01 부교수 법학전문대학원 -; 7 2018 29 2018 31 조교수 동아연구소 -; 8 2018 01 2018 01 부교수 컴퓨터공학전공 -; 9 2018 01 2018 01 부교수 미디어&엔터테인먼트전공 -; 10 2018 07 2018 01 교수 생명과학전공 -; 11 2018 08 2018 31 조교수 트랜스내셔널인문학연구소 -; 12 2018 27 2019 01 조교수 수학전공 -; 13 2018 27 2019 01 조교수 생명과학전공 -; 14 2018 27 2019 01 교수 화학전공 -; 15 2018 28 2019 01 조교수 중국문화전공 -; 16 2018 28 2019 01 부교수 화공생명공학전공 -; 17 2018 28 2019 01 조교수 전인교육원 -; 18 2019 21 2019 01 조교수 유럽문화전공 -; 19 2019 21 2019 01 조교수 아트&테크놀로지전공 -; 20 2019 21 2019 01 조교수 전인교육원 -; 21 2019 21 2019 01 조교수 전인교육원 -; 22 2019 21 2019 01 조교수 전인교육원 -; 23 2019 30 2019 01 조교수 신학대학원 -; 24 2019 23 2019 01 조교수 경제학전공 -; 25 2019 23 2019 01 조교수 경영학전공 -; 26 2019 23 2019 01 조교수 경영학전공 -; 27 2019 04 2019 01 조교수 화학전공 -; 28 2019 04 2019 01 조교수 아트&테크놀로지전공 -; 감사결과 처분서 기관명 : 서강대학교
7,"교원 채용 절차 부적정 ◦ 학교법인 서강대학교 정관 제43조의7 제1항에 따르면 교원 인사에 관한 이 정관의 규정을 시행하기 위하여 필요한 사항은 이사회의 의결을 거쳐 규정으로 정하도록 되어 있고, 서강대학교 교원인","- 서강대학교 교무처는 2019학년도 2학기 컴퓨터공학과 교수 신규채용 * 중 학과에서 추천한 후보자 3인에 대하여 교원인사위원회에서 전원 ‘미추천’하자, 후보자에 대한 채용 진행 여부를 총장에게 보고하지 아니한 채 총장이 교원인사위원회 회의록에 결재 (‘19. 5. 31.) 한 것을 근거로 2019. 6. 3. 후보자에게 불합격 통지하고 채용 절차를 종결한 사실이 있음. ◦기관경고 연 번 지 적 사 항 처 분 * (채용경과) 회의일자 회의 결과 비고 2019.5.17. 컴퓨터공학과 교수회의 기초심사와 전공심사에 따라 3배수 후보자를 무순위로 공학부 교원인사 위원회에...",". ** 후보자 K 84.555, L 84.545, M 80.574 감사결과 처분서 기관명 : 서강대학교"
8,"직원 임용 절차 미준수 ◦ 사립학교법 제70조의2에 따르면 각급학교의 소속 사무 직원은 학교의 장의 제청으로 학교법인 또는 사립학교 경영자가 임용하도록 되어 있고, 학교법인 서강대학교 정관 제84조 제3항에 따르면 대학교의 일반직원은 총장의 제청을 받아 이사장이 임면하도록 되어 있는데도, - 서강대학교 총장은 2018. 4. 1. 직원 N을 신규채용하면서 이사장에게 제청하지 아니한 채, 직접 채용하고 2018. 4. 2. 이사장에게 채용을 통보하는 등","- 서강대학교 총장은 2018. 4. 1. 직원 N을 신규채용하면서 이사장에게 제청하지 아니한 채, 직접 채용하고 2018. 4. 2. 이사장에게 채용을 통보하는 등 【붙임】“신규 직원 총장 임용 현황”과 같이 2018년부터 2020년까지 위 N 등 11명의 직원을 신규채용하면서 이사장에게 임용 제청하지 아니하고 총장이 직접 채용하고 이사장에게 채용을 통보한",.; 경고(8명) 【 붙임 】 신규 직원 총장 임용 현황 연번 임용일 임용 직위 직렬 성명 이사장 임용 제청 여부 1 2018.04.01 직원 사무직 N X (2018.4.2. 임용결과 통보) 2 2018.04.01 직원 사무직 - 3 2018.04.01 직원 사무직 - 4 2018.04.01 직원 사무직 - 5 2018.04.01 직원 사무직 - 6 2018.04.01 직원 사무직 - 7 2020.03.09 직원 사무직 - X (2020.3.6. 임용결과 통보) 8 2020.03.09 직원 기술직 - 9 2020.03.09 직원 기술직 - 10 2020.03.09 직원 기술직 - 11 2020.04.01 직원 사무직 - 감사결과 처분서 기관명 : 서강대학교
9,"직원 승진 임용 부당 ◦ 사립학교법 제70조의2 제1항에 따르면 학교법인 또는 사립학교경영자는 사무직원의 정원ㆍ임용ㆍ보수ㆍ복무 및 신분보장에 관하여는 학교법인이 정관으로 정하도록 되어 있고, 학교법인 서강대학교 정관 제84조 제1항에 따르면 일반직원의 승진은 임용권자가 근무성적 기타 능력의 실증에 의하여 행함을 원칙으로 한다고 되어 있으며, 서강대학교 직원인사규정 제31조 제4항에 따르면 직원을 차장 이상의 직위로 승진 임용하고자 할 때에는 승진후보자 명부의 고순위자 순으로, 승진 임용 예정인원의 10배수 범위 안에 있는 자 중에서 임용하도록 되어 있는데도, - 서강대학교는 2020. 2. 25. 연차승진에 의한 차장에 관한 내규 (총장결재) 를 제정하고 이에 따른 별도의 승진 후보자 명부를 작성한 후 2020. 4. 1. 총장 결재만으로 사무직 차장 대우 O를 차장으로 승진 임용하는 등",- 서강대학교는 2020. 2. 25. 연차승진에 의한 차장에 관한 내규 (총장결재) 를 제정하고 이에 따른 별도의 승진 후보자 명부를 작성한 후 2020. 4. 1. 총장 결재만으로 사무직 차장 대우 O를 차장으로 승진 임용하는 등 【붙임】 “차장 임의 승진 현황”과 같이 2020. 4. 1. 위 O 등 5명을 직원 인사규정 이 아닌 연차승진에 의한 차장에 관한 내규 에 따라 별도의 승진후보자 명부를 작성하고 이를 근거로 차장으로 승진 임용한,.; 경징계(1명); 경고(4명) 【붙임】 차장 임의 승진 현황 연번 직렬 성명 신규 임용일 과장 임용일 차장대우 임용일 차장 승진 임용일 1 사무직 O 1983. 9. 1. 2003. 8. 6. 2011.12. 1. 2020. 4. 1. 2 사무직 - 1987. 7. 1. 2003. 8. 6. 2015. 7. 1. 2020. 4. 1. 3 사무직 - 1990. 3. 1. 2003. 8. 6. 2017. 8. 1. 2020. 4. 1. 4 사무직 - 1990. 3. 1. 2003. 8. 6. 2017. 8. 1. 2020. 4. 1. 5 사무직 - 1991. 3. 1. 2005. 3. 2. 2019.10. 1. 2020. 4. 1. 감사결과 처분서 기관명 : 서강대학교
10,"교직원 수사 관련 문서 관리 부적정 ◦ 공공기록물 관리에 관한 법률 제5조, 제16조 및 제18조에 따르면 공공기관 및 기록물 관리기관의 장은 기록물의 생산부터 활용까지의 모든 과정에 걸쳐 진본성, 무결성, 신뢰성 및 이용가능성이 보장 될 수 있도록 관리하여야 하고, 공공기관은 효율적이고 책임있는 업무수행을 위하여 업무의 입안단계부터 종료단계까지 업무수행의 기록물 관리를 위하여 필요한 조치를 하여야 하며, 공공기관은 업무수행 과정에서 기록물을 생산하거나 접수하였을 때에는 대통령령으로 정하는 바에 따라 그 기록물의 등록 분류 편철 등에 필요한 조치를 하여야 하고, 같은 법 시행령 제20조에 따르면 공공기관이 기록물을 생산 또는 접수한 때에는 그 기관의 전자기록생산시스템으로 생산 또는 접수 등록번호를 부여하고 이를 그 기록물에 표기하여야 하며, 서강대학교 문서규정 제2조 및 제33조 제2항에 따르면, “공문서”라 함은 본교 행정부서 내부 또는 상호간 이나 대외적으로 공무상 작성 또는 시행되는 문서 (도면, 사진, 디스크, 테이프, 필름, 슬라이드, 전자문서 등의 특수매체기록) 및 본교에서 접수한 모든 문서를 뜻하고, 처리과는 교내 및 교외용 문서 수 발신대장 (별지 제6-1호) 을 비치하여 문서 처리사항을 기록 정리하도록 되어 있는데도, - 서강대학교 교무처는 ‘17. 5. 25. 서울중앙지방검찰청으로 부터 우편물로 접수된 ’공무원 등 피의사건 처분결과 통보‘ 문서를 수 발신대장에 기록 정리하지 아니하고 ◦경고(4명) 연 번 지 적 사 항 처 분 접수 등록번호도 부여하지 않은 채 임의 보관하는 등","- 서강대학교 교무처는 ‘17. 5. 25. 서울중앙지방검찰청으로 부터 우편물로 접수된 ’공무원 등 피의사건 처분결과 통보‘ 문서를 수 발신대장에 기록 정리하지 아니하고 ◦경고(4명) 연 번 지 적 사 항 처 분 접수 등록번호도 부여하지 않은 채 임의 보관하는 등 【붙임】 “접수문서 관리 부적정 현황”과 같이 ’17. 5. 25. 부터 ‘20. 3. 30.까지 위 서울중앙지방검찰청으로부터 우편물로 접수된 ’공무원 등 피의사건 처분결과 통보‘ 등 21건의 문서를 수 발신대장에 기록 정리하지 아니 하고 접수 등록번호도 부여하지 않은 채 임의 보관한 사실이 있으며, 이 중...",. 【 붙임 】 접수문서 관리 부적정 현황 연 번 문서명 발신기관 수신 부서 수신일 등록 번호 발급 및 대장 등재 여부 1 공무원 등 피의사건 처분결과 통보 서울중앙지검 교무팀 2017.5.25. X 2 공무원 등 피의사건 처분결과 통보 서울중앙지검 교무팀 2017.6.29. X 3 공무원범죄 처분결과 통보 서울남부지검 교무팀 2017.10.25. X 4 공무원(사립학교 교원) 피의사건 처분결과 통보 인천지검 부천지청 교무팀 2018.3.12. X 5 사립학교 교원 고소고발사건 처분결과 통보 서울북부지검 교무팀 2018.3.12. X 6 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2018.3.26. X 7 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 <재수신> 교무팀 2018.6.11. X 8 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 <재수신> 교무팀 2018.6.11. X 9 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 <재수신> 교무팀 2018.7.2. X 10 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 교무팀 2018.10.1. X 11 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 <재수신> 교무팀 2018.12.14. X 12 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2019.1.7. X 13 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2019.1.15. X 14 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2019.1.21. X 15 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 <재수신> 교무팀 2020.2.8. X 16 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2020.1.14. X 17 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2020.1.21. X 18 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2020.2.4. X 19 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울중앙지검 <재수신> 교무팀 2020.2.11. X 20 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2020.3.6. X 21 공무원(사립학교 교원) 고소고발사건 처분결과 통보 서울서부지검 교무팀 2020.3.30. X 감사결과 처분서 기관명 : 서강대학교
