연번,지적사항,주요내용(요약),처분요구
1,"외부기관 회의수당 법인회계 지출 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되고, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정 하게 처리하여야 한다고 되어 있는데도, - 학교법인 서울신학대학교는 2018. 4. 25. 학교법인과 직접 적인 관련이 없는","- 학교법인 서울신학대학교는 2018. 4. 25. 학교법인과 직접 적인 관련이 없는 ○○ 재단 이사회의 참석수당 520,000원을 지급하는 등 【붙임】“외부기관 회의 수당 지급 내역”과 같이 2018. 4. 25.부터 2021. 9. 9.까지 위 ‘○○ 재단 이사회 참석수당’ 등 4차례에 걸쳐 총 2,120,000원을 서울신학대학교 법인회계에서 대신 지급한","기관경고; 시정(회수) -; ; 재단 회의비 및참 석 수 당2,120,000 원을 관련자로부터 회수하여 세입조치 하기 바람"
2,"학교법인 소속기관 운영 부적정 ◦ 사립학교법 제2조 제2호 및 제29조에 따르면 학교법인은 사립학교만을 설치·경영할 목적으로 설립된 법인으로 정하고 있고, 학교법인의 회계는 그가 설치·경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하도록 되어 있는데도, - 학교법인 서울신학대학교는 2005. 9.부터 사립학교에 해당하지 않는 □□을(를) 학교법인 소속기관으로 운영 하는 등","- 학교법인 서울신학대학교는 2005. 9.부터 사립학교에 해당하지 않는 □□을(를) 학교법인 소속기관으로 운영 하는 등 【붙임】“학교법인 운영 소속기관 현황”과 같이 위 □□ 등 사립학교에 해당하지 않는 6개 기관을 법인 소속으로 운영해 온 사실이 있으며, - 위 6개 기관의 조직·회계에 관한 사항을 학교법인의 직제 및 회계에 편입하지 않은 채 운영해 온",기관경고; 통보 - 관련 법령을 준수 하여 직제 및 회계 를 정비하기 바람
3,"전임교원 신규임용 기준 미흡 ◦ 사립학교법 제53조의2에 따르면 각급학교의 교원은 학교법인이 해당 학교의 장의 제청으로 이사회의 의결을 거쳐 임용하여야 하고, 학교법인 서울신학 대학교 정관 제41조에 따르면 총장 이","- 학교법인 서울신학대학교는 2013학년도 1학기 교원 충원계획을 승인 (2012.12.17.) 하면서 “△△과” 교원 1명 을 충원하는 것으로 대학에 통보하고서도 2013. 1. 18. 대학에서 학교법인 서울신학대학교 정관 시행세칙 에 따라 복수제청*한 지원자 A, B에 대해 객관적 이유 등 없이 승인 인원과 다르게 2명 모두를 임용한 사실 이 있음 * 전임교원 신규임용 시 총장이 복수로 제청 ◦ 기관경고 감사결과 처분서 기관명 : 서울신학대학교","전임교원 신규임용 기준 미흡; 사립학교법 제53조의2에 따르면 각급학교의 교원은 학교법인이 해당 학교의 장의 제청으로 이사회의 의결을 거쳐 임용하여야 하고, 학교법인 서울신학 대학교 정관 제41조에 따르면 총장 이외의 교원 (이하 “교원”은 교수, 부교수, 조교수로 한다) 은 인사위원회의 심의를 거쳐 총장의 제청으로 이사회의 의결을 거쳐 이사장이 임용한다고 되어 있는데도, - 학교법인 서울신학대학교는 2013학년도 1학기 교원 충원계획을 승인 (2012.12.17.) 하면서 “△△과” 교원 1명 을 충원하는 것으로 대학에 통보하고서도 2013. 1. 18. 대학에서 학교법인 서울신학대학교 정관 시행세칙 에 따라 복수제청*한 지원자 A, B에 대해 객관적 이유 등 없이 승인 인원과 다르게 2명 모두를 임용한 사실 이 있음 * 전임교원 신규임용 시 총장이 복수로 제청; 기관경고 감사결과 처분서 기관명 : 서울신학대학교"
4,"출강 사후승인 및 미승인 외부출강 ◦ 서울신학대학교 복무규정 제7조에 따르면 교직원은 본 대학외의 타 기관에서 전임 직에 종사할 수 없고, 타교 출강 및 교회나 연구기관 등에 비상임직으로 위촉 받았을 때는 총장의 사전허가를 받은 후 종사할 수 있으며, 교원의 타교 출강은 주 1일로 한다고 되어 있고, 서울신학대학교 수업관리 내규 제7조 및 제 7조의2에 따르면 정년트랙 전임교수는 본교 학부, 대학원, 평생교육원 및 타 대학 출강을 포함하여 주당 총 20시간 (비정년트랙 전임교수는 본교 학부, 대학원 및 평생 교육원 출강을 포함하여 주당 총 20시간) 을 초과할 수 없으며, 초과할 경우 총장의 사전 허락을 얻어야 하고, 전임 교원이 타 대학에 출강하고자 할 때에는 사전에 총장의 승인을 받아야 한다고 되어있는데도","- 서울신학대학교는 2019. 3. 30. 2019학년도 1학기 전임 교원 10명의 외부출강에 대해여 학기 개시 30일 경과 하여 총장의 승인을 받는 등 【붙임1】“전임교원 외부 출강 총장 사후 승인 현황”과 같이 2019학년도 1학기 부터 2021학년도 2학기까지 전임교원 총 63명 (학기별 중복 포함) 의 외부출강에 대해여 학기 개시일로부터 짧게는 30일, 길게는 45일 경과하여 총장의 승인을 받은 사실이 있고, 【① 관련】 ◦ 기관경고 【② 관련】 ◦ 주의(3명) 연 번 지 적 사 항 처 분 - 또한, 2019. 1. 17. ▷▷학부 C이(가) 규정과 다르게 주...",
5,"직원 채용 서류전형 평가 부적정 ◦ 서울신학대학교 직원인사규정 제14조에 따르면 직원을 신규채용 하고자 하는 경우 지원 마감일 7일 전까지 임용예정 직급, 응시자격, 선발예정 인원, 시험의 방법 등을 신문, 취업관련 사이트, 본 대학교 홈페이지 등에 공고할 수 있고, 서울신학대학교 직원 신규채용에 관한 내규 제5조에 따르면 1차 서류 전형 합격자에 한하여 인성검사를 실시한 후 2차 전형을 거쳐 최종 임용대상자를 직원인사위원회를 거친 후 총장의 제청으로 이사장이 임용하며, 서울신학대학교 정규직원채용 공고 (2019.4.10.) 에 따르면 행정직 지원 자격은 학사학위 이상 소지자, 우대사항은 공인어학 성적 취득자, 컴퓨터 활용능력 우수자 및 자격증 소지자, 대학행정업무 유경험자 등으로 공고하였는데도, - 서울신학대학교는 2019. 5. 8. ‘정규직원(행정직) 신규채용’ 서류전형 평가를 진행하면서 행정직 (1명 채용, 40명 지원) 서류전형 합격점수 (60점) 이상의 평가 (70점) 를 받은 지원자 E에 대해 필수 지원 자격이 아닌 우대사항으로 공고한 “컴퓨터 자격증이 없다”는 이유로 서류전형 부적격* 처리하는 등","- 서울신학대학교는 2019. 5. 8. ‘정규직원(행정직) 신규채용’ 서류전형 평가를 진행하면서 행정직 (1명 채용, 40명 지원) 서류전형 합격점수 (60점) 이상의 평가 (70점) 를 받은 지원자 E에 대해 필수 지원 자격이 아닌 우대사항으로 공고한 “컴퓨터 자격증이 없다”는 이유로 서류전형 부적격* 처리하는 등 【붙임】“채용공고 위반 서류전형 평가현황”과 같이 동 채용 서류전형 합격점수 (60점) 이상의 평가를 받은 지원자 위 E 등 2명을 “컴퓨터 자격증이 없다”는 사유로 서류전형 불합격 처리한","* 2019. 3. 29, 2019-1차 직원인사위원회에서 서류전형 심사기준에 반영하는 것으로 심의; 기관경고"
6,"교비회계 교직원 생활자금 등 대여 ◦ 사립학교법 제29조 제6항에 따르면 교비회계에 속 하는 수입이나 재산은 다른회계로 전출·대여하거나 목적 외로 부정하게 사용할 수 없다고 되어 있고, 사립 학교법 시행령 제13조에 따르면 교비회계의 세출은 학교운영에 필요한 인건비 및 물건비, 학교교육에 직접 필요한 시설·설비를 위한 경비 교원의 연구비, 학생의 장학금, 교육지도비 및 보건 체육비, 차입금 상환원리금 및 기타 학교교육에 직접 필요한 경비로 되어 있으며, 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되는데도, - 서울신학대학교는 2019. 3. 8. ▽▽학과 F에게 교비회계 자금으로 3,000천원을 대여하는 등","- 서울신학대학교는 2019. 3. 8. ▽▽학과 F에게 교비회계 자금으로 3,000천원을 대여하는 등 【붙임】“교비회계 자금 교직원 대여 현황”과 같이 2019. 3부터 2021. 3.까지 위 F 등 교직원 6명에게 교비회계 자금으로 합계 65,150천원을 생활자금 등 명목으로 대여한",기관경고; 통보 - 향후 교비회계 자금 을 교직원에게 생활 자금 명 목 등 대 여금 으로 집행하는 일이 없도록 하기 바람
7,"▶▶ 총회 비용 등 교비회계 집행 ◦ 사립학교법 시행령 제13조에 따르면 교비회계의 세출은 학교운영에 필요한 인건비 및 물건비, 학교교육에 직접 필요한 시설·설비를 위한 경비 교원의 연구비, 학생의 장학금, 교육지도비 및 보건 체육비, 차입금 상환원리금 및 기타 학교교육에 직접 필요한 경비로 되어 있고, 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되는데도, - 서울신학대학교는 2019. 6. 14. 교내 ◇◇에서 개최된 ▶▶ 총회 관련 주차안내 인건비 1,920,000원을 교비회계 에서 집행하는 등","- 서울신학대학교는 2019. 6. 14. 교내 ◇◇에서 개최된 ▶▶ 총회 관련 주차안내 인건비 1,920,000원을 교비회계 에서 집행하는 등 【 붙임 】 “ ▶▶ 관련 비용 교비회계 집행 현황”과 같이 2019. 6.부터 2021. 4.까지 총 7차례 에 걸쳐 위 ▶▶ 총회 관련 주차안내 인건비 등 합계 4,688,500원을 교비회계에서 집행한",주의(4명)
8,"부속 연구소 기부금 교비회계 미편입 ◦ 사학기관 재무·회계 규칙 제4조 및 제10조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되고 법인과 학교의 모든 수입은 각각 세입세출예산에 편입하여야 하며, 이를 직접 사용하지 못한다고 되어 있으며, 서울신학 대학교 ♡♡연구소 규정 제1조에 따르면 본 연구소 는 ♡♡연구소라 칭하고 서울신학대학교 안에 두는 것으로 있는데도, - 서울신학대학교 ♡♡연구소 H은(는) 2021. 9. 2. I(으)로 부터 ♡♡연구소 지원 목적의 기부금 3,000,000원을 본인 명의의 계좌로 받아 교비회계에 편입시키지 않고 자금을 운용하는 등","- 서울신학대학교 ♡♡연구소 H은(는) 2021. 9. 2. I(으)로 부터 ♡♡연구소 지원 목적의 기부금 3,000,000원을 본인 명의의 계좌로 받아 교비회계에 편입시키지 않고 자금을 운용하는 등 【 붙임 】 “연구소 지원 기부금 개인 계좌 입금 내역”과 같이 2016. 3.부터 2021. 11.까지 위 H 등 연구소 3명은 본인 명의의 계좌를 개설하여 ♡♡ 연구소 지원 목적으로 받은 기부금 합계 21,425,184원 을 받아 교비회계에 편입시키지 않고 자금을 운용한",경고(3명); 통보 - 모든 수입과 지출은 교비회계에 편입 하기 바람
9,"학교기업 운영 관리 등 부적정 ◦ ｢ 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 ｣ 제39조 제1항에 따르면 산업교육기관의 장은 객관적인 자료와 증거에 의하여 복식부기의 원리에 따라 학교 기업의 회계를 공정하게 처리하여야 하며, ｢ 산학협력단 회계처리규칙 ｣ 제15조 및 제40조에 따르면 회계처리 및 보고는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 하고, 산학협력단의 단장은 회계 장부 및 증빙서류를 5년간 보존하도록 되어 있는데도, - 서울신학대학교 F은(는) 2019. 11. 15. 등록한 학교기업 ‘ ♤♤ ’을(를) 운영하면서 2020. 6. 8. 산학협력단 명의로 계좌를 개설하고, 직원 인건비 예산이 없다는 이유로 2020. 7. 30. 본인 명의의 계좌에서 위 산학협력단 명의 계좌로 2,100,000원을 입금하여 직원 J의 인건비를 지급한 후, 2020. 8. 28. ♧♧ 시 ☆☆ 과로부터 기성금 1,328,950원이 위 산학협력단 명의 계좌로 입금되자 2020. 8. 28. 본인 명의의 계좌로 2,100,000원을 송금하는 등","- 서울신학대학교 F은(는) 2019. 11. 15. 등록한 학교기업 ‘ ♤♤ ’을(를) 운영하면서 2020. 6. 8. 산학협력단 명의로 계좌를 개설하고, 직원 인건비 예산이 없다는 이유로 2020. 7. 30. 본인 명의의 계좌에서 위 산학협력단 명의 계좌로 2,100,000원을 입금하여 직원 J의 인건비를 지급한 후, 2020. 8. 28. ♧♧ 시 ☆☆ 과로부터 기성금 1,328,950원이 위 산학협력단 명의 계좌로 입금되자 2020. 8. 28. 본인 명의의 계좌로 2,100,000원을 송금하는 등 【붙임】 “산학협력단 명의 계좌 개인 임의 거래현황”과 같이...","※ 회계관련 증빙서류는 해당용역이 완료되자, 2021.1.6. ♧♧시 ☆☆과에 용역비를 신청하면서 일체자료를 제출"
10,"산학협력단회계 부외계좌 관리 부적정 ◦ ｢ 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 ｣ 제27조 제1항에 따르면 산학협력단의 회계처리는 신뢰 할 수 있도록 객관적인 자료와 증거에 따라 공정하게 하여야 하며,","- 서울신학대학교 산학협력단은 2014. 8. 1. K이(가) 개인 명의로 개설한 입출금 계좌를 통해 2016. 5. 30.까지 산학협력단회계 운영비 등을 입·출금 관리하였음에도 2022. 2. 감사일 현재까지 위 계좌의 잔고 725,218원을 산학협력단회계로 세입처리하지 않은","기관경고; 통보 - 부외계좌에 보관 하고 있는 725,218 원을 산학협력단 회계에 세입조치 하고, 향후 동일 한 사례가 발생 되지 않도록 산학 협력단 운영 지침 마련 등 매뉴얼 관리 및 운영을 철저히 하기 바람 감사결과 처분서 기관명 : 서울신학대학교"
