연번,지적사항,주요내용(요약),처분요구
2,"이사회 소집통지 등 부적정 ◦ 사립학교법 제17조 제1항 및 제3항에 따르면 이사장은 필요하다고 인정할 때에는 이사회를 소집할 수 있고, 이사회를 소집할 때에는 적어도 회의 7일전에 회의의 목적을 명시하여 각 이사에게 통지하여야 하며, 다만, 이사 전원이 집합되고 또 그 전원이 이사회의 개최를 요구한 때에는 예외로 한다고 되어 있고, 2016. 7. 29. 교육부에서 각 대학에 ‘학교법인 운영(임원/정관)업무 자료집 (사립대학제도과-7646) ’을 배포하면서 ‘소집통지는 반드시 재적이사 전원에게 통지여부를 입증할 수 있는 등기 우편 등의 방법에 의하여야 한다’고 하였음에도, - 학교법인 고운학원은 2017. 3. 8. 재적이사 8명에게 통지 여부를 입증할 수 없는 일반우편으로 2017-4차 이사회 소집을 통지하는 등","- 학교법인 고운학원은 2017. 3. 8. 재적이사 8명에게 통지 여부를 입증할 수 없는 일반우편으로 2017-4차 이사회 소집을 통지하는 등【붙임 1】“일반우편 이사회 소집 통지 현황”과 같이 2017. 3.부터 2020. 10.까지 31차례에 걸쳐 통지여부를 입증할 수 없는 일반우편으로 이사회 소집 통지를 한 사실이 있고, - 특히, 2017-11차 이사회 (개최일 2017.11.8.) 에 대해서는 사전 소집통지를 하지 아니하는 경우 이사전원 집합 으로 이사회 개최를 요구해야 함에도 2017. 11. 7. 유선 으로 재적이사 7명의 이사회 개최 동의를 받는 방법...","ㅇ경고(9명) 【붙임 1】 일반우편 이사회 소집 통지 현황 연번 회차 (소집통지일) 통지 방법 통지 인원 통지내용 일시 및 장소 안건 1 2017-4 (2017.03.08.) 일반 우편 8명 2017.03.17. - 1. 수원대 교원 승진 임용(안) 2. 과학대 교원 승진 임용(안) 3. 수원대 교원 신규 임용(안) 4. 과학대 교원 신규 임용(안) 5. 개방이사추천위원회 위원 선임(안) 6. 수원대 총장 선임(안) 2 2017-5 (2017.04.19.) 일반 우편 8명 2017.04.27. - 1. 2016회계 법인 결산(안) 2. 2016회계 수익사업 결산(안) 3. 2016회계 수원대 결산(안) 4. 2016회계 과학대 결산(안) 5. 수원대 및 과학대 직원 급여 인상(안) 6. 법인 정관 변경(안) 7. 수원대 및 과학대 재정분야 개선 지원 계획(안) 3 2017-6 (2017.05.02.) 일반 우편 8명 2017.05.15. - 1. 수원대학교 교원 신규임용(안) 2. 수원과학대학교 교원 징계 의결 요구 심의(안) 4 2017-7 (2017.05.23.) 일반 우편 8명 2017.06.01. - 1. 법인 임원 선임(안) 2. 법인 정관 변경(안) ... 중략 28 2020-3 (2020.03.20.) 일반 우편 6명 2020.03.30. - 1. 수원대 교육용기본재산 처분(안) 2. 과학대 교원 신규임용(안) 29 2020-4 (2020.04.17.) 일반 우편 6명 2020.04.27. - 1. 2019회계 법인 일반업무 자금결산(안) 2. 2019회계 법인 수익사업 자금결산(안) 3. 2019회계 수원대학교 자금결산(안) 4. 2019회계 수원과학대학교 자금결산(안) 5. 수원대 교원 징계의결 요구(안) 6. 과학대 교원 징계의결 요구(안) 7. 과학대 2021학년도 모집단위 구조조정(안) 8. 법인 기부금 관련 보고(안) 9. 교육부 감사 및 조사 지적사항 개선방안 이행 보고(안) 30 2020-5 (2020.06.12.) 일반 우편 6명 2020.06.23. - 1. 수원대학교 학칙 변경(안) 2. 수원과학대학교 교원 재임용(안) 3. 수원대학교 및 수원과학대학교 교원징계위원회 위원 선임(안) 31 2020-6 (2020.10.16.) 일반 우편 6명 2020.10.27. - 1. 수원대학교 교원 신규임용(안) 2. 수원대학교 교원 징계의결 요구(안) 3. 수원대학교 직원 징계의결 요구(안) 【붙임 2】 유선동의에 의한 이사회 개최 현황 연번 회차 (개최일) 이사회 개최 사전동의 현황 이사회 개최 현황 동의방법 (동의일) 동의 인원 재적 이사 장소 안건 참석 이사 1 2017-11 (2017.11.08.) 유선 (2017.11.07.) 7명 7명 - 1. 고운학원, 수원대, 과학대 현안 및 대책논의 2. 결원 이사 후임 선임 안 7명 2 2017-12 (2017.11.12.) 유선 (2017.11.09.) 7명 7명 - 1. 수원대학교 및 수원과학대학교 총장 선임(안) 2. 법인 이사 선임(안) 7명 3 2017-13 (2017.11.13.) 유선 (2017.11.13.) 6명 6명 - 1. 법인 이사 선임(안) 6명 4 2017-14 (2017.11.20.) 유선 (2017.11.15.) 6명 6명 - 1. 수원대 총장 사표 수리 반려 건 2. 수원대, 수원과학대 총장 임명 취소 건 6명 감사결과 처분서 기관명 : 학교법인 고운학원"
3,수익용기본재산 처분 부적정 ◦ 사립학교법 제28조 제1항에 따르면 학교법인이 그 기본 재산을 매 도·증여 ·교환 또는 용 도변경 하거나 담보에 제공하고자 할 때 또는 의무의 부담이나 권리의 포기를 하고자 할 때에는,"- 학교법인 고운학원은 2014. 3. 31. ‘ □□ 11-07’ (만기일 2018.7.31.) 채권을 1,179,708천원에 직접 매입하여 수익용 기본재산으로 보유하였다가 2017. 5. 31. 이사회 심의· 의결 및 교육부 허가 없이 1,318,101천원 (수익금 138,393천원 포함) 에 처분하고, ‘ △△ 17-05’ 채권을 1,179,717천원에 대체취득한",ㅇ경고(2명) 감사결과 처분서 기관명 : 학교법인 고운학원
4,"학교의 장 임기 규정 부적정 ㅇ 사립학교법 제53조에 따르면 각급 학교의 장의 임기는 학교법인 및 법인인 사립학교경영자의 경우에는 정관으로 정하되, 4년을 초과할 수 없고, 중임할 수 있다고 되어있으며, “학교법인",- 학교법인 고운학원은 정관 제43조 제1항에 상위법령 및 교육부 안내서와 다르게 “법인이 설치·경영하는 학교의 장은 이사회의 의결을 거쳐 이사장이 임면하고 임기는 4년 이내로 하며 중임할 수 있다”고 규정하여 학교의 장 임기를 불확정적으로 정한,ㅇ기관경고 ㅇ개선 - 정관에 규정된 학 교의 장 임기를 구체적으로 정하기 바람 감사결과 처분서 기관명 : 수원대학교
5,"교원 채용 부당 개입 ◦ 사립학교법 제53조의2에 따르면 교원은 해당 학교의 장의 제청으로 이사회의 의결을 거쳐 임용하고, 학교 법인 고운학원 정관 제43조에 따르면, 학교의 장 이외의 교원은 당해 학교의 교원인사위원회의 심의를 거쳐 학교의 장의 제청으로 이사회의 의결을 거쳐 이사장이 임용하며, 사립학교법 제53조의5에 따라 준용되는 교육공무원법 제11조의3 제2항 및 교육공무원임용령 제4조의3 제3항에 따르면 대학의 교원을 신규 채용할 때에는 심사위원을 임명하거나 위촉하여 객관적이고 공정한 심사를 거쳐야 하고, 대학교원의 신규채용은 기초심사·전공심사·면접심사의 단계를 거쳐 실시하도록 되어 있으며, 수원대학교 신규교원 임용세칙 제10조에 따르면 면접심사는 법인 또는 총장이 위촉하는 8인 이내로 구성된 위원들이 실시하는 것으로 되어 있는데도, - 수원대학교는 2018년 1학기 신규 교원 채용절차를 진행 하면서 최종 면접심사 (’18.1.3.) 종료 이후 불상일 (’18. 1월 중순 ~ 2월 중순) 에 A가 본인 개인 사무실 (서울 강남구 소재) 에서 ‘ㄱ’ 분야에 지원한 B를 대상으로 절차에 없는 추가 면접 (15분 내외) 을 하도록 하는 등",- 수원대학교는 2018년 1학기 신규 교원 채용절차를 진행 하면서 최종 면접심사 (’18.1.3.) 종료 이후 불상일 (’18. 1월 중순 ~ 2월 중순) 에 A가 본인 개인 사무실 (서울 강남구 소재) 에서 ‘ㄱ’ 분야에 지원한 B를 대상으로 절차에 없는 추가 면접 (15분 내외) 을 하도록 하는 등 【붙임】“절차에 없는 추가면접 실시 현황”과 같이 2018학년도 1학기 및 2학기 신규 교원 채용절차를 진행하면서 최종 면접심사 종료 이후에 A 및 C (A의 처남) 가 A의 개인 사무실에서 위 B 등 신규교원 채용 지원자 3명을 대상으로 절차에 없는 추가 면접 (1...,"중징계(1명); 경징계(3명); 통보 - 교원 채용절차를 법령과 규정에 따라 실시하기 바람 【참고】 절차에 없는 추가면접 실시 현황 연 번 연도-학기 (공식면접일자) 채용 분야 채용 인원 최종 임용자 추가 면접 현황 면접 일자 면접자 면접대상자 성명 면접내용 소요 시간 1 2018-1 (‘18. 1. 3.) ㄱ 1 B ‘18.1월 중순 ~ ‘18.2월 중순 중 불상일 A, C (배석) B 고향 등 간단하고 일반적인 질문 15분 내외 2 2018-2 (‘18. 8. 8.) ‘18.8.16. 3) C - 총장과 교수 간 갈등 및 사학비리에 관한 생각 등 질문 10~20분 3 ‘18.8월 중순 불상일 C - 인적사항, 연구실적 및 연구 희망분야 등 질문 10분 내외 감사결과 처분서 기관명 :학교법인 고운학원, 수원대학교"
6,"교원 채용 면접심사 법인이사 참여 부적정 ◦ 사립학교법 제53조의2에 따르면 교원은 해당 학교의 장의 제청으로 이사회의 의결을 거쳐 임용하고, 학교 법인 고운학원 정관 제43조에 따르면, 학교의 장 이외의 교원은 당해 학교의 교원인사위원회의 심의를 거쳐 학교의 장의 제청으로 이사회의 의결을 거쳐 이사장이 임용하며, 사립학교법 제19조 및 학교법인 고운학원 정관 제27조에 따르면, 이사장은 법인을 대표하고 법인의 업무를 통리하며, 이사는 이사회에 출석하여 법인의 업무에 관한 사항을 심의 ․ 결정하며, 이사회 또는 이사장으로부터 위임받은 사항을 처리하는 것을 직무로 규정하고 있는데도, - 수원대학교는 신규교원 임용세칙 제10조에 면접 심사는 법인 또는 총장이 위촉하는 8인 이내로 구성 된 위원들이 실시한다고 규정하였고, - 수원대학교는 위 임용세칙에 의거 2017. 2. 6. 2017학년도 1학기 교원채용 면접심사위원으로 D 등 2명의 법인이사를 포함하여 구성하고 면접심사를 하도록 하는 등","- 수원대학교는 신규교원 임용세칙 제10조에 면접 심사는 법인 또는 총장이 위촉하는 8인 이내로 구성 된 위원들이 실시한다고 규정하였고, - 수원대학교는 위 임용세칙에 의거 2017. 2. 6. 2017학년도 1학기 교원채용 면접심사위원으로 D 등 2명의 법인이사를 포함하여 구성하고 면접심사를 하도록 하는 등【붙임】 “면접심사 법인이사 참여 현황”과 같이 2017. 1학기 부터 2020. 11. 감사일 현재까지 교원 채용을 진행하면서 법인이사 2명 내지 3명을 총 8회에 걸쳐 면접심사위원 으로 포함하여 구성하고 면접심사를 하도록 한","【학교법인 고운학원】; 경고(3명) 【수원대학교】; 경고(4명); 통보 - 면접심사 위원을 법인에서 위촉할 수 있도록 규정한 「수원대학교 신규 교원 임용세칙」을 「 사 립 학 교 법 」 취 지 에 맞도록 개정하고 법 인 임원 이 교 직원 면접심사에 참여 하지 않도록 하기 바람 【붙임】 면접심사 법인이사 참여 현황 연번 연도-학기 면접일자 면접위원 구 분 성 명 1 2017-1 ‘17. 2. 6. 법인이사(2) D, - 학교위원(4) A, -, -, - 2 2017-2 ‘17. 8. 9. 법인이사(3) D, -, - 학교위원(3) A, -, - 3 2018-1 ‘18. 1. 3. 법인이사(3) D, -, - 학교위원(2) -, - 4 2018-2 ‘18. 8. 8. 법인이사(3) D, -, - 학교위원(2) -, - 5 2019-1 ‘19. 2. 15. 법인이사(3) D, -, - 학교위원(2) -, - 6 2019-2 ‘19. 7. 31. 법인이사(3) D, -, - 학교위원(2) -, - 7 2020-1 ‘20. 2. 17. 법인이사(3) D, -, - 학교위원(1) - 8 2020-2 ‘20. 11. 2. 법인이사(3) D, -, - 학교위원(2) -, - 감사결과 처분서 기관명 : 수원대학교"
7,"계약직원 보직 임명 부적정 ㅇ 학교법인 고운학원 정관 제92조 제2항에 따르면 수원대학교 각 실(처)의 장 및 산학협력단장은 부교수 이상의 교원 또는 참여 (일반직 2급) 로 보하고, 총무처장은 참여 또는 부참여 (일반직 3급) 로 보한다고 되어있으며, 수원대학교 일반직원 인사규정 제3조 및 제5조에 따르면 직원은 일반직원, 기능직원으로 구분하고, 업무의 형편상 필요한 경우에 계약직원을 둘 수 있으며, 직원은 이사장이 임용하되, 당해 학교장의 제청이 있어야 하고, 계약직원의 임용은 총장이 이를 행한다고 되어있는데도, - 수원대학교는 2013. 6. 11. E를 ㄴ실 근무 목적의 계약 직원으로 임용 (계약기간 : ’13.6.11~’14.6.10, 보수 : 50,000천원) 하고도 ㄴ실장 직위로 임명하는 등","- 수원대학교는 2013. 6. 11. E를 ㄴ실 근무 목적의 계약 직원으로 임용 (계약기간 : ’13.6.11~’14.6.10, 보수 : 50,000천원) 하고도 ㄴ실장 직위로 임명하는 등【붙임】“계약직원 보직임명 현황”과 같이 2013. 6.부터 2018. 3. 31.까지 위 E를 ㄴ실 근무 목적의 계약직원으로 임용하고도 ㄴ 실장 직위로 임명하고, 2018. 4. 1. ㄷ처장으로 직위를 변경하여 임명 (~`22. 6. 10.) 한","ㅇ경고(5명) ㅇ통보 - 정 관 및 관 련 규 정 에 따 라 보 직 자 를 임 명 하 기 바 람 【붙임】 계약직원 보직임명 현황 (단위 : 천원) 연번 대상자 계 약 기 간 임용부서 보 수 발령사항 비 고 1 E 2013. 6.11. ~ 2014. 6.10. ㄴ실 50,000 ㄴ실장 2 E 2014. 6.11. ~ 2015. 6.10. ㄴ실 50,000 ㄴ실장 3 E 2015. 6.11. ~ 2016. 6.10. ㄴ실 50,000 ㄴ실장 4 E 2016. 6.11. ~ 2017. 6.10. ㄴ실 50,000 ㄴ실장 별도 성과금 지급 가능 5 E 2017. 6.11. ~ 2022. 6.10. ㄴ실 100,000 ㄴ실장 급여 50,000 + 성과금 50,000 6 E 2018. 4. 1. ~ 2022. 6.10. ㄷ처 100,000 ㄷ처장 급여 50,000 + 성과금 50,000 감사결과 처분서 기관명 : 수원대학교"
8,"범죄처분 통보자 미조치 ㅇ 사립학교법 제55조, 제61조 제1항 및 제64조에 따르면 사립학교의 교원의 복무에 관하여는 국·공립학교의 교원에 관한 규정을 준용하고, 사립학교의 교원이 사립 학교법과 기타 교육관계법령에 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무에 위반하거나 직무를 태만히 한 때, 직무의 내외를 불문하고 교원 으로서의 품위를 손상하는 행위를 한 때에는 당해 교원의 임면권자는 징계의결의 요구를 하며, 사립학교의 교원의 임용권자는 그 소속교원 중에 위 징계사유에 해당하는 자가 있을 때에는 미리 충분한 조사를 한 후 당해 징계사건을 관할하는 교원징계위원회에 그 징계의결을 요구하여야 한다고 되어 있는데도, - 수원대학교는 2019. 10. 10. 수원지방검찰청으로부터 F의 ‘동물보호법 위반’에 대한 ‘기소유예’ 처분 결과를 통보받고도 징계위원회에 징계의결을 요구하지 않는 등",- 수원대학교는 2019. 10. 10. 수원지방검찰청으로부터 F의 ‘동물보호법 위반’에 대한 ‘기소유예’ 처분 결과를 통보받고도 징계위원회에 징계의결을 요구하지 않는 등【붙임】“범죄처분 통보자 미조치 현황”과 같이 2019. 10.부터 2020. 4.까지 위 F 등 교원 4명에 대한 범죄처분 결과를 통보받고도 2020. 11. 감사일 현재 까지 징계위원회에 징계의결을 요구하지 않은,ㅇ경고(3명) ㅇ통보 - 범죄처분 통보자에 대해 정관 등 관련 규정에 따라 조치 하기 바람 【붙임】 범죄처분 통보자 미조치 현황 연번 사건번호 피의자 현황 처분결과 통보 현황 소속 직위 성명 처분청 처분일자 처분 접수일자 죄명 처분내용 1 2019형제 *****호 - - F 수원지방 검찰청 `19.10.08. `19.10.10. 동물보호법 위반 기소유예 2 2019형제 *****호 - - - 서울중앙 지방검찰청 `19.11.08. `19.11.11. 부정청탁 및 금품등 수수의 금지에 관한 법률 위반 기소유예 3 2019형제 *****호 - - F 수원지방 검찰청 `20.01.07. `20.01.08. 폭행 공소권없음 4 2020형제 ****호 - - - 수원지방 검찰청 `20.01.23. `20.01.28. 특수폭행 공소권없음 5 2020형제 ****호 - - - 수원지방 검찰청 `20.02.06. `20.02.07. 도로교통 법위반 (음주운전) 구약식 감사결과 처분서 기관명 : 수원대학교
9,"연구년 교원의 연구결과물 미제출 및 지연제출 ㅇ 수원대학교 국내·외 파견 및 연구년제에 관한 규정 제10조에 따르면 국내외 파견 및 연구년 허가를 받은 교수는 연구년 복귀 후 1개월 이내에 결과보고서와 1년 이내에 전문저서 (강의 보조용 교재는 불가) 출판, 국제 수준의 학술지 또는 국내 A급 학술지에 연구논문을 게재하여야 하고 (예능계 교원의 경우에는 공연, 전시 등의 발표회도 가함) , 그 실적물을 소속 대학장과 교무처장을 경유 총장에게 제출하여야 하며, 위의 내용을 이행하지 않을 경우는 국내외 파견 및 연구년 기간 중 받은 보수 전액 또는 서약 불이행에 상당하는 금액을 반환 해야 한다고 되어있는데도, - 수원대학교 G는 2017학년도 연구년 교원으로 선정되어 (연구기간 : 2017. 2. 1. ~ 2017. 7. 31., 연구과제 : ㄹ, 국가 : 일본, 제출기한 : 2018. 7. 31.) 연구를 종료한 후 연구결과물을 2020. 11. 감사일 현재까지 제출하지 않는 등","- 수원대학교 G는 2017학년도 연구년 교원으로 선정되어 (연구기간 : 2017. 2. 1. ~ 2017. 7. 31., 연구과제 : ㄹ, 국가 : 일본, 제출기한 : 2018. 7. 31.) 연구를 종료한 후 연구결과물을 2020. 11. 감사일 현재까지 제출하지 않는 등【붙임】 “연구년 교원 연구결과물 미제출 및 지연제출 현황”과 같이 2018. 7.부터 2020. 8.까지 위 G 등 수원대학교 교원 25명 (25건) 은 연구년 종료 후 연구결과물을 2020. 11. 감사일 현재까지 제출하지 않거나 (21명, 21건) 제출기한을 짧게는 30일부터 길게는 833일...",ㅇ경고(21명) ㅇ주의(4명) ㅇ통보 - 연구결과물 미제출 자에 대하여 관련 규정에 따라 조치 하기 바람 【붙임】 연구년 교원 연구결과물 미제출 및 지연제출 현황 연번 학 과 직급 성명 연구과제명 연구기간 결과물 제출기한 제출일 초과 기간 비고 (국가명) 시작일 종료일 1 - 교 수 G ㄹ 2017 1 2017 31 2018 31 미제출 일본 2 - 교 수 - 2-1 2017 31 2018 31 미제출 한국 3 - 교 수 - 2-1 2017 31 2018 31 2020 10 833 한국 러시아 4 - 부교수 - 2-1 2017 31 2018 31 미제출 미국 5 - 부교수 - 2-1 2017 31 2018 31 2019 31 457 한국 6 - 교 수 - 2-1 2017 31 2018 31 미제출 한국 7 - 교 수 - 2-1 2017 31 2018 31 미제출 한국 프랑스 8 - 교 수 - 2-1 2017 31 2018 31 미제출 영국 9 - 부교수 - 2-1 2017 31 2018 31 미제출 한국 10 - 교 수 - 2-1 2017 31 2018 31 미제출 한국 11 - 교 수 - 2-1 2017 31 2018 31 미제출 한국 12 - 조교수 - 2-1 2017 31 2018 31 미제출 한국 13 - 부교수 - 2-1 2017 31 2018 31 미제출 한국 14 - 교 수 - 9-1 2018 28 2019 28 미제출 한국 15 - 교 수 - 9-1 2018 28 2019 28 2020 8 435 한국 16 - 조교수 - 9-1 2018 28 2019 28 미제출 한국 17 - 교 수 - 9-1 2018 28 2019 28 미제출 한국 18 - 부교수 - 9-1 2018 28 2019 28 미제출 한국 19 - 교 수 - 9-1 2018 28 2019 28 미제출 한국 20 - 교 수 - 9-1 2018 28 2019 28 미제출 한국 21 - 조교수 - 3-1 2018 31 2019 31 2019 30 30 미국 22 - 교 수 - 3-1 2018 31 2019 31 미제출 한국 23 - 교 수 - 3-1 2018 31 2019 31 미제출 한국 24 - 교 수 - 9-1 2019 28 2020 28 미제출 한국 25 - 교 수 - 3-1 2019 31 2020 31 미제출 중국 감사결과 처분서 기관명 : 수원대학교
10,"직원 복무관리 부적정 ㅇ 학교법인 고운학원 정관 제85조에 따르면 일반직원의 복무에 관하여는 사립학교 교원에게 적용하는 규정을 준용한다고 되어있고, 사립학교법 제55조에 따르면 사립학교의 교원의 복무에 관하여는 국·공립학교의 교원에 관한 규정을 준용한다고 되어있으며, 이에 따라 준용되는 국가공무원 복무규정 및 국가공무원 복무· 징계 관련 예규 에 따르면 외출이란 근무시간 중 개인 용무를 위하여 근무장소 외부로 나간 후, 근무종료 시간 이전에 돌아오는 것으로 정의되어 있어 공무를 위한 외출은 허용하지 않고 있는데도, - 수원대학교는 2017. 1. 5. H가 신청한 공무외출 (15:00~17:30) 을 승인하는 등","- 수원대학교는 2017. 1. 5. H가 신청한 공무외출 (15:00~17:30) 을 승인하는 등【붙임】“공무 외출 신청·승인 현황”과 같이 2017. 1.부터 2020. 11. 감사일 현재까지 위 H 등 직원 140명이 신청한 공무외출 총 1,205건을 승인*한","* 근무시간 전체를 외출로 처리한 경우도 183건에 달함 ㅇ기관주의 ㅇ통보 - 향후 상위 규정에 정하지 않은 공무 외출은 허용하지 않 도 록 하 고 , 관 련 규정에 따라 직원 복무를 관리하기 바람 【붙임】 공무 외출 신청·승인 현황 연번 부 서 직 급 성 명 근무상황 승인일 시작시간 종료시간 비고 1 후생관재과 - H 외출(공무) 2017 05 15:00 17:30 2 직장예비군연대 - - 외출(공무) 2017 06 13:00 15:00 3 ESL - - 외출(공무) 2017 10 13:00 16:00 4 입학관리과 - - 외출(공무) 2017 10 13:00 17:30 5 학생지원과 - - 외출(공무) 2017 11 14:00 15:30 6 직장예비군연대 - - 외출(공무) 2017 11 09:00 17:30 종일 7 평가실 - - 외출(공무) 2017 12 11:30 17:30 8 직장예비군연대 - - 외출(공무) 2017 12 09:00 17:30 종일 9 후생관재과 - - 외출(공무) 2017 12 14:00 17:30 10 총무과 - - 외출(공무) 2017 12 09:00 17:30 종일 11 직장예비군연대 - - 외출(공무) 2017 13 09:00 17:30 종일 12 평가실 - - 외출(공무) 2017 18 12:00 17:30 13 취업정보처 - - 외출(공무) 2017 18 09:00 17:30 종일 14 평가실 - - 외출(공무) 2017 19 12:00 17:30 15 평가실 - - 외출(공무) 2017 19 12:00 17:30 ... 중략 1191 기획처 - - 외출(공무) 2020 29 14:00 17:30 1192 산학협력단 - - 외출(공무) 2020 29 13:00 17:30 1193 창업지원단 - - 외출(공무) 2020 30 15:00 17:30 1194 기획처 - - 외출(공무) 2020 30 09:30 12:00 1195 설비실 - - 외출(공무) 2020 30 13:00 17:30 1196 기획실 - - 외출(공무) 2020 30 15:00 17:30 1197 대학원교학과 - - 외출(공무) 2020 30 15:00 17:30 1198 중앙도서관 - - 외출(공무) 2020 30 09:00 14:00 1199 중앙도서관 - - 외출(공무) 2020 30 09:00 14:00 1200 ICT융합대학교학과 - - 외출(공무) 2020 30 15:00 17:30 1201 홍보실 - - 외출(공무) 2020 30 15:00 17:30 1202 설비실 - - 외출(공무) 2020 30 15:00 17:30 1203 평생교육원 - - 외출(공무) 2020 30 15:00 17:30 1204 창업보육센터 - - 외출(공무) 2020 19 13:00 18:00 1205 창업보육센터 - - 외출(공무) 2020 25 09:00 18:00 종일 감사결과 처분서 기관명 : 수원대학교"
11,"예산편성 및 이월금 관리 부당 ◦ 사학기관 재무 회계 규칙 ｣ 제4조 및 제22조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고, 학교에 속하는 회계의 세출예산중 경비의 성질상 당해 연도 안에 지출을 끝내지 못할 것이 예측되는 경비와 불가피한 사유로 그 연도 안에 지출하지 못한 경비는 익년도 예산에 이월 계상하고 그 사유를 명기하여 사용할 수 있으며, 사학기관 재무 회계규칙에 대한 특례규칙 제4조 제 3항에 따르면 학교의 장은 전년도 추정결산 등의 합 리적 자료를 기초로 예산을 편성하여야 한다고 되어 있고, 사립학교법 제32조의2 제2항 및 제3항에는 적립금은 원금보존적립금과 임의적립금으로 구분하고 성격에 따라 연구적립금·건축적립금·장학적립금·퇴직 적립금 및 그 밖에 구체적인 목적을 정하여 적립하는 특정목적적립금으로 구성하며, 적립금은 기금으로 예치 하여 관리하고 그 적립 목적으로만 사용하여야 한다고 되어 있으며, 사학기관 재무·회계 규칙 제22조의2에는 적립금은 그 적립목적에 한하여 사용하여야 한다고 되어 있고, 사립학교법 제32조의4 제1항 및 제2항에 따르면 대학교육기관의 장 및 대학교육기관을 설치· 경영하는 학교법인의 이사장은 해당 회계연도의 교비 ◦경징계(5명) ◦ 통보 - 이월금을 교육비에 편성하거나 목적을 설정하여 적립하는 등 이월금을 최소 화하기 바람 연 번 지 적 사 항 처 분 회계 예산을 편성·집행함에 있어서 이월금을 최소화 하도록 노력하여야 하며, 교육부장관은 대학교육기관의 이월금이 재정 규모에 비하여 과다한 경우에는 이월금을 줄이기 위하여 시정요구 등 필요한 조치를 할 수 있으며, 교육부의 ‘사립대학 이월금 처리기준 안내 (2014.8, 2017.1.)’ 및 ‘학교법인 및 사립대학 예·결산서 작성 유의사항’에 따르면 등록금회계 기타이월금을 당해연도 교비회계 (등록금 회계) 수입 총액의 일정비율 {(’14연도~‘15연도) 2%, (’16연도) 1.7%, (’17연도) 1.4%, (’18연도 이후) 1%} 이내로 준수 하도록 되어 있으며, 기타이월은 이월금 중 명시이월과 사고이월을 제외한 기타자금 (불용액, 예산절감, 사업취소 등) 으로 되어 있는데도, ※ 이월금의 구분 - 수원대학교는 2017회계연도 세출예산을 편성하면서 29,139,392천원을 미사용 차기이월금으로 반영한 사실이 있고, 결산 결과 총 이월금 36,141,883천원 중 33,950,818천원을 당해 연도 교육비로 사용하지 않고 기타이월 하는 등","- 수원대학교는 2017회계연도 세출예산을 편성하면서 29,139,392천원을 미사용 차기이월금으로 반영한 사실이 있고, 결산 결과 총 이월금 36,141,883천원 중 33,950,818천원을 당해 연도 교육비로 사용하지 않고 기타이월 하는 등 【 붙임1 】 “미사용 차기이월금 예산 및 결산 현황”과 같이 2017회계연도부터 2019회계연도 까지 적게는 29,139,392천원부터 많게는 64,626,003천원을 예산편성 시부터 미사용 차기이월금으로 반영한 사실이 구 분 의 미 명시이월 세출예산의 경비 중 그 성질 또는 예산 성립 후에 발생한 사유로 인해 당해 연도...","【 붙임1 】 미사용 차기이월금 예산 및 결산 현황 (단위 : 천원) 항목 2017년 2018년 2019년 예산 결산 예산 결산 예산 결산 명시 이월금 2,191,065 1,732,561 1,595,859 사고 이월금 - 140,600 689,110 기타 이월금 33,950,818 56,900,570 64,934,005 합계 29,139,392 36,141,883 38,756,675 58,773,731 64,626,003 67,218,974 【 붙임2 】 기타이월금 부적정 처리 현황 (단위 : 천원) 【 붙임3 】 등록금회계 기타이월금 한도율 초과 현황 (단위 : 천원) * 등록금회계 기타이월금 한도 (단위 : 천원) 항목 회계연도 비고 2017 2018 2019 기타이월금 (A: 자체 처리액) 511,023 243,420 571,795 결산서 상 기타이월금 (B: 명시 및 사고이월 처리액) 40,400 725,443 1,994,384 붙임 2. 기타이월금 부적정 처리 현황 실제 기타이월금 합계 (A+B) 551,423 968,863 2,566,179 기타이월금 수입총액 대비 기준 한도율 * (금액) 1.4% (1,119,776) 1% (765,941) 1% (763,424) 기타이월금 수입총액대비 실제 한도 초과율 (금액) - 0.2% (202,922) 2.4% (1,802,755) 항목 회계연도 비고 2017 2018 2019 계 등록금 회계 40,400 725,443 1,994,384 2,760,227 예산 불용 등 비등록금 회계 7,960,278 17,668,466 24,820,562 50,449,306 합 계 8,002,695 18,395,927 26,816,965 53,209,533 항목 회계연도 2017 2018 2019 계 등록금회계 운영수입 79,983,985 76,594,119 76,342,396 189,222,581 기타이월금 한도율 1.4% 1% 1% 한도 1,119,776 765,941 763,424 2,148,173 감사결과 처분서 기관명 : 수원대학교"
