연번,지적사항,주요내용(요약),처분요구
1,"기부금 업무처리 부적정 ◦ 사립학교법 제29조 제1항에 따르면 학교법인의 회 계는 그가 설치·경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 같은 법 시행령 제1 3조 제1항 제3호와 제8의2호에 따르면 학교시설의 사용료 및 이용료와 학교가 학교교육에 사용할 목적으로 받은 기부금은 교비회계의 세입으로 하도록 되어 있으며, 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되는데도,","- 학교법인 장로회신학대학교는 2020. 9. 23. A의 유족이 학교가 교육용기본재산을 구입할 수 있게 기부한 500, 000천원 중 450,000천원만을 법인회계로 세입처리한 사실이 있음 ※ 위 기부금 500,000천원 중 나머지 50,000천원은 교비회계에 세입 처리 【 교 육 용 기 본 재 산 사 용 협 약 에 따 른 기 부 금 법 인 회 계 세 입 처 리 관 련 】 - 학교법인 장로회신학대학교는 2019. 12. 24. ○○이(가) 장로회신학대학교와 ‘ㄱ 협약’을 체결함에 따라 장로회 신학대학교의 교육용기본재산을 사용하고 기부한 55,000 천원을 법인회계로...","【붙임】 교육용기본재산 사용 협약에 따른 기부금 법인회계 세입처리 현황 (단위 : 천원) 연번 기부자 세입 처리일 기부금액 법인회계 세입처리 교비회계 세입처리 1; ; 2019.12.24. 55,000 55,000 - 2 2020.2.17. 100,000 63,502 36,498 3 2020.12.20. 55,000 55,000 - 4 2021.2.24. 100,000 63,502 36,498 5 2021.12.29. 100,000 63,502 36,498 6 2021.12.30. 50,000 50,000 - 7 2022.1.9. 5,000 5,000 - 합계 465,000 355,506 109,494 감사결과 처분서 기관명 : 장로회신학대학교"
2,"입시수당 지급 부적정 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적 에 반하여서는 아니되고, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조의 별표1 자금계산서 계정과목 명세표에 입시수당은 입학시험관리 담당 교직원의 수당 으로 되어 있으며, ‘대학입학 전형료 집행 잔액 반환 관련 질의 응답 안내’ (2014. 2. 4, 교육부 대입제도과) 에 따르면 입학업무를 본래의 업무로 담당하는 교직원의 경우 초과 근무 시간에 한하여 수당을 지급할 수 있다고 되어 있는데도, - 장로회신학대학교는 2019. 2. 15. 입시업무를 직접 수행 하지 않은 총장 등 보직자 9명과 본래의 업무를 담당한 B 등 11명에게 대학·대학원의 입시수당 명목으로 합계 5,900천원을 지급하는 등","- 장로회신학대학교는 2019. 2. 15. 입시업무를 직접 수행 하지 않은 총장 등 보직자 9명과 본래의 업무를 담당한 B 등 11명에게 대학·대학원의 입시수당 명목으로 합계 5,900천원을 지급하는 등【붙임】“보직자 및 입시업무 담당자 입시수당 지급 내역”과 같이 2019. 2.부터 2022. 2. 까지 4차례에 걸쳐 입시업무를 직접 수행하지 않은 총장 등 보직자 18명과 본래의 업무를 담당한 B 등 직원 8명에게 대학·대학원의 입시수당 명목으로 합계 23,100천원을 지급한","경고(3명); 시정(회수) - 부적정하게 지급된 입시수당 합계 23,100천원을 관련 자로부터 회수하여 교비회계로 세입 조치하기 바람"
3,"부속기관 수입·지출 교비회계 미편입 ◦ 사학기관 재무·회계 규칙」제6조, 제10조 및 제11조에 따르면 법인과 학교의 모든 수입은 각각 세입세출예 산에 편입하여야 하고, 이를 직접 사용하지 못하며, 1 회계연도의 모든 수입을 세입으로 하고 모든 지출을 세출로 하며, 수입과 지출은 모두 예산에 편입하여야 하며,","- 장로회신학대학교 □□은(는) 2019회계연도 수입 807, 172원과 지출 3,384,427원을 C의 계좌로 관리하면서 교비회계에 편입하지 않는 등【붙임】“□□ 수입 지출 미편입 현황”과 같이 2019회계연도부터 2021회계연도 (2022.3.1.~2022.4.25.) 까지 수입 합계 14,858,997원과 지출 합계 12,204,668원을 C의 계좌로 관리하면서 교비회계에 편입하지 않은","※ 위 C 계좌의 2022.4.25. 잔액은 5,238,206원; 경고(3명); 통보 - C의 2022.4.25. 계좌 잔액 5,238,206원을 교 비회 계에 편입하 고, 향후 □□의 수입과 지출을 교비회계에 편입하기 바람 【붙임】 □□ 수입 지출 미편입 현황 (단위 : 원) 회계연도 구분 기관명 수입 지출 관련 계좌 (명의) 2019년 부속기관 □□ 807,172 3,384,427 - 2020년 6,741,706 3,909,070 2021년 4,538,498 4,067,142 2022년 2,771,621 844,029 합계 14,858,997 12,204,668 감사결과 처분서 기관명 : 장로회신학대학교"
4,"의원면직 제한 대상 미확인 ◦ 사립학교법 제61조의2 및 학교법인 장로회신학대학교 정관 제56조의2에 따르면 교원의 임용권자는 의원면직을 신청한 교원이 비위와 관련하여 형사사건으로 기소 중인 때, 교원징계위원회에 중징계의 의결을 요구 중인 때, 감사원·검찰·경찰 및 그 밖의 수사기관에서 비위와 관련하여 조사 또는 수사 중인 때, 관할청의 감사부서 등에서 비위와 관련하여 감사 또는 조사 중인 때에는 의원면직을 허용해서는 아니되고, 교원이 의원면직을 신청한 경우 해당 교원이 의원면직 제한대상에 해당 하는지 여부를 감사·조사 및 수사기관의 장에게 확인 하도록 되어 있는데도, - 장로회신학대학교는 2019. 8. 31. D의 의원면직 제한 대상 해당 여부를 감사·조사 및 수사기관에 확인하지 아니하고 의원면직을 처리하는 등",- 장로회신학대학교는 2019. 8. 31. D의 의원면직 제한 대상 해당 여부를 감사·조사 및 수사기관에 확인하지 아니하고 의원면직을 처리하는 등 【붙임】“의원면직 제한 여부 미확인 의원면직 처리 현황”과 같이 2019. 8. 부터 2022. 2.까지 위 D 등 교원 10명의 의원면직 제한대상 해당 여부를 확인하지 아니하고 의원면직 처리를 한,주의(2명)
5,"미승인 국외여행 ◦ 사립학교법 제55조 제1항에 따르면 사립학교 교원의 복무는 국·공립학교 교원에 관한 규정을 준용한다고 되어 있고, ｢ 국가공무원법 제58조에 따르면 공무원은 소속 상관의 허가 또는 정당한 사유가 없으면 직장을 이탈하지 못하도록 되어 있으며, 장로회신학대학교 교원복무규정 제16조에 따르면 교원은 정당한 사유 없이 자신의 직무수행에 요구되는 장소를 떠나서는 안되고, 해외 출타 시에는 2주 전에 신고하는 것을 원칙 으로 하며 교원인사위원장을 경유, 총장의 승인을 얻어야 한다고 되어 있는데도, - 장로회신학대학교 E은(는) 국외여행 신고를 하지 않고 2019. 3. 5.부터 2019. 3. 9.까지 국외여행을 하는 등",- 장로회신학대학교 E은(는) 국외여행 신고를 하지 않고 2019. 3. 5.부터 2019. 3. 9.까지 국외여행을 하는 등 【붙임】“학기 중 미승인 국외여행 현황”과 같이 2019. 3월부터 2019. 9월까지 위 E 등 교원 4명이 총 4회에 걸쳐 국외여행 신고를 하지 않고 국외여행한,※ 장로회신학대학교 교원 중 2명은 감사 기간 중 개인정보 보호 등 명목으로 출입국사실증명서 제출 거부; 주의(4명); 통보 - 출입국사실 증명 서를 제출하지 않은 2명에 대하여 자체 조사 후 조치 하고 그 결과를 제출하기 바람
6,"신규직원 채용 예정자 성범죄 경력 미조회 ◦ 아동·청소년의 성보호에 관한 법률 제56조 제1항 및 제5항에 따르면 ｢ 고등교육법 ｣ 제2조의 학교장은 그 기관에 취업하려 하거나 사실상 노무를 제공하려는 자에 대하여 성범죄 경력을 확인 (‘18. 7. 17. 시행) 하여야 한다고 되어 있는데도, - 장로회신학대학교는 2019. 9. 1. F을(를) ◁◁ 실 신규 직원으로 임용하면서 성범죄 경력을 조회하지 않는 등",- 장로회신학대학교는 2019. 9. 1. F을(를) ◁◁ 실 신규 직원으로 임용하면서 성범죄 경력을 조회하지 않는 등 【 붙임 】 “신규직원 채용예정자 성범죄 경력 미조회 현황”과 같이 2019. 9.부터 2021. 11.까지 위 F 등 신규 직원 10명을 임용하면서 성범죄 경력을 조회하지 않은,주의(3명); 통보 - 성범죄 경력 미조회 자에 대해 성범죄 경력을 조회하고 그 결과에 따라 조치하기 바람
7,"계약직 직원 채용 부적정 ◦ 장로회신학대학교 계약직원 채용규정 ｣ 제10조에 따르면 계약직원의 채용은 공개채용을 원칙으로 하고, 부득이한 경우 직원인사위원회의 심의 및 총장의 승인을 거쳐 특별채용을 할 수 있다고 되",- 장로회신학대학교는 2019. 9. 1. 행정직 H을(를) 특별채용 하면서 직원인사위원회의 심의를 거치지 않고 총장의 결재만으로 임용한,경고(3명) 감사결과 처분서 기관명 : 장로회신학대학교
8,"범죄사실 통보자에 대한 징계의결 미요구 ◦ 사립학교법 제61조 제1항 및 제64조에 따르면 사립 학교의 교원이 사립학교법과 기타 교육관계법령에 위반 하여 교원의 본분에 어긋나는 행위를 한 때, 직무상의 의무에 위반하거나 직무를 게을리 하였을 때, 직무의 내외를 불문하고 교원으로서의 품위를 손상하는 행위를 한 때에는 당해 교원의 임용권자는 징계의결의 요구를 하고, 사립학교의 교원의 임용권자는 그 소속교원 중에 위 징계사유에 해당하는 자가 있을 때에는 미리 충분한 조사를 한 후 당해 징계사건을 관할하는 교원징계 위원회에 그 징계의결을 요구하여야 하며, 학교법인 장로회신학대학교 정관 제56조 및 제63조에 대학교원 징계위원회는 징계사건을 심리하고 징계를 의결한 후 교원의 임명권자에게 통고하면 임명권자는 통고를 받은 날로부터 15일 이내에 그 의결 내용에 따라 징계처분을 하여야 한다고 되어 있는데도, - 장로회신학대학교는 2020. 7. 16. ◇◇ 검찰청으로부터 교수 E이(가) 자동차관리법 위반으로 ‘기소유예’ 처분을 받았다는 사실을 통보받고도 징계위원회에 징계의결을 요구하지 않는 등",- 장로회신학대학교는 2020. 7. 16. ◇◇ 검찰청으로부터 교수 E이(가) 자동차관리법 위반으로 ‘기소유예’ 처분을 받았다는 사실을 통보받고도 징계위원회에 징계의결을 요구하지 않는 등【붙임】“범죄처분 통보자 징계의결 미요구 현황”과 같이 2020. 7.부터 2021. 12.까지 위 교수 E 등 교원 2명에 대한 범죄처분 결과를 통보 받고도 2022. 4. 감사일 현재까지 징계의결을 요구하지 않은,경고(4명); 통보 - 범죄처분 통보자에 대해 정관 등 관련 규정에 따라 조치 하기 바람
9,"외부강의 지연 신고 ◦ 부정청탁 및 금품 등 수수의 금지에 관한 법률 제2조에 따르면 “공직자 등”에는 사립대학의 장과 교직원 및 학교법인의 임직원을 포함하고, 같은 법 제10조 제2항 및 같은 법 시행령 제26조 제1항에 따르면 공직자 등은 사례금을 받는 외부강의등을 할 때에는 외부강의 등의 일시, 주제, 사례금 총액 및 상세 명세 등을 소속 기관장에게 그 외부강의 등을 마친 날부터 10일 이내에 서면으로 신고하여야 한다고 되어 있는데도, ※ 개정법률 시행일(2020. 5. 27.) 이전에는 외부강의등을 하는 경우 사례금 지급 여부와 관계없이 외부강의등을 마친 날부터 2일 이내에 서면으로 신고하여야 함 - 장로회신학대학교 I은(는) 2019. 3. 28. ▽▽에서 강의를 하고 외부강의 신고기한으로부터 85일이 지난 2019. 6. 25. 외부강의를 신고하는 등",- 장로회신학대학교 I은(는) 2019. 3. 28. ▽▽에서 강의를 하고 외부강의 신고기한으로부터 85일이 지난 2019. 6. 25. 외부강의를 신고하는 등【붙임】“외부강의 지연 신고 현황”과 같이 2019. 3.부터 2022. 4. 감사일 현재 까지 위 I 등 교원 16명은 총 356회에 걸쳐 외부강의를 하고 신고기한으로부터 짧게는 11일 길게는 929일 지난 후 외부강의 신고를 한,경고(7명); 주의(9명)
10,연구년 교원 연구결과물 미제출 및 지연제출 ◦ 사학기관 재무 회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니,"연구년 교원 연구결과물 미제출 및 지연제출 ◦ 사학기관 재무 회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니된다고 되어 있고, 장로회신학대학교 교원연구년 규정 제1조 및 제12조에 따르면 교원들이 연구에 전념함으로써 학문발전에 기여할 수 있도록 하기 위하여 교수 연구년제를 시행하고, 연구년 교원은 연구년 기간 종료 후 한 학기 내에 연구실적물을 제출 하여야 한다고 되어 있으며, 장로회신학대학교 연구 관리규정 제16조 및 제18조에 따르면 연구비를 지원 받은 자가...",경고(1명); 주의(1명) 감사결과 처분서 기관명 : 장로회신학대학교
