연번,지적사항,주요내용(요약),처분요구
1,"수익용 기본재산 관리 부적정 ◦ 대학설립·운영 규정 제7조 및 제8조에 따르면 학교 법인은 그가 설립·경영하는 대학의 운영경비를 충당 하기 위해 연간 학교회계 운영수익 총액에 해당하는 수익용 기본재산을 확보해야 하고, 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며, 학교법인 조선대학교 기본 재산 관리규정 제6조 제1항에 따르면 수익용 기본 재산은 법인의 재정적 안정성을 높이고 수익을 높게 창출하도록 관리하도록 되어 있는데도,","- 학교법인 조선대학교는 수익용 기본재산에 입주 (임대 보증금 25,000천원, 월임대료 770천원) 한 ○○에서 2021. 5월 부터 임대료를 미납 (미납액 합계 10,752천원) 하고 있음 에도 미납액 징수를 위한 적정한 조치를 하지 않는 등 【붙임1】“수익용기본재산(건물) 임대료 미징수 현황”과 같이 위 ○○ 등 2개 업체에서 임대료 합계 15,372 천원을 장기에 걸쳐 미납하고 있음에도 임대료 징수를 위한 적정한 조치를 하지 않은 사실이 있고, - 또한, 광주광역시 ㄱ 소재 수익용 기본재산을 2018. 8월부터 공실로 유지하면서 2019년도 관련 재산세 4,4...","* 토지는 학교법인 조선대학교 소유, 건물은 타인 소유"
2,"총장 미승인 외부출강 부적정 ◦ 조선간호대학교 교원복무규정 제12조 제2항 및 제30조에 따르면 교원의 타대학 출강시간은 주당 강의 책임시간을 포함하여 20시간을 초과할 수 없고 매학기 개강 전에 총장의 승인을 얻어야 하며, 전임교원이 타대학에 출강하고자 할 때에는 총장의 승인을 얻어야 하는데도, - 조선간호대학교 B * 는 총장의 승인을 받지 않고 2020. 1. 7. 부터 2020. 1. 29.까지 ◁◁대학교 ◇◇대학원에서 ‘ㄹ’ 과목을 강의하는 등",- 조선간호대학교 B * 는 총장의 승인을 받지 않고 2020. 1. 7. 부터 2020. 1. 29.까지 ◁◁대학교 ◇◇대학원에서 ‘ㄹ’ 과목을 강의하는 등【붙임】“총장 미승인 외부 출강 현황”과 같이 2020. 1. 7.부터 2022. 1. 28.까지 총 장의 승인을 받지 않고 ◁◁대학교 ◇◇대학원에서 ‘ㄹ’ 등 5개 과목의 강의를 한,"* 교원은 전임(정년계열 전임교원, 비정년계열 전임교원), 강사 등으로 구분하며, 비정년계열 전임교원(강의전담교원 등)은 정년을 보장하지 아니하는 교원으로 처우 등에 대해서는 따로 정할 수 있음(「조선간호대학교 교원인사규정」제2조); 경고(1명)"
3,"범죄혐의 통보자 징계의결 미요구 ◦ 사립학교법 제61조 제1항 및 제64조에 따르면 사립 학교의 교원이 사립학교법과 기타 교육관계법령에 위반 하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무에 위반하거나 직","- 학교법인 조선대학교는 2019. 10. 4. □□지방검찰청 으로부터 C가 ‘폭행’ 혐의로 기소중지 처분을 받았다는 사실을 최초 통보받은 이후 2019. 10. 24. 외부인으로 부터 D를 보호하는 과정에서 사건이 발생하였다는 사유로 검찰의 최종 조치를 통보 (2019. 11. 25.) 받지 않은 상태에서 학교법인 조선대학교 일반직원징계위원회 ◦경고(1명) ◦주의(1명) ◦통보 - 범죄혐의 통보자에 대 하 여 는관 련 규 정 을 준수하기 바람 연 번 지 적 사 항 처 분 차원의 비위의 정도, 과실의 경중, 고의성 유무 등 검토 절차 없이 D 결재 (2019. 10....",감사결과 처분서 기관명 : 조선간호대학교
4,"기부금 납부실적 교원업적평가 반영 부적정 ◦ 사립학교법 제53조의2 제7항에 따르면 대학은 교원의 재임용 여부를 심의함에 있어서는 학생교육, 학문연구, 학생지도에 관한 평가 등 객관적인 사유로서 학칙이 정하는 사유에 근거하여야 하고, 사립학교법 제53조의5에 따르면 학교의 장이 아닌 대학 교육기관 교원의 임용 (같은법 제2조 임용에는 “신규채용”, “승진” 등 포함) 에 관하여는 교육공무원법 제11조의3을 준용하여 객관적이고 공정한 심사를 해야 하며, 조선간호대학교 교원 업적평가규정 (2008. 3. 1. 제정) 제18조 (평가대상의 업적 및 구비서류) 관련 [별표 3]에 따르면 봉사업적은 교내봉사, 교외봉사, 수범 활동 (발전기금 유치 및 기부, 공훈 및 표창) 등으로 평가하며, 동 업적평가규정 제21조에 따르면 교원의 업적은 객관적 이고 공정하게 평가하도록 되어 있는데도, - 조선간호대학교는 2008.부터 2022. 7. 감사일 현재까지 교원 (재직 중인 조교수 이상의 전임교원) 승진임용, 계약제 교원 재임용 등에 업적평가 (분야 :교육, 연구, 산학협력, 봉사활동) 실적을 활용하면서 봉사활동 (교내봉사, 교외봉사, 수범활동, 감점으로 구성) 중 수범활동 분야에 위 교육 공무원법 등 관계 법령의 취지에 맞지 않게 교원의 기부 실적 (5점 배점) 을 반영하여 평가한 사실이 있고, 이에 따라 E 교수는 2021학년도 교원업적 평가 중 봉사업적분야에서 학교에 2,965천원을 기부한 실적 (30만원당 1점, 최대 5점) 을 인정받아 해당 평가항목에서 만점인 5점을 부여받는 등","- 조선간호대학교는 2008.부터 2022. 7. 감사일 현재까지 교원 (재직 중인 조교수 이상의 전임교원) 승진임용, 계약제 교원 재임용 등에 업적평가 (분야 :교육, 연구, 산학협력, 봉사활동) 실적을 활용하면서 봉사활동 (교내봉사, 교외봉사, 수범활동, 감점으로 구성) 중 수범활동 분야에 위 교육 공무원법 등 관계 법령의 취지에 맞지 않게 교원의 기부 실적 (5점 배점) 을 반영하여 평가한 사실이 있고, 이에 따라 E 교수는 2021학년도 교원업적 평가 중 봉사업적분야에서 학교에 2,965천원을 기부한 실적 (30만원당 1점, 최대 5점) 을 인정받아 해당 평가...",
5,"겸임교원 등 채용 심사위원 구성 부적정 ◦ 사립학교법 제53조의5에 따라 준용되는 교육공무원법 제11조의3 및 교육공무원임용령 제4조의3 제3항 및 제4항에 따르면 대학의 교원을 신규채용할 때에는 심사 위원을 임명하거나 위촉하여 객관적이고 공정한 심사를 거쳐야 하고, 채용심사를 위한 심사위원은 모집대상 전공분야와 관련이 있는 당해 대학소속의 교원이나 학식과 경험이 풍부한 관련 전문가 중에서 대학의 장이 임명 또는 위촉하며, 이 경우 채용후보자의 전공과 모집 대상 전공분야와의 일치여부 및 채용후보자의 전공에 대한 학문적 우수성을 심사하는 때에는 심사위원중 3분의 1 이상은 당해 대학 소속의 교직원이 아닌 자로 해야 하고, 조선간호대학교","- 조선간호대학교는 2019. 1. 16. 2019학년도 1학기 ㅁ학과 겸임교원 지원자 F에 대한 서류심사 시 초빙분야 학위 및 경력의 전공일치도, 전문성 등을 평가하면서 외부 심사위원 위촉 없이 H 등 조선간호대 교수 4명만으로 심사위원을 구성하는 등【붙임】“겸임교원 등 채용 심사위원 구성·운영 부적정 현황”과 같이 2019학년도 1학기부터 2022학년도 1학기까지 위 F 등 지원자 16명에 대한 서류심사 시 초빙분야 학위 및 경력의 전공일치도, 전문성 등을 평가하면서 외부 심사위원 없이 조선간호대학교 교수만으로 심사 위원을 구성· 운영한",경고(3명)
6,"교직원 4대폭력 예방교육 미이수 ◦ 양성평등기본법 시행령 제20조, 성폭력방지 및 피해자 보호 등에 관한 법률 시행령 제2조, 성매매방지 및 피해자보고 등에 관한 법률 시행령 제2조, 가정폭력 방지 및 피해자보고 등에 관한 법률 시행령 제1조의2에 따르면 국가기관의 장은 기관에 소속된 사람을 대상으로 매년 1회 이상 성희롱·성폭력·성매매·가정폭력 예방교육 (이하 ‘4대 폭력 예방교육’) 을 각 1시간 이상 실시하고, 신규 임용된 사람에 대해서는 임용된 날부터 2개월 이내에 4대 폭력 예방교육을 실시하도록 되어 있으며, 조선간호 대학교 성희롱 및 성폭력 예방 규정 제4조의2에 따르면 총장은 성희롱 및 성폭력 예방과 처리에 관하여 성희롱 및 성폭력 예방교육을 실시할 책무가 있다고 되어 있는데도, - 조선간호대학교는 2019. 3. 1.자 신규 임용된 직원 I에 대하여 신규 임용된 날로부터 2개월을 초과한 2019. 5. 28. 4대 폭력 예방교육을 실시하는 등","- 조선간호대학교는 2019. 3. 1.자 신규 임용된 직원 I에 대하여 신규 임용된 날로부터 2개월을 초과한 2019. 5. 28. 4대 폭력 예방교육을 실시하는 등【붙임1】“신규 임용 교직원 4대 폭력 예방교육 지연 또는 미이수 현황”과 같이 2019년도부터 2021년도까지 위 I 등 신규 임용자 53명에 대해 임용일로부터 2개월을 초과하여 4대 폭력 예방교육을 실시하거나 실시하지 아니한 사실 * 이 있고, * 일부 과목만 실시하여 4과목 전체를 이수하지 아니한 경우도 미이수로 간주 - 또한, 조선간호대학교 J 등 16명은 2019년도에 4대 폭력 예방교육을 이수...",기관주의; 통보 - 향후 4대 폭력 예방 교육 관리를 철저히 하기 바람
7,"시간외근무수당 지급 부적정 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니된다고 되어 있고, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리 하여야 한다고 되어 있으며, 조선간호대학교 교직원 보수규정 제17조에 따르면 규정된 근무시간을 초과하여 연장·야간 및 휴일근로를 한 직원에게는 예산의 범위내에서 시간외 근무수당을 지급한다고 되어 있는데도, - 조선간호대학교는 2019. 3월부터 2022. 7월 감사일 현재까지 시간외근무자의 실제 근무시간 확인없이 부서장이 승인한 사전 시간외근무시간 전체를 시간외근무실적으로 일괄 인정처리하여 2019. 3월부터 2020. 2월까지 직원 21명이 사전 신청한 시간외근무시간 합계 737시간 전 체 를 시간외근무시간 실적으로 모두 인정하여 시간외근무수당 합계 12,313,040원 을 지급하는 등","- 조선간호대학교는 2019. 3월부터 2022. 7월 감사일 현재까지 시간외근무자의 실제 근무시간 확인없이 부서장이 승인한 사전 시간외근무시간 전체를 시간외근무실적으로 일괄 인정처리하여 2019. 3월부터 2020. 2월까지 직원 21명이 사전 신청한 시간외근무시간 합계 737시간 전 체 를 시간외근무시간 실적으로 모두 인정하여 시간외근무수당 합계 12,313,040원 을 지급하는 등 【붙임】“시간외 근무시간 실적 미확인 수당지급현황”과 같이 2019. 3월부터 2022. 7월 감사일 현재까지 시간외근무자의 실제 근무시간 확인없이 부서장이 승인한 사전 시간외근무 시...","기관경고; 통보 - 시간외근무수당 지급에 대한 구체적 기준(사후 근무시간 확인 방법 등)을 마련 하기 바람 【붙임】 시간외근무시간 실적 미확인 수당지급현황 구분 인원수(명) 시간외근무 사전 신청시간(시간) 시간외근무수당 인정시간(시간) 시간외근무수당 지급액(원) 2019학년도 3월 1 26 26 326,560 4월 3 24 24 384,960 5월 4 67 67 1,016,420 6월 5 60 60 990,600 7월 7 85 85 2,313,590 8월 1 32 32 528,320 9월 1 8 8 109,120 10월 2 27 27 432,480 11월 5 52 52 766,680 12월 2 23 23 313,720 1월 11 162 162 2,671,870 2월 11 171 171 2,458,720 계 21 (연간 시간외수당 수령 인원수) 737 737 12,313,040 2020학년도 3월 2 28 28 462,280 4월 0 0 0 0 5월 2 20 20 330,200 6월 2 21 21 346,710 7월 4 59 59 1,320,800 8월 0 0 0 0 9월 6 69 69 2,469,850 10월 3 22 22 370,700 11월 1 5 5 71,750 12월 2 17 17 238,980 1월 4 54 54 774,900 2월 15 123 123 2,475,600 계 20 (연간 시간외수당 수령 인원수) 418 418 8,861,770 2021학년도 3월 0 0 0 0 4월 2 16 16 252,480 5월 0 0 0 0 6월 0 0 0 0 7월 0 0 0 0 8월 5 93 93 1,667,630 9월 4 35 35 979,740 10월 2 35 35 521,690 11월 1 7 7 102,970 12월 3 34 34 741,420 1월 20 310 310 6,854,810 2월 4 49 49 598,680 계 23 (연간 시간외수당 수령 인원수) 579 579 11,719,420 2022학년도 3월~7월 3월 3 23 23 589,770 4월 5 71 71 1,535,860 5월 8 80 80 1,836,610 6월 0 0 0 0 7월 5 41 41 1,049,720 계 14 (연간 시간외수당 수령 인원수) 215 215 5,011,960 합 계 37,906,190 감사결과 처분서 기관명 : 학교법인 조선대학교, 조선간호대학교"
8,"업무추진비 사용절차 및 집행 부적정 ◦ 사학기관 재무․회계 규칙 제4조 및 제21조 제1항에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되며, 법인의 업무에 속하는 회계의 세출예산은 목적외에 이를 사용하지 못한다고 되어있고, 사학기관 재무․회계 규칙에 대한 특례규칙 제15조 및 제17조 관련","- 학교법인 조선대학교는 K가 2020. 9. 22. 서울시 ㅂ 소재 ‘△△(음식점)’에서 법인카드를 사용하면서 집행목적, 일시, 장소, 집행대상 등을 기재한 내부 품의도 없 고 업무 관련성을 객관적으로 입증할 수 있는 관련 서류 없이 【 학 교 법 인조 선 대 학 교 】 【①번 관련】 ◦ 주의(3명) 【조선간호대학교】 【②번 관련】 ◦ 경고(3명) ◦ 시정(회수) - 업무관련성 여부에 대 한 검 토 없 이 카 드 사용 영수증만으로 집행한 업무추진비 사용금액 중 업무 관련 증빙이 되지 않는 금액 합계 829,800원 에 대 하 여 관 련 자 들 로 부 터 회수하 여...",
9,"법인카드 관리·운영 부적정 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니된다고 되어 있고, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리 하여야 한다고 되어 있으며, 조선간호대학교 법인카드 관리 규정 제3조에 따르면 법인카드는 공공기관에 특화된 클린 카드로 발급함을 원칙으로 한다고 되어 있는데도,",- 학교법인 조선대학교는 2019. 10. 17. 법인카드를 M 용으로 발급하면서 클린카드를 신청하지 않는 등 【붙임】“학교법인조선대학교 법인카드 클린카드 미 신청 현황”과 같이 2022. 7. 감사일 현재까지 학교법인 명의로 발급한 총 11 개의 법인카드에 대하여 클린카드로 등록하지 않고 사용한 사실이 있음 【조선간호대학교 법인카드 관리·운영 부적정 관련】-----② - 조선간호대학교는 2019. 10월 법인카드 관리 규정 제정 이후 2022. 7월 감사일 현재까지 조선간호대학교 명의로 발급한 총 40개의 법인카드에 대하여 클린카드로 신청하지 않고 사용한 사실이 있...,* 개인형 기업카드: 사용자를 지정하고 기업과 사용자에게 연대 책임이 있는 신용카드
10,"장학금 지급 업무 부적정 ◦ 조선간호대학교 학생상벌 규정 제21조에 따르면 근신 이상의 처벌을 받은 학생은 학생회 및 기타 간부로서의 자격과 장학금 수혜자격을 상실한다고 되어 있고, 장학금 지급 규정 제30조 제2호","- 조선간호대학교는 N 학생이 2019학년도 2학기 중간 고사 시험 부정행위로 2019. 11. 5. 근신(3일) 처분을 받았음에도 2020학년도 1학기 교내 ♡♡장학금 500 천원을 지급한 사실이 있고, - 또한, 조선간호대학교 상벌 규정 등에서 장학금 수혜 자격 상실에 관한 세부사항 (자격 박탈 기간 등) 을 규정 으로 정하지 아니한",주의(3명); 통보 - 장 학금 관 련 규 정을 개정하여 장학금 수 혜 자 격 상 실 에관 한 세 부 사 항 을 마 련 하 기 바 람
