연번,지적사항,주요내용(요약),처분요구
2,부터 2018.,부터 2018.,부터 2018.
3,까지 총 9회에 걸쳐 이사회 소집 통지기한 (회의 7일 전) 미준수,"- 학교법인 청강학원 소유 ㈜ 0000 주식 처 분 대 금 을 완 수 하 거 나 주식의 소유권을 되찾는 등 권리확보 조치를 취하기 바람 ◦ 통보(문책) - 000에 대하여 정관 등 관련 규정에 따라 문책(중징계)하기 바람 (1번 , 6번 과병 합 처 리 ) 4. 교육부 미허가 수익용기본재산 (유가증권) 처분 ◦ 59억원 상당의 수익용기본재산(유가증권)을 이사회 심의 및 관할청 허가 없이 처분 【 사립학교법 제27조, 사립학교법 제16조 및 제28조】 【학교법인 청강학원】 ◦경고 - 2명 5. 기본재산 관리 부당 ◦ 수익용기본재산 (주택, 공장 부동산) 합계 2필지 및...","까지 총 9회에 걸쳐 이사회 소집 통지기한 (회의 7일 전) 미준수 【사립학교법 제17조, 학교법인 청강학원 정관 제30조】 【학교법인 청강학원】; 경고 - 2명 3. 유가증권 부당 양도 및 배당 손실; 이사회 심의 및 교육부 허가 없이 수익용 기본재산인 유가증권을 ㈜00에 양도하는 계약을 체결하고 처분대금 완수 이전 ㈜00에 소유권 이전 ･ 그에 따라 법인이 중간배당금 214,570 【학교법인 청강학원】; 통보 - 학 교 법 인 에235,157,490원 {(주)0000 중간배당금 214,570,000원+(주)00 결산 및 중간 배당금 합계 20,587,490원} 상당의 천원을 지급받지 못함 - 또한, 2014년부터 2017년까지 ㈜00의 법인지분 5.08%에 해당하는 배당금 합계 20,587천원 임의 배분 (000 7,716천원, 000의 자녀 3명 4,321천원, 00가든 8,550천원) 【사립학교법 제27조, 사립학교법 제16조 및 제28조, 사학기관 재무·회계 규칙 제46조 및 제57조】 재산상 손해를 가한 000, 000, 000으로부터 손해액 상당 금액을 회수 또는 변상 등 조치하여 관련회계에 보전하고 (단, 000은 (주)000 중간배당금 214,570,000원만 관련) - 학교법인 청강학원 소유 ㈜ 0000 주식 처 분 대 금 을 완 수 하 거 나 주식의 소유권을 되찾는 등 권리확보 조치를 취하기 바람; 통보(문책) - 000에 대하여 정관 등 관련 규정에 따라 문책(중징계)하기 바람 (1번 , 6번 과병 합 처 리 ) 4. 교육부 미허가 수익용기본재산 (유가증권) 처분; 59억원 상당의 수익용기본재산(유가증권)을 이사회 심의 및 관할청 허가 없이 처분 【 사립학교법 제27조, 사립학교법 제16조 및 제28조】 【학교법인 청강학원】; 경고 - 2명 5. 기본재산 관리 부당; 수익용기본재산 (주택, 공장 부동산) 합계 2필지 및 교육용기본재산 (콘도 소유권) 을 취득하고 관할청에 未보고 ･ 그 중 주택 (토지 281㎡, 건물 254.29㎡) 및 콘도소유권은 이사회 심의‧ 의결 없이 취득; 수익용기본재산인 수시 RP 등 유가증권 2개 종목 (평가액 : 564백만원) 을 관할청 허가 없이 법인 보통재산으로 관리 【학교법인 청강학원】; 경고 - 2명 【 청강문화산업대학교】; 경고 - 1명 【 사립학교법 제16조, 제27조, 제28조, 사학기관재무 ․ 회계규칙 제4조, 대학설립·운영 규정 제7조 및 제11조, 】 6. 비상근 이사장 보수 지급 부적정; 법인회계에서 비상근 000에게 보수 합계 272,000천원 지급 【사립학교법 제26조 및 제27조, 학교법인 청강학원 정관 제23조】 【 청강문화산업대학교】; 3번에 포함조치 - 1명; 통보(문책) - 000에 대하여 정관 등 관련 규정에 따라 문책하기 바람 (3번에 포함조치); 시정(회수) - 상 근하 지 아 니한 000 에게 지 급 한 보 수 합계 272,000천원을 000으 로 부 터 회수하여 법인 회 계 에 세입조치 하기 바람 7. 법인 업무 전담직원 급여 교비회계 집행 부적정; 2015."
3,부터 2018.,부터 2018.,부터 2018.
4,"까지 법인 수익사업체 대표 및 법인업무 전담직원 인건비 합계 177,815천원 교비회계 집행","까지 법인 수익사업체 대표 및 법인업무 전담직원 인건비 합계 177,815천원 교비회계 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제4조】 【학교법인 청강학원】 ◦1번에 포함조치 - 1명 【 청강문화산업대학교】 ◦ 경고 - 3명 ◦ 시정 - 법인 수익사업체 대표 및 법인업무를 전담 한 000에게 지급한 급여 등 177,815천 원 상 당 을 법인회계에서 교비회계로 전출하기 바람 8. 법인세 환급금 교비회계 지연 전출 ◦ 2014회계연도부터 2016회계연도까지 대학분 법인세 환급금(합계 451,717천원)을 적게는 8일 에 서 많 게 는 58일 까 지 교 비...","까지 법인 수익사업체 대표 및 법인업무 전담직원 인건비 합계 177,815천원 교비회계 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제4조】 【학교법인 청강학원】; 1번에 포함조치 - 1명 【 청강문화산업대학교】; 경고 - 3명; 시정 - 법인 수익사업체 대표 및 법인업무를 전담 한 000에게 지급한 급여 등 177,815천 원 상 당 을 법인회계에서 교비회계로 전출하기 바람 8. 법인세 환급금 교비회계 지연 전출; 2014회계연도부터 2016회계연도까지 대학분 법인세 환급금(합계 451,717천원)을 적게는 8일 에 서 많 게 는 58일 까 지 교 비 회 계 로 지 연 전 출 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제4조】 【학교법인 청강학원】; 주의 - 2명 9. 법인 수익사업 未공고; 학교법인에서 커피숍 등을 운영할 목적 으로 설립한 수익사업체 ‘카페00’를 법인 수익사업체로 未공고 【사립학교법 제6조】 【학교법인 청강학원】; 경고 - 2명; 시정 - 학 교 법 인 청 강 학 원 이 커 피 숍 으 로 운 영 하 고 있 는 ‘카 페 00’를 수 익 사 업 체 로 공 고 하 기 바 람 10. 업무용 차량 관리 부적정; 법 인 업무용 차량을 구입한 이후 6개월간 차량운행 관련 증빙자료를 작성하지 않은 채 비상근 이사장이 사용하도록 하는 등 차량관리 소홀 【사학기관 재무 ․ 회계규칙 제4조, 제48조, 제49조 및 제50조】 【학교법인 청강학원】; 경고 - 2명; 통보 - 법인 업무용차량을 개인적으로 사용하는 일이 없도록 관련 규정을 마련하여 시행하기 바람 11. 업무추진비 집행 부적정; 2015."
4,"까지 사용목적 등 명시 없이 휴일에 법인카드로 합계 26,595천원 결제","까지 사용목적 등 명시 없이 휴일에 법인카드로 합계 26,595천원 결제 ◦ 000이 학교 관련 출장 및 공무외 출국 기간에 국외에서 사용한 합계 1,149천원을 법인회계 업무추진비로 집행 【학교법인 청강학원】 ◦ 경고 - 2명 ◦ 시정(회수) - 사 용 목 적 등 명 시 없 이 휴일에 집행한 업무 추진비 9,623천원과 000이 사용한 법인 업무추진비 사용액 【사학기관 재무 ․ 회계규칙 제4조, 제21조 및 제32조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조, 제15조 제2항 및 제17조】 1,149천원을 당사자 들로부터 회수하여 법인회계에 세입조치 하기...","까지 사용목적 등 명시 없이 휴일에 법인카드로 합계 26,595천원 결제; 000이 학교 관련 출장 및 공무외 출국 기간에 국외에서 사용한 합계 1,149천원을 법인회계 업무추진비로 집행 【학교법인 청강학원】; 경고 - 2명; 시정(회수) - 사 용 목 적 등 명 시 없 이 휴일에 집행한 업무 추진비 9,623천원과 000이 사용한 법인 업무추진비 사용액 【사학기관 재무 ․ 회계규칙 제4조, 제21조 및 제32조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조, 제15조 제2항 및 제17조】 1,149천원을 당사자 들로부터 회수하여 법인회계에 세입조치 하기 바람 【 청강문화산업대학교】; 경고 - 1명 【교직원 인사‧ 복무】 12. 겸직허가 未신청 교원 영리활동 종사; 2015년도부터 2017년도까지 전임교수 6명이 총장에게 겸직허가 신청 없이 영리 활동 종사 【사립학교법 제55조 제1항, 국가공무원법 제64조 및 국가공무원 복무규정 제26조, 청강문화산업대학교 교원 복무규정 제5조국가공무원 복무 ․ 징계 관련 예규 제10장】 【 청강문화산업대학교】; 경고 - 6명; 통보 - 감 사 기 간 중 소 득 관 련 (연말정산 등) 증빙 미제출 교직원에 대하여 겸직, 영리 활동 종사 등의 적정성 여부 등을 확인하여 관련 규정 등에 따라 적의 조치하기 바람 13. 교원 휴가 등 복무규정 미비; 교원복무(휴가신청 및 승인절차 등)에 대한 세부규정 미비 【사립학교법 제55조 제1항, 국가공무원법 제58조 및 국가공무원 복무규정 제14조】 【 청강문화산업대학교】; 기관경고; 개선 - 복무관련 자체규 정 을 상 위법 령 에 맞게 정비 하기 바람 14. 신원조사 未실시 등 교직원 채용절차 부적정; 2015. 3."
1,부터 2018. 4.,부터 2018. 4.,부터 2018. 4.
20,까지 51명의 교직원을 신규 임용하면서 신원조사를 실시하지 않거나 신원조사 회보 전 임용,"까지 51명의 교직원을 신규 임용하면서 신원조사를 실시하지 않거나 신원조사 회보 전 임용 【 청강문화산업대학교】 ◦ 경고 - 10명 ◦ 통보 【사립학교법 제54조의3 제5항, 학교법인 청강학원 정관 제65조, 교육부 보안업무규정 시행세칙 제6조 및 제7조】 - 결격사유 등을 확인 하지 않고 임용한 교직원에 대해 결격 사유 등을 확인하고, 부적격자에 대해서는 적의 조치하기 바람 15. 사무직원 임용관련 소송경비 교비회계 집행 부적정 ◦ 법인회계에서 집행해야 할 7건의 소송 비용 합계 26,879천원 교비회계 집행 【사립학교법 제2조 및 제70조의2 제2항, 제29조 제...","까지 51명의 교직원을 신규 임용하면서 신원조사를 실시하지 않거나 신원조사 회보 전 임용 【 청강문화산업대학교】; 경고 - 10명; 통보 【사립학교법 제54조의3 제5항, 학교법인 청강학원 정관 제65조, 교육부 보안업무규정 시행세칙 제6조 및 제7조】 - 결격사유 등을 확인 하지 않고 임용한 교직원에 대해 결격 사유 등을 확인하고, 부적격자에 대해서는 적의 조치하기 바람 15. 사무직원 임용관련 소송경비 교비회계 집행 부적정; 법인회계에서 집행해야 할 7건의 소송 비용 합계 26,879천원 교비회계 집행 【사립학교법 제2조 및 제70조의2 제2항, 제29조 제6항】 【학교법인 청강학원】; 개선 - 사립학교법 규정에 어 긋나게 학교 소속의 사무직원을 학 교 장 이 임 용 하 도 록 규정한 학 교 법 인 청 강 학 원 정 관 을 상위법령에 맞게 개정 하기 바람 16. 未 성과평가자 성과상여금 지급; 성과평가를 거치지 아니한 4명에게 교비 회계에서 성과상여금 합계 168,045천원 지급 【사학기관 재무·회계규칙 제4조 및 사학기관 재무·회계규칙에 대한 특례규칙 제15조제1항제2호】 【 청강문화산업대학교】; 경고 - 10명; 통보 - 성 과 상 여 금 은 교 직 원 의 성 과 평 가 결 과 에 따 라 지급하기 바람 17. 전임총장 보수지급 규정 이사회 未의결; 이사회 의결 없이 총장 결재로 전 총장 (당시 00원장)에게 보수 합계 219,209천원 지급 【학교법인 청강학원 정관 제27조 제2항 및 제45조】 【 청강문화산업대학교】; 기관경고; 통보 - 향후, 교원 보수 관련 사항은 이사회 의결을 거쳐 규칙으로 정하기 바람 【입시‧ 학사】 18. 수시전형 면접고사 점수 처리 부당; 2016학년도 수시모집 1차 사정회를 실시 하면서 면접점수를 사정부에 잘못 적용 하여 응시자 4명의 최종 순위 전도 【고등교육법 제34조 제2항 및 고등교육법 시행령 제34조, 청강문화산업대학교 푸드스쿨 2016학년도 수시모집 1차 입학전형선발(사정) 자료】 【 청강문화산업대학교】; 경징계 - 1명; 통보(문책) - 푸 드 스 쿨000,전 푸 드 스 쿨 000(현 애 니 메 이 션 스 쿨 ) 을 정 관 등 자체규정 에 따라 ‘문 책 (경 징 계 )’ 하 기 바 람 19. 미출석 취업자 학점부여 부적정; 취업확인 증빙자료를 제출하지 않고 미출석한 졸업예정자 43명에 대해 최소 9학점에서 22학점까지 해당학기 신청 학점 인정‧ 부여 【청강문화산업대학교 학칙시행세칙, 청강문화산업대 학교 미출석 취업자 학점부여 세부운영지침】 【 청강문화산업대학교】; 경고 - 25명; 통보 - 건강보험가입(사실) 확인서 등 증빙을 재확인하여 위장 취업으로 판별된 학생들에게 부여한 성 적을 취 소 하기 바람 20. 대학 및 산업체 근무경력 학점인정 부적정; 1학년 3명이 전공과 관련 없는 학과에서 학점을 취득한 것에 대해 학점인정심의 위원회에서 ‘유관학과’로 분류하여"
60,"학점 인정 - 또한, 편입생 1명이 이전 대학에서 현재 전공과 무관하게 이수한 3과목을 전공 선택과목으로 임의 인정","학점 인정 - 또한, 편입생 1명이 이전 대학에서 현재 전공과 무관하게 이수한 3과목을 전공 선택과목으로 임의 인정 ◦ 학생 2명이 제출한 산업체 근무경력에 대해 아무런 검증 없이 각 30학점 인정 【 청강문화산업대학교】 ◦ 경고 - 4명 【고등교육법 제23조 제1항 제1호 및 제6호, 고등교 육법 시행령 제15조 제1항 및 제2항, 산업체 근무 경력 등 학점 인정 기준(안) (전문대학정책과 -1534, 2014. 2. 25.), 청강문화산업대학교 학점 인정심의 규칙 제4조】 21. 교직 적성 및 인성 검사 판정 부적정 ◦ 교직 적성 및 인성 검사에서 부적격 판정 받...","학점 인정 - 또한, 편입생 1명이 이전 대학에서 현재 전공과 무관하게 이수한 3과목을 전공 선택과목으로 임의 인정; 학생 2명이 제출한 산업체 근무경력에 대해 아무런 검증 없이 각 30학점 인정 【 청강문화산업대학교】; 경고 - 4명 【고등교육법 제23조 제1항 제1호 및 제6호, 고등교 육법 시행령 제15조 제1항 및 제2항, 산업체 근무 경력 등 학점 인정 기준(안) (전문대학정책과 -1534, 2014. 2. 25.), 청강문화산업대학교 학점 인정심의 규칙 제4조】 21. 교직 적성 및 인성 검사 판정 부적정; 교직 적성 및 인성 검사에서 부적격 판정 받은 학생 5명에 대해 재검사 없이 후속프로그램 (도서 감상문 및 성찰일지 작성) 이행만으로 ’적격‘ 판정 【교원자격검정령 제19조 제3항 관련 [별표1] 제3호】 【 청강문화산업대학교】; 경고 - 4명 22. 현장실습 방문지도․ 관리 부적정; 현장실습 지도교수 59명이 재학생 1,644명(기간 별 중복인원 포함)이 참여한 현장실습기관에 대해 방문·지도점검 미실시 【대학생 현장실습 운영규정 (교육부고시 제 2017-115호, 2017.3.1., 전부개정) 제5조 제4호, 교육부현장실습 운영매뉴얼(2013~2017)】 【 청강문화산업대학교】; 기관경고 23. 총장 미허가 교수시간 예외 인정 등; 2015-1학기부터 2018- 1학기까지 4개 스쿨에서 총장 결재가 아닌 원장 전결로 교원 11명(누적인원)에 대한 기본시수 예외(총 39.2시간 미달) 인정; 2015-1학기부터 2018-1학기까지 시간강사 16명에게 규정상의 최대수업시수 대비 적게는 1시간에서 많게는 17.98시간을 초과한 수업시수 부과 【청강문화산업대학교 학칙 제29조의2 제1항, 청강문화 산업대학교 수업지침"
3,"가. 및 7., 청강문화산업대 학교 강사위촉 규정 제8조】","가. 및 7., 청강문화산업대 학교 강사위촉 규정 제8조】 【 청강문화산업대학교】 ◦ 주의 - 29명 24. 강의계획서 전산 미입력 ◦ 교원 136명이 총 295개 교과목에 대한 강의 계획서를 대학종합정보시스템에 미입력 【청강문화산업대학교 학칙 시행세칙 제14조, 청강문화 산업대학교 수업지침","가. 및 7., 청강문화산업대 학교 강사위촉 규정 제8조】 【 청강문화산업대학교】; 주의 - 29명 24. 강의계획서 전산 미입력; 교원 136명이 총 295개 교과목에 대한 강의 계획서를 대학종합정보시스템에 미입력 【청강문화산업대학교 학칙 시행세칙 제14조, 청강문화 산업대학교 수업지침"
4,가.】,"가.】 【 청강문화산업대학교】 ◦ 기관경고 25. 등록금 초과 장학금 지급 ◦ 2015. 1학기부터 2017. 2학기까지 학생 10명에게 등록금 대비 합계 1,851천원을 초과하여 장학금 지급 【2015~2017년 한국장학재단 국가장학금 업무처리지침 청강문화산업대학교 장학규정 제10조 제1항】 【 청강문화산업대학교】 ◦ 경고 - 9명 【예산‧ 회계】 26. 교통지원비 지급 부적정 ◦ 업무용 차량이 제공되는 00원장 (현 00) 에게 여비교통비 과목에서 교통지원비 합계 25,000천원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례...","가.】 【 청강문화산업대학교】; 기관경고 25. 등록금 초과 장학금 지급; 2015. 1학기부터 2017. 2학기까지 학생 10명에게 등록금 대비 합계 1,851천원을 초과하여 장학금 지급 【2015~2017년 한국장학재단 국가장학금 업무처리지침 청강문화산업대학교 장학규정 제10조 제1항】 【 청강문화산업대학교】; 경고 - 9명 【예산‧ 회계】 26. 교통지원비 지급 부적정; 업무용 차량이 제공되는 00원장 (현 00) 에게 여비교통비 과목에서 교통지원비 합계 25,000천원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호, 청강문화산업대학교 차량관리 규정 제13조】 【청강문화산업대학교】; 경고 - 7명; 시정(회수) - 업무용 차량이 제공됨 에도 교 통 지 원 비 를 지 급 받 은 000으 로부 터합 계 25,000천 원 을 회 수 하 여 교 비 회 계 로 세 입 조 치 하 기 바 람 27. 학생기숙사 교직원 사용; 학생기숙사 2개동 내 14실 (2인 1실) 을 교직원 135명 (누적인원) 이 사용 【사학기관 재무 ･ 회계 규칙 제43조, 대학설립 ･ 운영 규정 제4조 제1항 관련 ‘별표2’ 및 제3항】 【청강문화산업대학교】; 기관주의; 통보 - 학생기숙사를 당초 설립 목적대로 사용 하기 바람 28. 청강문화사랑 카드(복지포 인트) 운영 부적정; 전 년 도 인 사 평 가 미 평 가 자 인 교직원 5명에게 복지포인트 성과점수 합계 2,100점 (2,100천원 상당) 부여 - 특히, 2017. 4. 13. 건강검진비 영수증 (1,697천원)을 제출한 000에게 복지포인트 차감분 1,000천원 외에 687천원 추가 지급 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호, 2016~2018학년도 청강 문화사랑카드 운영 계획】 【청강문화산업대학교】; 경고 - 7명; 시정(회수) - 초과 집행한 복지포 인트 비용 합계 2,497 천원 {(300×6) + 697} 을 당사자들로부터 회 수하여 교비회계로 세입조치하기 바람; 시정 - 2018회계연도 000의 성과점수 복지포인트 300점(300천원)을 감액하 기 바람 29. 교직원 워크숍 비용 집행 부적정; 교직원 워크숍을 실시하면서 출장 未실시 교직원 9명에게 일비 및 식비 합계 2,520천원 지급; 00원장에게 위 워크숍 참가 지원비 명목으로 560천원을 지급하고 未 정산 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호, 청강문화산업대학교 여비규정 제5조】 【청강문화산업대학교】; 경고 - 7명; 시정(회수) - 출장 未실시 교직원 에 게 지 급 한여 비 합계 2,520천원을 당 사 자 들 로 부 터 회 수 하여 교비 회계에 세입조치하기 바람; 통보 - 未 정 산 한 프 로 그 램 참 가 지 원 비 560천 원 에 대 해 정 산 을실 시 하 고 , 증 빙 이 되 지 않 는 금 액 은 당 사 자 로 부 터 회 수 하 여 교 비 회 계 로세 입 조 치 하 기바 람 30. 실습수입 세입처리 부적정; 2회에 걸쳐 교외실습장 실습부산물 판매 수입 합계 17,607천원을 미래원장 000의 개인명의 또는 무기명 법정기부금으로 세입처리 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조 관련 ‘별표1’】 【청강문화산업대학교】; 경고 - 5명 31. 추가경정예산 편성 전 자금예산 초과집행; 2016회계연도부터 2017회계연도까지 추가 경정예산 편성 전에 13개 세출예산과목 에서 합계 779,437천원 초과 집행 【사학기관 재무 ･ 회계 규칙 제18조 및 제20조】 【청강문화산업대학교】; 주의 - 6명 32. 설립자 추모식 행사비 교비회계 집행; 설립자 추모식 행사비 합계 71,540천원 교비회계 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무 ･ 회계 규칙 제17조 제1항 관련 별표3】 【청강문화산업대학교】; 경고 - 8명; 시정 - 교 비 회 계 에 서부 적 정 하 게 집 행 한 설 립 자 추 모 식 행 사 비합 계71,540천 원 을 법 인 회 계 에 서 교 비 회 계 로 전 출 하 기 바 람 33. 가지급금 정산기한 未준수; 가지급금 지출 10건 (22,276천원) 에 대하여 기한을 도과하여 정산 【사학기관 재무 ･ 회계 규칙 제4조, 청강문화산업대학교 재무 ･ 회계규정 제25조】 【청강문화산업대학교】; 주의 - 3명 34. 창업보육센터 입주비용 未징수; 창업보육센 터 에 입 주 하 고 있 는 3개 입 주 업 체 로 부 터 입주보 증금 합 계 3,300천 원 未 징 수; 창업보육센터에 입 주 한 10개 입주업체로부터 입주부담금 합계 23,704천원 未징수 【사학기관 재무 ･ 회계 규칙 제4조, 청강문화산업대학교 창업보육센터 입주 계약서 제4조】 【청강문화산업대학교】; 경고 - 5명; 시정(회수) - 未 징 수 한 입 주 보 증 금 과 입 주 부 담 금 합 계 27,004 천 원 을 입 주 업체들로 부터 각각 징수하 여 산 학 협 력 단 회 계 에 세입 조치하기 바람 35. 교직원 보수관련 규정 운영 부적정; ‘교직원 보수규정’에 수당의 명칭(기말 수당 등 16개)만 나열하고 개별 수당의 지급 목적 및 대상 등을 명시하지 않은 채 매년 총장의 내부결재만으로 지급 대상 및 지급금액 등 결정 【사학기관 재무 ･ 회계 규칙 제4조, 학교법인 청강학원 정관 제45조 및 제68조】 【청강문화산업대학교】; 기관경고; 개선 - ｢ 청강문화산업대학교 교직원 보수규정｣ 에 수당의 지급 목적 및 대상 등을 명시 하기 바람 36. 업무용 차량 불용처리 부적정; 2016. 1. 부터 2017. 2. 까지 내용연수(5년)가 지나지 않고, 사용 가능한 업무용 차량 3대 불용처리 【사학기관 재무·회계 규칙 제49조, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제34조 제3항, 청강문화산업 대학교 자산관리규정 제25조】 【 청강문화산업대학교】; 경고 - 5명 37. 가족수당 수령 부적정; 교직원 9명이 부양가족 변경신고를 하지 않고 가족수당 합계 7,980천원 수령 【 청강문화산업대학교】; 경고 - 9명 【청강문화산업대학교 보수규정 제24조 및 제29조, 공 무원수당 등에 관한 규정 제10조에】; 시정(회수) - 부적정하게 지급된 가족수당 합계 7,980천원을 관련자 들로부터 회수하여 교비회계에 세입 조치하기 바람 38. 일반경쟁입찰 대상 용역 수의계약 체결; 일반경쟁입찰 대상 용역 총 13건(계약 금액 합계 3,763,079천원) 수의계약 체결 【사 학 기관 재무 ·회계 규칙 제35조 , 국가 를 당 사 자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호 가목】 【 청강문화산업대학교】; 경고 - 8명 39. 실업급여 지급 부적정 등; 계약직원으로부터 자기부담 고용보험료를 27개월간 원천징수하고도 고용보험 가입 신고를 하지 않아 교비회계에서 실업급여 합계 3,615천원 지급 【사학기관 재무·회계규칙」제4조 및 제57조】 【 청강문화산업대학교】; 경고 - 2명; 통보 - 기 관 부 담 금 을 제 외 한 교 비 손 실 액 에 대 하 여 관 련 자 들 에 게 변 상 등 조 치 를 취 하 기 바 람 40. 수시퇴직금 지급 부당; 희망퇴직 신청 교원인 조교수 000을 희망 퇴직심사위원회에서 ‘비추천’으로 결정 하고 재임용 거부 통지하여 당연퇴직 함에도 000으로부터 재차 희망(수시) 퇴직 신청서를 접수받고 당연 퇴직일에 수시퇴직하는 것으로 결정한 다음 퇴직 수당 65,007,600원 지급 【사학기관 재무·회계규칙 제4조, 청강문화산업 대학교 명예퇴직 및 희망퇴직 규정 제2조 제2 항, 제4조 제1항, 제5항, 제6조 및 제6조2, 제10조】 【 청강문화산업대학교】; 경징계 - 3명; 통보(문책) - 전 교학본부 000을 정 관 등 자 체 규 정 에 따라 ‘문책(경징계)’ 하기 바람; 시정(회수) - 부 적 정 하 게 지 급 된 퇴 직 수 당 합 계 65,007천 원 을 관 련 자 들 로 부 터회 수 하여 교비회계로 세입조치 하기 바람 【시설】 41. 법인 수익용 기본재산(건물) 리모델링 비용 등 교비회계 집행; 2015."
