연번,지적사항,주요내용(요약),처분요구
1,"교육용기본재산(경성문화회관) 시설사용료 법인회계 세입처리 ◦ 사립학교법 제29조에 따르면 학교법인의 회계는 그가 설치ㆍ경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없으며, 사학기관 재무·회계 규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고,","- 학교법인 홍익학원 및 홍익대학교 사범대학 부속 유치원은 2014. 12. 18. 위 유치원 소관 교육용기본 재산인 경성문화회관 (서울시 마포구 소재, 지층~지상 5층, 면적 합계 2,368.16㎡) 에 대하여 사설학원 {(주)◯◯ 및 ㈜□□, 대표 A} 과 ‘시설물 사용 약정 계약 (계약기간 : 2015.1.1.~ 2017.12.31.) ’을 체결한 다음 2015년 연간 시설사용료 합계 209,280,000원 중 112,680,000원을 위 법인에 기부 하게 하는 등【붙임】“교육용기본재산 (경성문화회관) 시설사용료 법인회계 세입처리 현황”과 같이 2015. 1....","교육용기본재산(경성문화회관) 시설사용료 법인회계 세입처리; 사립학교법 제29조에 따르면 학교법인의 회계는 그가 설치ㆍ경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없으며, 사학기관 재무·회계 규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고,「사학기관 재무· 회계 규칙에 대한 특례 규칙 제15조에 따르면 회계 처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 한다고 되어 있는데도, - 학교법인 홍익학원 및 홍익대학교 사범대학 부속 유치원은 2014. 12. 18. 위 유치원 소관 교육용기본 재산인 경성문화회관 (서울시 마포구 소재, 지층~지상 5층, 면적 합계 2,368.16㎡) 에 대하여 사설학원 {(주)◯◯ 및 ㈜□□, 대표 A} 과 ‘시설물 사용 약정 계약 (계약기간 : 2015.1.1.~ 2017.12.31.) ’을 체결한 다음 2015년 연간 시설사용료 합계 209,280,000원 중 112,680,000원을 위 법인에 기부 하게 하는 등【붙임】“교육용기본재산 (경성문화회관) 시설사용료 법인회계 세입처리 현황”과 같이 2015. 1. 부터 2019. 6. 현재까지 위 유치원 소관 교육용기본 재산인 경성문화회관에 대하여 ㈜◯◯ (대표 A) 등 사설 학원 6곳과 ‘시설물 사용 약정 계약’을 체결한 다음 위 기간 동안의 시설사용료 합계 959,679,000원 중 526,086,200원을 법인회계로 세입 (기부금) 처리한 사실 이 있음 ※ 2019. 4. 외부 회계법인을 통한 결산 감사시 지적을 받아 7월 이후부터는 시설사용료 전액 유치원회계로 세입처리 【학교법인 홍익학원】; 경고(2명); 시정 - 부속유치원 소관 교 육 용 기 본 재 산 시설사용료 합계 5 2 6 ,086,200원을 법인회계에서 유치원 회계 로 전출 하 기 바 람 【 사 범 대 학 부 속 유 치 원 】; 경고(2명); 통보 - 교육용기본재산인 ‘ 경성 문화 회관 ’ 을 교육용으로 활용하기 바람 【경성고등학교】; 경고(1명) 【 붙임 】 교육용기본재산(경성문화회관) 시설사용료 법인회계 세입처리 현황 (단위:원) 연번 연도 사용자 (사용기간) 사용 공간 보증금 시설사용료 유치원 회계 법인회계 (기부금) 합계 1 2015 ㈜◯◯(A) (2015.1.1.~2015.12.31.) 1,493.98㎡ (지층, 1층, 2층, 4층) 139,000,000 96,600,000 112,680,000 209,280,000 ㈜□□(A) (2015.1.1.~2015.12.31.) 874.18㎡ (3층, 5층) 2 2016 ㈜◯◯(A) (2016.1.1.~2016.12.31.) 1,493.98㎡ (지층, 1층, 2층, 4층) 139,000,000 96,600,000 112,680,000 209,280,000 3 ㈜□□(A) (2016.1.1.~2016.12.31.) 874.18㎡ (3층, 5층) 4 2017 ㈜◯◯(A) (2017.1.1.~2017.12.31.) 1,493.98㎡ (지층, 1층, 2층, 4층) 139,000,000 96,600,000 112,680,000 209,280,000 5 ㈜□□(A) (2017.1.1.~2017.12.31.) 874.18㎡ (3층, 5층) 6 2018 ㈜◯◯(A) (2018.1.1.~2018.2.28.) 1,493.98㎡ (지층, 1층, 2층, 4층) 139,000,000 16,100,000 18,780,000 34,880,000 7 ㈜□□(A) (2018.1.1.~2018.2.28.) 874.18㎡ (3층, 5층) 8 ㈜-----(---) (2018.3.1.~2018.12.31.) 1,068.49㎡ (지층, 1층, 2층) 59,004,000 31,928,000 42,317,000 74,245,000 9 ㈜--------(---, ---) (2018.3.1.~2018.12.31.) 425,49㎡ (3층) 29,502,000 15,960,000 21,158,000 37,118,000 10 ㈜------(---) (2018.3.1.~2018.12.31.) 425,49㎡ (4층) 29,502,000 15,960,000 21,158,000 37,118,000 11 ㈜--------(---) (2018.3.1.~2018.12.31.) 425,49㎡ (5층) 29,502,000 15,960,000 21,158,000 37,118,000 12 2019 ㈜------(---) (2019.1.1.~2019.6.30.) 1,068.49㎡ (지층, 1층, 2층) 59,004,000 19,156,800 25,390,200 44,547,000 13 ㈜--------(---, ----) (2019.1.1.~2019.6.30.) 425,49㎡ (3층) 29,502,000 9,576,000 12,695,000 22,271,000 14 ㈜------(---) (2019.1.1.~2019.6.30.) 425,49㎡ (4층) 29,502,000 9,576,000 12,695,000 22,271,000 15 ㈜--------(---) (2019.1.1.~2019.6.30.) 425,49㎡ (5층) 29,502,000 9,576,000 12,695,000 22,271,000 합계 433,592,800 526,086,200 959,679,000 감사결과 처분서 기관명 : 학교법인 홍익학원"
2,"수익용기본재산(유가증권) 관리 부적정 ◦ 사학기관 재무회계 규칙 제4조에 따르면 법인과 학교의 회계는 건전하게 운영하여야 하고, 사학기관 재무회계에 대한 특례 규칙 제2조에 따르면 법인의 수익사업회계는 일반적으로 인","- 학교법인 홍익학원은 1954년경 B가 대표이사인 △△ 주식 회사의 주식 전부 (학교법인 홍익학원 지분율 100%, 926,960주, 취득가액 : 4,634,800천원) 를 기부받아 수익용기본재산 (유가증권) 으로 취득·관리하면서, 위 회사가 2000년 8월경 생산시설 전부를 매각하여 20년째 영업활동을 중단한 채 명목회사 (보유자산–예금 5,190,236천원, KB금융지주 주식 12,789천원) 로 유지되고 있음에도, 지분 투자에 대한 안정성 및 수익성 등을 검토하지 아니하고, 위 회사의 1인 주주임에도 청산 등을 통한 자본금의 회수 조치 없이 2019. 10....","경고(3명); 통보 - 명목회사로 유지되고 있는 ‘△△ 주식’(926, 960주 )에 대 해 교육 부 허 가 를 받 아 청 산등 을 통 해학교법인이 보유 중인 지분에 대한 잔 여 재산을 분배받아 수익용기본재산으로 대체 취득하는 등 조치를 취하고, - 청산 종결 간 주 등기 된 ‘ ▷▷ ’ 주식 (6,000주 ) 에 대해 서는 교 육 부 허 가 를 받아 적의 조치 하기 바람 <참고> 수익용기본재산(유가증권) 보유 현황 구 분 △△ 주식회사 ▷▷ 주식회사 대표이사 - C 임원 이사 : - - 이사 : - - 감사 : - - 청산종결간주등기 회사 보유자산 5,215,881,318원 · 예 금 : 5,190,236,478원 · 이자소득 선급법인세 : 12,855,240원 · KB금융지주 주식 : 12,789,600원 - 학교법인 장부가액 4,634,800,000원 30,000,000원 학교법인 보유 주식수 926,960주 6,000주 학교법인 지분율 100% 1.25% 최근 5년간 학교법인 귀속수익 구분 금액 (기부금) 내역 없음 2015년 150,000,000원 (예금이자 등) 2016년 150,000,000원 (예금이자 등) 2017년 150,000,000원 (예금이자 등) 2018년 150,000,000원 (예금이자 등) 2019년 150,000,000원 (예금이자 등) 합 계 750,000,000원 감사처분 결과보고서 기관명 : 홍익대학교"
3,교육용기본재산(부동산) 취득 부적정 ◦,"- 홍익대학교는 2019. 10. 1. ’교지 (확보율 22.9%) 및 교사 (126.9%) 확보율 제고‘ 명목으로 교육․연구 활동에 지장이 없는지에 대한 면밀한 검토없이 제3자들간 임대차 계약이 다수 (총 58건, 임대차보호법 적용대상 24건 포함) 체결되어 있고 임대인에게 법적 제약이 적지 아니한 ‘서울시 마포구’ 소재‘ㄱ’ 건물 2채 {집합건물(상가+오피스텔), 부지 3386.6㎡, 건물 14,821.7㎡} 를 교육용기본재산으로 취득 (금액 540억원, 계정과목 : 교비회계 건축기금) 한","기관경고; 통보 - 교육용기본재산인 ‘ㄱ‘ 건물 2채에 대 하여 당초 매입 목 적대로 교육용으로 사용하기 위한 구체 적 활용방안을 수립 하여 보고하기 바람 <참고> 교육용기본재산 (‘ㄱ’) 임대차 계약 현황 ( 단위 : 원 ) 연번 임차인 동 호실 임대면적(㎡) 보증금 월 임대료 계약기간 상가임대차보호법 적용 시 최대 임차기간 1 - - - A B1F 창고 90.91 - 1,375,000 2019.8.1. ~ 2021.7.31. 미적용 (보증금 9억원 초과) A 101-3 271.07 287,000,000 3,936,000 A 102 278.38 252,630,000 9,515,730 A 201 1,703.80 1,200,944,000 23,491,560 A 202 A 302 717.36 517,545,000 9,580,550 A 303 363.64 262,350,000 4,856,500 A B1F 창고(부속) 82.64 10,000,000 272,727 2 - - - A B101 624.79 100,000,000 5,623,000 2018.4.1. ~ 2020.3.31. 2023.01.15 3 - - - A 1F LOBBY 1.75 - 400,000 2018.7.4. ~ 2020.7.3. 미적용 (설치 공간 임대 건) 4 - - - A 101-1 319.01 100,000,000 6,765,000 2019.7.1. ~ 2020.6.30 2022.4.9. ... 중 략 56 - - - B 202 99.17 20,000,000 1,480,000 2019.3.5. ~ 2021.3.4. 2028.3.4. 57 - - - B 301 538.84 50,000,000 4,142,000 2019.7.1. ~ 2021.6.30. 2021.6.30. B 401 99.17 30,000,000 1,240,000 58 - - - B 501 171.90 30,000,000 2,612,000 2019.9.15. ~ 2021.9.14. 2029.9.14. 합 계 13,840.1 7,747,464,000 176,022,937 감사결과 처분서 기관명 : 홍익대학교"
4,교육용기본재산 관리 부적정 ◦,"- 홍익대학교는 2014. 2. 15. 학교법인 홍익학원의 수익용 기본재산인 ‘경기도 화성시 기안동 소재 (전, 6,959㎡) 등 6필지 (26,781㎡) ’를 “공과대학 및 건축도시대학원 실습장 등 캠퍼스”로 활용하고자 교육용 기본재산으로 용도변경 신청하여 교육부의 승인을 받았음에도 위 기안동 소재 토지를 용도대로 사용하지 않아 2016. 9. 30. 재산세 3,910,209원을 교비회계에서 납부하는 등 【붙임】“교육용 기본재산 未활용에 따른 재산세 납부 현황”과 같이 2016. 9.부터 2019. 10.까지 위 토지 등 교육용 기본재산 6필지 (면적합계 : 26,...","경고(5명); 통보 - 경기도 화성시 기안동 소재 등 교육용 기본 재산 6필지(면적합계 26,781 ㎡ )를 용도대로 활용하거나, 교육용 으 로 활 용 이 불 가 능 할 경우 매각하여 교비 회계에 세입조치하기 바람 【붙임】 교육용 기본재산 未활용에 따른 재산세 납부현황 (단위 : ㎡, 원) 연번 소재지 지목 취득일 (용도변경) 부과 면적 납부 내역 2016 2017 2018 2019 계 1 경기도 화성시 기안동 소재 전 2002. 7. 23. (2014. 2. 15.) 6,959 3,910,209 4,409,440 4,532,166 4,611,420 17,463,235 2 - 전 11,600 12,491,119 12,793,397 13,119,777 14,278,972 52,683,265 3 - 전 5,870 8,715,902 8,928,074 9,157,323 10,039,594 36,840,893 4 - 대지 251 522,040 548,277 567,033 659,832 2,297,182 5 - 전 1,903 3,758,524 3,731,517 3,763,571 4,081,598 15,335,210 6 - 전 198 384,991 388,250 391,585 424,674 1,589,500 합 계 26,781 29,782,785 30,798,955 31,531,455 34,096,090 126,209,285 감사결과 처분서 기관명 : 학교법인 홍익학원, 홍익대학교"
5,대학직원 법인업무 부적정 수행 ◦,"- 학교법인 홍익학원 및 홍익대학교는 대학 D를 ‘05. 10.부터 2019. 10. 감사일 현재까지 법인세 신고 등 법인업무를 담당하게 하는 등【붙임】“대학직원 법인 업무 부적정 수행 현황”과 같이 2019. 10. 감사일 현재 까지 위 D 등 홍익대학교 직원 6명에 대하여 소속 부서장 경유, 총장 승인 등 사전절차 진행 여부를 확인할 공문상 근거 없이 법인세 신고 등 법인업무를 담당하게 한","【학교법인 홍익학원】; 경고(1명) 【홍익대학교】; 경고(2명) 【붙임】 대학직원 법인업무 부적정 수행 현황 연 번 소속 직위 성명 법인업무 수행기간 담당업무 학교 법인 1 - - D ‘05.10.~현재 ·결산 총괄 ·급여 등 지급금 총괄 ·자금 관리 총괄 ·법인세 신고 ·법인수익용건물(해양 수련원) 회계 2 - - - ‘11.9.~‘16.8. ‘17.9.∼현재 ·대학 관재업무 총괄 ·수익용 부동산(강남관, 만리포수련원) 임대 및 용역 업무 3 - - - ‘16.9.∼’17.8. ·대학 관재업무 총괄 ·수익용 부동산(강남관, 만리포수련원) 임대 및 용역 업무 4 - - - ‘12.4.∼현재 ·위탁운영시설 계약 ·산학협력시설 계약 ·강남관(빌딩) 임대 및 용역 업무 5 - - - ‘18.3.~‘19.9. ·위탁운영시설 계약 ·용역업체 계약 · 만 리 포 해 양 수 련 원 임대 및 용역 업무 6 - - - ‘14.4.~‘17.8. ·사무처 업무 총괄 ·법인재산관리 등 계약 체결 감사결과 처분서 기관명 : 학교법인 홍익학원, 홍익대학교"
6,촉탁직원 채용 부적정 ◦,"- 학교법인 홍익학원은 2007. 3. 1. 법인사무국장으로 정년퇴직한 (‘07. 2. 28.) E를 촉탁직으로 채용하고도 2018. 2. 28.까지 법인사무국장 직위를 부여하여 업무를 수행하게 한 사실이 있고, ※ ’18. 2. 28. 의원면직 후 감사일 현재까지 법인사무국장 공석 - 홍익대학교는 2009. 3. 1. 사무처장으로 정년퇴직한 (‘09. 2. 28.) F를 촉탁직으로 채용하고도 2012. 2. 29.까지 사무 처장에 보하여 근무하게 하였고, 2012. 3. 1. 위 F를 촉탁직으로 다시 채용하여 2017. 8. 31.까지 사무처장 직위를 부여하여 업무...",※ ’17. 8. 31. 의원면직 후 감사일 현재까지 사무처장 공석 【학교법인 홍익학원】; 경고(3명) 【홍익대학교】; 경고(7명); 통보 - 촉탁직원 채용은 정관 등에서 정하는 바에 따라 공정·투명하게 운영하기 바람 감사결과 처분서 기관명 : 홍익대학교
7,일반경쟁 입찰대상 용역계약 체결 부적정 ◦,"- 홍익대학교는 2016. 3. 15. 일반경쟁 입찰대상인 ‘만리포 해양연수원 경비 및 시설관리 용역’ (계약금액 110,616 천원, 계약기간 ‘16. 4. 1. ∼ ’18. 3. 31.) 을 ㈜▽▽ 와 수의계약 으로 체결하는 등 【 붙임 】 “일반경쟁 입찰대상 용역 수의계약 체결 현황”과 같이 2016. 3.부터 2019. 10. 까지 일반경쟁 입찰대상 용역 5건 (계약금액 합계 1,289,268천원) 을 수의계약으로 체결한","경고(6명); 통보(문책)(1명) 【붙임】 일반경쟁 입찰대상 용역 수의계약 체결 현황 (단위 : 천원) 연 번 계약일자 계약건명 계약금액 계약기간 계약업체 (대표자) 비고 (담당자) 1 2016.3.15. 만리포해양연수원 경비 및 시설관리 용역 110,616 ‘16.4.1.∼ ’18.3.31. ㈜▽▽ ( - ) - 2 2018.4.12. 만리포해양연수원 경비 및 시설관리 용역 62,400 ‘18.4.1.∼ ’19.3.31. - - 3 2019.3.31. 만리포해양연수원 경비 및 시설관리 용역 69,840 ‘19.4.1.∼ ’20.3.31. - - 4 2017.10.10. 강남관 건물종합관리 용역 497,112 ‘17.11.1.∼ ’19.10.31. - - 5 2019.9.10. 강남관 건물종합관리 용역 549,300 ‘19.11.1.∼ ’21.10.31. - - 합 계 1,289,268 감사결과 처분서 기관명 : 학교법인 홍익학원, 홍익대학교"
8,예 ․ 결산 제출 및 심의 ․ 확정 기한 未 준수 ◦,- 학교법인 홍익학원은 법정 제출기한 (2016. 1. 10.) 을 도과 하여 2016. 2. 17. 2016회계연도 법인회계 예산안을 이사회에 제출하는 등【붙임】“예·결산 이사회 제출 및 확정 기한 未준수 현황”과 같이 위 홍익학원 및 홍익대학교는 2016회계연도부터 2019회계연도까지 법정기한을 짧게는 9일 길게는 42일 도과하여 예산안 및 결산서를 이사회에 제출하거나 이사회에서 이를 심의·확정한,【학교법인 홍익학원】; 기관경고 【홍익대학교】; 기관경고 【붙임】 예·결산 이사회 제출 및 확정 기한 未준수 현황 회계 회계 연도 구분 이사회 제출 이사회 심의․확정 이사회 제출기한 이사회 제출일 도과 일수 이사회 심의․확정기한 이사회 심의․확정일 도과 일수 법인 회계 2016 예산 2016.01.10 2016.02.17 38 2016.01.21 2016.02.19 29 결산 2017.04.19 2017.05.26 37 2017.04.30 2017.05.29 29 2017 예산 2017.01.09 2017.02.20 42 2017.01.20 2017.02.21 32 결산 2018.04.19 2018.05.15 26 2018.04.30 2018.05.16 16 2018 예산 2018.01.09 2018.02.20 42 2018.01.20 2018.02.21 32 결산 2019.04.19 2019.05.24 35 2019.04.30 2019.05.27 27 2019 예산 2018.01.09 2019.02.18 40 2019.01.20 2019.02.19 30 교비 회계 2016 예산 2016.01.31 2016.02.17 17 2016.02.10 2016.02.19 9 결산 2017.04.19 2017.05.26 37 2017.04.30 2017.05.29 29 2017 예산 2017.01.30 2017.02.20 21 2017.02.09 2017.02.21 12 결산 2018.04.19 2018.05.15 26 2018.04.30 2018.05.16 16 2018 예산 2018.01.30 2018.02.20 21 2018.02.09 2018.02.21 12 결산 2019.04.19 2019.05.24 35 2019.04.30 2019.05.27 27 2019 예산 2019.01.30 2019.02.18 19 2019.02.09 2019.02.19 10 감사결과 처분서 기관명 : 학교법인 홍익학원
9,"만리포 해양연수원 부가가치세 매입세액 未 공제 ◦ 부가가치세법 제37조 및 제38조에 따르면 부가가치세 납부세액은 매출세액에서 사업자가 자기의 사업을 위하여 사용하였거나 사용할 목적으로 공급받은 재화 또는 용역, 수입하는 재화의 수입에 대한 매입세액을 공제한 금액으로 한다고 규정되어 있는데도, - 학교법인 홍익학원은 ’18. 5. 17. 충남 태안 소재 만리포 해양연수원 시설보수를 위해 ㈜◁◁과 “만리포 해양 연수원 시설보수 공사 (건축부분) 계약”을 체결하여 공사를 실시하고 ’18. 6. 8. 위 업체로부터 교부받은 매입세금계산서상 매입세액 9,026천원을 공제하지 않는 등","- 학교법인 홍익학원은 ’18. 5. 17. 충남 태안 소재 만리포 해양연수원 시설보수를 위해 ㈜◁◁과 “만리포 해양 연수원 시설보수 공사 (건축부분) 계약”을 체결하여 공사를 실시하고 ’18. 6. 8. 위 업체로부터 교부받은 매입세금계산서상 매입세액 9,026천원을 공제하지 않는 등【붙임】“부가가치세 매입세액 未공제 명세 (세금계산서) ”와 같이 2018. 6.부터 2019. 7.까지 위 공사 등 7건의 해양연수원 보수공사 (공급가액 923,422천원, 세액 92,342천원) 와 5건의 집기 구입 (공급가액 113,513천원, 세액 11,351천원) 을 하면서 교...","경고(3명); 통보 - 未 공 제 한 매 입 세 액 에 대하여 부가가치세 경정 청구를 하기 바람 【 붙임 】 부가가치세 매입세액 未공제 명세 (세금계산서) □ 시설보수공사 (단위 : 천원) 과세 기간 공급받은 자 공 급 자 매입세금계산서 내역 사업자번호 상 호 대표자명 사업자번호 상 호 대표자명 작성일자 발급일자 전송일자 품목명 합계금액 공급가액 세액 ’18.1기 - 홍익대학교 - - ㈜◁◁ - ’18.06.08. ’18.06.08. ’18.06.08. 해양연수원 시설보수 공사(건축) 99,286 90,260 9,026 - - - ’18.06.11. ’18.06.11. ’18.06.12. 해양연수원 시설보수 공사(설비부문) 45,078 40,980 4,098 - - - ’18.06.12. ’18.06.12. ’18.06.12. 해양연수원 시설보수 공사(전기공사) 37,840 34,400 3,440 ’18.2기 - 홍익대학교 해양수련원 - - - - ’18.12.27. ’18.12.28. ’18.12.28. 연수원 2차 시설개선 공사 376,000 341,818 34,182 ’19.1기 - 홍익대학교 해양수련원 - - - - ’19.01.31 ’19.01.31 ’19.01.31 연수원 2차 시설개선 공사 260,000 236,364 23,636 - - - ’19.02.14 ’19.02.14 ’19.02.14 연수원 시설개선공사 (2차)전기 188,100 171,000 17,100 ’19.2기 - 홍익대학교 해양수련원 - - - - ’19.07.17 ’19.07.17 ’19.07.17 연수원 2차 시설공사 (건축,설비)잔여공사 9,460 8,600 860 합 계 1,015,764 923,422 92,342 □ 집기 구입 (단위 : 천원) 과세 기간 공급받은 자 공 급 자 매입세금계산서 내역 사업자번호 상 호 대표자명 사업자번호 상 호 대표자명 작성일자 발급일자 전송일자 품목명 합계금액 공급가액 세액 ’19.1기 - 홍익대학교 해양수련원 - - - - ’19.01.17. ’19.01.21. ’19.01.21. 전자동세탁탈수기 14,080 12,800 1,280 - - - ’19.01.18. ’19.01.18. ’19.01.18. 주방기구 18,986 17,260 1,726 - - - ’19.01.21. ’19.01.21. ’19.01.21. RT17N1000WW 11,960 10,873 1,087 - - - ’19.01.24. ’19.01.24. ’19.01.24. 프로젝터 NP-ME401W외 6,908 6,280 628 - - - ’19.02.01. ’19.02.01. ’19.02.01. 가구대금(데스크외) 72,930 66,300 6,630 합 계 124,864 113,513 11,351 감사결과 처분서 기관명 : 홍익대학교"
10,교직원 임용제청 부적정 ◦,- 홍익대학교는 2016. 3. 1. H를 신규채용하면서 신원 조사 및 결격사유 조회를 하지 않고 2016. 2. 25. 학교 법인 홍익학원에 임용 제청하는 등 【 붙임 】 “교직원 임용제청 부적정 현황”과 같이 2016. 3. 1.부터 2019. 10. 감사일 현재까지 교직원 258명을 신규 채용하면서 신원조사 및 결격사유 조회를 하지 않거나 결과 회보 전에 학교법인 홍익학원에 임용 제청한,주의(13명); 통보 - 신원조사 및 결격 사 유 조 회 未 실 시 자 에 대해 신원조사 및 결 격 사 유 조 회 를 실 시 하 여 그 결 과 에 따라 임용 취소 등 적 정 한 조치를 취하기 바람 【 붙임 】 교직원 임용제청 부적정 현황 1. 교원(206명) 연 번 소속 성명 임용일 결격 사유 조회 신원조사 제청 사항 임용 사항 요청일 회신일 결재자 결재일자 결재자 결재일자 1 - 03-01 미실시 2016 16 2016 23 02 2016 29 2 - 03-01 미실시 2016 16 2016 23 02 2016 29 3 - 03-01 미실시 미실시 - 02 2016 29 4 - 03-01 미실시 미실시 - 02 2016 29 5 - 03-01 미실시 2016 16 2016 23 02 2016 29 6 - 03-01 미실시 2016 16 2016 23 02 2016 29 7 - 03-01 미실시 2016 16 2016 23 02 2016 29 8 - 03-01 미실시 2016 16 2016 23 02 2016 29 9 - 03-01 미실시 2016 16 2016 23 02 2016 29 10 - 03-01 미실시 2016 16 2016 23 02 2016 29 11 - 03-01 미실시 미실시 - 02 2016 29 12 - 03-01 미실시 2016 16 2016 23 02 2016 29 13 - 03-01 미실시 2016 16 2016 23 02 2016 29 14 - 03-01 미실시 2016 11 2016 18 02 2016 29 ... 중 략 195 - 09-01 미실시 2019 30 2019 18 08 2019 28 196 - 09-01 미실시 2019 30 2019 18 08 2019 28 197 - 09-01 미실시 2019 30 2019 18 08 2019 28 198 - 09-01 미실시 2019 30 2019 18 08 2019 28 199 - 09-01 미실시 2019 30 2019 18 08 2019 28 200 - 09-01 미실시 2019 30 2019 18 08 2019 28 201 - 09-01 미실시 2019 30 2019 18 08 2019 28 202 - 09-01 미실시 2019 30 2019 18 08 2019 28 203 - 09-01 미실시 2019 30 2019 18 08 2019 28 204 - 09-01 미실시 2019 30 2019 18 08 2019 28 205 - 09-01 미실시 2019 30 2019 18 08 2019 28 206 - 09-01 미실시 2019 30 2019 18 08 2019 28 2. 직원(52명) 연 번 소속 성명 임용일 결격 사유 신원조사 제청 사항 임용 사항 요청일 회신일 결재자 결재일자 결재자 결재일자 1 - 07-20 미실시 2016 10 2016 19 07 2016 14 2 - 08-03 미실시 2016 10 2016 19 07 2016 14 3 - 08-03 미실시 2016 10 2016 19 07 2016 14 4 - 07-20 미실시 2016 10 2016 19 07 2016 14 5 - 08-03 미실시 2016 10 2016 19 07 2016 14 6 - 02-01 미실시 2017 20 2017 02 01 2017 26 7 - 02-01 미실시 2017 20 2017 02 01 2017 26 8 - 02-01 미실시 2017 20 2017 02 01 2017 26 9 - 08-01 미실시 2017 28 2017 11 07 2017 19 10 - 08-01 미실시 2017 28 2017 11 07 2017 19 11 - 08-01 미실시 2017 28 2017 11 07 2017 19 12 - 08-01 미실시 2017 28 2017 11 07 2017 19 13 - 08-01 미실시 2017 28 2017 11 07 2017 19 14 - 02-01 미실시 2018 08 2018 19 01 2018 29 15 - 02-01 미실시 2018 08 2018 19 01 2018 29 16 - 02-01 미실시 2018 08 2018 19 01 2018 29 17 - 02-01 미실시 2018 08 2018 19 01 2018 29 18 - 02-01 미실시 2018 08 2018 19 01 2018 29 19 - 02-01 미실시 2018 08 2018 19 01 2018 29 ... 중 략 48 - 10-01 미실시 2019 14 2019 24 09 2019 10 49 - 10-01 미실시 2019 14 2019 24 09 2019 10 50 - 10-14 미실시 2019 14 2019 24 09 2019 10 51 - 10-01 미실시 2019 14 2019 24 09 2019 10 52 - 10-01 미실시 2019 14 2019 24 09 2019 10 감사결과 처분서 기관명 : 홍익대학교
