연번,지적사항,주요내용(요약),처분요구
2,"부터 2015. 6. 까지 경주대학교 교비회계에서 266,000 천원만 상환하고 2017. 12. 감사일 현재 나머지 234,000천원 未 상환","부터 2015. 6. 까지 경주대학교 교비회계에서 266,000 천원만 상환하고 2017. 12. 감사일 현재 나머지 234,000천원 未 상환 【사립학교법 제16조, 제27조 및 제28조, 사학기관 재무 ･ 회계 규칙 제8조】 ◦ 경고 - 전 이사 OOO 9. 직인 부당 사용 ◦ OOO장 OOO은 OOO의 개인적 요청 에 따라 ‘경주대학교 본관 개보수 및 스 파인 조성공사’를 맡아하던 OO건설 (주) 대표이사 OOO으로부터 70,000천원을 빌리면서 2013. 5. 10. 연리 9%의 이자를 매월 10일에 지급하기로 차용증서를 작성 하고, 그 차용증서 상 채무자인...","부터 2015. 6. 까지 경주대학교 교비회계에서 266,000 천원만 상환하고 2017. 12. 감사일 현재 나머지 234,000천원 未 상환 【사립학교법 제16조, 제27조 및 제28조, 사학기관 재무 ･ 회계 규칙 제8조】; 경고 - 전 이사 OOO 9. 직인 부당 사용; OOO장 OOO은 OOO의 개인적 요청 에 따라 ‘경주대학교 본관 개보수 및 스 파인 조성공사’를 맡아하던 OO건설 (주) 대표이사 OOO으로부터 70,000천원을 빌리면서 2013. 5. 10. 연리 9%의 이자를 매월 10일에 지급하기로 차용증서를 작성 하고, 그 차용증서 상 채무자인 ‘OOO’ 이름 옆에 OOO장 직인 임의 날인; 나아가, 명예퇴직 하루 전인 2016. 8. 31. 위 차용증서의 내용을 변경하여 다시 작 【 경주대학교 】; 2번에 포함조치 - 1…"
9,부터 2017. 5.,부터 2017. 5.,원문 본문 OCR 필요
9,"까지 영리법인인 ㈜ OO의 사내이사로 재직하 였고, 2014. 1.","까지 영리법인인 ㈜ OO의 사내이사로 재직하 였고, 2014. 1.",원문 본문 OCR 필요
31,부터 2017. 5. 9. 까지는 학교법인 원석학원 이사장의 사전 허가를 받지 않고 학교법인 OO학원 이사장 직무 겸직,"부터 2017. 5. 9. 까지는 학교법인 원석학원 이사장의 사전 허가를 받지 않고 학교법인 OO학원 이사장 직무 겸직 【사립학교법 제55조, 국가공무원법 제64조, 국가공무원 복무규정 제25조 및 제26조】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 14. OO 면직처리 부적정 ◦ 학교법인은 2017. 5. 10. 의원면직 제한 대상에 해당하는지 여부를 확인하지 않고 OOO 의원면직 처리 【사립학교법 제54조의5】 【 학교법인 원석학원 】 ◦ 경고 - 2명 15. 범죄처분 통보자 징계 未 제청 ◦ 교원 2명에 대한 범죄처분 결과를 통보 받고도 2017. 12....","부터 2017. 5. 9. 까지는 학교법인 원석학원 이사장의 사전 허가를 받지 않고 학교법인 OO학원 이사장 직무 겸직 【사립학교법 제55조, 국가공무원법 제64조, 국가공무원 복무규정 제25조 및 제26조】 【 경주대학교 】; 2번에 포함조치 - 1명 14. OO 면직처리 부적정; 학교법인은 2017. 5. 10. 의원면직 제한 대상에 해당하는지 여부를 확인하지 않고 OOO 의원면직 처리 【사립학교법 제54조의5】 【 학교법인 원석학원 】; 경고 - 2명 15. 범죄처분 통보자 징계 未 제청; 교원 2명에 대한 범죄처분 결과를 통보 받고도 2017. 12. 감사일 현재까지 징계 未 제청 【사립학교법 제61조 제1항 및 제64조, 경주대학교 교원인사규정 제2조 및 제13조】 【 경주대학교 】; 경고 - 5명 16. 외부강의 등 신고 부적정;…"
7,"경 호텔이 영업을 중단하여 10,164,000원 상당의 잔여 숙 박권 132매를 사용할 수 없게 되었음 에도 환불 등 피해 최소화를 위한 조 치 未 실시","- 학교법인으로 기부 된 OO투어 청산금 43,997,941원을 법인 회계에서 산학협력단 회계 로 전 출하 기 바 람 【 경주대학교 】 ◦ 42번에 포함조치 - 1명 26. 미인가 학습장 운영 ◦ 교원 19명이 교육부의 위치 변경 인가를 받지 않고 위 OOOO호텔 등에서 외식 조리학부 및 호텔경영학과 학생 541명을 대상으로 25개 과목 수업 실시 【고등교육법 제4조 제3항, 고등교육법 시행령 제2조 제2항 및 제5항】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 42번에 포함조치 - 1명 ◦ 경징계 - 1명 ◦ 경고 - 4명 27. 경주관광호텔 관련 교비집행...","경 호텔이 영업을 중단하여 10,164,000원 상당의 잔여 숙 박권 132매를 사용할 수 없게 되었음 에도 환불 등 피해 최소화를 위한 조 치 未 실시 【 경주대학교 】; 2번에 포함조치 - 1명; 42번에 포함조치 - 1명; 경징계 - 4명; 통보(문책) - 1명; 시정(회수) - 잔여숙박권 구매금액 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제17조 제1항 관련 별표1】 10,164,000원을 경주 관광호텔로부터 환불 받거나 관련자로부터 변상받아 교비회계에 세입조치하기 바람 23. 사학연금 연체료 납부 부적정; 해임되었다가 소송을 통해 복직한 교원 10명에 대한 복직발령 관련부서 통보 등 후속조치를 지연하여 사학연금소급분에 대한 연체료 합계 28,094,250원 납부 【사립학교교직원연금법 제51…"
5,개월이 경과한 2017. 9.,개월이 경과한 2017. 9.,원문 본문 OCR 필요
28,에야 OOOO호텔 에 임차계약 해지를 요청하여 임차보증금 회수,"에야 OOOO호텔 에 임차계약 해지를 요청하여 임차보증금 회수 【사학기관 재무 ･ 회계 규칙 제4조】 【 경주대학교 】 ◦ 경고 - 3명 31. OO 보수 과다 지급 ◦ ‘교원보수 책정기준’을 OO OOO에게 는 적용하지 아니하고 보수 합계 140,607,860원 과다 지급 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 경고 - 5명 【경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조】 ◦ 시정(회수) - 과다 지급한 보 수 합 계 140,607,860원 을 OOO로부터 회수 하여 교비회계에 세 입조치하기 바람 32. OO 업무추진비 집행 부적정 ◦ O...","에야 OOOO호텔 에 임차계약 해지를 요청하여 임차보증금 회수 【사학기관 재무 ･ 회계 규칙 제4조】 【 경주대학교 】; 경고 - 3명 31. OO 보수 과다 지급; ‘교원보수 책정기준’을 OO OOO에게 는 적용하지 아니하고 보수 합계 140,607,860원 과다 지급 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 5명 【경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조】; 시정(회수) - 과다 지급한 보 수 합 계 140,607,860원 을 OOO로부터 회수 하여 교비회계에 세 입조치하기 바람 32. OO 업무추진비 집행 부적정; OOO 개인이 부담해야 할 KTX이용 료 합계 25,617,500원을 업무추진비에 서 집행 【사학기관 재무 ･ 회계 규칙 제4조 및 제21조 제2항, 사학기관 재무 ･ 회계 규칙에 대한 특례…"
0,원 을 OOO로부터 회수하여 교비회계에 세입 조치하기 바람 33. 연구장려금 지급 부적정,"원 을 OOO로부터 회수하여 교비회계에 세입 조치하기 바람 33. 연구장려금 지급 부적정 ◦ 교원보수 추가 감액분 보전 목적으로 교원 46명에 게 연 구장려 금 합계 610,679,000원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조, 경주대학교 교원업적평가규정 제17조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제17조 관련 별표1】 【 학교법인 원석학원 】 ◦ 경고 - 4명 【 경주대학교 】 ◦ 경고 - 4명 34. 업무용 차 량설 립 자 제 공및유 류 비등 지원 ◦ 2010. 1. 12. ‘교내외...","원 을 OOO로부터 회수하여 교비회계에 세입 조치하기 바람 33. 연구장려금 지급 부적정; 교원보수 추가 감액분 보전 목적으로 교원 46명에 게 연 구장려 금 합계 610,679,000원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 교직원수당규칙 제2조의2 및 제4조 내지 제17조, 경주대학교 교원업적평가규정 제17조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제17조 관련 별표1】 【 학교법인 원석학원 】; 경고 - 4명 【 경주대학교 】; 경고 - 4명 34. 업무용 차 량설 립 자 제 공및유 류 비등 지원; 2010. 1. 12. ‘교내외 내빈 의전 및 업무용’ 목적으 로 업무용 차량 1대를 구입하여 OOO의 개인용으로 2017."
8,까지 제공,"까지 제공 ◦ 위 에쿠스 차량의 법인카드 유류비 결제 금액 합계 12,637,000원과 차량수리비 합계 3,389,130원 등 총 16,026,130원을 교비회계에서 집행 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 명예총장에 관한 규정 제5조 제2항 및 제6조, 경주대학교 차량관리규정 제3조】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 경고 - 3명 ◦ 시정(회수) - OOOO 에 게제 공 한업 무 용 차 량 유 류 비 등 합계 16,026,130원 을 관 련 자 로 부 터 회 수하 여 교 비 회 계 에세 입 조 치 하 기 바 람 35. 지식재산권 관리...","까지 제공; 위 에쿠스 차량의 법인카드 유류비 결제 금액 합계 12,637,000원과 차량수리비 합계 3,389,130원 등 총 16,026,130원을 교비회계에서 집행 【사학기관 재무 ･ 회계 규칙 제4조, 경주대학교 명예총장에 관한 규정 제5조 제2항 및 제6조, 경주대학교 차량관리규정 제3조】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 3명; 시정(회수) - OOOO 에 게제 공 한업 무 용 차 량 유 류 비 등 합계 16,026,130원 을 관 련 자 로 부 터 회 수하 여 교 비 회 계 에세 입 조 치 하 기 바 람 35. 지식재산권 관리 부적정; 교원 2명이 4건의 직무발명에 대하여 산학협력단에 신고하지 아니하고 개인 명의로 특허 출원 ‧ 등록 【발명진흥법 제10조 제1항 및 제12조, 경주대학교 지식재산권 관리규정…"
8,까지 용도대로 사용하지 아니하고 방치,"까지 용도대로 사용하지 아니하고 방치 【사학기관 재무 ･ 회계 규칙 제4조 및 제43조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호】 【 경주대학교 】 ◦ 2번에 포함조치 - 1명 ◦ 경고 - 5명 <별도조치> ◦ 고발 37. 교외연구비 취득 연 구 용비 품 未 이 관 (귀속) ◦ 교수 3명이 산학협력단 연구비로 구입한 비품 25종에 대하여 이관 신고를 하지 아니하고 연구종료 후 귀속시키지 않았 음에도 후속 조치 未 실시 【경주대학교 교외연구비 관리규정 제26조 제1항 및 제2항】 【 경주대학교 】 ◦ 경고 - 1명 ◦ 주의 - 4명 ◦ 시정 - 교...","까지 용도대로 사용하지 아니하고 방치 【사학기관 재무 ･ 회계 규칙 제4조 및 제43조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호】 【 경주대학교 】; 2번에 포함조치 - 1명; 경고 - 5명 <별도조치>; 고발 37. 교외연구비 취득 연 구 용비 품 未 이 관 (귀속); 교수 3명이 산학협력단 연구비로 구입한 비품 25종에 대하여 이관 신고를 하지 아니하고 연구종료 후 귀속시키지 않았 음에도 후속 조치 未 실시 【경주대학교 교외연구비 관리규정 제26조 제1항 및 제2항】 【 경주대학교 】; 경고 - 1명; 주의 - 4명; 시정 - 교 외 연 구 비 로 취 득 한 연구용 비품을 산학협 력단 재산으로 귀속 시키기 바람 38. 가족수당 부적정 수령; 교직원 5명이 부양가족 변동신고를 하지 않아 가족수당 합계 5,250천원 수…"
