연번,지적사항,주요내용(요약),처분요구
1,일반경쟁 입찰대상 구매 수의계약 체결 ◦,"- 학교법인 고려중앙학원은 2016. 5. 19. 일반경쟁 입찰 대상인 ‘국산 참깨 구매’건 (계약금액 합계 102,500천원) 을 입찰에 부치지 않고 ○○로부터 수의계약으로 구매하는 등 【붙임】“일반경쟁 입찰대상 수의계약 체결내역”과 같이 2016. 5. 19.부터 2019. 10. 2.까지 일반경쟁 입찰 대상 국산 참깨·들깨의 구매 17건 (계약금액 합계 1,390,982천원) 을 입찰에 부치지 않고 ○○로부터 수의계약 으로 구매한","경고(8명) 【붙임】 일반경쟁 입찰대상 수의계약 체결 내역 (단위: ㎏ , 천원) 회계연도 일자 계약건명 구매량 금액 2016 2016. 5. 19. 2차분 국산 참깨 구매 5,000 102,500 2016. 7. 25. 3차분 국산 참깨, 들깨 구매 5,700 113,220 2016. 9. 2. 4차분 국산 들깨 구매 500 4,200 2016. 10. 28. 5차분 국산 참깨, 들깨 구매 5,520 69,252 2016. 12. 29. 6차분 국산 참깨, 들깨 구매 6,200 90,520 소계 22,920 379,692 2017 2017. 4. 27. 1차분 국산 참깨, 들깨 구매 5,250 71,175 2017. 8. 11. 2차분 국산 참깨, 들깨 구매 5,800 82,100 2017. 11. 3. 3차분 국산 참깨, 들깨 구매 5,…"
2,직원채용 서류심사 시 출신대학 차별 ◦,"- 고려대학교 의료원은 2016. 6. 9. 정규직 (행정직 등 4개 직종) 채용 계획을 수립하여 채용공고 〔접수기간: 2016.6.9.(목) ~ 6.16.(목), 전형방법 : 서류심사 → 인성검사 및 면접심사, 응시자격: 행정직(학사학위 이상 소지자), 의료관련 직종(직무관련 면허증 소지자〕 후, 지원자 649명에 대한 서류심사 1) 를 실시 하면서 □□학원에서 발행한 2016년 수능배치표상 채용직종별 각 대학의 관련 학과 점수 (행정직: 경영학과, 간호직 및 의료기술직: 관련 학과) 를 기준으로 작성한 대학 순위표에 따라 출신대학을 5개 등급 (A~E등급) 으로...","【붙임 1】 서류전형 시 출신학교 등급 부여 현황 연 번 직종 채용계획 (채용일자) 채용 인원 응시 인원 출신학교 등급(점수, 합격인원) S등급 A등급 B등급 C등급 D등급 E등급 비고 1 행 정 직 (사 원 ) 2016.6.9. (2016.7.11.) 1 48 30점 (1명) 29점 (0명) 28점 (0명) 27점 (0명) 26점 (0명) 2016.12.30. (2017.2.3.) 1 370 30점 (0명) 29점 (0명) 28점 (0명) 27점 (1명) 26점 (0명) 2017.3.13. (2017.3.29.) 1 23 40점 (1명) 38점 (0명) 36점 (0명) 34점 (0명) 32점 (0명) 2017.6.29. (2017.7.27.) 1 15 30점 (0명) 29점 (1명) 28점 (0명) 27점 (0명) 26점 (0명) 2018…"
3,전임교원 채용 심사위원 위촉 부적정 ◦,"- 고려대학교는 2016학년도 1학기 ㄱ학과 전임교원 신규 채용 시 지원자 A의 석·박사학위과정 지도교수인 고려대학교 ㄱ학과 B를 1차 기초심사 3) 위원 및 2차 전공심사 4) 위원으로 위촉하여 전임교원 채용심사 업무를 담당하게 하는 등 【붙임 1】 “지원자의 석·박사과정 지도교수 전임교원 신규채용 심사위원 위촉 현황”과 【①,②번 관련】 ◦ 기관경고 【①번 관련】 ◦ 경고(43명) ◦ 통보 - 교 원 채 용 심 사 과 정 이 관 련 규 정 에 따 라 공 정 하 게 실 시 될 수 있 도 록관 리 하 기바 람 【②번 관련】 ◦ 경고(2명) 3) 기초심사 ( 제 1 차...","【붙임 1】 지원자의 석·박사과정 지도교수 전임교원 신규채용 심사위원 위촉 현황 ※ 기초심사 ( 제 1 차심사 - 서면평가 ): 경력 (20 점 ), 연구계획서 (10 점 ), 연구실적 (30 점 ) ※ 전공심사 ( 제 2 차심사 - 면접 및 심층평가 ): 강의능력 (20 점 ), 본교에 대한 기여가능성 (20 점 ), 교육자 ‧ 연 구자로서의 자질 및 인성 (20 점 ), 전공영역 적합성 (20 점 ), 학문적 우수성 (40 점 ) 연 번 학년도 - 학기 채용학과 지원자 심사위원 논문명 (지도교수) 심사분야 합불 여부 1 2016-1 인문대학 ㄱ학과 A B - 【석사】 (B) 기초심사 및 전공심사 X - 【박사】 (B) 2 2016-1 인문대학 ㄱ학과 - B - (B) 기초심사 및 전공심사 X ... 중략 63 2019 - - - 기초심사…"
4,특정대학 학사학위 소지자 비율 초과 교원 신규채용 ◦,"- 고려대학교 (ㄹ학과 는 2016학년도 1학기 전임교원 1명을 채용하면서 당시 ㄹ과 소속 전임교원 중 고려대학교 ㄹ과 학사학위 소지자가 360명 중 325명 (90.3%) 으로 모집단위별 채용인원의 3분의 2를 이미 초과하고 있었는데도, 고려대학교 ㄹ과 학사학위 소지자인 C를 채용하는 등 【붙임】 “특정대학 학사학위 소지자 전임교원 채용 현황”과 같이 2016학년도 1학기부터 2019학년도 2학기까지 위 ㄹ과 등 2개 학과에서 전임 교원 신규채용 당시 특정대학 학사학위 소지자가 모집단위별 채용인원의 3분의 2를 초과하였는데도 동일대학 학위 소지자인 위 C 등 50명...","기관경고; 경고(6명) 【붙임】 특정대학 학사학위 소지자 전임교원 채용 현황 연 번 신규 채용자 현황 채용 후 교원구성 (명, %) 당시 심사위원장 소 속 임용학기 (임용일) 성명 출신학과(전공) 교원수 동일학과(학부) 학위소지자 수 비율 1 ㄹ과 2016-2 (2016.9.1.) C 고려대학교 (ㄹ과) 373 338 90.4 - 2 ㄹ과 2016-2 (2016.9.1.) - 고려대학교 (ㄹ과) 373 338 90.4 - 3 ㄹ과 2016-2 (2016.9.1.) - 고려대학교 (ㄹ과) 373 338 90.4 - 4 ㄹ과 2016-2 (2016.9.1.) - 고려대학교 (ㄹ과) 373 338 90.4 - 5 ㄹ과 2016-2 (2016.9.1.) - 고려대학교 (ㄹ과) 373 338 90.4 - 6 ㄹ과 2016-2 (2016.9.1.) -…"
5,취업지원대상자 가점 未 부여 ◦,"- 고려대학교는 2019. 8. 사무직원 공개채용 (행정분야 등 3개 직종) 서류전형의 평가항목 및 점수 비율을 ①지원서 (45%), ②자기소개서(45%), ③공인어학성적 및 자격 증 소지여부에 따른 우대점수(10%)로 정하고 서류 평가를 실시하면서 국가유공자 자녀인 D가 입사지원서에 취업지원 대상자로 표기하였는데도 서류전형 점수 산정 시 가점(5점)을 부여하지 않는 등 【붙임】“취업 지원 대상자 가점 미부여 현황”과 같이 2019년 본교 및 세종캠퍼스 사무직원 공개채용 서류전형 시, 위 D 등 8명의 취업지원 대상자에게 가점을 부여하지 않고 서류전형을 진행한",경고(5명); 통보 - 취업지원대상자 에게 가점을 미 부여하는 일이 없도록 관리하기 바람 【붙임】 취업지원 대상자 가점 미부여 현황 채용명 (공고일) 직종 (채용 인원) 응시자 취업지원 가점 서류전형 결과 지원서 (A) 자기 소개서 (B) 우대 점수 (C) 산정점수 (실제점수) 산정순위 (실제순위) 합격 여부 2019년 (본교) 사무직 공채 (’19.7.19) 행정직 (10명) D 5% 45 45 5 95 (100) 1 (1) 합격 - 10% 30 30 3 63 (73) 131 (37) 불합격 - 5% 20 30 3 53 (58) 307 (235) 불합격 - 10% 20 15 3 38 (48) 753 (580) 불합격 - 5% 20 15 3 38 (43) 753 (662) 불합격 - 5% 20 15 0 35 (40) 842 (663) 불합격…
6,전임교원 임면사항 이사회 未 보고 ◦,- 고려대학교는 2016. 3. 1. ㅁ과 E 등 50명의 전임교원을 신규임용하고도 학교법인 고려중앙학원 이사회에 신규 임용 사항을 보고하지 않는 등【붙임】 “교원 신규임용 관련 법인 이사회 미보고 현황”과 같이 2016학년도 1학기 부터 2019학년도 2학기까지 279명의 신규임용 사항을 법인 이사회에 보고하지 않은,주의(2명) 【붙임】 교원 신규임용 관련 법인 이사회 미보고 현황 학기 신규임용 2016-1학기 ㅁ과 E 등 50명 2016-2학기 35명 2017-1학기 14명 2017-2학기 29명 2018-1학기 22명 2018-2학기 41명 2019-1학기 28명 2019-2학기 60명 소계 279명 감사결과 처분서 기관명 : 고려대학교
7,"未 허가 사외이사 겸직 ◦ 사립학교법 제55조에 따르면 사립학교의 교원의 복무에 관하여는 국·공립학교의 교원에 관한 규정을 준용한다고 되어있고, 교육공무원법 제19조의2에 따르면 교수·부교수·조교수는 학생의 교육·지도와 학문의 연구에 지장이 없는 범위안에서 소속학교의 장의 허가를 받아 사기업체의 사외이사를 겸직할 수 있다고 되어있으며, 교육공무원임용령 제7조의5에 따르면 사외이사 겸직허가에 관한 세부기준을 대학의 장이 정하도록 하고 있고, 고려대학교 교원인사규정 제67조 및 고려대학교 교원의 겸직허가 및 외부강의 등 신고에 관한 시행세칙 제3조에 따르면 타 기관 에서 겸하려는 행위가 영리를 목적으로 하거나 계속 성이 있는 업무라면 반드시 겸직을 허가받아야 한다고 되어있으며, 제4조 및 제5조에 따르면 겸직을 허가 받고자 하는 교원은 겸직 시작일 1개월 전에 대학 (원)장 등의 승인을 받아 총장에게 요청하여야 하고, 사외이사로 겸직하려는 경우는 교원인사위원회의 심의를 거쳐 총장이 겸직을 허가할 수 있다고 되어 있는데도, - 고려대학교 ㅂ학과 F는 총장의 사전 겸직허가 없이 △△에 사외이사(2016. 3. 30. ~ 2018. 3. 24.)로 겸직하는 등",- 고려대학교 ㅂ학과 F는 총장의 사전 겸직허가 없이 △△에 사외이사(2016. 3. 30. ~ 2018. 3. 24.)로 겸직하는 등 【붙임】 “未허가 사외이사 겸직 현황”과 같이 2016. 3. 30.부터 2020. 2. 7.까지 F 등 6명은 총장의 사전 겸직허가 없이 △△ 등 6개 사기업체(총 9회) 사외이사를 겸직한,"경고(6명) 【 붙임 】 未 허가 사외이사 겸직 현황 연 번 소속 이름 겸직기관명 겸직기관 직위 근무 형태 겸직기간 보수 등 총액(천원) 1 ㅂ대학 ㅂ학과 F △△ 사외이사 비상근 2016.3.30.~2017.3.30. 16,800 2017.3.24.~2018.3.24. 16,800 2 ㅂ대학 ㅂ학과 - - 사외이사 비상근 2018.3.28.~2021.3.27. 66,000 3 ㅂ대학 ㅂ학과 - - 사외이사 비상근 2019.3.22.~2022.3.21. 60,000 4 - (-) - - 사외이사 비상근 2017.3.24.~2019.3.24. 24,000 2019.3.29.~2021.3.29. 24,000 5 - (-) - - 사외이사 비상근 2017.3.27.~2019.3.26. 무보수 2019.3.27.~2021.3.26. 무보수 6 -…"
8,징계의결 요구 未 이행 ◦,"- 고려대학교는 2016. 4. 29. ㄹ과 G가 보건복지부로부터 직무와 관련하여 부당하게 금품을 수수(리베이트)하여 ‘자격정지’ 처분을 받았다는 사실을 확인하고도 교원 인사위원회 심의를 통해 ‘경고’ 처분(2016. 6. 2.)만 하고, 교원징계위원회에 징계의결을 요구하지 않은",경고(5명) 감사결과 처분서 기관명 : 고려대학교
9,연구년 대상자 선정 부적정 ◦,- 고려대학교는 2018. 하반기 연구년 교수를 선정하면서 ㅅ대학원 H가 직전 연구년의 연구실적물을 제출기한 (2014. 8. 31.) 보다 2년 3개월이 경과된 2016. 12. 12.에 제출 하여 동 기간을 근속기간에서 제외할 경우 연구년 부여 최소 근속기간 (6년) 에 미달되는데도 연구년 교원으로 선정하는 등 【붙임】 “연구년 선정 부적격자 현황”과 같이 2018. 3. 1.부터 2019. 9. 1.까지 직전 연구년 교수로 선정되고 연구실적물을 지연 제출하여 차기 연구년 최소 근속기간에 미달되는 위 H 등 교원 7명을 연구년 교원으로 선정한,경고(25명) 【 붙임 】 연구년 선정 부적격자 현황 소속 이름 직전 연구년 실적 제출 차기 연구년 선정 자격 연구년 종료일 (a) 제출 기한 제출일 초과기간 (b) 연구년 기간 최소 근속 기간 (c) 자격 도래일 (a)+(b)+(c) ㅅ대학원 H 2012. 8.31. 2014. 8.31. 2016. 12.12. 2년 3개월 12일 2018.9.1.~ 2019.8.31. 6년 2020.12.12. - - 2013. 8.31. 2015. 8.31. 2017. 10.8. 2년 1개월 8일 2019.9.1.~ 2020.8.31. 6년 2021.10.8. - - 2013. 2.28. 2015. 2.28. 2016. 8.9. 1년 5개월 12일 2019.3.1.~ 2020.2.29. 6년 2020.8.9. - - 2012. 2.29. 2014. 2.…
10,기간제(냉난방계절직) 근로계약 체결 부적정 ◦,"- 고려대학교는 I를 기간제근로자(냉난방계절직, 지원직 (Ⅱ) * )로 5개월 계약하고, 1개월 경과 후 공개모집 ** 을 통해 동일인을 5개월만 재계약을 하는 방식으로 2013. 5. 1. ~ 2019. 9. 30. 동안 13차례에 걸쳐서 5개월씩 재계약하면서 합산 2년(13회)이 초과하였는데도 기간제 근로계약(2019. 11. 1. ~ 2020. 3. 31.)을 체결하는 등【붙임】 “2년 초과 기간제근로자 계약 현황”과 같이 2012. 12. 1. 부터 2020. 4. 30.까지 위 I 등 근로자 5명 *** 이 근로기간 합산 **** 2년을 초과하였는데도 기간제...","* 「일반직(Ⅱ), 지원(Ⅱ)직원 인사규정」에 따라 부서장이 채용·전 보 등 인사에 관한 권한을 가지고 채용한 근로자 ** 직전 계약자의 경우, 면접시험 대신 근무성적평가자료로 갈음 하여 신규지원자와 다른 채용절차를 거쳤으며,【참고】와 같이 ’16.5.1.이후 현재까지 지원자 전원 합격 *** 만55세 이상자(기간제법 제4조 적용 제외자) 및 합산 2년 미만자 제외 **** [고용노동부 기간제법 질의회신집(2018.12월) p.130 ~ 131] ① 갱신 또는 반복 체결된 근로계약 사이에 일부 공백기간이 있다 하더 라도 그 기간이 전체 근로계약기간에 비하여 길지 아니하고 계절적 요인이나 방학 기간 등 당해 업무의 성격에 기인하는 경우 등은 근로관계의 계속성은 인정될 수 있음(대법원 2006.12.7. 선고 2004다29736) ② 공개채용을…"
