연번,지적사항,주요내용(요약),처분요구
1,"수익용 기본재산 관리 부적정 ㅇ ｢ 사립학교법 시행령｣ 제4조 제2항에 따르면 기본재산은 교육용 기본재산과 수익용 기본재산으로 구분하여야 하고, ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인의 재무와 회계는 건전하게 운영하여야 하며 ｢ 대학설립· 운영규정｣ 제7조 제1항 및 제3항은 학교법인은 규정에 따른 수익용 기본재산을 확보하고, 전년도 예금은행 가중평균금리 중 저축성 수신 금리를 곱하여 산출한 금액 이상의 연간 수익이 발생하여야 한다고 정하고 있는데도, - 학교법인 구미교육재단은","- 학교법인 구미교육재단은 【붙임】‘수익용 기본재산 재산세, 교육세 법인회계 부담 현황’과 같이 2019학년도부터 2021학년도까지 ㄱ 토지 등 수익용 기본재산 72건을 관리하면서 임대수익은 약 1,500천원이 발생한 반면, 재산세 및 교육세는 30,020천원을 부담한","기관경고; 통보 - ㄱ 등 수 익 용 기 본 재 산 72건에 대하여 매각 등을 포함한 수익창출방안을 강구하기 바람 【붙임】 수익용 기본재산 재산세, 교육세 법인회계 부담 현황 “생 략” 감사결과 처분서 기관명 : 학교법인 구미교육재단, 구미대학교"
2,"공공기록물의 전자적 생산·관리 의무 미준수 ㅇ ｢ 공공기록물 관리에 관한 법률｣ 제6조에 따르면 공공 기관 및 기록물 관리기관의 장은 기록물이 전자적으로 생산·관리되도록 필요한 조치를 마련하여야 하며, 전자적 형태로 생산되지 아니한 기록물도 전자적으로 관리 되도록 노력하여야 한다고 되어 있는데도, - 학교법인 구미교육재단과 구미대학교는 업무와 관련 하여 생산·접수한 기록물 등 ｢ 공공기록물 관리에 관한 법률｣ 이 정한 공공기록물을 전자적으로 생산·관리하지 않은 채 수기결재 처리하는 등, 감사일 현재까지 전자적 생산·관리에 필요한 조치를 취하지 않은 사실이 있음","- 학교법인 구미교육재단과 구미대학교는 업무와 관련 하여 생산·접수한 기록물 등 ｢ 공공기록물 관리에 관한 법률｣ 이 정한 공공기록물을 전자적으로 생산·관리하지 않은 채 수기결재 처리하는 등, 감사일 현재까지 전자적 생산·관리에 필요한 조치를 취하지 않은","【학 교 법 인구 미 교 육 재 단 , 구미대학교】; 통보 - 생산·접수한 공공 기록물을 전자적 으 로 처 리 할 수 있 는 방안을 마련하기 바람 감사결과 처분서 기관명 : 학교법인 구미교육재단, 구미대학교"
3,"자료 제출 명령 거부 및 물품 임의 파기 등 부당 ◦ ｢ 공공감사에 관한 법률｣ 제20조에 따르면 감사기구의 장은 감사대상기관 직원에 대해 출석‧ 답변의 요구, 관계서류‧ 장부 및 물품 등의 제출 요구, 전산정보 시스템에 입력된 자료의 조사 등의 조치를 요구할 수 있고, 감사대상기관 소속 직원은 정당한 사유가 없으면 그 요구에 따라야 한다고 되어 있고,","- 구미대학교는 2022. 3. 21.부터 실시한 교육부 종합감사 대응과정에서 이사회 회의록 변조, 문서등록대장 목록 변조 및 누락, 징계위원회 회의록‧ 직원채용 문서‧ 연봉 계약서‧ 지원자 이력서‧ 임용공문 등의 공문을 감사기간 중 새로이 작성하거나 허위로 작성하여 직인 날인 한 사실이 있고, 이에 감사단장으로부터 2022. 3. 23., 2022. 3. 24., 2022. 3. 28. 세 차례에 걸쳐 신뢰성 있는 감사 자료 제출을 요청받은 사실이 있음 - 감사단장의 요청 이후, 감사단은 구미대학교 ○○처 직원 C가 감사과정에서 제출한 자료가 사전제출 수감자료와 불...","※ C는 물품폐기의 동기로 해당 저장매체에 사적인 사진이 포함 되어 있어 감사관이 이를 확인하는 것을 막기 위해서라 진술 하였으나, 담당감사관은 감사 당시 저장매체 열람 과정에서 여성이 동석하여 사적인 자료가 있는 경우 확인하지 않을 것 임을 수차례 고지한 바 있음 【참고】 자료 제출 명령 관련 경과 “생 략” 감사결과 처분서 기관명 : 구미대학교"
4,"감사자료 제출의무 위반 ㅇ ｢ 공공감사에 관한 법률｣ 제20조, 제41조 및 ｢ 교육부 감사규정｣ 제9조에 따르면 감사기구의 장은 자체감사를 위해 필요할 때 자체감사 대상기관 또는 그 소속 공무원이나 직원에 대해 출석·답변의 요구 (정보통신망 이용촉진 및 정보보호 등에 관한 법률에 따른 정보통신망을 이용한 요구를 포함한다) , 관계 서류·장부 및 물품 등의 제출을 요구할 수 있고, 요구받은 자체감사 대상기관 및 그 소속 공무원이나 직원은 정당한 사유가 없으면 그 요구에 따라야 하며, ｢ 사립학교법｣ 제48조 및 제72조의4에 따르면 관할청은 감독상 필요할 때에는 학교법인 또는 사학지원 단체에 보고서 제출을 명하거나, 장부·서류 등을 검사할 수 있으며 이에 따른 필요한 조치를 명할 수 있고, 사립학교경영자, 학교법인의 임직원 및 사립학교의 장과 교직원 (이하 “사학기관 종사자”라 한다) 은 법령을 준수하고 일체의 부패행위와 품위를 손상하는 행위를 하여서는 아니 된다고 되어 있는데도, - 구미대학교는 총장의 결재를 받아 감사 수감자료를 제출하면서 아래","- 구미대학교는 총장의 결재를 받아 감사 수감자료를 제출하면서 아래【표 1】“교직원 범죄사실 미제출 현황”과 같이 ▶▶과 조교수 W 등 3명에 대한 범죄사실을 검· 경으로부터 통보받고도 감사자료는 “해당 없음”으로 제출한 사실이 있고, ◦경징계(1명) ◦경고(1명) ◦통보(문책 1명) ◦통보 - 검찰 및 경찰로부터 범죄사실이 통보된 교직원에 대해 관련 법령 및 규정이 정 하는 바에 따라 처리하기 바람 연 번 지 적 사 항 처 분 【표 1】교직원 범죄사실 미제출 현황 범죄사실 통보일 통보기관 대상자 범죄내용 소속 직 성명 2021 7 -------경찰서 ▶▶과 조교수...","※; ; 처 과장 D 2022. 3. 21. 교직원 징계와 검·경 통보받은 사실이 없었다고 이미 진술한 바가 있어, □□ 9급 BB의 음주운전에 대해 징계처분을 하지 않은 사실을 숨기려 문서등록대장을 변경한 것이라 진술함 【표 2】문서등록대장 제목 변경 감사자료 제출현황 실제 변경 시행일 수신자 (발신자) 생산기관 등록번호 문서제목 범죄혐의 교직원 수신자 (발신자) 생산기관 등록번호 문서제목 2021 29 ---- 경찰서 - 공무원 등 범죄 수사 개시 통보 □□ BB (음주운전) -- 경찰서 - 성범죄 경력 조회 의뢰 2021 30 ---- 경찰서 - 공무원 등 범죄 수사 상황 통보 □□ BB (음주운전) -- 경찰서 - 성범죄 경력 조회 회신 감사결과 처분서 기관명 : 구미대학교"
5,"기록물 평가·폐기 부적정 ㅇ ｢ 공공기록물 관리에 관한 법률｣ 제27조의2제1항 및 ｢ 같은 법 시행령｣ 제43조제5항에 따르면 기록물평가 심의회의 위원은 기록물의 보존가치 평가에 적합하다고 인정되는 5명 이내의 민간 전문가 및 소속 직원으로 구성 (2명 이상의 민간 전문가 포함) 하여야 하고, ｢ 구미 대학교 문서관리규정｣ 제49조의2 제2항에 따르면 민간 전문가는 대학의 기록물의 가치를 평가할 수 있는 관련 분야에 종사한 경험이 있는 사람으로 위촉한다고 되어 있으며, ｢ 공공기록물 관리에 관한 법률｣ 제17조 제2항 및 ｢ 같은 법 시행령｣ 제18조 제1항 제5호에 따르면 개별법 또는 특별법에 따라 구성된 위원회 또는 심의회 등이 운영하는 회의는 회의록을 작성하여야 하고, 교육부 및 국가기록원 ｢ 2018 대학 기록물 보존기간 책정기준 가이드 (교육부) ｣ 에 따르면 시험관리 업무의 경우 보존기간을 5년 이상으로 안내 (시험관리 10년, 단과 대학시험관리 5년) 하고 있는데도,","- 구미대학교는 대학 기록물평가심의회를 개최 (2021. 8. 4.) 하면서 기록물평가심의회의 평가위원 중 민간 전문가 인원 및 위촉 적절성 여부를 확인할 수 있는 전문가 위촉 관련 문서를 생산하지 않고, 기록물평가심의회 회의록도 생산하지 않은 사실이 있음 ◦기관경고 ◦통보 - 관련 법령 등이 정하는 바에 따라 자체 규정을 정비 하고 기록물 관리 업무에 만전을 기 하기 바람 연 번 지 적 사 항 처 분 【성적평가 관련 기록물 폐기 부적정】 - 구미대학교 ㄱㄴ 처는 ｢ 구미대학교 문서관리규정｣ 제 37조 제1항 제7호에 영구·준영구적으로 보존기간이 정해지지 않은 학사...",【붙임】 성적평가 관련 기록물 폐기 현황 “생 략” 감사결과 처분서 기관명 : 구미대학교
6,비전임교원 근로계약서 미작성·미보존 ㅇ,- 구미대학교는 ■■과 초빙교원 BC를 임용하였음에도 임용자에 대한 근로계약서가 현존하지 않는 등【붙임】 ‘근로계약서 미현존 교직원 명단’과 같이 위 BC 등 7명과 근로계약을 체결하였음에도 근로계약서를 작성하지 않거나 보존하지 않은,기관경고; 통보 - 근 로 계 약 서 가 현 존 하 지않 는교 직 원현 황 을 파 악 한 후 필요한 조치를 하기 바람 【붙임】 근로계약서 미현존 교직원 명단 “생 략” 감사결과 처분서 기관명 : 구미대학교
7,"교직원 특별상여금 (성과상여금) 지급 부적정 ㅇ ｢ 사학기관 재무·회계규칙｣ 제4조 및 ｢ 사학기관 재무· 회계규칙에 대한 특례규칙｣ 제15조제1항제2호에 따르면 학교의 재무와 회계는 건전하게 운영하여야 하고, 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리 하여야 하며, ｢ 구미대학교 직원 연봉계약에 관한 규정｣ 제6조의2에 따르면 직원은 대학에 대한 기여도 및 근무실적에 따라 개별적으로 차등하여 예산 범위 내에서 부정기적으로 특별상여금을 지급할 수 있으며(세부 사항은 교원 특별상여금 지급 규정을 준용함), ｢ 구미대학교 교원 특별상여금 지급 규정｣ 제2조 및 제5조에 따르면 특별 상여금은 공로상여금, 모범상여금, 성과상여금으로 구분하고, 성과상여금은 산학활동, 학사관리활동, 취업활동 등 대학발전에 기여한 공로에 따라 지급대상자 선정 후에 교원인사위원회 심의를 거쳐 일정액의 상여금을 지급하도록 되어 있으며, 지급 시 교원인사위원회의 심의를 거쳐 총장이 최종 결정하는 것으로 규정되어 있는데도, - 2020학년도 교직원 성과상여금 지급 시에 E는 A, T에게 보고하여 직원 38명, 교원 40명의 대학 기여도 및 개인별 성과상여금액을 사전에 결정하고 이 에 맞추어","교직원 특별상여금 (성과상여금) 지급 부적정 ㅇ ｢ 사학기관 재무·회계규칙｣ 제4조 및 ｢ 사학기관 재무· 회계규칙에 대한 특례규칙｣ 제15조제1항제2호에 따르면 학교의 재무와 회계는 건전하게 운영하여야 하고, 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리 하여야 하며, ｢ 구미대학교 직원 연봉계약에 관한 규정｣ 제6조의2에 따르면 직원은 대학에 대한 기여도 및 근무실적에 따라 개별적으로 차등하여 예산 범위 내에서 부정기적으로 특별상여금을 지급할 수 있으며(세부 사항은 교원 특별상여금 지급 규정을 준용함), ｢ 구미대학교 교원 특별상여금 지급 규정｣...",경고(5명); 통보 - 특별상여금은 관련 규정에서 정하는 바에 따라 객관적 성과측정 결과에 따 라 지 급 하 기 바 람 연 번 지 적 사 항 처 분 * 담당직원 AC는 E의 지시를 받아 교직원 특별상여금 지급 금액에 대해 평가표 임의 기재 및 각 부서장 서명으로 지급하였음을 감사 기간 중 진술( ʹ 22. 3. 25.) ※ 교직원 특별 상 여금 지 급 시 기 : 당 해연 도 특 별상 여 금에 대 해 익 년도 5월경 에 지급함. 이에 따라 감사 시점(22. 3.∼4.) 기준으로 ʹ 21년 성과급 미지급 【붙임】 2020년 특별상여금 (성과상여금) 부적정 지급 현황 “생 략“ 감사결과 처분서 기관명 : 구미대학교
8,"채용기준 미충족자 교원 임용 ㅇ ｢ 사립학교법｣ 제53조의5에 따르면 학교의 장이 아닌 대학 교육기관 교원의 임용에 관하여는 ｢ 교육공무원법｣ 제11조의3을 준용하고, ｢ 교육공무원법｣ 제11조의3에 따르면 대학의 교원을 신규 채용할 때에는 심사위원을 임명하거나 위촉하여 객관적이고 공정한 심사를 거쳐야 하며, ｢ 구미대학교 전임교원 신규채용 심사기준 변경 (","- 구미대학교는 2020. 1학기 ♨♨부 (♩전공) 전임교원 채용을 위한 2차 면접전형 결과, 지원자 BD의 심사점수가 11.33점으로 해당 배점(30점)의 40% 미만으로 합격자 사정에서 제외하여야 하는데도 임용 제청하여 채용하는 등【붙임】“면접전형 심사점수 과락자 임용현황”과 같이 【①, ② 관련】 ◦경고(3명) ◦통보 - 향후 객관적이고 공정한 교원 채용 절차가 이루어 질 수 있 도 록 관 련 규 정 및 공고 등을 준수 하기 바람 【 ② 관련】 ◦경고(2명) 연 번 지 적 사 항 처 분 2020. 1학기부터 2021. 1학기까지 전임교원 채용 면접 전형 결과 해...","학과 (전공) 채용 인원 지원자 단계별 심사 결과 성명 전공 1단계 (기초/전공심사) 2단계 (면접) 최종 임용 ◎◎과 (◎◎학/ ☆☆) 2 AL ◎◎학 48.00 O 12.67 O BE ♪♪전공 32.50 O 15.67 O BF ◎◎ 42.00 O 4.67 【붙임】 면접전형 심사점수 과락자 임용현황 ”생 략“ 감사결과 처분서 기관명 : 학교법 인 구미교 육재단 , 구미대 학교"
9,"교원징계 미조치 및 절차 중단 ◦ ｢ 사립학교법｣ 제16조 및 제53조의2에 따르면 이사회는 학교법인이 설치한 사립학교 교원의 임용에 관한 사항을 심의·의결하고, 교원은 해당 학교의 장의 제청으로 이사회의 의결을 거쳐 임용하며, ｢ 같은 법｣ 제61조, 제61조의2, 제62조, 제64조, 제64조의2 및 제66조에 따르면 교원의 임용권자는 사립학교의 교원이 사립 학교법과 기타 교육관계 법령에 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무에 위반하거나 직무를 태만히 한 때, 직무의 내외를 불문하고 교원 으로서의 품위를 손상하는 행위를 한 때에는 교원징계 위원회에 그 징계 의결을 요구하여야 하고, 임용권자는 교원이 의원면직을 신청한 경우 의원면직 제한대상 해당 여부 등을 감사원, 검찰‧ 경찰, 그 밖의 수사기관에 확인하여야 한다. 또한, 사립학교 교원의 징계사건을 심의·의결하기 위 하여 그 임용권자의 구분에 따라 학교법인·사립학교 경영자 및 해당 학교에 교원징계위원회를 두고, 사립 학교 교원의 임용권자는 그 소속 교원 중에 징계사유에 해당하는 자가 있을 때에는 미리 충분한 조사를 한 후 당해 징계사건을 관할하는 교원징계위원회에 그 징계 의결을 요구하여야 하며, 교원징계위원회는 징계사건을 심의한 결과 징계를 의결하였을 때에는 주문(主文)과 이유를 적은 징계의결서를 작성하여 임용권자에게 보내어 알려야 한다.","- 학교법인 구미교육재단은 2018. 7. 4. ▷▷과 조교수 U가 음주운전으로 기물파손* 후 도주한 이유로 교원징계 위원회 (위원장) 징계 의결을 요구하고서도 2022. 4. 감사일 현재까지 징계 절차를 진행하지 않고 있는데도 아무런 조치를 하지 않은 사실이 있고, * 2018. 7. 2. 산업체위탁교육 사업체인 ∀∀로부터 관련 사실(주차 차단기 파손 후 도주) 및 관련자 엄정 조치 요청을 받음 ※ 2018. 7. 13. 교원징계위원회는 U 출석진술 등 사실관계 확인 후 징계 수위를 결정하기로 의결하고서도 후속조치를 하지 않았고, 교원징계위원장은 자신의 판단으로 징...",. 감사결과 처분서 기관명 : 구미대학교
10,"채용절차 ‧ 복무관리 및 교비회계 관리 부당 등 ㅇ ｢ 구미대학교 직원인사 규정｣ 제2조, 제5조, 제6조, 제18조, 제22조, 제27조, 제35조 및 제50조에 따르면 직원은 이 규정 및 대학의 제 규정과 업무상의 정당한 지시 명령을 성실히 준수하여야 하고, 업무시간 중 허가 없이 업무지를 이탈하거나 직무를 소홀히 하는 등 태만한 행위를 하여서는 아니 되며, 직원은 지정된 출근 시간에","- 구미대학교 ○○처 8급 AD (B의 외 조 카) 는 “학교기업 (∂∂, 현 ∮∮) 관련 업무가 힘들다”는 이유로 2014. 5.경부터 2022. 4. 감사일 현재까지 근무 시간에 대한 조정·확인 없이 임의 시간 ◦경징계(3명) ◦통보(문책 1명) 연 번 지 적 사 항 처 분 대에 출·퇴근한 사실이 있고, ※ 구미대학교는 AD가 임의 시간대에 출·퇴근하고 있는 사실을 알면서도 아무런 조치를 하지 않음 - 한편, 구미대학교는 2014. 8.경 직원 채용과 관련하여 권한이 없는 위 AD가 “∂∂”을 관리한다는 명목으로 BG (B의 동생, AD의 ‘母’) 를 채용 절차,...","* (참고) AD는 감사 기간 중 ∂∂에서 BG의 근로 사실이 있었음을 진술하였고, E(당시; ; 처장)은 BG가 카페 일을 보조하였음을 추가 문답 과정에서 진술 【붙임】 임용 근거 없는 노무자 급여 지급현황 ”생 략“ 감사결과 처분서 기관명 : 구미대학교"
