연번,지적사항,주요내용(요약),처분요구
1,"법인부담 비용 교비회계 집행 부당 ◦ ｢ 사립학교법 ｣ 제 29 조 제 1 항 및 제 6 항에 따르면 학교 법인의 회계는 그가 설치 · 경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없다고 되어 있으며 , ｢ 같은법 시행령 ｣ 제 13 조 제 2 항에 따르면 교비회계의 세출은 학교운영에 필요한 인건비 및 물건비 , 학교교육에 직접 필요한 시설 · 설비를 위한 경비 , 교원의 연구비 , 학생의 장학금 , 교육지도비 및 보건체육비 , 교비회계 세출에 충당하기 위한 차입금의 상환원리금 , 기타 학교교육에 직접 필요한 경비로 한다고 되어 있고 , ｢ 사학기관 재무 · 회계 규칙 ｣ 제 4 조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 된다고 되어 있는데도 , - 학교법인 일현학원과 극동대학교는 2019. 3. 현재 서울 특별시 ㄱ 소재","- 학교법인 일현학원과 극동대학교는 2019. 3. 현재 서울 특별시 ㄱ 소재 ○○ 빌딩에 대해 지분 50% 씩 수익용 기본재산 * 과 교육용기본재산 * 으로 보유하고 있으나 , 수익용공간과 교육용공간을 구분하지 않고 실제 교육용 으로 사용하지 않으면서 임대목적으로 위 빌딩을 운영 하고 있음에도 , 극동대학교 A 를 겸직 발령 등 별도 인사 처리도 없이 일자 미상일 (2019. 3. 이전 ) 부터 위 ○○ 빌딩 ( 전체 ) 의 임차인 관리 등 학교교육과 직접 관련 없는 업무를 전담시키고 이에 대한 2019. 3 월분 인건비 5,516,000 원 전액을 교비회계에서 집...",교육
2,"범죄처분 통보자 징계의결 미요구 ◦ ｢ 사립학교법 ｣ 제 61 조 , 제 64 조 및 제 58 조의 2 에 따르면 사립학교의 교원이 사립학교법과 기타 교육관계법령에 위반하여 교원의 본분에 배치되는 행위를 한 때 , 직무 상의 의무에 위반하거나 직무를 태만히 한 때 , 직무의 내외를 불문하고 교원으로서의 품위를 손상하는 행위를 한 때에는 당해 교원의 임용권자는 미리 충분한 조사를 한 후 당해 징계사건을 관할하는 교원징계위원회에 그 징계의결을 요구하여야 한다고 되어 있는데도 , - 극동대학교는 2021. 8. 20. ♧♧ 경찰서로부터 B 가 교통 사고처리특례법 위반 ( 치상 ) 으로 □□ 지방검찰청에 송치 ( 구약식 ) 되었다는 사실을 통보받고도 2021. 9. 6. 교원 인사위원회에서 ‘ 불문경고 ’ 처분하는 것으로 의결하고 , 교원징계회원회에 징계의결을 요구하지 않는 등","- 극동대학교는 2021. 8. 20. ♧♧ 경찰서로부터 B 가 교통 사고처리특례법 위반 ( 치상 ) 으로 □□ 지방검찰청에 송치 ( 구약식 ) 되었다는 사실을 통보받고도 2021. 9. 6. 교원 인사위원회에서 ‘ 불문경고 ’ 처분하는 것으로 의결하고 , 교원징계회원회에 징계의결을 요구하지 않는 등 【 붙임 】 “ 범죄처분 통보자 징계의결 미요구 현황 ” 과 같이 2021. 8. 부터 2021. 10. 까지 위 B 등 교수 2 명에 대한 범죄처분 결과를 통보 받고도 2022. 7. 감사일 현재까지 징계 의결을 요구하지 않은","경고 (1 명 ); 주의 (1 명 ); 통보 - 범죄처분 통보된 B, C 에 대해 관련 규정에 따라 조치 하기 바람"
3,"결격사유 조회 미실시 ◦ ｢ 사립학교법 ｣ 제 54 조의 3 제 5 항 , ｢ 고등교육법 ｣ 제 14 조의 2 제 2 항 제 2 호 나목 및 제 17 조 제 2 항에 따라 준용되는 ｢ 국가공무원법 ｣ 제 33 조에 의하면 각호의 결격사유에 해당하는 자는 교원 , 강사 , 겸임교원등으로 임용될 수 없고 , ｢ 학교법인 일현학원 정관 ｣ 제 72 조 제 1 항 및 극동 대학교 ｢ 직원인사규정 ｣ 제 14 조 제 1 항에 따르면 각호의 결격사유에 해당하는 자는 직원으로 임용될 수 없다고 되어 있는데도 , ※ 2018. 12. 18. ｢ 고등교육법｣ 제14조의2 제2항 및 제17조 제2항이 개 정 · 신 설 (시 행 일 2019. 8. 1.)되 어 강 사 , 겸 임 교 원 등 의 경 우 2019. 8. 1.부터 적용 - 극동대학교는 2019. 3. 1. M 을 직원으로 임용하면서 결격사유 조회를 실시하지 않는 등",- 극동대학교는 2019. 3. 1. M 을 직원으로 임용하면서 결격사유 조회를 실시하지 않는 등 【 붙임 】“ 결격사유 조회 미실시 현황 ” 과 같이 2019. 3. 부터 2022. 7. 감사일 현재까지 위 M 등 360 명을 직원 등으로 임용하면서 결격사유 조회를 실시하지 않은,기관경고; 통보 - 결격사유 조회를 실시하지 않은 재직자에 대해 결격사유 조회를 실 시 하 여 그 결 과 에 따라 임용 취소 등 적정한 조치를 취하기 바람
4,"의원면직 제한사유 미확인 ◦ ｢ 사립학교법 ｣ 제 61 조의 2 에 따르면 각급학교 교원의 임용권자는 교원이 의원면직을 신청한 경우 징계사유가 있는지 여부와 비위와 관련하여 형사사건으로 기소 중인 경우 , 교원징계위원회에 중징계 의결을 요구 중인 경우 , 감사원 · 검찰 · 경찰 및 그 밖의 수사기관에서 비위와 관련하여 조사 또는 수사 중인 경우 , 관할청의 감사 부서 등에서 비위와 관련하여 감사 또는 조사 중인 경우 등 의원면직 제한대상에 해당하는지 여부에 대하여 감사원과 검찰 · 경찰 , 그 밖의 수사기관에 확인하여야 한다고 되어 있는데도 , - 극동대학교는 2019. 6. 17. 의원면직을 신청한 D 에 대해 의원면직 제한대상에 해당하는지 여부를 감사원에 확인하지 않고 2019. 6. 30. 의원면직 처리하는 등","- 극동대학교는 2019. 6. 17. 의원면직을 신청한 D 에 대해 의원면직 제한대상에 해당하는지 여부를 감사원에 확인하지 않고 2019. 6. 30. 의원면직 처리하는 등 【 붙임 】“ 의원면직 제한대상 해당 여부 미확인 현황 ” 과 같이 2019. 6. 부터 2022. 7. 감사일 현재까지 위 D 등 교원 7 명에 대해 의원면직 제한대상에 해당하는지 여부를 감사원과 검찰 · 경찰 , 그 밖의 수사기관에 확인 하지 않고 의원면직 처리한",경고
5,교육시설 유상 대부 재산 미활용 ㅇ ｢ 사학기관 재무 · 회계 규칙 ｣ 제 4 조 및 제 21 조 제 2 항에 따르면 법인과 학교의 재무와 회계는 건전하게 운영 하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무,"- 극동대학교는 2021. 6. 14. ‘ 지역 주민과 함께하는 교육 · 복지 · 문화 활성화 ’ 를 위한 교육용 시설로 활용할 목적 으로 충북 ㄴ 소재 △△ 초등학교 ‘☆☆ 학교부지 (11,506㎡) 및 건물 (1,594.34㎡) ’ 을 5 년간 (’21. 6. 21. ~ ’26. 6. 20.) 유상 대부 하는 계약을 체결하고 , 대부료 합계 24,506,710 원 (1 차 년도 11,956,740 원 , 2 차 년도 12,549,970 원 ) 을 ▷▷ 교육지원청에 납부하고도 2022. 7. 감사일 현재까지 대부 목적으로 활용하지 않고 있는",기관경고; 통보 - 교육 활용 목적 으로 유상 대부한 시설에 대해 활용 방안을 강구하기 바람 감사결과 처분서 기관명 : 극동대학교
6,"F 비서업무 수행 관련 직원 출장비 집행 부당 ◦ ｢ 사학기관 재무 · 회계 규칙 ｣ 제 4 조 및 제 21 조 제 2 항에 따르면 법인과 학교의 재무와 회계는 건전하게 운영 하여야 하고 , 학교에 속하는 회계의 세출예산은 이를 목적 외에 사용하지 못하도록 되어 있으며 , ｢ 사립학교법 ｣ 제 55 조에 따르면 사립학교 교원의 복무에 관하여는 국립학교 · 공립학교 교원에 관한 규정을 준용하고 , ｢ 학교법인 일현학원 정관 ｣ 제 74 조에 따르면 일반직원의 복무에 관하여는 사립학교 교원에게 적용하는 규정을 준용하며 , ｢ 극동대학교 취업규칙 ｣ 제 4 조 및 제 8 조에 따르면 직원은 맡은바 직무를 성실히 수행하여야 하고 , 직원은 직무 이외에 다른 직무를 겸할 수 없으며 , 대학교는 업무 수행을 위하여 필요한 경우 직원에게 출장을 명할 수 있고 , ｢ 극동대학교 여비규정 ｣ 제 1 조에 따르면 이 규정은 교직원이 학교업무와 관련하여 국내외에 출장할 때에 지급할 출장여비의 지급 기준을 정함을 목적으로 한다고 되어있는데도 , - 극동대학교는 2015. 12. 2. E 를 서울시","- 극동대학교는 2015. 12. 2. E 를 서울시 ○○ 빌딩 6 층 소재 F 의 개인사무실에서 비서업무를 수행하도록 출장 조치하는 등 【 붙임 】“F 비서업무 수행 관련 직원 출장비 지급 부적정 현황 ” 과 같이 2015. 12. 부터 2020. 11. 까지 위 E 에게 F 의 개인 비서업무를 수행하도록 총 654 회 출장 조치하고 출장비로 합계 19,329,600 원을 집행한",경징계 (2 명 ); 경고 (2 명 )
7,"국가연구개발사업 연구개발능률성과급 지급 부적정 ◦ ｢ 국가연구개발사업의 관리 등에 관한 규정 ｣ ( 과학기술정보 통신부 , ~2020. 12. 31.) 제 12 조 제 5 항 관련 [ 별표 2] “ 연구 개발비 비목별 계상기준 ” 에 따르면 연구개발능률성과급 이란 연구기관의 장이 우수한 연구성과를 낸 연구자 및 우수한 지원인력에게 지급하는 능률성과급으로 , 연구 기관은 자체적으로 성과평가를 실시하고 , 그 결과에 따라 연구개발능률성과급을 지급하여야 한다 * 고 되어 있으며 , ｢ 연구개발능률성과급 적용원칙 종합안내 ｣ ( 국가 과학기술위원회 , `12.9.) 에 따르면 성과급은 성과평가를 통해 공정하고 합리적으로 배분하되 간접비 흡수로 기관재정에 기여하였다는 이유로 간접비의 일정액을 연구자에게 지급하거나 과제별로 간접비 수입에 대하여 지급하는 것은 허용되지 아니한다고 되어 있고 , ｢ 산업 기술혁신사업 사업비 산정 , 관리 및 사용 , 정산에 관한 요령 ｣ ( 산업통상자원부 고시 , ~2022. 1. 3.) 제 4 조 제 1 항 관련 [ 별표 3] “ 산업기술혁신사업 간접비 사용용도 및 세부 산정기준 ” 에 따르면 산업기술개발사업 , 산업기술기반 조성사업 등 산업기술혁신사업의 연구개발능률성과급은 연구지원인력 ( 행정인력 및 연구지원전문가 포함 ) 에 대해서만 지급하여야 한다 ** 고 되어 있는데도 , * 2021. 1. 1.부터 ｢ 국가연구개발혁신법｣ 이 시행됨에 따라 ｢ 국가연구개발 사업의 관리 등에 관한 규정｣ 이 폐지되었고, 해당 내용은 ｢ 국가연구 개발사업 연구개발비 사용 기준｣ (과학기술정보통신부 고시) 제30조에 연구개발기관의 장은 연구개발능률성과급을 지급할 때에 참여연구자와 연구지원인력을 모두 포함하여 자체적으로 성과평가를 실시한 후 지급 하여야 한다고 규정됨 ◦ 기관경고 - 극동대학교 산학협력단 ◦ 개선 - ｢ 연 구 개 발 능 률 성 과 급 지 급 지 침 ｣ 을 ｢ 국 가 연구개발사업 연구 개발비 사용 기준 ｣ 등 에 부 합 하 게 개 정 하 고 , 국 가 연 구 개 발 사업 연구개발능률 성 과 급 지 급 시 성 과 평가를 실시한 후 지급하기 바람 ◦ 시정 ( 회수 ) - ｢ 산업기술혁신사업 사업비 산정 , 관리 및 사용 , 정산에 관한 요령 ｣ 개정 (`22.1.4.) 전 산업 기 술 혁 신 사 업 연구책임자에게 지급한 연구개발 능률성과급 합계 7 , 5 2 6 , 0 0 0 원 을 연 번 지 적 사 항 처 분 ** 2022. 1. 4. ｢ 산업기술혁신사업 사업비 산정, 관리 및 사용, 정산에 관한 요령｣ 이 개정되면서 ‘연구개발능률성과급은 연구지원인력에 대해서만 지급하여야 한다’는 내용이 삭제됨 - 극동대학교 산학협력단은 2016. 10. 17. ‘ 연구개발능률 성과급 지급 시 납부된 간접비에 따라 차등 적용 ’ ( 별도 성과평가 규정은 없음 ) 하는 것으로 ｢ 산학협력단 연구개발 능률성과급지급 지침 ｣ 을 개정한 뒤 , 2019. 4. 25. “ ㄷ ” 과제를 수행한 H 에게 성과평가 실시 없이 간접비 납부액 (8,680,000 원 ) 의 10% 인 868,000 원을 연구개발능률 성과급으로 지급하는 등","- 극동대학교 산학협력단 ◦ 개선 - ｢ 연 구 개 발 능 률 성 과 급 지 급 지 침 ｣ 을 ｢ 국 가 연구개발사업 연구 개발비 사용 기준 ｣ 등 에 부 합 하 게 개 정 하 고 , 국 가 연 구 개 발 사업 연구개발능률 성 과 급 지 급 시 성 과 평가를 실시한 후 지급하기 바람 ◦ 시정 ( 회수 ) - ｢ 산업기술혁신사업 사업비 산정 , 관리 및 사용 , 정산에 관한 요령 ｣ 개정 (`22.1.4.) 전 산업 기 술 혁 신 사 업 연구책임자에게 지급한 연구개발 능률성과급 합계 7 , 5 2 6 , 0 0 0 원 을 연 번 지 적 사 항 처 분 ** 2022. 1...",※ 2021년부터 관련 예산 부족으로 연구개발능률성과급 미지급 관 련 자 로 부 터 회수하여 관련 회계에 세입조치 하기 바람
8,"연구개발비 부당 집행 ◦ ｢ 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 ｣ 제 27 조에 따르면 산학협력단의 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 따라 공정하게 하여야 한다고 되어 있고 , ｢ 국가연구개발사업의 관리 등에 관한 규정 ｣ (~`20. 12. 31.) 제 19 조 제 9 항 관련 [ 별표 2 의 2] 에 따르면 연구개발과제 수행과 관련이 없거나 증명서류가 미비한 집행 금액은 부당집행 금액으로 되어 있으며 , ｢ 국가연구개발사업 연구관리 표준매뉴얼 ｣ (~`20. 12. 31.) 에 따르면 외부기관 참석 없이 단일 수행기관 내부 직원 ( 내부 참여연구원 포함 ) 간 회의비로 집행된 금액 및 주류 등 유흥성 경비가 포함되어 있는 회의비는 부당집행 사례 라고 되어 있고 , ｢ 국가연구개발사업 연구개발비 사용 기준 ｣ (`21. 1. 1.~) 제 22 조 제 2 항에 따르면 연구개발기관의 장은 연구개발비 사용을 입증할 증명자료를 갖추어야 한다고 되어 있으며 , ｢ 극동대학교 법인카드 사용 및 관리규정 ｣ 제 5 조 및 제 6 조에 따르면 동일 장소 , 동일 시간대에 사용한 카드대금을 분할하여 지급의뢰해서는 아니 되고 , 법인카드의 투명한 사용을 위하여 유흥업종 , 사행업종 등은 제외하도록 한다고 되어 있으며 , ｢ 극동 대학교 외부연구비 관리규정 세부시행지침 ｣ 제 13 조 , 제 17 조 , [ 별지 제 5-1 호 ] 및 [ 별지 제 13 호 ] 에 따르면 회의비는 1 인당 3 만원 이내로 청구하고 , 연구책임자의 연구수행에 있어서 정당한 사유 없이 연구비를 지급 목적에 위반하여 사용한 때 , 연구비의 지급목적이 달성될","- 극동대학교 I 는 2019. 9. 24. 양주 등 주류를 주로 판매 하는 업소인 ‘▽▽’ 에서 “ ㅁ ” 연구비 카드로 280,000 원을 집행하는 등 【 붙임 1】“ 주류 등 유흥성 경비 연구비 카드 집행 현황 ” 과 같이 2019. 9. 부터 2020. 3. 까지 위 I 등 2 명은 양주 등 주류를 주로 판매하는 업소인 ‘▽▽’ 에서 총 12 차례에 걸쳐 연구비 카드로 합계 3,060,000 원을 집행한 사실이 있고 , ※ 2019. 12.경 산학협력단의 문제제기로 위 ‘▽▽’ 집행분 2건 (합계 780,000원)을 반납한 이후에도 지속 집행(7회) 【 내부...",* 일부 이미지 파일은 검수대상 물품의 수량과 일치시키기 위해 복사-붙여넣기 하여 첨부
9,"입시관리위원회 회의 운영 부적정 ◦ ｢ 고등교육법 ｣ 제 34 조의 5 및 ｢ 같은 법 시행령 ｣ 제 32 조에 따라 공표된 ｢ 대학입학전형기본사항 (2019 학년도 ~2022 학년도 , 한국대학교육협의회 ) ｣ 에 따르면 대학은 입학전형의 공정성 · 투명성 제고를 위해 노력해야 하고 , 특히 공정성 확보를 위하여 ‘ 대학입학전형관리위원회 ’ 를 구성 · 운영하여야 하며 , ｢ 극동대학교 입시관리위원회 규정 (2015.6.23. 개정 ) ｣ 제 5 조에 따르면 입시관리위원회 회의는 재적위원 과반수 이상의 출석으로 개의하고 , 출석위원 과반수의 찬성으로 의결한다고 되어 있는데도 , - 극동대학교는 2020. 1. 31. 개최한 2020 년도 제 2 차 입시 관리위원회에서 재적위원 6 명 중 3 명이 참석하여 회의 개의 정족수가 미달함에도 ‘2020 학년도 정시 신입학 성적사정 ’ 안건을 의결하는 등",- 극동대학교는 2020. 1. 31. 개최한 2020 년도 제 2 차 입시 관리위원회에서 재적위원 6 명 중 3 명이 참석하여 회의 개의 정족수가 미달함에도 ‘2020 학년도 정시 신입학 성적사정 ’ 안건을 의결하는 등 【 붙임 】“2020 년도 입시 관리위원회 회의 정족수 미달 현황 ” 과 같이 2020. 1. 부터 2020. 12. 까지 총 9 차례에 걸쳐 입시관리위원회 회의 개의 정족수가 미달하였는데도 ‘2020 학년도 정시 신입학 성적 사정 ’ 등 9 건의 안건을 의결한,통보
10,"미등록자 제적ᆞ휴학 지연 처리 및 재학생 충원율 공시 부적정 ◦ ｢ 고등교육법 ｣ 제 6 조 및 ｢ 같은 법 시행령 ｣ 제 4 조에 따르면 대학은 법령의 범위에서 학교규칙을 제정하거나 개정 할 수 있고 , 학교규칙에는 등록 및 수강 신청 , 제적 , 휴학에 관한 사항을 기재하여야 하며 , ｢ 극동대학교 학칙 ｣ 제 23 조 및 제 28 조 , 제 47 조에 따르면 학생은 매 학기 초 소정기일 안에 소정절차에 의한 등록을 완료하여야 하고 , 소정 기일 내에 등록하지 아니한 자는 제적한 다고 되어 있으며 , 당해 학기 수학이 불가능한 자는 매학기 등록기간이 시작되기 전에 휴학원을 제출하되 , 등록을 마친 후 학기 도중에 가사 등의 이유로 휴학을 하고자 하는 학생은 매 학기 시작일로부터 3 주 이내에 휴학원을 제출하여 총장의 승인을 받아야 하며 , ｢ 극동 대학교 학칙시행세칙 ｣ 제 9 조에 따르면 학생은 매 학기 소정기일 내에 지정 장소에 등록금을 납부하고 수강 신청을 완료함으로써 재학생 자격을 갖는다고 되어 있으며 , ｢ 교육관련기관의 정보공개에 관한 특례법 ｣ 제 6 조에 따르면 고등교육을 실시하는 학교의 장은 그 기관이 보유 · 관리하고 있는 충원율 , 재학생 수 등 학생현황을 매년 1 회 이상 공시하여야 한다고 되어 있는데도 , - 극동대학교 교학처는 2019 학년도 1 학기 K 가 재학생 등록기간 (2019. 2. 25. ~ 3. 1.) 내 등록을 하지 않았음에도 , 정당한 이유 없이 ‘ 재학생 충원율 ’ 산정 기준일 (4. 1. 자 ) 이후인 2019. 5. 28. 제적 처리하고 ‘ 재학생 충원율 ’ ◦ 경고 (4 명 ) 연 번 지 적 사 항 처 분 정보공시에 포함 · 공시하는 등","- 극동대학교 교학처는 2019 학년도 1 학기 K 가 재학생 등록기간 (2019. 2. 25. ~ 3. 1.) 내 등록을 하지 않았음에도 , 정당한 이유 없이 ‘ 재학생 충원율 ’ 산정 기준일 (4. 1. 자 ) 이후인 2019. 5. 28. 제적 처리하고 ‘ 재학생 충원율 ’ ◦ 경고 (4 명 ) 연 번 지 적 사 항 처 분 정보공시에 포함 · 공시하는 등 【 붙임 1】“ 미등록 학생 제적 처리 지연 충원율 반영 현황 ” 과 같이 2019 학년도 부터 2021 학년도까지 등록기간 내 등록하지 아니한 위 K 등 59 명에 대하여 정당한 이유 없이 ‘ 재학생 충원율...",경고
