연번,지적사항,주요내용(요약),처분요구
1,기본재산 관리 부적정,"기본재산 관리 부적정 ◦교육용기본재산 5필지(686,408㎡)를 용도대로 활용하지 않아 재산세 합계 19,666천원 납부 ◦교육부 허가 없이 교육용기본재산에 수익용 건물(5개층 6,288㎡)을 지어 수익 사업(임대업) 운영 ◦수익용기본재산(4필지, 3,877㎡)를 제3자에게 무상으로 사용하게 하거나 나대지로 방치 【지방세특례제한법 제41조, 사립학교법 제28조 제1항】 ◦경고 - 6명 ◦통보 - 토지 5필지 합계 686,408㎡ 를 교육용으로 활용하고, 교육용으로 활용이 불가 능한 경우 매각하여 교비 회계로 세입조치하고, - 허가 없이 수익용으로 사용 하고 있는 교육...","기본재산 관리 부적정; 교육용기본재산 5필지(686,408㎡)를 용도대로 활용하지 않아 재산세 합계 19,666천원 납부; 교육부 허가 없이 교육용기본재산에 수익용 건물(5개층 6,288㎡)을 지어 수익 사업(임대업) 운영; 수익용기본재산(4필지, 3,877㎡)를 제3자에게 무상으로 사용하게 하거나 나대지로 방치 【지방세특례제한법 제41조, 사립학교법 제28조 제1항】; 경고 - 6명; 통보 - 토지 5필지 합계 686,408㎡ 를 교육용으로 활용하고, 교육용으로 활용이 불가 능한 경우 매각하여 교비 회계로 세입조치하고, - 허가 없이 수익용으로 사용 하고 있는 교육용기 본 재 산 6필 지합 계6,783㎡ 에 대해 법정 절차를 거쳐 용도변경 등 조치를 하며, - 제3자가 무상으로 사용하고 있거나 나대지로 방치하고 있는 수익용기본재산 4필지…"
2,제 3자소 유토 지교 지 사 용,"제 3자소 유토 지교 지 사 용 ◦(재)OOOOOOOOO재단 또는 (재)OOOOOOO 소유 20필지 중 합계 17,427㎡를 교지 (부속병원 용도)로 사용 【대학설립 ․ 운영 규정 제2조 제6항】 ◦경고 - 6명 ◦통보 - 교지로 사용하고 있는 제3자 소유 20필지 중 합계 17,427㎡에 대 한 소 유 권 을 확보하기 바람","제 3자소 유토 지교 지 사 용; (재)OOOOOOOOO재단 또는 (재)OOOOOOO 소유 20필지 중 합계 17,427㎡를 교지 (부속병원 용도)로 사용 【대학설립 ․ 운영 규정 제2조 제6항】; 경고 - 6명; 통보 - 교지로 사용하고 있는 제3자 소유 20필지 중 합계 17,427㎡에 대 한 소 유 권 을 확보하기 바람"
3,법 인 적 립 금 관 리 부 적 정,"법 인 적 립 금 관 리 부 적 정 ◦적립금(27회, 26,014,730천원)을 교육부 허가 없이 부속병원 투자금, 법정부담금 전출 등 용도로 사용 【사립학교법 제28조 제1항, 사립학교법 시행령 제5조 제1항】 ◦경고 - 6명 ◦통보 - 보통재산으로 관리하고 있는 적립금 31,102,282 천원(´17. 9. 8. 기준)을 기 본 재산으로 관리 하기 바람","법 인 적 립 금 관 리 부 적 정; 적립금(27회, 26,014,730천원)을 교육부 허가 없이 부속병원 투자금, 법정부담금 전출 등 용도로 사용 【사립학교법 제28조 제1항, 사립학교법 시행령 제5조 제1항】; 경고 - 6명; 통보 - 보통재산으로 관리하고 있는 적립금 31,102,282 천원(´17. 9. 8. 기준)을 기 본 재산으로 관리 하기 바람"
4,부 속 병 원기 부 금법 인세 입,"부 속 병 원기 부 금법 인세 입 ◦부속병원회계에 세입처리하여야 할 기부금 (6건, 291,000천원)을 법인회계에 세입처리 하여 사무국 운영비 등으로 사용 【사립학교법 제29조 제1항 및 제2항】 ◦경고 - 6명 ◦시정 - 법인회계에 세입처리한 부속병원 시설비 등 용도 기부금 합계 291,000천원을 부 속 병 원 회 계 로전 출 하 기 바람","부 속 병 원기 부 금법 인세 입; 부속병원회계에 세입처리하여야 할 기부금 (6건, 291,000천원)을 법인회계에 세입처리 하여 사무국 운영비 등으로 사용 【사립학교법 제29조 제1항 및 제2항】; 경고 - 6명; 시정 - 법인회계에 세입처리한 부속병원 시설비 등 용도 기부금 합계 291,000천원을 부 속 병 원 회 계 로전 출 하 기 바람"
5,법인 자금 관리 부적정,"법인 자금 관리 부적정 ◦부속병원 전입금을 늦게 예치하거나 만기 도달한 정기예금의 재예치를 지연함에 따라 합계 16,249천원 이자수익 손실 초래 【사학기관 재무·회계 규칙 제4조 및 제7조 제1항】 ◦통보 - 법인자금은 사업진도를 고려하여 효율적으로 관리하기 바람","법인 자금 관리 부적정; 부속병원 전입금을 늦게 예치하거나 만기 도달한 정기예금의 재예치를 지연함에 따라 합계 16,249천원 이자수익 손실 초래 【사학기관 재무·회계 규칙 제4조 및 제7조 제1항】; 통보 - 법인자금은 사업진도를 고려하여 효율적으로 관리하기 바람"
6,학교법인 직원의 他법인 업무수행,학교법인 직원의 他법인 업무수행 ◦법인 사무국 소속 직원(6명)에게 (재)OO OOO 유지재단이 설치․경영하는 유치원 및 어린이집 27개의 예․결산 업무 등을 담당하도록 지시 【학교법인 선목학원 정관 제78조 제1항】 ◦경고 - 6명 ◦통보 - 법인직원이 他법인의 업무를 수행하는 일이 없도록 하기 바람,학교법인 직원의 他법인 업무수행; 법인 사무국 소속 직원(6명)에게 (재)OO OOO 유지재단이 설치․경영하는 유치원 및 어린이집 27개의 예․결산 업무 등을 담당하도록 지시 【학교법인 선목학원 정관 제78조 제1항】; 경고 - 6명; 통보 - 법인직원이 他법인의 업무를 수행하는 일이 없도록 하기 바람
7,이사회 심의 의결 사항 未심의 의결,"이사회 심의 의결 사항 未심의 의결 ◦이사회 심의․의결 안건(15건)을 보고 사항으로 처리 【사립학교법 제16조 제1항, 사학기관 재무ㆍ회계 규칙 제18조】 ◦경고 - 3명 【 인사·복무 】 8. 교원 특별채용 절차 未준수 ◦전임교원 26명 특별채용시 서류심사, 자격심사, 면접심사, 임용 결격사유 조회 및 신원조사 등 채용절차 미준수 【사립학교법 제53조의2, 제54조의3 제5항, 국가공무원법제33조, 교육부 보안업무규정 시행세칙 제6조, 제7조, 학교법인선목학원 정관 제41조 제2항, 대구가톨릭대학교 ◦기관경고 교원인사 규정제8조 제1항, 대구가톨릭대학교 전임교원신...","이사회 심의 의결 사항 未심의 의결; 이사회 심의․의결 안건(15건)을 보고 사항으로 처리 【사립학교법 제16조 제1항, 사학기관 재무ㆍ회계 규칙 제18조】; 경고 - 3명 【 인사·복무 】 8. 교원 특별채용 절차 未준수; 전임교원 26명 특별채용시 서류심사, 자격심사, 면접심사, 임용 결격사유 조회 및 신원조사 등 채용절차 미준수 【사립학교법 제53조의2, 제54조의3 제5항, 국가공무원법제33조, 교육부 보안업무규정 시행세칙 제6조, 제7조, 학교법인선목학원 정관 제41조 제2항, 대구가톨릭대학교; 기관경고 교원인사 규정제8조 제1항, 대구가톨릭대학교 전임교원신규채용 내규 제17조 제1항 및 제2항】"
9,교 원 채 용 심 사 위 원 위 촉 부적정,"교 원 채 용 심 사 위 원 위 촉 부적정 ◦전임교원(3개 학과, 3명) 채용시 지원자 석사 및 박사학위 과정 지도교수(교원 4명)를 기초심사 및 전공심사 위원으로 위촉 【사립학교법 제53조의5, 교육공무원법 제11조의3, 대구가톨릭대학교 전임교원 신규채용 내규 제9조 제1항, 제11조 제2항】 ◦경고 - 3명","교 원 채 용 심 사 위 원 위 촉 부적정; 전임교원(3개 학과, 3명) 채용시 지원자 석사 및 박사학위 과정 지도교수(교원 4명)를 기초심사 및 전공심사 위원으로 위촉 【사립학교법 제53조의5, 교육공무원법 제11조의3, 대구가톨릭대학교 전임교원 신규채용 내규 제9조 제1항, 제11조 제2항】; 경고 - 3명"
10,겸직 未승인 및 복무 未처리 외부 출강,"겸직 未승인 및 복무 未처리 외부 출강 ◦교원 3명이 총장의 겸직 승인을 받지 않고 근무상황 처리도 하지 않은 채 외부기관 출강 【사립학교법 제55조 제1항, 국가공무원법 제64조, 국가공무원 복무규정 제26조, 대구가톨릭대학 교 교원인사 규정 제3조의","겸직 未승인 및 복무 未처리 외부 출강; 교원 3명이 총장의 겸직 승인을 받지 않고 근무상황 처리도 하지 않은 채 외부기관 출강 【사립학교법 제55조 제1항, 국가공무원법 제64조, 국가공무원 복무규정 제26조, 대구가톨릭대학 교 교원인사 규정 제3조의"
2,제1항】,"제1항】 ◦경고 - 2명 ◦주의 - 1명 11.私 기 업 체 자 문 료 수 령 부적정 ◦감정평가사 자격이 없는 교원 1명이 감정평가법인 사외이사 겸직을 허가받고 사외이사로 등기되지 않은 상태에서 자문 활동을 하고 자문료 명목으로 매월 100만원 합계 10,000천원 수령 【사립학교법 제55조 제1항, 국가공무원법 제64조, 국가공무원 복무규정」제25조, 교육공무원법 제19조의2 제1항, 대구가톨릭 대학교 교원 인사규정 제3조의","제1항】; 경고 - 2명; 주의 - 1명 11.私 기 업 체 자 문 료 수 령 부적정; 감정평가사 자격이 없는 교원 1명이 감정평가법인 사외이사 겸직을 허가받고 사외이사로 등기되지 않은 상태에서 자문 활동을 하고 자문료 명목으로 매월 100만원 합계 10,000천원 수령 【사립학교법 제55조 제1항, 국가공무원법 제64조, 국가공무원 복무규정」제25조, 교육공무원법 제19조의2 제1항, 대구가톨릭 대학교 교원 인사규정 제3조의"
