연번,지적사항,주요내용(요약),처분요구
1,"소송비용 확정 미신청 ◦ ｢ 민사소송법 제110조 제1항에 따르면 소송비용의 부 담을 정하는 재판에서 그 액수가 정하여지지 아니한 경우에 제1심 법원은 그 재판이 확정되거나, 소송비 용부담의 재판이 집행력을 갖게 된 후에 당사자의 신 청을 받아 결정으로 그 소송비용액을 확정한다고 되어 있고, 사학기관 재무·회계 규칙 제4조 및 제28조 제 2항에 따르면 법인의 재무와 회계는 건전하게 운영하 여야 하고, 세입징수자는 납부의무자에게 기일을 정하여 문서로서 납입의 고지를 하여야 한다고 되어 있는데도, - 학교법인 대진대학교는 2019. 11. 14. 학교법인이 설립한 A이(가) 학교법인을 상대로 제기한 ‘ㄱ’ 소송에서 승소가 확정되었는데도 2021. 9. 감사일 현재까지 소송 비용 3,300천원을 확정 신청하지 않아 소송 상대방으로 부터 비용 보전을 받지 않은 등","- 학교법인 대진대학교는 2019. 11. 14. 학교법인이 설립한 A이(가) 학교법인을 상대로 제기한 ‘ㄱ’ 소송에서 승소가 확정되었는데도 2021. 9. 감사일 현재까지 소송 비용 3,300천원을 확정 신청하지 않아 소송 상대방으로 부터 비용 보전을 받지 않은 등【붙임】“소송비용 확정 미신청 현황”과 같이 2019. 8.부터 2020. 12.까지 위 A 등 2명이 제기한 4건의소송에서 상대방이 소를 취하 하거나 승소가 확정되었는데도 2021. 9. 감사일 현재까지 소송비용 합계 13,200천원을 확정 신청 하지 않아 소송 상대방으로부터 비용 보전을 받지 않은","주의(2명); 통보 - ‘ㄱ’ 소송 등 4건의 소송비용 확정 신청을 하고 소송 상대방으로부터 해당금원을 지급 받기 바람 【붙임】 소송비용 확정 미신청 현황 (단위 : 천원) 연번 소송명 (소송번호) 당사자 사건요지 소송결과 (판결일자) 소송비용 확정신청 대상 금액 원고 피고 1 - - 학교법인 대진대학교 - 피고 승소 (2019. 11. 14.) 3,300 2 - - 학교법인 대진대학교 피고 승소 (2019. 8. 14.) 3,300 3 - - 학교법인 대진대학교 - 원고 소 취하 3,300 4 - - 학교법인 대진대학교 - 피고 승소 (2020.12.17.) 3,300 합 계 13,200 감사결과 처분서 기관명 : 학교법인 대진대학교"
2,"기부금 업무처리 부적정 ◦ 사립학교법 제29조 제1항에 따르면 학교법인의 회 계는 그가 설치·경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 같은 법 시행령 제13조 제1항 제8의2호에 따르면 학교가 학교교육에 사용할 목적으로 받은 기부금은 교비회계의 세입으로 하도록 되어 있는데도, - 학교법인 대진대학교는 2018. 3. 20.","- 학교법인 대진대학교는 2018. 3. 20. ○○이(가) ‘ㄴ’ 목적으로 기부한 12,650천원을 법인회계에 세입처리 하는 등【붙임】“학교 장학금 목적 기부금 법인회계 세입처리 현황”과 같이 2018. 3.부터 2021. 4.까지 ○○ 및 □□이(가) 학교 장학금 목적으로 기부한 합계 2,094,693천원 * 을 법인회계로 세입처리한","* 경상비 목적으로 전액 교비회계로 전출; 경고(3명) 【붙임】 학교 장학금 목적 기부금 법인회계 세입처리 현황 (단위 : 천원) 연번 기부일 기부자 기부 목적 금액 1 2018.03.20 - - 12,650 2 2018.04.13 - - 13,500 3 2018.05.16 - - 12,950 4 2018.06.12 - - 12,700 5 2018.07.25 - - 12,700 6 2018.08.16 - - 12,700 7 2018.09.20 - - 11,100 8 2018.10.15 - - 11,100 9 2018.11.13 - - 11,100 10 2018.12.10 - - 10,900 11 2019.01.15 - - 10,450 12 2019.02.15 - - 10,450 13 2018.05.14 - - 221,686 14 2018.0…"
3,"교직원 징계업무 처리 부적정 ◦ ｢ 사립학교법 ｣ 제55조 제1항에 따르면 사립학교 교원의 복무에 관하여는 국 ‧ 공립학교 교원에 관한 규정을 준용 한다고 되어 있고, ｢ 사립학교법 ｣ 제64조 및 ｢ 학교법인 대진대학교 정관 ｣ 제58조의2에 따르면 교원의 임용권자는 그 소속 교원 중 징계사유에 해당하는 자가 있을 때에는 미리 충분한 조사를 한 후 당해 징계 사건을 관할하는 교원징계위원회에 그 징계의결을 요구하도록 되어 있으며, ｢ 사립학교법 시행령 ｣ 제25조에 따르면 교원에 대한 징계의결 요구서에는 징계혐의자의 인적사항 및 징계의 종류와 양 등을 기재한 서류를 첨부하여야 한다고 되어 있고, ｢ 학교법인 대진대학교 정관 ｣ 제54조 제2항, 제3항 및 제4항에 따르면 징계는 파면·해임·정 직·감봉·견책으로 구분하고, 각각 정직과 감봉의 기간을 구분하고 있으며, ｢ 대진대학교 직원인사규정 ｣ 제35조 제4항에 따르면 직원의 징계절차 및 방법에 관하여 교원 징계위원회의 규정을 준용하도록 규정되어 있고, ｢ 사립학 교법 시행령 ｣ 제24조의9에 따르면 교원징계위원회는 징계의결 요구를 받았을 때에는 그 요구서를 받은 날부터 60일 이내에 징계에 관한 의결을 해야 하며, 부득이한 사유가 있을 경우 위원회의 의결로 30일 범위에서 1차에 한정하여 그 기한을 연기할 수 있다고 되어 있으며, ｢ 국 가공무원법 ｣ 제82조 제2항에 따르면 징계의결 등을 요구 한 기관의 장은 징계위원회의 의결이 가벼울 경우 그 처분을 하기 전에 재심사를 청구할 수 있다고 되어 있는데도, ◦경고(3명) ◦통보 - 관련 규정에 따라 징 계 업 무 를 처리하기 바람 연 번 지 적 사 항 처 분","- 학교법인 대진대학교는 2018. 6. 14. △△ 지방검찰청 으로부터 ㄷ (으)로 ‘구약식 (벌금 500만원) ’ 처분 통보된 B에 대한 징계의결을 요구하면서 징계의 종류와 양 을 기재하지 않는 등 【 붙임 】 “징계양정 미지정 징계 의결 요구 현황”과 같이 2018. 6.부터 2021. 8. 까지 위 B 등 10명의 교직원에 대한 징계의결을 요구하 면서 징계의 종류와 양을 기재하지 않은 사실이 있음 - 또한, 학교법인 대진대학교는 2018. 6. 14. ▷▷ 지방 검찰청으로부터 ㄹ (으)로 기소유예 처분된 C의 징계 양정이 ｢ 교육공무원 징계양정 등에 관한 규칙...",【 붙임 】 징계양정 미지정 징계의결 요구 현황 연번 징계의결 요구일 직급 대상자 징계사유 징계의결 요구 시 양정 의견 결과 1 2018.6.14. - - - 없음 정직(1월) 2 2018.6.27. - - - 없음 감봉(2월) 3 2018.8.14. - - - 없음 감봉(2월) 4 2019.9.4. - - - 없음 견책 5 2019.10.25. - - - 없음 감봉(1월) 6 2019.10.30. - - - 없음 감봉(1월) 7 2019.10.30. - - - 없음 감봉(3월) 8 2019.10.30. - - - 없음 감봉(1월) 9 2021.5.3. - - - 없음 견책 10 2021.3.29. - - - 없음 - 【 참고 】 징계의결 기한 초과 등 현황 소속 직급 성명 징계 제청일 징계의결 요구일 징계의결 기한 초과일수 징계위원회 개최…
4,"교원 임용 제청 부적정 ◦ ｢ 사립학교법 ｣ 제54조의3 제5항에 따라 준용되는 ｢ 국가 공무원법 ｣ 제33조에는 각 호의 결격사유에 해당하는 자는 교원으로 임용될 수 없다고 되어 있고, ｢ 아동 ․ 청 소년의 성보호에 관한 법률 ｣ 제56조 제1항 및 제5항에 따르면 ｢ 고등교육법 ｣ 제2조의 학교장은 그 기관에 취 업하려 하거나 사실상 노무를 제공하려는 자에 대하여 성범죄 경력을 확인하여야 한다고 되어 있는데도, - 대진대학교는 2021. 2. 25. M을(를) 성범죄 경력 회보 (2021. 3. 4.) 전 2021학년도 1학기 신규 전임교원으로 임용 제청하는 등",- 대진대학교는 2021. 2. 25. M을(를) 성범죄 경력 회보 (2021. 3. 4.) 전 2021학년도 1학기 신규 전임교원으로 임용 제청하는 등 【 붙임 】 “성범죄 경력 회보 전 교원 임용 제청 현황”과 같이 2021. 3. 1.자 교원 20명을 신규 임용하면서 성범죄 경력 회보일 이전 임용 제청한,※ 회보결과 신규임용 결격 사유 해당자는 없음; 주의(2명) 【 붙임 】 성범죄 경력 회보 전 교원 임용 제청 현황 연 번 소속 성명 직급 임용 제청일 임용일 성범죄 경력 조회일 성범죄 경력 회보일 1 - - - ‘21.2.25. ‘21.3.1. ‘21.3.2. ‘21.3.5. 2 - - - - - - - ‘21.2.26. 7 - - - - - - - - - - - - - - - - 사안별 감사결과 보고서 기관명 : 대진대학교
5,"신원특이자 보안심사위원회 미회부 등 ◦ ｢ 교육부 보안업무규정 시행세칙 ｣ 제6조 및 제7조 제2호에 따르면 사립학교 교직원은 임용 전에 신원조사를 실시 하여야 한다고 되어 있고, ｢ 같은 세칙 ｣ 제5조, ｢ 대진","- 대진대학교는 2020. 10. 1.자 정규직으로 임용된 N 및 O에 대한 신원조사를 임용 발령일로부터 12일 경과한 2020. 10. 13. 요청한 사실이 있고, - 2020. 10. 26. 위 신원조사 결과 ◁◁ 경찰청으로부터 위 O이(가) ㅇ 위반으로 ◇◇ 지방검찰청에서 수사* 중인 사실을 회신 받았음에도 보안심사위원회에 회부하지 않은",* 2022.2.22. 수사결과 혐의없음(증거불충분) 통보; 경고(4명); 주의(2명) 사안별 감사결과 보고서 기관명 : 대진대학교
6,전임교원 신규채용 심사결과 등 사전 유출 부당 ◦,"- 대진대학교 E은(는) 2020. 6. 3.경 ▽▽ 대학교 동창인 F이(가) “같은 대학 후배 H이(가) 대진대학교 ㅁ 학부(과) 【 ① 관 련 】 ◦경징계(2명) 【① , ③관 련】 ◦경징계(1명) 【 ② 관 련 】 ◦경고(2명) 연 번 지 적 사 항 처 분 전임교원 신규채용에 응시하는데, 잘 되었으면 좋겠다” 고 전화로 알려주자, 2020. 6. 19. 위 신규채용의 기초 심사 직전 오전 미상 시간에 평가위원인 ㅁ 학부(과) 교수 I에게 전화를 걸어 위 대학 후배 H이(가) 지원한 사실을 알리면서 기초심사 평가 후 본인의 사무실에 방문해 줄 것을 요구하였고, -...",【 참고 】 '20학년도 2학기 ㅁ학부(과) 전임교원 신규채용 경과 “생략”
7,기록물 관리 부적정 ◦,"- 대진대학교 ㅈ 부서는 2018. 4. 30. 보존기간 “3년”으로 책정 ‧ 관리해야 할 ㅋ , ㅌ , ㅍ 관련 기록물 및 보존기간 “5년”으로 책정 ‧ 관리해야 할 ㅎ 관련 기록물의 보존기간 을 “1년”으로 일괄 하향 책정하여 2016년 이전 생산된 위 기록물이 개인정보를 포함하고 있고, 사용목적을 달성했으며, 보존기간 “1년”이 경과되었다는 사유로 기록물 주관팀인 ㅊ 부서로 이관하지 않고 ㅈ 부서 내부 결재 후 자체 폐기하는 등 【 붙임1 】 “ ㅈ 부서 기록물 자체 폐기 현황(내부결재)”과 같이 ㅋ 관련 등의 기록물 을 ㅊ 부서로 이관하지 않고 기록물관리 전문...",원문 본문 OCR 필요
8,구매물품 납품 전 대금지급 부적정 ◦,"- 대진대학교 ㅊ부서는 2017. 2. 24. 복사용지 (A4지) 1,460박 스 (30,150천원) 를 구입하기로 업체 (ㅃ) 와 계약 후 물품 납품 도 없이 2017. 2. 28. 대금 30,150천원 전액을 지급 하고 실제 물품은 2017. 3. 9.부터 2021. 5. 31.까지 복사용지 (28,370천원) 와 기타 소모품 (1,420천원) 으로 납품 받는 등 【붙임】“구매물품 납품 전 대금지급 현황”과 같이 2017년부터 2021년까지 위 복사용지 (A4지) 1,460박스 등 사무용품 2종류를 구매 계약 후 물품 납품도 없이 대금 합계 60,150천원을 모두...","경고(5명) 【붙임】 구매물품 납품 전 대금지급 현황 연번 계약 내역 실제 납품 내역 계약일 입금일 계약대상자 계약금액 계약내용 납품일 납품금액 납품내용 1 ’17.02.24 ’17.02.28 - 30,150 A4용지 (1,460박스) ’17.03.09~’19.02.21 28,370 A4용지 (1,414박스) ’20.03.01.~’21.05.31 1,420 기타 소모품 2 ’20.02.20 ’20.02.28 - 20,000 A4용지 (1,000박스) ’20.03.01~’21.05.31 13,380 7,010 A4용지 (669박스) 토너 (37개) 3 ’20.02.26 ’20.02.28 - 10,000 토너 (53개) ’20.03.01~’21.05.31 10,000 토너 (64개) 합계 60,150 60,180 (단위 : 천원) 감사결과 처분…"
9,물품 검수 및 관리 등 부적정 ◦,"- 대진대학교 ㅆ부서는 2018. 6. 18. 구입한 냉장고와 다른 모델의 냉장고가 납품되었는데도 검수 없이 사용부서 (ㅉ) 로 인계 하는 등【붙임1】“구매물품 검수 ◦경고(5명) ◦주의(6명) ◦통보 -손 ․ 망 실 물 품 (1,133천 원 ) 에 대 한 원 인 등 을 파 악 한 후 , 관 련 규 정 등 에 따 라 변 상 등 의 조 치 를 취 하 기 바 람 ◦시정(회수) - 중복 청구 된 물품 수리 비용 (187천원) 을 관련자로부터 회수하여 세입처리 하기 바람 연 번 지 적 사 항 처 분 및 관리 부적정 현황”과 같이 2018년부터 2021년까지 납품 된 37건의...",【 붙임 1】 구매물품 검수 및 관리 부적정 현황 연번 구입일자 자산번호 품명 계약 규격 납품 규격 금액 납품회사 사용부서 사용 장소 종합감사 확인 결과 1 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 2 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 3 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 4 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 5 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 6 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 7 2018 18 - 냉장고 - - - 계약규격과 납품규격 다름 8 2020 21 - 냉장고 - - - 미사용(상자보관) 9 2020 21 - 냉장고 - - - 미사용(상자보관) 10 2019 05 - 전기레인…
10,교내 학술연구비 부당 수령 ◦,"- 대진대학교 P은(는) 2019. 7. 발표된 지도학생 Q의 석사학위논문과 동일한 제목으로 2019.6.18. 교내 학술 【① 관련】 ◦경징계(2명) 【② 관련】 ◦경고(3명) 【①,② 관련】 ◦시정(회수) - 교내 학술연구비를 부당하게 수령한 관련자로부터 합계 6,590천원을 관련 절차에 따라 회수 하여 관련회계에 세입조치하기 바람 연 번 지 적 사 항 처 분 연구비를 신청 (연구기간: 2019.3.1. ~ 2020.2.29.) 하고 위 논문을 출처표시 없이 단순 요약*하여 2019.10. ㄱㄱ학회지에 같은 제목으로 게재한 후, 동 실적을 2019.11.25. ㄱ...","【붙임 1】 교내 학술연구비 부당 수령 현황 (단위 : 천원) 연 번 석사 학위논문 제출 현황 학술지 등재 현황 교내 연구비 신청 학과 성명 학위 논문명 인준일 지도 교수 제 1 저 자 교신 저자 연구과제명 학술지 등록사항 계획서 제출일 연구기간 연구과제 선정일 지원 금액 성과물 제출일 1 - - - 2019.7. - - - - - - 2019.6.18 2019.3.1 ~ 2020.2.29 2019.7.2 2,000 2019.11.25 2 - - - 2019.12. - - - - - - 2020.4.3 2020.3.1. ~ 2021.2.28 2020.5.7 600 2020.8.31 합계 2,600 【붙임 2】 교내 학술연구비 지원과제 중 외부기관 지원현황 (단위 : 천원) 소속 직급 성명 교내연구과제 교외연구과제 지원사업명 과제명 (논문명)…"
