연번,지적사항,주요내용(요약),처분요구
1,"기록물 생산·관리 방식 부적정 ◦ ｢ 공공기록물 관리에 관한 법률｣ 제5조 및 제6조는 공공기관 및 기록물관리기관의 장은 기록물의 생산 부터 활용까지의 모든 과정에 걸쳐 진본성(眞本性), 무결성(無缺性), 신뢰성 및 이용가능성이 보장될 수 있도록 관리하여야 한다고 정하고 있고, 공공기관 및 기록물관리기관의 장은 기록물이 전자적으로 생산 ㆍ 관리되도록 필요한 조치를 마련하여야 하며, 전자적 형태로 생산되지 아니한 기록물도 전자적으로 관리 되도록 노력하여야 한다고 되어 있는데도, - 학교법인 동원교육재단 및 동원과학기술대학교는 개교 이래 2022. 12. 감사일 현재까지 공문 등 기록물을 전자적으로 생산·관리하지 않은 채 수기로 관리해온 사실이 있음",- 학교법인 동원교육재단 및 동원과학기술대학교는 개교 이래 2022. 12. 감사일 현재까지 공문 등 기록물을 전자적으로 생산·관리하지 않은 채 수기로 관리해온,"【 학 교 법 인 동 원 교 육 재 단 , 동원과학기술대학교】 ㅇ 기관주의 ㅇ 통보 - 생산·접수한 공공기 록물을 전자적으로 처리할 수 있는 시스 템을 마련하기 바람 <별도조치> ㅇ 통보(관련기관) - 기록물 관리 등 부 적정 사례를 통보 하니 업무에 참고 하시기 바람 감사결과 처분서 기관명 : 학교법인 동원교육재단"
2,"기부금 세입 처리 부적정 ◦ ｢ 사립학교법 시행령｣ 제13조 제1항에 따르면 학교가 학교교육에 사용할 목적으로 받은 기부금은 교비회계의 세입으로 처리하도록 되어 있고, ｢ 법인세법｣ 제24조 및 ｢ 소득세법｣ 제34조에 따르면 기부금 중 사립학교나 비영리교육재단에 학교의 시설비․교육비‧ 장학금‧ 연 구비로 지출하는 기부금은 ‘법정기부금(코드10)’, 학교 법인 등의 고유목적에 사용되는 기부금은 ‘지정기부금 (코드40)’이라고 되어 있는데도, - 학교법인 동원교육재단은 2019. 3. 18.","- 학교법인 동원교육재단은 2019. 3. 18. ○○으로부터 35,000천원의 기부금을 수령하면서 기부약정서 등 기부금품의 목적을 확인할 수 있는 문서 없이 법인 회계로 세입처리 하는 등【붙임1】“기부목적 미상 기부금 법인회계 세입처리 현황”과 같이 2019. 3. 18. 부터 2022. 1. 10.까지 위 ○○으로부터 받은 기부금 35,000천원 등 9차례에 걸쳐 합계 244,500천원의 기부 목적 미상 기부금을 법인회계로 세입 처리한 사실이 있음 - 한편, 학교법인 동원교육재단은 2019. 3. 18. ○○으로 부터 받은 35,000천원의 기부금을 법인회계로 세...",교육
3,"기본재산 관리 등 부적정 ◦ ｢ 사립학교법 시행령｣ 제4조 제2항에 따르면 사립학교의 기본재산은 교육용 기본재산과 수익용 기본재산으로 구분 하도록 하고 있고, ｢ 사학기관 재무·회계 규칙｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 한다고 되어 있으며, ｢ 대학설립·운영규정｣ 제7조 제1항 및 제3항에 따르면 학교법인은 규정에 따른 수익용 기본재산을 확보하고 전년도 예금은행 가중평균금리 중 저축성 수신 금리를 곱하여 산출한 금액 이상의 연간 수익이 발생하여야 한다고 되어 있고, ｢ 지방세특례제한법｣ 제41조에 따르면 ｢ 고등교육법｣ 에 따른 학교 등이 과세기준일 현재 해당 사업에 직접 사용하는 부동산에 대해서는 재산세를 면제하되, 해당 재산의 일부가 그 목적에 직접 사용되지 아니하는 경우의 그 일부 재산에 대해서는 면제하지 아니한다고 되어 있는데도,","- 학교법인 동원교육재단은 수익용 기본재산인 ㄱ 및 ㄴ 토지에 대하여 수익 없이 2019년도에 재산세 1,261,017원을 납부하는 등【붙임1】‘수익용 기본재산 미활용 현황’과 같이 2019년도부터 2022년도까지 위 ㄱ 및 ㄴ 토지 등 수익용 기본재산 2건에 대한 수익 없이 재산세 합계 7,389,510원을 납부하고, ㄷ 토지 등 5건에 대하여 수익을 내지 못하는 등 총 7건 토지에 대하여 미활용한 사실이 있음 【① 관련】 ㅇ 기관경고 ㅇ 통보 - ㄱ 토지 등 수익용 기본재산 7건에 대하여 매각 등을 포함한 수익창출 방안을 강구하기 바람 【② 관련】 ㅇ 기관경고 ㅇ...",경고
4,"교원 징계위원회 위원 구성 부적정 ◦ ｢ 사립학교법｣ 제62조 제2항 및 제4항에 따르면 교원 징계위원회는 위원장 1명을 포함한 5명 이상 11명 이하의 범위에서 학교의 규모 등을 고려하여 대통령령 으로 정하는 수의 위원으로 구성한다고 정하고 있고, 외부위원은 최소 2명 이상 포함하되 해당 학교법인 또는 사립학교경영자가 설치 ㆍ 경영하는 학교에 소속된 사람이 아니어야 하며, 학교법인에 두는 교원징계위원회의 경우 에는 해당 학교법인의 이사인 위원 수가 전체 위원 수의 2분의 1을 초과하지 아니어야 하고, 특정 성(性)이 위원장을 포함한 위원 수의 10분의 6을 초과하지 아니할 것으로 규정하고 있으며, ｢ 사립학교법 시행령｣ 제24조의7 제2항에 따르면 교원징계위원회의 위원 수는 법 제62조 제2항에 따라 학생 수가 200명 미만인 학교는 5명 이상 9명 이하, 학생 수가 200명 이상인 학교는 9명 이상 11명 이하의 범위에서 정해야 한다고 되어 있는데도, - 학교법인 동원교육재단은 2022. 3. 25. * 부터 2022. 12. 감사일 현재까지 ｢ 교원징계위원회 운영 규정｣ 에 ｢ 사립 학교법｣ 제62조 및 ｢ 사립학교법 시행령｣ 제24조의7의 개정사항을 반영하지 않은 채 ‘징계위원회는 5인의 위원 으로 구성하며, 외부위원 1명을 포함한다’는 조항을 유지하고, 5인의 징계위원 (외부위원1인, 전원 남성) 으로 징계위원회를 구성하고 있는 사실이 있음 *","- 학교법인 동원교육재단은 2022. 3. 25. * 부터 2022. 12. 감사일 현재까지 ｢ 교원징계위원회 운영 규정｣ 에 ｢ 사립 학교법｣ 제62조 및 ｢ 사립학교법 시행령｣ 제24조의7의 개정사항을 반영하지 않은 채 ‘징계위원회는 5인의 위원 으로 구성하며, 외부위원 1명을 포함한다’는 조항을 유지하고, 5인의 징계위원 (외부위원1인, 전원 남성) 으로 징계위원회를 구성하고 있는","*「 사립 학 교법 」 및 「 사립 학 교법 시 행 령」 의 시 행 시점 인 ’22. 3. 25.부터 포 함 ㅇ 기관경고 ㅇ 개선 - 사립학교법의 규정을 준수하여 자체규정을 개정하고, 이에 따라 징계위원회를 구성 하기 바람"
5,"이사회 안건 처리 등 부적정 ◦ ｢ 사립학교법｣ 제18조의2에 따르면 이사회는 안건, 표결 수 등의 사항을 적은 회의록을 작성하도록 되어 있고, ｢ 사립학교법 시행령｣ 제8조의3에 따르면 이사회 회의록은 회의일로부터","- 학교법인 동원교육재단 A는 2020. 2. 26. 개최된 ㅁ 의결 안건으로 포함되지 않았던 ㅅ 을, 이사회 의결을 받은 안건으로 처리하기 위해 ㅅ 을 의결한 이사회 회의록을 사후에 추가 작성한 사실이 있고, - 또한, 법인 ♧♧처장 (☆☆처장 겸직) B는 2022. 2. 26. 개최된 ㅂ 의결 안건으로 포함되지 않은 ㅇ 을, 이사회 의결을 받은 안건으로 처리하기 위해 ㅇ 을 의결한 회의록을 사후에 추가 작성한 사실이 있으며, 추가 작성된 ㅂ 회의록을 동원과학기술대학교 홈페이지에 공개하지 않은",ㅇ 경고(3명) 감사결과 처분서 기관명 : 동원과학기술대학교
6,"일반경쟁입찰 대상 수의계약 체결 부적정 ◦ ｢ 사학기관 재무·회계 규칙」제35조에 따르면 예정가격이 ｢ 국가를 당사자로 하는 계약에 관한 법률 시행령｣ 제26조 제1항 제5호 가목의 규정에 의한 금액(물품 제조·구매 및 용역 2천만원)을 초과하는 계약의 체결에 있어서는 일반경쟁에 부쳐야 한다고 되어 있는데도, - 동원과학기술대학교는 2019. 3. 18. 일반경쟁입찰 대상인 ‘ ㅈ (계약금액 25,955천원) ’에 대하여 (주)□□과 수의계약을 체결하는 등","- 동원과학기술대학교는 2019. 3. 18. 일반경쟁입찰 대상인 ‘ ㅈ (계약금액 25,955천원) ’에 대하여 (주)□□과 수의계약을 체결하는 등【붙임】“일반경쟁입찰 대상 수의계약 체결 부적정 현황”과 같이 2019. 3.부터 2022. 10.까지 위 ‘ ㅈ ’ 등 일반경쟁입찰 대상 물품구매 총 8건, 금액 합계 186,626천원에 대하여 수의계약을 체결한",ㅇ 주의(1명)
7,"건물 임대료 산학협력단 회계 세입처리 부적정 ◦ ｢ 사립학교법｣ 제29조에 따르면 교비회계에 속하는 수입이나 재산은 다른 회계로 전출 ㆍ 대여하거나 목적 외로 부정하게 사용할 수 없다고 되어 있고, ｢ 2020, 2021회계연도 국‧ 공‧ 사립대학 산학협력단 결산제출 안내 및 유의사항(교육부, 2021.4./2022.3.)｣ 에 따르면 산학협력단 소관 업무일지라도 대학소유 건물을 산학 협력단이 창업보육센터 및 연구소 등 외부에 임대하여 임대료 및 임대보증금을 수취하는 경우에는 산학협력단이 아닌 교비회계에서 관리되는 것을 원칙으로 운영하 여야 한다고 되어 있는데도, - 동원과학기술대학교 산학협력단은 2021. 3. 31.부터 2022. 12월 감사일 현재까지","- 동원과학기술대학교 산학협력단은 2021. 3. 31.부터 2022. 12월 감사일 현재까지【붙임】“대학소유 건물 임대료 산학협력단 회계 세입처리 부적정 현황”과 같이 대학소유 건물인 ▷▷에 입주한 ㈜△△ 등 총 66개 기업으로부터 임대료 수입 합계 231,282,227원 을 교비회계가 아닌 산학협력단 회계에 세입처리한","ㅇ 주의(1명) ㅇ 시정 - 산 학 협 력 단 에 서 징 수 한 학교시설 임대료 합 계 231,282,227원을 교비회계로 전출하 고, 필요 시 시설 사 용 협약 등을 체결 하기 바람"
8,"물품관리 부적정 ◦ ｢ 사학기관 재무‧ 회계 규칙｣ 제49조 및 제50조 제4항에 따르면 물품관리자, 물품출납원 및 물품사용자는 선량한 관리자로서의 주의와 의무를 다하여야 한다고 되어 있고, 물품관리자는 2년마다 정","- 동원과학기술대학교는 2017. 2. 28. 이후로 2022. 12. 감사일 현재까지 학교에서 보관 또는 사용 중인 교육용 또는 사무용 물품 (실험실습기자재는 제외 * ) 에 대한 재물조사를 실시하지 않아 각 계열(학과) 및 부서별 물품의 수량, 상태, 위치 등을 파악할 수 없고, 이에 따라 유형 고정 자산에 대한 도난, 망실, 파손, 불용처리 및 재고 여부를 파악하지 못하는 등 물품관리를 소홀히 한",* 실험실습기자재에 대한 재물조사는 산학협력처에서 별도 관리하여 매년 재물조사 실시 중 (동원과학기술대학교 실험실습관리운영규정 제10조 제1항) ※ 2018년 한국사학진흥재단에서 실시한 예·결산 및 기본재산 실태점검 (점검기간: 2018.10.29.∼11.1.) 결과 같은 사항을 지적 (처분:현장시정) 받은 바 있으나 개선되지 않음 ㅇ 경고(1명) ㅇ 주의(1명) ㅇ 통보 - 관 련 규 정 등 에 따 라 재 물 조 사 를 실 시 하여 물 품 관 리 방 안 을 마련하기 바람 감사결과 처분서 기관명 : 동원과학기술대학교
9,"원격수업 운영 미심의 ◦ ｢ 고등교육법｣ 제22조 및 ｢ 일반대학의 원격수업 운영에 관한 훈령(‘21.2.15., 교육부)｣ 제3조, 제6조에 따르면 일반 대학에서 원격수업을 운영할 경우 원격수업 교과목 분류 및 개설 기준, 원격수업의 운영, 이수기준, 출석관리, 원격 수업 관리위원회 등 세부사항을 학칙으로 정하여야 하고, 원격수업 관리위원회는 원격교육계획 및 기획, 원격교육 강좌 품질관리 등에 관한 사항을 심의하도록 되어 있으며, ｢ 동원과학기술대학교 원격교육관리위원회 규정｣ 제3조에 따르면 원격교육관리위원회는 원격수업 실시에 따른 제반 규정 및 운영, 강좌 품질관리, 만족도 조사 및 강의평가 결과분석 등을 심의하도록 되어 있는데도, - 동원과학기술대학교는 2021학년도 1학기에 ’ ㅊ ‘ 교과목을 원격수업으로 운영하면서 사전에 운영 제반여건 등에 대하여 원격교육관리위원회 심의를 거치지 않는 등",- 동원과학기술대학교는 2021학년도 1학기에 ’ ㅊ ‘ 교과목을 원격수업으로 운영하면서 사전에 운영 제반여건 등에 대하여 원격교육관리위원회 심의를 거치지 않는 등 【붙임】“원격교육관리위원회 미심의 원격수업 운영 현황”과 같이 2021학년도 1학기부터 2022학년도 1학기 까지 위 ’ ㅊ ‘ 등 74개 교과목을 원격수업으로 운영하면서 사전에 원격수업 운영 제반여건 등에 대하여 원격교육 관리위원회 심의를 거치지 않은,교육
10,"전과제도 운영 부적정 ◦ ｢ 고등교육법｣ 제6조에 따르면 학교의 장은 법령의 범위 에서 학교규칙을 제정하거나 개정할 수 있고, ｢ 같은 법 시행령｣ 제4조 제1항에 따르면 학교규칙에는 전공의 설치와 학생정원, 수업연한 ㆍ 재학연한, 학기와 수업일수 및 휴업일, 입학, 재 ㆍ 편입학, 휴 ㆍ 복학, 모집단위 간 이동 또는 전과 ㆍ 자퇴 ㆍ 제적 ㆍ 유급 ㆍ 수료 ㆍ 졸업 및 징계 등의 사항을 기재하여야 하며, ｢ 동원과학기술 대학교 학칙｣ 제16조의2 및 ｢ 동원과학기술대학교 학칙 시행세칙｣ 제61조에 따르면 3년제인 학과에서 2년제인 학과로의 전과 또는 4년제인 학과에서 3년제 및 2년제인 학과로의 전과는 원칙적으로 불허하되, 학사운영위원회 심의를 거친 후 총장이 승인한 경우만 허용할 수 있으며, ｢ 동원과학기술대학교 전과 규정｣ 제4조에 따르면 직전 학기 성적의 평균평점 1.2미만인자는 전과를 불허하도록 되어 있는데도, - 동원과학기술대학교 ◇◇처는 2019학년도 2학기 전과 제도를 운영하면서 ▽▽과 학생 C의 직전학기 평균 평점이 1.05임에도 ◁◁과로 전과를 승인하는 등",- 동원과학기술대학교 ◇◇처는 2019학년도 2학기 전과 제도를 운영하면서 ▽▽과 학생 C의 직전학기 평균 평점이 1.05임에도 ◁◁과로 전과를 승인하는 등 【붙임】“전과제도 운영 부적정 현황”과 같이 2019 학년도부터 2022학년도까지 위 C 등 3명의 전과 신청에 대하여 학사운영위원회 심의를 거치지 않거나 불허 대상임에도 전과를 승인한,원문 본문 OCR 필요
