연번,지적사항,주요내용(요약),처분요구
1,법인업무 전담직원 인건비 교비회계 집행 9 ◦,"- 학교법인 백석대학교 및 백석대학교는 2014. 1. 15. 백석대학교 A*에게 백석대학교 대학원 (근무지:서울) ○ 보직을 부여하고, 각 소재지가 서울인 학교법인 백석대 학교 및 학교법인 서울백석학원의 □으로 겸직 발령 한 후 법인업무를 전담하게 하면서 2016년도 연봉 160,000천원 전액을 백석대학교 교비회계에서 집행 하는 등 【붙임】“법인업무 전담교원 인건비 교비 회계 집행 현황”과 같이 2016. 3. 1.부터 2019. 8. 감사일 현재까지 법인업무를 전담한 위 A의 인건비 합계 547,500천원을 백석대학교 교비회계에서 전액 집행한","* 감사대상기간 중 강의, 학문연구 및 학생지도 실적 全無 【 학 교 법 인백 석 대 학 교 】; 경고(1명); 시정 - 백석대학교 교비 회계 에서 집행한 A의 인건비 합계 547,500천원을 법인 회계에서 교비회계로 전출하기 바람 【백석대학교】; 경징계(2명); 경고(4명) 【 붙임 】 법인업무 전담교원 인건비 교비회계 집행 현황 회계연도 수령자 지급액 지급기간 2016 - 160,000 2016. 3.~2017. 2. 2017 - 164,400 2017. 3.~2018. 2. 2018 - 158,100 2018. 3.~2019. 2. 2019 - 65,000 2019. 3.~2019. 7. 합계 547,500 (단위 : 천원) 감사결과 처분서 기관명 : 학교법인 백석대학교"
2,"이사회 운영 부당 ◦ 사립학교법 제15조, 제17조 및 제19조에 따르면 학교 법인에 이사회를 두며, 이사회는 이사장이 소집하고 감사는 이사회에 출석하여 발언할 수 있으며, 감사는 학교법인의 재산상황과 회계를 감사하는 일, 이사회의 운영과 그 업무에 관한 사항을 감사하는 일, 학교법인의 재산상황과 회계 또는 이사회의 운영과 그 업무에 관한 사항을 감사하는 일 등을 직무로 행한다고 되어있는데도, - 학교법인 백석대학교는 2016. 3. 29. 2015회계연도 결산 안건임에도 감사에게 이사회 개최사실조차 통보 하지 않는 등",- 학교법인 백석대학교는 2016. 3. 29. 2015회계연도 결산 안건임에도 감사에게 이사회 개최사실조차 통보 하지 않는 등【붙임】“이사회 안건 현황”과 같이 2016. 3.부터 2019. 7.까지 총 29차례 예·결산 등 감사 직무에 해당하는 안건임에도 감사에게 이사회 소집 사실을 통보하지 않아 감사의 직무를 정상적으로 수행 할 수 없게 한,경징계(1명); 경고(1명); 통보(문책)(2명) 【붙임】 이사회 안건 현황 연번 이사회 개최일 이사회 안건 1 2016.3.29 1. 정관변경(안) 심의 2. 제규정 제개정(안) 심의 3. 교원 신규임용(안) 심의 4. 교원면직 5. 2015회계연도 결산(안) 심의 6. 임원선임(안) 심의 2 2016.5.27. 1. 교원 재임용(안) 심의 2. 백석대학교 부속유치원 규칙개정(안) 심의 3. 백석대학교 대학발전 장기계획 '백석비전2020' 제2단계 개정(안) 심의 4. 백석대학교 및 백석문화대학교 교육용 시설 지분 조정(안) 심의 5. 고정자산 폐기매각(안) 및 손망실 처리(안) 심의 6. 수익용기본재산 처분 및 대체취득(안) 심의 3 2016.7.18. 1. 탄원서 제출 4 2016.8.26. 1. 정관변경(안) 심의 2. 제규정 제개정…
3,"골프 등 회원권 지정목적 외 사용 ◦ 사학기관 재무․회계 규칙 제4조에 따르면 학교의 재무와 회계는 건전하게 운영하여야 하고, 학교법인 백석대학교 정관 제7조의2에 따르면 본 법인이 기부· 출연받은 재산 중 지정목적을 달리하여 사용할 경우 이사회의 의결을 받도록 되어 있는데도, - 학교법인 백석대학교는 2017. 10. 25. 개최한 2017 학년도 제 6 차 이사회에서 ‘ 지정기부금 (","- 학교법인 백석대학교는 2017. 10. 25. 개최한 2017 학년도 제 6 차 이사회에서 ‘ 지정기부금 (○○) 수증 취득 ’ 심의 건에 대해 ‘ 학교법인 백석대학교 임직원의 복리증진을 위한 골프회원권 등의 매입용도 ’ 로 승인받고도 , 2018. 4. 11. ‘ㄱ’ 골프 및 빌라회원권 매입 ( 매입액 : 골프 354,000 천원 , 빌라 120,000 천원 ) 시 사용자 범위를 △ 등 특정인으로 제한하는 등 【 붙임 】“ 골프 등 회원권 사용자 범위 제한 현황 ” 과 같이 2017. 11. 23. 부터 2018. 5. 9. 까지 위 ㄱ 골프회원권 등 총 6 건...","기관경고; 통보 - 사 용자 범 위 를 특 정인 으로 제한한 ㄱ등 총 6건 의 골 프 장 회 원 권 이 기부 받은 취지대로 임직원의 복리증진에 사용될 수 있도록 사용자 범위를 다양화 하기 바람 【 붙임 】 골프 등 회원권 사용자 범위 제한 현황 ( 단위 : 천원 ) 연번 취득일 골프장(콘도)명 소재지 회원권 종류 매입액 회원명의 사용자 범위 정회원 지정회원 1 2017. 11. 23. ㄱ (골프) 제주특별자치도 제주시 기명식 1구좌 354,000 학교법인 백석대학교 - - 2 2017. 11. 23. ㄱ (빌라) 제주특별자치도 제주시 기명식 1/10구좌 120,000 학교법인 백석대학교 - - 3 2018. 4. 19. o 제주특별자치도 서귀포시 기명식 1구좌 200,150 학교법인 백석대학교 - - 4 2018. 4. 27. ㅈ 경기도 화…"
4,수익용기본재산(아파트) 관리 부적정 ◦,"- 학교법인 백석대학교는 2010. 5. 17. 수익용기본재산 으로 취득한 ‘서울시 서초구 ㄴ □□’ 아파트를 백석 예술대학교 소속 교원인 E과 계약기간 2년 (2010. 5. 17.~2012. 5. 16.) 에 임대보증금 450,000천원으로 계약을 체결한 다음 총 4회*에 걸쳐 시세( 4.9억원~9억원) 등을 반영한 임대보증금 조정 없이 임대계약을 갱신하여 합계 32,959천원 상당을 적게 징수한 사실이 있고, * 임대계약 갱신내역 (단위:천원) 계약 갱신연도 보증금 시세 실제 보증금 수신금리 이자수익 차이 2012 490,000 450,000 3.43% 2,77...","경징계(1명); 경고(2명); 통보 - 학 교 법 인 백 석 대 학 교 의 수익용 아파트를 제3자에게 전대한 E과의 임대 계약을 해지 (임대 보증금 반환) 하고, 새로운 임대 계 약 체 결시시 세등 을 반영하여 임대료를 산정하기 바람 감사결과 처분서 기관명 : 학교법인 백석대학교"
5,"법인세 환급금 교비회계 지연 전출 ◦ 사립학교법 제29조 제1항 및 제6항에 따르면 학교법인의 회계는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없다고 되어 있고, 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하도록 되어 있는데도, - 학교법인 백석대학교는 2018회계연도 대학분 법인세 환급금 463,357,880원을 환급받아 2019. 6. 26. 법인 회계로 세입처리한 다음 2019. 7. 25. 교비회계로 전출 하는 등","- 학교법인 백석대학교는 2018회계연도 대학분 법인세 환급금 463,357,880원을 환급받아 2019. 6. 26. 법인 회계로 세입처리한 다음 2019. 7. 25. 교비회계로 전출 하는 등【붙임】“법인세 환급금 교비회계 지연 전출 현황”과 같이 2016회계연도부터 2019회계연도까지 법인 회계로 세입처리한 법인세 환급금 합계 2,188,911천원을 짧게는 7일 길게는 29일 지연하여 교비회계로 전출한","주의 (3명) 【 붙임 】 법인세 환급금 교비회계 지연 전출 현황 회계연도 대학분 법인세 환급금 법인회계 환급일 교비회계 전출일 지연일수 2019 463,357,880 2019. 6. 26 2019. 7. 25. 29 2018 1차 431,941,620 2018. 6. 21 2018. 7. 6. 15 2차 43,191,430 2018. 8. 2. 2018. 8. 24. 22 2017 1차 558,564,030 2017. 6. 28. 2017. 7. 14. 16 2차 55,853,770 2017. 8. 1. 2017. 8. 8. 7 2016 636,002,560 2016. 6. 23. 2016. 7. 1. 8 합계 2,188,911,290 (단위 : 원) 감사결과 처분서"
6,"교직원 채용시험 관련서류 부당 폐기 ◦ 공공기록물 관리에 관한 법률 제3조에 및 제5조에 따르면 고등교육법 에 따라 설립된 각급 학교의 업무와 관련하여 생산하거나 접수한 모든 형태의 기록정보 자료는 기록물의 생산부터 활용까지의 모든 과정에 걸쳐 진본성, 무결성, 신뢰성 및 이용가능성이 보장 되도록 관리하여야 하고, 공공기록물 관리에 관한 법률 시행령 제25조 및 제26조에 따르면 공공기관은 업무 과정을 기반으로 보존기간 및 보존기간 책정사유 등을 기록관리기준표로 작성·운영하여야 하며, 백석대학교 사무관리 규칙 및 백석문화대학교 사무관리 규칙 제10조, 제38조에 따르면 모든 교직원은 책임 있는 업무수행을 위하여 업무의 입안 단계부터 종결 단계 까지 그 과정 및 결과가 모두 문서로 남을 수 있도록 필요한 조치를 강구하여야 하고, 처리부서 수준의 업무와 관련된 기록물 중 기관의 업무 수행 내용을 증명 할 필요가 있는 기록물은 3년(일상 업무) 또는 5년(주요 업무)의 보존기간을 책정하고 있는데도,","- 백석대학교는 기록물관리 관련 상위법령 및 자체 사무 관리 규칙과 어긋나는 ‘인사관리실 문서 보존 및 폐기 지침(채용 평가서류는 임면보고 6개월 후 폐기, 2017. 10. 18. ♤부총장 결재)’을 마련한 사실이 있고, 【백석대학교】 ◦기관경고 ◦중징계(1명) ◦주의(1명) ◦백석문화대학교 처분에 포함조치(2 명 ) ◦통보(문책)(1명) ◦시정 - 인사관리실 문서 보 존 및 폐 기 지 침 을 관련법령에 맞게 개정 하기 바람 【백석문화대학교】 ◦기관경고 ◦중징계(1명) ◦백석대학교 처분에 포함조치(3명) ◦통보(문책)(1명) ◦시정 - 인사관리실 문서 보 존 및 폐...",【 붙임 1】 교직원 채용 평가서류 폐기 현황 연번 학기 학부(과) 전 공 공고기간 지원 자수 합격 자수 임용일 평가서류 폐기일 < 교원채용(12회) > 1 2016-1 교육대학원 코칭심리 2015.11.9. ～ 11.24. 11 1 2016.3.1. 2018.5.18. 정보통신학부 소프트웨어학 4 1 2 2016-1 문화예술학부 뮤지컬 특별채용 1 1 기독교학부 신학 1 1 사범학부 유아교육과 1 1 2016.3.31. 2018.5.18. 사범학부 유아특수교육과 2 2 3 2016-2 사범학부 유아교육과 특별채용 1 1 2017.1.1. 2018.5.18. 4 2017-1 기독교학부 조직신학 2016.10.10. ～ 10.25. 4 0 2017.3.1. 2018.5.18. 기독교학부 구약신학 8 2 어문학부 교양영어 24 2 경찰학부 경찰…
7,"응시자격 제한 등 채용 및 임용 부적정 ◦ 고용정책기본법 제7조 제1항에 따르면 사업주는 근로자를 모집·채용할 때에는 합리적인 이유 없이 성별, 신앙, 연령, 신체조건, 사회적 신분, 출신지역, 학력, 출신학교, 혼인·임신 또는 병력(病歷) 등 (이하 “성별 등”이라 한다) 을 이유로 차별 하여서는 아니 되며 균등한 취업기회를 보장하여야 하고, 직업안정법 제2조에 따르면 누구든지 고용관계를 정할 때 성별 등의 이유로 차별대우를 받지 아니한다고 되어 있으며, 교육공무원법 제10조에 따르면 교육공무원의 임용은 그 자격, 재교육성적, 근무성적, 그 밖에 실제 증명 되는 능력에 의하여야 하며 교원으로서의 자격을 갖추고 임용을 원하는 모든 사람에게 능력에 따른 균등한 임용의 기회가 보장되어야 한다고 되어 있고, 백석대학교 교원인사규정 제4조, 제5조 및 제17조에 따르면 교원의 승진 등 임용은 교원인사위원회의 심의와 총장의 제청 후 이사회의 심의․의결을 거쳐 이사장이 임용하되, 자격 및 업적 등에 의하여 공정 하고 합리적으로 행하여야 한다라고 되어 있는데도,","- 백석대학교는 2016학년도 1학기 교원을 채용하면서, 전공과목 및 담당업무 등과는 무관하게 전임교원 (연봉제 교원은 제외)의 응시자격을 ‘기독교인이며 임용일 이전 가족 전부가 천안 거주 가능한 자’로 제한하고, 【백석대학교】 ◦기관경고 ◦시정 - 백석대학교 사무직원인사규정 , 교원인사규정 , 전임교원 재 임 용 규 칙 을 고용정 책 기본법 및 직업안정법 등 관련법령에 맞게 정비하기 바람 【백석문화대학교】 ◦기관경고 ◦시정 - 백석문화대학교 교원인사규정 , 전임교원 재 임 용 규 칙 을 고용정 책 기본법 및 직업안정법 등 관련법령에 맞게 정비하기 바람 기관명 : 백...","【 붙임 1】 교직원 채용 응시제한 현황 연 번 학기 학부(과) 전 공 공고기간 지원자 수 합격자 수 임용일 비고 < 교원채용 5회 > 1 2016-1 교육대학원 코칭심리 2015.11.9. ~ 11.24. 11 1 2016.3.1. 응시자격제한, 담임목사추천서 요구 정보통신학부 소프트웨어학 4 1 2 2017-1 기독교학부 조직신학 2016.10.10. ~ 10.25. 4 0 2017.3.1. 응시자격제한, 담임목사추천서 요구 기독교학부 구약신학 8 2 어문학부 교양영어 24 2 경찰학부 경찰학 3 2 경찰학부 교정학 및 보호관찰 4 0 관광학부 항공 또는 서비스 9 1 정보통신학부 암호화,악성코드, 보안프로그래밍 4 1 디자인영상학부 게임 그래픽스 6 2 디자인영상학부 실내건축디자인 11 1 문화예술학부 보컬 16 0 3 2018-1 기…"
8,"겸직허가 未 신청 ◦ 사립학교법 제55조 제1항에 따라 준용되는 국가 공무원법 제64조 및 국가공무원 복무규정 제26조에 따르면 공무원은 공무 외에 영리를 목적으로 하는 업무에 종사하지 못하고 소속 기관장의 허가 없이 다른 직무를 겸할 수 없으며, 벤처기업육성에 관한 특별조치법 제16조의2에 따르면 교육공무원 등은 그 소속 기관장의 허가를 받아 벤처기업 또는 중소기업창업 지원법 제2조 제2호에 따른 중소기업 대표자나 임직원을 겸임 하거나 겸직할 수 있고, 백석대학교 교원인사규정 제3조에는 교원은 따로 정하는 경우를 제외하고는 타 기관에 전속하거나 자유업에 종사할 수 없다고 되어 있으며, 국가공무원 복무·징계 관련 예규 제9장 영리 업무 금지 및 겸직허가 절차에 따르면 해당 공무원은 겸직하고자 하는 직무 (직위) 관련 상세자료 (수익발생 내역, 겸직 내용, 겸직 기간 등 포함) 를 ‘겸직허가 신청서’ 서식에 의하여 소속기관 복무담당 부서에 제출하여 겸직허가를 신청하여야 하는데도, - 백석대학교 J은 총장에게 겸직허가 신청도 하지 않은 채 2017.4.21.부터 △△ 대표 직무를 겸하면서 2018.1.17.부 터는 ▷▷ 대표이사직무를 겸하는 등",- 백석대학교 J은 총장에게 겸직허가 신청도 하지 않은 채 2017.4.21.부터 △△ 대표 직무를 겸하면서 2018.1.17.부 터는 ▷▷ 대표이사직무를 겸하는 등【붙임】“겸직허가 未신청 겸직 현황”과 같이 위 J 등 백석대학교 교원 4명은 2018.1.부터 2019.7.까지 △에게 겸직허가 신청도 하지 않은 채 위 ▷▷ 대표이사등 직무를 겸한,경고(4명) 【붙임】 겸직허가 未신청 겸직 현황 연번 소 속 직 급 성 명 업 체 명 직 위 기 간 1 - - - △△ 대 표 `17.4.21.~ `19.7.29. ▷▷ 대표이사 사내이사 `18.1.17.~ `19.7.29. 2 - - - ▷▷ 사내이사 `18.1.17.~ `19.7.29. 3 - - - ▷▷ 사내이사 `18.1.17.~ `19.7.29. 4 - - - ▷▷ 사내이사 `18.1.17.~ `19.7.29. 감사결과 처분서 기관명 : 백석대학교
9,"교원연구년 신청자 인사위원회 未 상정 ◦ 백석대학교 교원연구년제규정 제3조, 제6조 및 제7조에 따르면 연구년 대상 교원의 자격은 백석대학교 (동일법인 소속기관 또는 교원인사위원회에서 인정하는 유관기관 포함) 에서 10년 이상 계속 근무한 전임교원으로서 일상적으로 강의와 학생지도, 연구 활동에 종사하며, 교직원예배 및 교수회의 참석 등 의무를 충실히 이행한 자로 정년퇴임까지의 잔여 근무년수가 4년 이상인 자라야 하고, 연구년 허가를 받고자 하는 교원이 교원연구년을 신청하면 교원인사 위원회의 심의를 거쳐 △이 제청하고 이사장의 허가를 받아 연구년 대상 교원을 선정한다고 되어 있는데도, - 백석대학교는 2017학년도 2학기 연구년 대상 교원을 선정하면서 K 등 9명이 교원연구년을 신청하였음에도 K를 제외한 8명만 인사위원회에 상정하여 승인한 사실이 있으며, - 2018학년도 1학기에는 L 등 13명이 교원연구년을 신청하 였음에도 L을 제외한 12명만 인사위원회에 상정하여 승인한 사실이 있음 ◦경고 (3명)","- 백석대학교는 2017학년도 2학기 연구년 대상 교원을 선정하면서 K 등 9명이 교원연구년을 신청하였음에도 K를 제외한 8명만 인사위원회에 상정하여 승인한 사실이 있으며, - 2018학년도 1학기에는 L 등 13명이 교원연구년을 신청하 였음에도 L을 제외한 12명만 인사위원회에 상정하여 승인한",경고 (3명) 【참고】 교원 연구년제 신청자 인사위원회 심의 未상정 현황 선정학년도 교원연구년 신청자 현황 심의 상정 여부 승인 여부 심의일/ 승인일 연번 소 속 직 성 명 임 용 일 근속년수 신청일 2017학년도 2학기 1 - - - - 19.06년 2017.03.15; ; 2017.04.05/ 2017.04.12 2 - - - - 17.06년 2017.03.09; ; 3 - - - - 10.06년 2017.03.09; ; 4 - - - - 11.06년 2017.03.15; ; 5 - - - - 23.06년 2017.03.07 × × 6 - - - - 17.06년 2017.03.07; ; 7 - - - - 18.06년 2017.03.03; ; 8 - - - - 12.06년 2017.03.10; ; 9 - - - - 22.06년 2017.0…
10,"범죄처분 통보자 未 조치 ◦ 사립학교법 제55조에 따르면 사립학교의 교원의 복무에 관하여는 국·공립학교의 교원에 관한 규정을 준용한다고 되어 있고, 사립학교법 제61조 제1항 및 제64조에 따르면 사립학교의 교원이 사립학교법과 기타 교육관계 법령에 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무에 위반하거나 직무를 태만히 한 때, 직무의 내외를 불문하고 교원으로서의 품위를 손상하는 행위를 한 때에는 당해 교원의 임면권자는 징계의결의 요구를 하고, 사립학교의 교원의 임용권자는 그 소속교원 중에 위 징계사유에 해당하는 자가 있을 때에는 미리 충분한 조사를 한 후 당해 징계사건을 관할하는 교원징계위원회에 그 징계의결을 요구하여야 한다고 되어 있으며, 공무원 비위사건 처리규정 제4조에 따르면 행정기관의 장은 감 사원과 검찰·경찰 그 밖의 수사기관에서 공무원의 범죄 사건에 대하여 ‘공소권없음 결정’ 통보를 받았을 때 비 위의 정도 및 과실의 경중, 고의성 유무 등을 검토하여 혐의사실이 인정되는 경우와 ‘기소유예 결정’ 통보를 받았을 때에는 [별표1]‘공무원 비위사건 처리기준’, [별표2]‘청렴의 의무 위반 처리기준’, [별표3]음주운전 사건 처리기준‘ 및 ’[별표4]‘징계부가금 부가 처리기준’등에 따라 징계 등 의결을 요구하여야 한다고 되어 있는데도,","- 백석대학교는 2017. 5. 16. ㄷ지방검찰청으로부터 M이 ‘교통사고처리특례법위반’으로 ‘공소권없음’ 처분을 받았 다는 사실을 통보받고도 비위의 정도 및 과실의 경중, 고 【백석대학교】 ㅇ경고(3명) ◦백석문화대학교 처 분 에포 함 조 치 (1명 ) 【백석문화대학교】 ㅇ경고(1명) ◦백 석대학 교 처분 에 포함조치(3명) 연 번 지 적 사 항 처 분 의성 유무 등을 검토하지 않고 별다른 조치를 취하지 않는 등【붙임】“범죄처분 통보자 未조치 현황”과 같이 백석대학교는 2017. 5.부터 2019. 7.까지 위 M 등 교원 2명에 대한 범죄처분 결과를 통보받고도 2...","【붙임】 범죄처분 통보자 未조치 현황 연번 사건번호 피 의 자 범죄처분 결과 소 속 직 위 성 명 처 분 청 처 분 일 처 분 접수일 죄 명 처 분 내 용 1 - - - - ㄷ지방검찰청 2017.5.12. 2017.5.16. 교통사고처리 특례법위반 공소권 없음 2 - - - - ㅂ지방검찰청 2018.10.12. 2018.10.16. 2019.7.17. 자동차관리법위반 기 소 유 예 【참고】 백석문화대학교 범죄처분 통보자 未조치 현황 사건번호 피 의 자 범죄처분 결과 소 속 직 위 성 명 처 분 청 처 분 일 처 분 접수일 죄 명 처 분 내 용 - - - N ㄹ지방검찰청 ㅁ지청 2018.1.30. 2018.2.2. 정보통신망이용 촉진및정보보호등에 관한법률위반 공소권 없음 감사결과 처분서 기관명 : 백석대학교, 백석문화대학교"
