연번,지적사항,주요내용(요약),처분요구
1,수익용기본재산 (예금) 횡령,"수익용기본재산 (예금) 횡령 ◦ 이사 2명이 수익용기본재산(예금) 12억원을 2회에 걸쳐 이사회 의결, 지출명령 및 관할청 허가 없이 처분(해약)하여 용도불명으로 사용 ◦ 이사장이 법인인감을 위 이사 2명에 맡기는 등 법인업무를 위임하여 수익용기본재산이 임의처분 되도록 방치 【사립학교법 제19조 제1항 및 제27조, 민법 제61조, 사립학교법 제16조 제1항 제1호와 제28조 제1항, 사학기관 재무 ․ 회계 규칙 제32조 제1항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제11조】 【학교법인 백암학원】 ◦ 2번에 포함조치 (대학정책실 별도조치) - 3명","수익용기본재산 (예금) 횡령; 이사 2명이 수익용기본재산(예금) 12억원을 2회에 걸쳐 이사회 의결, 지출명령 및 관할청 허가 없이 처분(해약)하여 용도불명으로 사용; 이사장이 법인인감을 위 이사 2명에 맡기는 등 법인업무를 위임하여 수익용기본재산이 임의처분 되도록 방치 【사립학교법 제19조 제1항 및 제27조, 민법 제61조, 사립학교법 제16조 제1항 제1호와 제28조 제1항, 사학기관 재무 ․ 회계 규칙 제32조 제1항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제11조】 【학교법인 백암학원】; 2번에 포함조치 (대학정책실 별도조치) - 3명"
2,법인자금 투자 등 부당,"법인자금 투자 등 부당 ◦ 투자자산 취득예산(2억원)을 초과한 6억원을 토석 채취 업체에 대여 ◦ 위 대여 금 6억 원 중 최소 2억9천만 원이 해 당 업체 에 입금되지 않았고, 업체가 자본잠식상태에 있음 에도 이에 대한 확인없이 2억5천만원을 추가로 투자하여 합계 8억5천만원을 주식으로 전환 【학교법인 백암학원】 <대학정책실 별도조치> - 2명 (1, 3, 4, 6번과 병합처리) - 1명 (1, 3번과 병합처리) - 2명 연번 ◦ 위 투자자산 8억5천만원을 수익용기본재산이 아닌 보통재산으로 관리 【사립학교법 제27조, 사립학교법 시행령 제5조 제1항 제3호, 사학기...","법인자금 투자 등 부당; 투자자산 취득예산(2억원)을 초과한 6억원을 토석 채취 업체에 대여; 위 대여 금 6억 원 중 최소 2억9천만 원이 해 당 업체 에 입금되지 않았고, 업체가 자본잠식상태에 있음 에도 이에 대한 확인없이 2억5천만원을 추가로 투자하여 합계 8억5천만원을 주식으로 전환 【학교법인 백암학원】 <대학정책실 별도조치> - 2명 (1, 3, 4, 6번과 병합처리) - 1명 (1, 3번과 병합처리) - 2명 연번; 위 투자자산 8억5천만원을 수익용기본재산이 아닌 보통재산으로 관리 【사립학교법 제27조, 사립학교법 시행령 제5조 제1항 제3호, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】; 통보 - ㈜ OOOO 투자지분"
8,"억5천만원을 수익용 기본재산으로 관리하 고, 향후 회수금액이 투자원금에 미치지 못할 경우 그 차액을 보전조치하기 바람","억5천만원을 수익용 기본재산으로 관리하 고, 향후 회수금액이 투자원금에 미치지 못할 경우 그 차액을 보전조치하기 바람",시정
3,직원 채용 및 인건비 집행 부당,"직원 채용 및 인건비 집행 부당 ◦ 이사장의 자녀를 전형절차나 업무능력에 대한 검증없이 채용하고, 출근 또는 업무를 부여하지 않았음에도 급여 합계 59,632천원 지급 【학교법인 백암학원 직원 인사규정 제4조 제1항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】 ◦ 2번에 포함조치 (대학정책실 별도조치) - 3명 ◦ 시정(회수) - 법인업무를 수행하지 않았음에도 지급한 급여 등 합계 59,632 천원을 OOO로부터 회수하여 법인회계에 세입조치하기 바람","직원 채용 및 인건비 집행 부당; 이사장의 자녀를 전형절차나 업무능력에 대한 검증없이 채용하고, 출근 또는 업무를 부여하지 않았음에도 급여 합계 59,632천원 지급 【학교법인 백암학원 직원 인사규정 제4조 제1항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】; 2번에 포함조치 (대학정책실 별도조치) - 3명; 시정(회수) - 법인업무를 수행하지 않았음에도 지급한 급여 등 합계 59,632 천원을 OOO로부터 회수하여 법인회계에 세입조치하기 바람"
4,복리후생비 등 사적 사용,"복리후생비 등 사적 사용 ◦ 법인임원 2명이 사적으로 복리후생비 등 합계 30,152천원 사용 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】 ◦ 2번에 포함조치 (대학정책실 별도조치) - 2명 ◦ 시정(회수) - 복리후생비 등 사적 사용액 합계 30,152,167 원을 OOO(합계 9,421, 230원), OOO(합계 20,7 30,937원)로부터 회수 하여 법인회계에 세입 처리하기 바람 연번","복리후생비 등 사적 사용; 법인임원 2명이 사적으로 복리후생비 등 합계 30,152천원 사용 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】; 2번에 포함조치 (대학정책실 별도조치) - 2명; 시정(회수) - 복리후생비 등 사적 사용액 합계 30,152,167 원을 OOO(합계 9,421, 230원), OOO(합계 20,7 30,937원)로부터 회수 하여 법인회계에 세입 처리하기 바람 연번"
5,법인회계 자금집행 부적정,"법인회계 자금집행 부적정 ◦ 법인회계 지출 총 2,562건, 합계 4,004,093,522원을 지출명령 없이 집행 【사학기관 재무·회계 규칙 제32조 제1항】 ◦ 경고 - 2명","법인회계 자금집행 부적정; 법인회계 지출 총 2,562건, 합계 4,004,093,522원을 지출명령 없이 집행 【사학기관 재무·회계 규칙 제32조 제1항】; 경고 - 2명"
6,상품권 용도불명 사용(1),"상품권 용도불명 사용(1) ◦ 법인회계에서 20차례에 걸쳐 구입한 37,000천원 상당의 상품권을 용도불명으로 사용 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】 ◦ 2번에 포함조치 (대학정책실 별도조치) - 2명 ◦ 시정(회수) - 상품권 용도불명 사 용액 합계 37,000천 원을 OOO로부터 회 수하여 법인회계에 세입처리하기 바람","상품권 용도불명 사용(1); 법인회계에서 20차례에 걸쳐 구입한 37,000천원 상당의 상품권을 용도불명으로 사용 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】; 2번에 포함조치 (대학정책실 별도조치) - 2명; 시정(회수) - 상품권 용도불명 사 용액 합계 37,000천 원을 OOO로부터 회 수하여 법인회계에 세입처리하기 바람"
7,여비교통비 집행 부당,"여비교통비 집행 부당 ◦ 이사 등 2명이 사적으로 실시한 여행에 대해 여비교통비 합계 17,088천원 지급 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】 ◦ 경고 - 3명 ◦ 시정(회수) - 사 적 으 로 실 시 한 여 행 에 대해 지급한 여비교통 비 합계 17,088천원을 OOO( 7, 224천원) , OOO (9,864천원 )로부 터 회수 하여 법인회계 에 세입조치하기 바람","여비교통비 집행 부당; 이사 등 2명이 사적으로 실시한 여행에 대해 여비교통비 합계 17,088천원 지급 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호】 【학교법인 백암학원】; 경고 - 3명; 시정(회수) - 사 적 으 로 실 시 한 여 행 에 대해 지급한 여비교통 비 합계 17,088천원을 OOO( 7, 224천원) , OOO (9,864천원 )로부 터 회수 하여 법인회계 에 세입조치하기 바람"
8,업무추진비 未 정산,"업무추진비 未 정산 ◦ 법인임원 9명에게 직책급 업무추진비 합계 319,700천원을 지급하고 감사일 현재까지 未 정산 【학교법인 백암학원】 ◦ 경고 - 2명 연번 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제15조 제2호, 사학기관 재무 ․ 회계 규칙 제34조 제1항 제2호 가목】 ◦ 통보 - OOO 등 임원 9명에 게 지급한 업무추진 비 합계 319,700천원 에 대해 정산하고, 그 잔액은 법인회계 에 세입조치하기 바 람","업무추진비 未 정산; 법인임원 9명에게 직책급 업무추진비 합계 319,700천원을 지급하고 감사일 현재까지 未 정산 【학교법인 백암학원】; 경고 - 2명 연번 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제15조 제2호, 사학기관 재무 ․ 회계 규칙 제34조 제1항 제2호 가목】; 통보 - OOO 등 임원 9명에 게 지급한 업무추진 비 합계 319,700천원 에 대해 정산하고, 그 잔액은 법인회계 에 세입조치하기 바 람"
9,법인업무 전담 외부직원 인건비 교비집행,"법인업무 전담 외부직원 인건비 교비집행 ◦ 법인업무 전담 외부직원 인건비 합계 95,800천원을 교비회계에서 집행 【사립학교법 제29조 제1항 및 제6항】 【학교법인 백암학원】 ◦ 경고 - 2명 ◦ 시정 - 교비회계에서 집행한 법인업무 전담 외부 직원 인건비 합계 95,800천원을 법인회 계에서 교비회계로 전출하기 바람 【백제예술대학교】 ◦ 경고 - 2명","법인업무 전담 외부직원 인건비 교비집행; 법인업무 전담 외부직원 인건비 합계 95,800천원을 교비회계에서 집행 【사립학교법 제29조 제1항 및 제6항】 【학교법인 백암학원】; 경고 - 2명; 시정 - 교비회계에서 집행한 법인업무 전담 외부 직원 인건비 합계 95,800천원을 법인회 계에서 교비회계로 전출하기 바람 【백제예술대학교】; 경고 - 2명"
