연번,지적사항,주요내용(요약),처분요구
1,"교육용기본재산 관리 부적정 ◦ 사립학교법 시행령 제13조 제1항 제3호에 따르면 교비회계의 수입은 학교시설의 사용료 및 이용료로 되어 있고, 사학기관 재무·회계 규칙 제4조 및 제42에 따르면 법인과 학교의 재무와 회계는 건전하게 운영 하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되는데도, - 상명대학교는 교육용기본재산인 ◑◑을(를) 일자 미상일 로부터 2021. 12. 감사일 현재까지 A에게 학교시설의 사용료 등을 징수하지 않고 전용 숙소로 사용하게 한 사실이 있음",- 상명대학교는 교육용기본재산인 ◑◑을(를) 일자 미상일 로부터 2021. 12. 감사일 현재까지 A에게 학교시설의 사용료 등을 징수하지 않고 전용 숙소로 사용하게 한,"【학교법인 상명학원】; 경고(1명) 【상명대학교】; 기관경고; 통보 - 학교시설을 무상 사 용 한 A에게 학교 시설 사용료를 징수 하기 바람 감사결과 처분서 기관명 : 학교법인 상명학원, 상명대학교"
2,"학교직원 A 운전 수행 및 출장비 교비회계 집행 ◦ 사립학교법 시행령 제13조 제2항에 교비회계의 세출은 학교운영에 필요한 인건비 및 물건비 등 기타 학교교육에 직접 필요한 경비로 되어 있고, 사학기관 재무·회계 규칙 제4조 및 제42에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 된다고 되어있는데도, - 상명대학교는 A이(가) 2016. 8. 9.부터 2016. 8. 11.까지 ◑◑에 머무는 동안 B에게 위 A의 운전을 수행하게 하고 이에 대한 출장비 180,000원을 교비회계에서 지급 하는 등","- 상명대학교는 A이(가) 2016. 8. 9.부터 2016. 8. 11.까지 ◑◑에 머무는 동안 B에게 위 A의 운전을 수행하게 하고 이에 대한 출장비 180,000원을 교비회계에서 지급 하는 등 【 붙임 】 “A 운전 수행 및 관련 출장비 교비회계 집행 내역”과 같이 2016. 8.부터 2019. 6.까지 총 111차례 에 걸쳐 위 B을(를) A의 운전을 수행하게 하고 이에 대한 출장비 합계 15,920,000원을 교비회계에서 집행한","【학교법인 상명학원】; 경고(1명); 시정 - A의 운전 수행과 관련하여 B에게 지급한 출장비 합계 1 5 , 9 2 0 , 0 0 0 원 을 법인회계에서 교비 회계로 전출하기 바람 【상명대학교】; 경고(2명)"
3,"교육용기본재산 관리 부적정 ◦ 대학설립·운영 규정 제5조에 따르면 대학은 기준 면적에 따른 교지를 교육·연구 활동에 지장이 없는 적합한 장소에 확보하여야 하고, 교육관련기관의 정보 공개에 관한 특례법 제6조에 따르면","- 상명대학교는 2010년부터 서울특별시 ◙◙ 소재 토지의 전체 면적인 85,256㎡ 중 14,758㎡ (전체 면적의 약 17%) 가 상명대학교 부속 여자고등학교 및 여자중학교의 교지임 에도 위 토지의 전체 면적인 85,256㎡를 일자 미상일부터 2022. 1. 감사일 현재까지 상명대학교의 교지로 공시 (대학알리미 등) 한","기관경고; 통보  상 명 대 학 교 가 교 육 용 기 본 재 산 으 로 공 시 한 상명대학교 부속 여자고등학교 및 여 자 중 학 교 의 교 지 를 교육용기본재산에서 제외하고 공시하기 바람 감사결과 처분서 기관명 : 학교법인 상명학원, 상명대학교"
4,"사학연금 법인부담금 등록금회계 집행 ◦ 사립학교교직원 연금법 제47조 제1항에는 법인부담금은 학교경영기관이 부담하되, 학교경영기관이 그 학교에 필요한 법인부담금의 전부 또는 일부를 부담할 수 없을 때에는 그 부족액을 학교에서 부담하게 할 수 있다고 되어 있고, 사립학교법 제16조 제1항 및 제29조 제2항에 따르면 학교법인의 예산·결산은 이사회의 심의· 의결사항이고, 교비회계는 등록금회계와 비등록금 회계로 구분되며, 2019 ~ 2020회계연도에 교육부에서 학교법인 및 사립대학에 예·결산 유의사항을 통보 하면서 교비회계에서 집행하는 사학연금 법인부담금은 비등록금회계에서 우선 편성 ‧ 지출하도록 하였고, 학교 법인 상명학원에 대해 사학연금 법인부담금 학교부담 승인 통보를 하면서 교비회계에서 부담하는 법인부담금은 비등록금회계에서 우선 지출하도록 하였는데도, - 학교법인 상명학원 및 상명대학교는 2019회계연도에 사학연금 법인부담금을 비등록금회계에서 부담할 수 있는지에 대한 고려 없이 등록금회계에서 사학연금 법인부담금 3,446,208천원을 집행하도록 이사회 심의· 의결을 거쳐 예산을 편성하고, 실제 비등록금회계에서 부담할 여력 (기타이월금 623,314천원, 임의적립 2,000,000천원) 이 있었음에도 법인부담금 3,203,520천원을 등록금회계에서 집행하는 등","- 학교법인 상명학원 및 상명대학교는 2019회계연도에 사학연금 법인부담금을 비등록금회계에서 부담할 수 있는지에 대한 고려 없이 등록금회계에서 사학연금 법인부담금 3,446,208천원을 집행하도록 이사회 심의· 의결을 거쳐 예산을 편성하고, 실제 비등록금회계에서 부담할 여력 (기타이월금 623,314천원, 임의적립 2,000,000천원) 이 있었음에도 법인부담금 3,203,520천원을 등록금회계에서 집행하는 등 【 붙임 】 “사학연금 법인부담금 등록금회계 집행 현황”과 같이 2019회계연도와 2020회계연도에 사학연금 법인부담금을 비등록금회계에서 부담할 수 【학교법인...","【붙임】 사학연금 법인부담금 등록금회계 집행 현황 (단위 : 천원) 회계 연도 예산 결산 사학연금법인부담금 납부 비등록금 회계법정 부담 전입금 사학연금법인부담금 납부 비등록금회계 운영 납부 총액 등록금 회계 비등록 금 회계 납부 총액 등록금 회계 비등록 금 회계 법정부 담 전입금 기타 이월금 임의 적립 2019 4,330,016 3,446,208 883,808 100,000 3,906,112 3,203,520 702,592 110,000 623,314 2,000,000 2020 4,346,040 2,995,029 1,351,011 240,000 3,889,162 2,841,310 1,047,852 245,000 1,702,212 550,000 합계 8,676,056 6,441,237 2,234,819 340,000 7,795,274 6,04…"
5,"수익사업 관련 정관변경 지연 보고 및 미공고 ◦ 사립학교법」제6조 및 제10조에 따르면 학교법인은 그가 설치한 사립학교의 교육에 지장이 없는 범위내 에서 그 수익을 사립학교의 경영에 충당하기 위하여 수익을 목적으로 하는 사업을 할 수 있고 학교법인을 설립하려는 자는 일정한 재산을 출연하고 수익사업을 경영하려는 경우에는 그 사업의 종류, 그 밖에 사업에 관한 사항 등을 적은 정관을 작성하여 대통령이 정하는 바에 따라 교육부장관의 허가를 받아야 하며, 사립 학교법 시행령」제3조에 따르면 수익사업에 관한 공고를 하려는 경우에는 전국을 보급대상으로 하는 일간신문 또는 인터넷 홈페이지 등을 통하여 해야 하는데도 - 학교법인 상명학원은 수익사업의 일환으로 정관에 기재 하지 않고 주식회사","- 학교법인 상명학원은 수익사업의 일환으로 정관에 기재 하지 않고 주식회사 ○○와(과) 2012. 3.부터 2017. 12. 까지 총 6차례에 걸쳐 ‘ㄱ’ 계약을 체결하여 적게는 연간 240,000천원에서 많게는 연간 700,000천원까지 수익을 올리고 있음에도 2017. 2. 8.에서야 위 수익사업 과 관련하여 ‘ㄴ 사업’으로 교육부에 정관변경 사항을 보고하였고 2022. 1. 감사일 현재까지도 일간신문 또는 인터넷 홈페이지 등을 통하여 위 수익사업을 공고하지 않은",경고(2명); 통보 - ㄴ 사업과 관련하여 법령 등이 정하는 바에 따라 공고하기 바람 감사결과 처분서 기관명 : 상명대학교
6,"계약직원 신규 채용 및 재계약 절차 미준수 ◦ 상명대학교 직원인사 규정 제7조에 따르면 직원의 신규채용, 전보, 승진, 강임, 해직은 전형과 근무성적, 기타 능력의 평가에 따라 행한다고 되어 있고, 상명 대학교 계약직원 인사 지침 제8조 및 제10조에 따르면 인사부서와 사전 협의를 거쳐 해당부서가 계약 직원을 직접 추천하는 경우에는 채용예정 인원의 2 배수 이상을 추천하여야 하고, 전형은 서류전형, 필기 시험 및 면접전형 등을 실시하며 필기시험은 관련 자격증 또는 공인기관의 시험으로 대체할 수 있다고 되어 있으며, 같은 지침 제19조 제2항 및 제30조에 따르면 한시계약직원의 재계약 여부는 계약기간 만료 30일 전까지 소속 부서장의 의견, 근무성적평정점수, 상벌사항 및 계속근무의 필요성을 등을 고려하여 총장이 결정하되, 근무성적평정 결과 80점 이상인 자를 대상으로 재계약을 체결하되, 70점 이상 80점 미만인 자는 심사 위원회의 심의를 거쳐 재계약할 수 있다고 되어 있는 데도,","- 상명대학교는 2019. 3. 1. ▤▤ 계약직원 1명을 추천 채용 절차를 통해 신규 채용하면서 ▤▤에서 C 1명 만 추천하였는데도 추가 추천 요구 없이 위 C을(를) 신규 계약직원으로 채용하는 등【붙임1】“계약직원 신규 채용 절차 미준수 현황”과 같이 2019. 3.부터 2020. 6.까지 위 C 등 계약직원 5명을 신규 채용하면서 【① 관련】 ◦주의(1명) 【①, ② 관련】 ◦경고(2명) 연 번 지 적 사 항 처 분 해당부서에서 2배수 이상 추천하지 않았는데도 추가 추천 요구 없이 계약직원으로 신규 채용한 사실이 있음 【계약직원 재계약 절차 미준수】-------...",경고
7,"직원 승진 임용 부당 ◦ 상명대학교 복무규정 제4조 및 제31조 제1호에 따르면 교직원은 법령 및 제 규정을 준수하여 근무기강을 확립하고 질서를 존중하여야 하고, 법령, 정관 및 제 규정을 위반하는 행위를 하였을 때에는 징계할 수 있다고 되어 있고, 상명학원 정관 제68조에 따르면 일반직원의 신규임용, 승진, 승급, 근속승진제 실시, 대우직원 선발, 전직, 전보, 강임, 휴직, 직위해제, 복직, 면직, 해임 및 파면은 임용권자가 공개채용, 전형 또는 근무성적, 기타 능력의 실증에 의하여 행함을 원칙으로 한다고 되어 있으며, 상명대학교 직원인사 규정 제14조에 따르면 직원의 승진은 근무기간, 근무성적, 능력 등을 참작하여 직급별 정원의 범위 안에서 행 한다고 되어 있고, 상명대학교 직원 승진 시행세칙 제8조, 제9조, 제10조 및 제13조에 따르면 직급별로 승진소요 최저연수는 별표2 (9급 2년, 8급∼7급 3년, 6급 4년, 4급이상 5년) 와 같고, 승진대상자의 재직연수는 별표2에 의한 승진소요 최저연수에 도달하여야 하며, 직원의 승진심사는 직급별 정원의 여석이 있고, 해당직급 승진 소요연수를 초과하는 대상자가 있을 경우 심사함을 원칙으로 하고, 승진후보자의 명부는 승진예정 동일 직급 내에서 근무성적평정 (80점 만점) , 경력평정 (10점 만점) , 가감평정 (10점 만점) 점수를 합산한 총점 (100점 만점) 순으로 하고, 승진후보자 선발은 승진예정 직급별 예정인원의 ◦경징계(1명) ◦경고(5명) 연 번 지 적 사 항 처 분 2배수 범위 내에서 결정한다고 되어 있고, 상명대학교 직원 근무성적평정 시행세칙 제4조 및 제8조 제5항에 따르면 근무성적평정 (성과평가, 능력평가, 태도평가, 부서평가 및 연구실적) 의 평정 대상기간은 해당연도 1월부터 12월 까지로 12월에 실시하고, 겸직자의 경우 설문평정 결과 최종 반영비율은 본직부서 70%와 겸직 (겸직 부서수와 관계 없음) 30%를 원칙으로 하며, 일부 부서의 경우 구성원 수 및 업무비중을 고려하여 본직 50%와 겸직 50%로 조정 할 수 있다고 되어 있는데도,","- 상명대학교는 2019. 3. 1. 기준 3급 정원 12명 대비 현원 9명으로 4급에서 3급으로 승진시킬 수 있는 결원 인원이 3명인데도, ◈◈팀 D 등 6명을 승진 임용하는 등【붙임1】“직원 정원 초과 승진 임용 현황”과 같이 2019. 3.부터 2021. 3.까지 승진임용일 기준 직급별 정원을 최소 2명에서 최대 15명을 초과하여 총 35명의 직원을 승진 임용한 사실이 있음 【승진기준 미충족 직원 승진 임용】 - 상명대학교는 2019. 3. 1. 일반직 3급 승진대상자 4명 을 결정하면서 승진후보자명부 순위 11위로 승진예정 직급별 예정 인원의 2배수(8위) 범...",원문 본문 OCR 필요
8,"교원 당연퇴직 미처리 부당 등 ◦ 사립학교법 (2008. 4. 18.) 제57조 및 제58조의2, 학교법인 상명학원 정관 (2009. 1. 16.) 제41조에 따르면 형사사건 으로 기소된 교원에 대하여는 직위를 부여하지 아니 할 수 있고, 사립학교의 교원이 국가공무원법 제33조 제1항 각호의 1*에 해당하게 된 때에는 당연 퇴직되며, 학교법인 상명학원 정관 (2013. 4. 25.) 제67조에 따르면 금고 이상의 형을 받고 그 집행유예의 기간이 완료된 날로부터 2년을 경과하지 아니한 자는 사무직원으로 임용될 수 없다고 규정되어 있고, 사학기관 재무회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며, 학교법인 상명학원 정관 제71조에 따르면 일반직원의 보수는 일반의 표준생계비 및 민간인의 임금 등을 고려하여 직무의 난이성 및 책임의 정도에 따라 적당하도록 직급 및 근속기간에 따라 이사회의 의결을 거쳐 따로 인사규칙으로 정하고, 상명대학교 계약직원 인사지침 (’12.11.22.) 에 따르면 계약직원의 보수지급액은 학년도별 예산의 범위 내에서 업무 특성 난이도, 자격조건 및 근무연한 등을 고려 하여 학년도마다 총장이 연봉 (기본급) 으로 책정한다고 되어 있으며, ‘상명대학교 계약직원 급여 책정 기준 변경(안) 상신 (‘13.4.15., 총장내부결재) ’에 따르면 일반 계약직의 신규임용 시 기본은 학위소지에 따라 박사 월 250만원, 석사 월 200만원, 학사 월 150만원으로","- 학교법인 상명학원은 2010. 1. 28. H이(가) ‘횡령죄’로 징역 1년 6월 (집행유예 3년) 의 대법원 확정선고에 따라 당연 퇴직 사유에 해당되는데도 당연 퇴직 처리하지 않고 2010. 2. 16. 의원면직 처리한 사실이 있음 ※ 2009. 7. 24. 징역 1년 6월(집행유예 3년), 2009.10. 30. 항소 기각 됨에도 2010. 1. 1. 위 H를 ▦▦ 계약직에 임용 【임용결격자 계약직원 채용】------------------------------② - 상명대학교는 2012. 2. 22. 당연 퇴직 사유에 해당되는 위 H을(를) ▦▦ 계약직으로 부...",경고
9,"직제에 없는 보직 발령 ◦ 학교법인 상명학원 정관 (2014. 9. 1) 제34조 및 제75조에 따르면 학교의 장 이외의 대학교육기관의 교원은 인사 위원회의 심의를 거쳐 당해 학교의 장의 제청으로 이사회의 의결을 거쳐 이사장이 임면하고, 대학교육 기관의 부총장, 대학원장, 학장 및 실·처장은 학교의 장이 이사장의 승인을 얻어 보하며, 대학교에 서울 캠퍼스 부총장, 천안캠퍼스 부총장을 둘 수 있고 교수로 보하며, 상명대학교 직제 및 사무분장 규정 (2014. 7. 21) 제5조에 따르면 총장을 보좌하기 위하여 서울캠퍼스 부총장, 천안캠퍼스 부총장을 두며 각 캠퍼스 부총장은 직속기관을 제외한 해당 캠퍼스의 교학 및 행정업무를 통괄한다고 되어있는데도 - 학교법인 상명학원 및 상명대학교는 2015. 2. 24. 신규 교원 임용예정자 H을(를) 정관 직제 및 보직에도 없는 ▥▥으로 보직 발령한 (제청, 2015. 2. 23) 사실이 있음","- 학교법인 상명학원 및 상명대학교는 2015. 2. 24. 신규 교원 임용예정자 H을(를) 정관 직제 및 보직에도 없는 ▥▥으로 보직 발령한 (제청, 2015. 2. 23)",【학교법인 상명학원】; 경고(2명) 【상명대학교】; 경고(3명) 감사결과 처분서 기관명 : 상명대학교
10,"일반직원 신규채용 부당 등 ◦ 학교법인 상명학원 정관 제68조에 따르면 일반직원의 신규임용은 임용권자가 공개채용, 전형에 따라 행함을 원칙으로 하고, 그 시험과목, 방법, 절차 등에 관하여는 따로 인사규칙으로 정하며","- 상명대학교는 2015. 3. 9. 채용계획, 채용공고, 단계별 전형 등 채용관련 절차 없이 ‘일반직원 신규임용 제청 (총장 결재) ’ 문서만으로 J을(를) 일반직 9급으로 채용하여 정관 및 대학 직제규정에도 없는 ▥▥실 업무를 전담 하게 한 사실이 있고, ◦경징계(2명) ◦경고(2명) 연 번 지 적 사 항 처 분 - 또한, 2016. 3. 9. 위 J의 계약제 임용이 만료되었음에도 정규직 전환에 대한 검토 등 없이 계속하여 근무하게 한 사실이 있으며, - 나아가, 2017. 1. 30. 위 J의 일반직 9급 재직기간 (1년 11개월 20일) 이 2년을 초과하지 않...",감사결과 처분서 기관명 : 상명대학교
