지적건명,지적내용
이해관계자 미회피 등 채용 절차 부당,"당시 B의 아들인 C을 선임연구원으로 채용 (계약기간 ’21.3.1.~’21.12.31., 총급여 23,381,250원) 하였다. C는 최초 채용 시 ｢ ▽ 연구원 심사 내부기준 (2020. 12.) ｣ 에 따라 서류평가와 면접평가를 거쳐 임용 되었으며, 이후 2021. 5., 2차례 재임용 을 거쳐 현재까지 근무 중이다. 위 C의 재임용 시 아버지인 B는 ▽ 내 재임용을 결정하는 위치에 있었음이 확인된다. B는 사적 이해관계자에 해당하는 아들 C가 심사 대상자에 포함되었음 에도 D에게 ‘직무관련자’임을 신고하지 않고 2021. 5., 2차례 재임용 심사회의에 참석하여 아들 C를 재임용하는 안건에 동의하고 연구위원회에 심의를 요청하여 위 C가 최종 재임용되도록 하였다. 그 결과 C는 1, 2차 재임용 결정 시 ｢ 공무원 행동강령｣ 및 ｢ 서울과학기술 대학교 교직원 행동강령｣ 을 위반하여 직무관련자에 대한 신고 없이 일반연구원 채용 관련 업무를 부당하게 처리하였고, 이에 더하여 2차 재임용 결정 시에는 2022. 시행된 ｢ 공직자의 이해충돌 방지법｣ 에 규정된 사적이해관계자에 대한 신고 및 회피 의무 또한 위반하였으며, 이로 인해 채용의 공정성이 저해되었다. 한편 ◁ 는 부설연구소 및 센터의 운영 관리 주체로서 부설연구소 등의 자체 직원 채용 절차의 공정성 및 투명성을 확보해야할 책임을 지고 있음에도, “서울 과학기술대학교 대학행정 혁신 방안 (2019. 1.) ”에 따라 과제 책임교수 및 연구소장 (센터장) 과 임용 당사자와의 ‘특수관계 부존재 확인서’를 필수적으로 징구하는 절차를 누락하였다. 그 결과 아버지 B가 재직 중인 ▽ 에 아들 C가 채용된 사실과 C의 재임용 시 아버지 B가 재임용 심사회의에 참석하여 임용에 동의하였고, 위 C가 2차례 재임용 되어 근무하고 있는 사실에 대하여 ◁ 차원에서 어떠한 조치도 취하지 않아 “서울 과학기술대학교 대학행정 혁신 방안”의 특수관계자 제척 제도의 취지를 위반하고 부설연구소 채용의 공정성과 투명성을 저해하는 결과를 초래하였다."
대학 부설연구소 일반연구원 채용 절차 미준수,"감사기간 동안 직원 10명 이상인 부설연구소 11곳을 대상으로 일반 연구원 채용절차를 확인한 결과 서울과학기술대학교 부설 ♤ 는 연구원 공개 채 용 시 채용계획 수립 없이 2021. 28.까지 E를 채용하는 등 2020년부터 감사일 현재까지 ♤ 등 11개 부설연구소에서 일반연구원 185명을 신규 채용하면서 【별표 1】“부설연구소 일반연구원 채용절차 미준수 현황”과 같이 총 36회 (채용계획 미수립 22건, 채용예정자 미심사 10건, 채용공고 미실시 4건) 에 걸 쳐 서울과학기술대학교의 내부규정과 부설연구소 연구원 채용가이드라인에서 정 한 절차를 준수하지 않은 채용이 이루어져 연구원 채용의 공정성 및 투명성 저 해를 초래하였다. 11개 부설연구소 일반연구원 신규채용 현황(2020년~현재) 채용절차 (단위: 명) 책임 ‧ 선임연구원 학사 ‧ 석사급연구원 준수 미준수 계"
공무원 근무성적 평정점수 부여 부적정,서울과학기술대학교 F 등 4명은 【별표】“수상실적 가점 미부여에 따른 근무성적 평정점수 오류 현황”과 같이 ｢ 공무원 성과평가 등에 관한 규정｣ 제27조 및 ｢ 공무원 성과평가 등 운영요령｣ 제3장에서 정하고 있는 표창 가점을 누락하여 2020. 7월까지 장관표창을 받은 7명의 공무원에게 최소 0.06점에서 최대 0.13점의 근무성적 평정점수를 잘못 부여하였다.
교내 연구과제 연구활동비(회의비)정산 부당,"서울과학기술대학교 H는 【별표】“교내 연구과제 연구활동비 (회의비) 정산 현황”과 같이 자신이 책임연구원인 교외 연구과제의 회의비로 이미 집행한 카드매출전표 (영수증) 와 승인번호가 동일한 카드매출전표 (영수증) 총 9건을 교내 연구과제의 연구활동비 (회의비) 집행 증빙자료로 제출하여, 2021년부터 2022년까지 수행한 2개의 교내 연구과제의 연구활동비 (회의비) 합계 1,200,000원을 부당하게 정산하였다. 그 결과, H는 연구책임자로서 연구비를 투명하게 집행하여야 하는 책무를 져버리고 부당하게 정산하여 대학의 건전하고 효율적인 재정운영을 저해하는 결과를 초래하였다."
공동실험실습관 기기사용료 미수납 등 관리 부적정,"서울과학기술대학교 ☆ 은 【별표 1】“기기사용료 3개월 이상 미납자 기기이용현황”과 같이 2021. 2.까지 10명의 신청인들이 기기사용료가 청구일로부터 3개월 이상 미납된 후에도 총 64회에 걸쳐 기기를 이용하게 하였다. 또한, 【별표 2】“ ☆ 기기사용료 미수납 현황”과 같이 2020. 2.까지 청구한 기기사용료를 최소 20일에서 최대 1,105일에 걸쳐 총 150건에 대해 미납 상태로 관리하였다. 그 결과, 서울과학기술대학교 ☆ 의 기기사용료 미납액은 2023. 감사일 현재 48,982,500원 에 이르는 등, 대학의 건전하고 효율적인 재정운영을 저해하는 결과를 초래하였다."
세입세출외현금 관리 및 집행 부적정,"서울과학기술대학교는 【별표 】“세입세출외현금 지출결의 미결재 집행 현황”과 같이 2020. 3.까지 세입세출외현금으로 관리해야 할 ‘교직원 소득에 대한 원천세’ 등 급여공제액 전체를 회계처리 없이 통장만으로 입출금 관리하면서 94회에 걸쳐 사전 내부결재 및 세외지출결의 없이 ‘교직원 소득에 대한 원천세’ 등 합계 26,115,635,336원을 집행하였다. 이와 동시에, 위 원천세 상당의 세입세출외현금 수입처리도 이뤄지지 않아 동 기간동안 국립대학자원관리시스템(KORUS) 내 세입세출외현금 항목으로 관리 되어야 할 원천세 관련 일체의 수입･ 지출 회계처리 내역이 현금출납부 및 내역부 에서 누락되어 회계처리의 투명성을 저해하는 결과를 초래하였다."
생활관 전기 및 수도요금 회계처리 부적정,"서울과학기술대학교는 【별표 】“생활관 전기 및 수도요금 지출규모 관련 부적정 회계처리 현황”과 같이 2020. 2.까지 매월 ‘전기 및 수도요금’을 납부하면서 대학 본부가 수입대체경비로 관리중인 생활관 해당분을 포함하여 대학 전체분을 일괄 납부하고, 선납된 비용을 대학회계 (공공요금 관리용도) 계좌로 사후 보전하는 방식으로 지출처리함에 따라 ‘생활관 전기 및 수도요금’이 대학회계 상에서 2회 지출되도록 하여 생활관분 공공요금 (전기 및 수도요금) 합계 1,530,448,760원 상당의 공공요금 지출규모가 부풀려 지는 결과를 초래하였다."
가족수당 및 맞춤형복지비 수령 부적정,"서울과학기술대학교 M 등 교직원 24명은 【별표】“가족수당 및 맞춤형복지비 부적정 수령 현황”과 같이 2018. 3.까지 부양의무를 가진 공무원과 주민등록표상 세대를 달리 (21명) 하거나 해당 공무원의 주소나 거소 에서 현실적으로 생계를 같이하지 않는 (3명) 등 부양가족에 변동이 생겼음에도 부양가족신고서를 소속 기관장에게 제출하지 않았다. 그 결과, M 등 교직원 24명은 ｢ 공무원수당 등에 관한 규정｣ 제10조를 위반 하여 가족수당 18,330,660원을 부적정하게 수령하였고, 위 교직원 24명 중 15명은 ｢ 공무원 보수 등의 업무지침｣ 제10장을 위반하여 맞춤형복지비 3,500,000원 (3,500점) 을 부적정하게 수령하는 결과를 초래하였다."
교내연구비 관리 부적정,"서울과학기술대학교 N 등 3명은 【별표】“교내연구비 연구결과물 미제출 및 연구비 반환 현황”과 같이 2018. 감사일 현재까지 교내연구비 합계 18,000천원을 지원받고 연구과제 4건을 수행하면서 연구기간 종료 후 유예기간 3년을 경과하였음에도 교내연구비 연구과제 결과보고서와 연구결과물을 제출하지 않았다. 또한, 서울과학기술대학교 ♧ 은 N이 중도 퇴직 (의원면직) 할 당시 연구결과물 제출 및 연구비 반환을 요구하지 않았다. 그 결과, N 등 교원 3명은 ｢ 서울과학기술대학교 교내연구비 관리 지침｣ 제14조를 위반하여 교내연구비 18,000천원 을 부적정하게 수령하는 결과를 초래"
직무발명 미신고,"서울과학기술대학교 Q 등 4명은 【별표】“직무발명 미신고 현황”과 같이 2018. 4.까지 총 5건의 직무발명을 하고도 ♧ 에 신고하지 않았다. 그 결과, 직무발명 미신고 사항은 ｢ 발명진흥법｣ 제10조 및 제12조, ｢ 서울과학 기술대학교 지식재산권 관리 등에 관한 규정｣ 제5조, 제6조를 위반하여 학교의 기술 축적과 합리적인 이익조정을 어렵게 하는 결과를 초래하였다."
