연번,지적사항,주요내용(요약),처분요구
1,"기부금 업무처리 부적정 ◦ 사립학교법 제29조 제1항에 따르면 학교법인의 회계는 그가 설치·경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 같은 법 시행령 제13조 제1항 제8의2호에 따르면 학교가 학교교육에 사용할 목적으로 받은 기부금은 교비회계의 세입으로 하도록 되어 있으며, 법인세법 제24조 및 소득세법 제34조에 따르면 기부금 중 사립학교나 비영리 교육재단에 학교의 시 설비․교육비․장학금․연구비로 지출하는 기부금은 ‘법정기부금’, 학교법인 등의 고유목적에 사용되는 기부금은 ‘지정기부금’이라고 되어 있는데도, - 학교법인 대원교육재단은 2018. 3. 16.","- 학교법인 대원교육재단은 2018. 3. 16. ○○ 충청정책 지원부가 법인운영을 위해 기부한 20,000천원에 대해 법정기부금 영수증을 발급하는 등【붙임】“지정기부금 에 대한 법정기부금 발급 현황”과 같이 2018. 4.부터 2019. 2.까지 위 ○○ 충청정책지원부 등 17명이 법인 운영을 위해 기부한 합계 3,563,000천원에 대해 법정 기부금 영수증을 발급한","【학교법인 대원교육재단】; 경고(2명); 통보 - 기부금 영수증 발행은 관련 법령 등이 정하는 바에 따라 처리하기 바람 【붙임】 지정기부금에 대한 법정기부금 발급 현황 (단위 : 천원) 연번 지정기부금 내역 법정기부금 영수증 발행 비고 기부자 (생년월일, 사업자등록번호) 세입 처리일 기부 목적 금액 발행일 금액 1; ; 충청정책지원부 (***-**-*****) 2018.3.16. 법인운영 20,000 2018.3.16. 20,000 2018.4.16. 법인운영 10,000 2018.4.16. 10,000 2018.5.18. 법인운영 3,000 2018.5.18. 3,000 2018.5.28. 법인운영 3,000 2018.5.28. 3,000 2018.6.15. 법인운영 25,000 2018.6.15. 25,000 - - 중략 2021.2.1…"
2,"일반경쟁 입찰 대상 수의계약 ◦ 사학기관 재무·회계 규칙 제35조에 따르면 예정가격이 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호 가목의 규정에 의한 금액 (물품 제조·구매 및 용역 2천만원) 을 초과하는 계약의 체결에 있어서는 일반경쟁에 부치도록 하고 있는데도, - 세명대학교 부속 제천한방병원은 2017. 3. 1. 일반경쟁 입찰 대상인 ‘2017년 한약재 구입’을 □□ (대표 A) 과 수의계약 (금액 237,653천원) 하는 등","- 세명대학교 부속 제천한방병원은 2017. 3. 1. 일반경쟁 입찰 대상인 ‘2017년 한약재 구입’을 □□ (대표 A) 과 수의계약 (금액 237,653천원) 하는 등【붙임】“일반경쟁입찰 대상 수의계약 체결 현황”과 같이 세명대학교 부속 제천한방병원 및 충주한방병원은 2017. 3.부터 2021. 3. 까지 위 ‘2017년 한약재 구입’ 등 일반경쟁입찰대상 물품·용역 구매 총 73건 (제천 35건+충주 38건) 을 수의계약 (금액 합계 5,659,945천원) 한","경징계(3명); 경고(3명); 통 보 (문 책 _경 징 계 ) (4명) 【 붙임 】 일반경쟁입찰 대상 수의계약 현황 연 번 구 분 계약일 내역 계약 구분 계약방식 계약 금액 (천원) 계약 상대방 법령상 실제 회사명 대표 1 제 천 2017.3.1. 2017년 한약재 구입 물품 입찰 수의 237,653 □□ A 2 제 천 2017.3.1. 2017년 병원처방 원외탕전 조제의뢰 물품 입찰 수의 433,706 - - 3 제 천 2017.3.1. 2017년 보 험 엑 스 산 제 구 입 물품 입찰 수의 49,979 - - 4 제 천 2017.3.1. 2017년 한약재(녹용) 구입 물품 입찰 수의 25,960 - - 5 제 천 2017.3.1. 2017년 환경미화 용역 입찰 수의 46,728 - - 6 제 천 2017.3.1. 2017년 구내식당 식자…"
3,"한약 상품 임의반출 ◦ 사립학교법 제29조 제2항에 따르면 학교에 속하는 회계는 교비회계와 부속병원회계로 구분할 수 있고, 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니 되며, 사학기관 재무· 회계 규칙에 대한 특례규칙 제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 하는데도, - 세명대학교 부속 제천한방병원 B는 객관적인 자료와 증거 없이 2018. 1. 12. 판매가 13,000원인 우황청심원 (액) 을 임의로 반출하는 등","- 세명대학교 부속 제천한방병원 B는 객관적인 자료와 증거 없이 2018. 1. 12. 판매가 13,000원인 우황청심원 (액) 을 임의로 반출하는 등【붙임】“판매 목적 한약 상품 임의 반출 내역”과 같이 2018. 1.부터 2021. 7.까지 위 B 등 세명대학교 부속 제천한방병원 직원 7명은 객관적인 자료와 증거 없이 판매가 합계 138,475,000원인 한약 상품을 총 355차례에 걸쳐 임의로 반출한","경징계(1명); 통보 (문책_경징계) (1명); 경고(5명); 통보 - 임의반출된 한약 상품 판매가 합계 138,475,000원 에 대 해 정산하고, 객관적 자료와 증거가 없는 임의반출액 상당을 부 속 병 원 회 계 로 세 입 조치하기 바람 - 향후 판매목적의 한약 상품을 홍보용 으로 활용할 경우 홍보목적 취지 등 규정에 맞게 지급 하고, 객관적 자료와 증 거 를 보 관 하 기 바 람 【 붙임 】 판매 목적 한약 상품 임의 반출 내역 (단위 : 원) 연번 임의 반출자 일자 한약상품명 단가 반출량 금액 직위 이름 1 - B 2018.01.12. 우황청심원(액) 13,000 10 130,000 2 - B 2018.01.31. 경옥고환(1환당) 4,000 20 80,000 3 - B 2018.02.01. 공진단(1환)-새롬 39,000 10 39…"
4,"C 및 D 전임교원 면접심사 참여 부적정 ◦ 사립학교법 제19조, 제20조의2 및 제53조의2에 따르면 이사장은 학교법인을 대표하고 이 법과 정관에 규정된 직무를 행하며 기타 학교법인 내부의 사무를 통할하고, 임원이 학사행정에 관하여 당해 학교장의 권한을 침해하는 행위를 하였을 때에는 관할청은 그 취임승인을 취소할 수 있으며, 사립학교 교원의 임용은 당해 학교장의 제청 으로 법인 이사회의 의결을 거쳐야 하고, 사립학교법 제27조에 따라 준용되는 민법 제61조에 따르면 이사는 선량한 관리자의 주의로 그 직무를 행하여야 하고, 학교 법인 대원교육재단 정관 제27조 및 제43조에 따르면 이사장은 법인을 대표하고 법인의 업무를 통리하고, 이사는 이사회에 출석하여 법인의 업무에 관한 사항을 심의 결정하며, 대학의 교원은 인사위원회의 심의를 거쳐 당해 학교장의 제청으로 이사회 의결을 거쳐 이사장이 임용한다고 되어 있으며, 세명대학교 신규교원 임용 시행세칙 제9조에 따르면 면접심사위원회는 채용후보자에 대한 인성, 교육관 등을 심사하고 심사위원회의 위원장은 총장이 겸임하며 부총장, 교무연구처장 등 4인 이상으로 구성한다고 되어 있는데도, - 세명대학교는 2018학년도 1학기 전임교원 신규임용 면접심사 계획 수립 (교무연구처-575, 2018.1.25.) 시 개교 (1991년) 이후 관행적으로 C와 D가 면접심사에 참여하였다는 이유로 C와 D를 포함하여 면접심사위원 5명*을 구성하고 2018.1.25. 작업치료학과 등 3개 학과에 대한 면접심사를","- 세명대학교는 2018학년도 1학기 전임교원 신규임용 면접심사 계획 수립 (교무연구처-575, 2018.1.25.) 시 개교 (1991년) 이후 관행적으로 C와 D가 면접심사에 참여하였다는 이유로 C와 D를 포함하여 면접심사위원 5명*을 구성하고 2018.1.25. 작업치료학과 등 3개 학과에 대한 면접심사를 【학교법인 대원교육재단】 ◦경고(2명) 【세명대학교】 ◦경고(4명) ◦통보 - ‘ㄱ’ 관계자가 교원 채용과정에 관여하 지 않도록 관련 규 정에 따라 채용업 무를 수행하기 바람 연 번 지 적 사 항 처 분 실시하는 등【붙임】 “C 및 D 전임교원 면접심사위원 임...","* 위원장(총장), 교무연구처장, 기획실장, C, D ※ 세명대학교는 2018-1학기~2020-1학기 기간 총 11회 교수공채 면접 위원으로 C을 임명하였으나, 위 기간 중 C(임기: 1998.12.24.~현재, ****生/만 **세)는 고령을 이유로 1회의 면접심사에만 참석 【참고】 C 및 D 전임교원 면접심사위원 임명 및 참여 현황 연번 시기 학과명 초빙분야 면접 인원 채용 인원 임용자명 참석여부 C D 1 2018-1 항공서비스학과 항공기내서비스 2 - 불참 2018.1.25. (참석) 2 보건안전공학과 산업위생학 2 - 3 작업치료학과 발 달 장 애 ( 아 동 ) 작 업 치 료 3 1 - 4 2018-2 보건안전공학과 산업위생학 1 1 - 불참 2018.7.25. (참석) 5 컴퓨터학부 컴퓨터학 전분야 2 - 6 한의과대학 해부조직학…"
5,"전임교원 채용 심사위원 임명 부적정 ◦ 사립학교법 제53조의5에 따라 준용되는 교육공무원법 제11조의3 제2항에 따르면 대학의 교원을 신규채용할 때에는 심사위원을 임명하거나 위촉하여 객관적이고 공정한 심사를 거쳐야 한다고 되어 있으며, 세명대학교 교원인사 규정 제7조 제5항에 따르면 교원의 신규임용은 공개채용 을 원칙으로 하고, 세명대학교 신규교원 임용시행세칙 제3조 및 제8조에 따르면 교원 신규채용을 공정하고 합리적으로 실시하기 위하여 심사 단계별로 심사위원회를 구성하며, 심사는 교원자격 초빙요건 심사, 기초 전공 심사, 면접심사로 하고 필요할 경우 각 단계별 심사를 통합하여 실시할 수 있으며, 채용후보자의 모집대상 전공분야와의 일치여부, 학문적 우수성 및 교육능력 등을 심사하기 위해 기초․전공심사위원회를 구성하고 심사위원회 위원장은 교무연구처장으로 하여 5인 이상 으로 구성하고 교내 심사위원은 초빙분야와 유사한 분야를 전공한 전임교원 중에서 교무연구처장이 추천 하고 총장이 위촉한다고 되어 있는데도, - 세명대학교는 2021학년도 1학기 바이오제약산업학부 전임교원 신규채용 시 지원자 E가 연구실적으로 제출한 논문 (‘ㄴ’, △△학회지, 2020.12.) 의 공동저자인 F를 기초 전공심사 위원으로 임명하여 전임교원 채용심사 업무를 담당하게 하는 등","- 세명대학교는 2021학년도 1학기 바이오제약산업학부 전임교원 신규채용 시 지원자 E가 연구실적으로 제출한 논문 (‘ㄴ’, △△학회지, 2020.12.) 의 공동저자인 F를 기초 전공심사 위원으로 임명하여 전임교원 채용심사 업무를 담당하게 하는 등 【붙임】 “논문 공동저자 전임 교원 신규채용 심사위원 임명 현황”과 같이 2018학년도 2학기부터 2020학년도 1학기까지 지원자 위 E 등 5명이 연구실적으로 제출한 논문의 공동저자 위 F 등 5명을 전임교원 신규채용 기초 전공 심사위원으로 임명하고 심사업무를 담당하게 한","경고(3명); 통보 - 교원채용 과정에서 논문공동저자 등이 심 사 위 원 으 로 참 여 하 는 사례가 발생 하지 않도록 관련 규 정 등을 정 비 하기 바람 【붙임】 논문 공동저자 전임교원 신규채용 심사위원 임명 현황 연 번 지원 시기 지원 학과 전공 분야 지원자 (임용 여부) 심사 단계 연구실적물 제출내역 논문 공동저자 중 심사위원 위촉 현황 논문명 (출판학회, 일시) 논문 공동저자 소속 성명 (직급) 1 2021-1 바이오 제약 산업 학부 - E (임용) 기초 전공 심사 ‘ㄴ’ (△△학회지 2020.12) - - F - - - - - F 2 2021-1 산업 디자인 학과 - - (임용) 기초 전공 심사 - - - - 3 2020-1 동물 바이오 헬스 학과 - - (임용) 기초 전공 심사 - - - - - - 4 2020-1 임상 병리 학과…"
6,"직원 특별채용 계획 미수립 등 임용절차 부적정 ◦ 학교법인 대원교육재단 정관 제83조에 따르면 일반 직원은 당해 학교장의 제청으로 이사장이 임면하며, 세명 대학교 직원인사규정 제7조에 따르면 일반직원의 신규 임용은 공개채용을 원칙으로 하되, 필요한 때에는 소관 직무를 수행하는데 학식과 능력이 있다고 인정되는 자로 특별채용할 수 있다고 되어 있고, 세명대학교 직원인사위원회 규정 제1조 및 제4조에 따르면 직원 인사에 관한 중요 사항을 심의하기 위하여 직원인사위원회를 두며, 심의사항은 직원의 인사 관계규정, 규칙의 제정 및 개폐에 관한 사항, 직원의 신규채용, 승진임용에 관한 사항, 기타 직원의 인사 관리에 관한 사항으로 되어 있는데도, - 세명대학교는 ‘18.8.23. ’ㅅ’대학원 H의 의원면직 (’18.8.) 으로 결원이 발생하자 ’ㅅ’대학원 2학기 학사업무의 원활한 수행을 위한다는 이유로 특별채용 계획 등에 대한 직원인사위원회 심의 등의 절차를 거치지 않고 면접심사만을 거쳐 ’ㅅ’대학원에 재학 중인 I를 ‘18.9.1. 특별 채용하는 등",- 세명대학교는 ‘18.8.23. ’ㅅ’대학원 H의 의원면직 (’18.8.) 으로 결원이 발생하자 ’ㅅ’대학원 2학기 학사업무의 원활한 수행을 위한다는 이유로 특별채용 계획 등에 대한 직원인사위원회 심의 등의 절차를 거치지 않고 면접심사만을 거쳐 ’ㅅ’대학원에 재학 중인 I를 ‘18.9.1. 특별 채용하는 등【붙임】“직원 특별채용 현황”과 같이 2018학년도부터 2020학년도까지 위 I 등 2명의 직원에 대하여 특별채용 계획 등에 대한 직원인사위원회 심의 등의 절차를 거치지 아니하고 특별채용으로 임용한,경고(2명); 통보 - 특별채용 시 구체 적인 심사 절차 및 임용기준 등을 관련 규정에 반영 하여 채용과정의 공정성과 투명성을 높이기 바람 【붙임】 직원 특별채용 현황 모집 분야 공고 기간 지원 인원 임용자 (임용일) 특별채용 계획수립 채용계획 위원회심의 면접일 특별채용 사유 - × × I (‘18.9.1.) × × `18.8.23. ․학기초 학생민원 및 학사 관련 업무수행 원활 ․‘ㅅ’대학원 출신 - `20.2.10. ~ `20.2.17. - - (‘20.3.1.) × × `20.2.21. ․공고기간 중 지원자 없음 ․임용 전 유사업무 겸직 ․모집공고상 자격요건 충족 (‘ㅅ’분야 석사학위) 감사결과 처분서 기관명 : 세명대학교
7,"강의평가 기준 미달 강사 과목배정 부적정 ◦ 세명대학교 수업평가 시행 내규 제3조 및 제7조에 따르면 수업평가 대상은 교수 강사의 당해 학기 개설된 교과목으로 하며, 교수 강사는 수업평가 결과를 다음 학기 수업에 최대한 활용하고 수업계획서, 강의개선 계획서 등에 반영하여야 하고, 교무연구처는 수업평가 결과를 교원 재임용․승진, 교원업적평가, 강사 위촉에 활용할 수 있으며, 세명대학교 강사임용에 관한 내규 제19조에 따르면 강사가 담당 교과목에서 3.5 이하 강의 평가를 받은 경우에는 다음 학기부터 1년간 해당 교과 목의 강의를 배정하지 않는다고 되어 있는데도, - 세명대학교는 교양대학 J가 2019학년도 2학기 담당한 ‘ㄷ 과목 (2학점)’ 의 강의평가 점수가 3.38로 해당 교과목을 배정할 수 없는데도 2020학년도 1학기 동일 과목을 배정하는 등",- 세명대학교는 교양대학 J가 2019학년도 2학기 담당한 ‘ㄷ 과목 (2학점)’ 의 강의평가 점수가 3.38로 해당 교과목을 배정할 수 없는데도 2020학년도 1학기 동일 과목을 배정하는 등【붙임】“강의평가 기준 미달 강사 동일 교과목 배정 현황”과 같이 2019학년도 2학기에 위 J 등 강사 5명이 담당한 교과목의 강의평가 점수가 3.5 이하 인데도 2020학년도 1학기 또는 2020학년도 2학기에 동일 교과목을 배정한,"경고(3명) 【붙임】 강의평가 기준 미달 강사 동일 교과목 배정 현황 연번 임용학기 소속 강사성명 과목명(학점) 강의 평가 동일교과목 배정 학기 1 2019-2 교양대학 J ‘ㄷ’ (2학점) 3.38 2020-1학기 2020-2학기 2 2019-2 토목공학과 - - (3학점) 3.49 2020-2학기 3 2019-2 교양대학 - - (3학점) 2.42 2020-1학기 2020-2학기 4 2019-2 교양대학 - - (3학점) 3.47 2020-1학기 2020-2학기 5 2019-2 교양대학 - - (3학점) 3.49 2020-1학기 2020-2학기 감사결과 처분서 기관명 : 학교법인 대원교육재단, 세명대학교"
8,"교원 징계 대상자 처리 부적정 ◦ 사립학교법 제61조, 제64조, 제66조의4에 따르면 사립 학교의 교원이 사립학교법과 그 밖의 교육 관계 법령을 위반하여 교원의 본분에 어긋나는 행위를 하였을 때, 직무상의 의무를 위반하거나 직무를 게을리 하였을 때, 직무 관련 여부에 상관없이 교원으로서의 품위를 손상 하는 행위를 하였을 때는 당해 교원의 임용권자는 미리 충분한 조사를 한 후 해당 징계사건을 관할하는 교원 징계위원회에 징계의결을 요구하여야 하며, 정직은 1 개월 이상 3개월 이하의 기간으로 하고, 정직처분을 받은 사람은 그 기간 중 교원의 신분은 보유하나 직무에 종사할 수 없으며 보수의 전액 * 을 감하게 되어있고, 사립학교 교원의 임용권자는 징계 사유가 발생한 날 부터 3년이 지난 경우에는 징계의결을 요구할 수 없다고 되어있으며, 세명대학교 교원징계규정 제3조에 따르면 사립학교법, 기타 교육관계 법령과 세명대학교의 제 규정에 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상 의무에 위반하거나 직무를 태만히 한 때, 교내 외를 막론하고 교원으로서의 품위를 손상하는 행위를 한 때 징계사유에 해당된다고 되어있는데도, * 사립학교법 (개정 2019. 8. 20. / 시행 2020. 2. 21.)에 따라 기존 3분의 2에서 전액 감하는 것으로 변경","- 학교법인 대원교육재단은 2016. 9. 30. K가 제출한 <①, ② 관련 > 【학교법인 대원교육재단】 ◦경고(1명) <②, ③ 관련 > ◦통보 - 상위법령을 위반한 ‘대 원 교 육 재 단 정 관 ’ 및 ‘세명대학교 징계규정’을 정비 하기 바람 <② 관련 > 【학교법인 대원교육재단】 ◦경고(2명) ◦통보 - 형 법 (모 욕 죄 ) 을 위 반 한 L에 대해 정관 등 관 련 규 정 에따 라처 분 (주 의 , 경 고 등 ) 하 시 기바 람 <③ 관련 > 【세명대학교】 ◦주의(4명) 연 번 지 적 사 항 처 분 진정서로 인해 2015. 8. 27. 발생 (1차 사건) 한...",감사결과 처분서 기관명 : 세명대학교
9,"미허가 겸직 및 외부 출강 ◦ 사립학교법 제55조 제1항에 따라 준용되는 국가공무원법 제64조 및 교육공무원법 제19조의2에 따르면 공무원은 공무 외에 영리를 목적으로 하는 업무에 종사하지 못하며, 소속 기관장의 허가 없이 다른 직무를 겸할 수 없고, 교수·부교수 및 조교수는 학생의 교육·지도와 학문의 연구에 지장이 없는 범위 안에서 소속 학교의 장의 허가를 받아 상업·공업·금융업 그 밖에 영리를 목적으로 하는 사기업체의 사외이사 ( 자본시장과 금융투자업에 관한 법률 제9조 제3항에 따른 당해 회사의 상무에 종사하지 아니하는 이사를 말한다) 를 겸직할 수 있으며, 중소기업 지원인력 특별법 제15조에 따르면 대학의 교원은 그 소속 기관의 장의 허가를 받아 중소기업의 대표자 또는 임직원을 겸임하거나 겸직할 수 있고, 벤처기업육성에 관한 특별조치법 제16조의2 제1항에 따르면 교육공무원은 그 소속 기관의 장의 허가를 받아 벤처기업 또는 중소 기업창업 지원법 제2조 제2호에 따른 창업자의 대표자나 임직원을 겸임하거나 겸직할 수 있으며, 세명대학교 교직원 복무규정 제7조에 따르면 교직원은 본 직 외에 타 직업을 겸직할 수 없으나 외부에 출강하거나 연구 기관 등에 비상임직으로 위촉받을 경우 사전에 총장의 허가를 받아야 하고, 세명대학교 교원창업규정 (2017.10.16.) 제9조에 따르면 창업 또는 창업관련 활동으로 협약을 체결한 교수는 겸직 허가를 받아야 하며 연장하려는 경우 허가기간 종료 3개월 전에 그 기간의 연장을 신청 하도록 되어있는데도, ◦경고(1명) ◦주의(5명) 연 번 지 적 사 항 처 분 - 세명대학교 N은 총장의 겸직 허가를 받지 않고 2016. 5. 1.부터 2021. 8. 감사일 현재까지 ◇◇ 감사 등으로 겸직하는 등","- 세명대학교 N은 총장의 겸직 허가를 받지 않고 2016. 5. 1.부터 2021. 8. 감사일 현재까지 ◇◇ 감사 등으로 겸직하는 등【붙임1】“겸직 미허가 현황”과 같이 위 N 등 교원 5명은 총장의 겸직 허가 없이 위 ◇◇ 등 5개 기관에서 겸직한 사실이 있으며, - 세명대학교 O는 총장의 사전 허가를 받지 않고 2012. 2. 4.부터 2012. 5. 12.까지 ♡♡대학교에서 ‘ㄹ’ 과정을 강의하는 등【붙임2】외부 출강 미허가 현황”과 같이 2012. 2. 4.부터 2021. 6.까지 위 O는 총장의 허가를 받지 않고 18학기동안 ♡♡대학교에서 강의한","【 붙임1 】 겸직 미허가 현황 ( 단위 : 원 ) 연 번 소속 ( 직급 ) 성명 겸직기관명 겸직 기관 직위 근무 형태 최초 허가일 미허가 겸직 비고 기간 보수 등 총액 1 - N ◇◇ 감사 비상근 2013.4.1. 2016.5.1. ~ 2018.9.7. 98,145,000 연장 미신청 자문 2018.9.8.~현재 2 - - - 대표 비상근 2015.8.1. 2019.9.1.~현재 16,367,951 연장 미신청 3 - - - 대표 비상근 2018.3.1. 2019.9.1.~현재 무보수 연장 미신청 4 - - - 대표 비상근 2018.3.1. 2019.9.1.~현재 무보수 연장 미신청 5 - - - 이사 비상근 2019.3.1. 2021.3.1.~현재 무보수 연장 미신청 【 붙임2 】 외부 출강 미허가 현황 (단위 : 원） 연번 소속 ( 직…"
10,"미승인 공무외 국외여행 ◦ 사립학교법 제55조 제1항에 따라 준용되는 국가공무원법 제58조에 따르면 공무원은 소속 상관의 허가 또는 정당한 사유가 없으면 직장을 이탈하지 못하게 되어있으며, 세명 대학교 교직원 복무규정 제2조 및 제3조에 따르면 교직원은 성실 근면하고 청렴하여 학생의 사표 (師表) 가 되도록 힘쓰며 맡은 바 책임을 다하여야 하고 관계법령과 정관 및 제규정을 준수하고 상사의 지시에 순응하여 그 직무를 완수하여야 하며, 세명대학교는 2018. 3. 보직 교직원 회의 및 2018. 4. 학부 과장 회의 등 2018. 3. 부터 2019. 12.까지 총 12차례 회의에서 국외 여행 (활동) 에 대해 사전 승인받도록 안내하였는데도, ※ 2020. 3. 1. 교직원 복무규정 개정으로 개인적 사유의 국외 여행에 대한 명시적 규정 마련 - 세명대학교 P는 2019. 3. 30.부터 2019. 4. 7.까지 9일간 국외여행에 대한 승인 없이 공무외 국외여행을 실시 하는 등",- 세명대학교 P는 2019. 3. 30.부터 2019. 4. 7.까지 9일간 국외여행에 대한 승인 없이 공무외 국외여행을 실시 하는 등【붙임】“교원 미승인 공무외 국외여행 현황”과 같이 2018. 3.부터 2019. 12.까지 위 P 등 교원 45명은 총 76차례에 걸쳐 사전 승인 없이 공무외 국외여행을 실시한,"※ 출입국 증명원 미제출(2명) : 건축공학과 Q, 교양대학 R; 경고(8명); 주의(37명)); 통보 - 출입국 증명원을 제출하지 않은 건 축공학과 Q 등 2 명의 교원에게 출 입국 증명원을 제 출 받아 국외여행 에 대한 승인여부 를 확인하여 관련 규정에 따라 조치 하기 바람 【 붙임 】 미승인 공무외 국외여행 현황 연번 학과 직 급 성 명 장소 기 간 사유 비고 1 - - P 스페인 2019.03.30. ~ 2019.04.07. 개인여행 2 - - - 중국 2018.10.26. ~ 2018.10.28. 개인여행 3 - - - 일본 2018.09.22. ~ 2018.09.24. 개인여행 4 - - - 중국 2018.09.22. ~ 2018.09.26. 개인여행 5 - - - 일본 2018.10.14. ~ 2018.10.19. 개인여행 6…"
