지적건명,지적내용
학교법인 회계 운영 부적정 등,"법인회계 운영 및 차입금 관리 부적정 학교법인 수원인제학원은 예산총계주의 원칙에 따라 정기예금 이자수익을 전액 법인회계 계좌로 이체한 후 예산 용도에 맞게 집행하여야 하나, 【별표1】 “법인회계 계좌를 통하지 않은 자금 수입･ 지출 내역”과 같이 2021. 9.까지 총 3회에 걸쳐 정기예금이자 수입금액이 소송비용 등으로 집행되고 잔액만 법인회계 계좌에 입금되었으나 장부에는 수입금과 집행액 전체를 기재하는 등 부적정하게 자금을 운영한 사실이 있으며, 2023. 이사장이 본인 자비로 ‘◆◆ 변호사 수수료’ 13,310,000원을 직접 지급 (계좌입금) 하고서도, 법인회계 계좌에서 입･ 출금한 것처럼 ‘기타예수금’ 계정 수입으로 처리하고 지급수수료 계정에서 지출하는 등 회계 관련 규정 및 수입과 지출 절차를 위반하여 회계 처리한 사실이 있다. 또한,【별표2】“이사장 (A) 이 법인계좌로 입금 (기타예수금 처리) 한 내역”과 같이 2020. 2.까지 차입금에 대한 상환재원, 상환방법, 상환계획 관련 검토는 물론 이사회 의결 및 관할청 허가 없이 37차례에 걸쳐 총 1,068,980,170원을 법인 이사장 A로부터 자금을 차입하면서 해당하는 계정과목인 ‘단기 (장기) 차입금’ 계정이 아닌 ‘기타예수금’ 계정으로 세입처리한 후 법인세, 소송비 등 법인운영비로 사용한 사실이 있으며, 【별표3】“수입･ 지출결의 없는 법인 자금 수입･ 지출 내역” 과 같이 2021. 4.까지 법인회계 수입 및 지출 총 448건에 대해 사전 품의 및 수입･ 지출결의 관련 서면 결재 없이 이사장에게 구두 보고하고 이사장 직인을 찍어 문서만 보관하면서 인터넷뱅킹을 통해 자금을 집행하는 방식으로 법인회계를 처리한 사실이 있다. 수익용 기본재산 (예금 및 토지) 관리 부적정 학교법인 수원인제학원은 【표】“수익용 기본재산 (예금) 임의 집행 내역”과 같이 2021. 5.까지 4회에 걸쳐 이사회 의결* 및 관할청 허가 없이 수익용 기본재산인 예금 합계 471,432,768원을 ◑◑ 캠퍼스 공사대금 지급 등 강제 집행을 이유로 임의 집행 (수익용 기본재산 처분에 대한 교육부 허가 미이행) 하고 2024. 이사장 개인자산을 차입하여 이를 보전 (【별표2】37번 참조) 하였으며, 경기도 ◒◒ 시 ◓◓ 구 ◘◘ 동 소재 수익용기본재산 토지 1필지 (3,187㎡, 지목 : 답) 를 미상일부터 2024. 감사일 현재 까지 제3자가 무단으로 경작･ 점유하고 있음에도 임대료 부과 등의 조치를 하지 않고 있는 사실이 있다. 처분된 수익용기본재산(예금) 471,432,768원 관련 ‘수익용기본재산 변동사항’을 사후 의결하였음 【표】 수익용 기본재산(예금) 임의 집행 내역"
이사회 회의 운영 부적정, 학교법인 수원인제학원은 2022. ‘2022학년도 제2차 이사회’를 원격영상회의 방식으로 개최하면서 이사정수 8명 (당시 재적이사는 6명임) 중 과반수에 미달된 4명의 출석으로 회의를 개의한 후 이사 4명의 찬성만으로 ‘법인 임원 선임 등 5건 ’의 안건을 의결하여 정관상 의사정족수 및 의결정족수를 충족하지 못한 사실이 있다. ⑤ 학교기업(식품분석연구센터) 차량운반구 매각 처리(안)
교원 임용 시 결격사유 및 성범죄 경력 미조회," 수원여자대학교는 “결격사유 및 성범죄 경력 미조회 현황”과 같이 2021. 3.부터 감사일 현재까지 겸임교원을 신규 임용하면서, 겸임교원 174명 (객원교수 2명 포함) 에 대해서 결격사유를 조회하지 않았고, 이 중 3명 (객원교수 2명 포함) 에 대해서는 성범죄 경력을 조회하지 않은 사실이 있다."
겸직 미허가 부적정," 수원여자대학교 교원 10명은 총장의 허가 없이 “겸직 미허가 현황”과 같이 다른 기관의 직을 겸직하거나 타 대학에 강사 또는 겸임 교수로 출강한 사실이 있다. 또한, 교원 2명은 겸직에 대한 사전허가를 받지 아니 하고 “사후 겸직 허가 현황”과 같이 5개 기관의 직을 겸직하던 중인 2022. 6.에 총장으로부터 겸직 허가를 받은 사실이 있다."
겸임교원 임용 부적정," 수원여자대학교는 “자격 미달 겸임교원 채용 현황”과 같이 2021학년도 2학기부터 2023학년도 1학기까지 ㄱ 과 등 4개 학과에서 겸임교원을 채용하면서 공고상 자격요건인 학력, 경력 등 자격을 갖추지 못한 BE 등 4명을 자격 미달에도 불구하고 자격 심사 결과 적격으로 심사하여 겸임교원으로 임용한 사실이 있다."
범죄사실통보 교원에 대한 징계의결 미요구," 수원여자대학교는 2024. 수원지방검찰청으로부터 ㅂ 과 소속 부 교수 AH의 피의사실(명예훼손) 및 구약식 처분을 통보받고도 징계를 요구하지 않 았으며, 감사일 현재까지 징계의결을 요구하지 않은 사실이 있다. 범죄 사실 통보 교원에 대한 징계처리 현황"
교원 의원면직 제한 사유 미조회," 수원여자대학교 △팀은 의원면직자에 대한 면직 제한 사유를 관계 기관에 조회하면서 【별표】 “의원면직 희망 교원 제한 사유 미조회 현황 (2021.3~현재) ”과 같이 ㄴ 과 前 교수 AZ 등 의원면직 희망자 11명 (명예퇴직 5명 포함) 에 대해서 소재지 관할 경찰청에만 의원면직 제한 사유를 조회하고 관할청인 교육부, 검찰청, 감사원에는 전혀 조회하지 않은 사실이 있으며, ㅈ 과 前 조교수 BA과 ㅊ 과 前 조교수 BB 등 2명에 대해서는 교육부, 감사원, 검찰청, 경찰청에 의원 면직 제한 사유 일체를 조회하지 않은 사실이 있다."
기록물 폐기 부적정," 수원여자대학교는 “연도별 기록물 폐기 현황”과 같이 보존 기간이 경과된 기록물의 폐기시 기록물관리 전문요원 심사 및 기록물평가심의회 심의를 거치지 않고 보존기간이 경과된 문서 총 2,773권(‘22~’23학년도) 을 해당 부서 의견조회만 실시한 후 기록물을 폐기한 사실이 있다."
◑◑ 캠퍼스 신축‧ 이전 사업 추진 부적정,"캠퍼스 이전 사업은 전 총장 B (설립자 장남) 의 지시로 ◑◑ 군 소재 2012년 ◙◙학원 (‘18. 폐교된 ◧◧ 대 소속법인) 소유의 토지를 매입하면서 시작되었는데, 당시 수원인제학원 이사장 F 및 수원여자대학교 총장 BF가 2015. ◑◑ 캠퍼스 조성을 위한 MOU를 ◑◑ 군과 체결한 후, 2015. ‘2015년도 ◑◑ 캠퍼스 추진계획 관련 공청회’ 를 거쳐 와 같이 2015학년도 제7차 이사회에서 ‘◑◑ 캠퍼스 이전’ 계획을 승인함으로써 본격적으로 추진하였고, 교육부는 과 같이 2017. 그 계획을 승인하였다. B 는 총장 재임 시 캠퍼스 이전 사업을 직접 추진 하고자 하였으나, 2015. 6월경 자신의 비리 가 밝혀져 구속됨에 따라 직접 추진하지 못하고 관련 사업이 지속 되도록 자신의 지인이었던 D이 총장으로 취임 이후 (‘16.8.31.) , 이를 통해 캠퍼스 이전 사업을 계속 진행한 사실이 있다. 면으로 추진한다는 세부추진계획이 없음/ 주관자 : ◇처장 AA 2012. 5부터 위 노동조합을 탄압하고, 그 대가로 용역비용을 교비에서 지급하여, 횡령 혐의로 2015. 유죄 판결을 받아 총장 직에서 해임 2017년 신축공사 과정에서 당시 학교법인 (이사장 A) 과 전 총장 (B) 및 공사비 일체를 교비로 집행하던 전 총장 (D) 간 갈등으로 동 사업이 순조롭지 못하여 와 같이 교육부가 승인한 ‘1단계 캠퍼스조성 자금조달 계획’상 소요 총금액 10,750백만 원 중, 학교법인 (B) 이 부담하기로 한 확약액 3,351백만 원을 출연하지 않았고, 학교는 동 출연 확약금이 교비로 들어오지 않아 당초 부담하기로 한 7,399백만 원외 지급이 가능한 자금이 없어 업체 (㈜ ◨◨) 가 청구한 공사비를 납부 하지 못하였다. 1단계 캠퍼스조성 자금조달 계획 (단위: 백만원) 순 주요항목 소요비용 조달재원 비고 ㅇ교비: 적립이월금 ㅇ법인: B 출연 약정서 작성 캠퍼스 이전사업 총 재원 10,750백만원 중 ㅇ 건축비 74억 법인부담 약속(B) 3,351백만원이 출연 ㅇ 냉난방, 집기 33억 되지 못해 사업 중단 그 결과 업체는 2018. 1월 말 기준으로 건축 중에 있던 교사(校舍)동을 공사 공정률 92.1% 상태로 중단하였고, 교육부 담당부서는 2019. 동 사업이 정상적 으로 추진이 어렵다고 판단해 승인을 취소 하였다. 이후 학교는 아무런 조치를 하지 않았고, 그 결과 2024. 감사일 현재까지 ◑◑군 산속 (◎◎도 ◑◑군 ◑◑읍 일원) 에 해당 건축 중인 교사가 방치되고 있다. 이에, 업체는 2018. 소송을 제기하여 2020. 9.대법원의 최종 판결 (예금 채권에 대한 강제집행) 로 미수금 공사비 1,580백만 원을 청구하였고, 학교 측은 2020. 교비로 동 금액을 집행하게 되었는데, 이 시기에 학교법인 이사장은 현재 총장 A였다. F(B가 영입)은 ◑◑ 군과 MOU체결 주관함 하였고 이에, A 이사장은 두 명 모두에게 비리가 있다고 소송을 진행하였지만 비리를 밝히지 못함  학교 측은 대법원의 판결을 이유로 과 같은 당초 교육부 승인 사항과 달리 교비를 초과 집행하였는데, 이때 이사회 심의‧ 의결이나 교육부 승인을 추가로 받지 않았다. 또한 이후에도 아무런 조치가 없다가 2021. 한국사학진흥재단 실태 점검에서 지적되고 시정조치를 받게 되자, 이제 와서 초과 집행액 1,580백만 원 중 100백만 원을 2025. 현재 법인에서 교비로 세입 하였고, 나머지는 2027년까지 분할 세입 할 계획을 제출하였다. 결론적으로 학교 측이 캠퍼스를 이전하고자 할 경우, 캠퍼스 이전 필요성 등에 대한 구성원과의 충분한 협의와 동의를 구하고, 이전 지역에 필요한 교육용 시설․ 설비와 경영에 필요한 재산을 갖추는 등 충분한 검토로 교비가 손실되는 일이 없도록 노력해야 했다.  이러한 검토 및 논의 절차 없이 전 총장 (B) 의 지시를 그대로 수용하여 처리함에 따라 막대한 교비가 손실되었다. 또한, 후속 조치도 미진하여 대안 등 해결책을 마련하는 등 필요한 개선 노력 없이 방치하고 있었다. 이와 관련하여, 학교 측은 캠퍼스 이전 추진 중에 발생한 공사업체 선정 및 변경, 공사비 지급과 관련한 과 같은 여러 소송을 진행하였으나 대부분 “증거불충분”으로 불기소 처리되었다. 교육부 실지 감사 기간 (‘24.4.22.~5.3.) 중 캠퍼스 이전 사유와 관련자 (B, D 등) 에 대한 조사를 하고자 하였으나, 학교 측은 ’당시 관련자들이 이미 퇴직한 상태라 자세한 내용은 모른다‘ 는 입장만 피력하였다. 상기한 사실 관계와 학교 측의 소명에도 불구하고, 막대한 교비가 손실되었고, 후속 조치 미흡으로 학교의 교비는 계속 손해가 발생 중이다. 이에, 동 건 지적에 대한 문제점을 재정리하면 다음과 같다. 가 이사장 직위에 없었음을 강조하고 있음.(동 초과집행금 관련하여 A의 책임(관여)이 없다는 주장으로 보임) 가. 캠퍼스 이전 사업 추진 타당성에 대한 검토 미흡 학교 측은 과 같이 107.5억 원이라는 막대한 재원이 투입되는 ◑◑ 캠퍼스 이전 사업에 대해, 캠퍼스 이전 추진 개요 및 사유 등 단순하고 추상적인 자료를 바탕으로 ’2015학년도 제7차 이사회 (2015.11.3.) ‘ 및 ’2015년도 ◑◑ 캠퍼스 추진계획 관련 공청회 (2015.8.20.) 를 추진한 사실은 있으나, 캠퍼스 이전 부지가 오지 (奧地) 라 접근에 어려움이 예상됨에도 ① 부지 선택의 적정성 여부, ② 학생 모집 어려움 여부, ③ 교직원 확보 어려움 여부, ④ 캠퍼스 이전에 따른 추가 비용 확보 방안 (인건비, 주거‧ 생활비) 여부, ⑤ 신설학과의 교육과정 운영 방안 등을 구체적으로 검토하지 않았다. 학 내 구 성 원 의 견 수 렴 미 흡 새 로 운 지 역 에 캠 퍼 스 가 설 립 되 면 점진적으로 기존 학과를 이전해야 하므로 사전에 공론화 과정 및 구성원의 의견 수렴 절차가 필요하다. 그러나 학교가 실시한 의견 수렴은 2015. 개최한 ‘2015학년도 ◑◑ 캠퍼스 추진계획 공청회’ 1회만 있고, 동 공청회도 캠퍼스 이전 사업의 적절성 여부를 논의한 것이 아니라, 이전 추진을 확정한 후 향후 계획을 설명한 자리였다. 현재 확인되는 자료는 참석자 (교원전체) 의 서명만 있을 뿐, ◑◑ 캠퍼스 이전의 적절성 등 관련 의견 수렴이나 토의 자료는 없다.  학교 측이 손실한 교비 원금은 최소 89.8억 원 에 이르기 때문에 이를 보전하는 방안과 동 사업과 관련한 향후 비용 발생 (소송비, 미지급 공사비, 방치 건물 유지비) 대책 및 동 사업 추진 관련자에 대한 적극적 조치를 통해 향후 같은 사례가 발생하지 않도록 할 필요가 있다."
청소 및 경비업체 선정 부적정," 수원여자대학교가 공개 입찰로 선정된 업체와 실제 계약을 체결 할 때는 공개 입찰 시 제시한 조건 (가격 및 기타조건) 과 동일하게 계약을 체결하는 등 해당 업무를 공정하게 처리하고 교비에도 손실이 없도록 처리했어야 한다. 이에 수원여자대학교는 2023. 1.) 교내 청소 및 경비 업체 선정을 위해 조달청 (나라장터) 에 제한경쟁입찰에 참여한 총 120개 업체 중 입찰 보증금을 납부하여 유효한 44개 업체 중 예정가격 1,230,007,925원 이하 투찰자 중 최저가 (낙찰하한율 87.998%) 인 1,082,980,000원 (예가비율 88,046%) 을 제시하고 적격 심사 을 통과한 (주)▣▣을 최종 선정 하였다.  ㈜▣▣은 업체로 선정된 후인 2023. 1.25.에 입찰 시 제시한 투찰액 으로는 소속 근로자들의 최저임금을 보장할 수 없는 어려움 을 이유로 투찰액 복수 예비 가격을 산술 평균하여 결정한 금액 (발주자 및 업체도 알지 못함) * 기초금액 : 예정가격을 산정하기 위해 입찰서 개찰 전 공개된 금액 (적격심사 기준) 1.이행실적 , 2.경영상태 , 3.입찰가격 , 4. 근로조건 이행계획의 적정성(최저임금보장 의무 포함) 서 복수예비가격 15개를 작성하고 G2B를 통해 선택된 4개 번호에 해당하는 예비가격의 산술평가로 결정 ② 동일 가격인 경 우에는 국가계약법시행령 제47조에 의거 G2B 추점으로 결정. (투찰현황) 입찰 참여업체 120개 중 유효 투찰 업체 44개 모두가 낙찰가 1,082,980 000원 금액과 근접(최저 1,083,491,000원~ 최고 1,192,378,000원)한 금액으로 투찰(별표 참조) 할 수밖에 없는 구조적 모순이 있음 (근로기준법을 위반한 투찰)  잘못된 입찰 공고로 최저임금을 보장할 수 없기에 단가를 올려주기를 희망한다는 취지의 공문을 송부함 (기재부 지침에는 ‘시중노임단가’를 적용하게 되어있으나, 공고 대로라면 반영이 불가함) 1,082,980,000원에 149,026,258원의 추가를 요청했고, 학교는 이를 그대로 수용해 2023. 최종 1,230,000,000원으로 계약금을 증액 조정하였다. 결과적으로 학교는 조달청을 통해 공정한 공개 입찰을 거쳐서 업체를 선발한 것처럼 보이나, 업체를 선정한 후에 동 업체 요청에 따라 계약금을 증액하여 계약을 체결함으로써 특정한 업체와 불공정한 계약을 한 것으로 판단된다."
