연번,지적사항,주요내용(요약),처분요구
1,기본재산(적립금) 관리 부적정 ◦,"- 학교법인 연세대학교는 미상일로부터 수익용기본재산 건물 임대 수입 등을 재원으로 조성한 적립금 203,244,036천원 (2019.6.30.기준) 을 기본재산으로 관리하지 아니하고, 2016. 3. 1.부터 2019. 6. 30.까지 부속병원 투자금 및 법인사무실 개축비 등 용도로 합계 172,784,124천원을 사용하는 등 보통재산으로 관리한","기관경고; 통보 - 법인일반회계의 적립금 (순세계잉여금 중 적립금) 은 기본 재산으로 관 리 하 기 바람 <참고1> 법인일반회계 적립금 적립 및 사용 현황 (단위 : 천원) 연 번 날짜 적립 사용 잔액 내역 기금명 1 2016 01 136,730,880 0 136,730,880 [ 전 기 이 월 ] [ 전 기 이 월 ] 2 2016 01 500 0 136,731,380 - - 3 2016 02 500 0 136,731,880 - - 4 2016 02 500 0 136,732,380 - - 5 2016 02 500 0 136,732,880 - - 6 2016 03 250 0 136,733,130 - - 7 2016 04 0 2,112 136,731,018 법인개축 관련 수증 예술작품 감정평가 수수료 - 8 2016 04 500 0 136,73…"
2,생활협동조합 수입금 교비회계 未 편입 ◦,"- 연세대학교는 2000. 1월경부터 학교시설의 사용료 및 이용료 등 교비회계의 세입 재원으로 ‘연세대학교 생활 협동조합( 학교법인 연세대학교 지점법인으로 사업자 등록, 학교 직영) 을 운영하면서, 2016회계연도 학교시설 사용료 등 수입금 합계 24,836,358,920원을 교비회계에 편입하지 아니하는 등 【붙임】“생활협동조합 수입금 교비회계 未편입 현황”과 같이 2016회계연도부터 2018회계 ◦경징계(1명) ◦경고(8명) ◦통보 - 생활협동조합 수입 금은 교비회계에 편입하기 바람 <별도조치> ◦고발 연 번 지 적 사 항 처 분 연도까지 학교시설 사용료 등 수입금...","【 붙임 】 생활협동조합 수입금 교비회계 未 편입 현황 (단위:원) 구분 2016회계연도 2017회계연도 2018회계연도 합계 수입 매출액 24,257,547,297 22,910,744,874 23,603,264,913 70,771,557,084 영업외수익 486,375,276 404,912,372 405,810,253 1,297,097,901 비유동자산 77,116,347 44,623,611 34,102,370 155,842,328 기본금 15,320,000 14,380,000 15,045,000 44,745,000 합계 24,836,358,920 23,374,660,857 24,058,222,536 72,269,242,313 지출 매출원가 (물품구입비) 17,730,487,354 16,345,575,801 16,822,758,557 50…"
3,교육용 기본재산(동문회관) 수익사업체 운영 ◦,"- 학교법인 연세대학교는 1993. 4. 신촌캠퍼스 부지 (서울시 서대문구 소재, 6,308㎡) 내 ‘교육연구 및 복지시설’ 용도로 동문회관을 건립한 후 교육부 허가 없이 1994. 1. 1.부터 연회장 등 【붙임】“동문회관 운영 현황”과 같이 수익 사업체 (연세대학교 동문회관, 사업자번호 : ***-**-*****) 로 등록 하여 운영하고 있는","경고(4명); 통보 - 학교법인 수익사 업체로 운영하고 있는 ‘동문회관’을 교육용으로 사용 하기 바람 【 붙임 】 동문회관 운영 현황 (단위 : 원) 층별 임대인 임대면적(평) 임대보증금 임대료 비고 ㎡ 평 금액 평당 내역 평당 B1 - 1,051.3 318.0 600,000,000 1,886,792 순매출액의 10% - - 145.5 44.0 70,000,000 1,590,909 2,624,000 59,636 - 125.6 38.0 100,000,000 2,631,579 1,440,000 37,895 - 125.6 38.0 100,000,000 2,631,579 1,440,000 37,895 1 - 224.8 68.0 612,000,000 9,000,000 5,950,000 87,500 - 386.8 117.0 450,000,000 3,8…"
4,부동산 취득 후 이사회 승인 ◦,"- 학교법인 연세대학교는 2016. 1. 12. ‘서울시 강남구 역삼동 소재’ 부동산 (토지 117㎡, 건물 70.2㎡) 을 강남세 브란스 비자검진센터 용도로 매입대금 합계 15,211,171천원에 취득한 다음 2016.2.26. 이사회의 심의․의결을 받는 등 【붙임】“이사회 사후승인 부동산 취득 현황”과 같이 2016. 1.부터 2018. 11.까지 위 강남구 역삼동 등 부동산 12건 (토지 2필지, 건물 10채) 을 취득한 다음 이사회의 심의․의결을 받은","주의(6명) 【 붙임 】 이사회 사후승인 부동산 취득 현황 (단위:천원) 연번 회계 기관명 구분 소재지 면적 (㎡) 취득금액 (천원) 매입 용도 계약일자 심의․ 의결일 1 교비 강남세브란스 토지 서울시 강남구 역삼동 소재 745 15,211,171 비자검진 센터 2016.1.12. 2016.2.26. 교비 건물 3,271 3,697,018 2016.1.12. 2016.2.26. 2 법인 학교법인 토지 - 116 55,055 주차장 2017.10.23. 2018.1.18. 3 교비 강남세브란스 건물,대 지권 - 127 1,564,988 교직원 기숙사 2017.10.18. 2017.10.26. 4 교비 용인동백세브 란스 건물,대 지권 - 122 365,930 교직원 기숙사 2017.9.21. 2017.10.26. 5 교비 용인동백세브 란스 건물…"
5,"교육용 기본재산 관리 부적정 ◦ ｢ 사립학교법 ｣ 제5조 제1항에 따르면 학교법인은 그 설치·경영하는 사립학교에 필요한 시설·설비와 당해 학교의 경영에 필요한 재산을 갖추어야 하고,","- 학교법인 연세대학교와 연세대학교는 1996. 2. 9. ‘경기도 하남시 광암동’ 소재 임야 (면적 : 18,050㎡) 를 교육용 기본 재산으로 취득하고도 용도대로 사용하지 않아 2016. 9. 27. 재산세 1,345,780원을 법인회계에서 납부하는 등【붙 임】“교육용기본재산 재산세 납부현황”과 같이 2016. 9.부터 2018. 9.까지 위 임야 등 교육용 기본재산 토지 29필지 (면적합계 : 310,339.3 ㎡) 및 건물 2채 (면적합계 : 3,438.84㎡) 를 용도대로 활용하지 않아 재산세 합계 47,056,750원을 법인회계에서 납부한","【학교법인 연세대학교】; 기관경고 【연세대학교】; 경고(1명); 통보 - 토지 29필지와 건물 2채(면적합계 토지 310,399 ㎡ , 건물 3,438.89 ㎡ )를 교 육 용 으로 활용하거나, 교육용으로 활용이 불가능할 경우 매각 하여 교비회계에 세입조치하기 바람 【 붙임 】 교육용기본재산 재산세 납부현황 □ 토 지 ( 단 위 : 원 ) 연번 소재지 지번 지목 면적 (㎡) 취득일 연도별 재산세 납부액 2016 2017 2018 계 1 경기 하남시 광암동 (기부) - 임야 18,050 1996. 02. 09. 1,345,780 1,421,330 1,392,340 4,159,450 2 - 임야 4,351 326,160 344,370 337,340 1,007,870 3 인천 남동구 장수동 - 전 2,152 1967. 08. 01. 4,946,6…"
6,"수익용 기본재산 발생소득 관리 부적정 ◦ 사립학교법 제5조제1항에 따르면 학교법인은 그 설치· 경영하는 사립학교에 필요한 시설·설비와 당해 학교의 경영에 필요한 재산을 갖추도록 되어 있고, 대학설립· 운영 규정 제7조제1항 및 제8조에 따르면 학교법인은 연간 학교회계 운영수익 총액에 해당하는 가액(대학의 경우 300억원 이상)의 수익용 기본재산을 확보하여야 하며, 그가 설립·경영하는 대학에 대하여 매년 수익용 기본재산에서 생긴 소득의 100분의 80이상에 해당하는 가액을 대학운영에 필요한 경비로 충당하여야 한다고 되어 있는데도, - 학교법인 연세대학교는 2016년 수익용 기본재산에서 발생한 소득이 56,955,935천원임에도 70.1% (39,899,567천원) 만 교비회계로 전출하는 등","- 학교법인 연세대학교는 2016년 수익용 기본재산에서 발생한 소득이 56,955,935천원임에도 70.1% (39,899,567천원) 만 교비회계로 전출하는 등【붙임】“수익용 기본재산 발생 소득 대학운영경비 충당현황”과 같이 2016년부터 2018년까지 수익용 기본재산에서 발생한 소득의 62.0% 에서 70.1%까지만 대학운영 경비로 충당함으로써 3년간 합계 25,597,713천원을 부족하게 교비회계로 전출한","기관경고; 통보 - 수익용기본재산 에서 생긴 소득의 100분의 80이상을 대학운영에 필요한 경비로 충당하는 방안을 강구하기 바람 【 붙임 】 수익용 기본재산 발생소득 대학운영경비 충당현황 (단위 : 천원) 구 분 연도별 수익용 기본재산 발생소득액 학교운영경비 충당내역 기준액(80%) 실제부담액(부담률) 차액 2016 56,955,935 45,564,748 39,899,567(70.1%) 5,665,181 2017 60,675,847 48,540,678 40,598,002(66.9%) 7,942,676 2018 66,782,255 53,425,804 41,435,948(62.0%) 11,989,856 계 184,414,037 147,531,230 121,933,517(66.1%) 25,597,713 감사결과 처분서 기관명 : 연세대학교"
7,생활협동조합 임원 기본연장근로수당 지급 부적정 ◦,"- 연세대학교 생활협동조합은 2016. 2. 19. 비상임으로 연장근로를 하지 않는 A에게 기본연장근로수당 800천원을 지급하는 등【붙임】“연장근로 未실시 임원 기본연장 근로수당 지급현황”과 같이 2015. 3.부터 2019. 7. 까지 연장 근로와 무관한 위 A 등 임원 3명에게 기본연장근로수당 합계 28,550천원을 지급한","경고(5명); 시정(회수) - 연장근로와 무관한 임원에게 지급한 연장근로수당 합계 28,550천원을 관련 자들로부터 회수 하여 관련 회계에 세 입 조 치 하 기바 람 【 붙임 】 연장근로 未실시 임원 기본연장근로수당 지급현황 ( 단위 : 천원 ) 연번 지급 월 기본연장근로수당 지급내역 A (겸직기간 : ‘16. 2. 1. ∼’18. 1. 31.) - (파견기간 : ‘15. 3. 1. ∼’18. 1. 31.) - (파견기간 : ‘18. 2. 1. ∼’19. 7. 현재.) 1 2015. 7. 550 2 2015. 8. 550 3 2016. 1. 550 4 2016. 2. 800 550 5 2016. 3. 800 6 2016. 4. 800 7 2016. 5. 800 8 2016. 6. 800 9 2016. 7. 800 550 10 2016. 8.…"
8,임대·용역계약 체결 부적정 등 ◦,"- 학교법인 연세대학교는「사학기관 재무 회계 규칙」 제35조 및「국가를 당사자로 하는 계약에 관한 법률 시행령」제26조 제1항에 위배되게 「법인 구매업무 규정」 제8조에 계약연장 특례 사유로 ‘계약이행이 우수하다고 인정되는 경우’라는 포괄적인 내용으로 규정 (제정 2006. 9. 1.) 한 이후 2019. 7. 현재까지 위 구매규정 제8조를 개정하지 않은 채 그대로 유지하고 있으며, < ①, ② 관련> ◦ 경고(4명) ◦통보 - 계약연장 특례를 규정하고 있는 「법인 구매업무 규 정 」 을 「사 학 기 관 재무·회계 규칙」 및「국가를 당사자 로 하는 계약에 관 한 법률...","【 붙임1 】 임대·용역계약기간 연장 수의계약 현황 (단위 : 천원) 연 번 수익 사업체 계약일 계약건명 계약 구분 계약기간 계약금액 계약 상대방 회사명 대표 1 신촌 장례식장 2016. 3. 1. 장례식장 식당 운영 임대차 임대 ‘16. 3. 1. ∼ ’19. 2. 28. 3,082,000 ▽▽ DG 2 강남 장례식장 2016. 3. 1. 장례식장 식당 운영 임대차 임대 ‘16. 3. 1. ∼ ’19. 2. 28. 456,000 ▽▽ DG 3 원주 장례식장 2016. 3. 1. 장례식장 식당 운영 임대차 임대 ‘16. 3. 1. ∼ ’19. 2. 28. 601,000 ▽▽ DG 4 봉래 빌딩 2019. 1. 1. 미화·보안관리 용역 용역 ‘19. 3. 1. ∼ ’22. 2. 28. 604,008 - - 5 세브란스 빌딩 2019. 2. 2…"
9,"원주장례식장 사용료 감면 부적정 ◦ 학교법인 연세대학교 장례식장 사용료 감면 기준 에 따르면 합리적인 장례식장(신촌·강남·원주 포함) 운영을 위하여 사용료 감면 대상 및 범위, 감면율 등을 규정 하고 있고,","- 학교법인 연세대학교 수익사업체인 원주장례식장은 2017. 9. 프로모션 협약 체결 없이 특별감면 대상이 아닌 원주세브란스기독병원 내 사망자 (DF) 의 장례식장 경비 506,880원 (총 1,689,600원의 30%) 을 감면하는 등 【 붙임 】 “원주장례식장 사용료 감면 현황”과 같이 장례식장 사용료 감면 기준 상 감면대상이 아닌 자 에게 2017. 9.부터 2019. 7.까지 장례식장 사용료 총 582건 245,716,860원을 감면한","※ 원주 소재 중·고교 졸업생(본인·직계가족) 및 원주세브란스기독 병원 내 사망자(본인)에 대해 내부 결재만으로 감면 처리; 기관경고 【 붙임 】 원주장례식장 사용료 감면 현황 (단위 : 건, 원) 원내 사망자 소재 중고교 졸업생 계 건수 금액 건수 금액 건수 금액 543 226,501,590 39 19,215,270 582 245,716,860 감사결과 처분서 기관명 : 연세대학교(의료원)"
10,출신대학 차별 등 직원채용 부당 ◦,"- 연세대학교 의료원은 2017. 3. 22. 정규직 사무직 채용 계획을 수립하여 채용공고 〔접수기간 : 2017.3.23.(목) ~ 4.9.(일), 전형방법 : 서류심사 → 인성검사 및 1차 면접심사 → 2차 면접심사, 응시자격 : 4년제 대학졸업자로 경영(상경)․법정․ 인문․사회과학계열․보건․의료행정 전공자) 후, ○○학원에서 발행한 수능배치표상 각 대학의 최상위학과 점수를 기준 으로 대학순위표 (206개 4년제 대학, 캠퍼스 포함) 를 작성하고 그에 따라 지원자 408명에 대한 서류심사 1) 를 실시하면서 출신대학에 따라 5개 등급 (A~E등급) 2) 으로 구분...","【붙임1】 서류심사 평가기준 부당 적용 현황 연번 직종 채용계획 (채용일자) 채용 인원 응시 인원 출신학교 등급(점수, 합격인원) 본 원 근 무 자 우 대 A급 B급 C급 D급 E급 F급 G급 기타 합 격 인 원 1 사 무 직 2017.3.22 (2017.6.7.) 8 408 80점 (1명) 75점 (5명) 70점 (1명) 65점 (0명) 50점 (0명) 회계사 (1명) 2017.6.20 (2017.8.16.) 1 58 70점 (0명) 60점 (1명) 50점 (0명) 40점 (0명) 2018.8.21 (2018.11.14.) 1 54 80점 (0명) 75점 (1명) 65점 (0명) 60점 (0명) 55점 (0명) 50점 (0명) 40점 (0명) 2018.12.3 (2019.4.1) 10 599 80점 (4명) 75점 (4명) 70점 (1명)…"
