연번,지적사항,주요내용(요약),처분요구
1,"법인 직원 인건비 부당 지급 등 ㅇ ｢ 사립학교법｣ 제27조에 따라 준용되는 ｢ 민법｣ 제61조에 따르면 학교법인 이사는 선량한 관리자의 주의로 그 직무를 행하여야 하고, ｢ 사학기관 재무·회계 규칙｣ 제4조, 제21조 제1항 및 제43조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하도록 되어 있으며 법인의 업무에 속하는 회계의 세출예산은 목적 외에 이를 사용하지 못한다고 되어 있고, 법인의 모든 재산의 관리책임자는 이사장으로 되어 있으며, ｢ 학교법인 금강 학원 정관｣ 제23조의2에 따르면 이사회운영과 수익 사업 경영 및 이사장을 보좌하기 위하여 이사 중 1인을 상근하는 이사를 둘 수 있으며, 상임이사는 이사장의 제청으로 이사회에서 선임하고 그 임기는 이사의 재임 기간으로 하고, 상임이사의 보수 등에 관하여는 이사회의 승인을 얻어 이사장이 정한다고 되어 있는데도,","- 학교법인 금강학원은 2016. 6. 29. A을(를) 신규 임용 한 후, B와(과) 자녀 C, D, E, F이(가) 공동 소유하고 있는 충청남도 ㄱ 소재 임야 (108,406㎡) 일대에 대한 관리를 전담시키고 2016. 7. 이에 대한 인건비 1,733천원을 법인회계에서 집행하는 등【붙임1】“B 등 소유 토지 관리인 인건비 법인회계 집행 현황”과 같이 2016. 7. 부터 2021. 11. 25. (B 사망 전) 까지 위 A에게 B 소유 또는 B와(과) C 등 자녀 4명이 공동 소유하고 2021. 11. 26. 부터 2022. 5. 감사일 현재까지 위 C 등 자녀...",원문 본문 OCR 필요
2,"이사회 운영 부당 ㅇ ｢ 사립학교법｣ 제15조 및 제16조에 따르면 학교법인에 이사회를 두고 이사회는 이사로 구성하며 이사회는 학교법인의 예산·결산·차입금 및 재산의 취득·처분과 관리에 관한 사항, 정관 변경에 관한 사항, 학교법인의 합병 또는 해산에 관한 사항, 임원의 임면에 관한 사항, 학교법인이 설치한 사립학교의 장 및 교원의 임용에 관한 사항, 학교법인이 설치한 사립학교의 경영에 관한 중요한 사항, 수익사업에 관한 사항, 그 밖에 법령이나 정관에 따라 그 권한에 속하는 사항을 심의·의결하고, ｢ 같은 법｣ 제27조에 따라 준용되는 ｢ 민법｣ 제61조에 따르면 이사는 선량한 관리자의 주의로 그 직무를 행하며, ｢ 같은 법｣ 제18조 및 제18조의2에 따르면 이사회는 정관에 특별한 규정이 없으면 재적이사 과반수의 출석으로 개의(開)하고 정관으로 정한 이사 정수 과반수의 찬성으로 의결하고 이사회의 회의는 동영상과 음성이 동시에 송수신되는 장치가 갖추어진 다른 장소에 출석하여 진행하는 원격영상회의의 방식 으로 할 수 있으며 이 경우 해당 이사는 이사회에 출석한 것으로 보고, 이사회는 개의, 회의 중지 및 산회(散會) 일시, 안건, 의사, 출석한 임원과 직원의 성명, 표결 수 등의 사항을 적은 회의록을 작성하여야 하고, 다만, 이사회 개최 당일에 회의록을 작성하기 어려운 사정이 있을 때에는 안건별로 심의·의결 결과를 기록한 회의 조서를 작성할 수 있으며, ｢ 같은 법｣ ㅇ 중징계(2명) ㅇ 경고(8명) 연 번 지 적 사 항 처 분 제19조에 따르면 이사장은 학교법인을 대표하고 이 법과 정관에 규정된 직무를 수행하며 그 밖에 학교법인 내부의 사무를 총괄하며 이사는 이사회에 출석하여 학교법인의 업무에 관한 사항을 심의·결정해야 하고, ｢ 학교법인 금강학원 정관｣ 제18조에 따르면 법인에 이사 8명을 두는 것으로 되어 있는데도,","- 학교법인 금강학원은 ‘정관 개정에 관한 사항’ 등 3건의 안건 심의와 ‘△△ 매각 완료’ 보고를 받기 위한 ‘2021 학년도 2차 이사회 (2021. 6. 24.) 를 개최하지 않았음에도, 일자 미상일에 학교법인 I은(는) 이사 6명 (J, K, H, L, M, C) 와(과) 감사 1명 (N) 이 2021. 6. 24. 11:00부터 11:50 까지 원격영상회의방식으로 이사회에 참석하여 3건의 안건을 의결 (승인) 하고 1건을 보고 받은 것처럼 이사회 회의록을 작성하고, J 등 이사 6명과 감사 1명은 위와 같이 허위로 작성된 이사회 의사록에 서명을 하는 등 【...",통보
3,"개인 주택 통신비 법인회계 집행 ㅇ ｢ 사학기관 재무·회계 규칙｣ 제4조 및 제21조 제1항에 따르면 법인과 학교의 재무와 회계는 건전하게 운영 하도록 되어 있고, 법인의 업무에 속하는 회계의 세출 예산은 목적외에 이를 사용하지 못한다고 되어 있으며, ｢ 사학기관 재무·회계 규칙에 대한 특례규칙｣ 제17조에 따라 자금계산서에 적용되는 ‘별표1 자금계산서 계정 과목 명세표’에 ‘통신비’는 전신, 전화, 우편요금 등의 통신비로 되어 있는데도, - 학교법인 금강학원은 2019. 3. 25. B이(가) 소유하고 있는 주택 (충청북도 ㄷ 소재) 과 위 B의 딸 E이(가) 소유 하고 있는 주택 (충청남도 ㄴ 소재) 에 설치된 위성방송 수신료 79,270원을 법인회계에서 통신비로 집행하는 등","- 학교법인 금강학원은 2019. 3. 25. B이(가) 소유하고 있는 주택 (충청북도 ㄷ 소재) 과 위 B의 딸 E이(가) 소유 하고 있는 주택 (충청남도 ㄴ 소재) 에 설치된 위성방송 수신료 79,270원을 법인회계에서 통신비로 집행하는 등 【붙임】“B 등 소유 주택 위성방송 수신료 집행 현황”과 같이 2019. 3.부터 2021. 12.까지 총 31차례에 걸쳐 위 B 소유 주택 등 학교법인과 관련이 없는 총 2개의 주택에 설치된 위성방송 수신료 합계 2,701,610원을 법인회계 에서 통신비로 집행한",ㅇ 경고(4명)
4,"교육용기본재산 처분대금 지연 전출 등 ㅇ ｢ 사립학교법｣ 제29조 제1항 및 제6항에 따르면 학교 법인의 회계는 그가 설치‧ 경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 교비 회계에 속하는","- 학교법인 금강학원은 2020. 10. 6. 교육용기본재산인 충청북도 청주시 ㄹ 소재 건물 (△△, 지하 1층~지상 4층) 을 Q에게 35억에 매각하는 계약을 체결하고, 다음날인 2020. 10. 7. 계약금 및 중도금 합계 7억을 수령하고도 272일이 지난 2021. 7. 5.에야 비로소 학교로 전출한 사실이 있음 ※ 학교법인은 나머지 잔금 28억을 2021. 6. 8. 수령하고 27일이 지난 2021. 7. 5.에 학교로 전출 - 또한, 2021. 6. 8. 법인회계에 입금된 잔금 28억에 대한 지체보상금* 합계 47,106,163원을 잡수익 처리하고 학교로 전...","* 계약상 잔금 28억은 2021. 2. 28.에 입금되어야 하나 99일 지난 2021. 6. 8.에 법인회계에 입금 ㅇ 경고(3명) ㅇ 시정 - 교육용기본재산 처분 대금에 대한 지체보상금 합계 47,106,163원 과 교 육 용 기 본 재 산 처 분 대 금 지연 전출에 따른 이 자 액 상 당 을 교 비 회계로 전출하기 바람 감사결과 처분서 기관명 : 학교법인 금강학원, 유원대학교"
5,"법인 차량 관리 부적정 ㅇ ｢ 사학기관 재무·회계규칙｣ 제4조, 제48조, 제49조 및 제50조에 따르면 법인과 학교의 재무와 회계는 건전 하게 운영하여야 하고 법인의 물품관리자는 이사장 으로 하며, 물품관리자는 물품출납원을 지정하여야 하고 물품관리자, 물품출납원 및 물품사용자는 선량한 관리자로서의 주의와 의무를 다하여야 하며 물품출납원은 물품관리자의 명령이 없이는 물품을 출납하지 못하고 출납명령은 수급부에 결재날인함으로써 행한다고 되어 있는데도, - 학교법인 금강학원 I은(는) 2022. 4. 2. 법인 업무용 차량 목적으로 구매한 차량 (금액 50,496천원) 을 아무런 행정 절차 없이 C의 구두 지시만으로 R (C의 딸) 이(가) 인수 하여 사용하게 하고, 위 R은(는) 운행일지 등 업무를 입증할 만한 서류 등도 작성하지 않은 채 2022. 5. 감사일 현재까지 약 1개월 이상 위 법인 업무용 차량을 용도 불명으로 사용한 사실이 있음","- 학교법인 금강학원 I은(는) 2022. 4. 2. 법인 업무용 차량 목적으로 구매한 차량 (금액 50,496천원) 을 아무런 행정 절차 없이 C의 구두 지시만으로 R (C의 딸) 이(가) 인수 하여 사용하게 하고, 위 R은(는) 운행일지 등 업무를 입증할 만한 서류 등도 작성하지 않은 채 2022. 5. 감사일 현재까지 약 1개월 이상 위 법인 업무용 차량을 용도 불명으로 사용한",【 학 교 법 인금 강 학 원 】 ㅇ 경고(1명) ㅇ 개선 - 법 인 업 무 용 차 량 을 사적으로 사용하는 일이 없도록 관련 규정을 마련하여 시행하기 바람 【유원대학교】 ㅇ 경고(2명) 감사결과 처분서 기관명 : 학교법인 금강학원
6,"수익용기본재산 임대보증금 관리 부적정 ㅇ ｢ 사학기관 재무·회계 규칙｣ 제21조에 따르면 법인의 업무에 속하는 회계의 세출예산은 목적외에 이를 사용 하지 못하며, ‘사립대학(법인) 기본재산 관리 안내서’ (사립대학정","- 학교법인 금강학원은 충청북도 ㄹ 소재 상가건물 등 수익용기본재산 6곳을 임대하면서 수령한 임대보증금 합계 1,305,469천원 중 897,143천원을 2022. 2. 28. 현재 별도 계좌로 관리하지 않고 법인 운영비 등으로 사용한","※ 2022. 2. 28. 기준 임대보증금 금융기관 별도 계좌 예치액 408,326천원 ㅇ 기관경고; 통보 - 별도 계좌로 관리 하지 않은 수익용 기본재산 6곳의 임대보증금 합계 8 9 7 , 1 4 3 천 원 을 확보하여 별도 계좌로 관리하기 바람 감사결과 처분서 기관명 : 유원대학교"
7,"교원 신규채용 절차 미준수 ㅇ ｢ 사립학교법｣ 제53조의5에 따라 준용되는 ｢ 교육공무원법｣ 제11조의3에 따르면 대학의 교원을 신규 채용할 때에는 객관적이고 공정한 심사를 거쳐야 하고, ｢ 유원대학교 교원 인사규정｣ 제7조, 제8조 및 제11조에 따르면 교원의 신규채용은 공개채용을 원칙으로 하고 그 방법과 기준 절차는 ｢ 정년트랙 전임교원 신규임용 기본지침｣ , ｢ 비정년 트랙 전임교원 신규임용 기본지침｣ 에 따른다고 되어 있고, ｢ 유원대학교 비정년트랙 전임교원 신규임용 기본 지침｣ 에 따르면 채용은 1차 서류심사 (전임교원 자격심사 및 전공적·부심사) , 2차 서류심사 (연구업적 심사) , 3차 면접 심사를 거쳐 최종합격자를 결정하며, 총장은 2차 서류 심사 결과에 따라 면접대상자를 선정하되 상위점수 취득자로 하되 지원자 수를 감안하여 선발하며, 서류 심사 결과 동점일 경우는 연구 실적점수, 전공 적·부 순으로 선정하며, 최종 임용예정자 결정은 면접결과 면접위원 총인원의 점수를 합산하여 상위점수 취득자를 임용예정 1순위로 하고, 면접결과 평균점수 80점 미만은 임용예정에서 제외하며, 임용예정자에 대한 인사위원회의 동의를 거쳐 최종합격자를 결정한다고 되어 있는데도,","- 유원대학교는 2020학년도 1차 ▷▷학부 전임교원 채용 절차를 진행하면서, 2차 서류심사 결과 상위점수 취득자 S 등 2명을 면접대상자로 선정하지 않고, 하위점수 취득자 T 등 2명을 면접대상자로 선정하여 면접전형을 ㅇ 경고(4명) ㅇ 통보 - 교원 채용은 법령 및 관련 규정이 정하는 절차에 따라 객관적이고 공정한 절차로 진행하기 바람 연 번 지 적 사 항 처 분 진행하는 등【붙임1】 “교원 신규채용 면접대상자 선정 부적정 현황”과 같이 2020학년도부터 2022학년도까지 11개 분야 전임교원 채용절차를 진행하면서, 2차 서류 심사 결과에 따라 상위점수 취득자 순...",경고
8,"교원 재임용 및 업적평가 부적정 ㅇ ｢ 사립학교법｣ 제53조의2 제7항에 따르면 대학은 교원의 재임용 여부를 심의함에 있어서는 학생교육, 학문연구, 학생지도에 관한 평가 등 객관적인 사유로서 학칙이 정하는 사유에 근","- 유원대학교는 2020. 9. 1.자 ◇◇과 교수 V에 대한 재임용 여부를 심의하면서 학생교육 등과 무관한 입시 홍보 (학생 유치) 및 대학평가 업무를 이행사항으로 삼은 ‘조건부 재임용 교원 목표 서약서’의 불이행을 주된 사유로 재임용을 거부 (2020. 6. 29.) 하였고, 결국 2020. 10. 21. 교원소청심사위원회로부터 재임용 거부 결정이 위법 하다는 통보를 받은 사실이 있음 - 또한, 2021. 12. 30. 폐과 소속 교원으로 학생 지도 등을 할 수 없음에도 위 V에 대한 교원업적평가 시 학생 상담지도 등의 비교과 활동 영역에서 타 학과 교수들과 같은...","감사결과 처분서 기관명 : 학교법인 금강학원, 유원대학교"
9,교원 징계위원회 구성 부적정 등,- 학교법인 금강학원은 2019. 12. 19. 외부위원 위촉 없이 금강학원 이사 H 등 내부위원 5인*으로 교원징계 위원회를 구성하여 2020. 1. 22. ▽▽학부 X에 대해 ‘해임’ 의결하는 등【표1】“징계위원회 구성·운영 부적정 현황”과 같이 2020. 1. 22. 위 X 등 3명에 대하여 외부 위원 위촉 없이 내부위원으로 구성된 교원징계위원회 에서 징계 의결을 한 사실이 있음 [표1] 징계위원회 구성·운영 부적정 현황 징계의결 요구일 의결일 징계 종류 징계자 인적사항 징계사유 소 속 직 급 성명 ‘19.12.30 ‘20.1.22 해임 ▽▽학부 조교수 X 사기...,감사결과 처분서 기관명 : 유원대학교
10,"임원 겸직 미허가 ㅇ ｢ 사립학교법｣ 제55조에 따라 준용되는 ｢ 국가공무원법｣ 제64조 및 ｢ 교육공무원법｣ 제19조의2에 따르면 공무원은 공무 외에 영리를 목적으로 하는 업무에 종사하지 못하며 소속 기관장의 허가 없이 다른 직무를 겸할 수 없고, 교수·부교수 및 조교수는 학생의 교육·지도와 학문의 연구에 지장이 없는 범위 안에서 소속 학교의 장의 허가를 받아 상업·공업·금융업 그 밖에 영리를 목적으로 하는 사기업체의 사외이사 (｢ 자본시장과 금융 투자업에 관한 법률｣ 제9조 제3항에 따른 당해 회사의 상무에 종사하지 아니하는 이사를 말한다) 를 겸직할 수 있으며, ｢ 중소기업 지원인력 특별법｣ 제15조에 따르면 대학의 교원은 그 소속 기관의 장의 허가를 받아 중소기업의 대표자 또는 임직원을 겸임하거나 겸직할 수 있고, ｢ 유원대학교 복무규정｣ 제4조에 따르면 교원은 다른 기관의 임·직원의 겸임 또는 겸직을 원할 경우 총장의 허가를 받아 겸직할 수 있다고 되어 있는데도, - 유원대학교 C은(는) 학교법인 금강학원 이사장의 사전 허가를 받지 않고","- 유원대학교 C은(는) 학교법인 금강학원 이사장의 사전 허가를 받지 않고【표】“C 타 기관 겸직 현황”과 같이 학교법인 ♡♡ 이사장 직무 등 3개 기관에 겸직한 사실이 있고, [표] C 타 기관 겸직 현황 연번 겸직 기관 직위 1 ♡♡ 이사장 2 ♧♧ 이사 3 □□ 감사 ㅇ 경고(2명) 연 번 지 적 사 항 처 분 - 또한, 유원대학교 ☆☆학과 부교수 AF은(는) 총장 겸직 허가 없이 2019. 1.부터 2022. 5. 감사일 현재까지 ♤♤ 사내이사로 겸직하면서 보수 등 합계 287,351천원 * 을 받은","* (’19) 61,951,000원, (’20) 85,500,000원, (’21) 139,900,000원 감사결과 처분서 기관명 : 유원대학교"
