연번,지적사항,주요내용(요약),처분요구
1,"임차인 부담 보안·시설용역비 미징수 ◦ ｢ 사학기관 재무‧ 회계 규칙｣ 제4조 및 제28조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고, 학교의 세입징수자는 납부의무자에게 기일을 정하여 문서로써 납입의 고지를 하여야 한다고 되어 있는데도, - 학교법인 성광학원은 2019. 3. 수익용기본재산인 경기도 ㄱ 소재 건물 (","- 학교법인 성광학원은 2019. 3. 수익용기본재산인 경기도 ㄱ 소재 건물 (○○빌딩, 지하2층 ~ 지상5층, 연면적 12,556.32㎡) 의 2층 일부 (290.46㎡) 및 3~5층 전체 (4778.19㎡) 를 주식회사 □□ 및 △△재단에 임대하고도, 임차인이 부담해야 할 보안‧ 시설용역비 합계 9,298,680원 상당을 임차인에게 징수하지 않는 등【붙임】“임차인 부담 보안‧ 시설용역비 미징수 현황”과 같이 2019. 3.부터 2022. 5.까지 위 수익용 기본재산의 임차인인 주식회사 □□와 △△재단에 보안‧ 시설용역비 합계 383,957,740원 상당을 징수하지...","※ 위 부동산 임대차 계약서 5조(관리비 등)에 임차인이 미화관리, 보안관리, 시설관리 용역 및 기타 임대차 건물 관리에 소요 되는 소모품 등 각종 공과금 기타 일반관리비를 부담하는 것으로 되어 있음; 경고(2명); 시정(회수) - 수익용기본재산의 임차인인 주식회사 □□와 △ △ 재 단 으로부터 보안‧ 시설용역비 합 계 3 8 3 ,9 5 7 ,7 4 0 원 상당액 이상을 징수하여 관련 회계에 세입조치 하기 바람"
2,"부동산 취득 후 이사회 심의 ‧ 의결 ◦ ｢ 사립학교법｣ 제16조 제1항에 따르면 이사회는 학교 법인의 예산‧ 결산‧ 차입금 및 재산의 취득‧ 처분과 관리에 관한 사항을 심의‧ 의결하도록 되어 있는데도, - 학교법인 성광학원은 2015. 11. 19. 이사회 심의‧ 의결 없이 서울특별시 ㄴ 소재 토지 및 건물 (수익용기본재산) 에 대한 취득계약 (취득금액 4,176,245천원) 을 체결하고 29일이 지난 2015. 12. 18.에서야 학교법인 이사회에서 심의‧ 의결하는 등","- 학교법인 성광학원은 2015. 11. 19. 이사회 심의‧ 의결 없이 서울특별시 ㄴ 소재 토지 및 건물 (수익용기본재산) 에 대한 취득계약 (취득금액 4,176,245천원) 을 체결하고 29일이 지난 2015. 12. 18.에서야 학교법인 이사회에서 심의‧ 의결하는 등【붙임】“부동산 취득 후 이사회 심의‧ 의결 현황”과 같이 2015. 11.부터 2021. 12.까지 위 부동산 등 5건의 수익용기본재산 및 교육용기본재산에 대한 취득계약을 체결하고 짧게는 29일, 길게는 149일 지난 후에야 학교법인 이사회에서 심의‧ 의결을 한",통보
3,"전임교원 채용 심사위원 구성 부적정 ◦ ｢ 사립학교법｣ 제53조의5에 따라 준용하는 ｢ 교육공무원법｣ 제11조의3에 따르면 대학의 교원을 신규채용할 때에는 심사위원을 임명하거나 위촉하여 객관적이고 공정한 심사를 거쳐야 하고, ｢ 교육공무원임용령｣ 제4조의3에 따르면 대학교원의 신규채용은 기초심사, 전공심사, 면접심사의 단계를 거쳐 실시하되, 대학의 장은 필요한 경우에는 각 심사단계를 통합하여 실시할 수 있으며, 채용후보자의 전공과 모집대상 전공분야와의 일치여부 및 채용후보자의 전공에 대한 학문적 우수성을 심사하는 기초심사와 전공심사를 하는 때에는 심사위원 중 3분의 1 이상은 당해 대학 소속의 교직원이 아닌 자로 하여야 하며, ｢ 차의과학대학교 교원인사 세칙｣ 제6조 및 제9조에 따르면 신규임용은 공개전형에 의하여 서류심사 (기초 및 전공심사) 및 면접심사를 거쳐 실시하며 기초 및 전공 심사를 하는 때에는 초빙분야 관련 교원 3인 이상으로 구성하며 3분의 1 이상은 외부인사로 위촉하여야 한다고 되어 있는데도, - 차의과학대학교는 2021. 1. 14. 2021학년도 1학기 ▷▷ 학과 전임교원 채용 기초 및 전공심사를 실시하면서 심사위원 4명 중 1명만을 타 대학 전임교원으로 위촉 하는 등","- 차의과학대학교는 2021. 1. 14. 2021학년도 1학기 ▷▷ 학과 전임교원 채용 기초 및 전공심사를 실시하면서 심사위원 4명 중 1명만을 타 대학 전임교원으로 위촉 하는 등【붙임1】“전임교원 채용 외부 심사위원 부적정 위촉 현황”과 같이 2021학년도 1학기부터 2022학년도 1학기까지 총 6회에 걸쳐 전임교원 채용 기초 및 전공 심사 심사위원 구성 시 3분의 1 이상을 외부위원으로 위촉하지 않은 사실이 있고, ◦경고(10명) ◦통보 - 전임교원 채용 시 관련 절차를 준수 하기 바람 연 번 지 적 사 항 처 분 - 또한, 차의과학대학교 ▽▽은 2019. 5....",경고
4,"겸직 미허가 부적정 ◦ ｢ 사립학교법｣ 제55조 제1항에 따르면 사립학교 교원의 복무는 국·공립학교 교원에 관한 규정을 준용한다고 되어 있고, ｢ 국가공무원법｣ 제64조에 따르면 공무원은 공무 외에 영리를 목적으로 하는 업무에 종사하지 못하며 소속 기관장의 허가 없이 다른 직무를 겸할 수 없으며, ｢ 벤처기업육성에 관한 특별조치법｣ 제16조의2에 따르면 교육공무원등은 소속 기관장의 허가를 받아 벤처기업의 대표자나 임직원을 겸임하거나 겸직할 수 있으며, ｢ 차의과학대학교 교원복무 규정｣ 제6조 및 제6조의2에 따르면 교원은 학생의 교육·지도와 학문의 연구에 지장이 없는 범위 안에서 직무상의 능률을 저해할 우려가 없는 경우에 한하여 교원인사위원회의 심의를 거쳐 총장의 허가를 받아야 한다고 되어 있는 데도, - 차의과학대학교 ▽▽ 부교수 A는 2022. 2. 28. ㈜ ◇◇ ㄷ 본부장 겸직 기간 (2021. 6. 25. ~ 2022. 2. 28., 허가일 : 2021. 6. 24.) 이 만료되었음에도 총장 허가 없이 위 ㄷ 본부장 겸직 기간을 2022. 6. 감사일 현재까지 임의 연장하는 등","- 차의과학대학교 ▽▽ 부교수 A는 2022. 2. 28. ㈜ ◇◇ ㄷ 본부장 겸직 기간 (2021. 6. 25. ~ 2022. 2. 28., 허가일 : 2021. 6. 24.) 이 만료되었음에도 총장 허가 없이 위 ㄷ 본부장 겸직 기간을 2022. 6. 감사일 현재까지 임의 연장하는 등【붙임】“총장 미허가 겸직 현황”과 같이 겸직 기간이 만료된 위 A 등 교수 2명은 총장의 겸직 허가 없이 다른 직무를 겸직한",원문 본문 OCR 필요
5,"성범죄 경력 미조회 등 ◦ ｢ 아동·청소년의 성보호에 관한 법률｣ 제56조 제1항 및 제5항에 따르면 ｢ 고등교육법｣ 제2조의 학교의 장은 그 기관에 취업 중이거나 사실상 노무를 제공 중인 자 또는 취업하려 하거나 사실상 노무를 제공하려는 자에 대하여 성범죄의 경력을 확인하여야 한다고 되어 있는 데도, - 차의과학대학교는 2019. 8. 1. ♡♡실 간호사 B에 대한 성범죄 경력을 조회하지 않은 채 신규 채용하는 등","- 차의과학대학교는 2019. 8. 1. ♡♡실 간호사 B에 대한 성범죄 경력을 조회하지 않은 채 신규 채용하는 등 【붙임1】“교직원 성범죄 경력 미조회 현황”과 같이 2019. 8.부터 2022. 6. 감사일 현재까지 위 B 등 3명을 채용하면서 성범죄 경력을 조회하지 않은 사실이 있고, - 또한, 2019. 3. 1. 채용한 ♤♤대학 초빙교원 C에 대한 성범죄 경력 조회를 임용 후 60일이 지난 2019. 4. 30. 확인하는 등【붙임2】“교직원 성범죄 경력 지연 조회 현황”과 같이 2019. 3.부터 2022. 5.까지 위 C 등 101명에 대한 성범죄 경력 조...",주의(6명); 통보 - 성 범 죄 관 련 규 정 에 따 라 조 치 하 기 바 람
6,"4대 폭력 예방교육 미이수 등 ◦ ｢ 양성평등기본법 시행령｣ 제20조, ｢ 성폭력방지 및 피해자 보호 등에 관한 법률 시행령｣ 제2조, ｢ 성매매방지 및 피해자보호 등에 관한 법률 시행령｣ 제2조, ｢ 가정폭력 방지 및 피해자보호 등에 관한 법률 시행령｣ 제1조의2에 따르면 대학의 장은 대학에 소속된 사람을 대상으로 매년 1회 이상 성희롱·성폭력·성매매·가정폭력 예방 교육 (이하 “4대 폭력 예방교육”) 을 각 1시간 이상 실시하고, 신규 임용된 사람에 대해서는 임용된 날부터 2개월 이내에 4대 폭력 예방교육을 실시하도록 되어 있는데도,",- 차의과학대학교 ♤♤대학 ♧♧학과 교수 D 등 교 직원 142명은 2019년도 4대 폭력 예방교육을 이수 하지 않는 등【붙임1】“교직원 4대 폭력 예방교육 미이수 현황”과 같이 위 D 등 교직원 462명 (중복포함) 은 2019년도부터 2021년도까지 4대 폭력 예방교육을 이수 하지 아니한 사실이 있음 【신규 임용 교직원 4대 폭력 예방교육에 관한 사항】--② - 차의과학대학교 ▽▽ 조교수 E는 2019. 3. 1. 임용된 후 임용일로부터 226일이 경과한 2019. 12. 13. 4대 폭력 예방교육을 이수하는 등【붙임2】 “신규 임용 교직원 4대 폭력 예방교육 지...,교육
7,"기록물 폐기 절차 미준수 ◦ ｢ 공공기록물 관리에 관한 법률｣ 제27조 제1항에 따르면 공공기관이 기록물을 폐기하려는 경우에는 기록물관리 전문요원의 심사와 기록물평가심의회의 심의를 거쳐야 하고, ｢ 같은 법 시행령｣ 제43조 제1항에 따르면 보존 기간이 경과한 기록물에 대하여는 생산부서 의견조회, 기록물관리 전문요원의 심사 및 기록물평가심의회의 심의를 거쳐 보존기간 재책정, 폐기 또는 보류로 구분 하여 처리하여야 한다고 되어 있는데도, - 차의과학대학교는 2019. 11. 9. “ ㄹ ” 등 ☆☆부서에서 생산된 총 120권의 기록물을 폐기하면서 자체 보존 기간이 경과하였다는 이유로 생산부서 의견조회, 기록물 관리 전문요원의 심사 및 기록물평가심의회의 심의를 거치지 아니하는 등","- 차의과학대학교는 2019. 11. 9. “ ㄹ ” 등 ☆☆부서에서 생산된 총 120권의 기록물을 폐기하면서 자체 보존 기간이 경과하였다는 이유로 생산부서 의견조회, 기록물 관리 전문요원의 심사 및 기록물평가심의회의 심의를 거치지 아니하는 등【붙임】“기록물 폐기 절차 미준수 폐기 현황”과 같이 자체 보존기간이 경과하였다는 이유로 생산부서 의견조회, 기록물관리 전문요원의 심사 및 기록물평가심의회의 심의 없이 위 ☆☆부서 등 2개 부서에서 생산된 총 209권의 기록물을 임의 폐기한",기관경고; 통보 - 기록물 폐기 시 관련 심사 및 심의를 거쳐 운영 하는 등 기록물 관리 관련 규정을 준수하기 바람 <별도조치>; 통보(관련기관) - 기록물 폐기절차 부적정 사례를 통보하니 업무에 참고하시기 바람
8,"미인가 학습장 운영 부당 ◦ ｢ 사립학교법｣ 제55조에 의하여 준용되는 ｢ 국가공무원법｣ 제56조에 따르면 모든 교원은 법령을 준수하며 성실히 직무를 수행하여야 하고, ｢ 차의과학대학교 교원복무 규정｣ 제3조에 따르면 교원은 법령, 정관, 제 규정 및 교원윤리강령을 준수하여야 하며, ｢ 고등교육법｣ 제4조 제2항 및 제3항에 따르면 학교를 설립하려는 자는 시설·설비 등 대통령령으로 정하는 설립기준을 갖추어 교육부장관의 인가를 받아야 하고, ｢ 같은 법 시행령｣ 제2조 제5항 및 제6항, ｢ 대학설립·운영 규정｣ 제3조에 따르면 학교의 위치를 변경하려는 경우 교육부에 둔 대학설립심사위원회 심의를 거쳐 교육부장관의 인가를 받아야 하며, 교육부의 ‘학교법인 성광학원 (차의과학대학교) 회계부분 감사결과 처분 통보 (‘13.9.16.) ’에 따르면 차의 과학대학교는 2010학년도부터 2013. 5월 감사일 현재 까지 교육부로부터 학교 위치변경 인가를 받지 않은 위치 (경기도 ㄱ 소재) 에서 ▲▲학과 4학년, ▽▽대학원, ▲▲학사 학위과정 수업을 실시하여 ‘미인가 학습장 운영 등’으로 ‘경고 및 시정*’ 처분을 받았는데도, * 우리부에서 인가받지 않은 학습장(경기도 ㄱ 소재)에서 실시하고 있는 수업을 중단하기 바람 - 차의과학대학교는 2014학년도 1학기에 ▲▲학과 4학년 이론 과목인 ’ ㅂ 과정‘을 교육부로부터 인가받지 않은 학습장 (경기도 ㅅ 소재) 에서 수업하는 등","- 차의과학대학교는 2014학년도 1학기에 ▲▲학과 4학년 이론 과목인 ’ ㅂ 과정‘을 교육부로부터 인가받지 않은 학습장 (경기도 ㅅ 소재) 에서 수업하는 등【붙임】“미인가 학습장 수업 실시 현황”과 같이 2014학년도 1학기부터 2020학년도 2학기까지 ▲▲학과 및 ▲▲학사학위 특별 ◦중징계(1명) ◦경징계(2명) ◦시정 - 교육부에서 인가 받지 않은 학습장 에서 실시하고 있는 수업을 중단 하기 바람 연 번 지 적 사 항 처 분 과정, ▽▽대학원의 이론 과목인 ㅂ 과정 등 487개 이론 과목 (총 988.5학점, 주당 총 1,049시간) 수업을 교육부 로부터 인가받...","* 2013. 11. 15. ‘경기도 ㄱ 소재’에서 실시하는 수업을 중단하고, 당초 인가받은 교육시설에서 수업을 진행한다는 확인서(▶▶처장 G 서명으로 작성)"
9,"책임강의시수 미달자에 대한 정산 미실시 ◦ ｢ 고등교육법 시행령｣ (개정 2019. 8. 1.) 제6조 제1항 및 제2항에 따르면 대학·산업대학·교육대학 및 전문대학의 교원 (학교의 장과 강사는 제외한다) 의 교수시간은 매학년도 30주를 기준으로 매주 9시간을 원칙으로 하고, 대학·산업대학· 교육대학 및 전문대학의 강사와 법 제17조 제1항에 따른 겸임교원 및 초빙교원 등 (이하 “겸임교원등”) 의 교수 시간은 매학년도 30주를 기준으로 강사와 겸임교원등 (겸임교원 및 초빙교원은 제외한다) 의 경우에는 매주 6시간 이하를, 겸임교원 및 초빙교원의 경우에는 매주 9시간 이하를 각각 원칙으로 하되, 학교의 장이 특별히 필요 하다고 인정하는 경우에는 강사와 겸임교원등 (겸임교원 및 초빙교원은 제외한다) 의 경우에는 매주 9시간을, 겸임교원 및 초빙교원의 경우에는 매주 12시간을 각각 초과하지 않는 범위에서 학칙으로 다르게 정할 수 있으며, ｢ 차의과학 대학교 책임교육시수 규정(2019~2021)｣ 제5조, 제7조, 제11조에 따르면 책임교육시수는 전임교원 및 초빙교원이 당해 학기에 충족하여야 할 최소한의 환산교육시수를 말하고, 전임교원인 경우, 연구중점교원: 120시간, 교육중 점교원 (정년트랙) : 270시간, 교육중점교원 (비정년트랙) : 360 시간, 산학협력중점교원 (정년/비정년트랙) : 120시간, 강의 전담교원: 450시간으로 되어 있으며, 초빙교원인 경우 교육중점교원: 270시간, 강의전담교원: 360시간으로 되어 있고, 대학의 부총장, 처장 등의 보직을 맡고 있는 자나 전공분야 및 개설과목의 특성상 책임교육시수의 충족이 ◦기관주의 ◦통보 - 자체규정을 위반 하여 총장의 승인 없이 책임교육 시수를 미달한 경우에 대 해 관 련 규정에 따라 조치 하기 바람 연 번 지 적 사 항 처 분 불가능하다고 판단되는 등 총장이 인정한 경우는 책임 교육시수를 감면할 수 있고, 총장의 승인 없이 책임교육 시수를 충족하지 못한 경우 산정 [외부강사료×(책임시수 - 당해 환산교육시수)] 한 금액을 정산*하여야 한다고 되어 있는데도, * 2021. 2학기부터는 1년 이내에 부족한 책임교육시수를 보충하게 하고 보충하지 못한 경우 2만원×(책임시수- 당해 환산교육시수) 금액을 정산 - 차의과학대학교는 ▽▽ 교수 F (교육중점교원, 정년트랙) 의 2019학년도 환산교육시수가 212 시수 (책임시수 270시수) 임에도, 보직 (●●대학원장 등) 을 수행한다는 이유로 총장의 승인 없이 책임시수에 미달된 58시수에 대해 정산·회수하지 않는 등","- 차의과학대학교는 ▽▽ 교수 F (교육중점교원, 정년트랙) 의 2019학년도 환산교육시수가 212 시수 (책임시수 270시수) 임에도, 보직 (●●대학원장 등) 을 수행한다는 이유로 총장의 승인 없이 책임시수에 미달된 58시수에 대해 정산·회수하지 않는 등【붙임】“책임강의시수 부족분 미정산 현황”과 같이 2019학년도부터 2021학년도까지 위 F 등 교원 9명의 책임교육시수 대비 부족 시수 합계 1,866.6시수에 대해 교원별로 적게는 11.5시수 에서 많게는 232.5시수까지 총장의 승인 없이 정산· 회수하지 않는 등 자체규정을 위반한",환수
10,"계약학과 설치 권역 기준 미준수 등 ◦ ｢ 산업교육진흥 및 산학연협력촉진에 관한 법률｣ 제8조에 따르면 산업교육기관은, 국가, 지방자치단체 또는 산업체 등이 그 소속 직원의 재교육이나 직무능력 향상 또는 전직교육을 위하여 그 경비의 전부 또는 일부를 부담 하면서 교육을 의뢰하는 경우에는 국가, 지방자치단체 또는 산업체등과의 계약에 의하여 권역별로, 산업교육 기관간 또는 산업교육기관별로 직업교육훈련 과정 또는 학과 등을 설치·운영할 수 있고, ｢ 계약학과 설치· 운영규정｣ (교육부 고시 2018. 7. 11.) 제2조 3호 및 제5조에 따르면 ""권역""이라함은 산업교육기관과 산업체 등이 법 제8조 제1항 제2호에 따라 소속직원을 위하여 계약 학과를 설치·운영할 경우 ‘권역’은 동일한 광역 행정 구역 (시·도 단위) 내 또는 산업교육기관과 산업체 등과의 거리가 50km이내 (직선거리 기준) 인 경우로 본다고 되어 있는데도, - 차의과학대학교는 2019. 8. 21. 경북 ㅁ 소재의 ■■ 병원과 계약학과 설치 운영 협약을 체결하여 계약학과를 운영하는 등",- 차의과학대학교는 2019. 8. 21. 경북 ㅁ 소재의 ■■ 병원과 계약학과 설치 운영 협약을 체결하여 계약학과를 운영하는 등【붙임】“계약학과 설치권역 기준 미준수 협약체결 현황”과 같이 2019학년도 2학기부터 2021 학년도 2학기까지 권역 밖에 소재한 위 ■■병원 등 2개 업체와 협약을 체결하여 계약학과를 운영한,원문 본문 OCR 필요
