연번,지적사항,주요내용(요약),처분요구
2,부터 2018.,부터 2018.,원문 본문 OCR 필요
3,까지 총 9회에 걸쳐 이사회 소집 통지기한 (회의 7일 전) 미준수,"- 학교법인 청강학원 소유 ㈜ 0000 주식 처 분 대 금 을 완 수 하 거 나 주식의 소유권을 되찾는 등 권리확보 조치를 취하기 바람 ◦ 통보(문책) - 000에 대하여 정관 등 관련 규정에 따라 문책(중징계)하기 바람 (1번 , 6번 과병 합 처 리 ) 4. 교육부 미허가 수익용기본재산 (유가증권) 처분 ◦ 59억원 상당의 수익용기본재산(유가증권)을 이사회 심의 및 관할청 허가 없이 처분 【 사립학교법 제27조, 사립학교법 제16조 및 제28조】 【학교법인 청강학원】 ◦경고 - 2명 5. 기본재산 관리 부당 ◦ 수익용기본재산 (주택, 공장 부동산) 합계 2필지 및...","까지 총 9회에 걸쳐 이사회 소집 통지기한 (회의 7일 전) 미준수 【사립학교법 제17조, 학교법인 청강학원 정관 제30조】 【학교법인 청강학원】; 경고 - 2명 3. 유가증권 부당 양도 및 배당 손실; 이사회 심의 및 교육부 허가 없이 수익용 기본재산인 유가증권을 ㈜00에 양도하는 계약을 체결하고 처분대금 완수 이전 ㈜00에 소유권 이전 ･ 그에 따라 법인이 중간배당금 214,570 【학교법인 청강학원】; 통보 - 학 교 법 인 에235,157,490원 {(주)0000 중간배당금 214,570,000원+(주)00 결산 및 중간 배당금 합계 20,587,490원} 상당의 천원을 지급받지 못함 - 또한, 2014년부터 2017년까지 ㈜00의 법인지분 5.08%에 해당하는 배당금 합계 20,587천원 임의 배분 (000 7,716천원, 000의…"
3,부터 2018.,부터 2018.,원문 본문 OCR 필요
4,"까지 법인 수익사업체 대표 및 법인업무 전담직원 인건비 합계 177,815천원 교비회계 집행","까지 법인 수익사업체 대표 및 법인업무 전담직원 인건비 합계 177,815천원 교비회계 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제4조】 【학교법인 청강학원】 ◦1번에 포함조치 - 1명 【 청강문화산업대학교】 ◦ 경고 - 3명 ◦ 시정 - 법인 수익사업체 대표 및 법인업무를 전담 한 000에게 지급한 급여 등 177,815천 원 상 당 을 법인회계에서 교비회계로 전출하기 바람 8. 법인세 환급금 교비회계 지연 전출 ◦ 2014회계연도부터 2016회계연도까지 대학분 법인세 환급금(합계 451,717천원)을 적게는 8일 에 서 많 게 는 58일 까 지 교 비...","까지 법인 수익사업체 대표 및 법인업무 전담직원 인건비 합계 177,815천원 교비회계 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제4조】 【학교법인 청강학원】; 1번에 포함조치 - 1명 【 청강문화산업대학교】; 경고 - 3명; 시정 - 법인 수익사업체 대표 및 법인업무를 전담 한 000에게 지급한 급여 등 177,815천 원 상 당 을 법인회계에서 교비회계로 전출하기 바람 8. 법인세 환급금 교비회계 지연 전출; 2014회계연도부터 2016회계연도까지 대학분 법인세 환급금(합계 451,717천원)을 적게는 8일 에 서 많 게 는 58일 까 지 교 비 회 계 로 지 연 전 출 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제4조】 【학교법인 청강학원】; 주의 - 2명 9. 법인 수익사업 未공고; 학교법인에서 커…"
4,"까지 사용목적 등 명시 없이 휴일에 법인카드로 합계 26,595천원 결제","까지 사용목적 등 명시 없이 휴일에 법인카드로 합계 26,595천원 결제 ◦ 000이 학교 관련 출장 및 공무외 출국 기간에 국외에서 사용한 합계 1,149천원을 법인회계 업무추진비로 집행 【학교법인 청강학원】 ◦ 경고 - 2명 ◦ 시정(회수) - 사 용 목 적 등 명 시 없 이 휴일에 집행한 업무 추진비 9,623천원과 000이 사용한 법인 업무추진비 사용액 【사학기관 재무 ․ 회계규칙 제4조, 제21조 및 제32조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조, 제15조 제2항 및 제17조】 1,149천원을 당사자 들로부터 회수하여 법인회계에 세입조치 하기...","까지 사용목적 등 명시 없이 휴일에 법인카드로 합계 26,595천원 결제; 000이 학교 관련 출장 및 공무외 출국 기간에 국외에서 사용한 합계 1,149천원을 법인회계 업무추진비로 집행 【학교법인 청강학원】; 경고 - 2명; 시정(회수) - 사 용 목 적 등 명 시 없 이 휴일에 집행한 업무 추진비 9,623천원과 000이 사용한 법인 업무추진비 사용액 【사학기관 재무 ․ 회계규칙 제4조, 제21조 및 제32조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조, 제15조 제2항 및 제17조】 1,149천원을 당사자 들로부터 회수하여 법인회계에 세입조치 하기 바람 【 청강문화산업대학교】; 경고 - 1명 【교직원 인사‧ 복무】 12. 겸직허가 未신청 교원 영리활동 종사; 2015년도부터 2017년도까지 전임교수 6명이 총장에게 겸직허가 신청…"
1,부터 2018. 4.,부터 2018. 4.,원문 본문 OCR 필요
20,까지 51명의 교직원을 신규 임용하면서 신원조사를 실시하지 않거나 신원조사 회보 전 임용,"까지 51명의 교직원을 신규 임용하면서 신원조사를 실시하지 않거나 신원조사 회보 전 임용 【 청강문화산업대학교】 ◦ 경고 - 10명 ◦ 통보 【사립학교법 제54조의3 제5항, 학교법인 청강학원 정관 제65조, 교육부 보안업무규정 시행세칙 제6조 및 제7조】 - 결격사유 등을 확인 하지 않고 임용한 교직원에 대해 결격 사유 등을 확인하고, 부적격자에 대해서는 적의 조치하기 바람 15. 사무직원 임용관련 소송경비 교비회계 집행 부적정 ◦ 법인회계에서 집행해야 할 7건의 소송 비용 합계 26,879천원 교비회계 집행 【사립학교법 제2조 및 제70조의2 제2항, 제29조 제...","까지 51명의 교직원을 신규 임용하면서 신원조사를 실시하지 않거나 신원조사 회보 전 임용 【 청강문화산업대학교】; 경고 - 10명; 통보 【사립학교법 제54조의3 제5항, 학교법인 청강학원 정관 제65조, 교육부 보안업무규정 시행세칙 제6조 및 제7조】 - 결격사유 등을 확인 하지 않고 임용한 교직원에 대해 결격 사유 등을 확인하고, 부적격자에 대해서는 적의 조치하기 바람 15. 사무직원 임용관련 소송경비 교비회계 집행 부적정; 법인회계에서 집행해야 할 7건의 소송 비용 합계 26,879천원 교비회계 집행 【사립학교법 제2조 및 제70조의2 제2항, 제29조 제6항】 【학교법인 청강학원】; 개선 - 사립학교법 규정에 어 긋나게 학교 소속의 사무직원을 학 교 장 이 임 용 하 도 록 규정한 학 교 법 인 청 강 학 원 정 관 을 상위법령에 맞…"
60,"학점 인정 - 또한, 편입생 1명이 이전 대학에서 현재 전공과 무관하게 이수한 3과목을 전공 선택과목으로 임의 인정","학점 인정 - 또한, 편입생 1명이 이전 대학에서 현재 전공과 무관하게 이수한 3과목을 전공 선택과목으로 임의 인정 ◦ 학생 2명이 제출한 산업체 근무경력에 대해 아무런 검증 없이 각 30학점 인정 【 청강문화산업대학교】 ◦ 경고 - 4명 【고등교육법 제23조 제1항 제1호 및 제6호, 고등교 육법 시행령 제15조 제1항 및 제2항, 산업체 근무 경력 등 학점 인정 기준(안) (전문대학정책과 -1534, 2014. 2. 25.), 청강문화산업대학교 학점 인정심의 규칙 제4조】 21. 교직 적성 및 인성 검사 판정 부적정 ◦ 교직 적성 및 인성 검사에서 부적격 판정 받...","학점 인정 - 또한, 편입생 1명이 이전 대학에서 현재 전공과 무관하게 이수한 3과목을 전공 선택과목으로 임의 인정; 학생 2명이 제출한 산업체 근무경력에 대해 아무런 검증 없이 각 30학점 인정 【 청강문화산업대학교】; 경고 - 4명 【고등교육법 제23조 제1항 제1호 및 제6호, 고등교 육법 시행령 제15조 제1항 및 제2항, 산업체 근무 경력 등 학점 인정 기준(안) (전문대학정책과 -1534, 2014. 2. 25.), 청강문화산업대학교 학점 인정심의 규칙 제4조】 21. 교직 적성 및 인성 검사 판정 부적정; 교직 적성 및 인성 검사에서 부적격 판정 받은 학생 5명에 대해 재검사 없이 후속프로그램 (도서 감상문 및 성찰일지 작성) 이행만으로 ’적격‘ 판정 【교원자격검정령 제19조 제3항 관련 [별표1] 제3호】 【 청강문화산업대학교…"
3,"가. 및 7., 청강문화산업대 학교 강사위촉 규정 제8조】","가. 및 7., 청강문화산업대 학교 강사위촉 규정 제8조】 【 청강문화산업대학교】 ◦ 주의 - 29명 24. 강의계획서 전산 미입력 ◦ 교원 136명이 총 295개 교과목에 대한 강의 계획서를 대학종합정보시스템에 미입력 【청강문화산업대학교 학칙 시행세칙 제14조, 청강문화 산업대학교 수업지침","가. 및 7., 청강문화산업대 학교 강사위촉 규정 제8조】 【 청강문화산업대학교】; 주의 - 29명 24. 강의계획서 전산 미입력; 교원 136명이 총 295개 교과목에 대한 강의 계획서를 대학종합정보시스템에 미입력 【청강문화산업대학교 학칙 시행세칙 제14조, 청강문화 산업대학교 수업지침"
4,가.】,"가.】 【 청강문화산업대학교】 ◦ 기관경고 25. 등록금 초과 장학금 지급 ◦ 2015. 1학기부터 2017. 2학기까지 학생 10명에게 등록금 대비 합계 1,851천원을 초과하여 장학금 지급 【2015~2017년 한국장학재단 국가장학금 업무처리지침 청강문화산업대학교 장학규정 제10조 제1항】 【 청강문화산업대학교】 ◦ 경고 - 9명 【예산‧ 회계】 26. 교통지원비 지급 부적정 ◦ 업무용 차량이 제공되는 00원장 (현 00) 에게 여비교통비 과목에서 교통지원비 합계 25,000천원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례...","가.】 【 청강문화산업대학교】; 기관경고 25. 등록금 초과 장학금 지급; 2015. 1학기부터 2017. 2학기까지 학생 10명에게 등록금 대비 합계 1,851천원을 초과하여 장학금 지급 【2015~2017년 한국장학재단 국가장학금 업무처리지침 청강문화산업대학교 장학규정 제10조 제1항】 【 청강문화산업대학교】; 경고 - 9명 【예산‧ 회계】 26. 교통지원비 지급 부적정; 업무용 차량이 제공되는 00원장 (현 00) 에게 여비교통비 과목에서 교통지원비 합계 25,000천원 지급 【사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조 제2호, 청강문화산업대학교 차량관리 규정 제13조】 【청강문화산업대학교】; 경고 - 7명; 시정(회수) - 업무용 차량이 제공됨 에도 교 통 지 원 비 를 지 급 받 은…"
