연번,지적사항,주요내용(요약),처분요구
1,"입학원서 미작성, 귀화자 학력 미확인 등 입학전형 업무 및 신입생 충원율 공시 부당",- 고구려대학교는 2017 학년도 수시전형을 실시하면서 학교관계자 등 제 3 자가 공백으로 되어 있는 B 의 입 학원서 ‘ 지원학과 ’ 란을 ‘ ○ 과 ’ 로 기재하여 제출하였음에도 최종 합격처리 하는 등 【 붙임 1 】 “ 입학원서 지원학과 대리작성 및 미작성 처리 현황 ” 과 같이 2017 학년도 부터 2020 학년도까지 학교관계자 등 제 3 자가 위 B 등 공백으로 되어 있는 215 명의 입학원서 ‘ 지원학과 ’ 란에 지원학과를 기재 (150 명 ) 하거나 지원학과를 알 수 없는 공백 (65 명 ) 인 상태로 제출하였음에도 최종 합격처리 한 연 번 지 적 사 항...,"* 지적사항(①, ②, ④)간 중복자 18명 제외(’17년 1명, ’18년 4명, ’20년 13명) 학년도 입학 정원 모집 인원 (A) 신입생 신입생 충원율 기 공시 (B) 지적 사항 감사 지적 사항 감사 반영 후 (E=B-D) 기 공시 (C=B/ A*100) 감 사 반영 후 (F=E/A *100) 허위 공시 오차 (C-F) 정원 내 + 정원 외 정원 내 정원 내 합계 (D) 2017 956 956 930 붙임 ① 91 89 140 * 790 97.3% 82.6% 14.7%P 붙임 ② 17 8 붙임 ④ 73 44 2018 944 944 917 붙임 ① 30 28 126 * 791 97.1% 83.7% 13.4%P 붙임 ② 19 11 붙임 ④ 106 91 2019 954 954 880 붙임 ① 39 37 51 829 92.2% 86.8% 5.…"
2,허위 재학생 등록 및 재학생 충원율 공시 부당 ◦,"- 고구려대학교는 「 학칙 」 에 ‘ 등록 ’ * 관련 조항을 삭제한 채 , △ 학부 학생 P 가 2017 학년도 1 학기에 등록금 500,000 원을 납입기일 연장신청도 없이 미납 ( 등록금 2,400,000 원 중 본인 100,000 원 납부 , 국가장학금 600,000 원 , 교내장학금 1,200,000 원 ) 하 였는데도 제적 처리 하지 않았을 뿐만 아니라 교수 Q 는 위 P 을 대신하여 허위로 수강신청 (21 학점 ) 하는 등 【 붙임 】 “ 재학생 허위 등록 현황 ” 과 같이 2017 학년도 1 학기부터 2020 학년도 1 학기까지 「 학칙 」 에 ‘ 등록...","연 번 지 적 사 항 처 분 < 재학생 충원율 감사지적사항 반영 결과 > 공시 년도 편제 정원 (A) 학생 모집 정지 인원 (B) 재학생 재학생 충원율 기 공시 (C) 감사 지적 사항 감사 반영 후 (E=C-D) 기 공시 (F=C/(A-B)* 100) 감사 반영 후 (G=E/(A-B)*1 00) 허위 공시 오차 (F-G) 정원 내 + 정원 외 정원 내 (D) 2017 2,022 0 1,937 133 115 1,822 95.8% 90.1% 5.7%P 2018 2,002 0 1,944 155 113 1,831 97.0% 91.5% 5.5%P 2019 1,992 0 1,810 23 15 1,795 90.4% 90.1% 0.3%P 합계 0 5,691 311 243 5,448 【 붙임 1】 재학생 허위 등록 현황 ( 단위 : 원 ) 연번 학번 학과…"
3,편입생 선발 부당 ◦,"- 고구려대학교는 2019 학년도 1 학기 편입생 R 에 대하여 전적대학 졸업증명서와 성적증명서도 제출받지 않은 채 , 전적교 학점인정을 기준 보다 7 학점 초과 인정하고 교 무위원회 심의 및 총장 허가도 없이 입학 처리하는 등 【 붙임 】“ 편입생 입학 처리 부당 현황 ” 과 같이 2017 학 년도 1 학기부터 2019 학년도 1 학기까지 위 R 등 편입 ◦ 중징계 ( 파면 )(1 명 ) 1 번에 포함조치 ◦ 경징계 (2 명 ) ◦ 경고 (19 명 ) ◦ 통보 - R 등 10 명 에 대 하 여 전적대학의 인정 가능 학점을 초과 하여 인정한 학점 을 취소하고 , 그...",【 붙임 】 편입생 입학 처리 부당 현황 연번 학년도 학기 수험번호 성명 전적대학 편입대학 대학명 계열 출신학과 ( 학번 ) 학점 계열 출신학과 편입학과 동일계열 여부 편입학과 ( 학번 ) 편입학 제출서류 누락 교무위원회 심의 여부 총장 허가 여부 취득 학점 최대 인정 가능 학점 인정 학점 초과 인정 학점 1 2017 1 - - - - - 153 36 45 9 인문사회; - · 졸업증명서 · 성적증명서 사후 제출 (’17.10.26.) × × 2 2018 2 - - - - - 102 51 89 38 인문사회; - · 졸업증명서 · 성적증명서 사후 제출 (’19.4.28.) × × 3 2019 1 - - - - - 123 36 43 7 인문사회 × - · 졸업증명서 · 성적증명서 × × 4 2019 1 - - - - - 87 36 37 1 인…
4,학생모집 성과금 지급 등 연봉 산정 부당 ◦,"- 학교법인 아신학원은 2013. 3. 18. ‘ 입시 성과금 지급 규정 ’ 을 제정하여 직전 학년도 학과별 입시성과에 따라 학과별 모집인원별로 차등 지급하되 모집인원 1 인당 성과금을 1 회 (4 월 , 9 월 ) 지급하고 매년도 예산범위 내 에서 총장이 이를 정하도록 제정한 사실이 있음 【 학 교 법 인 아 신 학 원 】 ◦ 기관경고 【 고구려대학교 】 ◦ 경징계 (5 명 ) ◦ 통보 - 학생모집 실적을 교원급여에 산정 하는 사례가 발생 하지 않도록 규정 개정 등 대책을 마련하기 바람 연 번 지 적 사 항 처 분 - 이에 , 고구려대학교 ▷ 과는 2017 학년도...","【 붙임 1 】 비전임교원 연봉 산정 부당 현황 ( 단위 : 천원 ) ※ 추천인원은 전년도 추천인원수가 포함될 수 있음 연 번 학과 학과장 겸임 교수명 지역 2017 학년도 2018 학년도 추천 인원 등 급 시 수 정상 지급액 실제 지급액 추가 지급액 추천 인수 등 급 시 수 정상 지급액 실제 지급액 추가 지급액 1 - - - 서울 31 A 4 4,800 16,800 12,000 29 A 5 4,800 16,800 12,000 2 - - - 전북 16 A 6 4,800 16,800 12,000 32 A 6 4,800 16,800 12,000 3 - 대전 17 C 9 4,800 9,000 4,200 23 A 6 4,800 16,800 12,000 4 - 충남 18 B 6 3,600 12,800 9,200 11 A 6 4,800 16,800 1…"
5,학칙 등 개정절차 및 학사운영 부당 ◦,"- 고구려대학교는 2017. 1. 26. 총장 승인 , 공포 , 정보공시를 생략하여 개정 절차에 하자가 있는 「 학칙 」 을 시행하는 등 【 붙임 】 “ 「 학칙 」 등 개정 절차 부당 현황 ” 과 같이 2017 년부터 2020 년까지 위 「 학칙 (2017. 1. 26. 시 행 ) 」 등 교수 회 심의 (6 회 ), 대학평의원회 심의 (6 회 ), 총장승인 ( 결재 8 회 ), 공포 (7 회 ), 정보공시 (7 회 ) 를 생략하여 개정절차에 하자가 있는 「 학칙 」 (8 회 ) 과 개정안 결재 (26 회 ), 교무위 원회 심의 (6 회 ), 총장결재 (39 회 ),...",【 붙임 】 학칙 등 개정 절차 부당 현황 < 학칙 > < 규정 > 연번 규정명 시행일 ( 부칙 ) 안건기안일 기안부서 공고 교수회 심의 대학평의원회의 심의 총장 승인 공포 정보공시 1 학칙 2017.01.26. 2017.01.26. - 2016.02.05. 2017.12.26. 2017.01.12. ☓ ☓ ☓ 2 학칙 2017.03.01. 2017.03.21. - 2016.11.10. 2017.03.06. 2017.03.21. ☓ ☓ ☓ 3 학칙 2018.02.26. 2018.01.22. - 2017.02.13. ☓ ☓ ☓ ☓ ☓ 4 학칙 2018.04.24. 2018.04.24. - 2018.01.23. ☓ ☓ ☓ ☓ ☓ 5 학칙 2018.07.17. 2018.07.17. - 2018.5.14. ☓ ☓ ☓ ☓ ☓ 6 학칙 2018.11.…
6,교육과정 운영 부당 ◦,"- 고구려대학교는 2017 학년도부터 2020 학년도까지 구체 적인 교육과정표 , 신 ․ 구교육과정 교과목변동표 , 학과별 교육목표 및 역량 , 전공과목 목록 , 이수체계도 , 교수 요목 , 강의계획안 등을 포함한 ‘ 교육과정 운영 계획 ’ 을 수립하지 않은 채 학과별로 학과장이 임의로 작성한 ◦ 중징계 ( 파면 )(1 명 ) 1 번에 포함조치 ◦ 중징계 (1 명 ) 연 번 지 적 사 항 처 분 과목별 시수표 (1 매 ) 만을 근거로 교육과정을 운영하도록 한 사실이 있음 ․ 특히 , ◁ 과 등 2 개 학과는 【 붙임 】 “ 전공과 무관한 교육 과정 운영 현황 ” 과...",【 붙임 】 전공과 무관한 교육과정 운영 현황 ( 단위 : 명 ) 연 번 학년 도 학 기 입학학과 교과목 교과목명 학점 소속학과 교육과정 수립 ・ 편성 여부 수강 학생수 1 2018 1 ◁ 과 - 사회복지 관련 (7 개 ) · 사회복지개론 · 인간행동과사회환경 · 사회복지정책론 · 지역사회복지론 · 사회복지법제 · 사회복지행정론 · 사회복지현장실습 3 3 3 3 3 3 3 × × × × × × × 2 2 2019 1 ◁ 과 - 사회복지 관련 (2 개 ) · 사회복지정책론 · 인간행동과사회환경 - 보육 관련 (5 개 ) · 영유아발달 · 언어지도 · 보육교사론 · 보육과정 · 보육실습 3 3 3 3 3 3 3 × × × × × × × 17 3 2019 2 ◁ 과 - 사회복지 관련 (5 개 ) · 사회복지행정론 · 정신건강론 · 지역사회복지론…
7,전과처리 부당 ◦,"- 고구려대학교는 2017. 2. 13. 자연과학계열 학생 U 에 대하여 전과 등록기간이 도과 (3 일 ) 된 이후 , 학과장 의 견서도 없이 자연과학계열임에도 인문계열 ♡ 과로 전 과를 허용하는 등 【 붙임 】“ 전과처리 부당 현황 ” 과 같이 2017 학년도부터 2020 학년도까지 위 U 등 전과 대상자 33 명에 대하여 총장 허가 없이 전과를 허용하면서 , 전과 등록기간을 경과하거나 등록일을 확인할 수 없고 , 학과장 의견서 등 구비 서류를 누락하였고 , 동일계열이 아님에도 전과를 허용한",경징계 (1 명 ); 경고 (21 명 ) 【 붙임 】 전과 처리 부당 현황 연번 학년도 학기 학번 성명 원 소속 전과 후 동일 계열 여부 전입학과 과목 사전수강 (1 학년 1 학기 ) 총장 허가 여부 전과등록 구비서류 누락 계열 학과 계열 학과 등록기간 등록일 경과 여부 1 2017 1 - - 자연과학 - 인문사회 - ×; × ’17.2.7.~2.10. ’17.2.13.; · 학과장의견서 2 2017 1 - - 인문사회 - 인문사회 -; × × ’17.2.7.~2.10. ’17.2.17.; 3 2017 1 - - 인문사회 - 인문사회 -; × × ’17.2.7.~2.10. - - · 전과허가원 · 성적증명서 · 학과장의견서 4 2017 1 - - 인문사회 - 인문사회 -; × × ’17.2.7.~2.10. - - · 전과허가원 · 성적증명서…
8,수업시간 임의 변경 등 운영 부당 ◦,"- 고구려대학교 ♤ 과는 2017 학년도 1 학기 ‘ 놀이지도 ( 겸 임교수 V)’ 교과목을 학기 개시전 강의시간표 변경 없이 평일수업 ( 수 , 18:40~20:30) 을 주말수업 ( 토 , 16:50~1 9:30) 으로 변경하여 실시하는 등 【 붙임 1】“ 수업시간 임의 변경 현황 ” 과 같이 2017 학년도 1 학기부터 2019 학년도 2 학기까지 위 ♤ 과 등 11 개 학과는 위 ‘ 놀이 < ① 관련 > ◦ 경징계 (1 명 ) ◦ 경고 (4 명 ) ◦ 통보 - 단축수업을 실시한 과목에 대하여 수업 시수 충족여부를 파악하여 학칙 등에 따라 처리하기 바람 < ①,...","【 붙임 1 】 수업시간 임의 변경 현황 연 번 연도 학기 학과명 교과목명 학과장 담당교수명 직책 주야간 시 수 시간표상 수업시간 실제수업시간 단축 시간 요일 교시 요일 교시 1 2017 1 - 놀이지도 - - 겸임 야간 3 수 11~13 목 / 토 9/10,11 2 2017 1 - 사회복지실천론 - - 겸임 주간 3 월 14~16 목 / 토 15/11,12 3 2017 1 - 인간행동과사회환경 - - 겸임 야간 3 금 9~11 토 9~11 4 2017 1 - 사회복지개론 - - 겸임 야간 3 금 12~14 토 1~3 5 2017 1 - 장애인복지론 - - 겸임 야간 3 목 9~11 토 7~9 6 2017 2 - 아동건강교육 - - 겸임 전선 3 금 10~12 금 / 토 12/7,8 7 2017 2 - 청소년프로그램개발과평가 - - 겸임 전…"
9,미인가 학습장 운영 ◦,"- 고구려대학교 ▽ 과 교수 K 는 2016 학년도 2 학기 ‘ 학습역 량강화프로그램 ’ 을 교육부장관의 인가를 받지 않은 장 소인 ◕◕ 학원 ( 광주시 남구 ) 에서 학생 11 명을 대상으로 15 주 동안 ‘ 커피추출실습 ’ 과목 수업을 실시하는 등 【 붙임 】“ 미인가 학습장 수업 실시 현황 ” 과 같이 2016 학년도 2 학기부터 2019 학년도 1 학기까지 위 K 등 교원 13 명은 위 ◕◕ 학원 등 교육부 장관의 인가를 받지 않은 5 개소에서 학생 1,117 명 ( 중복포함 ) 을 대상으로 37 개 과목의 수업 ( 시험 포함 ) 을 실시한",【 붙임 】 미인가 학습장 수업실시 현황 ( 단위 : 천원 ) 연 번 연도 학기 학과 과목 학 점 시수 ( 주당 ) 수업 시간 ( 일당 ) 학과 장 담당교수 수업 기간 ( 주 ) 수업장소 ( 지역 ) 수강 인원 ( 명 ) 비고 직위 성명 1 2016 2 - 커피추출실습 3 3 3 - 교수 - 15 ◕◕ 학원 ( 광주 ) 11 2 2017 1 - 커피학개론 및 실습 3 3 3 - 초빙 교수 - 15 ◖◖ 학원 ( 광주 ) 7 3 핸드드립 및 실습 ( 통합 ) 3 3 3 - 초빙 교수 - 15 ◖◖ 학원 ( 광주 ) 7 4 커피트레이닝 3 3 3 - 교수 - 15 ◕◕ 학원 ( 광주 ) 7 5 - 정신건강론 3 3 3 - 교수 - 15 ◗◗ 교회 ( 분당 ) 13 6 가족상담 3 3 3 - 교수 - 15 ◗◗ 교회 ( 분당 ) 13 7 사회복지…
10,출석시수 미달자 성적 부여 부당 ◦,"- 고구려대학교 ◁ 과 겸임교수 X 는 2017 학년도 1 학기 ‘ 곤 충과 문화 ’ 교과목을 수강한 Y 학생이 출석시수 30 시간 중 26 시간을 결석하였는데도 ‘F’ 대신 ’A' 성적을 부여 하는 등 【 붙임 】‘ 출석 미달자 성적 부여 부당 현황 ’ 과 같 이 2017 학년도부터 2019 학년도까지 위 X 등 교원 101 명은 위 Y 등 학생 1,458 명이 수강한 2,645 건에 대하여 출석 미달로 ‘F’ 대상인데도 ‘A + ~D’ 학점을 부여한 사실이 있 음 ` ◦ 중징계 (8 명 ) ◦ 경징계 (7 명 ) ◦ 경고 (85 명 ) ◦ 통보 - 출 석 시 수...","출석시수 미달자 성적 부여 부당; 「 고등교육법 」 제 21 조 제 3 항 및 「 같은 법 시행령 」 제 14 조 , 「 고구려대학교 학칙 (’17.3.1.) 」 제 29 조 및 32 조에 따르면 학점당 필요한 이수시간은 매 학기 최소 15 시간 이상 으로 하고 각 교과목 총 수업 시간수의 4 분의 1 이상을 결석한 자는 당해 교과목의 시험에 응시할 수 없고 , 출석 미달 과목의 성적은 취소한다고 되어 있으며 , 「 고구려대학교 학업성적평가 규정 」 제 3 조 제 4 항에 따라 < 별표 1> 을 기준으로 평가하도록 되어 있는데도 , - 고구려대학교 ◁ 과 겸임교수 X 는 2017 학년도 1 학기 ‘ 곤 충과 문화 ’ 교과목을 수강한 Y 학생이 출석시수 30 시간 중 26 시간을 결석하였는데도 ‘F’ 대신 ’A' 성적을 부여 하는 등 【 붙임…"
