연번,지적사항,주요내용(요약),처분요구
4,명,명 ◦ 통보 - 산업단지캠퍼스 내 복지관을 교육용 으로 활용하기 바람 2. 교육용기본재산 ( 사무실 ) 관리 부적정 ◦ 교육용기본재산인 본관,명; 통보 - 산업단지캠퍼스 내 복지관을 교육용 으로 활용하기 바람 2. 교육용기본재산 ( 사무실 ) 관리 부적정; 교육용기본재산인 본관
1,층 (28㎡) 을 OO 재단에 무상 임대,"층 (28㎡) 을 OO 재단에 무상 임대 【사립학교법 제29조 제6항 및 같은 법 시행령 제4조 제2항, 사학기관 재무·회계 규칙 제4조 및 제43조】 【 남부대학교 】 ◦ 경고 -","층 (28㎡) 을 OO 재단에 무상 임대 【사립학교법 제29조 제6항 및 같은 법 시행령 제4조 제2항, 사학기관 재무·회계 규칙 제4조 및 제43조】 【 남부대학교 】; 경고 -"
3,명,명 ◦ 통보 - 교육용기본재산인 OO 관,명; 통보 - 교육용기본재산인 OO 관
1,층 사무실에 대하여 교육용으로 활용하는 방안을 강구하기 바람,"층 사무실에 대하여 교육용으로 활용하는 방안을 강구하기 바람 【 학교회계 】 3. 교비회계 자금 예 산 초과집행 ◦ 2015 회계연도부터 2017 회계연도까지 추가 경정예산 편성 전 자금예산을 초과하여 합계 3,938,695 천원 집행 【사학기관 재무·회계규칙 제18조 및 제20조】 【 남부대학교 】 ◦ 주의 -","층 사무실에 대하여 교육용으로 활용하는 방안을 강구하기 바람 【 학교회계 】 3. 교비회계 자금 예 산 초과집행; 2015 회계연도부터 2017 회계연도까지 추가 경정예산 편성 전 자금예산을 초과하여 합계 3,938,695 천원 집행 【사학기관 재무·회계규칙 제18조 및 제20조】 【 남부대학교 】; 주의 -"
5,명 4. 보 직 수 당 초 과 지 급,"명 4. 보 직 수 당 초 과 지 급 ◦ 2016. 9. 부터 2018. 2. 까지 수영장 운 영본부장에게 정상 보직수당 합계 7,200 천원이 아닌 합계 36,000 천원 지급 【사학기관 재무·회계 규칙 제4조, 남부대학교 교직원 수당 지급 지침 제6조】 【 남부대학교 】 ◦ 경고 -","명 4. 보 직 수 당 초 과 지 급; 2016. 9. 부터 2018. 2. 까지 수영장 운 영본부장에게 정상 보직수당 합계 7,200 천원이 아닌 합계 36,000 천원 지급 【사학기관 재무·회계 규칙 제4조, 남부대학교 교직원 수당 지급 지침 제6조】 【 남부대학교 】; 경고 -"
2,명,"명 ◦ 시정 ( 회수 ) - 초 과 지 급 한 보 직 수 당 합계 28,800 천원을 OOO 으로부터 회 수하여 관련회계에 세입조치 하기 바람 5. 교외장학금 지 급 부적정 ◦ 교원 자녀","명; 시정 ( 회수 ) - 초 과 지 급 한 보 직 수 당 합계 28,800 천원을 OOO 으로부터 회 수하여 관련회계에 세입조치 하기 바람 5. 교외장학금 지 급 부적정; 교원 자녀"
4,"명에게 기탁처의 기부 목적을 고려하지 않고 장학금 합계 2,000 천원 지급","명에게 기탁처의 기부 목적을 고려하지 않고 장학금 합계 2,000 천원 지급 ◦ 교외장학금을 소득분위로 차등 배분하고 남은 차액 400 천원을 OOO 이 자신의 제자에게 임의 추가 배정 【남부대학교 장학금 지급내규 제3조, (주) 호반건설 지정기탁 사업계획서】 【 남부대학교 】 ◦ 경고 -","명에게 기탁처의 기부 목적을 고려하지 않고 장학금 합계 2,000 천원 지급; 교외장학금을 소득분위로 차등 배분하고 남은 차액 400 천원을 OOO 이 자신의 제자에게 임의 추가 배정 【남부대학교 장학금 지급내규 제3조, (주) 호반건설 지정기탁 사업계획서】 【 남부대학교 】; 경고 -"
1,명,명 ◦ 주의 -,명; 주의 -
2,명 6. 정기 재물조사 미실시,"명 6. 정기 재물조사 미실시 ◦ 2007 회계연도부터 2018. 3. 감사일 현재 까지 재물조사 未 실시 【 남부대학교 】 【사학기관 재무·회계 규칙 제49조 및 제50조 제4항, 남부대학교 실험실습비품(소모품) 및 기자재 관리 규정 제4조 제2항 및 제9조 제1항 제3호】 ◦ 경고 -","명 6. 정기 재물조사 미실시; 2007 회계연도부터 2018. 3. 감사일 현재 까지 재물조사 未 실시 【 남부대학교 】 【사학기관 재무·회계 규칙 제49조 및 제50조 제4항, 남부대학교 실험실습비품(소모품) 및 기자재 관리 규정 제4조 제2항 및 제9조 제1항 제3호】; 경고 -"
4,명 7. 시 설 공 사 지 명 경 쟁 입 찰 부 당 등,명 7. 시 설 공 사 지 명 경 쟁 입 찰 부 당 등 ◦ 일반경쟁입찰 대상인 증축공사를 지명 경쟁입찰 방식으로 추진 ◦ 2016. 2. 6. 계약금액의 30% 를 초과하여 OOO 종합건설 ( 주 ) 에 선금으로,명 7. 시 설 공 사 지 명 경 쟁 입 찰 부 당 등; 일반경쟁입찰 대상인 증축공사를 지명 경쟁입찰 방식으로 추진; 2016. 2. 6. 계약금액의 30% 를 초과하여 OOO 종합건설 ( 주 ) 에 선금으로
