연번,지적사항,주요내용(요약),처분요구
12,(월) ∼ 6.,(월) ∼ 6.,(월) ∼ 6.
16,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,예·결산서 제출 및 심의·확정 기한 未준수,예·결산서 제출 및 심의·확정 기한 未준수 ◦ 법인 및 교비회계 예·결산서 제출·심의 및 확정 기한 未준수 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조 및 제42조】 【학교법인 루터교학원 및 루터대학교】 ○ 기관경고,예·결산서 제출 및 심의·확정 기한 未준수; 법인 및 교비회계 예·결산서 제출·심의 및 확정 기한 未준수 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조 및 제42조】 【학교법인 루터교학원 및 루터대학교】; 기관경고
2,법인세 환급금 교비회계 지연 전출,"법인세 환급금 교비회계 지연 전출 ◦ 교비회계 분 법인세 환급금을 최장 251일까지 지연 전출 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제4조】 【학교법인 루터교학원】 ○ 주의 - 3명","법인세 환급금 교비회계 지연 전출; 교비회계 분 법인세 환급금을 최장 251일까지 지연 전출 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제4조】 【학교법인 루터교학원】; 주의 - 3명"
3,기부금 업무처리 부적정,"기부금 업무처리 부적정 ◦ 법인 발전기금으로 기탁된 지정기부금 합계 33,681천원에 대해 법정기부금 영수증 발급 【사립학교법 제29조 제1항 및 제6항, 법인세법 제24조 제2항 제4호, 법인세법 시행령 제36조 제1항 제1호】 【학교법인 루터교학원】 ○ 경고 - 3명 연번 【 교비회계 등 】","기부금 업무처리 부적정; 법인 발전기금으로 기탁된 지정기부금 합계 33,681천원에 대해 법정기부금 영수증 발급 【사립학교법 제29조 제1항 및 제6항, 법인세법 제24조 제2항 제4호, 법인세법 시행령 제36조 제1항 제1호】 【학교법인 루터교학원】; 경고 - 3명 연번 【 교비회계 등 】"
4,물품관리 부적정,"물품관리 부적정 ◦ 평생교육원 직원 3명이 사용하던 노트북 3대 未반납 상태로 퇴직 【사학기관 재무·회계 규칙 제49조, 루터대학교 전산시스템 관리규정 제6조 제4항, 제11조 제1항 및 제2항】 【루터대학교】 ○ 경고 - 1명 ○ 주의 - 2명 ○ 통보 - 未 반납 한 노트북 3대를 회수하거나 변상조치 하기 바람","물품관리 부적정; 평생교육원 직원 3명이 사용하던 노트북 3대 未반납 상태로 퇴직 【사학기관 재무·회계 규칙 제49조, 루터대학교 전산시스템 관리규정 제6조 제4항, 제11조 제1항 및 제2항】 【루터대학교】; 경고 - 1명; 주의 - 2명; 통보 - 未 반납 한 노트북 3대를 회수하거나 변상조치 하기 바람"
5,장학금 업무처리 부적정,"장학금 업무처리 부적정 ◦ 외부인이 교내에 운영중인 매점에 학생 3명을 근로장학생으로 배치 후 근로장학금 합계 6,928천원 지급 ◦ 장학금 지급 평점 기준에 미달하는 학생 3명 에게 공로장학금 합계 450천원 지급 【사학기관 재무·회계 규칙 제4조, 루터대학교 장학금 운영 규정 제5조 제3호 및 제7호】 【루터대학교】 ○ 경고 - 2명","장학금 업무처리 부적정; 외부인이 교내에 운영중인 매점에 학생 3명을 근로장학생으로 배치 후 근로장학금 합계 6,928천원 지급; 장학금 지급 평점 기준에 미달하는 학생 3명 에게 공로장학금 합계 450천원 지급 【사학기관 재무·회계 규칙 제4조, 루터대학교 장학금 운영 규정 제5조 제3호 및 제7호】 【루터대학교】; 경고 - 2명"
6,입시수당 등 지급 부적정,"입시수당 등 지급 부적정 ◦ 근무시간 내 본연의 입시업무를 수행한 직원 5명에게 입시수당 합계 500천원 지급 ◦ 교직원 20명에게 기부금 재원으로 수당 규정에 없는 격려금 합계 10,000천원 지급 【사학기관 재무·회계 규칙 제4조 및 제21조 제2항, 대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 【루터대학교】 ○ 경고 - 8명 ○ 시정(회수) - 부적정하게 지급한 입시수당 합계 500 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치 하기 바람 연번 규칙 제3조 제1항 제1호, 학교법인 루터교학원 정관 제46조 및 제83조, 루터대학교 교직원 보수...","입시수당 등 지급 부적정; 근무시간 내 본연의 입시업무를 수행한 직원 5명에게 입시수당 합계 500천원 지급; 교직원 20명에게 기부금 재원으로 수당 규정에 없는 격려금 합계 10,000천원 지급 【사학기관 재무·회계 규칙 제4조 및 제21조 제2항, 대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 【루터대학교】; 경고 - 8명; 시정(회수) - 부적정하게 지급한 입시수당 합계 500 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치 하기 바람 연번 규칙 제3조 제1항 제1호, 학교법인 루터교학원 정관 제46조 및 제83조, 루터대학교 교직원 보수규정 제14조부터 제37조】"
7,교 육 용 기 본 재 산 관리 부당,"교 육 용 기 본 재 산 관리 부당 ◦ 학교와 무관한 단체에게 학교시설을 허가절차 없이 무상사용하도록 승인 【사학기관 재무·회계 규칙 제43조, 루터대학교 시설대여 규정 제4조】 【루터대학교】 ○ 경징계 - 1명","교 육 용 기 본 재 산 관리 부당; 학교와 무관한 단체에게 학교시설을 허가절차 없이 무상사용하도록 승인 【사학기관 재무·회계 규칙 제43조, 루터대학교 시설대여 규정 제4조】 【루터대학교】; 경징계 - 1명"
8,시설공사 낙찰자 선정 부적정,시설공사 낙찰자 선정 부적정 ◦ 입찰공고 낙찰자 선정방식(최저가 입찰)과 달리 고가 입찰자와 공사계약 체결 【사학기관 재무·회계 규칙 제4조】 【루터대학교】 ○ 경고 - 4명,시설공사 낙찰자 선정 부적정; 입찰공고 낙찰자 선정방식(최저가 입찰)과 달리 고가 입찰자와 공사계약 체결 【사학기관 재무·회계 규칙 제4조】 【루터대학교】; 경고 - 4명
