연번,지적사항,주요내용(요약),처분요구
7,(수) ∼ 6.,(수) ∼ 6.,(수) ∼ 6.
16,"(금), (토, 일요일 제외 8일간)","(금), (토, 일요일 제외 8일간) ◦ 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (토, 일요일 제외 8일간); 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,교 육 용 기 본 재 산 관리 부적정,"교 육 용 기 본 재 산 관리 부적정 ◦ 교육용시설을 용도대로 활용하지 않아 재산세 합계 22,870천원 납부 【사학기관 재무·회계 규칙 제4조 및 제43조, 지방세특례제한법 제41조】 【상명대학교】 ○ 경고 - 5명 ○ 시정 - 교육용기본재산을 교육용으로 활용하고 불가능한 경우 매각 하여 교비회계에 세입 조치하기 바람","교 육 용 기 본 재 산 관리 부적정; 교육용시설을 용도대로 활용하지 않아 재산세 합계 22,870천원 납부 【사학기관 재무·회계 규칙 제4조 및 제43조, 지방세특례제한법 제41조】 【상명대학교】; 경고 - 5명; 시정 - 교육용기본재산을 교육용으로 활용하고 불가능한 경우 매각 하여 교비회계에 세입 조치하기 바람"
2,법인부담 소청비용 교비회계 집행 부적정,"법인부담 소청비용 교비회계 집행 부적정 ◦ 법인 관련 소청 3건의 변호인 선임료 합계 11,750천원 교비회계 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제21조 제2항, 학교법인 상명학원 정관 제34조, 제41조의 2, 제55조의 2】 【학교법인 상명학원】 ○ 시정 - 교비회계에서 집행한 소청비용 합계 11,750천원을 법인 회계에서 교비회계로 전출하기 바람 【상명대학교】 ○ 경고 - 6명 연번","법인부담 소청비용 교비회계 집행 부적정; 법인 관련 소청 3건의 변호인 선임료 합계 11,750천원 교비회계 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제21조 제2항, 학교법인 상명학원 정관 제34조, 제41조의 2, 제55조의 2】 【학교법인 상명학원】; 시정 - 교비회계에서 집행한 소청비용 합계 11,750천원을 법인 회계에서 교비회계로 전출하기 바람 【상명대학교】; 경고 - 6명 연번"
3,업무용 차량 관리 부적정,"업무용 차량 관리 부적정 ◦ 업무용 차량에 대한 운행, 점검 일지 등 차량 운행관련 증빙 未구비 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【학교법인 상명학원】 ○ 경고 - 2명 ○ 통보 - 차량운행일지 작성 등 업무용 차량 운행 관리방안을 마련하여 시행하기 바람 【 교비회계 】","업무용 차량 관리 부적정; 업무용 차량에 대한 운행, 점검 일지 등 차량 운행관련 증빙 未구비 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【학교법인 상명학원】; 경고 - 2명; 통보 - 차량운행일지 작성 등 업무용 차량 운행 관리방안을 마련하여 시행하기 바람 【 교비회계 】"
4,근무지 출근자 여비 지급 부적정,"근무지 출근자 여비 지급 부적정 ◦ 근무지로 출근한 직원에게 출장여비 합계 4,171천원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 상명대학교 교직원 여비규정 제1조】 【상명대학교】 ○ 경고 - 4명 ○ 시정(회수) - 부 적 정 하 게 지 급 한 여 비 합 계 4,171천 원 을 당 사 자 로부터 회수하여 관련 회계에 세입조치하기 바람","근무지 출근자 여비 지급 부적정; 근무지로 출근한 직원에게 출장여비 합계 4,171천원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 상명대학교 교직원 여비규정 제1조】 【상명대학교】; 경고 - 4명; 시정(회수) - 부 적 정 하 게 지 급 한 여 비 합 계 4,171천 원 을 당 사 자 로부터 회수하여 관련 회계에 세입조치하기 바람"
5,일반경쟁 입찰 대상 수의계약 체결 및 감사 직무수행 부당,"일반경쟁 입찰 대상 수의계약 체결 및 감사 직무수행 부당 ◦ 일반경쟁입찰 대상 용역 등 36건(계약금액 합계 7,961,534천원) 수의계약 체결 - 위 계약 중 33건을 법인 임원이 대표로 있는 업체와 체결하였음에도, 회계처리가 적정하게 이루어진 것으로 감사결과 보고 【상명대학교】 ○ 경징계 - 2명 ○ 경고 - 31명 ○ 통보(문책) - ○○○ 를 학교법인 연번 【사학기관 재무·회계 규칙 제4조, 제35조 제1항, 제41조 제1항, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호, 사립학교법 제19조 제4항】 상명학원 정관 등 관련 규정에 따...","일반경쟁 입찰 대상 수의계약 체결 및 감사 직무수행 부당; 일반경쟁입찰 대상 용역 등 36건(계약금액 합계 7,961,534천원) 수의계약 체결 - 위 계약 중 33건을 법인 임원이 대표로 있는 업체와 체결하였음에도, 회계처리가 적정하게 이루어진 것으로 감사결과 보고 【상명대학교】; 경징계 - 2명; 경고 - 31명; 통보(문책) -; ; ; 를 학교법인 연번 【사학기관 재무·회계 규칙 제4조, 제35조 제1항, 제41조 제1항, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호, 사립학교법 제19조 제4항】 상명학원 정관 등 관련 규정에 따라 ‘문책(경징계)’하기 바람"
6,전문가 활용비 지급 부적정,"전문가 활용비 지급 부적정 ◦ 교원 9명이 연구책임자인 연구사업을 수행 하면서 동일학과, 동일전공 교원 24명 (연인원) 에게 전문가 활용비 합계 6,250천원 지급 【국가연구개발사업 연구비 관리 표준매뉴얼, 상명대핚교 교외연구비 관리·운영 세부지침 제8조 제3항】 【상명대학교】 ○ 경고 - 9명","전문가 활용비 지급 부적정; 교원 9명이 연구책임자인 연구사업을 수행 하면서 동일학과, 동일전공 교원 24명 (연인원) 에게 전문가 활용비 합계 6,250천원 지급 【국가연구개발사업 연구비 관리 표준매뉴얼, 상명대핚교 교외연구비 관리·운영 세부지침 제8조 제3항】 【상명대학교】; 경고 - 9명"
7,연구결과물 未제출 등,"연구결과물 未제출 등 ◦ 연구결과물을 제출하지 않은 교원 10명에게 지급한 연구비 합계 43,000천원 未회수 【상명대학교 연구비 관리규정 제9조】 【상명대학교】 ○ 경고 - 10명 ○ 시정(회수) - 연구결과물을 제출 하지 않은 교원들에 게 지급한 연구비 합계 43,000천원을 회수하여 관련회계에 세입조치하기 바람","연구결과물 未제출 등; 연구결과물을 제출하지 않은 교원 10명에게 지급한 연구비 합계 43,000천원 未회수 【상명대학교 연구비 관리규정 제9조】 【상명대학교】; 경고 - 10명; 시정(회수) - 연구결과물을 제출 하지 않은 교원들에 게 지급한 연구비 합계 43,000천원을 회수하여 관련회계에 세입조치하기 바람"
8,입 학 전 형 관 리 위 원회 위원 입시 수당 지급 부적정,"입 학 전 형 관 리 위 원회 위원 입시 수당 지급 부적정 ◦ 입학전형관리위원회 당연직 위원 4명에게 입시수당 합계 3,000천원 지급 【사학기관 재무·회계 규칙 제21조 제2항, 상명대학교 입학전형관리위원회 규정 제3조, 대학 입시업무 관련 운영수당 지급 기준】 【상명대학교】 ○ 경고 - 6명 ○ 시정(회수) - 부적정하게 지급한 입시수당 합계 3,000천원을 당사자 들로부터 회수하여 교비회계에 세입조치 하기 바람 연번","입 학 전 형 관 리 위 원회 위원 입시 수당 지급 부적정; 입학전형관리위원회 당연직 위원 4명에게 입시수당 합계 3,000천원 지급 【사학기관 재무·회계 규칙 제21조 제2항, 상명대학교 입학전형관리위원회 규정 제3조, 대학 입시업무 관련 운영수당 지급 기준】 【상명대학교】; 경고 - 6명; 시정(회수) - 부적정하게 지급한 입시수당 합계 3,000천원을 당사자 들로부터 회수하여 교비회계에 세입조치 하기 바람 연번"
9,장학금 지급 부적정,"장학금 지급 부적정 ◦ 자격 미달 학생 6명에게 성적우수 장학금 합계 12,086천원 지급 【상명대학교 장학금 지급규정 제5조 및 제12조】 【상명대학교】 ○ 경고 - 3명","장학금 지급 부적정; 자격 미달 학생 6명에게 성적우수 장학금 합계 12,086천원 지급 【상명대학교 장학금 지급규정 제5조 및 제12조】 【상명대학교】; 경고 - 3명"
10,석좌교수 인건비 지급 부적정,"석좌교수 인건비 지급 부적정 ◦ 석좌교수 14명의 인건비 합계 1,326,780천원 등록금회계에서 지급 【상명대학교 석좌교수에 관한 규정 제6조 및 제8조】 【상명대학교】 ○ 경고 - 8명","석좌교수 인건비 지급 부적정; 석좌교수 14명의 인건비 합계 1,326,780천원 등록금회계에서 지급 【상명대학교 석좌교수에 관한 규정 제6조 및 제8조】 【상명대학교】; 경고 - 8명"
11,지식재산권 관리 부적정,"지식재산권 관리 부적정 ◦ 교원 4명이 직무발명(특허) 7건을 개인명의로 출원 및 등록 【발명진흥법 제10조 제1항 및 제12조, 상명대학교 직무발명관리에 관한 규정 제3조 제1항】 【상명대학교】 ○ 경고 - 4명 ○ 통보 - 개인명의로 출원·등록 된 지식재산권을 관련 법령 및 규정에 따라 자체심의 등을 거쳐 산학협력단 명의로의 변경여부를 결정하기 바람","지식재산권 관리 부적정; 교원 4명이 직무발명(특허) 7건을 개인명의로 출원 및 등록 【발명진흥법 제10조 제1항 및 제12조, 상명대학교 직무발명관리에 관한 규정 제3조 제1항】 【상명대학교】; 경고 - 4명; 통보 - 개인명의로 출원·등록 된 지식재산권을 관련 법령 및 규정에 따라 자체심의 등을 거쳐 산학협력단 명의로의 변경여부를 결정하기 바람"
12,출장여비 未정산,"출장여비 未정산 ◦ 교직원이 실시한 출장 2,475건에 대해 여비 합계 256,876천원을 개산급으로 지급하고 정산 未실시 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조의 2】 【상명대학교】 ○ 기관경고 ○ 개선 - 사학기관 재무·회계 규 칙 에 대 한 특 례 규 칙 의 취지에 맞게 여비규 정을 정비하기 바람","출장여비 未정산; 교직원이 실시한 출장 2,475건에 대해 여비 합계 256,876천원을 개산급으로 지급하고 정산 未실시 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조의 2】 【상명대학교】; 기관경고; 개선 - 사학기관 재무·회계 규 칙 에 대 한 특 례 규 칙 의 취지에 맞게 여비규 정을 정비하기 바람"
