연번,지적사항,주요내용(요약),처분요구
6,명,"명 ◦ 시정 ( 회수 ) - 부적정하게 지급한 이사회 교통비 합계 3,500천원을 관련자 들로부터 회수하여 법인회계에 세입 조치하기 바람 2. 점유자 부담 공공 요 금법 인 회 계집 행 ◦ 2017.","명; 시정 ( 회수 ) - 부적정하게 지급한 이사회 교통비 합계 3,500천원을 관련자 들로부터 회수하여 법인회계에 세입 조치하기 바람 2. 점유자 부담 공공 요 금법 인 회 계집 행; 2017."
8,부터 2018.,부터 2018.,부터 2018.
2,"까지 수익용기본재산 점유자가 사용한 전기 및 상하수도 요금 합계 10,753,650원을 법인회계에서 납부","까지 수익용기본재산 점유자가 사용한 전기 및 상하수도 요금 합계 10,753,650원을 법인회계에서 납부 【사학기관 재무 ･ 회계 규칙 제4조】 【 학교법인 광명학원 】 ◦ 경고 -","까지 수익용기본재산 점유자가 사용한 전기 및 상하수도 요금 합계 10,753,650원을 법인회계에서 납부 【사학기관 재무 ･ 회계 규칙 제4조】 【 학교법인 광명학원 】; 경고 -"
2,명,"명 ◦ 주의 - 1명 ◦ 시정 ( 회수 ) - 부적정하게 집행한 공공요금 합계 10,753,650 원 을 OO 관련자로부터 회수 하여 법인회계에 세 입조치하기 바람 【 학교회계 】 3. 발전기금 관리 부적정 ◦ 2015회계연도부터 2018회계연도까지 발전 기금관리위원회 심의 및 기금관리운용 계획 없이 발전기금 관련 예‧ 결산 편성 【서울장신대학교 대학발전기금 관리 규정 제3조, 제6조, 제7조】 【 서울장신대학교 】 ◦ 주의 -","명; 주의 - 1명; 시정 ( 회수 ) - 부적정하게 집행한 공공요금 합계 10,753,650 원 을 OO 관련자로부터 회수 하여 법인회계에 세 입조치하기 바람 【 학교회계 】 3. 발전기금 관리 부적정; 2015회계연도부터 2018회계연도까지 발전 기금관리위원회 심의 및 기금관리운용 계획 없이 발전기금 관련 예‧ 결산 편성 【서울장신대학교 대학발전기금 관리 규정 제3조, 제6조, 제7조】 【 서울장신대학교 】; 주의 -"
32,조의,조의,조의
3,의 취 지 에 맞 게 발 전 기 금 관리위원회를 운영 하기 바람 4. 교육용기본재산 관리 부적정,"의 취 지 에 맞 게 발 전 기 금 관리위원회를 운영 하기 바람 4. 교육용기본재산 관리 부적정 ◦ 교육용 기본재산 주택 (59.7㎡) 2채를 교육용 으로 활용하지 않고 외부인에게 임대 【사립학교법 제28조 제1항, 같은 법 시행령 제4조 제1항】 【 서울장신대학교 】 ◦ 기관경고 ◦ 통보 - 경기 도 광주 시 소재 다세대주택","의 취 지 에 맞 게 발 전 기 금 관리위원회를 운영 하기 바람 4. 교육용기본재산 관리 부적정; 교육용 기본재산 주택 (59.7㎡) 2채를 교육용 으로 활용하지 않고 외부인에게 임대 【사립학교법 제28조 제1항, 같은 법 시행령 제4조 제1항】 【 서울장신대학교 】; 기관경고; 통보 - 경기 도 광주 시 소재 다세대주택"
2,"호를 교육용도로 활용하 거나 , 활용이 불가 능할 경우 매각하 여 교비회계에 세 입조치하기 바람 5. 차량관리 부적정","호를 교육용도로 활용하 거나 , 활용이 불가 능할 경우 매각하 여 교비회계에 세 입조치하기 바람 5. 차량관리 부적정 ◦ 법인 업무용 차량을 구입한 이후 차량 운행 관련 증빙자료를 작성하지 않는 등 차량관리 소홀 ◦ 2015.","호를 교육용도로 활용하 거나 , 활용이 불가 능할 경우 매각하 여 교비회계에 세 입조치하기 바람 5. 차량관리 부적정; 법인 업무용 차량을 구입한 이후 차량 운행 관련 증빙자료를 작성하지 않는 등 차량관리 소홀; 2015."
7,부터 2017.,부터 2017.,부터 2017.
8,까지 업무용 차량에 부과된 교통법규 위반 과태료 총 23건 합계 928천원을 법인회계 또는 교비 회계에서 집행,까지 업무용 차량에 부과된 교통법규 위반 과태료 총 23건 합계 928천원을 법인회계 또는 교비 회계에서 집행 ◦ 관할청 허가 없이 차령을 초과한 자가용 자동차 2대를 학생통학 용도로 유상 운행 【 학교법인 광명학원 】 ◦ 경고 -,까지 업무용 차량에 부과된 교통법규 위반 과태료 총 23건 합계 928천원을 법인회계 또는 교비 회계에서 집행; 관할청 허가 없이 차령을 초과한 자가용 자동차 2대를 학생통학 용도로 유상 운행 【 학교법인 광명학원 】; 경고 -
3,명,"명 ◦ 통보 - 차 량 운 행 일 지 작 성 등 업무용 차량 운행 관리방안을 마련 하여 시행하기 바람 【사학기관 재무 ‧ 회계 규칙 제4조 및 제49조, 학교법인 광명학원 대외협력기금국장 업무추진비 및 제규정 제3조 및 제7조, 서울장신대학교 차량관리규정 제8조 제5호 및 제6호, 여객자동차 운수 사업법 제81조 제1항 제2호 ,같은 법 시행규칙 제103조 제4호 및 제103조의2】 ◦ 시정 ( 회수 ) - 법인회계에서 납부한 과 태 료 합 계 238 천 원 을 대상차량 운전자로 부터 회수하여 법인 회계에 세입조치하기 바람 【 서울장신대학교 】 ◦ 경고 - 3명 ◦...","명; 통보 - 차 량 운 행 일 지 작 성 등 업무용 차량 운행 관리방안을 마련 하여 시행하기 바람 【사학기관 재무 ‧ 회계 규칙 제4조 및 제49조, 학교법인 광명학원 대외협력기금국장 업무추진비 및 제규정 제3조 및 제7조, 서울장신대학교 차량관리규정 제8조 제5호 및 제6호, 여객자동차 운수 사업법 제81조 제1항 제2호 ,같은 법 시행규칙 제103조 제4호 및 제103조의2】; 시정 ( 회수 ) - 법인회계에서 납부한 과 태 료 합 계 238 천 원 을 대상차량 운전자로 부터 회수하여 법인 회계에 세입조치하기 바람 【 서울장신대학교 】; 경고 - 3명; 통보 - 통학버스는 관련 법령에 맞게 운행‧ 관리하기 바람; 시정 ( 회수 ) - 교비회 계에 서 납부 한 과 태 료 합 계 690천 원 을 대 상 차 량 운 전 자 들로부터 회수하여 교비회 계 에 세입조치하기 바람 6. 자 체 평 가 수 당 지 급 부 적 정; 자체평가수당 지급대상이 아닌 총장에게 수당 합계 2,800천원을 교비회계에서 지급 【 서울장신대학교 】; 경고 -"
