연번,지적사항,주요내용(요약),처분요구
23,(월) ∼ 4.,(월) ∼ 4.,(월) ∼ 4.
27,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,승진심사비 지급 부적정,승진심사비 지급 부적정 ○ 2016.,승진심사비 지급 부적정; 2016.
4,부터 2017.,부터 2017.,부터 2017.
4,"까지 본인의 업무를 처리한 직원 7명에게 해당 업무 수당 명목 합계 1,150천원 지급","까지 본인의 업무를 처리한 직원 7명에게 해당 업무 수당 명목 합계 1,150천원 지급 【사립학교법 제70조의2 제1항, 사학기관 재무회계 규칙 제4조】 【학교법인 청심학원】 ◦경고 - 2명 ◦시정(회수) - 일반직원 승진심사 대상자 서류 및 면접 심사비 명목으로 지급한 합계 1,150 천원을 당사자들로 부터 회수하여 법인 회계에 세입조치하기 바람","까지 본인의 업무를 처리한 직원 7명에게 해당 업무 수당 명목 합계 1,150천원 지급 【사립학교법 제70조의2 제1항, 사학기관 재무회계 규칙 제4조】 【학교법인 청심학원】; 경고 - 2명; 시정(회수) - 일반직원 승진심사 대상자 서류 및 면접 심사비 명목으로 지급한 합계 1,150 천원을 당사자들로 부터 회수하여 법인 회계에 세입조치하기 바람"
2,건설공사 법정경비 未정산,"건설공사 법정경비 未정산 ○ 수익용기본재산 건물의 신축공사에 반영된 법정경비 합계 237,577천원을 정산하지 않고 공사대금 전액 지급 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조 및 제42조】 【학교법인 청심학원】 ◦기관경고 ◦통보 - 정산하지 않은 법정 경비를 정산하여 목적 외로 사용되었거나, 사용되지 않은 경비는 회수하여 법인회계에 세입조치하기 바람 연번","건설공사 법정경비 未정산; 수익용기본재산 건물의 신축공사에 반영된 법정경비 합계 237,577천원을 정산하지 않고 공사대금 전액 지급 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조 및 제42조】 【학교법인 청심학원】; 기관경고; 통보 - 정산하지 않은 법정 경비를 정산하여 목적 외로 사용되었거나, 사용되지 않은 경비는 회수하여 법인회계에 세입조치하기 바람 연번"
3,전기공사 등 未 분리 발주,"전기공사 등 未 분리 발주 ○ 수익용기본재산 건물 신축공사 시 전기공사 및 정보통신공사(추정금액 합계 1,106,372 천원)를 본공사(계약금액 6,355,800천원)에 포함하여 일괄 계약 【전기공사업법 제11조, 정보통신공사업법 제25조】 【학교법인 청심학원】 ◦경고 - 3명 【 교비회계 및 재산관리 】","전기공사 등 未 분리 발주; 수익용기본재산 건물 신축공사 시 전기공사 및 정보통신공사(추정금액 합계 1,106,372 천원)를 본공사(계약금액 6,355,800천원)에 포함하여 일괄 계약 【전기공사업법 제11조, 정보통신공사업법 제25조】 【학교법인 청심학원】; 경고 - 3명 【 교비회계 및 재산관리 】"
4,교 육 용 기 본 재 산 관리 부적정,"교 육 용 기 본 재 산 관리 부적정 ◦ 교육용기본재산인 학생회관 3개 층 합계 6실 (연면적 372.78㎡)을 외부기관에 무상임대 【사립학교법 제29조 제6항, 사립학교법 시행령 제4조 제2항, 사학기관 재무·회계 규칙 제4조 및 제43조】 【선학유피대학원 대학교】 ○ 경고 - 4명 ○ 통보 - 교육용기본재산인 학생회관 6실에 대해 교육용으로 활용하는 방안을 강구하기 바람","교 육 용 기 본 재 산 관리 부적정; 교육용기본재산인 학생회관 3개 층 합계 6실 (연면적 372.78㎡)을 외부기관에 무상임대 【사립학교법 제29조 제6항, 사립학교법 시행령 제4조 제2항, 사학기관 재무·회계 규칙 제4조 및 제43조】 【선학유피대학원 대학교】; 경고 - 4명; 통보 - 교육용기본재산인 학생회관 6실에 대해 교육용으로 활용하는 방안을 강구하기 바람"
5,시설공사 업무처리 부적정,"시설공사 업무처리 부적정 ○ 2건의 시설공사(계약금액 합계 112,850천원)를 추진하면서 법정경비(추정금액 합계 2,068 천원) 未 계상 ○ 위 2건의 공사가 전문공사임에도 전문공사 등록을 하지 않은 업체와 계약 체결 【건설산업기본법 제9조 제1항 및 제22조, 건설산업기본법 시행령 제8조 제1항 제2호】 【선학유피대학원 대학교】 ◦경고 - 3명","시설공사 업무처리 부적정; 2건의 시설공사(계약금액 합계 112,850천원)를 추진하면서 법정경비(추정금액 합계 2,068 천원) 未 계상; 위 2건의 공사가 전문공사임에도 전문공사 등록을 하지 않은 업체와 계약 체결 【건설산업기본법 제9조 제1항 및 제22조, 건설산업기본법 시행령 제8조 제1항 제2호】 【선학유피대학원 대학교】; 경고 - 3명"
6,입시수당 지급 부적정,"입시수당 지급 부적정 ○ 입시관리를 본래의 업무로 하는 교직원 5명에게 입시수당 합계 1,590천원 지급 【사학기관 재무·회계 규칙 제4조, 제21조 제2항, 대학 입학 전형 관련 수입·지출의 【선학유피대학원 대학교】 ◦경고 - 5명 연번 항목 및 산정방법에 관한 규칙 제1항 제1호】 ◦시정(회수) - 부적정하게 지급된 입시수당 합계 1,590천원을 당사자 들로부터 회수하여 교비회계에 세입조치 하기 바람","입시수당 지급 부적정; 입시관리를 본래의 업무로 하는 교직원 5명에게 입시수당 합계 1,590천원 지급 【사학기관 재무·회계 규칙 제4조, 제21조 제2항, 대학 입학 전형 관련 수입·지출의 【선학유피대학원 대학교】; 경고 - 5명 연번 항목 및 산정방법에 관한 규칙 제1항 제1호】; 시정(회수) - 부적정하게 지급된 입시수당 합계 1,590천원을 당사자 들로부터 회수하여 교비회계에 세입조치 하기 바람"
