연번,지적사항,주요내용(요약),처분요구
16,(월) ∼ 8.,(월) ∼ 8.,(월) ∼ 8.
25,"(금), (8일간)","(금), (8일간) ◦ 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (8일간); 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,대 학 발 전 기 금 법인회계 세입 처리,"대 학 발 전 기 금 법인회계 세입 처리 ○ 학교 발전명목 기부금 750,000천원 법인 회계 세입처리 【사립학교법 제29조, 같은 법 시행령 제13조】 【학교법인 성신학원】 ○ 경고 - 6명 ○ 시정 - 학교 발전 명목으로 받은 기부금 합계 750,000천원을 교비 회계로 전출하기 바람","대 학 발 전 기 금 법인회계 세입 처리; 학교 발전명목 기부금 750,000천원 법인 회계 세입처리 【사립학교법 제29조, 같은 법 시행령 제13조】 【학교법인 성신학원】; 경고 - 6명; 시정 - 학교 발전 명목으로 받은 기부금 합계 750,000천원을 교비 회계로 전출하기 바람"
2,학교법인 업무 추진비 등 집행 부적정,학교법인 업무 추진비 등 집행 부적정 ○ 2015.,학교법인 업무 추진비 등 집행 부적정; 2015.
4,부터 2017.,부터 2017.,부터 2017.
3,"까지 법인카드로 결제 한 개인 승용차 주유대금 7,648천원 업무 추진비 집행","까지 법인카드로 결제 한 개인 승용차 주유대금 7,648천원 업무 추진비 집행 ○ 자택에서 법인직원으로부터 업무보고를 받은 ○○○ 에게 여비교통비 90만원 지급 【사학기관 재무 ‧ 회계규칙 제4조, 같은 규칙 특례규칙 제17조】 【학교법인 성신학원】 ○ 경고 - 4명 ○ 시정(회수) - 부적정하게 지급한 업 무 추 진 비 7,648,292원과 여비 교통비 900,000원, 합계 8,548,292원 을 당 사 자 로부터 회수 하여 관련 회계에 세입조치하기 바람 연번","까지 법인카드로 결제 한 개인 승용차 주유대금 7,648천원 업무 추진비 집행; 자택에서 법인직원으로부터 업무보고를 받은; ; ; 에게 여비교통비 90만원 지급 【사학기관 재무 ‧ 회계규칙 제4조, 같은 규칙 특례규칙 제17조】 【학교법인 성신학원】; 경고 - 4명; 시정(회수) - 부적정하게 지급한 업 무 추 진 비 7,648,292원과 여비 교통비 900,000원, 합계 8,548,292원 을 당 사 자 로부터 회수 하여 관련 회계에 세입조치하기 바람 연번"
3,소송비용 未청구,"소송비용 未청구 ○ 학교법인 승소 사건 2건에 대한 소송비용 확정 미신청 및 소송비용 미징수 ○ 학교가 승소한 사건에 대한 소송비용액 확정 미신청 및 소송비용 미징수 【민사소송법 제110조, 사학기관 재무 ‧ 회계 규칙 제4조 및 제28조】 【학교법인 성신학원】 ○ 경고 - 3명 ◦ 통보 - 승소한 2건의 소송 비용 액 확정 신 청 을 하 여지 급 받기 바람 【성신여자대학교】 ○ 경고 - 2명 ◦ 통보 - 승소한 소송비용액 확정 신청을 하여 지급받기 바람","소송비용 未청구; 학교법인 승소 사건 2건에 대한 소송비용 확정 미신청 및 소송비용 미징수; 학교가 승소한 사건에 대한 소송비용액 확정 미신청 및 소송비용 미징수 【민사소송법 제110조, 사학기관 재무 ‧ 회계 규칙 제4조 및 제28조】 【학교법인 성신학원】; 경고 - 3명; 통보 - 승소한 2건의 소송 비용 액 확정 신 청 을 하 여지 급 받기 바람 【성신여자대학교】; 경고 - 2명; 통보 - 승소한 소송비용액 확정 신청을 하여 지급받기 바람"
4,교육용기본재산 未활용,"교육용기본재산 未활용 ○ 교육용기본재산 토지 54필지 및 주택 5채 등을 교육용도로 활용하지 않아 2014회계연도 부터 2016회계연도까지 재산세 합계 216,487,658원을 교비회계에서 납부 【사학기관 재무 ･ 회계 규칙 제4조, 지방세 특례제한법 제41조】 【성신여자대학교】 ○ 경고 - 7명 ○ 통보 - 교육용기본재산","교육용기본재산 未활용; 교육용기본재산 토지 54필지 및 주택 5채 등을 교육용도로 활용하지 않아 2014회계연도 부터 2016회계연도까지 재산세 합계 216,487,658원을 교비회계에서 납부 【사학기관 재무 ･ 회계 규칙 제4조, 지방세 특례제한법 제41조】 【성신여자대학교】; 경고 - 7명; 통보 - 교육용기본재산"
54,필 지 의토 지및주 택,필 지 의토 지및주 택,필 지 의토 지및주 택
5,"채 (367,788.52 ㎡ ) 에 대 하 여 교 육 용 으 로 활 용 하 고 , 교육용으 로 활 용 이 불 가 능 한 경 우 매 각 하 여 교 비 회 계 에 세 입 조 치 하 기 바 람 연번","채 (367,788.52 ㎡ ) 에 대 하 여 교 육 용 으 로 활 용 하 고 , 교육용으 로 활 용 이 불 가 능 한 경 우 매 각 하 여 교 비 회 계 에 세 입 조 치 하 기 바 람 연번 【 교비회계 】","채 (367,788.52 ㎡ ) 에 대 하 여 교 육 용 으 로 활 용 하 고 , 교육용으 로 활 용 이 불 가 능 한 경 우 매 각 하 여 교 비 회 계 에 세 입 조 치 하 기 바 람 연번 【 교비회계 】"
5,진로설정 캠프 및 취업역량강화 캠 프 비용 과다 지급,"진로설정 캠프 및 취업역량강화 캠 프 비용 과다 지급 ○ 진로설정 캠프 참가 신청인원이 44명에 불과함에도 120명이 참가하는 내용의 계약 체결 후 지급한 계약금 32,000천원 未정산 ○ 신청인원이 14명에 불과한 취업역량강화 캠프 참가인원을 120명으로 계약 후 지급 한 계약금 46,000천원 未정산 【사학기관 재무 ･ 회계 규칙 제4조, 제57조, 성신여자대학교 재무회계규정 제59조】 【성신여자대학교】 ○ 통보[문책_경징계] - 2명 ○ 경고 - 2명 ○ 시정 - 진로설정 캠프 및 취업역량강화 캠프 운영 관련 용역비를 정산한 후 과다 지 급 된 금 액 을 관 련...","진로설정 캠프 및 취업역량강화 캠 프 비용 과다 지급; 진로설정 캠프 참가 신청인원이 44명에 불과함에도 120명이 참가하는 내용의 계약 체결 후 지급한 계약금 32,000천원 未정산; 신청인원이 14명에 불과한 취업역량강화 캠프 참가인원을 120명으로 계약 후 지급 한 계약금 46,000천원 未정산 【사학기관 재무 ･ 회계 규칙 제4조, 제57조, 성신여자대학교 재무회계규정 제59조】 【성신여자대학교】; 통보[문책_경징계] - 2명; 경고 - 2명; 시정 - 진로설정 캠프 및 취업역량강화 캠프 운영 관련 용역비를 정산한 후 과다 지 급 된 금 액 을 관 련 자 들 로 부 터 회 수 하 여 해 당 회 계 에 세 입 조 치 하 기 바 람"
