연번,지적사항,주요내용(요약),처분요구
22,(월) ∼ 10.,(월) ∼ 10.,(월) ∼ 10.
30,"(화), (7일간)","(화), (7일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 (안) 【 법인회계 】","(화), (7일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 (안) 【 법인회계 】"
1,법인부담 비용 교 비 회계 집행,법인부담 비용 교 비 회계 집행 ○ 2015.,법인부담 비용 교 비 회계 집행; 2015.
3,부터 2018.,부터 2018.,부터 2018.
10,"까지 ’수익용 기본재산 감정평가 용역비’ 등 법인회계에서 집행해야 할 합계 162,420,700원을 교비회계에서 집행","까지 ’수익용 기본재산 감정평가 용역비’ 등 법인회계에서 집행해야 할 합계 162,420,700원을 교비회계에서 집행 【사립학교법 제29조 제1항 및 제6항】 【학교법인 송원대학교】 ◦경고(1명) - 1명 ◦시정 - 수익 용기 본 재산 감정 평 가 용 역 비 등 법 인 회 계 에 서 집 행 해 야 할 합 계 162,420,700원 을 법인회계에서 교비 회 계 로 전 출 하 기바 람 【송원대학교】 ◦경고(7명) - 7명 【 교비회계 및 재산관리 】","까지 ’수익용 기본재산 감정평가 용역비’ 등 법인회계에서 집행해야 할 합계 162,420,700원을 교비회계에서 집행 【사립학교법 제29조 제1항 및 제6항】 【학교법인 송원대학교】; 경고(1명) - 1명; 시정 - 수익 용기 본 재산 감정 평 가 용 역 비 등 법 인 회 계 에 서 집 행 해 야 할 합 계 162,420,700원 을 법인회계에서 교비 회 계 로 전 출 하 기바 람 【송원대학교】; 경고(7명) - 7명 【 교비회계 및 재산관리 】"
2,이사장 개인 업무 수행 부당 강요 등,"이사장 개인 업무 수행 부당 강요 등 ○ 2015.3.부 터 2018.10.까 지 OOO은 대학 소속 직원 으로 하여금 근무시간에 개인 비서 일을 하게 하는 등 본인의 사적 업무를 하도록 지시한 바 있고, - 나아가, 송원대학교는 비서 업무를 수행한 OOO에 대하여 인건비 합계 132,130,580원을 교비회계에서 지급 【학교법인 송원대학교】 ◦경고(1명) - 1명 【송원대학교】 ◦경고(6명) 연번 (안) 【사립학교법 제27조 및 민법 제61조, 사립학교법 시행령 제13조 제2항, 사학기관 재무 ‧ 회계 규칙 제21조 제2항】 -6명 ◦시정(회수) - O O O 의수...","이사장 개인 업무 수행 부당 강요 등; 2015.3.부 터 2018.10.까 지 OOO은 대학 소속 직원 으로 하여금 근무시간에 개인 비서 일을 하게 하는 등 본인의 사적 업무를 하도록 지시한 바 있고, - 나아가, 송원대학교는 비서 업무를 수행한 OOO에 대하여 인건비 합계 132,130,580원을 교비회계에서 지급 【학교법인 송원대학교】; 경고(1명) - 1명 【송원대학교】; 경고(6명) 연번 (안) 【사립학교법 제27조 및 민법 제61조, 사립학교법 시행령 제13조 제2항, 사학기관 재무 ‧ 회계 규칙 제21조 제2항】 -6명; 시정(회수) - O O O 의수 행 비 서인 건 비 합 계 132,130,580원 을 OOO 로부터 회 수 하 여교 비 회 계 에 세 입 조 치 하 기 바 람"
3,법 인 세환 급 금 교 비 회 계未 전 출,법 인 세환 급 금 교 비 회 계未 전 출 ○ 2016.,법 인 세환 급 금 교 비 회 계未 전 출; 2016.
6,부터 2018.,부터 2018.,부터 2018.
6,"까지 송원대학교 교비회계 귀속 법인세 환급금 합계 11,950,180원을 교비회계로 未 전출","까지 송원대학교 교비회계 귀속 법인세 환급금 합계 11,950,180원을 교비회계로 未 전출 【사립학교법 제29조 제1항 및 제6항】 【학교법인 송원대학교】 ◦시정 - 법인세 환급금 교비 회계 未전출액 합계 11,950,180원을 법인 회계 에 서 교비 회 계로 전출하기 바람 【송원대학교】 ◦경고(2명) - 2명","까지 송원대학교 교비회계 귀속 법인세 환급금 합계 11,950,180원을 교비회계로 未 전출 【사립학교법 제29조 제1항 및 제6항】 【학교법인 송원대학교】; 시정 - 법인세 환급금 교비 회계 未전출액 합계 11,950,180원을 법인 회계 에 서 교비 회 계로 전출하기 바람 【송원대학교】; 경고(2명) - 2명"
4,교육용 기본 재산 未활용,"교육용 기본 재산 未활용 ○ 2015년부터 2018년까지 교육용 기본 재산 건물 14실(638.12㎡)을 용도대로 활 용 하 지 않 아 재산세 합계 5,547천원을 교비회계에서 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조】 【송원대학교】 ◦경고(3명) - 3명 ◦통보 - 전남 OO 군 OO 면 OO 리 OOO - O OOO 리 조 트 14실 (638.12㎡ ) 에 대하 여 교 육 용 으 로 활 용 하 고 , 교 육 용 으 로 의 활 용 이 불 가 능 한 경 우 매각하 여 교 비 회 계 에 세 입 조치 하기 바람 연번 (안)","교육용 기본 재산 未활용; 2015년부터 2018년까지 교육용 기본 재산 건물 14실(638.12㎡)을 용도대로 활 용 하 지 않 아 재산세 합계 5,547천원을 교비회계에서 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조】 【송원대학교】; 경고(3명) - 3명; 통보 - 전남 OO 군 OO 면 OO 리 OOO - O OOO 리 조 트 14실 (638.12㎡ ) 에 대하 여 교 육 용 으 로 활 용 하 고 , 교 육 용 으 로 의 활 용 이 불 가 능 한 경 우 매각하 여 교 비 회 계 에 세 입 조치 하기 바람 연번 (안)"
5,업 무 추 진 비부 당사 용,업 무 추 진 비부 당사 용 ○ 2015. 2. 부터 2018.,업 무 추 진 비부 당사 용; 2015. 2. 부터 2018.
9,"까지 사 무처장 이 개인 용도로 사 용 한 카 드 결 제 액 (총 340건, 합계 21,884,604원) 에 대해 적정성 검토 없이 업무추진비 과목에서 19,348,300원 집행","까지 사 무처장 이 개인 용도로 사 용 한 카 드 결 제 액 (총 340건, 합계 21,884,604원) 에 대해 적정성 검토 없이 업무추진비 과목에서 19,348,300원 집행 【사학기관 재무·회계 규칙 ｣ 제4조 및 제21조 사학기관 재무·회계 규칙에 대한 특례규칙 제17조 관련 별표1】 【송원대학교】 ◦통보(문책) - OOO 을 정 관등관 련 규정 에 따 라 문 책 (경 징 계 )하 기 바람 ◦경고(4명) - 4명 ◦시정(회수) - 사적으로 사용한 업무 추 진 비 합 계1 9 ,3 4 8 ,3 0","까지 사 무처장 이 개인 용도로 사 용 한 카 드 결 제 액 (총 340건, 합계 21,884,604원) 에 대해 적정성 검토 없이 업무추진비 과목에서 19,348,300원 집행 【사학기관 재무·회계 규칙 ｣ 제4조 및 제21조 사학기관 재무·회계 규칙에 대한 특례규칙 제17조 관련 별표1】 【송원대학교】; 통보(문책) - OOO 을 정 관등관 련 규정 에 따 라 문 책 (경 징 계 )하 기 바람; 경고(4명) - 4명; 시정(회수) - 사적으로 사용한 업무 추 진 비 합 계1 9 ,3 4 8 ,3 0"
0,원 을 OOO으로 부 터 회수 하여 교 비 회 계 에 세 입조치하기 바람,원 을 OOO으로 부 터 회수 하여 교 비 회 계 에 세 입조치하기 바람,원 을 OOO으로 부 터 회수 하여 교 비 회 계 에 세 입조치하기 바람
6,일 반 경 쟁 입 찰 대 상 수 의 계 약 체 결,일 반 경 쟁 입 찰 대 상 수 의 계 약 체 결 ○ 2015.,일 반 경 쟁 입 찰 대 상 수 의 계 약 체 결; 2015.
3,"까지 일반경쟁입찰 대상 8건 합계 828,979천원 수의계약 체결","까지 일반경쟁입찰 대상 8건 합계 828,979천원 수의계약 체결 【사학기관 재무·회계 규칙 제35조, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호 가목】 【송원대학교】 ◦경고(5명) - 5명","까지 일반경쟁입찰 대상 8건 합계 828,979천원 수의계약 체결 【사학기관 재무·회계 규칙 제35조, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호 가목】 【송원대학교】; 경고(5명) - 5명"
