연번,지적사항,주요내용(요약),처분요구
27,(월) ∼ 4.,(월) ∼ 4.,(월) ∼ 4.
3,"(월), (토, 일요일 제외 6일간)","(월), (토, 일요일 제외 6일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(월), (토, 일요일 제외 6일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,비상근 임원 보수 지급,"비상근 임원 보수 지급 ○ 비상근 임원에게 총 36회에 걸쳐 보수 합계 88,500천원 지급 【사립학교법 제26조, 학교법인 순효학원 정관 제26조의 2】 【학교법인 순효학원】 ○ 경고 - 3명 ○ 시정(회수) - 비상근 임원에게 지급한 보수 합계 88,500천원을 회수 하여 법인회계로 세입조치하기 바람","비상근 임원 보수 지급; 비상근 임원에게 총 36회에 걸쳐 보수 합계 88,500천원 지급 【사립학교법 제26조, 학교법인 순효학원 정관 제26조의 2】 【학교법인 순효학원】; 경고 - 3명; 시정(회수) - 비상근 임원에게 지급한 보수 합계 88,500천원을 회수 하여 법인회계로 세입조치하기 바람"
2,시설사용료 세입 및 기부금 업무 처리 부적정,시설사용료 세입 및 기부금 업무 처리 부적정 ○ 2014.,시설사용료 세입 및 기부금 업무 처리 부적정; 2014.
3,부터 2016.,부터 2016.,부터 2016.
8,"까지 학교시설 사용료 합계 165,000천원 법인회계로 세입처리","까지 학교시설 사용료 합계 165,000천원 법인회계로 세입처리 ○ 2015.","까지 학교시설 사용료 합계 165,000천원 법인회계로 세입처리; 2015."
5,부터 2017.,부터 2017.,부터 2017.
2,"까지 지정기부금 17건 합계 157,350천원에 대해 법정기부금 영수증 발행","까지 지정기부금 17건 합계 157,350천원에 대해 법정기부금 영수증 발행 【사립학교법 제29조 제1항 및 제6항, 사립학교법 시행령 제13조 제1항, 법인세법 제24조 제2항, 법인세법 시행령 제36조 제1항】 【학교법인 순효학원】 ○ 경고 - 3명 ○ 시정 - 법인회계로 세입처리 한 시설사용료 합계 165,000천원을 교비 회계로 전출하기 바람 연번","까지 지정기부금 17건 합계 157,350천원에 대해 법정기부금 영수증 발행 【사립학교법 제29조 제1항 및 제6항, 사립학교법 시행령 제13조 제1항, 법인세법 제24조 제2항, 법인세법 시행령 제36조 제1항】 【학교법인 순효학원】; 경고 - 3명; 시정 - 법인회계로 세입처리 한 시설사용료 합계 165,000천원을 교비 회계로 전출하기 바람 연번"
3,허위 이사회 회의록 작성 등,허위 이사회 회의록 작성 등 ○ 2014.,허위 이사회 회의록 작성 등; 2014.
2,부터 2017.,부터 2017.,부터 2017.
3,까지 허위 이사회 회의록 40건 작성 및 허위공문 13회 시행,"까지 허위 이사회 회의록 40건 작성 및 허위공문 13회 시행 【사립학교법 제18조 제1항, 제18조의","까지 허위 이사회 회의록 40건 작성 및 허위공문 13회 시행 【사립학교법 제18조 제1항, 제18조의"
2,"및 제19조, 신안산대학교 교직원 복무규정 제3조】","및 제19조, 신안산대학교 교직원 복무규정 제3조】 【학교법인 순효학원】 ○ 경고 - 2명 ○ 4번에 포함조치 - 1명 ○ 7번에 포함조치 - 1명","및 제19조, 신안산대학교 교직원 복무규정 제3조】 【학교법인 순효학원】; 경고 - 2명; 4번에 포함조치 - 1명; 7번에 포함조치 - 1명"
4,법인회계 및 교비 회계 자금 횡령,"법인회계 및 교비 회계 자금 횡령 ○ 2014. 4. 16. 수익용기본재산 임대보증금 환급 명목으로 법인회계에서 150,000천원을 인출하여 환금하지 않고 임의사용 ○ 이주지원비 100,000천원을 지급하는 것처럼 허위 서류를 작성하여 해당금액 임의사용 【사립학교법 제27조, 민법 제61조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조, 학교법인 순효학원 교직원 복무규정 제3조】 【학교법인 순효학원】 ○ 경고 - 1명 ○ 7번에 포함조치 - 1명 ○ 통보(문책) - ○○○ 을 정관 등 자체규정에 따라 ‘문책(중징계)’하기 바람(3번, 7번, 10번과 병합처리)...","법인회계 및 교비 회계 자금 횡령; 2014. 4. 16. 수익용기본재산 임대보증금 환급 명목으로 법인회계에서 150,000천원을 인출하여 환금하지 않고 임의사용; 이주지원비 100,000천원을 지급하는 것처럼 허위 서류를 작성하여 해당금액 임의사용 【사립학교법 제27조, 민법 제61조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조, 학교법인 순효학원 교직원 복무규정 제3조】 【학교법인 순효학원】; 경고 - 1명; 7번에 포함조치 - 1명; 통보(문책) -; ; ; 을 정관 등 자체규정에 따라 ‘문책(중징계)’하기 바람(3번, 7번, 10번과 병합처리); 시정(회수) - 임의사용한 법인회계 자금 150,000천원을 당사자로부터 회수 하여 법인회계에 세입 조치하기 바람 【신안산대학교】; 7번에 포함조치 - 1명; 시정(회수) - 임의사용한 교비회계 자금 100,000천원을 당사자로부터 회수 하여 교비회계에 세입 조치하기 바람 연번"
5,교 육 용 기 본 재 산 관리 부적정,"교 육 용 기 본 재 산 관리 부적정 ○ 2014회계연도부터 2016회계연도까지 교육용 기본재산을 용도대로 활용하지 않아 재산세 합계 5,993천원 납부 【사학기관 재무·회계 규칙 제4조, 지방세 특례제한법 제41조】 【학교법인 순효학원】 ○ 경고 - 1명 【신안산대학교】 ○ 경고 - 3명 ○ 통보 - 교육용기본재산을 교육용으로 활용하고, 활용이 불가능한 경우 매각하여 교비회계로 세입조치하기 바람","교 육 용 기 본 재 산 관리 부적정; 2014회계연도부터 2016회계연도까지 교육용 기본재산을 용도대로 활용하지 않아 재산세 합계 5,993천원 납부 【사학기관 재무·회계 규칙 제4조, 지방세 특례제한법 제41조】 【학교법인 순효학원】; 경고 - 1명 【신안산대학교】; 경고 - 3명; 통보 - 교육용기본재산을 교육용으로 활용하고, 활용이 불가능한 경우 매각하여 교비회계로 세입조치하기 바람"
6,업무추진비 집행 부적정,"업무추진비 집행 부적정 ○ ○○○ 에게 병원비 명목으로 업무추진비 합계 7,500천원 지급(1,500천원/월) 【사립학교법 시행령 제10조의2, 제10조의5, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조, 제17조 및 제21조】 【학교법인 순효학원】 ○ 경고 - 3명 ○ 시정(회수) - 병원비 명목으로 지급한 업무추진비 합계 7,500천원을 당사자로부터 회수 하여 법인회계로 세입조치하기 바람 【 교비회계 및 재산관리 】","업무추진비 집행 부적정; ; ; ; 에게 병원비 명목으로 업무추진비 합계 7,500천원 지급(1,500천원/월) 【사립학교법 시행령 제10조의2, 제10조의5, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조, 제17조 및 제21조】 【학교법인 순효학원】; 경고 - 3명; 시정(회수) - 병원비 명목으로 지급한 업무추진비 합계 7,500천원을 당사자로부터 회수 하여 법인회계로 세입조치하기 바람 【 교비회계 및 재산관리 】"
7,교비회계 집행 부당,교비회계 집행 부당 ○ 2014.,교비회계 집행 부당; 2014.
3,부터 2017.,부터 2017.,부터 2017.
3,"까지 법인에서 부담해야 할 수익용기본재산 시설보수 자재 구입비 등 53건 합계 76,071천원 교비회계에서 집행","까지 법인에서 부담해야 할 수익용기본재산 시설보수 자재 구입비 등 53건 합계 76,071천원 교비회계에서 집행 ○ 2017. 2. ○○○ 의 간병 등을 한 ○○○ 에게 대학 환경미화작업을 한 것처럼 허위서류를 만들어 노임 명목으로 교비회계에서 1,000 천원 지급 【신안산대학교】 ○ 중징계 - 1명(4번, 10번과 병합 처리) ○ 4번에 포함조치 - 1명 ○ 통보(문책) - ○○○ 을 정관 등 자체규정에 따라 연번 【사립학교법 제29조, 사립학교법 시행령 제13조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 ‘문책(경징계)’하기 바람(3번, 4번과 병합 처...","까지 법인에서 부담해야 할 수익용기본재산 시설보수 자재 구입비 등 53건 합계 76,071천원 교비회계에서 집행; 2017. 2.; ; ; 의 간병 등을 한; ; ; 에게 대학 환경미화작업을 한 것처럼 허위서류를 만들어 노임 명목으로 교비회계에서 1,000 천원 지급 【신안산대학교】; 중징계 - 1명(4번, 10번과 병합 처리); 4번에 포함조치 - 1명; 통보(문책) -; ; ; 을 정관 등 자체규정에 따라 연번 【사립학교법 제29조, 사립학교법 시행령 제13조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 ‘문책(경징계)’하기 바람(3번, 4번과 병합 처리); 경고 - 2명; 시정(회수) - 노임 명목으로 지급한 1,000천원을 당사자 로부터 회수하여 교비 회계에 세입조치하기 바람 【학교법인 순효학원】; 시정 - 교비회계에서 집행 한 수익용기본재산 시설보수 자재구입비 등 합계 76,071천원을 교비회계로 전출하기 바람"
8,직무보조수당 등 지급 부적정,직무보조수당 등 지급 부적정 ○ 2014.,직무보조수당 등 지급 부적정; 2014.
