연번,지적사항,주요내용(요약),처분요구
7,(수) ∼ 6.,(수) ∼ 6.,(수) ∼ 6.
16,"(금), (토, 일요일 제외 8일간)","(금), (토, 일요일 제외 8일간) ◦ 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (토, 일요일 제외 8일간); 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,수익사업 未공고 등,"수익사업 未공고 등 ◦ 2017. 6. 감사일 현재까지 수익사업을 공고 하지 않고 부동산 임대사업 운영 ◦ 관할청에 신고하지 않고 수익용기본재산에 전세권 설정 【사립학교법 제6조, 제10조 및 제28조 제1항, 사립학교법 시행령 제11조 제5항 제6호】 【학교법인 우송학원】 ○ 경고 - 2명 ○ 통보 - 수익사업으로 부동산 입대업을 영위하는 경우 일간신문 등에 공고하고 정관에 기재 하기 바람 - 수익용기본재산의 전세권 설정에 대해 관할청에 신고하기 바람 【 교비회계 및 재산관리 】","수익사업 未공고 등; 2017. 6. 감사일 현재까지 수익사업을 공고 하지 않고 부동산 임대사업 운영; 관할청에 신고하지 않고 수익용기본재산에 전세권 설정 【사립학교법 제6조, 제10조 및 제28조 제1항, 사립학교법 시행령 제11조 제5항 제6호】 【학교법인 우송학원】; 경고 - 2명; 통보 - 수익사업으로 부동산 입대업을 영위하는 경우 일간신문 등에 공고하고 정관에 기재 하기 바람 - 수익용기본재산의 전세권 설정에 대해 관할청에 신고하기 바람 【 교비회계 및 재산관리 】"
2,한국어교육원 운영 부적정,한국어교육원 운영 부적정 ◦ 2013.,한국어교육원 운영 부적정; 2013.
9,부터 2017. 6. 감사일 현재까지 한국어 교육원 운영 위탁 업체가 학교시설 무상사용,"부터 2017. 6. 감사일 현재까지 한국어 교육원 운영 위탁 업체가 학교시설 무상사용 ◦ 전임교원이 아닌 학교법인 이사가 한국어교육 원장 직 수행 【학교법인 우송학원】 ○ 경고 - 1명 ○ 통보 - 학 교 법 인 이 사 가 한 국 어 교육원장 직을 겸하지 연번 【사립학교법 제23조, 사립학교법 시행령 제13조 제3호, 사학기관 재무·회계 규칙 제4조, 우송대학교 한국어교육원운영규정 제4조】 않도록 조치하기 바람 【우송대학교】 ○ 경고 - 3명 ○ 통보 - 한국어교육원장은 전임교원 중에 임명 하기 바람 - 한국어교육원이 무상 사용하는 공간에 대한 임대료 및 각종 공...","부터 2017. 6. 감사일 현재까지 한국어 교육원 운영 위탁 업체가 학교시설 무상사용; 전임교원이 아닌 학교법인 이사가 한국어교육 원장 직 수행 【학교법인 우송학원】; 경고 - 1명; 통보 - 학 교 법 인 이 사 가 한 국 어 교육원장 직을 겸하지 연번 【사립학교법 제23조, 사립학교법 시행령 제13조 제3호, 사학기관 재무·회계 규칙 제4조, 우송대학교 한국어교육원운영규정 제4조】 않도록 조치하기 바람 【우송대학교】; 경고 - 3명; 통보 - 한국어교육원장은 전임교원 중에 임명 하기 바람 - 한국어교육원이 무상 사용하는 공간에 대한 임대료 및 각종 공 과금을 징수하는 등 조치를 하기 바람"
3,학생지원비 회계 처리 부적정,학생지원비 회계 처리 부적정 ◦ 2014.,학생지원비 회계 처리 부적정; 2014.
4,부터 2017.,부터 2017.,부터 2017.
5,"까지 기숙사 식당 위탁 업체에 지급한 식비 합계 3,285천원을 학생 지원비로 회계처리","까지 기숙사 식당 위탁 업체에 지급한 식비 합계 3,285천원을 학생 지원비로 회계처리 【사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조】 【우송대학교】 ○ 경고 - 3명","까지 기숙사 식당 위탁 업체에 지급한 식비 합계 3,285천원을 학생 지원비로 회계처리 【사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조】 【우송대학교】; 경고 - 3명"
4,유학생 외화등록금 책정 부적정,"유학생 외화등록금 책정 부적정 ◦ 2014학년도 1학기부터 2017학년도 1학기까지 유학생 등록금을 달러로 고지하기 위한 환율을 등록금 심의위원회 심의 없이 달러당 1,000원 으로 일괄 적용 【고등교육법 제11조 제2항, 대학등록금에 관한 규칙 제2조 제1항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【우송대학교】 ○ 경고 - 7명 ○ 통보 - 유학생 외화등록금 책정은 등록금 심의 위원회 심의를 거치기 바람 연번","유학생 외화등록금 책정 부적정; 2014학년도 1학기부터 2017학년도 1학기까지 유학생 등록금을 달러로 고지하기 위한 환율을 등록금 심의위원회 심의 없이 달러당 1,000원 으로 일괄 적용 【고등교육법 제11조 제2항, 대학등록금에 관한 규칙 제2조 제1항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【우송대학교】; 경고 - 7명; 통보 - 유학생 외화등록금 책정은 등록금 심의 위원회 심의를 거치기 바람 연번"
5,기금관리 부적정,"기금관리 부적정 ◦ 기금으로 매입하여 보유하고 있는 주식 66,667주(매입가 400,002천원 상당)를 투자 유가증권 계정으로 관리 【사립학교법 제32조의","기금관리 부적정; 기금으로 매입하여 보유하고 있는 주식 66,667주(매입가 400,002천원 상당)를 투자 유가증권 계정으로 관리 【사립학교법 제32조의"
2,"제3항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】","제3항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【우송대학교】 ○ 경고 - 2명 ○ 시정 - 투자유가증권 계정 과목에 계상하고 있는 주 식 66,667주 를 기 금 에 편입하여 관리하기 바람","제3항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【우송대학교】; 경고 - 2명; 시정 - 투자유가증권 계정 과목에 계상하고 있는 주 식 66,667주 를 기 금 에 편입하여 관리하기 바람"
6,우송예술회관 관리 부당,"우송예술회관 관리 부당 ◦ 교육용기본재산인 우송예술회관 (지하 1층, 지상 4층, 2,861㎡) 전체에 대해 ○○○과 월 임대료 330천원만 받는 조건으로 임대차계약 체결 ◦ 위 임대차 계약으로 인해 2013. 12.","우송예술회관 관리 부당; 교육용기본재산인 우송예술회관 (지하 1층, 지상 4층, 2,861㎡) 전체에 대해; ; ; 과 월 임대료 330천원만 받는 조건으로 임대차계약 체결; 위 임대차 계약으로 인해 2013. 12."
1,"부터 2017. 6. 감사일 현재까지 우송예술회관에서 발생한 대관료 합계 937,945천원 상당의 교비회계 손실 발생","부터 2017. 6. 감사일 현재까지 우송예술회관에서 발생한 대관료 합계 937,945천원 상당의 교비회계 손실 발생 【사립학교법 시행령 제4조 및 제13조 제1항, 사학기관 재무·회계 규칙 제4조】 【우송대학교】 ○ 중징계 - 1명(7, 8, 9번과 병 합처리) ○ 경고 - 1명 ○ 통보(문책) - ○○○ 을 학교법인 우송학원 정관 등 자체규정에 따라 ‘문책(중징계)’하기 바람(7, 8, 9번과 병합 처리) ○ 통보 - 교육용기본재산을 용도에 맞게 활용 하기 바람","부터 2017. 6. 감사일 현재까지 우송예술회관에서 발생한 대관료 합계 937,945천원 상당의 교비회계 손실 발생 【사립학교법 시행령 제4조 및 제13조 제1항, 사학기관 재무·회계 규칙 제4조】 【우송대학교】; 중징계 - 1명(7, 8, 9번과 병 합처리); 경고 - 1명; 통보(문책) -; ; ; 을 학교법인 우송학원 정관 등 자체규정에 따라 ‘문책(중징계)’하기 바람(7, 8, 9번과 병합 처리); 통보 - 교육용기본재산을 용도에 맞게 활용 하기 바람"
7,교 육 용 기 본 재 산 임대차 계약 체결 부당,"교 육 용 기 본 재 산 임대차 계약 체결 부당 ◦ 교육용기본재산 (4건) 을 학교와 특수관계에 있는 개인에게 임대하면서 감정평가 등 객관적인 기준 없이 월 임대료 220천원에서 1,000천원만 납부하는 조건으로 임대차계약 체결 【우송대학교】 ○ 6번에 포함조치 - 2명 ○ 경고 - 1명 연번 【사학기관 재무·회계 규칙 제4조 및 제15조】 ○ 통보 - 외부업체에 임대한 교육용기본재산에 대해 감정평가 등 객관적인 평가방법을 통해 임대료를 재산정 하고 향후 계약 시 반영하기 바람","교 육 용 기 본 재 산 임대차 계약 체결 부당; 교육용기본재산 (4건) 을 학교와 특수관계에 있는 개인에게 임대하면서 감정평가 등 객관적인 기준 없이 월 임대료 220천원에서 1,000천원만 납부하는 조건으로 임대차계약 체결 【우송대학교】; 6번에 포함조치 - 2명; 경고 - 1명 연번 【사학기관 재무·회계 규칙 제4조 및 제15조】; 통보 - 외부업체에 임대한 교육용기본재산에 대해 감정평가 등 객관적인 평가방법을 통해 임대료를 재산정 하고 향후 계약 시 반영하기 바람"
8,복리후생비 지급 부당,"복리후생비 지급 부당 ◦ 교내 입주업체 2개로부터 교직원에게 이용 요금 할인을 제공했다는 통보만으로 해당 업체에게 계약이나 규정에 정하지 않은 지원금 합계 60,953천원 지급 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【우송대학교】 ○ 6번에 포함조치 - 2명 ○ 경고 - 1명","복리후생비 지급 부당; 교내 입주업체 2개로부터 교직원에게 이용 요금 할인을 제공했다는 통보만으로 해당 업체에게 계약이나 규정에 정하지 않은 지원금 합계 60,953천원 지급 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【우송대학교】; 6번에 포함조치 - 2명; 경고 - 1명"
9,일반경쟁 입찰 대상 용역 등 수의계약 체결,"일반경쟁 입찰 대상 용역 등 수의계약 체결 ◦ 일반경쟁 입찰 대상 용역 등 16건 (계약금액 합계 4,405,436천원) 을 수의계약으로 체결 【사학기관 재무·회계 규칙 제35조 제1항, 2007년 교육부 종합감사】 【우송대학교】 ○ 6번에 포함조치 - 2명 ○ 경고 - 7명","일반경쟁 입찰 대상 용역 등 수의계약 체결; 일반경쟁 입찰 대상 용역 등 16건 (계약금액 합계 4,405,436천원) 을 수의계약으로 체결 【사학기관 재무·회계 규칙 제35조 제1항, 2007년 교육부 종합감사】 【우송대학교】; 6번에 포함조치 - 2명; 경고 - 7명"
10,명예총장 경조사비 지급 부적정,명예총장 경조사비 지급 부적정 ◦ 2014.,명예총장 경조사비 지급 부적정; 2014.
3,부터 2014.,부터 2014.,부터 2014.
