연번,지적사항,주요내용(요약),처분요구
26,(월) ∼ 4.,(월) ∼ 4.,(월) ∼ 4.
4,(수),(수) ◦ 감사인원 : 4명(공인회계사 2명 포함) 연번 【 법인회계 】,(수); 감사인원 : 4명(공인회계사 2명 포함) 연번 【 법인회계 】
1,이사회 회의비 지급 부적정,"이사회 회의비 지급 부적정 ◦ 000실 등 교내에서 개최된 이사회에 16회 참석한 00에게 합계 4,800천원을 회의비 명목으로 지급 【사립학교법 제26조, 사학기관 재무 ･ 회계 규칙 제4조】 【학교법인 유한학원】 ◦경고 - 3명 ◦시정(회수) - 부적정하게 지급한 이사회 회의비 합계 4,800천원을 당사자 로부터 회수하여 법인회계에 세입조 치하기 바람 【 교비회계 】","이사회 회의비 지급 부적정; 000실 등 교내에서 개최된 이사회에 16회 참석한 00에게 합계 4,800천원을 회의비 명목으로 지급 【사립학교법 제26조, 사학기관 재무 ･ 회계 규칙 제4조】 【학교법인 유한학원】; 경고 - 3명; 시정(회수) - 부적정하게 지급한 이사회 회의비 합계 4,800천원을 당사자 로부터 회수하여 법인회계에 세입조 치하기 바람 【 교비회계 】"
2,산학협력단 부 담비 용 교 비 회 계 집 행,"산학협력단 부 담비 용 교 비 회 계 집 행 ◦ 총 33회에 걸쳐 산학협력단 회계에서 부담해야 할 비용 합계 6,606,960원을 교비회계에서 집행 【유한대학교】 ◦ 경고 - 7명 ◦시정 - 교비회계에서 집행 연번 【사립학교법 제29조 제6항, 사학기관 재무 ･ 회계 규칙 제21조 제2항, 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 제24조, 유한대학교 산학협력단 정관 제16조】 한 산학협력단 부담 비 용 합 계 6,606,960원 을 산학 협력단회계 에 서 교 비 회 계 로 전 출 하기 바람","산학협력단 부 담비 용 교 비 회 계 집 행; 총 33회에 걸쳐 산학협력단 회계에서 부담해야 할 비용 합계 6,606,960원을 교비회계에서 집행 【유한대학교】; 경고 - 7명; 시정 - 교비회계에서 집행 연번 【사립학교법 제29조 제6항, 사학기관 재무 ･ 회계 규칙 제21조 제2항, 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 제24조, 유한대학교 산학협력단 정관 제16조】 한 산학협력단 부담 비 용 합 계 6,606,960원 을 산학 협력단회계 에 서 교 비 회 계 로 전 출 하기 바람"
3,가족수당 수령  지급 부적정,가족수당 수령  지급 부적정 ◦ 교수 1명이 2008.10. 배우자에 대한 가족 수당 수령사유가 소멸하였으나 부양가족 변동을 확인할 수 있는 증빙을 제출하지 않고 2008.,가족수당 수령  지급 부적정; 교수 1명이 2008.10. 배우자에 대한 가족 수당 수령사유가 소멸하였으나 부양가족 변동을 확인할 수 있는 증빙을 제출하지 않고 2008.
11,부터 2018.,부터 2018.,부터 2018.
3,"까지 가족수당 합계 4,520천원 (월 40천원) 수령 - ①","까지 가족수당 합계 4,520천원 (월 40천원) 수령 - ① ◦ 가 족 수 당 수 령 사 유 소 멸 증 빙 을 제 출 한 교 직 원 9명 에 게 가족수당 합계 5,590천원 지급- ② 【유한대학교 교직원 보수 규정 제12조, 유한대학교 급여기준안】 【유한대학교】 <① 관련> ◦경고 - 1명 ◦시정(회수) - 부적정하게 수령한 가족수당 합계 4,520천 원 을 000으 로 부 터 회수하여 교비 회계로 세입조치하 기 바람 <② 관련> ◦경고 - 4명 ◦시정(회수) - 부적정하게 지급한 가족 수당 합계 5,590 천원 을 관련자들로 부터 회수하여 교비 회계로 세입조치하...","까지 가족수당 합계 4,520천원 (월 40천원) 수령 - ①; 가 족 수 당 수 령 사 유 소 멸 증 빙 을 제 출 한 교 직 원 9명 에 게 가족수당 합계 5,590천원 지급- ② 【유한대학교 교직원 보수 규정 제12조, 유한대학교 급여기준안】 【유한대학교】 <① 관련>; 경고 - 1명; 시정(회수) - 부적정하게 수령한 가족수당 합계 4,520천 원 을 000으 로 부 터 회수하여 교비 회계로 세입조치하 기 바람 <② 관련>; 경고 - 4명; 시정(회수) - 부적정하게 지급한 가족 수당 합계 5,590 천원 을 관련자들로 부터 회수하여 교비 회계로 세입조치하 기 바람"
4,부서운영비 집행 부적정,"부서운영비 집행 부적정 ◦ 학교 명의의 명절선물과 별도로 12개 부서의 부서운영비에서 소속 교직원 명 절선물 구입비 합계 34,701,770원 집행 【유한대학교】 ◦경고 - 4명 연번 【사학기관 재무 ･ 회계 규칙 제4조 및 제21조 제2항, 사립학교법 시행령 제13조 제2항】 ◦시정(회수) - 명 절 선 물 비 로 집 행 한 부서운영비 합계 34,701,770원을 관련 자 들 로 부 터 회 수 하 여 교비회계에 세입조 치하기 바람","부서운영비 집행 부적정; 학교 명의의 명절선물과 별도로 12개 부서의 부서운영비에서 소속 교직원 명 절선물 구입비 합계 34,701,770원 집행 【유한대학교】; 경고 - 4명 연번 【사학기관 재무 ･ 회계 규칙 제4조 및 제21조 제2항, 사립학교법 시행령 제13조 제2항】; 시정(회수) - 명 절 선 물 비 로 집 행 한 부서운영비 합계 34,701,770원을 관련 자 들 로 부 터 회 수 하 여 교비회계에 세입조 치하기 바람"
5,교직원 포상금 지급 부적정,"교직원 포상금 지급 부적정 ◦ 인사위원회 심의 등을 거치지 않고 교직원 113명 (누적인원) 에게 포상금 합 계 247,500천원 지급 【학교법인 유한학원 정관 제48조, 유한대학교 직원인사규정 제31조 제2항】 【유한대학교】 ◦경고 - 3명 ◦통보 - 포상은 관련 규정에 따라 실시하기 바람","교직원 포상금 지급 부적정; 인사위원회 심의 등을 거치지 않고 교직원 113명 (누적인원) 에게 포상금 합 계 247,500천원 지급 【학교법인 유한학원 정관 제48조, 유한대학교 직원인사규정 제31조 제2항】 【유한대학교】; 경고 - 3명; 통보 - 포상은 관련 규정에 따라 실시하기 바람"
6,지식재산권 관리 부적정,"지식재산권 관리 부적정 ◦ 교원 5명이 직무발명 특허 등 6건을 산학협력단에 신고하지 아니하고 개인 명의로 출원‧ 등록 【발명진흥법 제10조 제1항 및 제12조, 유한대학교 지식재산권 관리규정 제5조】 【유한대학교】 ◦ 경고 - 5명 ◦통보 - 개인명의로 출원･ 등록된 지 식 재 산 권 을 관련 법 령 및 규 정 에 따 라 자체심의 등을 거쳐 산학협력단 명 의 로 의 변 경 여 부 를 결정하기 바람","지식재산권 관리 부적정; 교원 5명이 직무발명 특허 등 6건을 산학협력단에 신고하지 아니하고 개인 명의로 출원‧ 등록 【발명진흥법 제10조 제1항 및 제12조, 유한대학교 지식재산권 관리규정 제5조】 【유한대학교】; 경고 - 5명; 통보 - 개인명의로 출원･ 등록된 지 식 재 산 권 을 관련 법 령 및 규 정 에 따 라 자체심의 등을 거쳐 산학협력단 명 의 로 의 변 경 여 부 를 결정하기 바람"
