연번,지적사항,주요내용(요약),처분요구
11,(월) ∼ 12.,(월) ∼ 12.,(월) ∼ 12.
15,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,교 원 징 계 위 원 회 참석 경비 지급 부적정,"교 원 징 계 위 원 회 참석 경비 지급 부적정 ◦ 법인 사무실에서 개최한 교원 징계위원회에 참석한 임직원 3명에게 참석경비 합계 1,900 천원 지급 【사립학교법 제26조 제1항, 사학기관 재무·회계 규칙 제4조, 학교법인 신동아학원 정관 제27조 제2항 및 제31조】 【학교법인 신동아학원】 ○ 경고 - 3명 ○ 통보 - 교원징계위원회 참석 거마비 및 수고비 명목으로 임직원 3명 에게 지급한 1,900 천원을 당사자들로 부터 회수하여 법인 회계에 세입조치하기 바람","교 원 징 계 위 원 회 참석 경비 지급 부적정; 법인 사무실에서 개최한 교원 징계위원회에 참석한 임직원 3명에게 참석경비 합계 1,900 천원 지급 【사립학교법 제26조 제1항, 사학기관 재무·회계 규칙 제4조, 학교법인 신동아학원 정관 제27조 제2항 및 제31조】 【학교법인 신동아학원】; 경고 - 3명; 통보 - 교원징계위원회 참석 거마비 및 수고비 명목으로 임직원 3명 에게 지급한 1,900 천원을 당사자들로 부터 회수하여 법인 회계에 세입조치하기 바람"
2,예·결산 제출 및 심의·확정 기한 未준수,"예·결산 제출 및 심의·확정 기한 未준수 ◦ 2014회계연도부터 2017회계연도까지 법정 기한을 최단 4일에서 최장 41일 초과하여 예· 결산안 이사회 제출 및 심의·확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조, 제42조】 【학교법인 신동아학원 및 전주비전대학교】 ○ 기관경고 연번 【 교비회계 및 재산관리 】","예·결산 제출 및 심의·확정 기한 未준수; 2014회계연도부터 2017회계연도까지 법정 기한을 최단 4일에서 최장 41일 초과하여 예· 결산안 이사회 제출 및 심의·확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조, 제42조】 【학교법인 신동아학원 및 전주비전대학교】; 기관경고 연번 【 교비회계 및 재산관리 】"
3,법인카드 결제 대금 집행 부적정,법인카드 결제 대금 집행 부적정 ◦ 2014.,법인카드 결제 대금 집행 부적정; 2014.
3,부터 2014.,부터 2014.,부터 2014.
12,"까지 사전 품의도 없이 법인카드로 결제한 금액 합계 9,157천원을 정산절차 없이 교비회계에서 집행","까지 사전 품의도 없이 법인카드로 결제한 금액 합계 9,157천원을 정산절차 없이 교비회계에서 집행 【사학기관 재무·회계 규칙 제4조, 제21조 제2항】 【전주비전대학교】 ○ 경고 - 4명 ○ 통보 - 법인카드로 결제한 대금 합계 9,157천원에 대해 정산한 후 소명 되지 않은 금액은 회수하여 관련회계에 세입조치하기 바람","까지 사전 품의도 없이 법인카드로 결제한 금액 합계 9,157천원을 정산절차 없이 교비회계에서 집행 【사학기관 재무·회계 규칙 제4조, 제21조 제2항】 【전주비전대학교】; 경고 - 4명; 통보 - 법인카드로 결제한 대금 합계 9,157천원에 대해 정산한 후 소명 되지 않은 금액은 회수하여 관련회계에 세입조치하기 바람"
4,특별상여금 지급 부당,"특별상여금 지급 부당 ◦ ○○○ 에게 특별성과급 지급 계획에 따라 책정된 성과급 5,420천원 외에 아무런 근거 없이 30,000천원 추가 지급 ◦ 위 ○○○ 퇴직일 이후 아무런 근거 없이 위 성과급 명목으로 45,000천원 재차 지급 【사학기관 재무·회계 규칙 제4조, 제19조 및 제20조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조, 전주비전대학교 교직원 보수지급 기준】 【전주비전대학교】 ○ 중징계 - 2명 ○ 경징계 - 1명 ○ 시정(회수) - 특별상여금 명목으로 부당하게 지급한 합계 75,000천원을 당사자 로부터 회수하여 교비 회계에 세입조치하기 바람","특별상여금 지급 부당; ; ; ; 에게 특별성과급 지급 계획에 따라 책정된 성과급 5,420천원 외에 아무런 근거 없이 30,000천원 추가 지급; 위; ; ; 퇴직일 이후 아무런 근거 없이 위 성과급 명목으로 45,000천원 재차 지급 【사학기관 재무·회계 규칙 제4조, 제19조 및 제20조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조, 전주비전대학교 교직원 보수지급 기준】 【전주비전대학교】; 중징계 - 2명; 경징계 - 1명; 시정(회수) - 특별상여금 명목으로 부당하게 지급한 합계 75,000천원을 당사자 로부터 회수하여 교비 회계에 세입조치하기 바람"
5,관사 도시가스 요금 등 교비회계 집행,관사 도시가스 요금 등 교비회계 집행 ◦ 2014.,관사 도시가스 요금 등 교비회계 집행; 2014.
3,부터 2015.,부터 2015.,부터 2015.
