연번,지적사항,주요내용(요약),처분요구
25,(월) ∼ 9.,(월) ∼ 9.,(월) ∼ 9.
29,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,교육용기본재산 未 활용,"교육용기본재산 未 활용 ◦ 교육용기본재산을 목적 외로 활용해 추징 당한 재산세 합계 3,475 천원 교비회계 에서 납부 【지방세특례제한법 제41조 제2항】 【 창신대학교 】 ◦ 경고 -","교육용기본재산 未 활용; 교육용기본재산을 목적 외로 활용해 추징 당한 재산세 합계 3,475 천원 교비회계 에서 납부 【지방세특례제한법 제41조 제2항】 【 창신대학교 】; 경고 -"
3,명,"명 ◦ 시정 - 교 육 용 기 본 재 산 16필 지 를 교육용으로 활 용하고, 불 가 능 한 경 우 매 각 하 여 교비회 계에 세입조치하기 바람","명; 시정 - 교 육 용 기 본 재 산 16필 지 를 교육용으로 활 용하고, 불 가 능 한 경 우 매 각 하 여 교비회 계에 세입조치하기 바람"
2,수익사업체 근무 퇴직자 퇴직 위로금 지급 부적정,"수익사업체 근무 퇴직자 퇴직 위로금 지급 부적정 ◦ 법인회계에서 수익사업체 직원에게 퇴직 위로금 10,000 천원 지급 【사학기관 재무 ․ 회계 규칙 제4조, 학교법인 창신대학교 정관 제57조】 【 학교법인 창신대학교 】 ◦ 경고 -","수익사업체 근무 퇴직자 퇴직 위로금 지급 부적정; 법인회계에서 수익사업체 직원에게 퇴직 위로금 10,000 천원 지급 【사학기관 재무 ․ 회계 규칙 제4조, 학교법인 창신대학교 정관 제57조】 【 학교법인 창신대학교 】; 경고 -"
2,명,"명 ◦ 시정 ( 회수 ) - 부 적 정 하 게 지 급 한 퇴 직 위로금 10,000천 원을 당사자로 부 터 회 수 하 여 법 인 회 계 에 세 입 조 치 하 기 바람 연번","명; 시정 ( 회수 ) - 부 적 정 하 게 지 급 한 퇴 직 위로금 10,000천 원을 당사자로 부 터 회 수 하 여 법 인 회 계 에 세 입 조 치 하 기 바람 연번"
3,상 근 이 사 장 이 사 회 등 참석 여비 지급 부적정,"상 근 이 사 장 이 사 회 등 참석 여비 지급 부적정 ◦ 근무지에서 개최한 회의에 참석한 상근 이사장과 수익사업체 직원에게 참석 여비 합계 1,300 천원 지급 【사립학교법 제26조 제1항, 사학기관 재무 ․ 회계 규칙 제4조】 【 학교법인 창신대학교 】 ◦ 경고 -","상 근 이 사 장 이 사 회 등 참석 여비 지급 부적정; 근무지에서 개최한 회의에 참석한 상근 이사장과 수익사업체 직원에게 참석 여비 합계 1,300 천원 지급 【사립학교법 제26조 제1항, 사학기관 재무 ․ 회계 규칙 제4조】 【 학교법인 창신대학교 】; 경고 -"
4,학 교 시 설 사 용 대 가 법 인 회 계 세 입 처 리 부적 정,"학 교 시 설 사 용 대 가 법 인 회 계 세 입 처 리 부적 정 ◦ 대학시설 사용료 합계 40,000 천원 법인 회계 세입 처리 【사립학교법 제29조 제1항 및 제6항】 【 학교법인 창신대학교 】 ◦ 경고 -","학 교 시 설 사 용 대 가 법 인 회 계 세 입 처 리 부적 정; 대학시설 사용료 합계 40,000 천원 법인 회계 세입 처리 【사립학교법 제29조 제1항 및 제6항】 【 학교법인 창신대학교 】; 경고 -"
5,비상근 감사 보수 지급,비상근 감사 보수 지급 ◦ 비상근 감사,비상근 감사 보수 지급; 비상근 감사
2,"명에게 감사업무 보수 합계 24,900 천원 교비회계에서 지급","명에게 감사업무 보수 합계 24,900 천원 교비회계에서 지급 【사립학교법 제19조 제4항 및 제26조 제1항, 제29조 제1항 및 제6항, 사학기관 재무 ․ 회계 특례규칙 제15조 제2호】 【 창신대학교 】 ◦ 경고 -","명에게 감사업무 보수 합계 24,900 천원 교비회계에서 지급 【사립학교법 제19조 제4항 및 제26조 제1항, 제29조 제1항 및 제6항, 사학기관 재무 ․ 회계 특례규칙 제15조 제2호】 【 창신대학교 】; 경고 -"
4,명,"명 ◦ 시정 ( 회수 ) - 비상근 감 사2명 에 게 지급한 감사업무 보 수 합 계24,900천 원 을 회 수 하 여 교 비 회 계 에 세입조치하기 바람 연번","명; 시정 ( 회수 ) - 비상근 감 사2명 에 게 지급한 감사업무 보 수 합 계24,900천 원 을 회 수 하 여 교 비 회 계 에 세입조치하기 바람 연번"
6,이사장 국외출장 여 비 교비회계 집행,이사장 국외출장 여 비 교비회계 집행 ◦ 이사장의 국외출장비 총,이사장 국외출장 여 비 교비회계 집행; 이사장의 국외출장비 총
9,"회 합계 15,569 천원 교비회계에서 집행","회 합계 15,569 천원 교비회계에서 집행 【사립학교법 제29조 제1항 및 제6항】 【 학교법인 창신대학교 】 ◦ 경고 -","회 합계 15,569 천원 교비회계에서 집행 【사립학교법 제29조 제1항 및 제6항】 【 학교법인 창신대학교 】; 경고 -"
1,명,"명 ◦ 시정 - 교 비 회 계 에 서지 급 한 이사장 국외출장 여비 합계 15,569 천원을 교비회계로 전출하기 바람 【 창신대학교 】 ◦ 경고 -","명; 시정 - 교 비 회 계 에 서지 급 한 이사장 국외출장 여비 합계 15,569 천원을 교비회계로 전출하기 바람 【 창신대학교 】; 경고 -"
5,명,명,명
7,업무추진비 집행 부당,업무추진비 집행 부당 ◦ 명절 선물 용도로 업무추진비 과목에서 구입한 상품권 총,업무추진비 집행 부당; 명절 선물 용도로 업무추진비 과목에서 구입한 상품권 총
