연번,지적사항,주요내용(요약),처분요구
6,(월) ∼ 11.,(월) ∼ 11.,(월) ∼ 11.
13,"(월), (6일간)","(월), (6일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 (안) 【법인회계】 1. 수익사업체 춘해병원 자금 운용 부당 등 ◦ 2014.","(월), (6일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 (안) 【법인회계】 1. 수익사업체 춘해병원 자금 운용 부당 등; 2014."
4,부터 2017.,부터 2017.,부터 2017.
10,"까지 춘해병원의 수입액 합계 77,688,828천원 중 합계 5,683,000천원을 결산에 반영하지 않고 이사장 예금계좌 등 으로 이체 · 결산에 반영하지 않고 마련한 자금 중 일부는 의사 및 직원 총 42명에게 급여 보전 명목으로 합계 3,563,470천원을 현금 등 으 로 지 급 (세 금 신 고 누 락 및 원 천 징 수 해 야 할 근로소득세 1,457,710천원 미징수), 나머지 합계 2,119,530천원은 객관적 증빙없이 사용","까지 춘해병원의 수입액 합계 77,688,828천원 중 합계 5,683,000천원을 결산에 반영하지 않고 이사장 예금계좌 등 으로 이체 · 결산에 반영하지 않고 마련한 자금 중 일부는 의사 및 직원 총 42명에게 급여 보전 명목으로 합계 3,563,470천원을 현금 등 으 로 지 급 (세 금 신 고 누 락 및 원 천 징 수 해 야 할 근로소득세 1,457,710천원 미징수), 나머지 합계 2,119,530천원은 객관적 증빙없이 사용 ◦ 법인 감사 4명은 2014회계연도부터 2016 회계연도까지 춘해병원에 대한 계정별 원장 및 주 요 계 좌 의 거 래 내 역 등 을 확...","까지 춘해병원의 수입액 합계 77,688,828천원 중 합계 5,683,000천원을 결산에 반영하지 않고 이사장 예금계좌 등 으로 이체 · 결산에 반영하지 않고 마련한 자금 중 일부는 의사 및 직원 총 42명에게 급여 보전 명목으로 합계 3,563,470천원을 현금 등 으 로 지 급 (세 금 신 고 누 락 및 원 천 징 수 해 야 할 근로소득세 1,457,710천원 미징수), 나머지 합계 2,119,530천원은 객관적 증빙없이 사용; 법인 감사 4명은 2014회계연도부터 2016 회계연도까지 춘해병원에 대한 계정별 원장 및 주 요 계 좌 의 거 래 내 역 등 을 확 인 하 지 않 고 회계처리가 적정하게 이루어졌다고 이사회 보고 【사립학교법 제19조 제1항 및 제4항, 제27조 및 제29조 제3항, 사학기관 감사업무 처리 유의사항(사립대학제도과, 2015.3.17.), 【 학교법인 춘해학원 】; 통보 - 수익사업체 춘해병원 OOO , OOO 를 관련 인사규정에 따라 신분상 조치(중징계) 하기 바람; 시정(회수) - 수 익 사 업 체 춘 해 병 원 의 수 입 을 누 락 하 고 객 관 적 증빙없이 사용한 합계 2,119,530천원을 관련자들로부터 회수 하 여 법 인 수 익 사 업 회 계 에 세입조치하기 바람 (안) 사학기관 재무 ․ 회계규칙에 대한 특례규칙 제15조 제2호, 학교법인 춘해학원 정관 제32조 및 제33조, 국세기본법 제15조, 소득세법 제125조, 2007년 교육인적자원부 회계부분감사】 2. 관할청 未허가 차입 등; 2003.8.부터 2016.6.까지 춘해병원 임직원 급여 지급 명목 등으로 이사회 의결 및 교육부의 허가를 받지 않고 총 23회 합계 3,358,900천원 차입 【사립학교법 제16조 제1항, 제19조 제1항 및 제27조】 【 학교법인 춘해학원 】; 1번에 포함조치 - 2명 3. 법 인 세 환 급 금 교 비 회 계 등 지 연 전 출; 2014회계연도부터 2016회계연도까지 법인세 환급금(합계 286,979,040원)을 법인수 익사업회계로 환급받은 후 최장 245일 까지 지연하여 교비회계 등으로 전출 【사립학교법 제29조 제1항 및 제6항】 【 학교법인 춘해학원 】; 주의 - 3명; 통보 - 수익사업체 춘해병원 업무담당자인 O O O 를 관련 인 사 규 정 에 따 라 신 분 상 조 치 ( 경 고 ) 하 기바 람 【교비회계】 4. 업 무 수 당지 급부 적 정; 소속부서에서 본연의 업무를 수행한 교직원"
6,"명에게 업무수당 합계 2,730 천원 지급","명에게 업무수당 합계 2,730 천원 지급 【 춘해보건대학교 】 ◦ 경고 -","명에게 업무수당 합계 2,730 천원 지급 【 춘해보건대학교 】; 경고 -"
6,명,"명 ◦ 시정 ( 회수 ) - 부적정하게 지급한 업 무 수 당합 계 2 ,7 3","명; 시정 ( 회수 ) - 부적정하게 지급한 업 무 수 당합 계 2 ,7 3"
0,천 원 을 관 련 자 들 로 부 터 회수 (안),"천 원 을 관 련 자 들 로 부 터 회수 (안) 【사학기관 재무·회계 규칙 제4조, 춘해보건대 위임전결 규정】 하 여 교 비 회계에 세 입 조 치 하 기 바 람 5. 일 반 경 쟁 입 찰 대 상 수의계약 체결 ◦ 학교법인 춘해학원은 일반경쟁입찰 대 상인 용역 및 물품구매 계약","천 원 을 관 련 자 들 로 부 터 회수 (안) 【사학기관 재무·회계 규칙 제4조, 춘해보건대 위임전결 규정】 하 여 교 비 회계에 세 입 조 치 하 기 바 람 5. 일 반 경 쟁 입 찰 대 상 수의계약 체결; 학교법인 춘해학원은 일반경쟁입찰 대 상인 용역 및 물품구매 계약"
12,"건 ( 합 계 1,480,300 천원 ) 을 수의계약으로 체결","건 ( 합 계 1,480,300 천원 ) 을 수의계약으로 체결 ◦ 춘해보건대학교는 일반경쟁입찰 대상인 용역 계약","건 ( 합 계 1,480,300 천원 ) 을 수의계약으로 체결; 춘해보건대학교는 일반경쟁입찰 대상인 용역 계약"
5,"건 ( 합계 155,878 천원 ) 을 수의계 약으로 체결","건 ( 합계 155,878 천원 ) 을 수의계 약으로 체결 【사학기관 재무·회계 규칙 제35조】 【 학교법인 춘해학원 】 ◦ 경고 -","건 ( 합계 155,878 천원 ) 을 수의계 약으로 체결 【사학기관 재무·회계 규칙 제35조】 【 학교법인 춘해학원 】; 경고 -"
3,명,명 【 춘해보건대학교 】 ◦ 경고 -,명 【 춘해보건대학교 】; 경고 -
4,명,명,명
