연번,지적사항,주요내용(요약),처분요구
21,(월) ∼ 8.,(월) ∼ 8.,원문 본문 OCR 필요
25,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,법률자문료 집행 부적정,"법률자문료 집행 부적정 ◦ 자문에 대한 계약, 자문서 등 객관적인 자료 없이 법률사무소에 자문료 명목으로 22,000 천원 지급 【사학기관 재무·회계 규칙 제4조 및 제21조 제1항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 【학교법인 경복대학교】 ○ 경고 - 2명","법률자문료 집행 부적정; 자문에 대한 계약, 자문서 등 객관적인 자료 없이 법률사무소에 자문료 명목으로 22,000 천원 지급 【사학기관 재무·회계 규칙 제4조 및 제21조 제1항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 【학교법인 경복대학교】; 경고 - 2명"
2,교 육 용 기 본 재 산 未활용,"교 육 용 기 본 재 산 未활용 ◦ 교육용기본재산을 교육용으로 활용하지 않아 재산세 및 종합부동산세 합계 161,176천원 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조】 【경복대학교】 ○ 경고 - 2명 ○ 통보 - 교육용기본재산을 교육용으로 활용하고 불가능한 경우 매각 하여 교비회계에 세입 조치하기 바람 【 교비회계 】","교 육 용 기 본 재 산 未활용; 교육용기본재산을 교육용으로 활용하지 않아 재산세 및 종합부동산세 합계 161,176천원 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조】 【경복대학교】; 경고 - 2명; 통보 - 교육용기본재산을 교육용으로 활용하고 불가능한 경우 매각 하여 교비회계에 세입 조치하기 바람 【 교비회계 】"
3,산학협력단 비용 교비회계 집행,"산학협력단 비용 교비회계 집행 ◦ 산학협력단이 부담해야 할 비용 합계 1,492천원 교비회계에서 지출 【경복대학교】 ○ 경고 - 3명 연번 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제21조 제2항, 산업교육진흥 및 산학연협력촉진에 관한 법률 제32조】 ○ 시정 - 산학협력단 소관 비용 합계 1,492천원을 산학협력단회계에서 교비회계로 전출하기 바람","산학협력단 비용 교비회계 집행; 산학협력단이 부담해야 할 비용 합계 1,492천원 교비회계에서 지출 【경복대학교】; 경고 - 3명 연번 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제21조 제2항, 산업교육진흥 및 산학연협력촉진에 관한 법률 제32조】; 시정 - 산학협력단 소관 비용 합계 1,492천원을 산학협력단회계에서 교비회계로 전출하기 바람"
4,시설공사 법정 경비 未정산,"시설공사 법정 경비 未정산 ◦ 시설공사 7건의 준공대가를 지급하면서 업체가 사용불가 항목에 지출하였거나 사용실적을 확인할 수 없는 산업안전 보건관리비 합계 65,947천원 未정산 【사학기관 재무·회계 규칙 제4조, 산업안전보건법 제30조 제1항, 건설업 산업안전보건관리비 계상 및 사용기준 제7조 제1항 및 제8조】 【경복대학교】 ○ 경고 - 2명 ○ 시정(회수) - 정산하지 않은 산업 안전보건관리비 합계 65,947천원을 관련 업체로부터 회수하여 교비회계에 세입조치 하기 바람","시설공사 법정 경비 未정산; 시설공사 7건의 준공대가를 지급하면서 업체가 사용불가 항목에 지출하였거나 사용실적을 확인할 수 없는 산업안전 보건관리비 합계 65,947천원 未정산 【사학기관 재무·회계 규칙 제4조, 산업안전보건법 제30조 제1항, 건설업 산업안전보건관리비 계상 및 사용기준 제7조 제1항 및 제8조】 【경복대학교】; 경고 - 2명; 시정(회수) - 정산하지 않은 산업 안전보건관리비 합계 65,947천원을 관련 업체로부터 회수하여 교비회계에 세입조치 하기 바람"
5,전기 및 정보통신 공사 未분리 발주,"전기 및 정보통신 공사 未분리 발주 ◦ 시설공사 6건(계약금액 합계 63,126,700천원) 을 진행하면서 전기 및 정보통신공사를 포함 하여 일괄 발주·계약 【전기공사업법 제11조 제1항, 정보통신공사업법 제25조】 【경복대학교】 ○ 경고 - 2명","전기 및 정보통신 공사 未분리 발주; 시설공사 6건(계약금액 합계 63,126,700천원) 을 진행하면서 전기 및 정보통신공사를 포함 하여 일괄 발주·계약 【전기공사업법 제11조 제1항, 정보통신공사업법 제25조】 【경복대학교】; 경고 - 2명"
6,업무용차량 과태료 교비회계 집행,"업무용차량 과태료 교비회계 집행 ◦ 직원 2명이 총 13회에 걸쳐 교통법규를 위반해 업무용 차량에 부과된 과태료 합계 800천원 교비회계에서 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조 제2항】 【경복대학교】 ○ 경고 - 4명 ○ 시정(회수) - 교비회계에서 납부 한 과태료 합계 800 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치하기 바람 연번","업무용차량 과태료 교비회계 집행; 직원 2명이 총 13회에 걸쳐 교통법규를 위반해 업무용 차량에 부과된 과태료 합계 800천원 교비회계에서 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조 제2항】 【경복대학교】; 경고 - 4명; 시정(회수) - 교비회계에서 납부 한 과태료 합계 800 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치하기 바람 연번"
7,개인차량 유류비 등 교비회계 집행,"개인차량 유류비 등 교비회계 집행 ◦ 교통보조비를 지급받는 교직원 4명의 개인차량 유류비 합계 23,404천원을 교비회계에서 별도 지급 ◦ 개인차량 수리비 등 합계 1,593천원을 교비회 계에서 지급 【사학기관 재무·회계 규칙 제4조 및 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조】 【경복대학교】 ○ 경고 - 6명 ○ 시정(회수) - 별도로 지급한 개인 차량 유류비 합계 23,404천원을 당사 자들로부터 회수하 여 교비회계에 세입 조치하고, - 개인차량 수리비 등 합계 1,593천원을 당사자로부터 회수 하여 교비회계에 세입...","개인차량 유류비 등 교비회계 집행; 교통보조비를 지급받는 교직원 4명의 개인차량 유류비 합계 23,404천원을 교비회계에서 별도 지급; 개인차량 수리비 등 합계 1,593천원을 교비회 계에서 지급 【사학기관 재무·회계 규칙 제4조 및 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조】 【경복대학교】; 경고 - 6명; 시정(회수) - 별도로 지급한 개인 차량 유류비 합계 23,404천원을 당사 자들로부터 회수하 여 교비회계에 세입 조치하고, - 개인차량 수리비 등 합계 1,593천원을 당사자로부터 회수 하여 교비회계에 세입 조치하기 바람"
8,지식재산권 관리 부적정,"지식재산권 관리 부적정 ◦ 지식재산권 취득·관리 및 기술의 이전 등에 관한 자체규정 未제정 ◦ 교원 1명이 직무발명을 개인명의로 출원 【발명진흥법 제10조 제1항 및 제12조, 경복대학교 산학협력단 정관 제4조, 산업교육진흥 및 산학연협력촉진에 관한 법률 제35조 제4항】 【경복대학교】 ○ 경고 - 4명 ○ 통보 - 지식재산권 관리 등에 관한 자체규정을 마련 하고, 개인명의로 출원하여 관리하고 있는 직무발명 특허를 해당 규정에 따라 처리하기 바람","지식재산권 관리 부적정; 지식재산권 취득·관리 및 기술의 이전 등에 관한 자체규정 未제정; 교원 1명이 직무발명을 개인명의로 출원 【발명진흥법 제10조 제1항 및 제12조, 경복대학교 산학협력단 정관 제4조, 산업교육진흥 및 산학연협력촉진에 관한 법률 제35조 제4항】 【경복대학교】; 경고 - 4명; 통보 - 지식재산권 관리 등에 관한 자체규정을 마련 하고, 개인명의로 출원하여 관리하고 있는 직무발명 특허를 해당 규정에 따라 처리하기 바람"
