연번,지적사항,주요내용(요약),처분요구
4,(월) ∼ 12.,(월) ∼ 12.,원문 본문 OCR 필요
8,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 7명 (공인회계사 4명 포함) 2. 감사 결과 1. 수익용 건물 신축 설 계 용 역추 진부 적 정 ◦ 사업계획수립 및 설계용역단계에서 건축 계획 등에 대한 검토를 충분히 하지 않고 설계도서를 납품 받은 후 용도 변경 등을 추진함으로써 설계변경 비용 98,000 천원 낭비 【사학기관 재무·회계 규칙 제4조】 【 학교법인계명대학교 】 ◦ 경고 -","(금), (5일간); 감사인원 : 7명 (공인회계사 4명 포함) 2. 감사 결과 1. 수익용 건물 신축 설 계 용 역추 진부 적 정; 사업계획수립 및 설계용역단계에서 건축 계획 등에 대한 검토를 충분히 하지 않고 설계도서를 납품 받은 후 용도 변경 등을 추진함으로써 설계변경 비용 98,000 천원 낭비 【사학기관 재무·회계 규칙 제4조】 【 학교법인계명대학교 】; 경고 -"
3,명 2. 총장 이사회 참석 여 비등지 급부 적 정,"명 2. 총장 이사회 참석 여 비등지 급부 적 정 ◦ 교내에서 개최된 이사회에 참석한 이사에게 참석 여비 등 합계 7,750 천원 지급 【사립학교법 제26조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제4조】 【 학교법인계명대학교 】 ◦ 경고 -","명 2. 총장 이사회 참석 여 비등지 급부 적 정; 교내에서 개최된 이사회에 참석한 이사에게 참석 여비 등 합계 7,750 천원 지급 【사립학교법 제26조, 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제4조】 【 학교법인계명대학교 】; 경고 -"
5,명,"명 ◦ 시정 ( 회수 ) - 부적정하게 지급한 이사회 참석 여비 등 합계 7,750 천원을 당사자로부터 회수 하 여 법 인 회 계 에 세입 조치하기 바람 【 학교회계 】 3. 의과대학 및 간호 대학 직원 운용 부적정 ◦ 의과대학 및 간호대학에 대학 소속이 아닌 계명대학교 부속병원 ( 대구동산병원 ) 직원만을 배치하여 대학업무 수행 【 계명대학교 】 ◦ 기관경고 ◦ 통보 【사립학교법 제70조의2 제1항, 학교법인 계명대학교 정관 제93조 및 제96조, 계명대학교 학칙 제3조】 - 정관 등 관련규정에 맞게 의과대학 및 간호대학 직원을 운용하기 바람 4. 일반경쟁입찰 대상...","명; 시정 ( 회수 ) - 부적정하게 지급한 이사회 참석 여비 등 합계 7,750 천원을 당사자로부터 회수 하 여 법 인 회 계 에 세입 조치하기 바람 【 학교회계 】 3. 의과대학 및 간호 대학 직원 운용 부적정; 의과대학 및 간호대학에 대학 소속이 아닌 계명대학교 부속병원 ( 대구동산병원 ) 직원만을 배치하여 대학업무 수행 【 계명대학교 】; 기관경고; 통보 【사립학교법 제70조의2 제1항, 학교법인 계명대학교 정관 제93조 및 제96조, 계명대학교 학칙 제3조】 - 정관 등 관련규정에 맞게 의과대학 및 간호대학 직원을 운용하기 바람 4. 일반경쟁입찰 대상 용 역수 의 계 약체 결; 일반경쟁 입찰대상인 용역"
13,"건 ( 계약 금액 합계 11,315,279 천원 ) 을 수의계약 체결","건 ( 계약 금액 합계 11,315,279 천원 ) 을 수의계약 체결 【사학기관 재무·회계 규칙 제35조】 【 계명대학교 】 ◦ 경징계 -","건 ( 계약 금액 합계 11,315,279 천원 ) 을 수의계약 체결 【사학기관 재무·회계 규칙 제35조】 【 계명대학교 】; 경징계 -"
6,명,명 ◦ 경고 -,경고
2,명,명 ◦ 통보 ( 문책 ) -,명; 통보 ( 문책 ) -
4,명 ( 경징계 ) 5. 등 록 금 초 과 장 학 금 지 급,명 ( 경징계 ) 5. 등 록 금 초 과 장 학 금 지 급 ◦ 학생,명 ( 경징계 ) 5. 등 록 금 초 과 장 학 금 지 급; 학생
11,"명에게 등록금 ( 합계 3,030,900 원 ) 보다 많은 장학금 ( 합계 39,357,900 원 ) 지급","명에게 등록금 ( 합계 3,030,900 원 ) 보다 많은 장학금 ( 합계 39,357,900 원 ) 지급 【국가장학사업 운영규정(교육부 훈령)제13조 제2항, 2014~2015년도 한국장학재단 국가장학금 시행계획 및 업무처리기준, 계명대학교 장학 규정 제10조 제1항】 【 계명대학교 】 ◦ 경고 -","명에게 등록금 ( 합계 3,030,900 원 ) 보다 많은 장학금 ( 합계 39,357,900 원 ) 지급 【국가장학사업 운영규정(교육부 훈령)제13조 제2항, 2014~2015년도 한국장학재단 국가장학금 시행계획 및 업무처리기준, 계명대학교 장학 규정 제10조 제1항】 【 계명대학교 】; 경고 -"
6,명 6. 교 내 연 구 과 제 수 행 ‧ 관 리 부 적 정,"명 6. 교 내 연 구 과 제 수 행 ‧ 관 리 부 적 정 ◦ 교내연구비 10,000 천원을 지원받은 의학과 교수","명 6. 교 내 연 구 과 제 수 행 ‧ 관 리 부 적 정; 교내연구비 10,000 천원을 지원받은 의학과 교수"
1,명이 연구결과물을 제출하지 않고 의원면직,명이 연구결과물을 제출하지 않고 의원면직 【 계명대학교 】 ◦ 경고 -,명이 연구결과물을 제출하지 않고 의원면직 【 계명대학교 】; 경고 -
1,명,명 ◦ 교내연구비를 지원받은,명; 교내연구비를 지원받은
13,명의 교수가 기한을 최소,명의 교수가 기한을 최소,원문 본문 OCR 필요
