연번,지적사항,주요내용(요약),처분요구
1,법인 체납 세금 교비회계 추심 ◦,"- 학교법인 아신학원 및 고구려대학교는 2015. 3. 5. 법인 수익사업체인 ○○ 재산세 (건축물) 체납금 합계 20,569,260원을 교비회계 계좌에서 추심되게 하는 등 【 붙임 】 “수익사업체 ( ○○ ) 체납 세금 교비회계 추심 현황”과 같이 2015. 3. 5.부터 2015. 11. 30.까지 총 3회에 걸쳐 위 ○○ 재산세 등 체납 세금 합계 61,584,540원 * 을 교비회계 계좌에서 추심되게 한","* 위 법인은 법인 체납 세금 관련 위 추심액을 2019. 5. 감사일 현재까지 교비회계로 未전출 【학교법인 아신학원】; 10번에 포함조치 (1명); 경고(2명); 시정 -; ; ( 수 익 사 업 체 ) 재산세 등 체납금 추심액 합계 6 1, 5 8 4 , 54 0 원 을 법인회계에서 교비 회계로 전출하기 바람 【고구려대학교】; 경징계(3명); 통보(문책)(2명) <별도조치>; 고발 【 붙임 】 수익사업체 (; ; ) 체납 세금 교비회계 추심 현황 (단위:원) 연번 과세물건 과세구분 추심액 추심일 비 고 1; ; 재산세 (건축물) 20,569,260 2015.3.5. ․등록금회계: 25,178,375원 ․비등록금회계: 36,406,165원 재산세 (토지) 4,287,440 주민세 (재산분) 1,492,210 재산세 (건축물) 13,085,1…"
2,사학진흥기금(융자금) 연체이자 교비회계 집행 ◦,"- 학교법인 아신학원 및 고구려대학교는 2011. 6. □□ 으로 부터 10년 균등상환 조건 (채무자-법인, 이자율 연 4.42%, 연체 이자율 연 15%) 으로 사학진흥기금 3,020백만원을 융자받아 ‘학생회관 건립’을 추진하면서, 2013년 2분기 해당금 101,338,900원을 기한내 (2013.6.30.) 상환하지 않아 발생한 연체이자 합계 2,144,100원을 교비회계에서 집행하는 등 【 붙임 】 “사학진흥기금(융자금) 연체이자 교비회계 납부 현황”과 같이 2013. 6.부터 2016. 6.까지 기한내 상환 하지 않아 발생한 총 9건의 연체이자 합계 15,3...","【 학 교 법 인아 신 학 원 】; 경고(3명) 【 고구려대학교】; 경고(4명) 【 붙임 】 사학진흥기금(융자금) 연제이자 교비회계 납부현황 (단위 : 원) 사업명 상환내역 연체이자 융자일자 기한일자 상환일 상환금 학생회관 신축 2011. 7. 28. 2013. 6. 30. 2013. 7. 31. 101,338,900 2,144,100 2011. 7. 28. 2013. 12. 20. 2014. 1. 17. 88,766,430 1,009,700 2011. 7. 28. 2014. 12. 20. 2015. 1. 20. 86,352,210 1,793,540 2011. 7. 28. 2015. 3. 31. 2015. 4. 29. 88,686,080 1,044,490 2011. 7. 28. 2015. 6. 30. 2015. 8. 4. 88,954,060…"
3,A 보수 지급 등 부적정 ◦,"- 학교법인 아신학원은 2017. 3. A의 3월 보수 3,000천원을 수익사업회계 ( ○○ ) 에서 지급하는 등 【 붙임 】 “A 보수 지급 내역”과 같이 2017. 3.부터 2019. 2. (24개월) 까지 총 4회에 걸쳐 A에게 4개월 보수 합계 12,000천원은 수익사업회계 에서 지급하고, 20개월 보수 합계 60,000천원은 미지급 비용 (부채) 으로 회계처리한","경고(3명); 시정(회수) - A에게 지급한 보수 합계 12,000천원을 회 수 하여 법인회계에 세입조치 하기 바람; 통보 - 미지급 비용(부채) 으로 부적정하게 회계처리한 A의보 수 합계 60,000천원을 ‘전기오류 수정이익’ 으로 회계처리하기 바람 【 붙임 】 비상근 A 보수 지급내역 (단위: 원) 연번 지급연월 지급액 미지급액 비 고 1 2017. 3. 3,000,000 미지급액은 수익사업 회계의 미지급 비용 으로 부채 처리 2 2017. 4. 3,000,000 3 2017. 5. 3,000,000 4 2017. 6. 3,000,000 5 2017. 7. 3,000,000 6 2017. 8. 3,000,000 7 2017. 9. 3,000,000 8 2017. 10. 3,000,000 9 2017. 11. 3,000,000 10 201…"
4,B 등 개인차량 수리비 법인회계 집행 ◦,"- 학교법인 아신학원은 2016. 9. 29. B의 개인차량 수리비 합계 127,000원을 법인회계에서 집행하는 등 【 붙임 】 “B 및 A 개인차량 수리비 법인회계 집행 현황”과 같이 2016. 9.부터 2019. 1.까지 총 17회에 걸쳐 A 및 B 개인 차량 수리비 합계 6,804,590원을 법인회계에서 집행한","경고(3명); 시정(회수) - 부적정하게 집행한 B 및 A 개인차량 수리비 합계 4,271,590원을 B 및 A로부터 회수 하여 법인회계에 세입조치 하기 바람 【 붙임 】 B 및 A 개인차량 수리비 법인회계 집행 현황 ( 단위 : 원 ) 연번 일자 수리비 정비업체 차량번호 사용자 비고 1 2016. 9. 29. 127,000 - - B 미반환 2 2017. 7. 18. 140,000 - - B 3 2017. 8. 8. 1,474,000 - - B 4 2017. 11. 13. 1,030,590 - - B 5 2018. 1. 8. 410,000 - - B 6 2018. 1. 12. 1,090,000 - - A 소계 4,271,590 7 2018. 4. 19. 61,000 - - A 합계 2,533,000원 반환 (2018.12.27. 510천원…"
5,B 개인차량 유류비 법인회계 집행 ◦,"- 학교법인 아신학원은 2016. 8. 20. B이(가) ‘ △△ ’에서 개인 차량에 주유하고 수익사업체인 ○○ 법인카드로 결제한 유류비 합계 47,000원을 수익사업회계 복리후생비 과목에서 ‘직원 식비’로 집행하는 등 【 붙임 】 “B 개인차량 유류비 법인 회계 부당 집행 현황”과 같이 2016. 8.부터 2019. 2.까지 총 37회에 걸쳐 B의 개인차량에 주유하고 법인카드로 결제한 유류비 합계 2,705,000원을 복리후생비 과목에서 ‘직원 식비’로 집행한","경고(2명); 시정(회수) - 법인회계에서 부당 하게 집행한 개인 차량 유류비 합계 2,705,000원 을 B로 부터 회 수 하여 법인회계에 세입조치 하기 바람; 통보(문책)(1명) 【 붙임 】 B 개인차량 유류비 법인회계 부당 집행 현황 (단위: 원) 연번 일 자 사용처 금 액 비 고 1 2016. 8. 20. △△ 47,000 복리후생비(직원식비 처리) 2 2016. 8. 23. 57,000 3 2016. 12. 21. 80,000 4 2017. 1. 27. 74,000 5 2017. 6. 23. 86,000 6 2017. 10. 6. 67,000 7 2017. 10. 14. 70,000 8 2017. 10. 31. 80,000 9 2017. 11. 1. 91,000 10 2017. 11. 6. 60,000 11 2017. 11. 18.…"
6,B 수익사업체(,"- 학교법인 아신학원은 2016. 8. 20. B (수익사업체 직원) 가 광주 광산구 소재 ‘ ▷▷ ‘에서 용도불명으로 사용하고 수익사업체인 ○○ 법인카드로 결제한 식비 110천원에 대하여 공적 사용여부의 확인없이 복리후생비 과목에서 ’직원 식비‘로 회계처리 하는 등 【 붙임 】 “B 법인카드 부당 사용 내역”과 같이 2016. 8.부터 2019. 4.까지 총 223회에 걸쳐 위 B이(가) 용도불명 및 사적용도로 사용 하고 수익사업체인 ○○ 법인카드로 결제한 식비 등 합계 13,541,040원에 대하여 공적 사용여부 확인없이 복리 후생비 과목에서 ’직원 식비‘ 등으로...","경고(2명); 시정(회수) - 사적용도 등 부당 하 게 사 용 한 식 비 등 합계 13,541,040원을 B로부터 회수하여 법인회계에 세입 조치 하기 바람; 통보(문책)(1명); 통보 - 수익사업체 (; ; ) 자금을 사적용 도 로 사 용 한 B를 회계 및 관리 업무에서 배제 하기 바람 <별도조치>; 고발 【 붙임 】 B 법인카드 사적 사용 내역 (단위:원) 연번 일 자 계정과목 사용처 금액 비고 1 2016. 8. 20. 복리후생비 - 110,000 용도불명 2 2016. 11. 4. 복리후생비 - 100,000 용도불명 3 2017. 1. 13. 복리후생비 - 100,000 용도불명 4 2017.1. 17. 복리후생비 - 99,000 용도불명 5 2017. 1. 18. 복리후생비 - 108,000 용도불명 6 2017. 1. 26. 복리…"
7,수익사업체(,"- 학교법인 아신학원 수익사업체 ( ○○ ) 관리인 및 고구려대학교 C은(는) 2016. 11. 28. ‘▽▽주유소’에서 본인차량에 주유 하고 수익사업체 ( ○○ ) 법인카드로 유류비 합계 50,000원을 결제하는 등 【 붙임 】 “수익사업체 ( ○○ ) 법인카드 사적 사용 현황”과 같이 2016. 11. 26.부터 2019. 4. 27.까지 위 C은(는) 총 53회에 걸쳐 사적 용도로 사용한 유류비 등 합계 3,593,300 원을 위 법인카드로 결제한 사실이 있고, - 한편, 학교법인 아신학원은 2016. 11.부터 2019. 4.까지 사전 지출품의 등 공적사용 여...","【 학 교 법 인 아 신 학 원 】; 경고(3명) 【 고구려대학교】; 통보(문책)(1명); 시정(회수) - 수익사업체 법인 카드를 사적으로 사용한 C(으 )로 부터 합계 3,593,300원을 회 수 하여 법인회계에 세입조치 하기 바람 <별도조치>; 고발 【 붙임 】 수익사업체(; ; ) 법인카드 사적 사용 현황 ( 단위 : 원 ) 연번 결제일자 업체명 결제금액 업 종 업체 소재지 1 2016 26 - 50,000 - - 2 2016 10 - 115,000 - - 3 2016 14 - 26,920 - - 4 2017 30 - 50,000 - - 5 2017 25 - 280,000 - - 6 2017 08 - 35,600 - - 7 2017 08 - 35,600 - - 8 2017 19 - 95,100 - - 9 2017 02 - 50,000…"
8,조교 학부과정 강의 배정 ◦,- 고구려대학교는 2018. 9. D에게 2018학년도 2학기 ◇과 (학부과정) ‘ㄱ’ 교과목 강의를 배정하는 등 【붙임】“D 학부 강의 배정 현황”과 같이 2018학년도 2학기부터 2019 학년도 1학기까지 위 D에게 ‘ㄱ’ 및 ‘ㄴ’ 등 2개 교과목 강의를 배정한,경고(4명) 【 붙임 】 D 학부 강의 배정 현황 연번 연도 학기 담당 과목 시수 출강학과 1 2018 2 ㄱ 2 ◇과 2 2019 1 ㄴ 3 ◇과 감사결과 처분서 기관명 : 고구려대학교
9,실험실습비 사적사용 등 ◦,"- 고구려대학교는 2016. 3. 25. ’16학년도 학과별 실험 실습비를 지원하면서 각 학과장으로부터 실험실습비 사용계획서를 제출받지 않고 과별 학생수에 따라 실험 실습비를 배분하는 등 【붙임1】“실험실습비 사용계획서 未제출 내역”과 같이 2016학년도부터 2018학년도까지 실험실습비 사용계획서를 제출받지 않고 총 18회에 걸쳐 과별 학생수에 따라 실험실습비 합계 139,476,400원을 배분한 사실이 있고 〈①관련〉 ◦ 경고(2명) 〈②관련〉 ◦ 경고(18명) ◦ 통보 - 정산하지 않은 실험 실습비 합계 139,476 천원에 대해 정산을 실시하고 그에 따라 조치하...","<별도조치>; 고발 【 붙임1 】 실험실습비 사용계획서 未제출 내역 연도 지급일자 적요 거래처명 지급액 2016 2016.03.25 2016학년도 1학기 학과별 실험실습비 지급 - 40,800,000 2016.08.31 2016-1학기 실험.실습비 3차 지원비 지급 - 41,700,000 소 계 82,500,000 2017 2017.05.08 2016-2학기 학과별 실험.실습(12월) 지원비 지급 - 2,090,000 2017.05.08 2016-2학기 학과별 실험.실습(1월) 지원비 지급 - 528,000 2017.05.08 2016-2학기 학과별 실험.실습(2월) 지원비 지급 - 264,000 2017.05.08 2017-1학기 학과별 실험.실습(3월) 지원비 지급 - 3,905,000 2017.05.08 2017-1학기 학과별 실험.실…"
10,손해배상채권 未 반영 합산재무제표 작성·제출 ◦,"- 학교법인 아신학원 및 고구려대학교는 2013. 11. 28. 교비회계 횡령에 따른 손해배상 판결이 확정됨에 따라 B 등으로부터 반환받아야 할 손해배상금 합계 【학 교 법 인 아 신 학 원 】 < 고 등 교 육 정 책 실 별도조치>(1명) 【고구려대학교】 ◦ 중징계(2명) ◦ 통보(문책)(1명) ◦ 통보 - 법원판결 에 따른 손해 배상금 1,777,860천원, 지 연 이 자 1,908,642천 원 합계 3,545,897천원 (기준일: ’19.2.28.)에 대 하 여즉 시재 무 제 표 에 반영하고, - 정당한 사유없이 정정한 210,000천원을 미수금에 계상하기 바람...","※ 2011회계연도 결산 시 B 횡령 등으로 인한 차변․대변의 차액을 맞추기 위해 임의로 970,000천원을 미수금으로 계상 【 붙임 】 재무제표 미반영 미수금 내역 (단위 : 원) 채권 발생 시점 정상 반영금액 법원판결 확정에 따른 지연이자 등 실제 반영금액 차액 이자율 지연일수 지연이자* 상환액 2013.06.13. 1,777,860,000 - - - - - - 2013.11.28. 1,819,008,677 5% 168 41,158,677 - - 1,819,008,677 2014.02.28. 1,908,642,304 20% 92 89,623,627 - 201,887,670 1,706,754,634 2015.02.28. 2,264,214,304 20% 365 355,572,000 - 201,887,670 2,062,326,634 2016.…"
