연번,지적사항,주요내용(요약),처분요구
24,(월) ∼ 4.,(월) ∼ 4.,원문 본문 OCR 필요
28,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,교육용기본재산 未활용,"교육용기본재산 未활용 ◦ 교육용기본재산을 목적외로 사용해 발생한 재산세 합계 129,297,530원을 교비회계에서 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조 제2항】 【김포대학교】 ○ 경고 - 4명 ○ 통보 - 교육용기본재산을 교육용도로 활용하고 불가능한 경우 매각 하여 교비회계에 세입조치하기 바람","교육용기본재산 未활용; 교육용기본재산을 목적외로 사용해 발생한 재산세 합계 129,297,530원을 교비회계에서 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조 제2항】 【김포대학교】; 경고 - 4명; 통보 - 교육용기본재산을 교육용도로 활용하고 불가능한 경우 매각 하여 교비회계에 세입조치하기 바람"
2,학교시설 사용료 법인회계 세입,"학교시설 사용료 법인회계 세입 ◦ 교내 입점은행이 납부한 학교시설 사용료 120,000천원을 법인회계에 세입처리 후 일부 (59,093천원) 법인 운영비로 사용 【사립학교법 제29조 제1항 및 제6항, 같은 법 시행령 제13조 제1항】 【학교법인 김포대학】 ○ 경고 - 2명 ○ 통보 - 법인회계에 세입처리 하여 법인 운영비로 사용한 발전기금 합계 59,093천원을 교비 회계로 전출하기 바람 연번 【 교비회계 】","학교시설 사용료 법인회계 세입; 교내 입점은행이 납부한 학교시설 사용료 120,000천원을 법인회계에 세입처리 후 일부 (59,093천원) 법인 운영비로 사용 【사립학교법 제29조 제1항 및 제6항, 같은 법 시행령 제13조 제1항】 【학교법인 김포대학】; 경고 - 2명; 통보 - 법인회계에 세입처리 하여 법인 운영비로 사용한 발전기금 합계 59,093천원을 교비 회계로 전출하기 바람 연번 【 교비회계 】"
3,적립금 2분의,적립금 2분의,원문 본문 OCR 필요
1,초과 증권투자,"초과 증권투자 ◦ 증권 취득한도인 2분의 1을 초과하는 적립금 14,556,478천원(전체 적립금의 55%)을 유가 증권에 투자 【사립학교법 제32조의","초과 증권투자; 증권 취득한도인 2분의 1을 초과하는 적립금 14,556,478천원(전체 적립금의 55%)을 유가 증권에 투자 【사립학교법 제32조의"
2,"제3항, 자본시장과 금융투자업에 관한 법률 제4조 제2항】","제3항, 자본시장과 금융투자업에 관한 법률 제4조 제2항】 【김포대학교】 ○ 경고 - 1명","제3항, 자본시장과 금융투자업에 관한 법률 제4조 제2항】 【김포대학교】; 경고 - 1명"
4,장학금 지급 부적정,"장학금 지급 부적정 ◦ 지급기준 미달 학생 863명에게 성적향상 장학금 등 합계 610,072천원 지급 【김포대학교 장학규정 제10조 제1항 제1호】 【김포대학교】 ○ 경고 - 9명 ○ 통보 - 향후 장학금은 관련 규정에 맞게 지급 하기 바람","장학금 지급 부적정; 지급기준 미달 학생 863명에게 성적향상 장학금 등 합계 610,072천원 지급 【김포대학교 장학규정 제10조 제1항 제1호】 【김포대학교】; 경고 - 9명; 통보 - 향후 장학금은 관련 규정에 맞게 지급 하기 바람"
5,지식재산권 관리 부적정,"지식재산권 관리 부적정 ◦ 지식재산권 취득·관리 규정 未제정 ◦ 교원 5명이 직무발명 7건을 개인명의로 출원· 등록 【산업교육진흥 및 산학연협력촉진에 관한 법률 제35조 제4항, 발명진흥법 제10조 제1항 및 제12조】 【김포대학교】 ○ 경고 - 1명 ○ 주의 - 5명 ○ 시정 - 지식재산권 취득·관리 규정을 마련하고, 직무발명 7건에 대한 산학협력단 명의로의 변경 여부를 검토 하기 바람 연번","지식재산권 관리 부적정; 지식재산권 취득·관리 규정 未제정; 교원 5명이 직무발명 7건을 개인명의로 출원· 등록 【산업교육진흥 및 산학연협력촉진에 관한 법률 제35조 제4항, 발명진흥법 제10조 제1항 및 제12조】 【김포대학교】; 경고 - 1명; 주의 - 5명; 시정 - 지식재산권 취득·관리 규정을 마련하고, 직무발명 7건에 대한 산학협력단 명의로의 변경 여부를 검토 하기 바람 연번"
6,노조활동 관련 경비 집행 부적정,"노조활동 관련 경비 집행 부적정 ◦ 노조활동 관련 경비 합계 28,000천원을 교비 회계에서 집행 【노동조합 및 노동관계 조정법 제81조 제4호, 사립학교법 시행령 제13조 제2항】 【김포대학교】 ○ 경고 - 3명 ○ 통보 - 향후 노조활동 관련 경비를 교비회계에서 집행하는 일이 없도록 하기 바람","노조활동 관련 경비 집행 부적정; 노조활동 관련 경비 합계 28,000천원을 교비 회계에서 집행 【노동조합 및 노동관계 조정법 제81조 제4호, 사립학교법 시행령 제13조 제2항】 【김포대학교】; 경고 - 3명; 통보 - 향후 노조활동 관련 경비를 교비회계에서 집행하는 일이 없도록 하기 바람"
