연번,지적사항,주요내용(요약),처분요구
11,(월) ∼ 12.,(월) ∼ 12.,원문 본문 OCR 필요
15,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번"
1,이사회 未의결 제주연수원 증축,"이사회 未의결 제주연수원 증축 ○ 기본재산인 제주연수원에 대한 증축·리모 델링 사업 계획을 이사회 심의 없이 진행 【사립학교법 제16조, 학교법인 한별학숙 정관 제7조 제2항】 【대구과학대학교】 ◦경고 - 4명","이사회 未의결 제주연수원 증축; 기본재산인 제주연수원에 대한 증축·리모 델링 사업 계획을 이사회 심의 없이 진행 【사립학교법 제16조, 학교법인 한별학숙 정관 제7조 제2항】 【대구과학대학교】; 경고 - 4명"
2,제주연수원 객실 사용료 未징수,"제주연수원 객실 사용료 未징수 ○ 제주연수원 객실 사용료 합계 3,910천원 未 징수 【사학기관 재무·회계 규칙 제4조 및 제6조, 대구과학대학교 제주연수원 관리·운영 규정 제9조】 【대구과학대학교】 ◦경고 - 3명 ◦시정(회수) - 未징 수 한 제주 연 수원 사용료 합계 3,910 천원을 당사자들 로부터 회수하여 교비회계에 세입 조치하기 바람","제주연수원 객실 사용료 未징수; 제주연수원 객실 사용료 합계 3,910천원 未 징수 【사학기관 재무·회계 규칙 제4조 및 제6조, 대구과학대학교 제주연수원 관리·운영 규정 제9조】 【대구과학대학교】; 경고 - 3명; 시정(회수) - 未징 수 한 제주 연 수원 사용료 합계 3,910 천원을 당사자들 로부터 회수하여 교비회계에 세입 조치하기 바람"
3,제주연수원 객실 사용료 부외계좌 등 관리,제주연수원 객실 사용료 부외계좌 등 관리 ○ 2011.,제주연수원 객실 사용료 부외계좌 등 관리; 2011.
7,부터 2013.,부터 2013.,원문 본문 OCR 필요
7,"까지 징수한 제주연수원 객실 사용료 합계 22,890천원을 2014.","까지 징수한 제주연수원 객실 사용료 합계 22,890천원을 2014.",교육
1,까지 부외계좌로 관리,"까지 부외계좌로 관리 【사학기관 재무·회계 규칙 제4조 및 제6조, 대구과학대학교 제주연수원 관리·운영 규정 제9조】 【대구과학대학교】 ◦경고 - 3명 연번","까지 부외계좌로 관리 【사학기관 재무·회계 규칙 제4조 및 제6조, 대구과학대학교 제주연수원 관리·운영 규정 제9조】 【대구과학대학교】; 경고 - 3명 연번"
4,관사 관리비 등 교비회계 집행 부적정,"관사 관리비 등 교비회계 집행 부적정 ○ 교직원에게 관사로 제공된 아파트의 관리비 등 합계 9,307천원 교비회계에서 집행 【사학기관 재무·회계 규칙 제4조, 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조】 【대구과학대학교】 ◦경고 - 7명 ◦시정(회수) - 부적정하게 지급한 관사관리비 등 합계 9,307천원을 당사자 로부터 회수하여 교비회계에 세입 조치하기 바람","관사 관리비 등 교비회계 집행 부적정; 교직원에게 관사로 제공된 아파트의 관리비 등 합계 9,307천원 교비회계에서 집행 【사학기관 재무·회계 규칙 제4조, 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조】 【대구과학대학교】; 경고 - 7명; 시정(회수) - 부적정하게 지급한 관사관리비 등 합계 9,307천원을 당사자 로부터 회수하여 교비회계에 세입 조치하기 바람"
5,출장여비 과다 지급,"출장여비 과다 지급 ○ 관용차량을 이용해 출장을 실시한 교직원 5명에게 출장여비 합계 410천원 과다 지급 【사학기관 재무·회계 규칙 제4조, 대구과학대학교 교직원 여비 규정 제6조 제3항】 【대구과학대학교】 ◦주의 - 2명 ◦시정(회수) - 부적정하게 지급한 여비 합계 410천원을 당사자들로부터 회수 하여 교비회계에 세입 조치하기 바람","출장여비 과다 지급; 관용차량을 이용해 출장을 실시한 교직원 5명에게 출장여비 합계 410천원 과다 지급 【사학기관 재무·회계 규칙 제4조, 대구과학대학교 교직원 여비 규정 제6조 제3항】 【대구과학대학교】; 주의 - 2명; 시정(회수) - 부적정하게 지급한 여비 합계 410천원을 당사자들로부터 회수 하여 교비회계에 세입 조치하기 바람"
6,특별수당 지급 부적정,특별수당 지급 부적정 ○ 2017.,특별수당 지급 부적정; 2017.
1,부터 2017.,부터 2017.,원문 본문 OCR 필요
11,"까지 교직원 2명에게 보수규정에 정하지 않은 특별수당 합계 9,020천원 지급","까지 교직원 2명에게 보수규정에 정하지 않은 특별수당 합계 9,020천원 지급 【학교법인 한별학숙 정관 제45조, 대구과학대학교 보수 규정 제9조 및 제10조】 【대구과학대학교】 ◦경고 - 4명 ◦통보 - 향후 법령 및 규정 등 에 근 거 없 는 수 당 을 임의로 지급하는 일이 없도록 하기 바람","까지 교직원 2명에게 보수규정에 정하지 않은 특별수당 합계 9,020천원 지급 【학교법인 한별학숙 정관 제45조, 대구과학대학교 보수 규정 제9조 및 제10조】 【대구과학대학교】; 경고 - 4명; 통보 - 향후 법령 및 규정 등 에 근 거 없 는 수 당 을 임의로 지급하는 일이 없도록 하기 바람"
7,지식재산권 관리 부적정,"지식재산권 관리 부적정 ○ 교원 3명이 5건의 직무발명을 개인명의로 출원·등록 【대구과학대학교】 ◦경고 - 3명 연번 【발명진흥법 제10조 제1항 및 제12조, 대구과학대학교 지식재산권 관리 규정 제8조 제1항】 ◦통보 - 개인 명의로 출원· 등록 된 직무발명을 관련 법령 및 규정에 따라 조치하기 바람","지식재산권 관리 부적정; 교원 3명이 5건의 직무발명을 개인명의로 출원·등록 【대구과학대학교】; 경고 - 3명 연번 【발명진흥법 제10조 제1항 및 제12조, 대구과학대학교 지식재산권 관리 규정 제8조 제1항】; 통보 - 개인 명의로 출원· 등록 된 직무발명을 관련 법령 및 규정에 따라 조치하기 바람"
