연번,지적사항,주요내용(요약),처분요구
15,(월) ∼ 5.,(월) ∼ 5.,원문 본문 OCR 필요
24,"(수), (8일간)","(수), (8일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(수), (8일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,차량유지비 未정산,차량유지비 未정산 ◦ 2015.,차량유지비 未정산; 2015.
4,부터 2017.,부터 2017.,원문 본문 OCR 필요
4,까지 67차례에 걸쳐 법인,"까지 67차례에 걸쳐 법인 ○○○○ 개인차량 주유비 합계 6,447천원을 법인카드로 결제한 뒤 未정산 【사학기관 재무·회계 규칙 제4조 및 제34조 제1항 제2호, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【학교법인 창성학원】 ○ 경고 - 2명 ○ 통보 - 개인에게 지급한 주유비 합계 6,447 천원을 정산하고 증빙이 되지 않는 금액은 법인회계로 세입조치 하기 바람","까지 67차례에 걸쳐 법인; ; ; ; 개인차량 주유비 합계 6,447천원을 법인카드로 결제한 뒤 未정산 【사학기관 재무·회계 규칙 제4조 및 제34조 제1항 제2호, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【학교법인 창성학원】; 경고 - 2명; 통보 - 개인에게 지급한 주유비 합계 6,447 천원을 정산하고 증빙이 되지 않는 금액은 법인회계로 세입조치 하기 바람"
2,예·결산안 제출 및 심의·확정 기한 未준수,"예·결산안 제출 및 심의·확정 기한 未준수 ◦ 2014회계연도부터 2017회계연도까지 법정기한을 최단 14일에서 최장 390일 초과하여 예·결산 제출, 심의 및 확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조 및 제42조】 【학교법인 창성학원 및 대덕대학교】 ○ 기관경고 【 교비회계 】","예·결산안 제출 및 심의·확정 기한 未준수; 2014회계연도부터 2017회계연도까지 법정기한을 최단 14일에서 최장 390일 초과하여 예·결산 제출, 심의 및 확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조 및 제42조】 【학교법인 창성학원 및 대덕대학교】; 기관경고 【 교비회계 】"
3,학교시설 이용료 산단회계 세입처리,학교시설 이용료 산단회계 세입처리 ◦ 2014.,학교시설 이용료 산단회계 세입처리; 2014.
3,부터 2017.,부터 2017.,원문 본문 OCR 필요
5,"까지 118회에 걸쳐 토플 응시장 대여비 합계 16,150천원을 산학협력단 회계로 세입처리","까지 118회에 걸쳐 토플 응시장 대여비 합계 16,150천원을 산학협력단 회계로 세입처리 【대덕대학교】 ○ 경고 - 3명 연번 【사립학교법 제29조 제1항 및 제6항, 사립학교법 시행령 제13조 제1항 제3호】 ○ 주의 - 1명 ○ 시정 - 산단회계로 세입처리 한 대여료 합계 16,150천원을 교비 회계로 전출하기 바람","까지 118회에 걸쳐 토플 응시장 대여비 합계 16,150천원을 산학협력단 회계로 세입처리 【대덕대학교】; 경고 - 3명 연번 【사립학교법 제29조 제1항 및 제6항, 사립학교법 시행령 제13조 제1항 제3호】; 주의 - 1명; 시정 - 산단회계로 세입처리 한 대여료 합계 16,150천원을 교비 회계로 전출하기 바람"
4,산학협력단 비용 교비회계 집행,산학협력단 비용 교비회계 집행 ◦ 2014.,산학협력단 비용 교비회계 집행; 2014.
5,부터 2016.,부터 2016.,원문 본문 OCR 필요
12,"까지 산학협력단에서 집행해야 할 교육비 등 합계 5,968천원 교비 회계에서 집행","까지 산학협력단에서 집행해야 할 교육비 등 합계 5,968천원 교비 회계에서 집행 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제21조 제2항】 【대덕대학교】 ○ 경고 - 3명 ○ 시정 - 교비회계에서 집행 한 산단 교육비 등 합계 5,968천원을 교비회계로 전출하기 바람","까지 산학협력단에서 집행해야 할 교육비 등 합계 5,968천원 교비 회계에서 집행 【사립학교법 제29조 제1항 및 제6항, 사학기관 재무·회계 규칙 제21조 제2항】 【대덕대학교】; 경고 - 3명; 시정 - 교비회계에서 집행 한 산단 교육비 등 합계 5,968천원을 교비회계로 전출하기 바람"
5,교비회계 수입 회계처리 부적정,"교비회계 수입 회계처리 부적정 ◦ 교비회계 수납금 합계 51,891,391천원을 최장 413일 경과하여 회계처리 ◦ 2017회계연도 수납금 합계 8,499,428천원을 2017.","교비회계 수입 회계처리 부적정; 교비회계 수납금 합계 51,891,391천원을 최장 413일 경과하여 회계처리; 2017회계연도 수납금 합계 8,499,428천원을 2017."
5,감사일 현재까지 회계처리 未실시,"감사일 현재까지 회계처리 未실시 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 대덕대학교 취업규칙 제51조】 【대덕대학교】 ○ 경고 - 4명","감사일 현재까지 회계처리 未실시 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 대덕대학교 취업규칙 제51조】 【대덕대학교】; 경고 - 4명"
6,운전원 여비 지급 부적정,"운전원 여비 지급 부적정 ◦ 운전원 10명이 공용차량을 이용하여 실시한 근무지외 출장 총 728건에 대한 여비를 지급 하면서 일비를 감액하지 않아 규정보다 8,720 천원 초과 지급 - 이 중 4건의 동일날짜 출장에 대해 여비 합계 160천원 중복지급 【대덕대학교】 ○ 주의 - 4명 ○ 시정(회수) - 부적정하게 지급된 여비 합계 8,880천원을 당사자들로부터 회수 연번 【사학기관 재무·회계 규칙 제4조, 대덕대학교 교비회계 예산편성 지침】 하여 교비회계에 세입 처리 하기 바람","운전원 여비 지급 부적정; 운전원 10명이 공용차량을 이용하여 실시한 근무지외 출장 총 728건에 대한 여비를 지급 하면서 일비를 감액하지 않아 규정보다 8,720 천원 초과 지급 - 이 중 4건의 동일날짜 출장에 대해 여비 합계 160천원 중복지급 【대덕대학교】; 주의 - 4명; 시정(회수) - 부적정하게 지급된 여비 합계 8,880천원을 당사자들로부터 회수 연번 【사학기관 재무·회계 규칙 제4조, 대덕대학교 교비회계 예산편성 지침】 하여 교비회계에 세입 처리 하기 바람"
7,일반경쟁 입찰 대상 용역 수의 계약 체결,"일반경쟁 입찰 대상 용역 수의 계약 체결 ◦ 일반경쟁 입찰 대상인 통학버스 운행 용역 등 3건(계약금액 합계 122,350천원)을 수의계약 체결 【사학기관 재무·회계 규칙 제35조 제1항】 【대덕대학교】 ○ 경고 - 4명 ○ 주의 - 2명","일반경쟁 입찰 대상 용역 수의 계약 체결; 일반경쟁 입찰 대상인 통학버스 운행 용역 등 3건(계약금액 합계 122,350천원)을 수의계약 체결 【사학기관 재무·회계 규칙 제35조 제1항】 【대덕대학교】; 경고 - 4명; 주의 - 2명"
8,법인카드 사용 포인트 세입 未 처리,법인카드 사용 포인트 세입 未 처리 ◦ 2015.,법인카드 사용 포인트 세입 未 처리; 2015.
3,"부터 2017. 5. 감사일 현재까지 법인 카드 사용으로 발생한 포인트 합계 4,501천원을 관련회계 세입 未처리","부터 2017. 5. 감사일 현재까지 법인 카드 사용으로 발생한 포인트 합계 4,501천원을 관련회계 세입 未처리 【사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 사학기관 재무·회계 규칙 제10조, 대덕대학교 2016학년도 교비회계 예산편성 지침】 【학교법인 창성학원】 ○ 주의 - 2명 【대덕대학교】 ○ 주의 - 5명 ○ 시정 - 세입조치 하지 않은 법인카드 포인트 합계 4,501천원을 관련 회계에 세입조치 하기 바람","부터 2017. 5. 감사일 현재까지 법인 카드 사용으로 발생한 포인트 합계 4,501천원을 관련회계 세입 未처리 【사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 사학기관 재무·회계 규칙 제10조, 대덕대학교 2016학년도 교비회계 예산편성 지침】 【학교법인 창성학원】; 주의 - 2명 【대덕대학교】; 주의 - 5명; 시정 - 세입조치 하지 않은 법인카드 포인트 합계 4,501천원을 관련 회계에 세입조치 하기 바람"
9,대학명의 계좌 결산 未편입,"대학명의 계좌 결산 未편입 ◦ 2016회계연도 말일 기준으로 10개의 부외계좌를 운영하여 합계 53,194천원을 교비회계 결산 누락 【사학기관 재무·회계 규칙 제11조, 사학기관 재무·회계 규칙에 대한 특례규칙 제24조 제3항】 【대덕대학교】 ○ 경고 - 4명 ○ 통보 - 모든 수입과 지출은 예산에 편입하고, 부외계좌 잔액 합계 53,194천원을 교비 회계에 편입하기 바람","대학명의 계좌 결산 未편입; 2016회계연도 말일 기준으로 10개의 부외계좌를 운영하여 합계 53,194천원을 교비회계 결산 누락 【사학기관 재무·회계 규칙 제11조, 사학기관 재무·회계 규칙에 대한 특례규칙 제24조 제3항】 【대덕대학교】; 경고 - 4명; 통보 - 모든 수입과 지출은 예산에 편입하고, 부외계좌 잔액 합계 53,194천원을 교비 회계에 편입하기 바람"
