연번,지적사항,주요내용(요약),처분요구
3,(월) ∼ 4.,(월) ∼ 4.,원문 본문 OCR 필요
12,"(수), (토, 일요일 제외 8일간)","(수), (토, 일요일 제외 8일간) ◦ 감사인원 : 6명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인운영 및 재산관리 】","(수), (토, 일요일 제외 8일간); 감사인원 : 6명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인운영 및 재산관리 】"
1,수익용기본재산 관리 부적정,"수익용기본재산 관리 부적정 ◦ 제3자가 수익용기본재산의 일부를 무단 점유 하고 있음에도 임대료 부과 등 未조치 【사립학교법 제27조, 제55조 제1항 및 민법 제61조, 학교법인 동국대학교 정관 제85조】 【학교법인 동국대학교】 ◦경고 - 7명 ◦통보 - 제3자가 무단점유 하고 있는 수익용 기본재산에 대 해 임 대 료 부 과 등 의 조 치를 취하기 바람","수익용기본재산 관리 부적정; 제3자가 수익용기본재산의 일부를 무단 점유 하고 있음에도 임대료 부과 등 未조치 【사립학교법 제27조, 제55조 제1항 및 민법 제61조, 학교법인 동국대학교 정관 제85조】 【학교법인 동국대학교】; 경고 - 7명; 통보 - 제3자가 무단점유 하고 있는 수익용 기본재산에 대 해 임 대 료 부 과 등 의 조 치를 취하기 바람"
2,교육용기본재산 목적外 사용 등,"교육용기본재산 목적外 사용 등 ◦ 법인의 수익사업체가 교육용기본재산인 건물 일부를 강의실 등의 용도로 사용 ◦ 교육용기본재산 강의실을 외부업체에 임대하고 받은 임대수입 57,209천원을 법인 수익사업회 계에 세입처리 【학교법인 동국대학교】 ◦경고 - 10명 ◦통보 - 수 익 사 업 체 가 사 용 하 고 있 는 건 물 일 부 를 교 육 용 으 로 사 용 하 기 바 람 ◦시정 - 외부업체에 임대하고 받은 수입 합계 57,209천원을 교비회 계로 전출하기 바람 연번 【사립학교법 제29조 제1항 및 제6항, 학교법인 동국대학교 기본재산 신고내역】 【동국대학교】 ◦경고 - 8...","교육용기본재산 목적外 사용 등; 법인의 수익사업체가 교육용기본재산인 건물 일부를 강의실 등의 용도로 사용; 교육용기본재산 강의실을 외부업체에 임대하고 받은 임대수입 57,209천원을 법인 수익사업회 계에 세입처리 【학교법인 동국대학교】; 경고 - 10명; 통보 - 수 익 사 업 체 가 사 용 하 고 있 는 건 물 일 부 를 교 육 용 으 로 사 용 하 기 바 람; 시정 - 외부업체에 임대하고 받은 수입 합계 57,209천원을 교비회 계로 전출하기 바람 연번 【사립학교법 제29조 제1항 및 제6항, 학교법인 동국대학교 기본재산 신고내역】 【동국대학교】; 경고 - 8명"
3,교육용기본재산 (부속병원) 임대 수입 법인세입 처리,"교육용기본재산 (부속병원) 임대 수입 법인세입 처리 ◦ 장례식장 등 부속병원 교육용기본재산을 법인이 부속병원으로부터 임차 후 외부업체에 재임대 하는 방법으로 부속병원 임대수입 2,156,891천 원을 법인 수익사업회계에 세입처리 【사립학교법 제29조 제1항 및 제2항, 학교법인 동국대학교 기본재산 신고내역】 【학교법인 동국대학교】 ◦경고 - 10명 ◦ 시정 - 법 인 회 계 에 세 입 처 리 한 부 속 병 원 시 설 임 대 료 중 학교회계로 전출 하지 않은 1,200,000 천 원 을 부 속 병 원 회 계 등 으 로 전 출 하 기 바 람 【동국대학교】 ◦경고 - 6명","교육용기본재산 (부속병원) 임대 수입 법인세입 처리; 장례식장 등 부속병원 교육용기본재산을 법인이 부속병원으로부터 임차 후 외부업체에 재임대 하는 방법으로 부속병원 임대수입 2,156,891천 원을 법인 수익사업회계에 세입처리 【사립학교법 제29조 제1항 및 제2항, 학교법인 동국대학교 기본재산 신고내역】 【학교법인 동국대학교】; 경고 - 10명; 시정 - 법 인 회 계 에 세 입 처 리 한 부 속 병 원 시 설 임 대 료 중 학교회계로 전출 하지 않은 1,200,000 천 원 을 부 속 병 원 회 계 등 으 로 전 출 하 기 바 람 【동국대학교】; 경고 - 6명"
4,법인업무 전담직 원 인건비 부속 병원회계 집행,"법인업무 전담직 원 인건비 부속 병원회계 집행 ◦ 법인업무를 전담한 부속병원 소속 직원의 인건비 합계 188,872천원을 부속병원회계에서 지급 【사립학교법 제29조 제1항 및 제2항】 【학교법인 동국대학교】 ◦경고 - 6명 ◦ 시정 - 부 속 병 원 에 서 집 행 한 법인업무 전담직원 인건비 합계 188,872 천 원 을 부 속 병 원 회 계 로 전출하기 바람 【 동국대학교】 ◦경고 - 3명 연번","법인업무 전담직 원 인건비 부속 병원회계 집행; 법인업무를 전담한 부속병원 소속 직원의 인건비 합계 188,872천원을 부속병원회계에서 지급 【사립학교법 제29조 제1항 및 제2항】 【학교법인 동국대학교】; 경고 - 6명; 시정 - 부 속 병 원 에 서 집 행 한 법인업무 전담직원 인건비 합계 188,872 천 원 을 부 속 병 원 회 계 로 전출하기 바람 【 동국대학교】; 경고 - 3명 연번"
5,이사회 회의비 집 행 부적정,"이사회 회의비 집 행 부적정 ◦ 보수를 지급받는 상근 임원에게 회의비 8,100 천원 지급 【사학기관 재무·회계 규칙 제12조 및 제17조 제1항 관련 별표 1】 【학교법인 동국대학교】 ◦경고(7명) - 7명 ◦ 시정(회수) - 이사회 회의비 합계 8,100천원 을 관 련 자 들 로 부 터회 수 하 여 법 인 회 계 에 세 입 조 치 하 기 바람","이사회 회의비 집 행 부적정; 보수를 지급받는 상근 임원에게 회의비 8,100 천원 지급 【사학기관 재무·회계 규칙 제12조 및 제17조 제1항 관련 별표 1】 【학교법인 동국대학교】; 경고(7명) - 7명; 시정(회수) - 이사회 회의비 합계 8,100천원 을 관 련 자 들 로 부 터회 수 하 여 법 인 회 계 에 세 입 조 치 하 기 바람"
6,수익사업체(전산원) 용역비 등 집행 부적정,"수익사업체(전산원) 용역비 등 집행 부적정 ◦ 전산원 입학시험 업무에 참여하지 않은 법인 사무 처 임직원 15명 에게 입 시 수당 명 목 의 용역 비 합계 20,400천원 지급 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제17조 제1항 관련 별표1】 【학교법인 동국대학교】 ◦경고(7명) - 7명 ◦ 시정(회수) - 전산원 입시업무에 참 여 하 지 않 은 임 직 원 에 대해 지급한 용역비 합계 20,400천원을 관 련 자 들 로 부 터 회 수 하여 법인회계에 세입조치하기 바람","수익사업체(전산원) 용역비 등 집행 부적정; 전산원 입학시험 업무에 참여하지 않은 법인 사무 처 임직원 15명 에게 입 시 수당 명 목 의 용역 비 합계 20,400천원 지급 【사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제12조 및 제17조 제1항 관련 별표1】 【학교법인 동국대학교】; 경고(7명) - 7명; 시정(회수) - 전산원 입시업무에 참 여 하 지 않 은 임 직 원 에 대해 지급한 용역비 합계 20,400천원을 관 련 자 들 로 부 터 회 수 하여 법인회계에 세입조치하기 바람"
7,수익사업체(전산원) 업무추진비 未정산,"수익사업체(전산원) 업무추진비 未정산 ◦ 전산원장 2명에게 업무추진비 합계 92,750천 원을 현금 지급하고 未정산 【사학기관 재무 ․ 회계 규칙 제33조 제1항 및 제34조 제1항 제2호 가목, 사학기관 재무 ․ 회계규칙에 대한 특례규칙 제15조 제2호 및 제17조 관련 별표1】 【학교법인 동국대학교】 ◦경고(4명) - 4명 ◦통보 - 전 전산원장 OOO 등 에 게 개 산 급 으 로 지 급 한 업무추진비 합 계 92,750천원에 대 해 정산하고, 그 잔 액은 법인회계에 세 입조치하기 바람 연번","수익사업체(전산원) 업무추진비 未정산; 전산원장 2명에게 업무추진비 합계 92,750천 원을 현금 지급하고 未정산 【사학기관 재무 ․ 회계 규칙 제33조 제1항 및 제34조 제1항 제2호 가목, 사학기관 재무 ․ 회계규칙에 대한 특례규칙 제15조 제2호 및 제17조 관련 별표1】 【학교법인 동국대학교】; 경고(4명) - 4명; 통보 - 전 전산원장 OOO 등 에 게 개 산 급 으 로 지 급 한 업무추진비 합 계 92,750천원에 대 해 정산하고, 그 잔 액은 법인회계에 세 입조치하기 바람 연번"
8,수익사업체(전산원) 자녀교육비 집행 부적정,"수익사업체(전산원) 자녀교육비 집행 부적정 ◦ 2010년 명예퇴직한 직원에 대해 타대학 재학 자녀 교육수당 합계 15,000천원 지급 【동국대학교 명예퇴직수당 지급규정 제12조 제1항 제2호】 【학교법인 동국대학교】 ◦경고 - 4명 ◦시정(회수) - 명 예 퇴 직 자 의 타 대 학 재학 자녀에 대해 지급한 자녀 교육 수당 합계 15,000 천원을 관련자들 로부터 회수하여 법인회계에 세입 조치하기 바람","수익사업체(전산원) 자녀교육비 집행 부적정; 2010년 명예퇴직한 직원에 대해 타대학 재학 자녀 교육수당 합계 15,000천원 지급 【동국대학교 명예퇴직수당 지급규정 제12조 제1항 제2호】 【학교법인 동국대학교】; 경고 - 4명; 시정(회수) - 명 예 퇴 직 자 의 타 대 학 재학 자녀에 대해 지급한 자녀 교육 수당 합계 15,000 천원을 관련자들 로부터 회수하여 법인회계에 세입 조치하기 바람"
9,생활협동조합 업무 전담직원 급여 교비회계 집행,"생활협동조합 업무 전담직원 급여 교비회계 집행 ◦ 생활협동조합 업무 전담 파견직원의 급여 합계 435,464,130원을 교비회계에서 지급 【사립학교법 제29조 제6항, 동국대학교 직제규정, 동국대학교 소비자생활협동조합 정관 제58조】 【 동국대학교】 ◦경고 - 5명 ◦시정(회수) - 교 비 회 계 에 서 지 급 한 생 활 협 동 조 합 파 견 직 원 급 여 합 계 435,464,130 원 을 생 활 협 동 조 합 으 로 부 터 회 수 하 여 교 비 회 계 에 세 입 조 치 하 기 바 람","생활협동조합 업무 전담직원 급여 교비회계 집행; 생활협동조합 업무 전담 파견직원의 급여 합계 435,464,130원을 교비회계에서 지급 【사립학교법 제29조 제6항, 동국대학교 직제규정, 동국대학교 소비자생활협동조합 정관 제58조】 【 동국대학교】; 경고 - 5명; 시정(회수) - 교 비 회 계 에 서 지 급 한 생 활 협 동 조 합 파 견 직 원 급 여 합 계 435,464,130 원 을 생 활 협 동 조 합 으 로 부 터 회 수 하 여 교 비 회 계 에 세 입 조 치 하 기 바 람"
