연번,지적사항,주요내용(요약),처분요구
1,적립금(기금) 관리 부적정 ∘ 2016.,적립금(기금) 관리 부적정 ∘ 2016.,원문 본문 OCR 필요
3,부터 2018.,부터 2018.,원문 본문 OCR 필요
5,"까지 건축적립금 등 적립금에서 발생한 이자 합계 288,870,173 원을 각 목적에 맞게 사용하거나 기금별 로 재예치하지 아니하고 대학운영경비 등으로 사용 ∘ 2017회계연도 결산 기준, 임의특정목적적립금 11,014,890,810원 중 9,864,366,047원을 2018. 5. 감사일 현재까지 추상적이고 용도가 불분명한 ‘대학발전운영기금’으로 관리","까지 건축적립금 등 적립금에서 발생한 이자 합계 288,870,173 원을 각 목적에 맞게 사용하거나 기금별 로 재예치하지 아니하고 대학운영경비 등으로 사용 ∘ 2017회계연도 결산 기준, 임의특정목적적립금 11,014,890,810원 중 9,864,366,047원을 2018. 5. 감사일 현재까지 추상적이고 용도가 불분명한 ‘대학발전운영기금’으로 관리 【사립학교법 제32조의2 제2항, 사학기관 재무·회계 규칙 제22조의2 제3항, 사립대학제도과-14306(2016.12.27.)】 【부산가톨릭대학교】 ◦경고 - 4명 ◦통보 - 특정목적적립금 내 ‘대학발전운영기금’은...","까지 건축적립금 등 적립금에서 발생한 이자 합계 288,870,173 원을 각 목적에 맞게 사용하거나 기금별 로 재예치하지 아니하고 대학운영경비 등으로 사용 ∘ 2017회계연도 결산 기준, 임의특정목적적립금 11,014,890,810원 중 9,864,366,047원을 2018. 5. 감사일 현재까지 추상적이고 용도가 불분명한 ‘대학발전운영기금’으로 관리 【사립학교법 제32조의2 제2항, 사학기관 재무·회계 규칙 제22조의2 제3항, 사립대학제도과-14306(2016.12.27.)】 【부산가톨릭대학교】; 경고 - 4명; 통보 - 특정목적적립금 내 ‘대학발전운영기금’은 관련 규정에 따라 운 용하기 바람"
2,일반경쟁입찰 대상 수의계약 체결 ∘ 2016.,일반경쟁입찰 대상 수의계약 체결 ∘ 2016.,원문 본문 OCR 필요
2,부터 2016.,부터 2016.,원문 본문 OCR 필요
8,"까지 일반경쟁입찰 대상 6건 (계약금액 합계 283,018천원) 수의계약","까지 일반경쟁입찰 대상 6건 (계약금액 합계 283,018천원) 수의계약 【사학기관 재무·회계 규칙 제4조, 제35조 제1항】 【부산가톨릭대학교】 ◦경고 - 4명","까지 일반경쟁입찰 대상 6건 (계약금액 합계 283,018천원) 수의계약 【사학기관 재무·회계 규칙 제4조, 제35조 제1항】 【부산가톨릭대학교】; 경고 - 4명"
3,"입시수당 지급 부적정 ∘ 2015. 7. 부터 2018. 1. 까지 000처장 등 입시관리를 본래의 업무로 담당하고 있는 교직원 4명에게 입시수당 합계 3,320천원 지급","입시수당 지급 부적정 ∘ 2015. 7. 부터 2018. 1. 까지 000처장 등 입시관리를 본래의 업무로 담당하고 있는 교직원 4명에게 입시수당 합계 3,320천원 지급 【부산가톨릭대학교】 ◦경고 - 7명 연번 【사학기관 재무·회계 규칙 제4조, 대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 규칙, 제3조 제1항 제1호 및 제2호, 대입제도과-443(2014.2.4.)】 ◦시정(회수) - 부적정하게 지급한 입시수당 합계 3,320 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치하기 바람","입시수당 지급 부적정 ∘ 2015. 7. 부터 2018. 1. 까지 000처장 등 입시관리를 본래의 업무로 담당하고 있는 교직원 4명에게 입시수당 합계 3,320천원 지급 【부산가톨릭대학교】; 경고 - 7명 연번 【사학기관 재무·회계 규칙 제4조, 대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 규칙, 제3조 제1항 제1호 및 제2호, 대입제도과-443(2014.2.4.)】; 시정(회수) - 부적정하게 지급한 입시수당 합계 3,320 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치하기 바람"
4,가족수당 지급 부적정 ∘ 2016.,가족수당 지급 부적정 ∘ 2016.,원문 본문 OCR 필요
2,"부터 2018. 5. 감사일 현재까지 교직원 10명이 가족수당 수령요건을 상실한 부양가족에 대한 변동신고를 하지 않고 가족수당 합계 4,084천원을 부적정하게 수령 ∘ 부양가족 변동신고에 대한 검토를 소홀히 하여 교 직 원 2명 에 게 가 족 수 당 합 계 580천 원 초 과 지 급","부터 2018. 5. 감사일 현재까지 교직원 10명이 가족수당 수령요건을 상실한 부양가족에 대한 변동신고를 하지 않고 가족수당 합계 4,084천원을 부적정하게 수령 ∘ 부양가족 변동신고에 대한 검토를 소홀히 하여 교 직 원 2명 에 게 가 족 수 당 합 계 580천 원 초 과 지 급 【부산가톨릭대학교 교직원 보수규정 제13조 및 제17조】 【부산가톨릭대학교】 ◦주의 - 15명 ◦시정(회수) - 부적정하게 지급된 부 양가족수당 합계 4,664 천원 (4,084천원 +580천 원 ) 을 관 련 자로부터 회수 하여 교비회계로 세입 조치하기 바람","부터 2018. 5. 감사일 현재까지 교직원 10명이 가족수당 수령요건을 상실한 부양가족에 대한 변동신고를 하지 않고 가족수당 합계 4,084천원을 부적정하게 수령 ∘ 부양가족 변동신고에 대한 검토를 소홀히 하여 교 직 원 2명 에 게 가 족 수 당 합 계 580천 원 초 과 지 급 【부산가톨릭대학교 교직원 보수규정 제13조 및 제17조】 【부산가톨릭대학교】; 주의 - 15명; 시정(회수) - 부적정하게 지급된 부 양가족수당 합계 4,664 천원 (4,084천원 +580천 원 ) 을 관 련 자로부터 회수 하여 교비회계로 세입 조치하기 바람"
5,지식재산권심의 위원회 未심의 기술이전 등 ∘ 2015.,지식재산권심의 위원회 未심의 기술이전 등 ∘ 2015.,원문 본문 OCR 필요
