연번,지적사항,주요내용(요약),처분요구
1,예·결산 제출 및 심의·확정 기한 미준수 ◦,- 학교법인 서정학원은 2017회계연도 법인회계 결산안을 법정 제출기한 (2018.4.30.) 을 17일 초과하여 2018. 5. 17. 이사회에 제출하는 등【붙임】“예·결산 이사회 제출 및 심의 확정 기한 미준수 현황”과 같이 학교법인 서정학원 및 서정대학교는 2017회계연도부터 2018회계연도까지 법인회계 및 교비회계 예·결산안을 법정 제출기한보다 짧게는 8일 길게는 19일 초과하여 이사회에 제출하거나 심의 확정한,[학교법인 서정학원]; 기관주의 [서정대학교]; 기관주의 【붙임】 예·결산 이사회 제출 및 심의·확정 기한 미준수 현황 회계명 회계 연도 예ㆍ결산 이사회 제출 이사회 심의ㆍ확정 이사회 제출기한 이사회 제출일 초과 일수 이사회 심의ㆍ확정기한 이사회 심의ㆍ확정일 초과 일수 법인 회계 2017 예산 2017. 1. 9. 2016. 12. 22. - 2017. 1. 19. 2016. 12. 29. - 결산 2018. 4. 19. 2018. 4. 16. - 2018. 4. 30. 2018. 5. 17. 17 2018 예산 2018. 1. 9. 2018. 1. 4. - 2018. 1. 19. 2018. 2. 1. 12 결산 2019. 4. 19. 2019. 4. 17. - 2019. 4. 30. 2019. 4. 23. - 교비 회계 2017 예산 20…
2,명예퇴직수당 지급 부당 등,"- 학교법인 서정학원은 제71회 이사회 (2019.04.23.) 에서 안건으로 상정된 「3주기 대학기본역량진단 및 대학 기관평가인증 외 사업 등에 맞는 중장기발전 및 특성화 계획, 학칙·학칙시행세칙, 대학 제규정집 등 수정보완」을 심의하면서 향후, 위 사업과 관련한 자체규정 개정 권한을 A와(과) B에게 위임하였고, ․ 위 권한 위임으로 서정대학교는 B의 승인 (2019.11.26.) , A의 확인 (2019.12.05.) 만으로 「서정대학교 명예퇴직 및 명예퇴직 수당」을 개정하면서 「사립학교법」 제60조의3에서 정관으로 정하도록 되어있는 교원의 명예퇴직수당의 지급대...","하여 교비회계에 세입조치하기 바람; 통보 - 상위법령에 맞게 「 서 정 대 학 교 명 예 퇴직 및 수당지급 규 정 」 을 개 정 하 기 바람 감사결과 처분서 기관명 :학교법인 서정학원, 서정대학교"
3,사학연금 법인부담금 등록금회계 집행 부적정 ◦,"- 서정대학교는 2018회계연도에 비등록금회계에서 사학 연금 법인부담금을 집행할 여력이 있었음에도 (임의적립금 6,212,940천원) 이에 대한 고려 없이 사학연금 법인부담금 238,364천원을 등록금회계에서 집행하도록 이사회 심의 ・ 의결을 거쳐 예산을 편성하고, 사학연금 법인부담금 231,407천원을 등록금회계에서 집행하는 등 【 붙임 】 “사학연금 법인부담금 등록금회계 집행 현황”과 같이 2018회계연도부터 2019회계연도까지 비등록금회계에서 사학연금 법인부담금을 집행할 여력이 있었음에도 [학교법인 서정학원] ◦ 관련자 경고 (1명) [서정대학교] ◦ 관련자 경...","【붙임】 사학연금 법인부담금 등록금회계 집행 현황 (단위 : 천원) 회계 연도 예산 결산 법인회계 법정부담 전입금 사학연금법인부담금 납부 비등록금회계 운영 사학연금법인부담금 실제 납부 비등록금회계 운영 납부 총액 등록금 회계 비 등 록 금 회계 기타 이월금 임 의 적 립 납부 총액 등록금 회계 비 등 록 금 회계 기타 이월금 임의적립 2018 429,464 238,364 191,100 - 6,212,940 421,007 231,407 189,600 225,750 4,234,514 189,600 2019 444,089 127,289 316,800 - 2,907,147 448,912 126,912 322,000 58,544 2,630,277 322,000 합계 873,553 365,653 507,900 - 9,120,087 869,919 358…"
4,일반경쟁 대상 물품[도서] 수의계약 ◦,"- 서정대학교는 2019. 1. 9. 일반경쟁 대상인 ‘2018학년도 도서관 전자책 (예정가격 : 30,000,050원)’ 을 구매하면서 ○○와(과) 수의계약으로 체결하는 등 【붙임】“일반 경쟁 대상 물품(도서) 수의계약 현황”과 같이 2019. 1. 9.부터 2020. 1. 22.까지 위 ‘2018학년도 도서관 전자책’ 구매 등 물품(도서) 3건 합계 77,220,650원을 수의계약 으로 체결한","관련자 경고 (5명) 【 붙임 】 일반경쟁 대상 물품(도서) 수의계약 현황 연번 회계연도 계약건명 계약일자 계약기간 추정가격 계약금액 계약상대방 비고 업체명 대표자 1 2018 - 2019.1.9. 2019.1.9.~2019.2.28. 30,000,050 30,000,050 - - 물품 구매 2 2019 - 2020.1.6. 2020.1.6.~2020.2.17. 22,220,650 22,220,650 - - 물품 구매 3 2019 - 2020.1.22. 2019.1.22.~2020.2.17. 25,000,000 25,000,000 - - 물품 구매 합 계 77,220,650 77,220,650 (단위 : 원) 감사결과 처분서 기관명 : 서정대학교"
5,"정기 재물조사 미실시 등 물품관리 부적정 ◦ ｢ 사학기관 재무·회계 규칙 ｣ 제49조 및 제50조 제4항에 따르면 물품관리자, 물품출납원 및 물품사용자는 선량한 관리자로서의 주의와 의무를 다하여야 하고, 물품관리자는","- 서정대학교는 2017. 3. 이전 미상일로부터 2020. 7. 감사일 현재까지 물품에 대한 정기 재물조사를 실시 하지 않아 유형고정자산의 도난, 망실, 파손, 불용처리 등이 파악되지 않았음에도 2019회계연도 결산 대차 대조표에 기계기구 7,747,183천원, 집기비품 4,990,427 천원, 차량운반구 747,684천원, 도서 664,984천원으로 임의 계상한 사실이 있음 - 또한, 물품관리대장에 등록된 물품 인식을 위한 표찰을 부착하지 아니하는 등 물품관리를 소홀히 한",관련자 경고 (7명); 통보 - 관 련 법 령 및 규 정 에 따 라 물 품 을 관 리 하 고 재 물 조 사 를 실 시 하 여 그 결 과 를 대 차 대 조 표 등 재무제표에 반영 하기 바람 감사결과 처분서 기관명 : 서정대학교
6,특별성과금 등 지급 부당 ◦,"- 서정대학교는 2017. 9. 25. C에게 특별성과금 지급 기 준 및 전년도 성과평가 결과물 등 객관적 증빙 없이 특별성과금 5,000,000원을 임의로 지급하는 등 [붙임1] “객관적 증빙 없이 부적정하게 지급한 특별성과금 현황”과 같이 2017. 3. ~ 2020. 6. 감사일 현재까지 위 【①관련】 ◦ 관련자 경징계 (1명) 【①, ②관련】 ◦ 관련자 경징계 (1명) ◦ 관련자 통보(문책) (4명) ◦ 통보 - 특별성과급, 업무 성과수당, 시간외 수당 지급 기준을 명확히 정하여 이사회 의결을 받 도록 하고, 향후, 특별성과금 평가 결과물, 시간외 근무 확인...","【②관련】; 시정(회수) - 부적정하게 지급한 퇴직금 추가지급액 3,712,900원을 관련 자로부터 회수하여 교비회계에 세입 조치하기 바람 【붙임1】 객관적 증빙 없이 지급한 특별성과금 현황 (2017. 3. ~ 2020. 6.) (단위 : 원) 순번 구분 대상자 2017년 2018년 2019년 2020년 총합계 1 - - 55,000,000 77,000,000 45,500,000 12,000,000 189,500,000 2 - - 5,000,000 95,000,000 40,000,000 140,000,000 3 - - 10,500,000 31,000,000 45,618,000 14,000,000 101,118,000 4 - - 25,000,000 22,000,000 20,000,000 20,000,000 87,000,000 5 - - 12…"
7,교직원 보수 지급 부적정 ◦,"- 서정대학교는 2017. 4. 25. 병휴직 중인 F에게 정관에서 정한 지급액 (1,250,000원) 보다 250,000원을 초과하여 1,500,000원 을 지급하는 등 [붙임] “교원 병휴직자 급여 과지급 내역”과 같이 2017. 3.부터 2020. 6. 감사일 현재까지 위 F 등 병휴직 중인 교원 8명에게 합계 28,037,478원 을 초과 지급한","관련자 경고 (4명); 시정(회수) - 부적정하게 지급한 급여 28,037,478원을 관련자로부터 회수 하여 교비회계에 세입조치하기 바람 【붙임】 교원 병휴직자 급여 과지급 내역 (단위 : 원) 순번 대상(휴직기간) 지급월 실제지급액 정관상 지급액 (1년 범위, 50%) 과지급액 비고 1 - ‘17.04. 1,500,000 1,250,000 250,000 ‘17.05. 1,500,000 1,250,000 250,000 ‘17.06. 1,500,000 1,250,000 250,000 ‘17.07. 1,500,000 1,250,000 250,000 ‘17.08. 1,500,000 1,250,000 250,000 ‘17.09. 1,500,000 1,250,000 250,000 ‘17.10. 1,500,000 1,250,000 250,000 ‘17…"
8,후생복리비 지급 부당 ◦,"- 서정대학교는 2017. 6. 14. B이(가) 사전품의 및 업무 관련성을 입증할 수 있는 객관적인 증빙 없이 제출한 개인카드 영수증 57건 (2016.9.6. ~ 2017.5.24. 사용분) 합계 13,633,400원을 직무 관련성을 확인하지 않은 채 ‘본 대학 업무에 따른 식대 제경비’ 명목으로 복리후생비 에서 전액 집행하는 등【붙임】“객관적 증빙 없이 지 급한 후생복리비 현황”과 같이 2017. 4.부터 2020. 6. 까지 위 B 등 교직원 19명이 개인카드로 결제한 1,342건 합계 215,810,392원에 대하여 업무관련성을 입증할 수 있는 객관적인 증빙...","관련자 경징계 (1명); 관련자 통보(문책) (1명); 관련자 경고 (4명); 통보 - B 등 19명 에 게 지 급 한 합 계 215,810,392원 에 대 하 여 객 관적 입 증 자 료 를 확 보 하 고 업 무 관 련 성 여 부 검 토 후 정 산 하 고 잔 액 은 회 수 하 여 교 비 회 계 에 세 입 조 치 하기 바 람 - 학교업무 추진에 따른 식대, 직원 회식 등의 경비는 ‘업무추진비’에서 지출하기 바라며, 업무추진비 지출은 법인카드를 발급 하여 사용하기 바람 <별도조치>; 수사의뢰 【붙임】 객관적 증빙 없이 지급한 후생복리비 지급 현황 (단위 : 원) 순번 직급 성명 사용횟수 합계액 1 - - 363 79,979,057 2 - - 379 82,267,860 3 - - 292 19,239,325 4 - - 142 15,532,210 5…"
9,"B 관사비용 교비회계 집행 부당 ◦ ｢ 학교법인 서정학원 정관 」 제74조 제2항에 따르면, 총장은 교무를 통할하고 소속 교직원을 지휘 ・ 감독 하며, ｢ 사립학교법 시행령 」 제13조 제2항에 따르면 교비회계의 세출은 학교운영에 필요한 인건비 및 물건비, 학교교육에 직접 필요한 시설·설비를 위한 경비 및 기타 학교교육에 직접 필요한 경비 등으로 되어 있고,","- 서정대학교는 2014. 2. 5. B 관사를 임대하면서 자녀 재수를 위한 학원 접근성이 용이하다는 B의 요청을 받아들여 서울시 강남구 ㄱ 아파트 (학교까지 거리 약 60 ㎞ , 1시간 소요) 를 월세 7,500천원에 임대차계약을 체결한 사실이 있음 - 또한, B 관사 2015. 3월분 관리비 1,008,930원을 교비 회계에서 집행하는 등 【 붙임 】 “B 관사비용 교비회계 집행 부적정 현황”과 같이 2015. 3.부터 2020. 1.까지 위 서울시 강남구 ㄱ 아파트 B 관사 운영에 소요되는 관리비 등으로 총 59회 합계 46,595,730원을 교비회계 에서 집행...","※ 강남구 ㄱ아파트 관사 계약 당시 B은(는) 서초구에 본인 소유의 아파트를 임대 주고 있는 상황 ※ < B 관사 계약기간 및 임차조건 > - ’14. 2. 28. ～ ’16. 2. 27. / 월세 750만원 - ’16. 2. 28. ～ ’18. 8. 27. / 보증금 10억 원, 월세 450만원 - ’18. 8. 28. ～ ’20. 8. 27. / 보증금 10억 원, 월세 450만원; 관련자 경징계 (1명); 관련자 통보(문책) (3명); 시정(회수) - 부적정하게 집행한 B 관사비용 합 계 46,595,730원을 B(으)로부터 회수 하여 교비회계에 세입조치하기 바람; 통보 - 부적정하게 체결한 관사 임대차계약을 해지하고 임대 보증금을 반환받아 교비회계에 세입 조치하기 바람 - 관사 운영 취지 등 에 부합하는 적정 한 관사 관리를 위 해…"
10,"유류비 집행 부적정 ◦ ｢ 사학기관 재무 ･ 회계 규칙 ｣ 제4조, 제21조, 제32조 및 제34조 제1항 제2호에 따르면, 학교의 재무와 회계는 건전하게 운영하여야 하고, 학교에 속하는 회계의 세출 예산은 이를 목적 외에 사용하지 못하고, 지출은 예산의 범위 안에서 지출명령이 있는 것에 한하여 지출원이 행하며 여비는 개산급을 할 수 있는 경비이며, ｢ 사학 기관 재무 ･ 회계 규칙에 대한 특례규칙 ｣ 제15조에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 하고, ｢ 서정대학교 교직원 복무규정 ｣ 제25조에 따르면 교직원이 직무로 출장하려 할 때에는 출장계를 제출하여야 하고 사사 로운 일을 위해서 시간을 소비하여서는 아니되며 그 출장용무를 마치고 귀교한 때에는 총장에게 복명서를 제출하여야 하는데도, - 서정대학교는 2017. 4. 11. E이(가) 개인차량을 이용 하여 출장 등 업무수행을 한다는 이유로 2017. 3. 1. 부터 3. 31.까지 주유한 유류비 94,000원에 대해 사전 집행품의 없이 개인카드로 결제하고 제출한 영수증 만을 근거로 정산하지 않고 교비회계에서 집행하는 등","- 서정대학교는 2017. 4. 11. E이(가) 개인차량을 이용 하여 출장 등 업무수행을 한다는 이유로 2017. 3. 1. 부터 3. 31.까지 주유한 유류비 94,000원에 대해 사전 집행품의 없이 개인카드로 결제하고 제출한 영수증 만을 근거로 정산하지 않고 교비회계에서 집행하는 등 【 붙임 】 “개인차량 유류비 집행 부적정 현황”과 같이 2017. 3.부터 2019. 4.까지 위 E의 개인차량 유류비에 대해 총 22차례 합계 2,808,739원을 사전 집행품의 없이 개인카드로 결제하고 제출한 영수증만을 근거로 정산하지 않고 교비회계에서 집행한","관련자 통보(문책) (1명); 관련자 경고 (4명); 통보 - 부적정하게 지급된 개인차량 유류비 합계 2,808,739원에 대해 정산을 실시 하고 업무관련성이 증빙이 되지 않는 금액은 회수하여 교비회계에 세입 조치하기 바람 연 번 지 적 사 항 처분 ․ 특히, E은(는) 위 개인차량을 운행하면서 출장 등 업무수행을 이유로 유류비를 지급 받은 기간 동안 출장신청서 및 출장복명서를 일절 제출한 사실이 없음 【붙임】 개인차량 유류비 집행 부적정 현황 (단위: 원) 연 번 개인차량 번호 사용기간 주유일자 주유소 집행일자 집행액 1 - 2017.3.1.~ 3.31. 2017.3.27. - 2017.4.11. 94,000 2 2017.4.1.~ 4.30. 2017.4.24. 2017.5.10. 87,039 3 2017.5.1.~ 5.31. 2017.5…"
