연번,지적사항,주요내용(요약),처분요구
15,(월) ∼ 5.,(월) ∼ 5.,원문 본문 OCR 필요
24,"(수), (8일간)","(수), (8일간) ◦ 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사결과 연번 【 법인회계 및 재산관리 】","(수), (8일간); 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사결과 연번 【 법인회계 및 재산관리 】"
1,교 육 용 기 본 재 산 未활용,"교 육 용 기 본 재 산 未활용 ◦ 교육용기본재산을 목적 외로 사용하여 부과받은 취득세 및 재산세 합계 70,342천원 교비회계 에서 납부 【지방세특례제한법 제41조 제1항 및 제2항, 사학기관 재무·회계 규칙 제4조】 【세명대학교】 ○ 경고 - 4명 ○ 통보 - 교육용기본재산을 교육용도로 활용하고, 불가능한 경우 매각 하여 교비회계에 세입조치 하기 바람 【 교비회계 】","교 육 용 기 본 재 산 未활용; 교육용기본재산을 목적 외로 사용하여 부과받은 취득세 및 재산세 합계 70,342천원 교비회계 에서 납부 【지방세특례제한법 제41조 제1항 및 제2항, 사학기관 재무·회계 규칙 제4조】 【세명대학교】; 경고 - 4명; 통보 - 교육용기본재산을 교육용도로 활용하고, 불가능한 경우 매각 하여 교비회계에 세입조치 하기 바람 【 교비회계 】"
2,교내연구비 운영 부적정,"교내연구비 운영 부적정 ◦ 교원 18명(연인원)이 교내 연구과제 결과 보고서 제출일 최장 706일 경과 후 연구과제 변경 신청 ◦ 교원 54명(연인원)이 단독연구로 신청한 연구 과제를 계획 변경 없이 공동 수행 【세명대학교 교내연구비 규정 제13조 및 제15조, 세명대학교 교내연구비 운영지침】 【세명대학교】 ○ 기관주의 연번","교내연구비 운영 부적정; 교원 18명(연인원)이 교내 연구과제 결과 보고서 제출일 최장 706일 경과 후 연구과제 변경 신청; 교원 54명(연인원)이 단독연구로 신청한 연구 과제를 계획 변경 없이 공동 수행 【세명대학교 교내연구비 규정 제13조 및 제15조, 세명대학교 교내연구비 운영지침】 【세명대학교】; 기관주의 연번"
3,기술이전 기술료 실시보상금 지급 기준 운영 부적정,"기술이전 기술료 실시보상금 지급 기준 운영 부적정 ◦ 기술이전 기술료 실시 보상금 지급을 위한 규정에 위배한 기술료 실시보상금 지급기준 운영 【세명대학교 규정관리 규정 제6조, 세명대학교 직무발명 및 실시보상에 관한 규정 제12조 및 제13조】 【세명대학교】 ○ 경고 - 2명","기술이전 기술료 실시보상금 지급 기준 운영 부적정; 기술이전 기술료 실시 보상금 지급을 위한 규정에 위배한 기술료 실시보상금 지급기준 운영 【세명대학교 규정관리 규정 제6조, 세명대학교 직무발명 및 실시보상에 관한 규정 제12조 및 제13조】 【세명대학교】; 경고 - 2명"
4,지식재산권 관리 부적정,"지식재산권 관리 부적정 ◦ 교원 8명이 발명신고서, 양도증 및 발명의 내용설명서를 제출하지 않고 개인명의로 출원·등록 【발명진흥법 제10조 제1항, 세명대학교 직무발명 및 실시 보상 등에 관한 규정 제5조 및 제9조】 【세명대학교】 ○ 경고 - 8명 ○ 통보 - 개인명의로 출원· 등록 된 지식재산권을 관련 규정에 따라 산학협력단 명의 승계 여부를 결정하기 바람","지식재산권 관리 부적정; 교원 8명이 발명신고서, 양도증 및 발명의 내용설명서를 제출하지 않고 개인명의로 출원·등록 【발명진흥법 제10조 제1항, 세명대학교 직무발명 및 실시 보상 등에 관한 규정 제5조 및 제9조】 【세명대학교】; 경고 - 8명; 통보 - 개인명의로 출원· 등록 된 지식재산권을 관련 규정에 따라 산학협력단 명의 승계 여부를 결정하기 바람"
5,자기능력 개발비 지급 부적정,자기능력 개발비 지급 부적정 ◦ 이사회의 의결을 거쳐 따로 규칙으로 정하지 않고 2014.,자기능력 개발비 지급 부적정; 이사회의 의결을 거쳐 따로 규칙으로 정하지 않고 2014.
3,부터 2017.,부터 2017.,원문 본문 OCR 필요
5,"까지 교직원 270명 (연인원)에게 자기능력개발비 합계 2,070,933 천원 지급","까지 교직원 270명 (연인원)에게 자기능력개발비 합계 2,070,933 천원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 학교법인 대원교육재단 제49조 및 제85조】 【세명대학교】 ○ 경고 - 4명","까지 교직원 270명 (연인원)에게 자기능력개발비 합계 2,070,933 천원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 학교법인 대원교육재단 제49조 및 제85조】 【세명대학교】; 경고 - 4명"
6,가족수당 지급 부적정,가족수당 지급 부적정 ◦ 가족수당 지급 대상이 아닌 교직원 29명에게 2014.,가족수당 지급 부적정; 가족수당 지급 대상이 아닌 교직원 29명에게 2014.
