연번,지적사항,주요내용(요약),처분요구
1,"법인회계 집행 부적정 ◦ 사학기관 재무·회계 규칙 제4조 및 제21조와 따르면 법인의 재무와 회계는 건전하게 운영하여야 하고, 법인의 업무에 속하는 회계의 세출예산은 목적외에 이를 사용 하지 못한다고 되어 있으며, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제15조 제2호에 따르면 이사장은 자금예산이 정한 목적외에 이를 사용할 수 없고, 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 하여야 한다고 되어 있는데도, - 학교법인 송호학원은 2021. 2. 25. 전용차량이 제공 되고 매월 보수를 지급 받고 있는 A에게 ‘이사회 참석 (2020. 12. 30. 개최) 에 따른 참석수당’으로 100,000원을 지급하는 등","- 학교법인 송호학원은 2021. 2. 25. 전용차량이 제공 되고 매월 보수를 지급 받고 있는 A에게 ‘이사회 참석 (2020. 12. 30. 개최) 에 따른 참석수당’으로 100,000원을 지급하는 등【붙임1】“상임이사 이사회 참석수당 지급 현황”과 같이 2021. 2.부터 2021. 11.까지 위 A에게 ‘이사회 참석 수당’으로 총 8회 합계 800,000원을 법인 회계에서 지급한 사실이 있고, - 또한, 2019. 7. 25. 법인사무국 B에게 7월분 보수를 지급하면서, 연봉계약서에 명시된 보수 월액 (4,226,150원) 보다 173,850원 많은 4,400...","경고(3명); 시정(회수) - 부당하게 지 급 한 이 사 회 참 석 수 당 (800,000원 ) 및 과 다 지 급 한 보 수 (1,390,800원 ) 합 계 2,190,800원 을 관 련 자 로 부 터 각 각 회 수 하 여법 인 회 계 에세 입 조 치 하 기 바 람 【붙임1】 상임이사 이사회 참석수당 지급 현황 (단위 : 원) 순 지급 일자 적 요 이사회 개최일 지급 금액 수령인 1 2021 25 이사회 참석 수당 2020 30 100,000 A 2 2021 25 이사회 참석 수당 2021 22 100,000 A 3 2021 28 이사회 참석 수당 2021 15 100,000 A 4 2021 25 이사회 참석 수당 2021 29 100,000 A 5 2021 25 이사회 참석 수당 2021 28 100,000 A 6 2021 25 이사회 참…"
2,"수익용 기본재산 발생소득 관리 부적정 ◦ 사립학교법 제5조 제1항에 따르면 학교법인은 그 설치· 경영하는 사립학교에 필요한 시설·설비와 당해 학교의 경영에 필요한 재산을 갖추어야 한다고 되어 있고, 대학 설립·운영 규정 제8조에 따르면 학교법인은 그가 설립· 경영하는 대학에 대하여 매년 수익용기본재산에서 생긴 소득의 100분의 80이상에 해당하는 가액을 대학운영에 필요한 경비로 충당하여야 한다고 되어 있는데도, - 학교법인 송호학원은 2018년 수익용 기본재산에서 발생한 소득이 437,339천원임에도 47.2% (206,450천원) 만 교비회계로 전출하는 등","- 학교법인 송호학원은 2018년 수익용 기본재산에서 발생한 소득이 437,339천원임에도 47.2% (206,450천원) 만 교비회계로 전출하는 등【붙임】“수익용 기본재산 발생소득 대학운영경비 충당 현황”과 같이 2018년부터 2020년까지 수익용 기본재산에서 발생한 소득의 47.2% 에서 50.5%까지만 대학운영 경비로 충당함으로써 3년간 최소 합계 405,979천원을 부족하게 교비회계로 전출한","기관경고; 통보 - 수익용기본재산 에서 생긴 소득의 100분의 80이상을 대학운영에 필요한 경비로 충당하는 방안을 강구하기 바람 【붙임】 수익용 기본재산 발생소득 대학운영경비 충당 현황 (단위 : 천원) 구 분 연도별 수익용 기본재산 발생소득액 학생운영경비 충당내역 기준액 (80%) 실제부담액 (부담률) 차액 2018 437,339 349,871 206,450 (47.21%) 143,421 2019 442,814 354,251 221,200 (49.95%) 133,051 2020 438,384 350,707 221,200 (50.46%) 129,507 합계 1,318,537 1,054,829 648,850 (49.21%) 405,979 감사결과 처분서 기관명 : 학교법인 송호학원"
3,"법인 신규 직원 채용 부당 ◦ 사립학교법 제55조 제1항에 따라 준용되는 국가 공무원법 제56조 및 공무원행동강령 제5조에 따르면 모든 공무원은 법령을 준수하며 성실히 직무를 수행하여야 하고 4촌 이내의 친족이 직무관련자인 경우 소속 기관의 장에게 해당 사실을 서면으로 신고하여야 한다고 되어 있으며, 사립학교법 제61조에 따르면 교원이 이 법과 기타 교육관계법령에 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무에 위반 하거나, 직무를 태만히 한때, 직무의 내외를 불문하고 교원으로서의 품위를 손상하는 행위를 한 때에는 징계 의결의 요구를 하여야 한다고 되어 있고, 학교법인 송호학원 정관 제69조 제1항, 제70조 및 제73조에 따르면 일반직원의 신규임용, 승진, 승급, 전직, 전보, 강임, 휴직, 직위해제, 복직, 면적, 해임 및 파면은 임용권 자가 공개채용, 전형 또는 근무성적, 기타 능력의 실증에 의하여 행함을 원칙으로 하며, 일반직원의 복무 및 징계에 관하여는 사립학교 교원에게 적용하는 규정을 준용한다고 되어 있는데도, - 학교법인 송호학원 C는 2020. 11. 날짜 미상일 A에게 ‘법인사무국 신규 직원 채용 공고 계획’을 서면 계획 수립 없이 구두로만 보고한 후, 2020. 11. 19.부터 2020. 11. 30.까지 구직사이트 “","- 학교법인 송호학원 C는 2020. 11. 날짜 미상일 A에게 ‘법인사무국 신규 직원 채용 공고 계획’을 서면 계획 수립 없이 구두로만 보고한 후, 2020. 11. 19.부터 2020. 11. 30.까지 구직사이트 “○○” 및 “□□”에 모집공고를 하여 총 9명의 지원자가 채용 지원서를 제출하였음 에도 2020. 12.초 날짜미상일 실증에 의한 평가 없이 ◦중징계(1명) ◦경고(1명) ◦통보 - 회계부 문 경 력 1년 이상의 자격요건에 미달함에도 최 종 합 격 처 리 한 D에 대해 관련 경력 확 인 후 정 관 , 규 정 , 채용공고 등이 정하는 바에 따라 적정한...",* D를 제외한 E 및 F의 면점심사 계획서 면접 일자와 면접 평정표 상 면접일자 불일치 【참고 1】 직원 채용 지원자 명단 1.모집 공고; ; 공고 접수기간 2020.11.19.~11.30. □□공고 접수기간 2020.11.19.~11.30. △△ 접수기간 2020.12.7.~ ▷▷공고 접수기간 2020.12.11.~12.31. 2020.12.31. 번 호 접수 인적사항 현주소 학력 회계업무 최근근무지 적합 여부 일자 방법 성명 생년 연령 성별 결혼 여부 학교명 졸업 전공 자격증 근무 기간 직장명 직위 담당업 무 1 11.23. E-mail - - - - - - - - - - -; 2 11.24. E-mail - - - - - - - - - - - 3 11.25. E-mail - - - - - - - - - - -; 4 11.27. 우편접…
4,"이사회 회의록 작성 및 공개 부적정 ◦ 사립학교법 제17조 및 제18조에 따르면 이사장은 필요하다고 인정할 때에는 이사회를 소집할 수 있고, 이사회를 소집할 때에는 늦어도 회의 7일 전까지 회의의 목적을 밝혀 각 이사에게 통지하여야 하고, 이사회는 정관에 특별한 규정이 없으면 재적이사 과반수의 출석으로 개의하고, 정관으로 정한 이사 정수 과반수의 찬성으로 의결한다고 되어 있으며, 학교법인 송호학원 정관 제28조 제1항 및 제30조 제2항에 따르면 이사회는 재적이사 과반수가 출석하지 아니 하면 개회하지 못하고, 이사회를 소집하고자 할 때에는 적어도 회의 7일전 회의의 목적을 명시하여 각 이사 에게 통지하여야 한다. 다만, 이사 전원이 집합되고 그 전원이 이사회의 개최를 요구한 때에는 예외로 한다고 되어 있고, 사립학교법 제55조 제1항에 따라 준용되는 국가공무원법 제56조에 따르면 모든 공무원은 법령을 준수하며 성실히 직무를 수행하여야 한다고 되어 있으며, 송호대학교 교직원 복무규정 제4조에 따르면 교직원은 제규정 및 직무상의 명령을 준수하여 근무기강을 확립하고 권리와 의무를 성실히 수행하여야 하고, 공사를 분별하여 공정하게 업무를 처리하고 인권을 존중하며 친절하고 신속·정확하게 업무를 처리하여야 한다고 되어 있는데도, - 송호대학교 G는 “송호학원 2021학년도 제2차 이사회 (2021. 4. 28. 개최) ”에서","- 송호대학교 G는 “송호학원 2021학년도 제2차 이사회 (2021. 4. 28. 개최) ”에서 ○과 H에 대한 징계의결 요구 【 학 교 법 인 송 호 학 원 】 ◦경고(1명) 【송호대학교】 ◦경고(1명) 연 번 지 적 사 항 처 분 제청 심의 안건이 원안 심의·의결되었음에도, 2021. 5. 6. I에게 지시하여 “현재 대학평가가 5월 28일까지 진행되 므로 청와대 국민청원 게시판에 제기된 민원에 대하여 5월 28일 이후 ▽▽경찰서 사이버수사대에 수사를 의뢰하고 수사 결과에 따라 징계 의결을 심의”한다는 내용*으로 H에 대한 징계의결 요구 제청 심의 안건 관련 이...","【참고】 이사회 회의록 변경 내용 회의록 작성일 회차 회의 일자 (방법) 당초의결 내용 G 지시에 따라 변경된 이사회 회의록 (대외 공개) ‘21.5.07. 2 ‘21. 4.28 (화상 회의). 다. 제3호 안건 : 송호대학교 전임교원 징계 의결 요구 제청(안) 심의 - 의장이 송호대학교 전임교원 징계 의결 요구 제청에 대하여 안건을 상정하고 간사로부터 유인물로 설명 받다. - 참석 이사들이 검토하고 논의한 바 아래와 같이 징계 의결 요구 제청에 대해 J 이사의 동의, K 이사의 재청을 거쳐 전원 찬성으 로 원안을 의결하다. 제청 대상자 제청자의 요구 제청 사유 비고 성명 소속 직명 H O과 조교수 현재 조사 및 분석중 으로 추후 안 제출 교육기본법 제14조(교원), 사립학교법 제55조( 복무) , 제61조(징계의 사유 및 종류), 사 립…"
5,"교원 징계업무 처리 부적정 ◦ 학교법인 송호학원 정관 제58조 및 제61조, 송호 대학교 교원인사 규정 제31조의2 제2항 제2호에 따르면 교원징계위원회가 징계의결 요구를 받은 때에는 그 요구서를 접수한 날로부터 60일 이내에 징계에 관한 의결을 하여야 하고, 부득이한 사유가 있을 때에는 당해 징계위원회의 의결로 30일의 범위 안에서 1차에 한하여 그 기한을 연장할 수 있으며, 교원의 임면권자가 교원에 대한 징계의결을 요구할 때에는 징계의결 요구와 동시에 징계 대상자에게 징계 사유를 기재한 설명서를 송부하여야 하고, 징계의결이 요구된 교원에 대하여는 직위를 부여하지 않는다고 되어 있으며, 송호 대학교 교직원 복무규정 제4조에 따르면 교직원은 제규정 및 직무상의 명령을 준수하여 근무기강을 확립 하고 권리와 의무를 성실히 수행하여야 하고, 교직원은 공사를 분별하여 공정하게 업무를 처리하고 인권을 존중하며 친절하고 신속·정확하게 업무를 처리하여야 한다고 되어 있는데도,","- 학교법인 송호학원은 2020. 10. 15. 교원징계위원회에 “중징계” 의결 요구된 (사유 : 성실 의무, 청렴 의무 및 품위유지 의무 위반 등) □과 L에 대해 직위해제 조치도 하지 아니 하고, 징계의결 요구일로부터 12일이 경과한 2020. 10. 27. 징계 사유 설명서를 L에게 송부한 사실이 있으며, - 2021. 11. 30. 교원징계위원회에서 위 L에 대해 “교원 【①, ②관련】 ◦경고(3명) ◦통보 - L 및 H에 대해 징계 및 직위해제 관련 규정에 따라 필요한 조치를 하기 바람 연 번 지 적 사 항 처 분 인사위원회에 이첩하여 재검토 후 재심의 의결...","* ‘21.4.28. H에 대해 징계의결요구 제청 안건이 원안 심의·의결 되었 으나, ’21.5.18. “청와대 국민청원 게시판에 제기된 민원에 대하여 5월 28일 이후 ◁◁경찰서 사이버수사대에 수사를 의뢰하고 수사 결과에 따라 징계 의결을 심의”한다는 내용을 추가(변경)하여 이사들의 동의 서명 【참고】 교 원 징 계 업 무 처 리 현 황 순 소속/ 성명 (직급) 징계의결 요구 제청일 징계의결 요구일 징계사유 설명서 송부일 징계의결 기한 초과 일수 징계사유 직위 해제 여부 1 □과/ L (조교수) ‘20.09.17 ‘20.10.15 ‘20.10.27 ‘21.1.14. 373 - 부 2; 과/H (조교수) ‘21.04.28 - - - - - - ※ 초과일수 기준일 : 2021. 12. 22. 감사결과 처분서 기관명 : 송호대학교"
6,"국고사업비 집행 부적정 ◦ 특성화 전문대학 육성사업 관리 운영지침 제38조에 따르면 국가를 당사자로 하는 계약에 관한 법률 및 시행령 을 위반하여 집행하는 경우에는 사업비 부당 사용으로 본다고 되어 있고, 국가를 당사자로 하는 계약에 관한 법률 제7조, 제14조 및 제15조에 따르면 계약을 체결하려면 일반경쟁에 부쳐야 하고, 계약 상대자가 계약의 전부 또는 일부를 이행하면 이를 확인 하기 위하여 계약서 등에 의하여 검사하고 검사조서를 작성하여야 하며, 검사를 하거나 검사조서를 작성한 후에 그 대가를 지급하여야 하고, 같은 법 시행령 제26조에 따르면 추정가격이 2천만원 이하인 물품의 제조·구매계약 또는 용역계약의 경우 수의계약을 할 수 있다고 되어 있는데도,","- 송호대학교는 2018. 11. 15. “특성화 전문대학(SCK) 육성사업”으로 (사)◇◇협회 (대표 M) 와 ‘SCK사업 평생 직업교육대학 원격교육시스템 도입 구축 용역’ (계약 금액 : 360,000천원, 계약기간 : ‘18. 11. 15. ~ ’19. 2. 23.) 계약을 체결하고, 2019. 2. 28. 계약 이행이 완료되지 않은 상태에서 검사 없이 잔금 108,000천원을 위 (사)◇◇ 협회에 지급하는 등【붙임1】“계약 미이행 상태 잔금 지급 현황”과 같이 2019. 2. 28. 위 (사)◇◇협회에 위 【①, ② 관련】 ◦경고(3명) <별도조치> ◦통보 (...","【붙임1】 계 약 미 이 행 상 태 잔 금 지 급 현 황 (단위 : 천원) 연번 지급일 계약명 계약기간* 계약상대자 (대표자) 계약금액 (선급금액) 잔금 지급액 비고 1 ‘19.2.28. SCK사업 평생직업교육대학 원격교육시스템 도입 구축 용역 2018.11.15. ~ 2019.02.23. (사)◇◇협회 (M) 360,000 (252,000) 108,000 검사조서 미작성 2 ‘19.2.28. SCK사업 평생직업교육대학 원격 교육시스템 도입을 위한 솔루션 및 서버 구축 2019.01.23. ~ 2019.02.23. (사)◇◇협회 (M) 62,000 (-) 62,000 검사조서 미작성 합 계 422,000 (252,000) 170,000 * 학교 측의 공간 조정 문제로 인해 `19. 4. 1.로 서면 변경 계약 없이 구두 연장 【붙임2】 일…"
7,"산학협력단 임차자산 위탁운영비 미징수 ◦ 산업교육진흥 및 산학연협력촉진에 관한 법률 시행령 제27조에 따르면 산학협력단의 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 따라 공정하게 하여야 한다고 되어 있고, “커피전문점 위탁운영계약서” (위탁자 : 송호대학교 산학협력단, 수탁자 : ‘♤♤’) 제3조에 따르면 수탁자는 연 운영비 3,840,000원을 위탁자에게 지급 하고, 영업에 필요한 제세공과금 및 전기료, 상·하 수도료, 통신료 등은 수탁자가 관련기관에 직접 납부 함을 원칙으로 한다고 되어 있는데도, - 송호대학교 산학협력단은 2020. 5. 4. ‘ ♤♤’ ’ (대표 O) 과 ㄱ역사 내 커피 전문점* (상호 : ‘♧♧’) 에 대한 위탁운영 계약을 체결한 후, 2021. 12. 감사일 현재까지 체납된 운영비 2,650,950원을 위 ‘ ♤♤ ’으로부터 징수하지 않은 사실이 있고, * 2020. 3. 31. 한국철도공사로부터 ㄱ역내 매장을 커피전문점 운영 목적으로 임차(계약기간 : 2020. 4. 1. ~ 2022. 12. 31., 임대료 : (`20.) 2,274,940원, (`21.) 3,015,970원) - 또한, 2020. 11. 27. 위 ‘ ♤♤ ’이 부담하여야 할 전기 시설유지관리비 및 수도세 259,110원을 산학협력단 회계에서 집행하는 등","- 송호대학교 산학협력단은 2020. 5. 4. ‘ ♤♤’ ’ (대표 O) 과 ㄱ역사 내 커피 전문점* (상호 : ‘♧♧’) 에 대한 위탁운영 계약을 체결한 후, 2021. 12. 감사일 현재까지 체납된 운영비 2,650,950원을 위 ‘ ♤♤ ’으로부터 징수하지 않은 사실이 있고, * 2020. 3. 31. 한국철도공사로부터 ㄱ역내 매장을 커피전문점 운영 목적으로 임차(계약기간 : 2020. 4. 1. ~ 2022. 12. 31., 임대료 : (`20.) 2,274,940원, (`21.) 3,015,970원) - 또한, 2020. 11. 27. 위 ‘ ♤♤ ’이 부...","주의(2명); 시정(회수) - 미징수된 운영비 및 수탁자 부담 비용 합계 3,087,712원을 ‘ ♤♤ ’(대표 O )으로 부터 회 수 하 여 관 련 회 계 에 세 입조 치하 기 바람 【붙임】 수탁자 부담 공공요금 산학협력단회계 집행 현황 (단위 : 원) 사업 수탁자 연번 집행일 계정과목 적 요 지급처 집행액 ♤♤ (대표 O) 1 2020.11.27. 기타관리운영경비 송호대학교 ♧♧ 전기시설유지관리비 및 수도세 지출 한국철도공사 259,110 2 2020.12.02. 기타관리운영경비 송호대학교 ♧♧ 등록면허세 납부 횡 성 군 9,270 3 2021.08.02. 기타관리운영경비 2020년 2기분 부가가치세 납부(♧♧) 국 세 청 87,860 4 2021.08.03. 기타관리운영경비 송호대학교 ♧♧등록면허세 납부 횡 성 군 6,680 5 202…"
8,교원 신규임용 및 면직 처리 부적정,- 송호대학교는 2018. 2. 1. △과 P를 신규임용하면서 신원조사 및 결격사유 조회를 하지 않고 학교법인에 임용 제청하는 등【붙임1】“신원조사 및 결격사유 조회 미실시 현황”과 같이 2018.부터 2021. 12. 감사일 현재 까지 위 P 등 85명을 신규임용하면서 신원조사 및 결격 사유 조회를 하지 않고 학교법인 송호학원에 임용 제청한 사실이 있음 【교원 의원면직 처리에 관한 사항】---------------------② ◦ 사립학교법 제61조의2 제1항 및 제4항에 따르면 교원의 임용권자는 의원면직을 신청한 교원이 비위와 관련하여 형사사건으로 기소 중인 경우...,【붙임1】 신원조사 및 결격사유 조회 미실시 현황 연번 소속 직위 성명 임용일 신원조사 결격사유 조회 1 △과 조교수 P 2018.02.01 미실시 미실시 2 - - - 2018.02.01 미실시 미실시 3 - - - 2018.02.01 미실시 미실시 4 - - - 2018.02.01 미실시 미실시 5 - - - 2018.04.01 미실시 미실시 6 - - - 2018.07.01 미실시 미실시 7 - - - 2018.09.01 미실시 미실시 8 - - - 2018.09.10 미실시 미실시 9 - - - 2018.09.10 미실시 미실시 10 - - - 2019.03.18 미실시 미실시 11 - - - 2019.08.16 미실시 미실시 12 - - - 2019.08.26 미실시 미실시 13 - - - 2019.10.01 미실시 미실시 14 -…
9,학적관리 및 충원율 정보공시 부당,"- 송호대학교는 2019학년도 ▽과에 합격 (정원내 자율모집) 한 R이 비자 발급 지연으로 지정기간 (2019. 2. 25. ~ 2019. 3. 1.) 내 학칙 등에 따른 학과등록(수강신청)을 하지 못하였음 에도 입학 취소 및 등록금 반환 처리를 하지 아니하고 ‘신입생 충원율’ 정보공시에 포함·공시*하는 등【붙임1】 【①, ②, ③ 관련】 ◦경징계(2명) 【① 관련】 ◦경징계(3명) 【②, ③ 관련】 ◦경징계(4명) <별도 조치> ◦ 통 보 (고등교육 정책과, 전문대학 지원 과 , 교 육 통계 과) ◦수사의뢰 연 번 지 적 사 항 처 분 “입학 미취소 외국인 학생 신...","※ 참고자료 : 감사지적사항 반영시 재학생 충원율 [별첨] 【붙임1】 입학 미취소 외국인 학생 신입생 및 재학생 충원율 반영 현황 연번 학년도 대상 학생 인적사항 첫학기 휴 학 여 부 학적 변동 학 적 변동일 신입생 충원율 공 시 포 함 여 부 재학생 충원율 공 시 포 함 여 부 학과/ 전공 정원 구분 학번 학년 성 명 1 2019 - 정원내 - 1 R X 자퇴 `19.04.22 O O 2 2020 - 정원내 O 자퇴 `21.10.22 O O (’20년, ’21년) 3 2020 - 정원내 X 자퇴 `20.03.31 O X 4 2020 - 정원내 X 자퇴 `20.03.31 O X 5 2020 - 정원내 X 자퇴 `20.03.19 O X 6 2021 - 정원내 O 자퇴 `21.10.22 O O 7 2021 - 정원내 O 자퇴 `21.05.10…"
10,"교수-배우자 간 대리 수강(출석) 및 학점 부여 부당 ◦ 사립학교법 제55조에 따라 준용되는 국가공무원 복무 규정 제2조 및 제4조에 따르면 공무원은 국민 전체의 봉사자로서 직무를 민주적이고 능률적으로 수행하기 위하여 창의와 성실로써 맡은 바 책임을 완수하여야 하고, 공사를 분별하고 인권을 존중하며 친절하고 신속· 정확하게 업무를 처리하여야 하며, 직무를 수행할 때 종교 등에 따른 차별 없이 공정하게 업무를 처리하여야 한다고 되어 있고, 송호대학교 교원인사규정 제24조에 따르면 교원은 법령과 규정을 준수하여 학원 발전의 사명감을 가지고 성실히 직무를 수행하여야 하며 친절 공정하게 집무하여야 한다고 되어 있고, 송호대학교 교육윤리운영규정 제12조 및 제16조에 따르면 교원은 학생이 기본교양과 전문능력, 기술을 갖추도록 교육 및 학생지도에 최선을 다하여야 하며, 법적의무를 초월 하여 고도의 윤리적, 도덕적 기준으로써 성실하고 정직 하게 강의를 진행하여야 하고, 공사의 구별을 명확하게 하며 교육자로서 학생에게 귀감이 되는 품위 있는 행동을 취하여야 하고, 학생의 학습활동에 대한 평가와 관련된 공정한 평가기준을 마련하여 명확히 제시하며, 그러한 평가기준에 적합한 평가를 수행하여야 하고, 성적평가에 있어 공정과 공평을 기하여야 한다고 되어 있으며, 송호대학교 학칙 제28조, 제29조 및 제31조에 따르면 각 교과목 총 수업시간 수의 4분의 1 이상을 결석한 자는 당해 교과목의 학점을 미취득(F)으로 처리 ◦중징계(1명) ◦통보 - 대리 출석 및 수강, 추 가 시 험 기 회 부 여 등으로 부당하게 취득한 W의 성 적 은 자 체 규 정 에 따라 취소하고, 2021학년도 성적을 재산출하여 그 결과가 장학금 (교직원 및 가족 장학) 지급 기준에 미치지 못할 경우 W에게 지급된 2021학년도 2학기 장학금을 환수 조치하기 바람 <별도조치> ◦ 통 보 (대학학사 제도과, 전문대학 지원과) ◦통보 (강원도교육청) 연 번 지 적 사 항 처 분 하고 질병 및 기타 부득이한 사유로 시험에 응시하지 못할 때에는 과목 담당교수는 그 사유와 명단을 교무처에 제출하여야 하며 총장의 승인을 득한 후 추가시험을 부과하여 성적을 평가할 수 있고 기타 관계법령을 위반하거나 부당한 방법에 의하여 취득한 성적은 취소 할 수 있다고 되어 있으며, 송호대학교 원격수업 콘텐츠 개발 및 운영규정 제9조에 따르면 원격수업의 출석 인정 기준 및 결석 처리 등에 관한 사항은 일반강좌에 적용되는 학칙상의 기준을 동일하게 적용하고 홍채 인식, 지문 인식, SMS 인증 등의 시스템으로 대리출석을 차단하며, 출석일수는 원격수업 운영시스템 상의 접속 횟수 (접속시간) , 출석수업 등을 종합적으로 평가하여 담당 교수가 정한다고 되어 있고, 송호대학교 장학금 지급 규정 [별표 1] ‘교내장학금’에 따르면 ‘교직원 및 가족 장학’의 경우 전임교원 및 직원의 배우자 및 직계 자녀가 그 선발대상이 되며, 전문대졸 이상 졸업자가 정원 내 입학하는 경우 등록금의 100%에 해당하는 장학금을 지급하되, 직전학기 백분위 환산 성적이 80점 이상인 경우에 수혜가능 (신입생인 경우 입학학기에 한해 성적적용 제외) 하다고 되어 있는데도, - 송호대학교 V (♡과 교수) 는 2021. 3. 2.부터 2021. 3. 4.까지 본인의 연구실 (IP 192.168.X.XX) 에서 2021학년도","- 송호대학교 V (♡과 교수) 는 2021. 3. 2.부터 2021. 3. 4.까지 본인의 연구실 (IP 192.168.X.XX) 에서 2021학년도 ○과 (정원내 정시모집) 에 입학한 배우자 W (●●고등학교 ■■교사, 학번 **********) 가 수강신청한 “기독교와 현대사회1” (담당교수 X) 과목의 온라인 수업 1회차를 W의 아이디로 접속하여 대리 출석·수강하는 등【붙임】“배우자 (W) 학생 이러닝 시스템 접속(학습) 대리 출석·수강 현황”과 같이 2021. 3. 부터 2021. 12.까지 본인의 연구실에서 배우자 W가 수강 연 번 지 적 사 항 처 분 신...","※ W가 수강신청한 1학기 교과목(Pass/Fail 제외) 중 V의 교과목을 제외한 6개 교과목의 성적은 각각 B+, C+, C0, C+, B+, C+ 정도 이며, 2학기 교과목은 감사일 현재 성적 미확정 【붙임】 배우자(W) 학생 이러닝시스템 접속(학습) 대리 출석·수강 현황 연번 학기 구분 과목명 [담당교수] 학습 회차 학습시작 학습종료 접속아이피 비 고 1 1학기 교 양 필 수 기독교와현대사회1 E반 [X] 1 2021 02 18:34 2021 04 9:30 192.168.X.XX V 연구실 IP 2 2 2021 08 14:49 2021 08 15:17 - 3 3 2021 15 17:17 2021 15 17:22 - 4 4 2021 22 10:00 2021 22 10:34 - 5 5 2021 29 16:54 2021 29 17:28 -…"
