연번,지적사항,주요내용(요약),처분요구
12,(수) ∼ 9.,(수) ∼ 9.,원문 본문 OCR 필요
21,"(금), (8일간)","(금), (8일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 (안) 【 법인회계 및 재산관리 】","(금), (8일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 (안) 【 법인회계 및 재산관리 】"
1,이사장 개인차량 수 리 비법 인 회 계집 행,이사장 개인차량 수 리 비법 인 회 계집 행 ○ 2015.,이사장 개인차량 수 리 비법 인 회 계집 행; 2015.
6,부터 2016.,부터 2016.,원문 본문 OCR 필요
7,"까지 총 2회에 걸쳐 OOO 개인차량 수리비 합계 1,750원 집행","까지 총 2회에 걸쳐 OOO 개인차량 수리비 합계 1,750원 집행 【사학기관 재무 ․ 회계 규칙」제4조 및 제21조 제1항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제15조 제2호】 【 학 교 법 인 순 천 성 심 학 원 】 ◦경고 - 2명 ◦시정(회수) - 부적정하게 집행한 OOO 개 인 차 량 수 리 비 합 계 1,750천 원 을 OOO 로부터 회수하 여 법 인 회 계에 세 입조치 하기 바람 【 교비회계 】","까지 총 2회에 걸쳐 OOO 개인차량 수리비 합계 1,750원 집행 【사학기관 재무 ․ 회계 규칙」제4조 및 제21조 제1항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제15조 제2호】 【 학 교 법 인 순 천 성 심 학 원 】; 경고 - 2명; 시정(회수) - 부적정하게 집행한 OOO 개 인 차 량 수 리 비 합 계 1,750천 원 을 OOO 로부터 회수하 여 법 인 회 계에 세 입조치 하기 바람 【 교비회계 】"
2,퇴직위로금 지급 부적정,"퇴직위로금 지급 부적정 ○ 지급대상이 아닌 전 OO 에게 퇴직위로금 합계 67,544천원 지급 【사학기관 재무 ·회계 규칙 제4조, 순천제일대학교 직제규정 제4조 및 제5조, 순천제일대학교 교직원 연봉제 규정 제3조 및 제8조 제5항】 【순천제일대학교】 ◦경고 - 3명 ◦시정(회수) - 퇴 직 위 로 금 지 급 대 상 이 아 닌전 OOO 에 게지 급 한 퇴 직 위 로 금 합 계 67,544 천 원 을회 수 하 여교 비 회 계 에 세 입 조 치 하 기 바 람 연번 (안)","퇴직위로금 지급 부적정; 지급대상이 아닌 전 OO 에게 퇴직위로금 합계 67,544천원 지급 【사학기관 재무 ·회계 규칙 제4조, 순천제일대학교 직제규정 제4조 및 제5조, 순천제일대학교 교직원 연봉제 규정 제3조 및 제8조 제5항】 【순천제일대학교】; 경고 - 3명; 시정(회수) - 퇴 직 위 로 금 지 급 대 상 이 아 닌전 OOO 에 게지 급 한 퇴 직 위 로 금 합 계 67,544 천 원 을회 수 하 여교 비 회 계 에 세 입 조 치 하 기 바 람 연번 (안)"
3,교육용기본재산 未활용,교육용기본재산 未활용 ○ 2015.,교육용기본재산 未활용; 2015.
3,"부터 2018. 9. 감사일 현재까지 교육용기본재산 토지 38필지(185,200㎡), 건축물 및 주택 17채(8,912㎡)를 용도대로 활 용 하 지 않 아 부 과 된 재 산 세 합 계 52,273,118원 을 교비회계에서 납부","부터 2018. 9. 감사일 현재까지 교육용기본재산 토지 38필지(185,200㎡), 건축물 및 주택 17채(8,912㎡)를 용도대로 활 용 하 지 않 아 부 과 된 재 산 세 합 계 52,273,118원 을 교비회계에서 납부 【사학기관 재무 ․ 회계 규칙 제4조, 지방세특례제한법 제41조】 【순천제일대학교】 ◦경고 - 6명 ◦ 통보 - 교 육 용 기 본 재 산 인 전 남 OO 시 OO 동 OOO - O 토 지 등토 지38필 지 (185,200㎡ ) , 건축물 및 주택 17채 (8,912㎡ ) 합 계 194,112㎡ 를 용도대로 활용하고, 용 도 대 로 활 용 이 어...","부터 2018. 9. 감사일 현재까지 교육용기본재산 토지 38필지(185,200㎡), 건축물 및 주택 17채(8,912㎡)를 용도대로 활 용 하 지 않 아 부 과 된 재 산 세 합 계 52,273,118원 을 교비회계에서 납부 【사학기관 재무 ․ 회계 규칙 제4조, 지방세특례제한법 제41조】 【순천제일대학교】; 경고 - 6명; 통보 - 교 육 용 기 본 재 산 인 전 남 OO 시 OO 동 OOO - O 토 지 등토 지38필 지 (185,200㎡ ) , 건축물 및 주택 17채 (8,912㎡ ) 합 계 194,112㎡ 를 용도대로 활용하고, 용 도 대 로 활 용 이 어 려 울 경우 매각하여 교비 회 계 에세 입 조 치 하 기바 람"
4,급량비 중복 지급,급량비 중복 지급 ○ 2015.,급량비 중복 지급; 2015.
3,부터 2018.,부터 2018.,원문 본문 OCR 필요
5,"까지 교직원 208명에게 급량비 합계 98,658,350원 중복 지급","까지 교직원 208명에게 급량비 합계 98,658,350원 중복 지급 【사학기관 재무·회계 규칙 제4조 순천제일대학교 정관 제38조의",원문 본문 OCR 필요
2,및 제82조】,및 제82조】 【순천제일대학교】 ◦경고 -7명 ◦통보 - 급 량 비 는 연 봉 제 규 정 에 따라 지급하기 바람,및 제82조】 【순천제일대학교】; 경고 -7명; 통보 - 급 량 비 는 연 봉 제 규 정 에 따라 지급하기 바람
5,추 경 예 산 편 성 전 교 비 회 계 집 행,추 경 예 산 편 성 전 교 비 회 계 집 행 ○ 2015.,추 경 예 산 편 성 전 교 비 회 계 집 행; 2015.
9,"부터 2018. 9. 감사일 현재까지 총 2회에 걸쳐 추경예산을 편성하지 아니하고 교직원 291명 (연 인 원 )에 게 특 별 상 여 금 합 계 423,750천 원 집 행","부터 2018. 9. 감사일 현재까지 총 2회에 걸쳐 추경예산을 편성하지 아니하고 교직원 291명 (연 인 원 )에 게 특 별 상 여 금 합 계 423,750천 원 집 행 【사학기관 재무·회계 규칙 제18조 및 제20조】 【순천제일대학교】 ◦주의 - 6명","부터 2018. 9. 감사일 현재까지 총 2회에 걸쳐 추경예산을 편성하지 아니하고 교직원 291명 (연 인 원 )에 게 특 별 상 여 금 합 계 423,750천 원 집 행 【사학기관 재무·회계 규칙 제18조 및 제20조】 【순천제일대학교】; 주의 - 6명"
6,교 비 회 계집 행부 적 정,교 비 회 계집 행부 적 정 ○ 2015.,교 비 회 계집 행부 적 정; 2015.
3,"부 터 2017. 3. 감 사 일 현 재 까 지 총 장 개 인 이 부담해야 할 관사 관리비 등 총 25건 합계 4,927,140원 교비회계 집행","부 터 2017. 3. 감 사 일 현 재 까 지 총 장 개 인 이 부담해야 할 관사 관리비 등 총 25건 합계 4,927,140원 교비회계 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조】 【순천제일대학교】 ◦경고 - 5명 ◦시정(회수) - 부 적 정 하 게 집 행 한 OO 관 사 관 리 비 등 합계 연번 (안) 4,927,140원을 OOO 으로 부터 회 수 하 여 교 비 회 계 에 세입조치 하기 바람","부 터 2017. 3. 감 사 일 현 재 까 지 총 장 개 인 이 부담해야 할 관사 관리비 등 총 25건 합계 4,927,140원 교비회계 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조】 【순천제일대학교】; 경고 - 5명; 시정(회수) - 부 적 정 하 게 집 행 한 OO 관 사 관 리 비 등 합계 연번 (안) 4,927,140원을 OOO 으로 부터 회 수 하 여 교 비 회 계 에 세입조치 하기 바람"
7,일 반 경 쟁 입 찰 대 상 수 의 계 약 체 결,일 반 경 쟁 입 찰 대 상 수 의 계 약 체 결 ○ 2016.,일 반 경 쟁 입 찰 대 상 수 의 계 약 체 결; 2016.
2,부터 2018.,부터 2018.,원문 본문 OCR 필요
2,"까지 일반경쟁입찰 대상 5건 합계 165,540천원 수의계약","까지 일반경쟁입찰 대상 5건 합계 165,540천원 수의계약 【사학기관 재무·회계 규칙 제35조, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호 가목】 【순천제일대학교】 ◦경고 - 7명","까지 일반경쟁입찰 대상 5건 합계 165,540천원 수의계약 【사학기관 재무·회계 규칙 제35조, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조 제1항 제5호 가목】 【순천제일대학교】; 경고 - 7명"
8,법 인 카 드사 용부 적 정,법 인 카 드사 용부 적 정 ○ 순천제일대학교는 2015.,법 인 카 드사 용부 적 정; 순천제일대학교는 2015.
5,부터 2018.,부터 2018.,원문 본문 OCR 필요
6,"까지 심야시간 노래방, 일반주점 등에서 총 17건 합계 1,574천원 법인카드 결제","까지 심야시간 노래방, 일반주점 등에서 총 17건 합계 1,574천원 법인카드 결제 ○ 학 교 법 인 순 천 성 심 학 원 은 2015.","까지 심야시간 노래방, 일반주점 등에서 총 17건 합계 1,574천원 법인카드 결제; 학 교 법 인 순 천 성 심 학 원 은 2015."
11,"부터 2018. 8. 까지 유흥주점 등에서 총 6건 합계 1,315천원 법인카드 결제","부터 2018. 8. 까지 유흥주점 등에서 총 6건 합계 1,315천원 법인카드 결제 【사학기관 재무·회계 규칙 제4조, 사학기관 재무 ․ 회계규칙에 대한 특례규칙 제15조 제2호, 순천제일대학교 예산편성 및 운영지침】 【순천제일대학교】 ◦경고 - 7명 ◦시정(회수) - 부적정하게 사용한 법 인 카 드 사 용 액 합 계 1,574천원 을당 사 자 들 로 부 터회 수 하 여교 비 회 계 에 세 입 조 치 하 기 바람 【 학 교 법 인순 천 성 심 학 원 】 ◦경고 - OOO ◦시정(회수) - 부적정하게 사용한 법 인 카 드 사 용 액 합 계 1,315천 원 을 성 규...","부터 2018. 8. 까지 유흥주점 등에서 총 6건 합계 1,315천원 법인카드 결제 【사학기관 재무·회계 규칙 제4조, 사학기관 재무 ․ 회계규칙에 대한 특례규칙 제15조 제2호, 순천제일대학교 예산편성 및 운영지침】 【순천제일대학교】; 경고 - 7명; 시정(회수) - 부적정하게 사용한 법 인 카 드 사 용 액 합 계 1,574천원 을당 사 자 들 로 부 터회 수 하 여교 비 회 계 에 세 입 조 치 하 기 바람 【 학 교 법 인순 천 성 심 학 원 】; 경고 - OOO; 시정(회수) - 부적정하게 사용한 법 인 카 드 사 용 액 합 계 1,315천 원 을 성 규 제 로 부 터 회 수 하 여 법 인 회 계 에 세 입 조 치 하 기 바 람"
9,교 내 연 구 비 집 행 등 부 적 정,교 내 연 구 비 집 행 등 부 적 정 ○ 순천제일대학교 산학협력단은 2015.,교 내 연 구 비 집 행 등 부 적 정; 순천제일대학교 산학협력단은 2015.
10,부터 2017.,부터 2017.,원문 본문 OCR 필요
2,"까지 연구책임자 20명으로부터 착수 보고서만 제출받고도 연구비를 전액 지급하고, 2018. 9. 감사일 현재까지 중간보고서 未제출","까지 연구책임자 20명으로부터 착수 보고서만 제출받고도 연구비를 전액 지급하고, 2018. 9. 감사일 현재까지 중간보고서 未제출 【순천제일대학교】 ◦주의 - 24명 연번 (안) 【순천제일대학교 교내연구비 관리규정 제9조 및 제11조, 제14조】","까지 연구책임자 20명으로부터 착수 보고서만 제출받고도 연구비를 전액 지급하고, 2018. 9. 감사일 현재까지 중간보고서 未제출 【순천제일대학교】; 주의 - 24명 연번 (안) 【순천제일대학교 교내연구비 관리규정 제9조 및 제11조, 제14조】"
10,미 술 품등매 각대 금 회 계 처 리 부 적 정,미 술 품등매 각대 금 회 계 처 리 부 적 정 ○ 2015.,미 술 품등매 각대 금 회 계 처 리 부 적 정; 2015.
3,부터 2017.,부터 2017.,원문 본문 OCR 필요
4,"까지 미술품 등 매각 대금 합계 3,435,322천원(총 311종)을 등록금회계로 세입 처리 한 다음 2017학년도 결산시 비등록금 회계(기타이월금)로 임의 편입","까지 미술품 등 매각 대금 합계 3,435,322천원(총 311종)을 등록금회계로 세입 처리 한 다음 2017학년도 결산시 비등록금 회계(기타이월금)로 임의 편입 【사립학교법 제29조 제1항 및 제2항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제4조 제3항】 【순천제일대학교】 ◦기관경고 ◦통보 - 비등록금회계에 편 성 한 미술품 등 매 각 대 금 을 등록금회계로 편 성 하 여 운 영 하 기 바 람","까지 미술품 등 매각 대금 합계 3,435,322천원(총 311종)을 등록금회계로 세입 처리 한 다음 2017학년도 결산시 비등록금 회계(기타이월금)로 임의 편입 【사립학교법 제29조 제1항 및 제2항, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제4조 제3항】 【순천제일대학교】; 기관경고; 통보 - 비등록금회계에 편 성 한 미술품 등 매 각 대 금 을 등록금회계로 편 성 하 여 운 영 하 기 바 람"
