연번,지적사항,주요내용(요약),처분요구
8,(수) ∼ 8.,(수) ∼ 8.,원문 본문 OCR 필요
17,"(금), (8일간)","(금), (8일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (8일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,교육용기본재산 관리 부적정,"교육용기본재산 관리 부적정 ○ 교육용기본재산 13필지 (면적 153,546 ㎡ ) 를 용 도 대 로 활 용 하 지 않 아 교 비 회 계 및 법 인 회 계 에 서 재 산 세 및 종합부동산세 합계 146,650,986원 납부 - ① ○ 2001.","교육용기본재산 관리 부적정; 교육용기본재산 13필지 (면적 153,546 ㎡ ) 를 용 도 대 로 활 용 하 지 않 아 교 비 회 계 및 법 인 회 계 에 서 재 산 세 및 종합부동산세 합계 146,650,986원 납부 - ①; 2001."
10,부터 2007.,부터 2007.,원문 본문 OCR 필요
2,"까지 이사회 심의· 의결 없이 교육용기본재산 (건물) 4건 (취득 금액 합계 128,806천원) 취득 - ② -1","까지 이사회 심의· 의결 없이 교육용기본재산 (건물) 4건 (취득 금액 합계 128,806천원) 취득 - ② -1 ○ 교육용기본재산 등 보유현황 교육부 보고 시 이사회 심의·의결 없이 취득한 위 교육용 기본재산(건물) 4건 누락 - ② -2 【지방세특례제한법 제41조, 종합부동산세법 제6조 제1항, 사립학교법 제16조 제1항 제1호, 사립학교법 시행령 제5조 제1항 제1호, 대학·설립운영 규정 제11조, 사학기관 재무·회계 규칙 제4조 】 【학교법인 태촌학원】 <②-1관련> ◦경고 - 1명 【신성대학교】 <①, ②-2관련> ◦경고 - 3명 <②-1관련> ◦기관경고 <...","까지 이사회 심의· 의결 없이 교육용기본재산 (건물) 4건 (취득 금액 합계 128,806천원) 취득 - ② -1; 교육용기본재산 등 보유현황 교육부 보고 시 이사회 심의·의결 없이 취득한 위 교육용 기본재산(건물) 4건 누락 - ② -2 【지방세특례제한법 제41조, 종합부동산세법 제6조 제1항, 사립학교법 제16조 제1항 제1호, 사립학교법 시행령 제5조 제1항 제1호, 대학·설립운영 규정 제11조, 사학기관 재무·회계 규칙 제4조 】 【학교법인 태촌학원】 <②-1관련>; 경고 - 1명 【신성대학교】 <①, ②-2관련>; 경고 - 3명 <②-1관련>; 기관경고 <①관련>; 통보 - 교육 용기 본재 산인 13필지 합계 153,546 ㎡ 를 용도대로 활용 하고 용도대로 활용이 어려울 경우 매각하여 교비회계에 세입조치 하기 바람 연번 <②-2관…"
2,법 인 카 드 사 용 대 금 집행 부적정,"법 인 카 드 사 용 대 금 집행 부적정 ○ 결제 영수증 등 증빙자료를 첨부하지 않아 업무 연관성이 확인되지 않음에도 카드 회사에서 발송한 고지서만으로 총 374차례의 법인카드 사용대금 합계 30,116,150원 일괄 집행 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 신성대학교 재무회계 규정 제50조 제1항】 【학교법인 태촌학원】 ◦경고 - 3명 ◦통보 - 고지서만으로 집행한 법인카드 사용대금 합계 30,116,150원에 대해 정산하고, 업무와 무 관 하 게 사 용 된 금 액 은 회수하여 법인회계에 세입 조치하기 바람","법 인 카 드 사 용 대 금 집행 부적정; 결제 영수증 등 증빙자료를 첨부하지 않아 업무 연관성이 확인되지 않음에도 카드 회사에서 발송한 고지서만으로 총 374차례의 법인카드 사용대금 합계 30,116,150원 일괄 집행 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 신성대학교 재무회계 규정 제50조 제1항】 【학교법인 태촌학원】; 경고 - 3명; 통보 - 고지서만으로 집행한 법인카드 사용대금 합계 30,116,150원에 대해 정산하고, 업무와 무 관 하 게 사 용 된 금 액 은 회수하여 법인회계에 세입 조치하기 바람"
3,이사회 未의결 연 수 원 신 축 부 적 정,이사회 未의결 연 수 원 신 축 부 적 정 ○ 이사회 의결 없이 000 개인소유지의 지상에 교비 26억 8천만원을 투입하여 ‘신성대학교 연수원’ 신축 【사랍학교법 제16조제1항제1호】 【학교법인 태촌학원】 ◦경고 - 3명 【신성대학교】 ◦경고 - 2명,이사회 未의결 연 수 원 신 축 부 적 정; 이사회 의결 없이 000 개인소유지의 지상에 교비 26억 8천만원을 투입하여 ‘신성대학교 연수원’ 신축 【사랍학교법 제16조제1항제1호】 【학교법인 태촌학원】; 경고 - 3명 【신성대학교】; 경고 - 2명
4,교비회계 집행 부당 등,"교비회계 집행 부당 등 ○ 2014.12.22. OOO(주)에 매각하여 소유권을 이전한 신성대학교연수원의 경비용역비 등 관리경비를 2015.1월부터 2018.5월까지 교비 【학교법인 태촌학원】 <①, ②, ③관련> ◦경고 연번 회계에서 납부 - ① ○ 2014.12.22. OOO(주)에 매각하여 소유권을 이전한 신성대학교연수원의 시설관리를 2015년부터 2017년까지 총21회에 걸쳐 학교 직원 6명(연인원 37)이 담당 ○ 2014.12.22. OOO(주)에 매각하여 소유권을 이전한 신성대학교연수원의 2015년 市有地 대부료 14,586,000원을 2015. 5. 3...","교비회계 집행 부당 등; 2014.12.22. OOO(주)에 매각하여 소유권을 이전한 신성대학교연수원의 경비용역비 등 관리경비를 2015.1월부터 2018.5월까지 교비 【학교법인 태촌학원】 <①, ②, ③관련>; 경고 연번 회계에서 납부 - ①; 2014.12.22. OOO(주)에 매각하여 소유권을 이전한 신성대학교연수원의 시설관리를 2015년부터 2017년까지 총21회에 걸쳐 학교 직원 6명(연인원 37)이 담당; 2014.12.22. OOO(주)에 매각하여 소유권을 이전한 신성대학교연수원의 2015년 市有地 대부료 14,586,000원을 2015. 5. 31. 법인회계 에서 납부 - ③ 【사립학교법 제29조 제6항, 사학기관 재무·회계 규칙 제4조 및 제21조, 신성대학교 교원인사규정 제41조, 신성대학교 직원복무규정 제2조, 국가공무…"
5,현장실습비 未반환,"현장실습비 未반환 ○ 제적, 자퇴 및 졸업 학생 228명으로부터 재학 중 징수한 현장실습비 합계 118,100 천원 중 사용하지 않은 금액 104,590천원 未 반환 【사학기관 재무·회계 규칙 제35조】 【신성대학교】 ○ 경고 - 6명 ○ 통보 - 사용하지 않은 현장 실 습 비 합 계 104,590천 원 을 O O O 과 학생 228명 에 게 반환하기 바람 연번","현장실습비 未반환; 제적, 자퇴 및 졸업 학생 228명으로부터 재학 중 징수한 현장실습비 합계 118,100 천원 중 사용하지 않은 금액 104,590천원 未 반환 【사학기관 재무·회계 규칙 제35조】 【신성대학교】; 경고 - 6명; 통보 - 사용하지 않은 현장 실 습 비 합 계 104,590천 원 을 O O O 과 학생 228명 에 게 반환하기 바람 연번"
6,교직원 급여공제 부적정,교직원 급여공제 부적정 ○ 법령에 어긋난 경조사비 공제 규정 제정 후 2015.,교직원 급여공제 부적정; 법령에 어긋난 경조사비 공제 규정 제정 후 2015.
