연번,지적사항,주요내용(요약),처분요구
14,(목) ∼ 6.,(목) ∼ 6.,원문 본문 OCR 필요
20,(수),(수) ◦ 감사인원 : 4명(공인회계사 2명 포함) 연번 【 법인회계 및 재산관리 】,(수); 감사인원 : 4명(공인회계사 2명 포함) 연번 【 법인회계 및 재산관리 】
1,교육용기본재산 未활용,"교육용기본재산 未활용 ○ 교육용기본재산 30필지 (연면적 140,963 ㎡ ) 를 용도대로 활용하지 않아 학교법인이 재산세 및 종합부동산세 합계 24,416,958원 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조】 【아세아연합신학 대학교】 ◦경고 - 3명 ◦통보 - 경기 양평군 양서면 복포리 78-12 등","교육용기본재산 未활용; 교육용기본재산 30필지 (연면적 140,963 ㎡ ) 를 용도대로 활용하지 않아 학교법인이 재산세 및 종합부동산세 합계 24,416,958원 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조】 【아세아연합신학 대학교】; 경고 - 3명; 통보 - 경기 양평군 양서면 복포리 78-12 등"
30,"필지 140,963 ㎡ 를 교육용으로 활용하고, 교육용으로 활용이 불가능한 경우 매각 하여 교비회계에 세입조치하기 바람","필지 140,963 ㎡ 를 교육용으로 활용하고, 교육용으로 활용이 불가능한 경우 매각 하여 교비회계에 세입조치하기 바람",시정
2,예·결산 제출 및 심의·확정 기한 未준수,"예·결산 제출 및 심의·확정 기한 未준수 ○ 학교법인과 대학교가 법정기한을 짧게는 3일 길게는 35일까지 초과하여 예·결산안 이사회 제출 및 심의·확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제42조】 【학교법인 아세아연합 신학대학원 및 아세아연합신학대학교】 ◦각 기관경고 연번 【 교비회계 】","예·결산 제출 및 심의·확정 기한 未준수; 학교법인과 대학교가 법정기한을 짧게는 3일 길게는 35일까지 초과하여 예·결산안 이사회 제출 및 심의·확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제42조】 【학교법인 아세아연합 신학대학원 및 아세아연합신학대학교】; 각 기관경고 연번 【 교비회계 】"
3,수의계약 체결 부적정,"수의계약 체결 부적정 ○ 일반경쟁 입찰 대상 용역 2건 (계약금액 합계 : 1,084,402천원) 수의계약 체결 【사학기관 재무·회계 규칙 제35조】 【아세아연합신학대학교】 ○ 경고 - 3명","수의계약 체결 부적정; 일반경쟁 입찰 대상 용역 2건 (계약금액 합계 : 1,084,402천원) 수의계약 체결 【사학기관 재무·회계 규칙 제35조】 【아세아연합신학대학교】; 경고 - 3명"
4,연구 비 계정 과 목 적용 부적정,"연구 비 계정 과 목 적용 부적정 ○ 신학연구소 00 2명에게 연구비 계정과목에서 보직수당 합계 28,700천원(매월 700천원) 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제17조】 【 아 세아 연 합신 학 대학 교 】 ◦경고 - 3명 ◦통보 - 연구비는 관련 규정에 따라 사용용도에 맞게 집행하기 바람","연구 비 계정 과 목 적용 부적정; 신학연구소 00 2명에게 연구비 계정과목에서 보직수당 합계 28,700천원(매월 700천원) 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제17조】 【 아 세아 연 합신 학 대학 교 】; 경고 - 3명; 통보 - 연구비는 관련 규정에 따라 사용용도에 맞게 집행하기 바람"
5,사택 공공요금 지원 부적정,사택 공공요금 지원 부적정 ○,사택 공공요금 지원 부적정;
0,"개인이 부담해야 할 사택 공공요금 합계 21,995,400원을 교비회계에서 집행","개인이 부담해야 할 사택 공공요금 합계 21,995,400원을 교비회계에서 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조 제2항】 【아세아연합신학대학교】 ◦경고 - 1명 ◦시정(회수) - 부적정하게 지급한 사택 공공요금 합계 21,995,400원을 당사자 로부터 회수하여 교비 회계에 세입조치하기 바람","개인이 부담해야 할 사택 공공요금 합계 21,995,400원을 교비회계에서 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제4조 및 제21조 제2항】 【아세아연합신학대학교】; 경고 - 1명; 시정(회수) - 부적정하게 지급한 사택 공공요금 합계 21,995,400원을 당사자 로부터 회수하여 교비 회계에 세입조치하기 바람"
6,출장성과 등 未 복명 출장여비 지급,"출장성과 등 未 복명 출장여비 지급 ○ 00이 출장일정 이전 현지에 도착하여 법인 카드를 사용하고 귀국 후 출장성과 등을 복명하지 않았음에도 해당 여비 명목 합계 2,744,248원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 【아세아연합신학대학교】 ◦경고 - 1명 ◦시정(회수) - 부적정하게 지급된 연번 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 아세아연합신학대학교 국외여비 규정 제2조, 제4조 및 제15조】 여비 합계 2,744,248 원을 당사자로부터 회수하여 교비회계에 세입조치하기 바람","출장성과 등 未 복명 출장여비 지급; 00이 출장일정 이전 현지에 도착하여 법인 카드를 사용하고 귀국 후 출장성과 등을 복명하지 않았음에도 해당 여비 명목 합계 2,744,248원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 【아세아연합신학대학교】; 경고 - 1명; 시정(회수) - 부적정하게 지급된 연번 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 아세아연합신학대학교 국외여비 규정 제2조, 제4조 및 제15조】 여비 합계 2,744,248 원을 당사자로부터 회수하여 교비회계에 세입조치하기 바람"
7,현금수납 등록금 지연 예입,"현금수납 등록금 지연 예입 ○ 총 38차례에 걸쳐 현금으로 수납한 등록금 합계 114,875,400원을 수납일로부터 짧게는 1일 길게는 240일 경과 후 예입 【사학기관 재무·회계 규칙 제29조 제2항 및 제33조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 【아세아연합신학대학교】 ◦경고 - 4명","현금수납 등록금 지연 예입; 총 38차례에 걸쳐 현금으로 수납한 등록금 합계 114,875,400원을 수납일로부터 짧게는 1일 길게는 240일 경과 후 예입 【사학기관 재무·회계 규칙 제29조 제2항 및 제33조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 【아세아연합신학대학교】; 경고 - 4명"
