연번,지적사항,주요내용(요약),처분요구
24,(월) ∼ 7.,(월) ∼ 7.,원문 본문 OCR 필요
28,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,총장 이사회 참석 교통비 지급 부적정,"총장 이사회 참석 교통비 지급 부적정 ◦ 교내 회의실에서 개최된 이사회에 참석한 총장에게 법인회계에서 교통비 합계 600천원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제15조】 【학교법인 경북학원】 ○ 경고 - 3명 ○ 시정(회수) - 부적정하게 지급한 이사회 참석 교통비 합계 600천원을 당사자 로부터 회수하여 법인 회계에 세입조치 하기 바람","총장 이사회 참석 교통비 지급 부적정; 교내 회의실에서 개최된 이사회에 참석한 총장에게 법인회계에서 교통비 합계 600천원 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제15조】 【학교법인 경북학원】; 경고 - 3명; 시정(회수) - 부적정하게 지급한 이사회 참석 교통비 합계 600천원을 당사자 로부터 회수하여 법인 회계에 세입조치 하기 바람"
2,수 익 용 기 본 재 산 관리 부적정,"수 익 용 기 본 재 산 관리 부적정 ◦ 2014회계연도부터 2016회계연도까지 수익용 기본재산에서 생긴 소득 합계 177,522천원을 교비회계 未전출 ◦ 수익용기본재산(빌딩)에서 발생한 미납임대료 합계 28,820천원 未징수 【사립학교법 제27조, 사학기관 재무·회계 규칙 제4조】 【학교법인 경북학원】 ○ 경고 - 2명 연번 【 교비회계 등 】","수 익 용 기 본 재 산 관리 부적정; 2014회계연도부터 2016회계연도까지 수익용 기본재산에서 생긴 소득 합계 177,522천원을 교비회계 未전출; 수익용기본재산(빌딩)에서 발생한 미납임대료 합계 28,820천원 未징수 【사립학교법 제27조, 사학기관 재무·회계 규칙 제4조】 【학교법인 경북학원】; 경고 - 2명 연번 【 교비회계 등 】"
3,법인업무 전담직원 급여 교비회계 집행 부적정,법인업무 전담직원 급여 교비회계 집행 부적정 ◦ 2016.,법인업무 전담직원 급여 교비회계 집행 부적정; 2016.
12,부터 2017.,부터 2017.,원문 본문 OCR 필요
7,"까지 법인업무 전담직원 인건비 합계 16,000천원을 교비회계에서 집행","까지 법인업무 전담직원 인건비 합계 16,000천원을 교비회계에서 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제4조】 【영남외국어대학】 ○ 경고 - 3명 ○ 시정 - 교비회계에서 집행한 법인업무 전담직원 급여 16,000천원을 교비회계로 전출하기 바람","까지 법인업무 전담직원 인건비 합계 16,000천원을 교비회계에서 집행 【사립학교법 제29조, 사학기관 재무·회계 규칙 제4조】 【영남외국어대학】; 경고 - 3명; 시정 - 교비회계에서 집행한 법인업무 전담직원 급여 16,000천원을 교비회계로 전출하기 바람"
4,업무용 차량 관리 부적정,"업무용 차량 관리 부적정 ◦ 배차신청 없이 업무용 차량 170회 운행 ◦ 교통법규 위반으로 부과받은 과태료 합계 144 천원 법인 및 교비회계로 집행 【사학기관 재무·회계 규칙 제4조, 영남외국어대학 차량관리 규정 제6조 및 제9조】 【영남외국어대학】 ○ 경고 - 2명 ○ 시정(회수) - 법인 및 교비회계 에서 집행 한 과태료 합계 144천원을 당사 자로부터 회수하여 관련 회계에 세입 조치 하기 바람","업무용 차량 관리 부적정; 배차신청 없이 업무용 차량 170회 운행; 교통법규 위반으로 부과받은 과태료 합계 144 천원 법인 및 교비회계로 집행 【사학기관 재무·회계 규칙 제4조, 영남외국어대학 차량관리 규정 제6조 및 제9조】 【영남외국어대학】; 경고 - 2명; 시정(회수) - 법인 및 교비회계 에서 집행 한 과태료 합계 144천원을 당사 자로부터 회수하여 관련 회계에 세입 조치 하기 바람"
5,일반경쟁 대상 용역 등 수의계약 체결,"일반경쟁 대상 용역 등 수의계약 체결 ◦ 일반경쟁 입찰 대상인 용역 등 계약 3건(금액 합계 121,975천원)을 수의계약으로 체결 【사학기관 재무·회계 규칙 제35조, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조】 【영남외국어대학】 ○ 경고 - 3명","일반경쟁 대상 용역 등 수의계약 체결; 일반경쟁 입찰 대상인 용역 등 계약 3건(금액 합계 121,975천원)을 수의계약으로 체결 【사학기관 재무·회계 규칙 제35조, 국가를 당사자로 하는 계약에 관한 법률 시행령 제26조】 【영남외국어대학】; 경고 - 3명"
6,홍보비 등 집행 부적정,홍보비 등 집행 부적정 ◦ 2014.,홍보비 등 집행 부적정; 2014.
9,부터 2017.,부터 2017.,원문 본문 OCR 필요
2,"까지 입시홍보용 명절 선물 구입비 합계 6,635천원 홍보비 과목에서 지출","까지 입시홍보용 명절 선물 구입비 합계 6,635천원 홍보비 과목에서 지출 ◦ 퇴직교원 8명에게 지급한 황금열쇠 구입비 합계 2,717천원 복리후생비 과목에서 지출 【영남외국어대학】 ○ 경고 - 7명 연번 【사학기관 재무·회계 규칙에 대한 특례규칙 제12조, 제15조 및 제17조, 영남외국어대학 교원업적평가 시행세칙 제3조, 제5조】","까지 입시홍보용 명절 선물 구입비 합계 6,635천원 홍보비 과목에서 지출; 퇴직교원 8명에게 지급한 황금열쇠 구입비 합계 2,717천원 복리후생비 과목에서 지출 【영남외국어대학】; 경고 - 7명 연번 【사학기관 재무·회계 규칙에 대한 특례규칙 제12조, 제15조 및 제17조, 영남외국어대학 교원업적평가 시행세칙 제3조, 제5조】"
