연번,지적사항,주요내용(요약),처분요구
24,(월) ∼ 7.,(월) ∼ 7.,원문 본문 OCR 필요
28,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 】"
1,수익용 기본재산 (예금) 관리 부당,"수익용 기본재산 (예금) 관리 부당 ◦ 수익용기본재산 (예금) 540,000천원을 3회 에 걸쳐 이사회 심의·의결, 지출명령, 교육부 허가 없이 인출하여 예원예술 대학교에 단기대여금 명목으로 송금 하고, 지자체 수탁사업비 운영통장 잔액증명서 등을 결산서에 첨부하는 방법으로 수익용기본재산 (예금) 전액 이 예치되어 있는 것처럼 결산처리 【사립학교법 제16조 제1항 제1호, 제27조, 제28조 제1항, 사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계규칙에 대한 특례규칙 제15조 제2항, 제16조, 제36조】 【 학 교 법 인 예 원 예 술 대 학 교 】 ◦경...","수익용 기본재산 (예금) 관리 부당; 수익용기본재산 (예금) 540,000천원을 3회 에 걸쳐 이사회 심의·의결, 지출명령, 교육부 허가 없이 인출하여 예원예술 대학교에 단기대여금 명목으로 송금 하고, 지자체 수탁사업비 운영통장 잔액증명서 등을 결산서에 첨부하는 방법으로 수익용기본재산 (예금) 전액 이 예치되어 있는 것처럼 결산처리 【사립학교법 제16조 제1항 제1호, 제27조, 제28조 제1항, 사학기관 재무 ･ 회계 규칙 제4조, 사학기관 재무 ･ 회계규칙에 대한 특례규칙 제15조 제2항, 제16조, 제36조】 【 학 교 법 인 예 원 예 술 대 학 교 】; 경고 - 1명; 통보(문책) - 1명(중징계); 시정(보전) - 이사회 심의·의결 및 관할청 허가 등 없이 처분한 수익 용기본재산(예금) 540,000천원을 보 전조치하기 바람"
2,예･ 결산 제출 및 심의･ 확정 기한 未준수,"예･ 결산 제출 및 심의･ 확정 기한 未준수 ◦ 2014회계연도부터 2017회계연도까지 예･ 결산안을 법정기한을 도과하여 이사회 에 제출하거나 심의･ 확정 【사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제6조, 제7조, 제42조】 【 학 교 법 인 예 원 예 술 대 학 교및 예 원 예 술 대 학 교 】 ◦ 기관주의 연번 【 교비회계 및 재산관리 】","예･ 결산 제출 및 심의･ 확정 기한 未준수; 2014회계연도부터 2017회계연도까지 예･ 결산안을 법정기한을 도과하여 이사회 에 제출하거나 심의･ 확정 【사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제6조, 제7조, 제42조】 【 학 교 법 인 예 원 예 술 대 학 교및 예 원 예 술 대 학 교 】; 기관주의 연번 【 교비회계 및 재산관리 】"
3,교 비 회 계 재 정 관 리 부당,"교 비 회 계 재 정 관 리 부당 ◦ 매년 전년도 적자규모에 대한 고려 및 재 정 여건 개선을 위한 조치 없이 예산을 편성 하고, 자금집행의 적정성을 확보하기 위한 기획홍보처 의 예 산통제 등 필요 한 조치 없이 지출이 수입을 초과하도록 자금을 집행하여 2014회계연도부터 2016회계연도까지 재정 적 자 규 모 가 지 속 적 으 로 증 가 하 였 고 , 2017회 계 연도에 는 6월 말 기 준 3,542,752천원의 적자 발생 ․ 특히, 위와 같이 대학재정이 악화되 고 있 는 것 을 인 지 하 고 도 재 정 상 황 개 선 을 위 한 방 안 未 실시 ◦ 자금집행의 적정...","교 비 회 계 재 정 관 리 부당; 매년 전년도 적자규모에 대한 고려 및 재 정 여건 개선을 위한 조치 없이 예산을 편성 하고, 자금집행의 적정성을 확보하기 위한 기획홍보처 의 예 산통제 등 필요 한 조치 없이 지출이 수입을 초과하도록 자금을 집행하여 2014회계연도부터 2016회계연도까지 재정 적 자 규 모 가 지 속 적 으 로 증 가 하 였 고 , 2017회 계 연도에 는 6월 말 기 준 3,542,752천원의 적자 발생 ․ 특히, 위와 같이 대학재정이 악화되 고 있 는 것 을 인 지 하 고 도 재 정 상 황 개 선 을 위 한 방 안 未 실시; 자금집행의 적정성을 확보하기 위한 기획 홍보처의 예산조정 및 통제 등 필요한 조치 없이 자금을 집행하여 자금이 부족 하게 된 결과 128회에 걸쳐 건강보험 법정 부담금 등 연체료 합계 208,22…"
4,교비회계 허위 결산,"교비회계 허위 결산 ◦ 2014회계연도부터 2016회계연도까지 교원 급여 등 실제 지출하지 않은 교비회계 지출 내역 합계 12,815,885,684원을 지출한 것으로 처리하고 동 금액 상 당의 타 계정과 목 실제 지출내 역을 누락시키는 방식으로 교비회계 결산 허위 처리 ◦ 위 교비회계 허위 결산내역 반영 자료를 한국사학진흥재단에 보고하고, 대학알리미 홈페이지에 등록･ 공시 ◦ 학교법인 감사 3명은 서류조작 등 방법으로 허 위 결 산 처 리 하 고 있 음 에 도 극 히 형 식 적 으 로 감사를 실시한 다음 회계처리가 적정하게 이루어졌다고 감사결 과를 이사회 에 보고 하...","교비회계 허위 결산; 2014회계연도부터 2016회계연도까지 교원 급여 등 실제 지출하지 않은 교비회계 지출 내역 합계 12,815,885,684원을 지출한 것으로 처리하고 동 금액 상 당의 타 계정과 목 실제 지출내 역을 누락시키는 방식으로 교비회계 결산 허위 처리; 위 교비회계 허위 결산내역 반영 자료를 한국사학진흥재단에 보고하고, 대학알리미 홈페이지에 등록･ 공시; 학교법인 감사 3명은 서류조작 등 방법으로 허 위 결 산 처 리 하 고 있 음 에 도 극 히 형 식 적 으 로 감사를 실시한 다음 회계처리가 적정하게 이루어졌다고 감사결 과를 이사회 에 보고 하는 등대 학 의회 계 질 서 문 란 행 위 를 방 조 또 는 묵 인 【사립학교법 제27조, 사학기관 재무 ･ 회계 규칙 제4조 및 사학기관 재무 ･ 회계 규칙에 대한 특례규칙 제15조…"
5,교 직원 임 금 체 불,"교 직원 임 금 체 불 ◦ 교 직 원 117명 에 대 한 임 금 합 계 2,352,302천 원 未 지 급 【교원의 지위 향상 및 교육활동 보호를 위한 특별법 제3조 제2항, 사학기관 재무 ･ 회계 규칙 제4조, 근로기준법 제43조】 【 학 교 법 인 예 원 예 술 대 학 교및 예 원 예 술 대 학 교 】 `` ◦ 기관경고 연번","교 직원 임 금 체 불; 교 직 원 117명 에 대 한 임 금 합 계 2,352,302천 원 未 지 급 【교원의 지위 향상 및 교육활동 보호를 위한 특별법 제3조 제2항, 사학기관 재무 ･ 회계 규칙 제4조, 근로기준법 제43조】 【 학 교 법 인 예 원 예 술 대 학 교및 예 원 예 술 대 학 교 】 ``; 기관경고 연번"
6,회계연도 개시전 등록금 선수금 집행,"회계연도 개시전 등록금 선수금 집행 ◦ 2014회계연 도부터 2017회계연도까지 등록금 선수금 합계 6,920,724,275원을 회계연도 개시 전 집행 【사학기관 재무 ･ 회계 규칙 제4조 및 제10조】 【예원예술대학교】 ◦ 4번에 포함조치 - 2명 ◦ 통보(문책) - 2명(4번에 포함 조 치 )","회계연도 개시전 등록금 선수금 집행; 2014회계연 도부터 2017회계연도까지 등록금 선수금 합계 6,920,724,275원을 회계연도 개시 전 집행 【사학기관 재무 ･ 회계 규칙 제4조 및 제10조】 【예원예술대학교】; 4번에 포함조치 - 2명; 통보(문책) - 2명(4번에 포함 조 치 )"
7,산학협력단 비용 교비회계 집행,"산학협력단 비용 교비회계 집행 ◦ 산학협력단 회계에서 집행해야 할 지식 재산권 등록지원비 등 합계 20,467,940원 교비회계에서 지출 【사립학교법 제29조 제1항 및 제6항, 사립학교법 시행령 제13조 제2항, 산업교육진흥 및 산학연협력 촉진에 관한 법률 시행령 제24조】 【예원예술대학교】 ◦ 경고 - 3명 ◦ 시정 - 교비회계에서 집행 한 산단 지적재 산권 등록지원비 등 합계 20,467,940 원을 산단회계에서 교비회계로 전출하 기 바람","산학협력단 비용 교비회계 집행; 산학협력단 회계에서 집행해야 할 지식 재산권 등록지원비 등 합계 20,467,940원 교비회계에서 지출 【사립학교법 제29조 제1항 및 제6항, 사립학교법 시행령 제13조 제2항, 산업교육진흥 및 산학연협력 촉진에 관한 법률 시행령 제24조】 【예원예술대학교】; 경고 - 3명; 시정 - 교비회계에서 집행 한 산단 지적재 산권 등록지원비 등 합계 20,467,940 원을 산단회계에서 교비회계로 전출하 기 바람"
8,일반경쟁입찰 대상 용역 등 수의계 약 체결,"일반경쟁입찰 대상 용역 등 수의계 약 체결 ◦ 일반경쟁입찰 대상 용역 등 12건 (계약 금액 합계 1,050,370천원) 수의계약 체결 【사학기관 재무 ･ 회계 규칙 제35조】 【예원예술대학교】 ◦ 경고 - 5명 ◦ 통보(문책) - 1명 문책(4번에 포 함조치) 연번","일반경쟁입찰 대상 용역 등 수의계 약 체결; 일반경쟁입찰 대상 용역 등 12건 (계약 금액 합계 1,050,370천원) 수의계약 체결 【사학기관 재무 ･ 회계 규칙 제35조】 【예원예술대학교】; 경고 - 5명; 통보(문책) - 1명 문책(4번에 포 함조치) 연번"
