연번,지적사항,주요내용(요약),처분요구
19,(월) ∼ 6.,(월) ∼ 6.,원문 본문 OCR 필요
28,"(금), (토, 일요일 제외 8일간)","(금), (토, 일요일 제외 8일간) ◦ 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (토, 일요일 제외 8일간); 감사인원 : 5명 (공인회계사 3명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,업무추진비 집행 부당,업무추진비 집행 부당 ○ 2014.,업무추진비 집행 부당; 2014.
3,부터 2017.,부터 2017.,원문 본문 OCR 필요
5,"까지 휴일에 목적 등 명시 없이 법인카드로 합계 60,420,447원 결제","까지 휴일에 목적 등 명시 없이 법인카드로 합계 60,420,447원 결제 【사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제17조 제1항, 용인대학교 업무추진비 지급 규정】 【학교법인 단호학원】 ○ 2번에 포함조치 - 1명 ○ 경고 - 2명 ○ 주의 - 1명 ○ 시정(회수) - 사용목적 명시 없이 휴일에 집행한 업무 추진비 60,420,447원을 당사자로부터 회수 하여 법인회계에 세입 조치하기 바람","까지 휴일에 목적 등 명시 없이 법인카드로 합계 60,420,447원 결제 【사학기관 재무·회계 규칙에 대한 특례규칙 제12조 및 제17조 제1항, 용인대학교 업무추진비 지급 규정】 【학교법인 단호학원】; 2번에 포함조치 - 1명; 경고 - 2명; 주의 - 1명; 시정(회수) - 사용목적 명시 없이 휴일에 집행한 업무 추진비 60,420,447원을 당사자로부터 회수 하여 법인회계에 세입 조치하기 바람"
2,법인 자금 대여 등 부당,"법인 자금 대여 등 부당 ○ 예산 편성 및 권리 확보 절차 없이 ○○○○ 재단에 법인자금 합계 2,299,700천원 대여 ○ 위 재단의 수익 저조로 단기차입금 상환이 어려워지자, 무상으로 대여받은 재단 소유의 유물의 대여계약을 새로 체결한 후 예산 편성도 없이 임차보증금 12억원 지급 【학교법인 단호학원】 ○ 대학정책실 별도조치 - 1명(1번과 병합처리) - 1명 ○ 경고 - 1명 연번 【사립학교법 제28조 제1항, 사학기관 재무·회계 규칙 제4조 및 제44조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조】 ○ 시정(회수) - 대여금 잔액 330, 000천원 및...","법인 자금 대여 등 부당; 예산 편성 및 권리 확보 절차 없이; ; ; ; 재단에 법인자금 합계 2,299,700천원 대여; 위 재단의 수익 저조로 단기차입금 상환이 어려워지자, 무상으로 대여받은 재단 소유의 유물의 대여계약을 새로 체결한 후 예산 편성도 없이 임차보증금 12억원 지급 【학교법인 단호학원】; 대학정책실 별도조치 - 1명(1번과 병합처리) - 1명; 경고 - 1명 연번 【사립학교법 제28조 제1항, 사학기관 재무·회계 규칙 제4조 및 제44조, 사학기관 재무·회계 규칙에 대한 특례규칙 제12조】; 시정(회수) - 대여금 잔액 330, 000천원 및 유물 임 대차 형식으로 대여한 1,200,000천원 등 합계 1,530,000천원을; ; ; ; 재단 등 으로부터 회수하여 법인회계에 세입처리 하기 바람"
3,임차보증금 권리 확보 未이행,"임차보증금 권리 확보 未이행 ○ 기숙사 용도의 주상복합 건물을 임대하면서 권리확보 없이 임대보증금의 일부인 6억원 선 지급 【사립학교법 제27조, 학교법인 단호학원 정관 제67조, 사학기관 재무·회계 규칙 제44조】 【학교법인 단호학원】 ○ 경고 - 3명 ○ 시정 - 선지급한 임대보증금 6억원에 대해 권리를 확보하기 바람 【 교비회계 】","임차보증금 권리 확보 未이행; 기숙사 용도의 주상복합 건물을 임대하면서 권리확보 없이 임대보증금의 일부인 6억원 선 지급 【사립학교법 제27조, 학교법인 단호학원 정관 제67조, 사학기관 재무·회계 규칙 제44조】 【학교법인 단호학원】; 경고 - 3명; 시정 - 선지급한 임대보증금 6억원에 대해 권리를 확보하기 바람 【 교비회계 】"
4,이사장 명의 경조사 화환 구입비 교비회계 집행,"이사장 명의 경조사 화환 구입비 교비회계 집행 ○ 교비회계 (복리후생비) 로 이사장 명의 경조사 화환 구입비 합계 6,050천원 지출 【사립학교법 제19조 제1항, 제29조 제1항 및 사립학교법 시행령 제13조 제2항】 【학교법인 단호학원】 ○ 경고 - 3명 ○ 시정 - 교비회계에서 집행한 경조사 화환 구입비 합계 6,050천원을 교비회계로 전출하기 바람 【용인대학교】 ○ 경고 - 5명 연번","이사장 명의 경조사 화환 구입비 교비회계 집행; 교비회계 (복리후생비) 로 이사장 명의 경조사 화환 구입비 합계 6,050천원 지출 【사립학교법 제19조 제1항, 제29조 제1항 및 사립학교법 시행령 제13조 제2항】 【학교법인 단호학원】; 경고 - 3명; 시정 - 교비회계에서 집행한 경조사 화환 구입비 합계 6,050천원을 교비회계로 전출하기 바람 【용인대학교】; 경고 - 5명 연번"
5,교통비 지급 보직자 차량유류비 부당 지원 등,"교통비 지급 보직자 차량유류비 부당 지원 등 ○ 업무용 전용차량이 제공되는 보직자에게 교통비 명목의 조정수당 합계 5,200천원 지급 ○ 교통보조비가 지급되는 보직자 13명에게 차량 유류비 합계 72,240천원 별도 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【용인대학교】 ○ 경고 - 5명 ○ 시정 - 업무용 차량이 지급 되는 보직자에게 지급 한 교통비 명목의 조정수당 합계 5,200천원을 당사자 로부터 회수하여 교비 회계에 세입조치 하고, - 교통비를 지급받고 있는 보직자에게 별도 지급한 차량 유류비 합계 7...","교통비 지급 보직자 차량유류비 부당 지원 등; 업무용 전용차량이 제공되는 보직자에게 교통비 명목의 조정수당 합계 5,200천원 지급; 교통보조비가 지급되는 보직자 13명에게 차량 유류비 합계 72,240천원 별도 지급 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호】 【용인대학교】; 경고 - 5명; 시정 - 업무용 차량이 지급 되는 보직자에게 지급 한 교통비 명목의 조정수당 합계 5,200천원을 당사자 로부터 회수하여 교비 회계에 세입조치 하고, - 교통비를 지급받고 있는 보직자에게 별도 지급한 차량 유류비 합계 72,240 천원을 당사자들로 부터 회수하여 교비 회계에 세입조치하기 바람"
6,교직원 가족 건강 검진비 집행 부적정,"교직원 가족 건강 검진비 집행 부적정 ○ 교직원 가족 154명(연인원)에 대한 건강 검진비 합계 49,350천원 교비회계에서 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조】 【용인대학교】 ○ 경고 - 6명 ○ 통보 - 부적정하게 집행한 교직원가족 건강 검 진비 합계 49,350천 원에 대한 보전방안 을 마련하기 바람","교직원 가족 건강 검진비 집행 부적정; 교직원 가족 154명(연인원)에 대한 건강 검진비 합계 49,350천원 교비회계에서 집행 【사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조】 【용인대학교】; 경고 - 6명; 통보 - 부적정하게 집행한 교직원가족 건강 검 진비 합계 49,350천 원에 대한 보전방안 을 마련하기 바람"
7,동문회 및 노동 조합 지원금 교비회계 집행 부적정,"동문회 및 노동 조합 지원금 교비회계 집행 부적정 ○ 교비회계에서 동문회 관련경비 합계 14,890천원 집행 ○ 교비회계에서 노동조합 행사경비 등 합계 103,654천원 집행 【용인대학교】 ○ 경고 - 6명 ○ 통보 - 향후 동문회 및 노조 연번 【노동조합 및 노동관계조정법 제81조 제4호, 사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조 제1항】 활동 관련 지원금을 교비회계에서 집행 하지 않기 바람","동문회 및 노동 조합 지원금 교비회계 집행 부적정; 교비회계에서 동문회 관련경비 합계 14,890천원 집행; 교비회계에서 노동조합 행사경비 등 합계 103,654천원 집행 【용인대학교】; 경고 - 6명; 통보 - 향후 동문회 및 노조 연번 【노동조합 및 노동관계조정법 제81조 제4호, 사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조 제1항】 활동 관련 지원금을 교비회계에서 집행 하지 않기 바람"
8,해외여행 보조비 지원 부적정,"해외여행 보조비 지원 부적정 ○ 사적으로 해외여행을 실시한 교직원 196명 (연인원) 에게 해외여행 보조비 합계 41,300 천원 지급 【사학기관 재무·회계 규칙 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조, 대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 규칙 제3조 제1항 제1호】 【용인대학교】 ○ 경고 - 4명 ○ 시정(회수) - 부적정하게 지급한 해외여행 보조비 합계 41,300천원을 당사자 들로부터 회수하여 교비회계에 세입조치 하기 바람","해외여행 보조비 지원 부적정; 사적으로 해외여행을 실시한 교직원 196명 (연인원) 에게 해외여행 보조비 합계 41,300 천원 지급 【사학기관 재무·회계 규칙 제21조 제2항, 사학기관 재무·회계 규칙에 대한 특례규칙 제17조, 대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 규칙 제3조 제1항 제1호】 【용인대학교】; 경고 - 4명; 시정(회수) - 부적정하게 지급한 해외여행 보조비 합계 41,300천원을 당사자 들로부터 회수하여 교비회계에 세입조치 하기 바람"
9,국내여비 未정산,"국내여비 未정산 ○ 327건의 출장에 대한 증빙자료 없이 교통비 및 숙박비 합계 61,637천원 지급 【사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 용인대학교 여비지급 규정 제7조, 제10조 및 제11조】 【용인대학교】 ○ 경고 - 5명 ○ 시정 - 증빙 없이 지급한 여비를 정산하고 목적 외로 집행한 여비는 관련회계에 세입조치 하기 바람","국내여비 未정산; 327건의 출장에 대한 증빙자료 없이 교통비 및 숙박비 합계 61,637천원 지급 【사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호, 용인대학교 여비지급 규정 제7조, 제10조 및 제11조】 【용인대학교】; 경고 - 5명; 시정 - 증빙 없이 지급한 여비를 정산하고 목적 외로 집행한 여비는 관련회계에 세입조치 하기 바람"
10,입시관리비 집행 부적정,"입시관리비 집행 부적정 ○ 입시관리비에서 입학전형과 무관한 학교 배너광고 광고료 합계 160,270천원 지출 【대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 규칙 제3조 제1항 제2호】 【용인대학교】 ○ 경고 - 6명 ○ 통보 - 부적정하게 지급한 입시관리비 합계 160,270천원을 응시 생들에게 반환하기 바람 연번","입시관리비 집행 부적정; 입시관리비에서 입학전형과 무관한 학교 배너광고 광고료 합계 160,270천원 지출 【대학 입학전형 관련 수입·지출의 항목 및 산정방법에 관한 규칙 제3조 제1항 제2호】 【용인대학교】; 경고 - 6명; 통보 - 부적정하게 지급한 입시관리비 합계 160,270천원을 응시 생들에게 반환하기 바람 연번"
